aab4b40991a26999289a0e78e3d4442b9b9124ac3fca510f2e7bb5c7c47843c1,b444fadc213433adeacadea4cb23abc2e23ca59c53587eda2620a4dd6f26f988,2ae146ec17e56f4769c460ee8abd7f5dd6d973185a33d87df23de9f6d4a445b0,66d71326b575433c5f3f13b66e74f2b55aadc60430116db2412bb3c91675a34c,72b926b5ae492d04da1847f55d412edf05d92ed8660a8b9d0b1ec0aafb3808ef,5c598ef873ee6bcd2f2e2be325cf23593c6304d60256583072c9cfb8bc338a73
"2004801","20048201","20048","2004802","0","20048115"
"2004802","0","20048","2004803","2004801","0"
"2004803","0","20048","0","2004802","0"
"2004901","20049201","20049","2004902","0","20049115"
"2004902","0","20049","2004903","2004901","0"
"2004903","0","20049","2004904","2004902","0"
"2005001","20050201","20050","2005002","0","20050115"
"2005002","0","20050","2005003","2005001","0"
"2005003","0","20050","0","2005002","0"
"2005101","20051201","20051","2005102","0","20051115"
"2005102","0","20051","2005103","2005101","0"
"2005103","0","20051","0","2005102","0"
"2005201","20052201","20052","2005202","0","20052115"
"2005202","0","20052","2005203","2005201","0"
"2005203","0","20052","0","2005202","0"
"2005301","20053201","20053","2005302","0","20053115"
"2005302","0","20053","2005303","2005301","0"
"2005303","0","20053","0","2005302","0"
"2005401","20054201","20054","2005402","0","20054115"
"2005402","0","20054","2005403","2005401","0"
"2005403","0","20054","0","2005402","0"
"2005501","20055201","20055","2005502","0","20055115"
"2005502","0","20055","2005503","2005501","0"
"2005503","0","20055","0","2005502","0"
"2005601","20056201","20056","2005602","0","20056115"
"2005602","0","20056","2005603","2005601","0"
"2005603","0","20056","0","2005602","0"
"2005701","20057201","20057","2005702","0","20057115"
"2005702","0","20057","2005703","2005701","0"
"2005703","0","20057","0","2005702","0"
"2005801","20058201","20058","2005802","0","20058115"
"2005802","0","20058","2005803","2005801","0"
"2005803","0","20058","0","2005802","0"
"2005901","20059201","20059","2005902","0","20059115"
"2005902","0","20059","2005903","2005901","0"
"2005903","0","20059","0","2005902","0"
"2006001","20060201","20060","2006002","0","20060115"
"2006002","0","20060","2006003","2006001","0"
"2006003","0","20060","0","2006002","0"
"2006101","20061201","20061","2006102","0","20061115"
"2006102","0","20061","2006103","2006101","0"
"2006103","0","20061","0","2006102","0"
"2006201","20062201","20062","2006202","0","20062115"
"2006202","0","20062","2006203","2006201","0"
"2006203","0","20062","0","2006202","0"
"2006301","20063201","20063","2006302","0","20063115"
"2006302","0","20063","2006303","2006301","0"
"2006303","0","20063","0","2006302","0"
"2006401","20064201","20064","2006402","0","20064115"
"2006402","0","20064","2006403","2006401","0"
"2006403","0","20064","0","2006402","0"
"2006501","20065201","20065","2006502","0","20065115"
"2006502","0","20065","2006503","2006501","0"
"2006503","0","20065","0","2006502","0"
"2006601","20066201","20066","2006602","0","20066115"
"2006602","0","20066","2006603","2006601","0"
"2006603","0","20066","0","2006602","0"
"2006701","20067201","20067","2006702","0","20067110"
"2006702","0","20067","2006703","2006701","0"
"2006703","0","20067","0","2006702","0"
"2006801","20068201","20068","2006802","0","20068110"
"2006802","0","20068","2006803","2006801","0"
"2006803","0","20068","0","2006802","0"
"2006901","20069201","20069","2006902","0","20069115"
"2006902","0","20069","2006903","2006901","0"
"2006903","0","20069","0","2006902","0"
"2007001","20070201","20070","2007002","0","20070115"
"2007002","0","20070","2007003","2007001","0"
"2007003","0","20070","0","2007002","0"
"2007101","20071201","20071","2007102","0","20071115"
"2007102","0","20071","2007103","2007101","0"
"2007103","0","20071","0","2007102","0"
"2007201","20072201","20072","2007202","0","20072110"
"2007202","0","20072","2007203","2007201","0"
"2007203","0","20072","0","2007202","0"
"2007301","20073201","20073","2007302","0","20073110"
"2007302","0","20073","2007303","2007301","0"
"2007303","0","20073","0","2007302","0"
"2007401","20074201","20074","2007402","0","20074110"
"2007402","0","20074","2007403","2007401","0"
"2007403","0","20074","0","2007402","0"
"2007501","20075201","20075","2007502","0","20075110"
"2007502","0","20075","2007503","2007501","0"
"2007503","0","20075","0","2007502","0"
"2007601","20076201","20076","2007602","0","20076110"
"2007602","0","20076","2007603","2007601","0"
"2007603","0","20076","0","2007602","0"
"2007701","20077201","20077","2007702","0","20077110"
"2007702","0","20077","2007703","2007701","0"
"2007703","0","20077","0","2007702","0"
"2007801","20078201","20078","2007802","0","20078110"
"2007802","0","20078","2007803","2007801","0"
"2007803","0","20078","0","2007802","0"
