a8830b93a42520281608be85ff2b7c01ef2bdb414cd9569b613ccc25610c7cda,9143347db73140a044012c1a2c98d9e419e751143e312db9fd4c43bc5557b2b8,1e2804edad050d7897e65a2efd44abaf701fb181ae405a8d48c3c7e8ed2535e4,32e8c942889adbcfaa23bef61b1fcc5df0f63b197f38bcc437e94d956e01db95,80c4f0800d2bc5e5b5a32d1342b370ea26165302edb005f709656219274012d7,6f0b534bb51640fccaf22184d6800cd81d823ddfa770cb5399ad703581a7b673,7a2e4651e836b9fd9d866f1a8fb4b2b225b3d1b2cedcf0e7c4912e541ff0b8d5,b4a8401178020f64c5a89408a29a56a2712fd719ce0d75fb520cc6bf6bdd6ca2,3a1da8f7421bf2fcff0f9c512725b363971437385fef00689d1ef5a7b4b741d8
"356","36","2","","89","6","93001","","21600"
"360","37","2","","90","6","93001","","21600"
"3","1","3","","1","2","20001","","14400"
"5","2","3","","1","2","20001","","9600"
"7","3","3","","1","2","20001","","7200"
"10","4","3","","1","2","20001","","5400"
"15","5","3","","1","2","20001","","3600"
"6","6","3","","1","2","20002","","9600"
"8","7","3","","1","2","20002","","7200"
"12","8","3","","1","2","20002","","4800"
"16","9","3","","1","2","20002","","3600"
"20","10","3","","1","2","20002","","2700"
"6","11","3","","1","2","20003","","10800"
"8","12","3","","1","2","20003","","9000"
"12","13","3","","1","2","20003","","7200"
"16","14","3","","1","2","20003","","5400"
"20","15","3","","1","2","20003","","3600"
"30","16","3","","1","2","20003","","2880"
"7","17","3","","1","2","20004","","12600"
"8","18","3","","1","2","20004","","11400"
"9","19","3","","1","2","20004","","10200"
"10","20","3","","1","2","20004","","9300"
"10","21","3","","1","2","20004","","8700"
"13","22","3","","1","2","20004","","6600"
"14","23","3","","1","2","20004","","6300"
"15","24","3","","1","2","20004","","6000"
"15","25","3","","1","2","20004","","5700"
"16","26","3","","1","2","20004","","5400"
"17","27","3","","1","2","20004","","5100"
"18","28","3","","1","2","20004","","4860"
"19","29","3","","1","2","20004","","4620"
"20","30","3","","1","2","20004","","4440"
"21","31","3","","1","2","20004","","4260"
"22","32","3","","1","2","20004","","4080"
"22","33","3","","1","2","20004","","3960"
"23","34","3","","1","2","20004","","3840"
"24","35","3","","1","2","20004","","3720"
"24","36","3","","1","2","20004","","3600"
"25","37","3","","1","2","20004","","3480"
"12000","1","4","","3000","12","94002","","21600"
"18000","2","4","","4500","12","94002","","21600"
"24000","3","4","","6000","12","94002","","21600"
"30000","4","4","","7500","12","94002","","21600"
"42000","5","4","","10500","12","94002","","21600"
"54000","6","4","","13500","12","94002","","21600"
"66000","7","4","","16500","12","94002","","21600"
"84000","8","4","","21000","12","94002","","21600"
"102000","9","4","","25500","12","94002","","21600"
"120000","10","4","","30000","12","94002","","21600"
"144000","11","4","","36000","12","94002","","21600"
"168000","12","4","","42000","12","94002","","21600"
"192000","13","4","","48000","12","94002","","21600"
"222000","14","4","","55500","12","94002","","21600"
"252000","15","4","","63000","12","94002","","21600"
"282000","16","4","","70500","12","94002","","21600"
"318000","17","4","","79500","12","94002","","21600"
"354000","18","4","","88500","12","94002","","21600"
"390000","19","4","","97500","12","94002","","21600"
"432000","20","4","","108000","12","94002","","21600"
"474000","21","4","","118500","12","94002","","21600"
"516000","22","4","","129000","12","94002","","21600"
"562000","23","4","","140500","12","94002","","21600"
"600000","24","4","","150000","12","94002","","21600"
"642000","25","4","","160500","12","94002","","21600"
"684000","26","4","","171000","12","94002","","21600"
"726000","27","4","","181500","12","94002","","21600"
"768000","28","4","","192000","12","94002","","21600"
"810000","29","4","","202500","12","94002","","21600"
"852000","30","4","","213000","12","94002","","21600"
"894000","31","4","","223500","12","94002","","21600"
"920000","32","4","","230000","12","94002","","21600"
"940000","33","4","","235000","12","94002","","21600"
"960000","34","4","","240000","12","94002","","21600"
"980000","35","4","","245000","12","94002","","21600"
"1000000","36","4","","250000","12","94002","","21600"
"1020000","37","4","","255000","12","94002","","21600"
"48","1","5","","12","6","93001","","21600"
"48","1","6","","12","6","93001","","21600"
"48","1","7","","12","6","93001","","21600"
"48","1","8","","12","6","93001","","21600"
"48","1","11","","12","6","93001","","21600"
"48","1","12","","12","6","93001","","21600"
"48","1","19","","12","6","93001","","21600"
"0","0","23","14999999999","1","0","0","4999999999","0"
"48","1","25","","12","6","93001","","21600"
"48","1","28","","12","6","93001","","21600"
"48","1","30","","12","6","93001","","21600"
