9122318d157b0b4a2fe7d492bde9100b351c89d820857d301d6d0192cc4fb533,5ad9f35401a653e1383f317436a6ec45b2397bc2855302ca06a9f67f69a995de,e0c306abb5ba57c7140791e5aaab4c7737396e9adddf309b3a2a8468dd18a5fb,2fba80978f76309ee7237b895104c11579e046ddc4ad01ef81d575ef4712beae,d7541705ae4d50be0e14102836310d6fe716dcfa75dfbbd59241296935a0a095,0e10445aed8ac9dc751ab73532107865921ba93a14da934fdc5a84f9ea01c504,90ae510cb5bbe58cde093097889e0384449fefe30af6861f8e1a12b32721bce9,e0101c62a7668b02aa2c0ff114e1ba1e4842100131afb5520054a0ce68bf80ff,36c7a8758a12b03ccf9af62a344cd475640c625e495cb0856a405b517f02da4e,ca23d4b3955ea524b195ab395b0fafc96f312474dbf5106b8b2c410949af5271,84282405580b5f2a66740f11a2c5df19a73bbb1764c2792f58ac526c6c891f19,57806c598562d9e879df63cff89ac1a99bc2e5ea741b3b7973dcd5b218922717,250e15ad735307290a5b7d462ea59cf00aa7ec805fcafa3a8b6cd117691818fd,af21dd10245d1fc317179e3b71c09c99919f696df4d0a5985ecebcc67d82ca5b,4d11703d0d674027089c32e2d00a0a5aee68add35e974f15f898287e0426e4e4,9209bb2c2bcb5c836e7dc32958edb7857fdc1af41baea9c1a321bf2ac891cffa,ce46b1722a0fcf59b7f1075a563de5dbdb41807def72cb0b997dca9395bee844,2662da46a729d7843fbbbc148acd8c9ea4b7d5873d9bc197bb8e5fdded660866,ce1c9e9c7a2ae77112c86ccc1cc4d832d068622c284cb9bee86b96fe70b361ae
"90008","140001","1","90005","2","4","12","140000","1250","94002","5","4","4","2","1","2000000","2","32005","45"
"90008","25001","2","94002","1","2","0","140001","1500","0","2000000","4","4","2","1","0","12","32005","50"
"90008","140001","1","90005","2","4","12","140000","500","94002","10","1","4","2","1","500000","2","32006","5"
"91002","140001","1","25001","2","4","12","21951","200","94002","1","1","2","8","1","500000","2","32006","10"
"90008","140001","1","90005","2","4","12","140000","700","94002","5","2","4","2","1","750000","2","32006","15"
"91002","25001","2","94002","1","2","0","140001","300","0","750000","2","4","8","1","0","12","32006","20"
"90008","140001","1","90005","2","4","12","140000","700","94002","5","2","4","2","1","750000","2","32006","25"
"91002","25001","2","94002","1","2","0","140001","500","0","750000","3","4","8","1","0","12","32006","30"
"90008","140001","1","90005","2","4","12","140000","1000","94002","5","3","4","2","1","1000000","2","32006","35"
"90008","25001","2","94002","1","2","0","140001","1000","0","1000000","4","4","2","1","0","12","32006","40"
"90008","140001","1","90005","2","4","12","140000","1250","94002","5","4","4","2","1","2000000","2","32006","45"
"90008","25001","2","94002","1","2","0","140001","1500","0","2000000","4","4","2","1","0","12","32006","50"
"90008","90005","15","94002","10","2","0","140001","500","0","500000","1","4","2","1","0","12","32007","5"
"91002","140001","1","25001","5","4","12","21951","100","94002","1","1","2","8","1","500000","2","32007","10"
"90008","90005","15","94002","5","2","0","140001","1000","0","750000","2","4","2","1","0","12","32007","15"
"91002","25001","5","94002","1","2","0","140001","150","0","750000","2","4","8","1","0","12","32007","20"
"90008","90005","15","94002","5","2","0","140001","1500","0","750000","2","4","2","1","0","12","32007","25"
"91002","140001","3000","25001","5","4","12","90008","250","94002","1","3","2","8","1","750000","2","32007","30"
"90008","90005","15","94002","5","2","0","140001","3500","0","1000000","3","4","2","1","0","12","32007","35"
"90008","25001","5","94002","1","2","0","140001","4000","0","1000000","4","4","2","1","0","12","32007","40"
"90008","90005","15","94002","5","2","0","140001","4500","0","2000000","4","4","2","1","0","12","32007","45"
"90008","25001","5","94002","1","2","0","140001","5000","0","2000000","4","4","2","1","0","12","32007","50"
"90008","90005","15","94002","10","2","0","140001","500","0","500000","1","4","2","1","0","12","32008","5"
"91002","140001","1","25001","5","4","12","21951","100","94002","1","1","2","8","1","500000","2","32008","10"
"90008","90005","15","94002","5","2","0","140001","1000","0","750000","2","4","2","1","0","12","32008","15"
"91002","25001","5","94002","1","2","0","140001","150","0","750000","2","4","8","1","0","12","32008","20"
"90008","90005","15","94002","5","2","0","140001","1500","0","750000","2","4","2","1","0","12","32008","25"
"91002","140001","3000","25001","5","4","12","90008","250","94002","1","3","2","8","1","750000","2","32008","30"
"90008","90005","15","94002","5","2","0","140001","3500","0","1000000","3","4","2","1","0","12","32008","35"
"90008","25001","5","94002","1","2","0","140001","4000","0","1000000","4","4","2","1","0","12","32008","40"
"90008","90005","15","94002","5","2","0","140001","4500","0","2000000","4","4","2","1","0","12","32008","45"
"90008","25001","5","94002","1","2","0","140001","5000","0","2000000","4","4","2","1","0","12","32008","50"
"90008","90005","15","94002","10","2","0","140001","500","0","500000","1","4","2","1","0","12","32009","5"
"91002","140001","1","25001","5","4","12","21951","100","94002","1","1","2","8","1","500000","2","32009","10"
"90008","90005","15","94002","5","2","0","140001","1000","0","750000","2","4","2","1","0","12","32009","15"
"91002","25001","5","94002","1","2","0","140001","150","0","750000","2","4","8","1","0","12","32009","20"
"90008","90005","15","94002","5","2","0","140001","1500","0","750000","2","4","2","1","0","12","32009","25"
"91002","140001","3000","25001","5","4","12","90008","250","94002","1","3","2","8","1","750000","2","32009","30"
"90008","90005","15","94002","5","2","0","140001","3500","0","1000000","3","4","2","1","0","12","32009","35"
"90008","25001","5","94002","1","2","0","140001","4000","0","1000000","4","4","2","1","0","12","32009","40"
"90008","90005","15","94002","5","2","0","140001","4500","0","2000000","4","4","2","1","0","12","32009","45"
"90008","25001","5","94002","1","2","0","140001","5000","0","2000000","4","4","2","1","0","12","32009","50"
"90008","90005","15","94002","10","2","0","140001","500","0","500000","1","4","2","1","0","12","32010","5"
"91002","140001","1","25001","5","4","12","21951","100","94002","1","1","2","8","1","500000","2","32010","10"
"90008","90005","15","94002","5","2","0","140001","1000","0","750000","2","4","2","1","0","12","32010","15"
"91002","25001","5","94002","1","2","0","140001","150","0","750000","2","4","8","1","0","12","32010","20"
"90008","90005","15","94002","5","2","0","140001","1500","0","750000","2","4","2","1","0","12","32010","25"
"91002","140001","3000","25001","5","4","12","90008","250","94002","1","3","2","8","1","750000","2","32010","30"
"4101401","140001","3500","90005","15","4","12","90008","1","94002","5","3","2","18","1","1000000","2","32010","35"
"90008","25001","5","94002","1","2","0","140001","4000","0","1000000","4","4","2","1","0","12","32010","40"
"4109401","140001","4500","90005","15","4","12","90008","1","94002","5","4","2","18","1","2000000","2","32010","45"
"90008","25001","5","94002","1","2","0","140001","5000","0","2000000","4","4","2","1","0","12","32010","50"
"90008","90005","15","94002","10","2","0","140001","500","0","500000","1","4","2","1","0","12","32011","5"
"91002","140001","1","25001","5","4","12","21951","100","94002","1","1","2","8","1","500000","2","32011","10"
"90008","90005","15","94002","5","2","0","140001","1000","0","750000","2","4","2","1","0","12","32011","15"
"91002","25001","5","94002","1","2","0","140001","150","0","750000","2","4","8","1","0","12","32011","20"
"90008","90005","15","94002","5","2","0","140001","1500","0","750000","2","4","2","1","0","12","32011","25"
"91002","140001","3000","25001","5","4","12","90008","250","94002","1","3","2","8","1","750000","2","32011","30"
"4301401","140001","3500","90005","15","4","12","90008","1","94002","5","3","2","18","1","1000000","2","32011","35"
"90008","25001","5","94002","1","2","0","140001","4000","0","1000000","4","4","2","1","0","12","32011","40"
"4303401","140001","4500","90005","15","4","12","90008","1","94002","5","4","2","18","1","2000000","2","32011","45"
"90008","25001","5","94002","1","2","0","140001","5000","0","2000000","4","4","2","1","0","12","32011","50"
"90008","90005","15","94002","10","2","0","140001","500","0","500000","1","4","2","1","0","12","32012","5"
"91002","140001","1","25001","5","4","12","21951","100","94002","1","1","2","8","1","500000","2","32012","10"
"90008","90005","15","94002","5","2","0","140001","1000","0","750000","2","4","2","1","0","12","32012","15"
"91002","25001","5","94002","1","2","0","140001","150","0","750000","2","4","8","1","0","12","32012","20"
"90008","90005","15","94002","5","2","0","140001","1500","0","750000","2","4","2","1","0","12","32012","25"
"91002","140001","3000","25001","5","4","12","90008","250","94002","1","3","2","8","1","750000","2","32012","30"
"4201401","140001","3500","90005","15","4","12","90008","1","94002","5","3","2","18","1","1000000","2","32012","35"
"90008","25001","5","94002","1","2","0","140001","4000","0","1000000","4","4","2","1","0","12","32012","40"
"4204401","140001","4500","90005","15","4","12","90008","1","94002","5","4","2","18","1","2000000","2","32012","45"
"90008","25001","5","94002","1","2","0","140001","5000","0","2000000","4","4","2","1","0","12","32012","50"
"90008","90005","15","94002","10","2","0","140001","500","0","500000","1","4","2","1","0","12","32013","5"
"91002","140001","1","25001","5","4","12","21951","100","94002","1","1","2","8","1","500000","2","32013","10"
"90008","90005","15","94002","5","2","0","140001","1000","0","750000","2","4","2","1","0","12","32013","15"
"91002","25001","5","94002","1","2","0","140001","150","0","750000","2","4","8","1","0","12","32013","20"
"90008","90005","15","94002","5","2","0","140001","1500","0","750000","2","4","2","1","0","12","32013","25"
"91002","140001","3000","25001","5","4","12","90008","250","94002","1","3","2","8","1","750000","2","32013","30"
"4110401","140001","3500","90005","15","4","12","90008","1","94002","5","3","2","18","1","1000000","2","32013","35"
"90008","25001","5","94002","1","2","0","140001","4000","0","1000000","4","4","2","1","0","12","32013","40"
"4102401","140001","4500","90005","15","4","12","90008","1","94002","5","4","2","18","1","2000000","2","32013","45"
"90008","25001","5","94002","1","2","0","140001","5000","0","2000000","4","4","2","1","0","12","32013","50"
"90008","90005","15","94002","10","2","0","140001","500","0","500000","1","4","2","1","0","12","32014","5"
"91002","140001","1","25001","5","4","12","21951","100","94002","1","1","2","8","1","500000","2","32014","10"
"90008","90005","15","94002","5","2","0","140001","1000","0","750000","2","4","2","1","0","12","32014","15"
"91002","25001","5","94002","1","2","0","140001","150","0","750000","2","4","8","1","0","12","32014","20"
"90008","90005","15","94002","5","2","0","140001","1500","0","750000","2","4","2","1","0","12","32014","25"
"91002","140001","3000","25001","5","4","12","90008","250","94002","1","3","2","8","1","750000","2","32014","30"
"4203401","140001","3500","90005","15","4","12","90008","1","94002","5","3","2","18","1","1000000","2","32014","35"
"90008","25001","5","94002","1","2","0","140001","4000","0","1000000","4","4","2","1","0","12","32014","40"
"4202401","140001","4500","90005","15","4","12","90008","1","94002","5","4","2","18","1","2000000","2","32014","45"
"90008","25001","5","94002","1","2","0","140001","5000","0","2000000","4","4","2","1","0","12","32014","50"
"90008","90005","15","94002","10","2","0","140001","500","0","500000","1","4","2","1","0","12","32015","5"
"91002","140001","1","25001","5","4","12","21951","100","94002","1","1","2","8","1","500000","2","32015","10"
"90008","90005","15","94002","5","2","0","140001","1000","0","750000","2","4","2","1","0","12","32015","15"
"91002","25001","5","94002","1","2","0","140001","150","0","750000","2","4","8","1","0","12","32015","20"
"90008","90005","15","94002","5","2","0","140001","1500","0","750000","2","4","2","1","0","12","32015","25"
"4107401","140001","3000","25001","5","4","12","90008","1","94002","1","3","2","18","1","750000","2","32015","30"
"91002","140001","3500","90005","15","4","12","90008","250","94002","5","3","2","8","1","1000000","2","32015","35"
"4105401","140001","4000","25001","5","4","12","90008","1","94002","1","4","2","18","1","1000000","2","32015","40"
"90008","90005","15","94002","5","2","0","140001","4500","0","2000000","4","4","2","1","0","12","32015","45"
"4106401","140001","5000","25001","5","4","12","90008","1","94002","1","4","2","18","1","2000000","2","32015","50"
"90008","90005","15","94002","10","2","0","140001","500","0","500000","1","4","2","1","0","12","32016","5"
"91002","140001","1","25001","5","4","12","21951","100","94002","1","1","2","8","1","500000","2","32016","10"
"90008","90005","15","94002","5","2","0","140001","1000","0","750000","2","4","2","1","0","12","32016","15"
"91002","25001","5","94002","1","2","0","140001","150","0","750000","2","4","8","1","0","12","32016","20"
"90008","90005","15","94002","5","2","0","140001","1500","0","750000","2","4","2","1","0","12","32016","25"
"4305401","140001","3000","25001","5","4","12","90008","1","94002","1","3","2","18","1","750000","2","32016","30"
"91002","140001","3500","90005","15","4","12","90008","250","94002","5","3","2","8","1","1000000","2","32016","35"
"4302401","140001","4000","25001","5","4","12","90008","1","94002","1","4","2","18","1","1000000","2","32016","40"
"90008","90005","15","94002","5","2","0","140001","4500","0","2000000","4","4","2","1","0","12","32016","45"
"4304401","140001","5000","25001","5","4","12","90008","1","94002","1","4","2","18","1","2000000","2","32016","50"
