a9d397943590442afb65a98219e58543ff4ae4891800abf7a250f7bcf121aa8c,f0651115a4fc467a2c0dafcc37ddb10b8cb2ee18c7577ea1f71f763ed2f50392,2321f04d7cdf0d1ca42281767cc82a50df8dbcd083b0b803de279b10e19a2a87,dcb71ee648d74ce6ef29c1a9bd5885012b1f90549076708e5ba8b6babf6a9784,e7e1599545941461124b4e178114722bc655813226b2aada7c0bb86bb6b7daed,f46ada19a07feba2c7ca013603189eaa0f6673c02f94f3070c2ebb53f39bfbe5,97fa48b580da979a9c321117682aa7006f82e62e9eebc45b034918ba64fbb53e,7da6a6b835c32b8a2532d2969631786814b3725a6f62a0ec7bf255267fefea90,fb20c10dae4daafe89b25deba939f75ca3b0540fa832333a11e68b6ae43a9786,7cbc8fe74a43327ef6eae7327593f9549982f65f87d78d2cebc29787e9b393e8,8079b586d1855598dde580383bbdf3e288e396790f63767ef7819ff3421f6e7e
"","se_caravan","se_caravan_dice_get_intro","0","","","","","10202","23","1102020015"
"","1","getDice_idle","1","0","","","","10202","3","1102020016"
"1","100","run_getDice","0","0","eat_loop","","0","10202","3","1102020017"
"","1","1","","","","","","10202","32","1102020018"
"11","100","344","-263","","2","","","10202","2","1102020019"
"11","1","344","-263","","2","","","10202","33","1102020020"
"","2","1","","","","","","10202","32","1102020021"
"","1.7","0","","","","","","10202","93","1102020022"
"","1","getDice_curious","1","0.2","","","0","10202","3","1102020023"
"","vo_caravan","vo_caravan_event_003_000","0","","0","","","10202","21","1102020024"
"","1.5","0","","","","","","10202","93","1102020025"
"","se_caravan","se_caravan_dice_get_outro_2","0","","","","","10202","23","1102020026"
"","vo_caravan","vo_caravan_event_003_001","0","","0","","","10202","21","1102020027"
"1","100","spit_in","0","0.1","idle_single","","0","10202","3","1102020028"
"","2","getDice_2","0","0","","","","10202","3","1102020029"
"","1","getDice_panic_2","0","0.1","","","","10202","3","1102020030"
"","2.5","0","","","","","","10202","93","1102020031"
"1","100","joy_single","0","0.2","idle_single","","0","10202","3","1102020032"
"","0.5","0","","","","","","10202","93","1102020033"
"","vo_caravan","vo_caravan_event_003_002","0","","0.1","","","10202","21","1102020034"
"","0.1","0","","","","","","10202","93","1102020035"
"","3","1","","","","","","10202","32","1102020036"
"","1.6","0","","","","","","10202","93","1102020037"
"","1102020039","0","","","","","","10202","101","1102020038"
"","4","1","","","","","","10202","35","1102020039"
"","4","1","","","","","","10202","32","1102020040"
"","20","1","","","","","","10202","32","1102020041"
"","1","0","","","","","","10202","32","1102020042"
"","0.4","0","","","","","","10202","93","1102020043"
"","","","","","","","","10202","92","1102020044"
"","30","1","","","","","","10202","35","1102020045"
"","30","1","","","","","","10202","32","1102020046"
"","0.2","0","","","","","","10202","93","1102020047"
"0","1","1","1","0","1","","0","10202","6","1102020048"
"0","2","1","1","0","1","","0","10202","6","1102020049"
"0","100","1","1","0","1","","0","10202","6","1102020050"
"","0","0","","","","","","10202","32","1102020051"
"","2","0","","","","","","10202","32","1102020052"
"","3","0","","","","","","10202","32","1102020053"
"","4","0","","","","","","10202","32","1102020054"
"","10","0","","","","","","10202","32","1102020055"
"","20","0","","","","","","10202","32","1102020056"
"","0.3","0","","","","","","10202","93","1102020057"
"0","1","1","20","1","0","magicitem_1","0","10301","5","1103010001"
"0","2","2","19","1","0","magicitem_2","0","10301","5","1103010002"
"0","3","3","18","1","0","magicitem_3","0","10301","5","1103010003"
"0","103000","4","21","1","0","magicitem_kyaru","0","10301","5","1103010004"
"1","103000","10","0","0","0","","","10301","31","1103010005"
"1","103001","11","0","0","0","","","10301","31","1103010006"
"1","103002","12","0","0","0","","","10301","31","1103010007"
"1","103003","13","0","0","0","","","10301","31","1103010008"
"1","103007","14","0","0","0","","","10301","31","1103010009"
"1","103011","19","0","0","0","","","10301","31","1103010010"
"1","1","15","0","1","0","","","10301","31","1103010011"
"1","2","16","0","0","0","","","10301","31","1103010012"
"1","3","17","0","0","0","","","10301","31","1103010013"
"1","4","18","0","0","0","","","10301","31","1103010014"
"1","18","0","0","1","0","","","10301","35","1103010015"
"","18","1","","","","","","10301","32","1103010016"
"","0","0","","","","","","10301","91","1103010017"
"","10","1","","","","","","10301","32","1103010018"
"","11","1","","","","","","10301","32","1103010019"
"","12","1","","","","","","10301","32","1103010020"
"","13","1","","","","","","10301","32","1103010021"
"","19","1","","","","","","10301","32","1103010022"
"","1","magicitem_1","0","0","","","","10301","3","1103010023"
"","2","magicitem_2","0","0","","","","10301","3","1103010024"
"","3","magicitem_3","0","0","","","","10301","3","1103010025"
"","4","magicitem_kyaru","0","0","","","","10301","3","1103010026"
"","vo_caravan","vo_caravan_event_004_000","0","","2.17","","","10301","21","1103010027"
"","vo_caravan","vo_caravan_event_004_001","1","","3.2","","","10301","21","1103010028"
"","vo_caravan","vo_caravan_event_004_002","2","","4.9","","","10301","21","1103010029"
"","7","0","","","","","","10301","93","1103010030"
"","18","0","","","","","","10301","32","1103010031"
"","0.67","0","","","","","","10301","93","1103010032"
"","1103010034","1","","","","","","10301","101","1103010033"
"","14","1","","","","","","10301","35","1103010034"
"","14","1","","","","","","10301","32","1103010035"
"","16","1","","","","","","10301","32","1103010036"
"","19","0","","","","","","10301","32","1103010037"
"","18","1","","","","","","10301","35","1103010038"
"","0.4","0","","","","","","10301","93","1103010039"
"","","","","","","","","10301","92","1103010040"
"","17","1","","","","","","10301","35","1103010041"
"","17","1","","","","","","10301","32","1103010042"
"","0.2","0","","","","","","10301","93","1103010043"
"0","1","0","0","0.01","0","","0","10301","6","1103010044"
"0","2","0","0","0.01","0","","0","10301","6","1103010045"
"0","3","0","0","0.01","0","","0","10301","6","1103010046"
"0","4","0","0","0.01","0","","0","10301","6","1103010047"
"","10","0","","","","","","10301","32","1103010048"
"","11","0","","","","","","10301","32","1103010049"
"","12","0","","","","","","10301","32","1103010050"
"","13","0","","","","","","10301","32","1103010051"
"","14","0","","","","","","10301","32","1103010052"
"","15","0","","","","","","10301","32","1103010053"
"","16","0","","","","","","10301","32","1103010054"
"","18","0","","","","","","10301","32","1103010055"
"","0.3","0","","","","","","10301","93","1103010056"
"0","4","1","20","1","0","magicitem_1","0","10302","5","1103020001"
"0","3","2","19","1","0","magicitem_2","0","10302","5","1103020002"
"0","1","3","18","1","0","magicitem_3","0","10302","5","1103020003"
"0","103000","4","21","1","0","magicitem_pekorine","0","10302","5","1103020004"
"1","103000","10","0","0","0","","","10302","31","1103020005"
"1","103001","11","0","0","0","","","10302","31","1103020006"
"1","103002","12","0","0","0","","","10302","31","1103020007"
"1","103004","13","-25","0","9","","","10302","31","1103020008"
"1","103008","14","0","0","0","","","10302","31","1103020009"
"1","103011","19","0","0","0","","","10302","31","1103020010"
"1","1","15","0","1","0","","","10302","31","1103020011"
"1","2","16","0","0","0","","","10302","31","1103020012"
"1","3","17","0","0","0","","","10302","31","1103020013"
"1","4","18","0","0","0","","","10302","31","1103020014"
"1","18","0","0","1","0","","","10302","35","1103020015"
"","18","1","","","","","","10302","32","1103020016"
"","0","0","","","","","","10302","91","1103020017"
"","10","1","","","","","","10302","32","1103020018"
"","11","1","","","","","","10302","32","1103020019"
"","12","1","","","","","","10302","32","1103020020"
"","13","1","","","","","","10302","32","1103020021"
"","19","1","","","","","","10302","32","1103020022"
"","1","magicitem_1","0","0","","","","10302","3","1103020023"
"","2","magicitem_2","0","0","","","","10302","3","1103020024"
"","3","magicitem_3","0","0","","","","10302","3","1103020025"
"","4","magicitem_pekorine","0","0","","","","10302","3","1103020026"
"","vo_caravan","vo_caravan_event_006_000","0","","2.17","","","10302","21","1103020027"
"","vo_caravan","vo_caravan_event_006_001","1","","3.2","","","10302","21","1103020028"
"","vo_caravan","vo_caravan_event_006_002","2","","4.9","","","10302","21","1103020029"
"","7","0","","","","","","10302","93","1103020030"
"","18","0","","","","","","10302","32","1103020031"
"","0.67","0","","","","","","10302","93","1103020032"
"","1103020034","1","","","","","","10302","101","1103020033"
"","14","1","","","","","","10302","35","1103020034"
"","14","1","","","","","","10302","32","1103020035"
"","16","1","","","","","","10302","32","1103020036"
"","19","0","","","","","","10302","32","1103020037"
"","18","1","","","","","","10302","35","1103020038"
"","0.4","0","","","","","","10302","93","1103020039"
"","","","","","","","","10302","92","1103020040"
"","17","1","","","","","","10302","35","1103020041"
"","17","1","","","","","","10302","32","1103020042"
"","0.2","0","","","","","","10302","93","1103020043"
"0","1","0","0","0.01","0","","0","10302","6","1103020044"
"0","2","0","0","0.01","0","","0","10302","6","1103020045"
"0","3","0","0","0.01","0","","0","10302","6","1103020046"
"0","4","0","0","0.01","0","","0","10302","6","1103020047"
"","10","0","","","","","","10302","32","1103020048"
"","11","0","","","","","","10302","32","1103020049"
"","12","0","","","","","","10302","32","1103020050"
"","13","0","","","","","","10302","32","1103020051"
"","14","0","","","","","","10302","32","1103020052"
"","15","0","","","","","","10302","32","1103020053"
"","16","0","","","","","","10302","32","1103020054"
"","18","0","","","","","","10302","32","1103020055"
"","0.3","0","","","","","","10302","93","1103020056"
"0","3","1","20","1","0","magicitem_1","0","10303","5","1103030001"
"0","1","2","19","1","0","magicitem_2","0","10303","5","1103030002"
"0","2","3","18","1","0","magicitem_3","0","10303","5","1103030003"
"0","103000","4","21","1","0","magicitem_kokkoro","0","10303","5","1103030004"
"1","103000","10","0","0","0","","","10303","31","1103030005"
"1","103001","11","0","0","0","","","10303","31","1103030006"
"1","103002","12","0","0","0","","","10303","31","1103030007"
"1","103005","13","8","0","-35","","","10303","31","1103030008"
"1","103009","14","0","0","0","","","10303","31","1103030009"
"1","103012","19","0","0","0","","","10303","31","1103030010"
"1","1","15","0","1","0","","","10303","31","1103030011"
"1","2","16","0","0","0","","","10303","31","1103030012"
"1","3","17","0","0","0","","","10303","31","1103030013"
"1","4","18","0","0","0","","","10303","31","1103030014"
"1","18","0","0","1","0","","","10303","35","1103030015"
"","18","1","","","","","","10303","32","1103030016"
"","0","0","","","","","","10303","91","1103030017"
"","10","1","","","","","","10303","32","1103030018"
"","11","1","","","","","","10303","32","1103030019"
"","12","1","","","","","","10303","32","1103030020"
"","13","1","","","","","","10303","32","1103030021"
"","19","1","","","","","","10303","32","1103030022"
"","1","magicitem_1","0","0","","","","10303","3","1103030023"
"","2","magicitem_2","0","0","","","","10303","3","1103030024"
"","3","magicitem_3","0","0","","","","10303","3","1103030025"
"","4","magicitem_kokkoro","0","0","","","","10303","3","1103030026"
"","vo_caravan","vo_caravan_event_005_000","0","","2.17","","","10303","21","1103030027"
"","vo_caravan","vo_caravan_event_005_001","1","","3.2","","","10303","21","1103030028"
"","vo_caravan","vo_caravan_event_005_002","2","","4.9","","","10303","21","1103030029"
"","7","0","","","","","","10303","93","1103030030"
"","18","0","","","","","","10303","32","1103030031"
"","0.67","0","","","","","","10303","93","1103030032"
"","1103030034","1","","","","","","10303","101","1103030033"
"","14","1","","","","","","10303","35","1103030034"
"","14","1","","","","","","10303","32","1103030035"
"","16","1","","","","","","10303","32","1103030036"
"","19","0","","","","","","10303","32","1103030037"
"","18","1","","","","","","10303","35","1103030038"
"","0.4","0","","","","","","10303","93","1103030039"
"","","","","","","","","10303","92","1103030040"
"","17","1","","","","","","10303","35","1103030041"
"","17","1","","","","","","10303","32","1103030042"
"","0.2","0","","","","","","10303","93","1103030043"
"0","1","0","0","0.01","0","","0","10303","6","1103030044"
"0","2","0","0","0.01","0","","0","10303","6","1103030045"
"0","3","0","0","0.01","0","","0","10303","6","1103030046"
"0","4","0","0","0.01","0","","0","10303","6","1103030047"
"","10","0","","","","","","10303","32","1103030048"
"","11","0","","","","","","10303","32","1103030049"
"","12","0","","","","","","10303","32","1103030050"
"","13","0","","","","","","10303","32","1103030051"
"","14","0","","","","","","10303","32","1103030052"
"","15","0","","","","","","10303","32","1103030053"
"","16","0","","","","","","10303","32","1103030054"
"","18","0","","","","","","10303","32","1103030055"
"","0.3","0","","","","","","10303","93","1103030056"
"0","1","1","20","1","0","magicitem_1","0","10304","5","1103040001"
"0","2","2","19","1","0","magicitem_2","0","10304","5","1103040002"
"0","4","3","18","1","0","magicitem_3","0","10304","5","1103040003"
"0","103000","4","21","1","0","magicitem_kyaru","0","10304","5","1103040004"
"1","103000","10","0","0","0","","","10304","31","1103040005"
"1","103001","11","0","0","0","","","10304","31","1103040006"
"1","103002","12","0","0","0","","","10304","31","1103040007"
"1","103006","13","0","0","0","","","10304","31","1103040008"
"1","103010","14","0","0","0","","","10304","31","1103040009"
"1","103011","19","0","0","0","","","10304","31","1103040010"
"1","1","15","0","1","0","","","10304","31","1103040011"
"1","2","16","0","0","0","","","10304","31","1103040012"
"1","3","17","0","0","0","","","10304","31","1103040013"
"1","4","18","0","0","0","","","10304","31","1103040014"
"1","18","0","0","1","0","","","10304","35","1103040015"
"","18","1","","","","","","10304","32","1103040016"
"","0","0","","","","","","10304","91","1103040017"
"","10","1","","","","","","10304","32","1103040018"
"","11","1","","","","","","10304","32","1103040019"
"","12","1","","","","","","10304","32","1103040020"
"","13","1","","","","","","10304","32","1103040021"
"","19","1","","","","","","10304","32","1103040022"
"","1","magicitem_1","0","0","","","","10304","3","1103040023"
"","2","magicitem_2","0","0","","","","10304","3","1103040024"
"","3","magicitem_3","0","0","","","","10304","3","1103040025"
"","4","magicitem_kyaru2","0","0","","","","10304","3","1103040026"
"","vo_caravan","vo_caravan_event_007_000","0","","2.17","","","10304","21","1103040027"
"","vo_caravan","vo_caravan_event_007_001","1","","3.2","","","10304","21","1103040028"
"","vo_caravan","vo_caravan_event_007_002","2","","4.9","","","10304","21","1103040029"
"","7","0","","","","","","10304","93","1103040030"
"","18","0","","","","","","10304","32","1103040031"
"","0.67","0","","","","","","10304","93","1103040032"
"","1103040034","1","","","","","","10304","101","1103040033"
"","14","1","","","","","","10304","35","1103040034"
"","14","1","","","","","","10304","32","1103040035"
"","16","1","","","","","","10304","32","1103040036"
"","19","0","","","","","","10304","32","1103040037"
"","18","1","","","","","","10304","35","1103040038"
"","0.4","0","","","","","","10304","93","1103040039"
"","","","","","","","","10304","92","1103040040"
"","17","1","","","","","","10304","35","1103040041"
"","17","1","","","","","","10304","32","1103040042"
"","0.2","0","","","","","","10304","93","1103040043"
"0","1","0","0","0.01","0","","0","10304","6","1103040044"
"0","2","0","0","0.01","0","","0","10304","6","1103040045"
"0","3","0","0","0.01","0","","0","10304","6","1103040046"
"0","4","0","0","0.01","0","","0","10304","6","1103040047"
"","10","0","","","","","","10304","32","1103040048"
"","11","0","","","","","","10304","32","1103040049"
"","12","0","","","","","","10304","32","1103040050"
"","13","0","","","","","","10304","32","1103040051"
"","14","0","","","","","","10304","32","1103040052"
"","15","0","","","","","","10304","32","1103040053"
"","16","0","","","","","","10304","32","1103040054"
"","18","0","","","","","","10304","32","1103040055"
"","0.3","0","","","","","","10304","93","1103040056"
"-270","3","1","55","0.95","-250","empty","0","10401","5","1104010001"
"-270","104000","2","57","0.95","-250","empty","0","10401","5","1104010002"
"-260","5","3","50","0.95","150","empty","0","10401","5","1104010003"
"-260","5","4","52","0.95","150","empty","0","10401","5","1104010004"
"1","104000","0","220","0","0","","","10401","31","1104010005"
"1","104001","1","0","0","0","","","10401","31","1104010006"
"1","104002","2","-225","0","-235","","","10401","31","1104010007"
"1","104003","3","0","0","0","","","10401","31","1104010008"
"1","104004","4","0","0","0","","","10401","31","1104010009"
"1","104006","6","400","0","0","","","10401","31","1104010010"
"1","1","10","0","0","0","","","10401","31","1104010011"
"1","2","20","0","0","0","","","10401","31","1104010012"
"1","3","30","0","0","0","","","10401","31","1104010013"
"1","5","50","0","0","0","","","10401","31","1104010014"
"","0","0","","","","","","10401","91","1104010015"
"","50","1","","","","","","10401","32","1104010016"
"","0","1","","","","","","10401","32","1104010017"
"","10","1","","","","","","10401","32","1104010018"
"","0.5","0","","","","","","10401","93","1104010019"
"","se_caravan","se_caravan_event_kyaru_A","0","","","","","10401","23","1104010020"
"","vo_caravan","vo_caravan_event_98011_000","0","","0.2","","","10401","21","1104010021"
"","6","1","","","","","","10401","32","1104010022"
"","3","turnSkip_1_karin","0","0","","","0","10401","3","1104010023"
"","4","turnSkip_1_pen","0","0","","","0","10401","3","1104010024"
"","1","turnSkip_1","0","0","","","0","10401","3","1104010025"
"","2","turnSkip_1","0","0","","","0","10401","3","1104010026"
"8","0","0","0","","0.7","","","10401","33","1104010027"
"8","3","-250","-260","","0.7","","","10401","2","1104010028"
"8","4","-250","-260","","0.7","","","10401","2","1104010029"
"8","6","0","0","","0.7","","","10401","33","1104010030"
"","4.3","0","","","","","","10401","93","1104010031"
"","se_caravan","se_caravan_event_kyaru_1turn_B","0","","","","","10401","23","1104010032"
"","vo_caravan","vo_caravan_event_98011_001","0","","0.533","","","10401","21","1104010033"
"","0.833","0","","","","","","10401","93","1104010034"
"","3","1","","","","","","10401","32","1104010035"
"","0.3003","0","","","","","","10401","93","1104010036"
"","1","1","","","","","","10401","32","1104010037"
"","1.0337","0","","","","","","10401","93","1104010038"
"","vo_caravan","vo_caravan_event_98011_002","0","","","","","10401","21","1104010039"
"","2","1","","","","","","10401","32","1104010040"
"","0.833","0","","","","","","10401","93","1104010041"
"","1104010043","0","","","","","","10401","101","1104010042"
"","4","1","","","","","","10401","35","1104010043"
"","4","1","","","","","","10401","32","1104010044"
"","20","1","","","","","","10401","32","1104010045"
"","0.4","0","","","","","","10401","93","1104010046"
"","","","","","","","","10401","92","1104010047"
"","30","1","","","","","","10401","35","1104010048"
"","30","1","","","","","","10401","32","1104010049"
"","0.2","0","","","","","","10401","93","1104010050"
"0","1","1","1","0","1","","0","10401","6","1104010051"
"0","2","1","1","0","1","","0","10401","6","1104010052"
"0","3","1","1","0","1","","0","10401","6","1104010053"
"0","4","1","1","0","1","","0","10401","6","1104010054"
"","0","0","","","","","","10401","32","1104010055"
"","1","0","","","","","","10401","32","1104010056"
"","2","0","","","","","","10401","32","1104010057"
"","3","0","","","","","","10401","32","1104010058"
"","4","0","","","","","","10401","32","1104010059"
"","6","0","","","","","","10401","32","1104010060"
"","10","0","","","","","","10401","32","1104010061"
"","20","0","","","","","","10401","32","1104010062"
"","50","0","","","","","","10401","32","1104010063"
"","0.3","0","","","","","","10401","93","1104010064"
"-270","3","1","55","0.95","-250","empty","0","10402","5","1104020001"
"-270","104000","2","57","0.95","-250","empty","0","10402","5","1104020002"
"-260","5","3","50","0.95","100","empty","0","10402","5","1104020003"
"-260","5","4","52","0.95","100","empty","0","10402","5","1104020004"
"1","104000","0","220","0","0","","","10402","31","1104020005"
"1","104001","1","0","0","0","","","10402","31","1104020006"
"1","104002","2","-205","0","-245","","","10402","31","1104020007"
"1","104003","3","0","0","0","","","10402","31","1104020008"
"1","104005","5","0","0","0","","","10402","31","1104020009"
"1","104006","6","265","0","0","","","10402","31","1104020010"
"1","1","10","0","0","0","","","10402","31","1104020011"
"1","2","20","0","0","0","","","10402","31","1104020012"
"1","3","30","0","0","0","","","10402","31","1104020013"
"1","5","50","0","0","0","","","10402","31","1104020014"
"","0","0","","","","","","10402","91","1104020015"
"","50","1","","","","","","10402","32","1104020016"
"","0","1","","","","","","10402","32","1104020017"
"","10","1","","","","","","10402","32","1104020018"
"","0.5","0","","","","","","10402","93","1104020019"
"","se_caravan","se_caravan_event_kyaru_A","0","","","","","10402","23","1104020020"
"","vo_caravan","vo_caravan_event_98012_000","0","","0.2","","","10402","21","1104020021"
"","6","1","","","","","","10402","32","1104020022"
"","3","turnSkip_2_karin","0","0","","","0","10402","3","1104020023"
"","4","turnSkip_2_pen","0","0","","","0","10402","3","1104020024"
"","1","turnSkip_2","0","0","","","0","10402","3","1104020025"
"","2","turnSkip_2","0","0","","","0","10402","3","1104020026"
"8","0","0","0","","0.7","","","10402","33","1104020027"
"8","3","-250","-260","","0.7","","","10402","2","1104020028"
"8","4","-250","-260","","0.7","","","10402","2","1104020029"
"8","6","0","0","","0.7","","","10402","33","1104020030"
"","4.3","0","","","","","","10402","93","1104020031"
"","se_caravan","se_caravan_event_kyaru_2turn_B","0","","","","","10402","23","1104020032"
"","vo_caravan","vo_caravan_event_98012_001","0","","0.63","","","10402","21","1104020033"
"","vo_caravan","vo_caravan_event_98012_002","0","","2.2","","","10402","21","1104020034"
"","2.5","0","","","","","","10402","93","1104020035"
"","3","1","","","","","","10402","32","1104020036"
"","0.3","0","","","","","","10402","93","1104020037"
"","1","1","","","","","","10402","32","1104020038"
"","1.067","0","","","","","","10402","93","1104020039"
"","vo_caravan","vo_caravan_event_98012_003","0","","","","","10402","21","1104020040"
"","2","1","","","","","","10402","32","1104020041"
"","0.933","0","","","","","","10402","93","1104020042"
"","1104020044","0","","","","","","10402","101","1104020043"
"","5","1","","","","","","10402","35","1104020044"
"","5","1","","","","","","10402","32","1104020045"
"","20","1","","","","","","10402","32","1104020046"
"","0.4","0","","","","","","10402","93","1104020047"
"","","","","","","","","10402","92","1104020048"
"","30","1","","","","","","10402","35","1104020049"
