deeb6f3efb6e0656dee1c815b46c1fd85bfdef98103b68484b7c32a15ddd0a41,57c53266987b511994207a9c0d67b3312cc90eef985720909fd5b207f6aa0815,097fe25a1b9e0a14cc70673cb72111f34e0ba2f4674a84abf229143ce7599fa4,3c424fda20699929f4eca7e10dedd2d83de5696f0c363e3e9a2a3e6e2690813f,ca510242e642686a9319feda30000b6f8f47cd179bac3c9776dafeef3c95c8ae,e00fe426af47b20bb6a1d746a55f4968b5231af3f55022f5fbf6934cf794e788,49e8c1ab7dbb0f2b242a22af30bac133837f927a81e745944cca08b5365beb94,ca0f91b5c4ac8f4c3e5594ce4b50de53424709fcbd1b3fdd15fbad8852720b8d,65ec5deddb7768d370db746ca4b60ec6dcb9082a42f49901e4d7b47b5862cd6b,9948a97169b9ace4b631abbee3c6b6fb71709c74f611fb315c132db33501f042,1f2e77c53e777a2926faba7fc85f4038e20992575327b8dee8b17c65d4032a24,bf95630c417d31867ff8fdaa721123afa078ce90a99b3f72026a0dc335e1cd0f
"0","0","0","24","1","2.5","1007004","4","0","0","0","100700424"
"0","0","0","1","1","0.8","1007005","4","0","0","0","100700501"
"vo_svd","vo_svd_0501","0","2","0","0","1007005","2","0","0","0","100700502"
"0","0","329","3","0","0","1007005","1","1.741","1","0","100700503"
"0","0","0","4","1","2.972","1007005","4","0","0","0","100700504"
"vo_svd","vo_svd_0502","0","5","0","0","1007005","2","0","0","0","100700505"
"0","0","320","6","0","0","1007005","1","1.539","2","0","100700506"
"0","0","0","7","1","1.258","1007005","4","0","0","0","100700507"
"0","0","175","8","0","0","1007005","1","0.762","3","0","100700508"
"0","0","0","9","1","2.583","1007005","4","0","0","0","100700509"
"vo_svd","vo_svd_0503","0","10","0","0","1007005","2","0","0","0","100700510"
"0","0","336","11","0","0","1007005","1","2.131","4","0","100700511"
"0","0","0","12","1","2.924","1007005","4","0","0","0","100700512"
"0","0","329","13","0","0","1007005","1","1.868","5","0","100700513"
"0","0","0","14","1","3.266","1007005","4","0","0","0","100700514"
"vo_svd","vo_svd_0504","0","15","0","0","1007005","2","0","0","0","100700515"
"0","0","275","16","0","0","1007005","1","1.269","6","0","100700516"
"0","0","0","17","1","2.653","1007005","4","0","0","0","100700517"
"vo_svd","vo_svd_0505","0","18","0","0","1007005","2","0","0","0","100700518"
"0","0","336","19","0","0","1007005","1","2.056","7","0","100700519"
"0","0","0","20","1","1.844","1007005","4","0","0","0","100700520"
"0","0","364","21","0","0","1007005","1","1.965","8","0","100700521"
"0","0","0","22","1","2.5","1007005","4","0","0","0","100700522"
"0","0","0","1","1","0.8","1007006","4","0","0","0","100700601"
"vo_svd","vo_svd_0601","0","2","0","0","1007006","2","0","0","0","100700602"
"0","0","336","3","0","0","1007006","1","1.875","1","0","100700603"
"0","0","0","4","1","3.353","1007006","4","0","0","0","100700604"
"vo_svd","vo_svd_0602","0","5","0","0","1007006","2","0","0","0","100700605"
"0","0","336","6","0","0","1007006","1","1.734","2","0","100700606"
"0","0","0","7","1","1.665","1007006","4","0","0","0","100700607"
"0","0","219","8","0","0","1007006","1","1.035","3","0","100700608"
"0","0","0","9","1","1.893","1007006","4","0","0","0","100700609"
"0","0","354","10","0","0","1007006","1","0.821","3","248","100700610"
"0","0","0","11","1","0.664","1007006","4","0","0","0","100700611"
"0","0","275","12","0","0","1007006","1","1.361","4","0","100700612"
"0","0","0","13","1","1.108","1007006","4","0","0","0","100700613"
"0","0","259","14","0","0","1007006","1","1.269","5","0","100700614"
"0","0","0","15","1","3.112","1007006","4","0","0","0","100700615"
"vo_svd","vo_svd_0603","0","16","0","0","1007006","2","0","0","0","100700616"
"0","0","336","17","0","0","1007006","1","2.056","6","0","100700617"
"0","0","0","18","1","1.844","1007006","4","0","0","0","100700618"
"0","0","364","19","0","0","1007006","1","1.965","7","0","100700619"
"0","0","0","20","1","2.5","1007006","4","0","0","0","100700620"
"0","0","0","1","1","0.8","1007007","4","0","0","0","100700701"
"vo_svd","vo_svd_0701","0","2","0","0","1007007","2","0","0","0","100700702"
"0","0","132","3","0","0","1007007","1","0.926","1","0","100700703"
"0","0","0","4","1","1.549","1007007","4","0","0","0","100700704"
"0","0","345","5","0","0","1007007","1","1.457","1","132","100700705"
"0","0","0","6","1","1.228","1007007","4","0","0","0","100700706"
"0","0","168","7","0","0","1007007","1","0.762","2","0","100700707"
"0","0","0","8","1","2.221","1007007","4","0","0","0","100700708"
"vo_svd","vo_svd_0702","0","9","0","0","1007007","2","0","0","0","100700709"
"0","0","347","10","0","0","1007007","1","0.969","2","168","100700710"
"0","0","0","11","1","0.747","1007007","4","0","0","0","100700711"
"0","0","336","12","0","0","1007007","1","2.085","3","0","100700712"
"0","0","0","13","1","2.932","1007007","4","0","0","0","100700713"
"0","0","275","14","0","0","1007007","1","1.436","4","0","100700714"
"0","0","0","15","1","2.164","1007007","4","0","0","0","100700715"
"0","0","356","16","0","0","1007007","1","1.928","5","0","100700716"
"0","0","0","17","1","1.673","1007007","4","0","0","0","100700717"
"0","0","259","18","0","0","1007007","1","1.269","6","0","100700718"
"0","0","0","19","1","3.156","1007007","4","0","0","0","100700719"
"vo_svd","vo_svd_0703","0","20","0","0","1007007","2","0","0","0","100700720"
"0","0","336","21","0","0","1007007","1","2.077","7","0","100700721"
"0","0","0","22","1","1.841","1007007","4","0","0","0","100700722"
"0","0","364","23","0","0","1007007","1","1.965","8","0","100700723"
"0","0","0","24","0","2.5","1007007","4","0","0","0","100700724"
"0","0","0","1","1","0.8","1007008","4","0","0","0","100700801"
"vo_svd","vo_svd_0801","0","2","0","0","1007008","2","0","0","0","100700802"
"0","0","356","3","0","0","1007008","1","2.027","1","0","100700803"
"0","0","0","4","1","3.309","1007008","4","0","0","0","100700804"
"vo_svd","vo_svd_0802","0","5","0","0","1007008","2","0","0","0","100700805"
"0","0","336","6","0","0","1007008","1","1.879","2","0","100700806"
"0","0","0","7","1","3.041","1007008","4","0","0","0","100700807"
"vo_svd","vo_svd_0803","0","8","0","0","1007008","2","0","0","0","100700808"
"0","0","336","9","0","0","1007008","1","1.848","3","0","100700809"
"0","0","0","10","1","1.437","1007008","4","0","0","0","100700810"
"0","0","168","11","0","0","1007008","1","0.796","4","0","100700811"
"","","0","12","1","2.532","1007008","4","0","0","0","100700812"
"vo_svd","vo_svd_0804","0","13","0","0","1007008","2","0","0","0","100700813"
"0","0","101","14","0","0","1007008","1","1.002","5","0","100700814"
"0","0","0","15","1","2.164","1007008","4","0","0","0","100700815"
"0","0","299","16","0","0","1007008","1","1.574","5","101","100700816"
"0","0","0","17","1","2.164","1007008","4","0","0","0","100700817"
"0","0","259","18","0","0","1007008","1","1.269","6","0","100700818"
"0","0","0","19","1","2.5","1007008","4","0","0","0","100700819"
"0","0","0","1","1","0.8","1007009","4","0","0","0","100700901"
"vo_svd","vo_svd_0901","0","2","0","0","1007009","2","0","0","0","100700902"
"0","0","356","3","0","0","1007009","1","2.285","1","0","100700903"
"0","0","0","4","1","2.031","1007009","4","0","0","0","100700904"
"0","0","215","5","0","0","1007009","1","1.362","2","0","100700905"
"0","0","0","6","1","2.479","1007009","4","0","0","0","100700906"
"vo_svd","vo_svd_0902","0","7","0","0","1007009","2","0","0","0","100700907"
"0","0","356","8","0","0","1007009","1","2.004","3","0","100700908"
"0","0","0","9","1","1.804","1007009","4","0","0","0","100700909"
"0","0","266","10","0","0","1007009","1","2.026","4","0","100700910"
"0","0","0","11","1","2.473","1007009","4","0","0","0","100700911"
"0","0","338","12","0","0","1007009","1","0.518","4","266","100700912"
"0","0","0","13","1","0.556","1007009","4","0","0","0","100700913"
"0","0","336","14","0","0","1007009","1","2.021","5","0","100700914"
"0","0","0","15","1","1.713","1007009","4","0","0","0","100700915"
"0","0","250","16","0","0","1007009","1","1.513","6","0","100700916"
"0","0","0","17","1","1.981","1007009","4","0","0","0","100700917"
"vo_svd","vo_svd_0903","0","18","0","0","1007009","2","0","0","0","100700918"
"0","0","279","19","0","0","1007009","1","1.672","7","0","100700919"
"0","0","0","20","1","1.924","1007009","4","0","0","0","100700920"
"0","0","338","21","0","0","1007009","1","0.796","7","279","100700921"
"","","0","22","1","1.832","1007009","4","0","0","0","100700922"
"vo_svd","vo_svd_0904","0","23","0","0","1007009","2","0","0","0","100700923"
"0","0","96","24","0","0","1007009","1","0.703","8","0","100700924"
"0","0","0","25","1","1.523","1007009","4","0","0","0","100700925"
"vo_svd","vo_svd_0905","0","26","0","0","1007009","2","0","0","0","100700926"
"0","0","218","27","0","0","1007009","1","1.198","8","96","100700927"
"0","0","0","28","1","1.764","1007009","4","0","0","0","100700928"
"vo_svd","vo_svd_0906","0","29","0","0","1007009","2","0","0","0","100700929"
"0","0","336","30","0","0","1007009","1","2.335","9","0","100700930"
"0","0","0","31","1","3.423","1007009","4","0","0","0","100700931"
"vo_svd","vo_svd_0907","0","32","0","0","1007009","2","0","0","0","100700932"
"0","0","69","33","0","0","1007009","1","0.682","10","0","100700933"
"0","0","0","34","1","1.357","1007009","4","0","0","0","100700934"
"0","0","336","35","0","0","1007009","1","2.106","10","69","100700935"
"0","0","0","36","1","1.43","1007009","4","0","0","0","100700936"
"0","0","336","37","0","0","1007009","1","2.283","11","0","100700937"
"0","0","0","38","1","2.989","1007009","4","0","0","0","100700938"
"vo_svd","vo_svd_0908","0","39","0","0","1007009","2","0","0","0","100700939"
"0","0","322","40","0","0","1007009","1","1.978","12","0","100700940"
"0","0","0","41","1","1","1007009","4","0","0","0","100700941"
"0","0","0","1","1","0.8","1007010","4","0","0","0","100701001"
"vo_svd","vo_svd_1001","0","2","0","0","1007010","2","0","0","0","100701002"
"0","0","356","3","0","0","1007010","1","2.705","1","0","100701003"
"0","0","0","4","1","3.154","1007010","4","0","0","0","100701004"
"0","0","96","5","0","0","1007010","1","0.918","2","0","100701005"
"0","0","0","6","1","1.231","1007010","4","0","0","0","100701006"
"0","0","356","7","0","0","1007010","1","1.672","2","96","100701007"
"0","0","0","8","1","3.307","1007010","4","0","0","0","100701008"
"vo_svd","vo_svd_1002","0","9","0","0","1007010","2","0","0","0","100701009"
"0","0","131","10","0","0","1007010","1","0.835","3","0","100701010"
"0","0","0","11","1","1.164","1007010","4","0","0","0","100701011"
"0","0","336","12","0","0","1007010","1","1.623","3","131","100701012"
"0","0","0","13","1","1.712","1007010","4","0","0","0","100701013"
"0","0","356","14","0","0","1007010","1","2.294","4","0","100701014"
"0","0","0","15","1","2.186","1007010","4","0","0","0","100701015"
"0","0","322","16","0","0","1007010","1","2.184","5","0","100701016"
"0","0","0","17","1","3.034","1007010","4","0","0","0","100701017"
"vo_svd","vo_svd_1003","0","18","0","0","1007010","2","0","0","0","100701018"
"0","0","356","19","0","0","1007010","1","2.704","6","0","100701019"
"0","0","0","20","1","2.522","1007010","4","0","0","0","100701020"
"0","0","162","21","0","0","1007010","1","1.005","7","0","100701021"
"0","0","0","22","1","2.617","1007010","4","0","0","0","100701022"
"vo_svd","vo_svd_1004","0","23","0","0","1007010","2","0","0","0","100701023"
"0","0","131","24","0","0","1007010","1","0.975","8","0","100701024"
"0","0","0","25","1","1.202","1007010","4","0","0","0","100701025"
"0","0","291","26","0","0","1007010","1","1.214","8","131","100701026"
"0","0","0","27","1","1.187","1007010","4","0","0","0","100701027"
"0","0","345","28","0","0","1007010","1","2.043","9","0","100701028"
"0","0","0","29","1","3.356","1007010","4","0","0","0","100701029"
"vo_svd","vo_svd_1005","0","30","0","0","1007010","2","0","0","0","100701030"
"0","0","155","31","0","0","1007010","1","1.862","10","0","100701031"
"0","0","0","32","1","2.285","1007010","4","0","0","0","100701032"
"vo_svd","vo_svd_1006","0","33","0","0","1007010","2","0","0","0","100701033"
"0","0","85","34","0","0","1007010","1","0.682","11","0","100701034"
"0","0","0","35","1","1.529","1007010","4","0","0","0","100701035"
"0","0","220","36","0","0","1007010","1","1.042","11","85","100701036"
"0","0","0","37","1","2.384","1007010","4","0","0","0","100701037"
"vo_svd","vo_svd_1007","0","38","0","0","1007010","2","0","0","0","100701038"
"0","0","100","39","0","0","1007010","1","1.106","12","0","100701039"
"0","0","0","40","1","1.891","1007010","4","0","0","0","100701040"
"0","0","289","41","0","0","1007010","1","1.322","12","100","100701041"
"0","0","0","42","1","1","1007010","4","0","0","0","100701042"
