992e9f55685de2575a0f416b162a72576e511ac27afac8e5798eb1eaf74d2a6b,db5cee88ce932d91f0b940ebe3b37ee4975f679b6ae22ff9e35f64f23ef41590,9b08e49bb24b4631ce4bdfb310e20964b08b576f2a3aebf4390823f15e30dcf6,951cd507c2ca5d5bb488dd5ca12dc936300029319f2ace3cb3c7f75037079c29,eb2847b5684688625e427d56b5ca0d64e2b6322d8e176218af746699339be437,41386847245877822f9271feebf1afa172e671f5f1ca501c0be0fac8eefff84b,2c65236e6afffed452d8e7f7b679f01045716d3e1a5b1e7b18a3db9615bbf82f,4774b83f4a03946315a6ff46f9de5c6dccccce56c6471d9ef21ea70088f50efd,267f7409ce5ab9c75cd7260fc481b0611b8efdab3dd85663ea36b6781142eef3,abd1b5d5ebb5c77f8e4b80b2bc9dcbc9ab7f57650738090044e1ea649309d60c,03f1ed2377326552eb91e80c7bbe4c65b87aa27e8223908d03b6c9763b25ba38
"","1","0","10012","0.68","-255","-140","311","31","1001003","103110012"
"","1","0","10012","0.68","-165","-210","311","31","1001004","103110013"
"","1","0","10012","0.68","-240","-280","311","31","1001005","103110014"
"<weapon>_idle","0.68","0","2","-60","-250","52","311","1","1002001","103110015"
"<weapon>_idle","0.68","0","2","15","-320","51","311","1","1002002","103110016"
"<weapon>_idle","0.68","0","2","-75","-390","53","311","1","1002003","103110017"
"<weapon>_idle","0.68","0","2","15","-460","51","311","1","1002004","103110018"
"<weapon>_idle","0.68","0","2","-60","-530","52","311","1","1002005","103110019"
"","1","0","10012","0.68","-60","-250","311","31","1002001","103110020"
"","1","0","10012","0.68","15","-320","311","31","1002002","103110021"
"","1","0","10012","0.68","-75","-390","311","31","1002003","103110022"
"","1","0","10012","0.68","15","-460","311","31","1002004","103110023"
"","1","0","10012","0.68","-60","-530","311","31","1002005","103110024"
"<weapon>_idle","0.68","0","2","-250","-500","62","311","1","1003001","103110025"
"<weapon>_idle","0.68","0","2","-175","-570","61","311","1","1003002","103110026"
"<weapon>_idle","0.68","0","2","-265","-640","63","311","1","1003003","103110027"
"<weapon>_idle","0.68","0","2","-175","-710","61","311","1","1003004","103110028"
"<weapon>_idle","0.68","0","2","-250","-780","62","311","1","1003005","103110029"
"","1","0","10012","0.68","-250","-500","311","31","1003001","103110030"
"","1","0","10012","0.68","-175","-570","311","31","1003002","103110031"
"","1","0","10012","0.68","-265","-640","311","31","1003003","103110032"
"","1","0","10012","0.68","-175","-710","311","31","1003004","103110033"
"","1","0","10012","0.68","-250","-780","311","31","1003005","103110034"
"","0","","10030","1","0","0","311","31","10030","103110035"
"","0","","10031","1","0","0","311","31","10031","103110036"
"","","","","","","","311","91","0","103110037"
"","","","10030","","","","311","32","1","103110038"
"","","","0","","","","311","91","0","103110039"
"","0","","1001001","0","","1","311","3","<weapon>_run","103110040"
"","0","","1001002","0","","1","311","3","<weapon>_run","103110041"
"","0","","1001003","0","","1","311","3","<weapon>_run","103110042"
"","0","","1001004","0","","1","311","3","<weapon>_run","103110043"
"","0","","1001005","0","","1","311","3","<weapon>_run","103110044"
"","","","1001001","0","3","-240","311","2","950","103110045"
"","","","1001002","0","3","-165","311","2","880","103110046"
"","","","1001003","0","3","-255","311","2","810","103110047"
"","","","1001004","0","3","-165","311","2","740","103110048"
"","","","1001005","0","3","-240","311","2","670","103110049"
"","","","1001001","0","3","-240","311","33","950","103110050"
"","","","1001002","0","3","-165","311","33","880","103110051"
"","","","1001003","0","3","-255","311","33","810","103110052"
"","","","1001004","0","3","-165","311","33","740","103110053"
"","","","1001005","0","3","-240","311","33","670","103110054"
"","0","","1002001","0","","1","311","3","<weapon>_run","103110055"
"","0","","1002002","0","","1","311","3","<weapon>_run","103110056"
"","0","","1002003","0","","1","311","3","<weapon>_run","103110057"
"","0","","1002004","0","","1","311","3","<weapon>_run","103110058"
"","0","","1002005","0","","1","311","3","<weapon>_run","103110059"
"","","","1002001","0","3","-60","311","2","700","103110060"
"","","","1002002","0","3","15","311","2","630","103110061"
"","","","1002003","0","3","-75","311","2","560","103110062"
"","","","1002004","0","3","15","311","2","490","103110063"
"","","","1002005","0","3","-60","311","2","420","103110064"
"","","","1002001","0","3","-60","311","33","700","103110065"
"","","","1002002","0","3","15","311","33","630","103110066"
"","","","1002003","0","3","-75","311","33","560","103110067"
"","","","1002004","0","3","15","311","33","490","103110068"
"","","","1002005","0","3","-60","311","33","420","103110069"
"","0","","1003001","0","","1","311","3","<weapon>_run","103110070"
"","0","","1003002","0","","1","311","3","<weapon>_run","103110071"
"","0","","1003003","0","","1","311","3","<weapon>_run","103110072"
"","0","","1003004","0","","1","311","3","<weapon>_run","103110073"
"","0","","1003005","0","","1","311","3","<weapon>_run","103110074"
"","","","1003001","0","3","-250","311","2","450","103110075"
"","","","1003002","0","3","-175","311","2","380","103110076"
"","","","1003003","0","3","-265","311","2","310","103110077"
"","","","1003004","0","3","-175","311","2","240","103110078"
"","","","1003005","0","3","-250","311","2","170","103110079"
"","","","1003001","0","3","-250","311","33","450","103110080"
"","","","1003002","0","3","-175","311","33","380","103110081"
"","","","1003003","0","3","-265","311","33","310","103110082"
"","","","1003004","0","3","-175","311","33","240","103110083"
"","","","1003005","0","3","-250","311","33","170","103110084"
"","","","10020","","","","311","32","1","103110085"
"","","","2.5","","","","311","93","0","103110086"
"","","","10031","","","","311","32","1","103110087"
"","","","0.4","","","","311","93","0","103110088"
"","","","0","","","","311","91","0","103110089"
