d430d4bbcb48f4a5a3e77d69b6d7b6fb1e4d1be41928a397356babc587685cf3,2d0cc41c6aee4e6d41efee5775a0137fc5dc8b2cc38f40c0ea5cd567cb75ef06,a50ca7e96ea659b50d06c36f038a7aaf95a9880fea003582dd1e1f0fa33eee6e,9ec34adef77109be06dc9ac56c32df7fca7d885886ca34ced2d45c33eb780aa7,f8247d9af0f7006a248df289d43e3c6b7070405400dee9a00cb667cd07227f54,7176e41e9366f7575a7b3ea1816441d401598f39dd34b80e41cb0d1764577c7e,a6585f74959ea4c15adc4eb4d2c421082e19fe204613c9af471f29825fd88487,642e2031c75f8295d296451306a3dfb8992947c866d1935ed90405c9916a67e2,e2317404f0f0a49fe076b4de663aad666b8a3f32a68b38028f09947186c1d411,6fd1212510da7d4a364384351f041af5eb2a269a28dbf5c7689aebc3df1018e2,41fe67e9b92a99c0c3ead418109f714f4f41c0608c795331002e8110b5a5154e,1b953ae93f23d17ae1c6c0a97f636e7218f34357b718f8fa6c107c1bdb7924d5
"100580130","1","0","1005801","0","30","0","4","0","3.119","0","0"
"100580131","0","0","1005801","0","31","0","2","vo_ske","0","0","vo_ske_0106"
"100580132","0","0","1005801","89","32","8","1","0","0","0.702","0"
"100580133","1","0","1005801","0","33","0","4","0","1.386","0","0"
"100580134","0","89","1005801","278","34","8","1","0","0","1.352","0"
"100580135","1","0","1005801","0","35","0","4","0","2.053","0","0"
"100580136","0","278","1005801","383","36","8","1","0","0","0.733","0"
"100580137","1","0","1005801","0","37","0","4","0","1.868","0","0"
"100580138","0","0","1005801","195","38","9","1","0","0","1.764","0"
"100580139","1","0","1005801","0","39","0","4","0","2.905","0","0"
"100580140","0","195","1005801","314","40","9","1","0","0","0.969","0"
"100580141","1","0","1005801","0","41","0","4","0","0.969","0","0"
"100580142","0","0","1005801","115","42","10","1","0","0","0.808","0"
"100580143","1","0","1005801","0","43","0","4","0","2.8","0","0"
"100580144","0","0","1005801","0","44","0","2","vo_ske","0","0","vo_ske_0107"
"100580145","0","0","1005801","52","45","11","1","0","0","0.25","0"
"100580146","1","0","1005801","0","46","0","4","0","0.25","0","0"
"100580147","0","52","1005801","280","47","11","1","0","0","1.817","0"
"100580148","1","0","1005801","0","48","0","4","0","3.312","0","0"
"100580149","0","280","1005801","372","49","11","1","0","0","0.666","0"
"100580150","1","0","1005801","0","50","0","4","0","1.17","0","0"
"100580151","0","0","1005801","217","51","12","1","0","0","1.616","0"
"100580152","1","0","1005801","0","52","0","4","0","4.15","0","0"
"100580153","0","0","1005801","0","53","0","2","vo_ske","0","0","vo_ske_0108"
"100580154","0","0","1005801","142","54","13","1","0","0","1.198","0"
"100580155","1","0","1005801","0","55","0","4","0","2.442","0","0"
"100580156","0","0","1005801","267","56","14","1","0","0","1.934","0"
"100580157","1","0","1005801","0","57","0","4","0","4.434","0","0"
"100580201","1","0","1005802","0","1","0","4","0","0.8","0","0"
"100580202","0","0","1005802","0","2","0","2","vo_ske","0","0","vo_ske_0201"
"100580203","0","0","1005802","130","3","1","1","0","0","1.122","0"
"100580204","1","0","1005802","0","4","0","4","0","1.689","0","0"
"100580205","0","130","1005802","327","5","1","1","0","0","1.13","0"
"100580206","1","0","1005802","0","6","0","4","0","2.883","0","0"
"100580207","0","0","1005802","0","7","0","2","vo_ske","0","0","vo_ske_0202"
"100580208","0","0","1005802","119","8","2","1","0","0","1.057","0"
"100580209","1","0","1005802","0","9","0","4","0","1.962","0","0"
"100580210","0","119","1005802","266","10","2","1","0","0","1.166","0"
"100580211","1","0","1005802","0","11","0","4","0","1.747","0","0"
"100580212","0","266","1005802","389","12","2","1","0","0","1.216","0"
"100580213","1","0","1005802","0","13","0","4","0","1.216","0","0"
"100580214","0","0","1005802","272","14","3","1","0","0","1.868","0"
"100580215","1","0","1005802","0","15","0","4","0","3.78","0","0"
"100580216","0","0","1005802","0","16","0","2","vo_ske","0","0","vo_ske_0203"
"100580217","0","0","1005802","90","17","4","1","0","0","0.655","0"
"100580218","1","0","1005802","0","18","0","4","0","1.632","0","0"
"100580219","0","90","1005802","270","19","4","1","0","0","1.586","0"
"100580220","1","0","1005802","0","20","0","4","0","2.357","0","0"
"100580221","0","270","1005802","336","21","4","1","0","0","0.386","0"
"100580222","1","0","1005802","0","22","0","4","0","0.386","0","0"
"100580223","0","0","1005802","110","23","5","1","0","0","0.872","0"
"100580224","1","0","1005802","0","24","0","4","0","3.189","0","0"
"100580225","0","0","1005802","0","25","0","2","vo_ske","0","0","vo_ske_0204"
"100580226","0","110","1005802","241","26","5","1","0","0","1.065","0"
"100580227","1","0","1005802","0","27","0","4","0","1.882","0","0"
"100580228","0","241","1005802","359","28","5","1","0","0","0.888","0"
"100580229","1","0","1005802","0","29","0","4","0","0.888","0","0"
"100580230","0","0","1005802","66","30","6","1","0","0","0.607","0"
"100580231","1","0","1005802","0","31","0","4","0","1.21","0","0"
"100580232","0","66","1005802","158","32","6","1","0","0","0.933","0"
"100580233","1","0","1005802","0","33","0","4","0","2.332","0","0"
"100580234","0","158","1005802","360","34","6","1","0","0","1.649","0"
"100580235","1","0","1005802","0","35","0","4","0","4.223","0","0"
"100580236","0","0","1005802","0","36","0","2","vo_ske","0","0","vo_ske_0205"
"100580237","0","0","1005802","102","37","7","1","0","0","0.349","0"
"100580238","1","0","1005802","0","38","0","4","0","1.46","0","0"
"100580239","0","102","1005802","285","39","7","1","0","0","1.532","0"
"100580240","1","0","1005802","0","40","0","4","0","2.11","0","0"
"100580241","0","285","1005802","336","41","7","1","0","0","0.341","0"
"100580242","1","0","1005802","0","42","0","4","0","0.341","0","0"
"100580243","0","0","1005802","176","43","8","1","0","0","1.202","0"
"100580244","1","0","1005802","0","44","0","4","0","3.101","0","0"
"100580245","0","0","1005802","0","45","0","2","vo_ske","0","0","vo_ske_0206"
"100580246","0","0","1005802","85","46","9","1","0","0","0.706","0"
"100580247","1","0","1005802","0","47","0","4","0","1.796","0","0"
"100580248","0","85","1005802","331","48","9","1","0","0","1.854","0"
"100580249","1","0","1005802","0","49","0","4","0","2.709","0","0"
"100580250","0","0","1005802","139","50","10","1","0","0","1.202","0"
"100580251","1","0","1005802","0","51","0","4","0","3.52","0","0"
"100580252","0","0","1005802","0","52","0","2","vo_ske","0","0","vo_ske_0207"
"100580253","0","139","1005802","228","53","10","1","0","0","0.754","0"
"100580254","1","0","1005802","0","54","0","4","0","1.291","0","0"
"100580255","0","228","1005802","293","55","10","1","0","0","0.505","0"
"100580256","1","0","1005802","0","56","0","4","0","2.624","0","0"
"100580257","0","0","1005802","0","57","0","2","vo_ske","0","0","vo_ske_0208"
"100580258","0","0","1005802","130","58","11","1","0","0","1.061","0"
"100580259","1","0","1005802","0","59","0","4","0","1.6","0","0"
"100580260","0","130","1005802","310","60","11","1","0","0","1.645","0"
"100580261","1","0","1005802","0","61","0","4","0","2.3","0","0"
"100580262","0","0","1005802","240","62","12","1","0","0","1.616","0"
"100580263","1","0","1005802","0","63","0","4","0","3.913","0","0"
"100580264","0","0","1005802","0","64","0","2","vo_ske","0","0","vo_ske_0209"
"100580265","0","0","1005802","128","65","13","1","0","0","1.258","0"
"100580266","1","0","1005802","0","66","0","4","0","3.579","0","0"
"100580267","0","0","1005802","0","67","0","2","vo_ske","0","0","vo_ske_0210"
"100580268","0","0","1005802","250","68","14","1","0","0","1.496","0"
"100580269","1","0","1005802","0","69","0","4","0","3.996","0","0"
"100580301","1","0","1005803","0","1","0","4","0","0.8","0","0"
"100580302","0","0","1005803","0","2","0","2","vo_ske","0","0","vo_ske_0301"
"100580303","0","0","1005803","200","3","1","1","0","0","1.797","0"
"100580304","1","0","1005803","0","4","0","4","0","2.514","0","0"
"100580305","0","200","1005803","304","5","1","1","0","0","0.612","0"
"100580306","1","0","1005803","0","6","0","4","0","0.612","0","0"
"100580307","0","0","1005803","56","7","2","1","0","0","0.464","0"
"100580308","1","0","1005803","0","8","0","4","0","0.889","0","0"
"100580309","0","56","1005803","179","9","2","1","0","0","1.164","0"
"100580310","1","0","1005803","0","10","0","4","0","2.59","0","0"
"100580311","0","0","1005803","0","11","0","2","vo_ske","0","0","vo_ske_0302"
"100580312","0","179","1005803","316","12","2","1","0","0","1.185","0"
"100580313","1","0","1005803","0","13","0","4","0","1.185","0","0"
"100580314","0","0","1005803","137","14","3","1","0","0","0.952","0"
"100580315","1","0","1005803","0","15","0","4","0","1.747","0","0"
"100580316","0","137","1005803","219","16","3","1","0","0","0.961","0"
"100580317","1","0","1005803","0","17","0","4","0","2.398","0","0"
"100580318","0","0","1005803","0","18","0","2","vo_ske","0","0","vo_ske_0303"
"100580319","0","0","1005803","188","19","4","1","0","0","1.401","0"
"100580320","1","0","1005803","0","20","0","4","0","1.935","0","0"
"100580321","0","188","1005803","356","21","4","1","0","0","1.288","0"
"100580322","1","0","1005803","0","22","0","4","0","2.418","0","0"
"100580323","0","0","1005803","0","23","0","2","vo_ske","0","0","vo_ske_0304"
"100580324","0","0","1005803","55","24","5","1","0","0","0.619","0"
"100580325","1","0","1005803","0","25","0","4","0","1.407","0","0"
"100580326","0","55","1005803","333","26","5","1","0","0","2.1","0"
"100580327","1","0","1005803","0","27","0","4","0","4.561","0","0"
"100580328","0","0","1005803","0","28","0","2","vo_ske","0","0","vo_ske_0305"
"100580329","0","0","1005803","280","29","6","1","0","0","2.309","0"
"100580330","1","0","1005803","0","30","0","4","0","3.378","0","0"
"100580331","0","0","1005803","79","31","7","1","0","0","0.664","0"
"100580332","1","0","1005803","0","32","0","4","0","1.555","0","0"
"100580333","0","79","1005803","328","33","7","1","0","0","1.706","0"
"100580334","1","0","1005803","0","34","0","4","0","4.399","0","0"
"100580335","0","0","1005803","0","35","0","2","vo_ske","0","0","vo_ske_0306"
"100580336","0","0","1005803","212","36","8","1","0","0","2.137","0"
"100580337","1","0","1005803","0","37","0","4","0","3.014","0","0"
"100580338","0","212","1005803","340","38","8","1","0","0","0.788","0"
"100580339","1","0","1005803","0","39","0","4","0","2.288","0","0"
"100580340","0","0","1005803","0","40","0","2","vo_ske","0","0","vo_ske_0307"
"100580341","0","0","1005803","267","41","9","1","0","0","2.054","0"
"100580342","1","0","1005803","0","42","0","4","0","2.931","0","0"
"100580343","0","267","1005803","358","43","9","1","0","0","0.801","0"
"100580344","1","0","1005803","0","44","0","4","0","1.48","0","0"
"100580345","0","0","1005803","347","45","10","1","0","0","2.75","0"
"100580346","1","0","1005803","0","46","0","4","0","5.052","0","0"
"100580347","0","0","1005803","0","47","0","2","vo_ske","0","0","vo_ske_0308"
"100580348","0","0","1005803","71","48","11","1","0","0","0.527","0"
"100580349","1","0","1005803","0","49","0","4","0","1.38","0","0"
"100580350","0","71","1005803","247","50","11","1","0","0","1.473","0"
"100580351","1","0","1005803","0","51","0","4","0","1.759","0","0"
"100580352","0","247","1005803","354","52","11","1","0","0","0.68","0"
"100580353","1","0","1005803","0","53","0","4","0","1.838","0","0"
"100580354","0","0","1005803","0","54","0","2","vo_ske","0","0","vo_ske_0309"
"100580355","0","0","1005803","63","55","12","1","0","0","0.477","0"
"100580356","1","0","1005803","0","56","0","4","0","1.108","0","0"
"100580357","0","63","1005803","323","57","12","1","0","0","2.144","0"
"100580358","1","0","1005803","0","58","0","4","0","3.802","0","0"
"100580359","0","0","1005803","0","59","0","2","vo_ske","0","0","vo_ske_0310"
"100580360","0","0","1005803","113","60","13","1","0","0","1.251","0"
"100580361","1","0","1005803","0","61","0","4","0","2.672","0","0"
"100580362","0","113","1005803","197","62","13","1","0","0","0.65","0"
"100580363","1","0","1005803","0","63","0","4","0","1.349","0","0"
"100580364","0","197","1005803","290","64","13","1","0","0","0.589","0"
"100580365","1","0","1005803","0","65","0","4","0","3.089","0","0"
"100580401","1","0","1005804","0","1","0","4","0","0.8","0","0"
"100580402","0","0","1005804","0","2","0","2","vo_ske","0","0","vo_ske_0401"
"100580403","0","0","1005804","186","3","1","1","0","0","1.769","0"
"100580404","1","0","1005804","0","4","0","4","0","3.723","0","0"
"100580405","0","0","1005804","0","5","0","2","vo_ske","0","0","vo_ske_0402"
"100580406","0","0","1005804","70","6","2","1","0","0","0.818","0"
"100580407","1","0","1005804","0","7","0","4","0","1.553","0","0"
"100580408","0","70","1005804","289","8","2","1","0","0","1.87","0"
"100580409","1","0","1005804","0","9","0","4","0","2.537","0","0"
"100580410","0","289","1005804","347","10","2","1","0","0","0.487","0"
"100580411","1","0","1005804","0","11","0","4","0","0.487","0","0"
"100580412","0","0","1005804","101","12","3","1","0","0","0.822","0"
"100580413","1","0","1005804","0","13","0","4","0","2.459","0","0"
"100580414","0","101","1005804","268","14","3","1","0","0","1.696","0"
"100580415","1","0","1005804","0","15","0","4","0","2.551","0","0"
"100580416","0","268","1005804","356","16","3","1","0","0","0.688","0"
"100580417","1","0","1005804","0","17","0","4","0","1.121","0","0"
"100580418","0","0","1005804","221","18","4","1","0","0","1.807","0"
"100580419","1","0","1005804","0","19","0","4","0","4.87","0","0"
"100580420","0","0","1005804","0","20","0","2","vo_ske","0","0","vo_ske_0403"
"100580421","0","0","1005804","101","21","5","1","0","0","0.78","0"
"100580422","1","0","1005804","0","22","0","4","0","2.288","0","0"
"100580423","0","101","1005804","324","23","5","1","0","0","1.497","0"
"100580424","1","0","1005804","0","24","0","4","0","3.177","0","0"
"100580425","0","0","1005804","0","25","0","2","vo_ske","0","0","vo_ske_0404"
"100580426","0","0","1005804","102","26","6","1","0","0","0.729","0"
"100580427","1","0","1005804","0","27","0","4","0","1.799","0","0"
"100580428","0","102","1005804","177","28","6","1","0","0","0.823","0"
"100580429","1","0","1005804","0","29","0","4","0","1.447","0","0"
"100580430","0","177","1005804","275","30","6","1","0","0","0.982","0"
"100580431","1","0","1005804","0","31","0","4","0","1.587","0","0"
"100580432","0","275","1005804","325","32","6","1","0","0","0.639","0"
"100580433","1","0","1005804","0","33","0","4","0","0.639","0","0"
"100580434","0","0","1005804","266","34","7","1","0","0","1.712","0"
"100580435","1","0","1005804","0","35","0","4","0","3.735","0","0"
"100580436","0","0","1005804","0","36","0","2","vo_ske","0","0","vo_ske_0405"
"100580437","0","0","1005804","58","37","8","1","0","0","0.793","0"
"100580438","1","0","1005804","0","38","0","4","0","2.073","0","0"
"100580439","0","58","1005804","80","39","8","1","0","0","0.405","0"
"100580440","1","0","1005804","0","40","0","4","0","1.081","0","0"
"100580441","0","80","1005804","228","41","8","1","0","0","0.962","0"
"100580442","1","0","1005804","0","42","0","4","0","3.994","0","0"
"100580443","0","0","1005804","0","43","0","2","vo_ske","0","0","vo_ske_0406"
"100580444","0","0","1005804","117","44","9","1","0","0","0.869","0"
"100580445","1","0","1005804","0","45","0","4","0","2.298","0","0"
"100580446","0","0","1005804","0","46","0","2","vo_ske","0","0","vo_ske_0407"
"100580447","0","117","1005804","242","47","9","1","0","0","1.07","0"
"100580448","1","0","1005804","0","48","0","4","0","2.401","0","0"
"100580449","0","0","1005804","0","49","0","2","vo_ske","0","0","vo_ske_0408"
"100580450","0","242","1005804","368","50","9","1","0","0","0.939","0"
"100580451","1","0","1005804","0","51","0","4","0","0.939","0","0"
"100580452","0","0","1005804","124","52","10","1","0","0","0.816","0"
"100580453","1","0","1005804","0","53","0","4","0","2.428","0","0"
"100580454","0","0","1005804","0","54","0","2","vo_ske","0","0","vo_ske_0409"
"100580455","0","124","1005804","172","55","10","1","0","0","0.626","0"
"100580456","1","0","1005804","0","56","0","4","0","1.776","0","0"
"100580457","0","172","1005804","360","57","10","1","0","0","1.439","0"
"100580458","1","0","1005804","0","58","0","4","0","1.439","0","0"
"100580459","0","0","1005804","71","59","11","1","0","0","0.447","0"
"100580460","1","0","1005804","0","60","0","4","0","2.012","0","0"
"100580461","0","0","1005804","0","61","0","2","vo_ske","0","0","vo_ske_0410"
"100580462","0","71","1005804","130","62","11","1","0","0","0.504","0"
"100580463","1","0","1005804","0","63","0","4","0","1.659","0","0"
"100580464","0","130","1005804","235","64","11","1","0","0","0.488","0"
"100580465","1","0","1005804","0","65","0","4","0","3.099","0","0"
"100580466","0","0","1005804","0","66","0","2","vo_ske","0","0","vo_ske_0411"
"100580467","0","0","1005804","89","67","12","1","0","0","0.743","0"
"100580468","1","0","1005804","0","68","0","4","0","1.683","0","0"
"100580469","0","89","1005804","319","69","12","1","0","0","2.16","0"
"100580470","1","0","1005804","0","70","0","4","0","3.689","0","0"
"100580471","0","0","1005804","220","71","13","1","0","0","1.846","0"
"100580472","1","0","1005804","0","72","0","4","0","4.239","0","0"
"100580473","0","0","1005804","0","73","0","2","vo_ske","0","0","vo_ske_0412"
"100580474","0","0","1005804","80","74","14","1","0","0","0.584","0"
"100580475","1","0","1005804","0","75","0","4","0","1.837","0","0"
"100580476","0","80","1005804","275","76","14","1","0","0","1.393","0"
"100580477","1","0","1005804","0","77","0","4","0","3.893","0","0"
"100580501","1","0","1005805","0","1","0","4","0","0.8","0","0"
"100580502","0","0","1005805","0","2","0","2","vo_ske","0","0","vo_ske_0501"
"100580503","0","0","1005805","123","3","1","1","0","0","1.013","0"
"100580504","1","0","1005805","0","4","0","4","0","1.598","0","0"
"100580505","0","123","1005805","271","5","1","1","0","0","1.062","0"
"100580506","1","0","1005805","0","6","0","4","0","2.428","0","0"
"100580507","0","0","1005805","0","7","0","2","vo_ske","0","0","vo_ske_0502"
"100580508","0","0","1005805","107","8","2","1","0","0","1.244","0"
"100580509","1","0","1005805","0","9","0","4","0","1.839","0","0"
"100580510","0","107","1005805","357","10","2","1","0","0","1.989","0"
"100580511","1","0","1005805","0","11","0","4","0","3.898","0","0"
"100580512","0","0","1005805","0","12","0","2","vo_ske","0","0","vo_ske_0503"
"100580513","0","0","1005805","188","13","3","1","0","0","1.43","0"
"100580514","1","0","1005805","0","14","0","4","0","1.915","0","0"
"100580515","0","188","1005805","309","15","3","1","0","0","0.906","0"
"100580516","1","0","1005805","0","16","0","4","0","2.75","0","0"
"100580517","0","0","1005805","0","17","0","2","vo_ske","0","0","vo_ske_0504"
"100580518","0","0","1005805","103","18","4","1","0","0","1.11","0"
"100580519","1","0","1005805","0","19","0","4","0","1.656","0","0"
"100580520","0","103","1005805","235","20","4","1","0","0","1.445","0"
"100580521","1","0","1005805","0","21","0","4","0","1.899","0","0"
"100580522","0","235","1005805","326","22","4","1","0","0","0.574","0"
"100580523","1","0","1005805","0","23","0","4","0","2.491","0","0"
"100580524","0","0","1005805","0","24","0","2","vo_ske","0","0","vo_ske_0505"
"100580525","0","0","1005805","167","25","5","1","0","0","1.192","0"
"100580526","1","0","1005805","0","26","0","4","0","1.943","0","0"
"100580527","0","167","1005805","279","27","5","1","0","0","0.864","0"
"100580528","1","0","1005805","0","28","0","4","0","1.47","0","0"
"100580529","0","279","1005805","340","29","5","1","0","0","0.713","0"
"100580530","1","0","1005805","0","30","0","4","0","3.073","0","0"
"100580531","0","0","1005805","0","31","0","2","vo_ske","0","0","vo_ske_0506"
"100580532","0","0","1005805","153","32","6","1","0","0","1.159","0"
"100580533","1","0","1005805","0","33","0","4","0","1.779","0","0"
"100580534","0","153","1005805","391","34","6","1","0","0","1.634","0"
"100580535","1","0","1005805","0","35","0","4","0","5.206","0","0"
"100580536","0","0","1005805","0","36","0","2","vo_ske","0","0","vo_ske_0507"
"100580537","0","0","1005805","183","37","7","1","0","0","1.363","0"
"100580538","1","0","1005805","0","38","0","4","0","2.334","0","0"
"100580539","0","183","1005805","343","39","7","1","0","0","1.128","0"
"100580540","1","0","1005805","0","40","0","4","0","3.267","0","0"
"100580541","0","0","1005805","0","41","0","2","vo_ske","0","0","vo_ske_0508"
"100580542","0","0","1005805","305","42","8","1","0","0","2.341","0"
"100580543","1","0","1005805","0","43","0","4","0","3.817","0","0"
"100580544","0","305","1005805","360","44","8","1","0","0","0.614","0"
"100580545","1","0","1005805","0","45","0","4","0","1.798","0","0"
"100580546","0","0","1005805","286","46","9","1","0","0","1.942","0"
"100580547","1","0","1005805","0","47","0","4","0","4.447","0","0"
"100580548","0","0","1005805","0","48","0","2","vo_ske","0","0","vo_ske_0509"
"100580549","0","0","1005805","108","49","10","1","0","0","0.441","0"
"100580550","1","0","1005805","0","50","0","4","0","1.691","0","0"
"100580551","0","108","1005805","382","51","10","1","0","0","2.177","0"
"100580552","1","0","1005805","0","52","0","4","0","4.215","0","0"
"100580553","0","0","1005805","0","53","0","2","vo_ske","0","0","vo_ske_0510"
"100580554","0","0","1005805","118","54","11","1","0","0","1.116","0"
"100580555","1","0","1005805","0","55","0","4","0","2.252","0","0"
"100580556","0","118","1005805","380","56","11","1","0","0","2.025","0"
"100580557","1","0","1005805","0","57","0","4","0","4.486","0","0"
"100580558","0","0","1005805","0","58","0","2","vo_ske","0","0","vo_ske_0511"
"100580559","0","0","1005805","64","59","12","1","0","0","0.473","0"
"100580560","1","0","1005805","0","60","0","4","0","1.015","0","0"
"100580561","0","64","1005805","164","61","12","1","0","0","0.759","0"
"100580562","1","0","1005805","0","62","0","4","0","2.172","0","0"
"100580563","0","0","1005805","362","63","13","1","0","0","2.606","0"
"100580564","1","0","1005805","0","64","0","4","0","5.313","0","0"
"100580565","0","0","1005805","0","65","0","2","vo_ske","0","0","vo_ske_0512"
"100580566","0","0","1005805","197","66","14","1","0","0","1.072","0"
"100580567","1","0","1005805","0","67","0","4","0","2.416","0","0"
"100580568","0","197","1005805","362","68","14","1","0","0","1.331","0"
"100580569","1","0","1005805","0","69","0","4","0","3.831","0","0"
"100590101","1","0","1005901","0","1","0","4","0","0.8","0","0"
"100590102","0","0","1005901","0","2","0","2","vo_ske","0","0","vo_ske_0601"
"100590103","0","0","1005901","198","3","1","1","0","0","1.86","0"
"100590104","1","0","1005901","0","4","0","4","0","2.5","0","0"
"100590105","0","198","1005901","365","5","1","1","0","0","1.2","0"
"100590106","1","0","1005901","0","6","0","4","0","3.1","0","0"
"100590107","0","0","1005901","0","7","0","2","vo_ske","0","0","vo_ske_0602"
"100590108","0","0","1005901","268","8","2","1","0","0","2.2","0"
"100590109","1","0","1005901","0","9","0","4","0","3.3","0","0"
"100590110","0","268","1005901","356","10","2","1","0","0","0.9","0"
"100590111","1","0","1005901","0","11","0","4","0","1.5","0","0"
"100590112","0","0","1005901","186","12","3","1","0","0","1.5","0"
"100590113","1","0","1005901","0","13","0","4","0","3.7","0","0"
"100590114","0","0","1005901","0","14","0","2","vo_ske","0","0","vo_ske_0603"
"100590115","0","186","1005901","381","15","3","1","0","0","1.5","0"
"100590116","1","0","1005901","0","16","0","4","0","1.5","0","0"
"100590117","0","0","1005901","50","17","4","1","0","0","0.3","0"
"100590118","1","0","1005901","0","18","0","4","0","1.5","0","0"
"100590119","0","50","1005901","132","19","4","1","0","0","0.8","0"
"100590120","1","0","1005901","0","20","0","4","0","1.5","0","0"
"100590121","0","132","1005901","378","21","4","1","0","0","1.9","0"
"100590122","1","0","1005901","0","22","0","4","0","4.5","0","0"
"100590123","0","0","1005901","0","23","0","2","vo_ske","0","0","vo_ske_0604"
"100590124","0","0","1005901","273","24","5","1","0","0","2.3","0"
"100590125","1","0","1005901","0","25","0","4","0","3.3","0","0"
"100590126","0","273","1005901","385","26","5","1","0","0","1.1","0"
"100590127","1","0","1005901","0","27","0","4","0","1.1","0","0"
"100590128","0","0","1005901","223","28","6","1","0","0","1.1","0"
"100590129","1","0","1005901","0","29","0","4","0","3.9","0","0"
"100590130","0","0","1005901","0","30","0","2","vo_ske","0","0","vo_ske_0605"
"100590131","0","0","1005901","76","31","7","1","0","0","0.5","0"
"100590132","1","0","1005901","0","32","0","4","0","1.7","0","0"
"100590133","0","76","1005901","210","33","7","1","0","0","1.2","0"
"100590134","1","0","1005901","0","34","0","4","0","1.9","0","0"
"100590135","0","210","1005901","292","35","7","1","0","0","0.9","0"
"100590136","1","0","1005901","0","36","0","4","0","2.6","0","0"
"100590137","0","0","1005901","0","37","0","2","vo_ske","0","0","vo_ske_0606"
"100590138","0","0","1005901","217","38","8","1","0","0","1.6","0"
"100590139","1","0","1005901","0","39","0","4","0","2","0","0"
"100590140","0","217","1005901","340","40","8","1","0","0","1","0"
"100590141","1","0","1005901","0","41","0","4","0","1","0","0"
"100590142","0","0","1005901","166","42","9","1","0","0","1.3","0"
"100590143","1","0","1005901","0","43","0","4","0","2.2","0","0"
"100590144","0","166","1005901","372","44","9","1","0","0","1.4","0"
"100590145","1","0","1005901","0","45","0","4","0","4","0","0"
"100590146","0","0","1005901","0","46","0","2","vo_ske","0","0","vo_ske_0607"
"100590147","0","0","1005901","115","47","10","1","0","0","1.1","0"
"100590148","1","0","1005901","0","48","0","4","0","1.8","0","0"
"100590149","0","115","1005901","220","49","10","1","0","0","1","0"
"100590150","1","0","1005901","0","50","0","4","0","2.3","0","0"
"100590151","0","220","1005901","366","51","10","1","0","0","1.4","0"
"100590152","1","0","1005901","0","52","0","4","0","3.4","0","0"
