801c5e948a4ca0013f058e7e9d5b312bcfa63f155a5dce7e12e61239239c65a1,c0748ec0d4d67c1e371b6ace66f131683a150b879fa85fcb2274a1482e5ac6a8,153671faa9a85a76ef90c93dfb6be33adb755c5e093252089990380ca9ec3ab5,d9259ad6792dc711acebb19b094b0b6c0cd67045414496aa6f8b06b1c7e0349d,75beb240b025f7c4ea0be49d1c957e93d9059a7fe7dfceb210921ce920d465c4,ccc7e64104a5458efd0f0ed6206cabd5148824cdacde8d5bbbea221f90c1762f,4463f3507b7375e456f56ab5c1acd254ceec55fbf7a795316837a8e6c22386dd,2b282df7bb7462510a1a17510f0727131803fb33bdbb368ba680e312e3133418,47e8d583973b9799df4267c1cfbbd965cad26342699b16bc897ba575140c5cc9,a974f2b098a8dfe48534ca5b964e31c8ec2e011a068c9ecc2e1a3fd282a28b6d,d6348c453b3ebc1ce949ce79b18b6fe75e6e3cfbf22d8237327afb37bf4576e7
"0","","","0","1","1051501","31","3","3","1","1051501005"
"0","","","0","1","1051501","31","2","2","1","1051501006"
"0","","","0","1","1051501","31","1","1","1","1051501007"
"0","","","0","1","1051501","31","12","12","0","1051501008"
"1","","","","","1051501","3","blb_run_01","105111","0.3","1051501009"
"-220","","","1.3","0","1051501","2","90","105111","","1051501010"
"","","","","","1051501","25","bgm_M321_2C","bgm_M321","","1051501011"
"1.25","","","1.25","0","1051501","121","0","0","0","1051501012"
"","","","","","1051501","32","1","12","","1051501013"
"0","","","","","1051501","23","se_sys_login_birthday_new_01","se_common","","1051501014"
"","","","","","1051501","93","","1.3","","1051501015"
"0","0.3","","blb_idle","0","1051501","3","blb_stop","105111","0.05","1051501016"
"-220","","","0.25","0","1051501","2","80","105111","","1051501017"
"","","","","","1051501","93","","1.4","","1051501018"
"1.4","","","1.4","1","1051501","121","0","0","3","1051501019"
"","","","","","1051501","131","","1","","1051501020"
"0","0.3","","blb_idle_02","1","1051501","3","blb_blowout_03","105111","0.3","1051501021"
"","","","","","1051501","93","","0.7","","1051501022"
"","","","","","1051501","32","0","12","","1051501023"
"0","","","0","1","1051501","31","13","13","1","1051501024"
"","","","","","1051501","93","","0.2","","1051501025"
"0","","","0","","1051501","23","se_sys_login_birthday_blow_candle","se_common","","1051501026"
"","","","","","1051501","93","","1.2","","1051501027"
"0","","","0","","1051501","23","se_adv_tickle_02","se_adv_tickle_02","","1051501028"
"0","","","0","1","1051501","31","4","4","1","1051501029"
"","","","","","1051501","93","","1","","1051501030"
"0","","","0","","1051501","23","se_sys_login_birthday_02","se_common","","1051501031"
"1","","","","0","1051501","3","blb_idle_02","105111","0.3","1051501032"
"","","","","","1051501","93","","1.05","","1051501033"
"0","","","0","","1051501","23","se_sys_login_birthday_cracker","se_common","","1051501034"
"0","","","0","1","1051501","31","6","6","1","1051501035"
"0","","","blb_wish_04","1","1051501","3","blb_joy_04","105111","0","1051501036"
"","","","","","1051501","93","","2","","1051501037"
"0","","","0","","1051501","21","vo_adv_1051501_000","vo_adv_1051501","","1051501038"
"","","","","","1051501","13","870","105111","","1051501039"
"7","0","","1","1","1051501","11","誕生日を祝ってくれてありがとう。\nいくつになってもお祝いして\nもらえるのはうれしいものね。","105111","0","1051501040"
"","","","","","1051501","91","","0","","1051501041"
"0","","","0","","1051501","21","vo_adv_1051501_001","vo_adv_1051501","","1051501042"
"4","0","","1","1","1051501","11","え、このケーキ君の手作りなの？\nなによ至れり尽くせりじゃない。","105111","0","1051501043"
"","","","","","1051501","91","","0","","1051501044"
"0","","","0","","1051501","21","vo_adv_1051501_002","vo_adv_1051501","","1051501045"
"6","0","","1","1","1051501","11","ここまでしてもらったら大人しく\n祝ってもらうしかないわね。\nいくら私でも時と場合は\nちゃんとわきまえるわよ。","105111","0","1051501046"
"","","","","","1051501","91","","0","","1051501047"
"0","","","0","","1051501","21","vo_adv_1051501_003","vo_adv_1051501","","1051501048"
"6","0","","1","1","1051501","11","でも、もらってばかりなのは\n性に合わないから、今度お返しに\n体が丈夫になる薬でも\nプレゼントするわ。","105111","0","1051501049"
"","","","","","1051501","91","","0","","1051501050"
"0","","","0","","1051501","21","vo_adv_1051501_004","vo_adv_1051501","","1051501051"
"6","0","","1","1","1051501","11","君には健康でいてもらって\nまた誕生日を祝ってもらいたいもの。\nまあ、薬が効きすぎて\n変なことになってもご愛敬ね。","105111","0","1051501052"
"","","","","","1051501","91","","0","","1051501053"
"0","","","0","1","1051501","31","9","9","1","1051501054"
"","","","","","1051501","131","","0","","1051501055"
"0","","","0","","1051501","22","1","0","","1051501056"
"","","","","","1051501","111","","","","1051501057"
"","","","","","1051501","91","","0","","1051501058"
"850","1","cmn_talk_def_N","400","-220","1052501","1","105211","1","1.5","1052501001"
"0","","","0","1","1052501","31","8","8","1","1052501002"
"0","","","0","1","1052501","31","7","7","1","1052501003"
"0","","","0","1","1052501","31","84","84","1","1052501004"
"0","","","0","1","1052501","31","3","3","1","1052501005"
"0","","","0","1","1052501","31","2","2","1","1052501006"
"0","","","0","1","1052501","31","1","1","1","1052501007"
"0","","","0","1","1052501","31","12","12","0","1052501008"
"1","","","","","1052501","3","blb_run_01","105211","0.3","1052501009"
"-220","","","1.3","0","1052501","2","90","105211","","1052501010"
"0","","","0","","1052501","25","bgm_M321_2C","bgm_M321","","1052501011"
"1.25","","","1.25","0","1052501","121","0","0","0","1052501012"
"0","","","0","1","1052501","32","1","12","1","1052501013"
"0","","","0","","1052501","23","se_sys_login_birthday_new_01","se_common","","1052501014"
"","","","","","1052501","93","","1.3","","1052501015"
"0","0.3","","blb_idle","0","1052501","3","blb_stop","105211","0.05","1052501016"
"-220","","","0.25","0","1052501","2","80","105211","","1052501017"
"","","","","","1052501","93","","1.4","","1052501018"
"1.4","","","1.4","1","1052501","121","0","0","3","1052501019"
"","","","","","1052501","131","","1","","1052501020"
"0","0.3","","blb_idle","1","1052501","3","blb_blowout_02","105211","0.3","1052501021"
"","","","","","1052501","93","","0.7","","1052501022"
"0","","","0","1","1052501","32","0","12","1","1052501023"
"0","","","0","1","1052501","31","13","13","1","1052501024"
"","","","","","1052501","93","","0.2","","1052501025"
"0","","","0","","1052501","23","se_sys_login_birthday_blow_candle","se_common","","1052501026"
"","","","","","1052501","93","","1.2","","1052501027"
"0","","","0","","1052501","23","se_adv_tickle_02","se_adv_tickle_02","","1052501028"
"0","","","0","1","1052501","31","4","4","1","1052501029"
"","","","","","1052501","93","","1","","1052501030"
"0","","","0","","1052501","23","se_sys_login_birthday_02","se_common","","1052501031"
"1","","","","0","1052501","3","blb_idle","105211","0.3","1052501032"
"","","","","","1052501","93","","1.05","","1052501033"
"0","","","0","","1052501","23","se_sys_login_birthday_cracker","se_common","","1052501034"
"0","","","0","1","1052501","31","6","6","1","1052501035"
"0","","","blb_wish_03","1","1052501","3","blb_joy_03","105211","0","1052501036"
"","","","","","1052501","93","","2","","1052501037"
"0","","","0","","1052501","21","vo_adv_1052501_000","vo_adv_1052501","","1052501038"
"","","","","","1052501","13","870","105211","","1052501039"
"6","0","","1","1","1052501","11","素敵なケーキをありがとう！\nまさかこんな盛大に\nお祝いしてもらえるなんて\n思わなかったわ！","105211","0","1052501040"
"","","","","","1052501","91","","0","","1052501041"
"0","","","0","","1052501","21","vo_adv_1052501_001","vo_adv_1052501","","1052501042"
"6","0","","1","1","1052501","11","おめでとうって言ってもらえるだけでも\nうれしいのに、手作りのケーキまで……\n私、あなたにいろんなものを\nもらってばっかりね。","105211","0","1052501043"
"","","","","","1052501","91","","0","","1052501044"
"0","","","0","","1052501","21","vo_adv_1052501_002","vo_adv_1052501","","1052501045"
"5","0","","1","1","1052501","11","少しでもお返ししたいけど……\nあなたは何かしてほしいことはある？\nえ？　私の誕生日だから私が\n喜んでくれたらうれしい……？","105211","0","1052501046"
"","","","","","1052501","91","","0","","1052501047"
"0","","","0","","1052501","21","vo_adv_1052501_003","vo_adv_1052501","","1052501048"
"5","0","","1","1","1052501","11","私、もう十分に喜んでるわ！\nでも、あなたのそんな言葉を聞いたら\nもう少しわがままを\n言いたくなっちゃうわ。","105211","0","1052501049"
"","","","","","1052501","91","","0","","1052501050"
"0","","","0","","1052501","21","vo_adv_1052501_004","vo_adv_1052501","","1052501051"
"4","0","","1","1","1052501","11","ケーキをあーんしてもらってもいい？\n一口だけ、一口だけでいいから！\nいいの？　ありがとう！\n最高の誕生日だわ！","105211","0","1052501052"
"","","","","","1052501","91","","0","","1052501053"
"0","","","0","1","1052501","31","9","9","1","1052501054"
"","","","","","1052501","131","","0","","1052501055"
"0","","","0","","1052501","22","1","0","","1052501056"
"","","","","","1052501","111","","","","1052501057"
"","","","","","1052501","91","","0","","1052501058"
"850","1","cmn_talk_def_N","400","-220","1057501","1","105711","1","1.5","1057501001"
"0","","","0","1","1057501","31","8","8","1","1057501002"
"0","","","0","1","1057501","31","7","7","1","1057501003"
"0","","","0","1","1057501","31","82","82","1","1057501004"
"0","","","0","1","1057501","31","3","3","1","1057501005"
"0","","","0","1","1057501","31","2","2","1","1057501006"
"0","","","0","1","1057501","31","1","1","1","1057501007"
"0","","","0","1","1057501","31","12","12","0","1057501008"
"1","","","","","1057501","3","blb_run_01","105711","0.3","1057501009"
"-220","","","1.3","0","1057501","2","90","105711","","1057501010"
"0","","","0","","1057501","25","bgm_M321_2C","bgm_M321","","1057501011"
"1.25","","","1.25","0","1057501","121","0","0","0","1057501012"
"0","","","0","1","1057501","32","1","12","1","1057501013"
"0","","","0","","1057501","23","se_sys_login_birthday_new_01","se_common","","1057501014"
"","","","","","1057501","93","","1.3","","1057501015"
"0","0.3","","blb_idle","0","1057501","3","blb_stop","105711","0.05","1057501016"
"-220","","","0.25","0","1057501","2","80","105711","","1057501017"
"","","","","","1057501","93","","1.4","","1057501018"
"1.4","","","1.4","1","1057501","121","0","0","3","1057501019"
"","","","","","1057501","131","","1","","1057501020"
"0","0.3","","blb_idle","1","1057501","3","blb_blowout_01","105711","0.3","1057501021"
"","","","","","1057501","93","","0.7","","1057501022"
"0","","","0","1","1057501","32","0","12","1","1057501023"
"0","","","0","1","1057501","31","13","13","1","1057501024"
"","","","","","1057501","93","","0.2","","1057501025"
"0","","","0","","1057501","23","se_sys_login_birthday_blow_candle","se_common","","1057501026"
"","","","","","1057501","93","","1.2","","1057501027"
"0","","","0","","1057501","23","se_adv_tickle_02","se_adv_tickle_02","","1057501028"
"0","","","0","1","1057501","31","4","4","1","1057501029"
"","","","","","1057501","93","","1","","1057501030"
"0","","","0","","1057501","23","se_sys_login_birthday_02","se_common","","1057501031"
"1","","","","0","1057501","3","blb_idle","105711","0.3","1057501032"
"","","","","","1057501","93","","1.05","","1057501033"
"0","","","0","","1057501","23","se_sys_login_birthday_cracker","se_common","","1057501034"
"0","","","0","1","1057501","31","6","6","1","1057501035"
"0","","","blb_wish_01","1","1057501","3","blb_joy_01","105711","0","1057501036"
"","","","","","1057501","93","","2","","1057501037"
"0","","","0","","1057501","21","vo_adv_1057501_000","vo_adv_1057501","","1057501038"
"","","","","","1057501","13","870","105711","","1057501039"
"6","0","","1","1","1057501","11","お祝いしてくれてありがとう！\n私の誕生日、覚えててくれたんだね。\nすごくうれしいな。","105711","0","1057501040"
"","","","","","1057501","91","","0","","1057501041"
"0","","","0","","1057501","21","vo_adv_1057501_001","vo_adv_1057501","","1057501042"
"5","0","","1","1","1057501","11","このケーキ、すごく美味しそうだね。\n有名なお店のケーキなのかな？\nえ？　あなたが自分で作ってくれたの？\nすごーい！","105711","0","1057501043"
