39f9cfcf36779fa0c9418e1ba8d5d2931ab663a38cb16f09d890f1009542862d,a349d9dfb14adc47dfce231ac6ecf4aa860453e25bea98226eff3873d91daa2b,5cbb060bededf593dd28d23e53afbc1d8362836a84655b864a44a8d3739f57b3,c7aa8b7b4b6bc2fe43e991c2b482c06d8472775ea2f79391cb045ce3644b2df3,e4c58fc469fe0e44a2056b0860cdd0dd92f6edbd23a52ae4d95b4e15188f1d1b,6041a4f577e781ca9a0f4d3e0fb049aa4167f0d954a708ef3f7f1c9793f61870,b6e92c27617c35c68fc1f8ca3ac2bd9a8f95985e1d42d36d375c234ec56798cc,61c03858612608166e4935937a23bcd44115f9e9cf04fb4c9af8ecb3d4b7f6a4,89852cef15c68a54d538e78958dc025a910feb938b19803c3c3f5e03fef241df,e798ffda7e71087f767c17f08fd1886da6ea0c2836eea8f10d686dff67acd11b,d3cb48258cf206bf02552d0a02ca5c6ededc29cd9071a72498bb344f74883dbe
"4001","-194","sjr_talk_idle","1.65","4","1","1","100","40","1","122611"
"4002","","","0.2","4","122611","","1","","3","sjr_talk_thinking_surprise"
"4003","","","","4","vo_minigame_1010","","0","0","21","vo_minigame_1010_top_talk_1_004"
"4004","0","1","0","4","122611","0","6","1","11","変わったコースが\nいっぱいあるね\nどれに出ようかな…"
"4005","","","","4","0","","","","91",""
"4006","","","0.2","4","122611","","1","","3","sjr_talk_idle"
"5001","-194","sjr_talk_idle","1.65","5","1","1","100","40","1","122611"
"5002","1","","0.2","5","122611","0","0","sjr_talk_guts2_anger_loop","3","sjr_talk_guts2_anger"
"5003","","","","5","vo_minigame_1010","","0","0","21","vo_minigame_1010_top_talk_1_005"
"5004","0","1","0","5","122611","0","7","1","11","レイちゃんと\nヒヨリちゃん…\n二人に負けないよう\nわたしも全力で…！"
"5005","","","","5","0","","","","91",""
"5006","","","0.2","5","122611","","1","","3","sjr_talk_idle"
"6001","-194","sjr_talk_idle","1.65","6","1","1","100","40","1","122511"
"6002","1","","0.2","6","122511","0","0","sjr_talk_arm_crossed_look_loop","3","sjr_talk_arm_crossed_joy_look"
"6003","","","","6","vo_minigame_1010","","0","0","21","vo_minigame_1010_top_talk_1_006"
"6004","0","1","0","6","122511","0","6","1","11","こうして競い合うのも\nいいものだね\nキミも応援\nよろしく頼むよ"
"6005","","","","6","0","","","","91",""
"6006","","","0.2","6","122511","","1","","3","sjr_talk_idle"
"7001","-194","sjr_talk_idle","1.65","7","1","1","100","40","1","122511"
"7002","","","0.2","7","122511","","1","","3","sjr_talk_mouth_hidden2_shy"
"7003","","","","7","vo_minigame_1010","","0","0","21","vo_minigame_1010_top_talk_1_007"
"7004","0","1","0","7","122511","0","6","1","11","この格好で走るのは\n気恥ずかしいな…\nあまり見ないでくれ…"
"7005","","","","7","0","","","","91",""
"7006","","","0.2","7","122511","","1","","3","sjr_talk_idle"
"8001","-194","sjr_talk_idle","1.65","8","1","1","100","40","1","122511"
"8002","","","0.2","8","122511","","1","","3","sjr_talk_mouth_hidden"
"8003","","","","8","vo_minigame_1010","","0","0","21","vo_minigame_1010_top_talk_1_008"
"8004","0","1","0","8","122511","0","6","1","11","へぇ、強者が揃って\nいるようだね\nこれは私も全力で\n挑まないと…！"
"8005","","","","8","0","","","","91",""
"8006","","","0.2","8","122511","","1","","3","sjr_talk_idle"
"9001","-194","sjr_talk_idle","1.65","9","1","1","100","40","1","122511"
"9002","","","0.2","9","122511","","1","","3","sjr_talk_stepback_surprise"
"9003","","","","9","vo_minigame_1010","","0","0","21","vo_minigame_1010_top_talk_1_009"
"9004","0","1","0","9","122511","0","6","1","11","コースには障害物や\n魔物が…？\nビーチフラッグスとは\nこんな競技だったかな"
"9005","","","","9","0","","","","91",""
"9006","","","0.2","9","122511","","1","","3","sjr_talk_idle"
"10001","-194","sjr_talk_idle","1.65","10","1","1","100","40","1","122511"
"10002","","","0.2","10","122511","","1","","3","sjr_talk_thinking_blink"
"10003","","","","10","vo_minigame_1010","","0","0","21","vo_minigame_1010_top_talk_1_010"
"10004","0","1","0","10","122511","0","5","1","11","ユイは大丈夫だろうか\nヒヨリは喜んでそう\nだけど…\nいや、信じるのみ、か"
"10005","","","","10","0","","","","91",""
"10006","","","0.2","10","122511","","1","","3","sjr_talk_idle"
"11001","-194","sjr_talk_idle","1.65","11","1","1","100","40","1","122411"
"11002","1","","0.2","11","122411","0","0","sjr_talk_eieio_loop","3","sjr_talk_eieio"
"11003","","","","11","vo_minigame_1010","","0","0","21","vo_minigame_1010_top_talk_1_011"
"11004","0","1","0","11","122411","0","6","1","11","準備運動も完璧っ！\nあたしが一番\nとっちゃうからねー！"
"11005","","","","11","0","","","","91",""
"11006","","","0.2","11","122411","","1","","3","sjr_talk_idle"
"12001","-194","sjr_talk_idle","1.65","12","1","1","100","40","1","122411"
"12002","","","0.2","12","122411","","1","","3","sjr_talk_arm_opened_wink"
"12003","","","","12","vo_minigame_1010","","0","0","21","vo_minigame_1010_top_talk_1_012"
"12004","0","1","0","12","122411","0","6","1","11","えっへへー！\n水着って動きやすくて\nいいよねー！\n調子出てきたー！"
"12005","","","","12","0","","","","91",""
"12006","","","0.2","12","122411","","1","","3","sjr_talk_idle"
"13001","-194","sjr_talk_idle","1.65","13","1","1","100","40","1","122411"
"13002","1","","0.2","13","122411","0","0","sjr_talk_doya_loop","3","sjr_talk_doya"
"13003","","","","13","vo_minigame_1010","","0","0","21","vo_minigame_1010_top_talk_1_013"
"13004","0","1","0","13","122411","0","8","1","11","あ、困ってる人\nはっけーん！\n困った時はお互い\nさまさまっ♪"
"13005","","","","13","0","","","","91",""
"13006","","","0.2","13","122411","","1","","3","sjr_talk_idle"
"14001","-194","sjr_talk_idle","1.65","14","1","1","100","40","1","122411"
"14002","1","","0.2","14","122411","0","0","sjr_talk_swing_joy","3","sjr_talk_watch_arm_opened"
"14003","","","","14","vo_minigame_1010","","0","0","21","vo_minigame_1010_top_talk_1_014"
"14004","0","1","0","14","122411","0","7","1","11","どのコースを\n走ろうかなー♪\nどれもおもしろそー！\nウズウズしてきたー！"
"14005","","","","14","0","","","","91",""
"14006","","","0.2","14","122411","","1","","3","sjr_talk_idle"
"15001","-194","sjr_talk_idle","1.65","15","1","1","100","40","1","122411"
"15002","","","0.2","15","122411","","1","","3","sjr_talk_wish_doya"
"15003","","","","15","vo_minigame_1010","","0","0","21","vo_minigame_1010_top_talk_1_015"
"15004","0","1","0","15","122411","0","7","1","11","ユイちゃんとレイさん\n二人と一緒に\n競い合いたいな！"
"15005","","","","15","0","","","","91",""
"15006","","","0.2","15","122411","","1","","3","sjr_talk_idle"
"16001","-194","sjr_talk_idle","1.65","16","1","1","100","72","1","122611"
"16002","-194","sjr_talk_idle","1.65","16","1","0","100","-72","1","122511"
"16003","","","0.2","16","122611","","1","","3","sjr_talk_wish_doya"
"16004","","","","16","vo_minigame_1010","","0","0","21","vo_minigame_1010_top_talk_2_001"
"16005","0","1","0","16","122611","0","5","1","11","レイちゃん\nお互い全力で走ろうね\nわたし本気で挑むから"
"16006","","","","16","0","","","","91",""
"16007","","","0.2","16","122611","","1","","3","sjr_talk_idle"
"16008","1","","0.2","16","122511","0","0","sjr_talk_arm_crossed_joy_loop","3","sjr_talk_arm_crossed_normal_joy"
"16009","","","","16","vo_minigame_1010","","0","0","21","vo_minigame_1010_top_talk_2_002"
"16010","0","0.5","0","16","122511","0","6","1","11","ユイ…言うように\nなったじゃないか\nふふっ、だったら私も\nその意気に応えよう"
"16011","","","","16","0","","","","91",""
"16012","","","0.2","16","122511","","1","","3","sjr_talk_idle"
"17001","-194","sjr_talk_idle","1.65","17","1","1","100","72","1","122611"
"17002","-194","sjr_talk_idle","1.65","17","1","0","100","-72","1","122511"
"17003","","","0.2","17","122511","","1","","3","sjr_talk_worry_shy"
"17004","","","","17","vo_minigame_1010","","0","0","21","vo_minigame_1010_top_talk_2_003"
"17005","0","0.5","0","17","122511","0","6","1","11","ねぇユイ\n水着で走るのって\nちょっと…"
"17006","","","","17","0","","","","91",""
"17007","","","0.2","17","122511","","1","","3","sjr_talk_idle"
"17008","","","0.2","17","122611","","1","","3","sjr_talk_wish_shy"
"17009","","","","17","vo_minigame_1010","","0","0","21","vo_minigame_1010_top_talk_2_004"
"17010","0","0.5","0","17","122611","0","5","1","11","うん、恥ずかしいよね\n騎士クンに\n見られてると思うと…\n…うぅ～～～！"
"17011","","","","17","0","","","","91",""
"17012","","","0.2","17","122611","","1","","3","sjr_talk_idle"
"17013","1","","0.2","17","122511","0","0","sjr_talk_thinking_light","3","sjr_talk_thinking_blink_light"
"17014","","","","17","vo_minigame_1010","","0","0","21","vo_minigame_1010_top_talk_2_005"
"17015","0","0.5","0","17","122511","0","6","1","11","いや、待てよ…\nユイは恥ずかしい時\n逃げ足が速くなる…\nそれを利用すれば…！"
"17016","","","","17","0","","","","91",""
"17017","","","0.2","17","122511","","1","","3","sjr_talk_idle"
"18001","-194","sjr_talk_idle","1.65","18","1","1","100","72","1","122611"
"18002","-194","sjr_talk_idle","1.65","18","1","0","100","-72","1","122511"
"18003","","","0.2","18","122611","","1","","3","sjr_talk_wish_surprise"
"18004","","","","18","vo_minigame_1010","","0","0","21","vo_minigame_1010_top_talk_2_006"
"18005","0","0.5","0","18","122611","0","7","1","11","なんだかすごいコース\nばかりだね…\nどうやって\n作ったんだろう…"
"18006","","","","18","0","","","","91",""
"18007","","","0.2","18","122611","","1","","3","sjr_talk_idle"
"18008","1","","0.2","18","122511","0","0","sjr_talk_arm_crossed_normal2_loop","3","sjr_talk_arm_crossed_normal2"
"18009","","","","18","vo_minigame_1010","","0","0","21","vo_minigame_1010_top_talk_2_007"
"18010","0","0.5","0","18","122511","0","7","1","11","気にしちゃダメだよ\nこういう時は素直に\n楽しむのが一番さ"
"18011","","","","18","0","","","","91",""
"18012","","","0.2","18","122511","","1","","3","sjr_talk_idle"
"19001","-194","sjr_talk_idle","1.65","19","1","1","100","72","1","122611"
"19002","-194","sjr_talk_idle","1.65","19","1","0","100","-72","1","122411"
"19003","1","","0.2","19","122611","0","0","sjr_talk_idle_joy","3","sjr_talk_wave_hand"
"19004","","","","19","vo_minigame_1010","","0","0","21","vo_minigame_1010_top_talk_2_008"
"19005","0","0.5","0","19","122611","0","11","1","11","ヒヨリちゃん\n楽しんでる？"
"19006","","","","19","0","","","","91",""
"19007","","","0.2","19","122611","","1","","3","sjr_talk_idle"
"19008","1","","0.2","19","122411","0","0","sjr_talk_swing_joy2","3","sjr_talk_fun"
"19009","","","","19","vo_minigame_1010","","0","0","21","vo_minigame_1010_top_talk_2_009"
"19010","0","0.5","0","19","122411","0","8","1","11","もっちろん！\nこんな面白いこと\n楽しまないと\nもったいないよー！"
"19011","","","","19","0","","","","91",""
"19012","","","0.2","19","122411","","1","","3","sjr_talk_idle"
"19013","","","0.2","19","122611","","1","","3","sjr_talk_laugh"
"19014","","","","19","vo_minigame_1010","","0","0","21","vo_minigame_1010_top_talk_2_010"
"19015","0","0.5","0","19","122611","0","8","1","11","そうだね\nふふっ、わたしも\nヒヨリちゃんを\n見習わないと…！"
"19016","","","","19","0","","","","91",""
"19017","","","0.2","19","122611","","1","","3","sjr_talk_idle"
"20001","-194","sjr_talk_idle","1.65","20","1","1","100","72","1","122611"
"20002","-194","sjr_talk_idle","1.65","20","1","0","100","-72","1","122411"
"20003","1","","0.2","20","122411","0","0","sjr_talk_guts2_loop","3","sjr_talk_guts2"
"20004","","","","20","vo_minigame_1010","","0","0","21","vo_minigame_1010_top_talk_2_011"
"20005","0","0.5","0","20","122411","0","9","1","11","ユイちゃんっ！\nさっきの走りは\nすごかったね！\n追いつけなかったよー"
"20006","","","","20","0","","","","91",""
"20007","","","0.2","20","122411","","1","","3","sjr_talk_idle"
"20008","1","","0.2","20","122611","0","0","sjr_talk_mouth_hidden_guru","3","sjr_talk_mouth_hidden_dere_guru"
"20009","","","","20","vo_minigame_1010","","0","0","21","vo_minigame_1010_top_talk_2_012"
"20010","0","0.5","0","20","122611","0","5","1","11","夢中で走ってたら\nなんだか\n気持ちよくなって…\nふふ、ふふふ…"
"20011","","","","20","0","","","","91",""
"20012","1","","0.2","20","122411","0","0","sjr_talk_shock_loop","3","sjr_talk_shock"
"20013","","","","20","vo_minigame_1010","","0","0","21","vo_minigame_1010_top_talk_2_013"
"20014","0","0.5","0","20","122411","0","17","1","11","わーっ！？\nユイちゃん！？\n目がグルグルだー！？"
"20015","","","","20","0","","","","91",""
"20016","","","0.2","20","122611","","1","","3","sjr_talk_idle"
"20017","","","0.2","20","122411","","1","","3","sjr_talk_idle"
"21001","-194","sjr_talk_idle","1.65","21","1","1","100","72","1","122611"
"21002","-194","sjr_talk_idle","1.65","21","1","0","100","-72","1","122411"
"21003","","","0.2","21","122611","","1","","3","sjr_talk_worry_sad"
"21004","","","","21","vo_minigame_1010","","0","0","21","vo_minigame_1010_top_talk_2_014"
"21005","0","0.5","0","21","122611","0","9","1","11","ヒヨリちゃん、ずっと\n走ってるけど大丈夫？\n水分補給はちゃんと\nしなくちゃダメだよ？"
"21006","","","","21","0","","","","91",""
"21007","","","0.2","21","122611","","1","","3","sjr_talk_idle"
"21008","0","","0.2","21","122411","0","0","sjr_talk_guts2_joy_loop","3","sjr_talk_laugh_guts"
"21009","","","","21","vo_minigame_1010","","0","0","21","vo_minigame_1010_top_talk_2_015"
"21010","0","0.5","0","21","122411","0","6","1","11","心配性だなぁ\nユイちゃんはー\nあ、だったら一緒に\nかき氷食べに行こー♪"
"21011","","","","21","0","","","","91",""
"21012","","","0.2","21","122411","","1","","3","sjr_talk_idle"
"22001","-194","sjr_talk_idle","1.65","22","1","1","100","72","1","122511"
"22002","-194","sjr_talk_idle","1.65","22","1","0","100","-72","1","122411"
"22003","1","","0.2","22","122511","0","0","sjr_talk_arm_crossed_normal_loop","3","sjr_talk_arm_crossed_normal"
"22004","","","","22","vo_minigame_1010","","0","0","21","vo_minigame_1010_top_talk_2_016"
"22005","0","0.5","0","22","122511","0","7","1","11","相手がヒヨリとはいえ\n負けるつもりは\nないからね"
"22006","","","","22","0","","","","91",""
"22007","","","0.2","22","122511","","1","","3","sjr_talk_idle"
"22008","1","","0.2","22","122411","0","0","sjr_talk_guts_loop","3","sjr_talk_guts"
"22009","","","","22","vo_minigame_1010","","0","0","21","vo_minigame_1010_top_talk_2_017"
"22010","0","0.5","0","22","122411","0","8","1","11","レイさんが相手なら\nあたしだって\n全力全開だよ！"
"22011","","","","22","0","","","","91",""
"22012","","","0.2","22","122411","","1","","3","sjr_talk_idle"
"23001","-194","sjr_talk_idle","1.65","23","1","1","100","72","1","122511"
"23002","-194","sjr_talk_idle","1.65","23","1","0","100","-72","1","122411"
"23003","1","","0.2","23","122411","0","0","sjr_talk_eieio_loop","3","sjr_talk_fun_eieio"
"23004","","","","23","vo_minigame_1010","","0","0","21","vo_minigame_1010_top_talk_2_018"
"23005","0","0.5","0","23","122411","0","5","1","11","夏と言えばかき氷！\nシロップはー……\n禁断の全部混ぜだー！"
"23006","","","","23","0","","","","91",""
"23007","","","0.2","23","122411","","1","","3","sjr_talk_idle"
"23008","","","0.2","23","122511","","1","","3","sjr_talk_mouth_hidden_sad"
"23009","","","","23","vo_minigame_1010","","0","0","21","vo_minigame_1010_top_talk_2_019"
"23010","0","0.5","0","23","122511","0","7","1","11","そんなに冷たいもの\nばかり食べて…\n走れなくなっても\n知らないよ？"
"23011","","","","23","0","","","","91",""
"23012","","","0.2","23","122511","","1","","3","sjr_talk_idle"
"23013","1","","0.2","23","122411","0","0","sjr_talk_arm_opened_guru","3","sjr_talk_arm_opened_joy_guru"
"23014","","","","23","vo_minigame_1010","","0","0","21","vo_minigame_1010_top_talk_2_020"
"23015","0","0.5","0","23","122411","0","5","1","11","平気平気ぃ♪\n…あれっ？\nなんか頭がキーンって\nいたたたたぁー！？"
"23016","","","","23","0","","","","91",""
"23017","","","0.2","23","122411","","1","","3","sjr_talk_idle"
"24001","-194","sjr_talk_idle","1.65","24","1","1","100","72","1","122511"
"24002","-194","sjr_talk_idle","1.65","24","1","0","100","-72","1","122411"
"24003","","","0.2","24","122411","","1","","3","sjr_talk_mouth_hidden_sad"
"24004","","","","24","vo_minigame_1010","","0","0","21","vo_minigame_1010_top_talk_2_021"
"24005","0","1","0","24","122411","0","7","1","11","ユイちゃん\n大丈夫かなー\n転んだりしてないと\nいいけど…"
"24006","","","","24","0","","","","91",""
"24007","","","0.2","24","122411","","1","","3","sjr_talk_idle"
"24008","0","","0.2","24","122511","0","0","sjr_talk_arm_crossed_joy_loop","3","sjr_talk_arm_crossed_normal_joy"
"24009","","","","24","vo_minigame_1010","","0","0","21","vo_minigame_1010_top_talk_2_022"
"24010","0","0.5","0","24","122511","0","5","1","11","心配はいらないさ\nユイは強くなった\nむしろ私たちが\n負けてしまうかもね"
"24011","","","","24","0","","","","91",""
"24012","","","0.2","24","122511","","1","","3","sjr_talk_idle"
"24013","","","0.2","24","122411","","1","","3","sjr_talk_laugh"
"24014","","","","24","vo_minigame_1010","","0","0","21","vo_minigame_1010_top_talk_2_023"
"24015","0","0.5","0","24","122411","0","7","1","11","えへへっ、そうだね！\n一緒に走るのが\n楽しみだなー♪"
"24016","","","","24","0","","","","91",""
"24017","","","0.2","24","122411","","1","","3","sjr_talk_idle"
