0ad84845163d0a8dbf8ec1df209ae3eb49af0372d5d32196314faa531fd3fb31,575f68e292aebb839651c77a1dd4ab32ff81351537019e066be588a4e7fec048,67c1d6416f57a71df30fcde1c1c3d67d9f6e5898195762b1f25fb139a7a280c5,8c91d52127ddb6bce9f27ed9ff7f37539380d904c42491a04b07c87f1971dcf8,d2564b53b461390f07e14a96a76e922567e430ea1f7b297804b11d701d0dd0d2,77d0b367c2d34c8729b5e333f09d96aaa92d73e84fab48ab87850f11324b245d,6dcb778c166b39d96fe65b904fcaec513b75fa16216bf95514a3e77f6055aca6,fa3817561cbbc85e6626c075fe13483efc17d9d53c7aeda72cf66df7a3893c9c,51af7597f49f1dd5968d0d3ffa280a94da11da2307170b274f878da686fc3c13,bfd229d25c789584d14d675099e5217ad92b1642498b86060721c479b4012545,2082395338e8deb8d18f7e86bba497e9d6b6f004f6f4836fe6b7b94de93d5d13,7c8e494dde431f0ecedc720995cc3f3f836c1e90028c3425898be841b79eafa6
"924093102","90","92409","924091200","1","1000000000","92409120","92409110","92409130","2","2","924092102"
"924093103","90","92409","924091300","1","1500000000","92409130","92409120","92409140","3","3","924092103"
"924093104","90","92409","924091400","1","0","92409140","92409130","0","4","4","924092104"
"924093201","90","92409","924092100","1","500000000","92409210","0","92409220","1","1","924092201"
"924093202","90","92409","924092200","1","1000000000","92409220","92409210","92409230","2","2","924092202"
"924093203","90","92409","924092300","1","1500000000","92409230","92409220","92409240","3","3","924092203"
"924093204","90","92409","924092400","1","0","92409240","92409230","0","4","4","924092204"
"924093301","90","92409","924093100","1","500000000","92409310","0","92409320","1","1","924092301"
"924093302","90","92409","924093200","1","1000000000","92409320","92409310","92409330","2","2","924092302"
"924093303","90","92409","924093300","1","1500000000","92409330","92409320","92409340","3","3","924092303"
"924093304","90","92409","924093400","1","0","92409340","92409330","0","4","4","924092304"
"924103101","90","92410","924101100","1","500000000","92410110","0","92410120","1","1","924102101"
"924103102","90","92410","924101200","1","1000000000","92410120","92410110","92410130","2","2","924102102"
"924103103","90","92410","924101300","1","1500000000","92410130","92410120","92410140","3","3","924102103"
"924103104","90","92410","924101400","1","0","92410140","92410130","0","4","4","924102104"
"924103201","90","92410","924102100","1","500000000","92410210","0","92410220","1","1","924102201"
"924103202","90","92410","924102200","1","1000000000","92410220","92410210","92410230","2","2","924102202"
"924103203","90","92410","924102300","1","1500000000","92410230","92410220","92410240","3","3","924102203"
"924103204","90","92410","924102400","1","0","92410240","92410230","0","4","4","924102204"
"924103301","90","92410","924103100","1","500000000","92410310","0","92410320","1","1","924102301"
"924103302","90","92410","924103200","1","1000000000","92410320","92410310","92410330","2","2","924102302"
"924103303","90","92410","924103300","1","1500000000","92410330","92410320","92410340","3","3","924102303"
"924103304","90","92410","924103400","1","0","92410340","92410330","0","4","4","924102304"
"924113101","90","92411","924111100","1","500000000","92411110","0","92411120","1","1","924112101"
"924113102","90","92411","924111200","1","1000000000","92411120","92411110","92411130","2","2","924112102"
"924113103","90","92411","924111300","1","1500000000","92411130","92411120","92411140","3","3","924112103"
"924113104","90","92411","924111400","1","0","92411140","92411130","0","4","4","924112104"
"924113201","90","92411","924112100","1","500000000","92411210","0","92411220","1","1","924112201"
"924113202","90","92411","924112200","1","1000000000","92411220","92411210","92411230","2","2","924112202"
"924113203","90","92411","924112300","1","1500000000","92411230","92411220","92411240","3","3","924112203"
"924113204","90","92411","924112400","1","0","92411240","92411230","0","4","4","924112204"
"924113301","90","92411","924113100","1","500000000","92411310","0","92411320","1","1","924112301"
"924113302","90","92411","924113200","1","1000000000","92411320","92411310","92411330","2","2","924112302"
"924113303","90","92411","924113300","1","1500000000","92411330","92411320","92411340","3","3","924112303"
"924113304","90","92411","924113400","1","0","92411340","92411330","0","4","4","924112304"
"924123101","90","92412","924121100","1","500000000","92412110","0","92412120","1","1","924122101"
"924123102","90","92412","924121200","1","1000000000","92412120","92412110","92412130","2","2","924122102"
"924123103","90","92412","924121300","1","1500000000","92412130","92412120","92412140","3","3","924122103"
"924123104","90","92412","924121400","1","0","92412140","92412130","0","4","4","924122104"
"924123201","90","92412","924122100","1","500000000","92412210","0","92412220","1","1","924122201"
"924123202","90","92412","924122200","1","1000000000","92412220","92412210","92412230","2","2","924122202"
"924123203","90","92412","924122300","1","1500000000","92412230","92412220","92412240","3","3","924122203"
"924123204","90","92412","924122400","1","0","92412240","92412230","0","4","4","924122204"
"924123301","90","92412","924123100","1","500000000","92412310","0","92412320","1","1","924122301"
"924123302","90","92412","924123200","1","1000000000","92412320","92412310","92412330","2","2","924122302"
"924123303","90","92412","924123300","1","1500000000","92412330","92412320","92412340","3","3","924122303"
"924123304","90","92412","924123400","1","0","92412340","92412330","0","4","4","924122304"
"924143101","90","92414","924141100","1","500000000","92414110","0","92414120","1","1","924142101"
"924143102","90","92414","924141200","1","1000000000","92414120","92414110","92414130","2","2","924142102"
"924143103","90","92414","924141300","1","1500000000","92414130","92414120","92414140","3","3","924142103"
"924143104","90","92414","924141400","1","0","92414140","92414130","0","4","4","924142104"
"924143201","90","92414","924142100","1","500000000","92414210","0","92414220","1","1","924142201"
"924143202","90","92414","924142200","1","1000000000","92414220","92414210","92414230","2","2","924142202"
"924143203","90","92414","924142300","1","1500000000","92414230","92414220","92414240","3","3","924142203"
"924143204","90","92414","924142400","1","0","92414240","92414230","0","4","4","924142204"
"924143301","90","92414","924143100","1","500000000","92414310","0","92414320","1","1","924142301"
"924143302","90","92414","924143200","1","1000000000","92414320","92414310","92414330","2","2","924142302"
"924143303","90","92414","924143300","1","1500000000","92414330","92414320","92414340","3","3","924142303"
"924143304","90","92414","924143400","1","0","92414340","92414330","0","4","4","924142304"
"924153101","90","92415","924151100","1","500000000","92415110","0","92415120","1","1","924152101"
"924153102","90","92415","924151200","1","1000000000","92415120","92415110","92415130","2","2","924152102"
"924153103","90","92415","924151300","1","1500000000","92415130","92415120","92415140","3","3","924152103"
"924153104","90","92415","924151400","1","0","92415140","92415130","0","4","4","924152104"
"924153201","90","92415","924152100","1","500000000","92415210","0","92415220","1","1","924152201"
"924153202","90","92415","924152200","1","1000000000","92415220","92415210","92415230","2","2","924152202"
"924153203","90","92415","924152300","1","1500000000","92415230","92415220","92415240","3","3","924152203"
"924153204","90","92415","924152400","1","0","92415240","92415230","0","4","4","924152204"
"924153301","90","92415","924153100","1","500000000","92415310","0","92415320","1","1","924152301"
"924153302","90","92415","924153200","1","1000000000","92415320","92415310","92415330","2","2","924152302"
"924153303","90","92415","924153300","1","1500000000","92415330","92415320","92415340","3","3","924152303"
"924153304","90","92415","924153400","1","0","92415340","92415330","0","4","4","924152304"
"924163101","90","92416","924161100","1","500000000","92416110","0","92416120","1","1","924162101"
"924163102","90","92416","924161200","1","1000000000","92416120","92416110","92416130","2","2","924162102"
"924163103","90","92416","924161300","1","1500000000","92416130","92416120","92416140","3","3","924162103"
"924163104","90","92416","924161400","1","0","92416140","92416130","0","4","4","924162104"
"924163201","90","92416","924162100","1","500000000","92416210","0","92416220","1","1","924162201"
"924163202","90","92416","924162200","1","1000000000","92416220","92416210","92416230","2","2","924162202"
"924163203","90","92416","924162300","1","1500000000","92416230","92416220","92416240","3","3","924162203"
"924163204","90","92416","924162400","1","0","92416240","92416230","0","4","4","924162204"
"924163301","90","92416","924163100","1","500000000","92416310","0","92416320","1","1","924162301"
"924163302","90","92416","924163200","1","1000000000","92416320","92416310","92416330","2","2","924162302"
"924163303","90","92416","924163300","1","1500000000","92416330","92416320","92416340","3","3","924162303"
"924163304","90","92416","924163400","1","0","92416340","92416330","0","4","4","924162304"
"925013101","90","92413","925011100","1","500000000","92501110","0","92501120","1","1","925012101"
"925013102","90","92413","925011200","1","1000000000","92501120","92501110","92501130","2","2","925012102"
"925013103","90","92413","925011300","1","1500000000","92501130","92501120","92501140","3","3","925012103"
"925013104","90","92413","925011400","1","0","92501140","92501130","0","4","4","925012104"
"925013201","90","92413","925012100","1","500000000","92501210","0","92501220","1","1","925012201"
"925013202","90","92413","925012200","1","1000000000","92501220","92501210","92501230","2","2","925012202"
"925013203","90","92413","925012300","1","1500000000","92501230","92501220","92501240","3","3","925012203"
"925013204","90","92413","925012400","1","0","92501240","92501230","0","4","4","925012204"
"925013301","90","92413","925013100","1","500000000","92501310","0","92501320","1","1","925012301"
"925013302","90","92413","925013200","1","1000000000","92501320","92501310","92501330","2","2","925012302"
"925013303","90","92413","925013300","1","1500000000","92501330","92501320","92501340","3","3","925012303"
"925013304","90","92413","925013400","1","0","92501340","92501330","0","4","4","925012304"
