30fb230ae2eb52dbcd86ba747bc6a4344a096c23e0ba863d771b0907c10d95b5,49f8004a28ad72245ca596945785726527c8937a35f5b2a9325c70eedf2dca01,f5f13fb13765b00b67f53628ecc8b2ad66fb6427d8164b003e357a288364c15b,0700656e8c1cc1cd9752c1648490cf07862f69e27b8a553ed63bb74fe751c7b4,2d317553df96f0f216488e026a2c9cd82dd652f031921a8dc0fde8fb2f6da9b2,570a5449f7656f9de61d40d8e031a42fc8439434a2fab10de6286a7f331367df,34f59ba2443b74e1cd347f830d03992d7e9b75ed078ae97774259702c0fd7f25,cf745eecc34b0256fd582101ef271fede6bffbbd6a11d9fe01b748191d6377ff,e9dc8b1c41fef417bcaaa803da214529a9d4fcf63127d02d0b14a6fbfbffbb6f,315619d022172f1b85bdb95f4d0a56b5f3a15925cc4274a535ca5a919adcc021,1cafba1bade352eb67ee5c493cecb92d3dde2f1fec0a1fbcd3d034f9ea161ebf
"10102","1010120011","1012","","32","","1","","0","",""
"1.66","1010120012","1012","","93","","0","","","",""
"10101","1010120013","1012","","32","","1","","0","",""
"10102","1010120014","1012","","32","","0","","0","",""
"1000001","1010120015","1012","0","2","","-470","","-200","0.2",""
"1000002","1010120016","1012","0","2","","-320","","-150","0.2",""
"1","1010120017","1012","0","2","","-470","","-200","0.2",""
"2","1010120018","1012","0","2","","-320","","-150","0.2",""
"se_travel","1010130001","1013","","23","","se_travel_finish_cave_event","","0","",""
"1000001","1010130002","1013","1","3","0","travel_exdrama_r_101_panic_A","0.2","0","travel_exdrama_r_101_walk",""
"1000002","1010130003","1013","1","3","0","travel_exdrama_r_101_panic_B","0.2","0","travel_exdrama_r_101_walk",""
"1","1010130004","1013","1","3","0","travel_exdrama_r_101_panic_A","0.2","0","travel_exdrama_r_101_walk",""
"2","1010130005","1013","1","3","0","travel_exdrama_r_101_panic_B","0.2","0","travel_exdrama_r_101_walk",""
"10002","1010130006","1013","","32","","1","","","",""
"10103","1010130007","1013","","32","","1","","","",""
"3","1010130008","1013","","93","","0","","","",""
"10002","1010130009","1013","","32","","0","","","",""
"10103","1010130010","1013","","32","","0","","","",""
"1000001","1010140001","1014","0","2","0","-500","0","-200","0.1",""
"1000002","1010140002","1014","0","2","0","-350","0","-150","0.1",""
"1","1010140003","1014","0","2","0","-500","0","-200","0.1",""
"2","1010140004","1014","0","2","0","-350","0","-150","0.1",""
"1000001","1010140005","1014","0","3","0","travel_exdrama_r_finish_B_hand","0","0","",""
"1000002","1010140006","1014","0","3","0","travel_exdrama_r_finish_B_hand","0","0","",""
"1","1010140007","1014","0","3","0","travel_exdrama_r_101_finish","0","0","",""
"2","1010140008","1014","0","3","0","travel_exdrama_r_101_finish","0","0","",""
"10101","1010140009","1014","","32","","0","","0","",""
"10104","1010140010","1014","","32","","1","","0","",""
"10200","1010210001","1021","1","31","","10200","1","-350","5",""
"10201","1010210002","1021","1","31","","10201","0","-350","5",""
"10202","1010210003","1021","1","31","","10202","0","-350","5",""
"10203","1010210004","1021","1","31","","10203","0","-490","86",""
"10204","1010210005","1021","1","31","","10204","0","-200","105",""
"10001","1010210006","1021","1","31","","10001","0","-525","50",""
"1","1010210007","1021","-180","1","0","1000001","1.46","1","-490","travel_exdrama_r_102_book"
"1","1010210008","1021","-180","1","0","1000002","1.46","2","-200","travel_exdrama_r_102_loupe"
"1","1010210009","1021","-180","5","0","1","1.46","11","-490","travel_exdrama_r_102_book"
"1","1010210010","1021","-180","5","0","2","1.46","12","-200","travel_exdrama_r_102_loupe"
"5","1010210011","1021","-136","5","0","5","2","13","-339","reliclight_none"
"se_travel","1010220001","1022","","23","","se_travel_finish_ruins_rare","","0","",""
"1000001","1010220002","1022","1","3","0.2","travel_exdrama_r_102_bookFind_A","0.2","0","travel_exdrama_r_102_book",""
"1000002","1010220003","1022","1","3","0.2","travel_exdrama_r_102_loupeFind_A","0.2","0","travel_exdrama_r_102_loupe",""
"1","1010220004","1022","1","3","0.2","travel_exdrama_r_102_bookFind_A","0.2","0","travel_exdrama_r_102_book",""
"2","1010220005","1022","1","3","0.2","travel_exdrama_r_102_loupeFind_A","0.2","0","travel_exdrama_r_102_loupe",""
"10202","1010220006","1022","","32","","1","","","",""
"10203","1010220007","1022","","32","","1","","","",""
"10204","1010220008","1022","","32","","1","","","",""
"1.66","1010220009","1022","","93","","0","","","",""
"10202","1010220010","1022","","32","","0","","","",""
"10203","1010220011","1022","","32","","0","","","",""
"10204","1010220012","1022","","32","","0","","","",""
"se_travel","1010230001","1023","","23","","se_travel_finish_ruins_event","","0","",""
"1000001","1010230002","1023","1","3","0","travel_exdrama_r_102_bookFind_B","0.2","0","travel_exdrama_r_102_book",""
"1000002","1010230003","1023","1","3","0","travel_exdrama_r_102_loupeFind_B","0.2","0","travel_exdrama_r_102_loupe",""
"1","1010230004","1023","1","3","0","travel_exdrama_r_102_bookFind_B","0.2","0","travel_exdrama_r_102_book",""
"2","1010230005","1023","1","3","0","travel_exdrama_r_102_loupeFind_B","0.2","0","travel_exdrama_r_102_loupe",""
"5","1010230006","1023","","3","","reliclight_on","","0","",""
"10201","1010230007","1023","","32","","1","","","",""
"10001","1010230008","1023","","32","","1","","","",""
"3","1010230009","1023","","93","","0","","","",""
"10201","1010230010","1023","","32","","0","","","",""
"10001","1010230011","1023","","32","","0","","","",""
"5","1010230012","1023","","3","","reliclight_none","","0","",""
"1000002","1010240001","1024","0","4","0","1","0","0","",""
"2","1010240002","1024","0","4","0","1","0","0","",""
"1000001","1010240003","1024","0","3","0","travel_exdrama_r_finish_A","0","0","",""
"1000002","1010240004","1024","0","3","0","travel_exdrama_r_finish_A_front","0","0","",""
"1","1010240005","1024","0","3","0","travel_exdrama_r_102_book_finish","0","0","",""
"2","1010240006","1024","0","3","0","travel_exdrama_r_102_loupe_finish","0","0","",""
"5","1010240007","1024","","3","","reliclight_none","","0","",""
"10300","1010310001","1031","1","31","","10300","1","-350","5",""
"10301","1010310002","1031","1","31","","10301","0","-350","5",""
"10302","1010310003","1031","1","31","","10302","0","-350","5",""
"10002","1010310004","1031","1","31","","10002","0","-525","50",""
"1","1010310005","1031","-200","1","0","1000001","1.46","5","-510","travel_exdrama_r_103_dig_A"
"1","1010310006","1031","-175","1","0","1000002","1.46","3","-400","travel_exdrama_r_103_dig_B"
"1","1010310007","1031","-140","1","0","1000003","1.46","1","-190","travel_exdrama_r_103_map"
"1","1010310008","1031","-200","5","0","1","1.46","6","-510","travel_exdrama_r_103_dig_A"
"1","1010310009","1031","-175","5","0","2","1.46","4","-400","travel_exdrama_r_103_dig_B"
"1","1010310010","1031","-140","5","0","3","1.46","2","-190","travel_exdrama_r_103_map"
"se_travel","1010320001","1032","","23","","se_travel_finish_dig_rare","","0","",""
"1000001","1010320002","1032","1","3","0.2","travel_exdrama_r_103_surprise_A","0.2","0","travel_exdrama_r_103_dig_A",""
"1000002","1010320003","1032","1","3","0.2","travel_exdrama_r_103_surprise_A","0.2","0","travel_exdrama_r_103_dig_B",""
"1000003","1010320004","1032","1","3","0.2","travel_exdrama_r_103_mapSurprise_A","0.2","0","travel_exdrama_r_103_map",""
"1","1010320005","1032","1","3","0.2","travel_exdrama_r_103_surprise_A","0.2","0","travel_exdrama_r_103_dig_A",""
"2","1010320006","1032","1","3","0.2","travel_exdrama_r_103_surprise_A","0.2","0","travel_exdrama_r_103_dig_B",""
"3","1010320007","1032","1","3","0.2","travel_exdrama_r_103_mapSurprise_A","0.2","0","travel_exdrama_r_103_map",""
"10302","1010320008","1032","","32","","1","","","",""
"1.25","1010320009","1032","","93","","0","","","",""
"10302","1010320010","1032","","32","","0","","","",""
"se_travel","1010330001","1033","","23","","se_travel_finish_dig_event","","0","",""
"1000001","1010330002","1033","1","3","0","travel_exdrama_r_103_surprise_B","0.2","0","travel_exdrama_r_103_dig_A",""
"1000002","1010330003","1033","1","3","0","travel_exdrama_r_103_surprise_B","0.2","0","travel_exdrama_r_103_dig_B",""
"1000003","1010330004","1033","1","3","0","travel_exdrama_r_103_mapSurprise_B","0.2","0","travel_exdrama_r_103_map",""
"1","1010330005","1033","1","3","0","travel_exdrama_r_103_surprise_B","0.2","0","travel_exdrama_r_103_dig_A",""
"2","1010330006","1033","1","3","0","travel_exdrama_r_103_surprise_B","0.2","0","travel_exdrama_r_103_dig_B",""
"3","1010330007","1033","1","3","0","travel_exdrama_r_103_mapSurprise_B","0.2","0","travel_exdrama_r_103_map",""
"10301","1010330008","1033","","32","","1","","","",""
"10002","1010330009","1033","","32","","1","","","",""
"3","1010330010","1033","","93","","0","","","",""
"10301","1010330011","1033","","32","","0","","","",""
"10002","1010330012","1033","","32","","0","","","",""
"1000003","1010340001","1034","","4","","1","","","",""
"3","1010340002","1034","","4","","1","","","",""
"1000001","1010340003","1034","0","3","0","travel_exdrama_r_finish_B","0","0","",""
"1000002","1010340004","1034","0","3","0","travel_exdrama_r_finish_B","0","0","",""
"1000003","1010340005","1034","0","3","0","travel_exdrama_r_finish_A_front","0","0","",""
"1","1010340006","1034","0","3","0","travel_exdrama_r_103_shovel","0","0","",""
"2","1010340007","1034","0","3","0","travel_exdrama_r_103_shovel","0","0","",""
"3","1010340008","1034","0","3","0","travel_exdrama_r_103_map_finish","0","0","",""
"10400","1010410001","1041","1","31","","10400","1","-350","5",""
"10401","1010410002","1041","1","31","","10401","1","-350","5",""
"10402","1010410003","1041","1","31","","10402","0","-350","5",""
"10403","1010410004","1041","1","31","","10403","0","-350","5",""
"10001","1010410005","1041","1","31","","10001","0","-525","50",""
"1","1010410006","1041","-150","1","0","1000001","1.46","12","-450","travel_exdrama_r_104_fishingIdle"
"1","1010410007","1041","-125","1","0","1000002","1.46","10","-200","travel_exdrama_r_104_idle_B"
"2","1010410008","1041","-150","5","0","1","1.46","11","-450","travel_exdrama_r_104_fishingIdle"
"4","1010410009","1041","-150","5","0","10","1","20","-350","none"
"se_travel","1010420001","1042","","23","","se_travel_finish_bridge_rare","","0","",""
"1000001","1010420002","1042","1","3","0.2","travel_exdrama_r_104_fishingCatch","0.2","0","travel_exdrama_r_104_fishingIdle",""
"1000002","1010420003","1042","1","3","0.2","travel_exdrama_r_104_glad_B","0.2","0","travel_exdrama_r_104_idle_B",""
"1","1010420004","1042","1","3","0.2","travel_exdrama_r_104_fishingCatch","0.2","0","travel_exdrama_r_104_fishingIdle",""
"10","1010420005","1042","1","3","0","fish","0","0","none",""
"10402","1010420006","1042","","32","","1","","","",""
"1.25","1010420007","1042","","93","","0","","","",""
"10402","1010420008","1042","","32","","0","","","",""
"se_travel","1010430001","1043","","23","","se_travel_finish_bridge_event","","0","",""
"1000001","1010430002","1043","1","3","0","travel_exdrama_r_104_fishingBig","0","0","travel_exdrama_r_104_fishingIdle",""
"1000002","1010430003","1043","1","3","0","travel_exdrama_r_104_surprise_B","0","0","travel_exdrama_r_104_idle_B",""
"1","1010430004","1043","1","3","0","travel_exdrama_r_104_fishingBig","0","0","travel_exdrama_r_104_fishingIdle",""
"10403","1010430005","1043","","32","","1","","","",""
"10001","1010430006","1043","","32","","1","","","",""
"3","1010430007","1043","","93","","0","","","",""
"10403","1010430008","1043","","32","","0","","","",""
"10001","1010430009","1043","","32","","0","","","",""
"1000002","1010440001","1044","","4","","1","","","",""
"1000001","1010440002","1044","0","3","0","travel_exdrama_r_104_fishing_finish","0","0","",""
"1000002","1010440003","1044","0","3","0","travel_exdrama_r_finish_A_front","0","0","",""
"1","1010440004","1044","0","3","0","travel_exdrama_r_104_fishing_finish","0.2","0","",""
"10500","1010510001","1051","1","31","","10500","1","-350","5",""
"10501","1010510002","1051","1","31","","10501","0","-350","-200",""
"10001","1010510003","1051","1","31","","10001","0","-525","50",""
"1","1010510004","1051","-200","1","0","1000001","1.46","1","-470","travel_exdrama_r_105_netSearch"
"1","1010510005","1051","-220","1","0","1000002","1.46","2","-200","travel_exdrama_r_105_binoculars"
"1","1010510006","1051","-200","5","0","1","1.46","5","-470","travel_exdrama_r_105_netSearch"
"1","1010510007","1051","-220","5","0","2","1.46","3","-200","travel_exdrama_r_105_binoculars"
"3","1010510008","1051","-230","5","0","10","1.46","4","-350","idle"
"1000001","1010520001","1052","1","3","0.1","travel_exdrama_r_105_netFind_A","0.2","0","travel_exdrama_r_105_netSearch",""
"1000002","1010520002","1052","1","3","0.2","travel_exdrama_r_105_binocularsFind_A","0.2","0","travel_exdrama_r_105_binoculars",""
"1","1010520003","1052","1","3","0.1","travel_exdrama_r_105_netFind_A","0.2","0","travel_exdrama_r_105_netSearch",""
"2","1010520004","1052","1","3","0.2","travel_exdrama_r_105_binocularsFind_A","0.2","0","travel_exdrama_r_105_binoculars",""
"10","1010520005","1052","1","3","0.2","beetle","0.2","0","idle",""
"10501","1010520006","1052","","32","","1","","","",""
"1.2","1010520007","1052","","93","","0","","","",""
"10501","1010520008","1052","","32","","0","","","",""
"se_travel","1010530001","1053","","23","","se_travel_finish_insects_event","","0","",""
"1000001","1010530002","1053","1","3","0","travel_exdrama_r_105_netFind_B","0.2","0","travel_exdrama_r_105_netSearch",""
"1000002","1010530003","1053","1","3","0","travel_exdrama_r_105_binocularsFind_B","0.2","0","travel_exdrama_r_105_binoculars",""
"1","1010530004","1053","1","3","0","travel_exdrama_r_105_netFind_B","0.2","0","travel_exdrama_r_105_netSearch",""
"2","1010530005","1053","1","3","0","travel_exdrama_r_105_binocularsFind_B","0.2","0","travel_exdrama_r_105_binoculars",""
"10","1010530006","1053","1","3","0","butterfly","0.2","0","idle",""
"10501","1010530007","1053","","32","","1","","","",""
"10001","1010530008","1053","","32","","1","","","",""
"2.6","1010530009","1053","","93","","0","","","",""
"10501","1010530010","1053","","32","","0","","","",""
"10501","1010530011","1053","","32","","1","","","",""
"0.4","1010530012","1053","","93","","0","","","",""
"10501","1010530013","1053","","32","","0","","","",""
"10001","1010530014","1053","","32","","0","","","",""
"1000002","1010540001","1054","","4","","1","","","",""
"2","1010540002","1054","","4","","1","","","",""
"1000001","1010540003","1054","0","3","0","travel_exdrama_r_finish_B_hand","0","0","",""
"1000002","1010540004","1054","0","3","0","travel_exdrama_r_finish_B","0","0","",""
"1","1010540005","1054","0","3","0","travel_exdrama_r_105_net_finish","0","0","",""
"2","1010540006","1054","0","3","0","travel_exdrama_r_105_binoculars_finish","0","0","",""
"10","1010540007","1054","0","3","0","stop","0","0","",""
"10600","1010610001","1061","1","31","","10600","1","-350","5",""
"10601","1010610002","1061","1","31","","10601","0","-350","5",""
"10602","1010610003","1061","1","31","","10602","0","-350","5",""
"10603","1010610004","1061","1","31","","10603","0","-350","5",""
"10604","1010610005","1061","1","31","","10604","1","-350","5",""
"10605","1010610006","1061","1","31","","10605","1","-350","5",""
"10001","1010610007","1061","1","31","","10001","0","-525","50",""
"1","1010610008","1061","-224","1","0","1000001","1.46","18","-497","travel_exdrama_r_106_idle_A"
"1","1010610009","1061","-116","1","0","1000002","1.46","2","-208","travel_exdrama_r_106_idle_B"
"1","1010610010","1061","-224","5","0","1","1.46","30","-497","travel_exdrama_r_106_idle_A"
"1","1010610011","1061","-116","5","0","2","1.46","3","-208","travel_exdrama_r_000_none"
"se_travel","1010620001","1062","","23","","se_travel_finish_beach_rare","","0","",""
"1000001","1010620002","1062","1","3","0.2","travel_exdrama_r_106_rare_A","0","0","travel_exdrama_r_106_idle_A",""
"1000002","1010620003","1062","1","3","0.2","travel_exdrama_r_106_rare_B","0","0","travel_exdrama_r_106_idle_B",""
"1","1010620004","1062","1","3","0.2","travel_exdrama_r_106_rare_A","0","0","travel_exdrama_r_106_idle_A",""
"2","1010620005","1062","0","3","0.2","travel_exdrama_r_106_rare_B","0","0","travel_exdrama_r_000_none",""
"10603","1010620006","1062","","32","","1","","","",""
"1.2","1010620007","1062","","93","","0","","","",""
"10603","1010620008","1062","","32","","0","","","",""
"se_travel","1010630001","1063","","23","","se_travel_finish_beach_event","","0","",""
"1000001","1010630002","1063","1","3","0","travel_exdrama_r_106_memory_A","0","0","travel_exdrama_r_106_idle_A",""
"1000002","1010630003","1063","1","3","0","travel_exdrama_r_106_memory_B","0","0","travel_exdrama_r_106_idle_B",""
"1","1010630004","1063","1","3","0","travel_exdrama_r_106_memory_A","0","0","travel_exdrama_r_106_idle_A",""
"10601","1010630005","1063","","32","","1","","","",""
"10602","1010630006","1063","","32","","1","","","",""
"10001","1010630007","1063","","32","","1","","","",""
"3","1010630008","1063","","93","","0","","","",""
"10601","1010630009","1063","","32","","0","","","",""
"10602","1010630010","1063","","32","","0","","","",""
"10001","1010630011","1063","","32","","0","","","",""
"1000002","1010640001","1064","","4","","1","","","",""
"1000001","1010640002","1064","","4","","1","","","",""
"2","1010640003","1064","","4","","1","","","",""
"1000001","1010640004","1064","","3","0","travel_exdrama_r_106_finish_A","0","0","",""
"1000002","1010640005","1064","","3","0","travel_exdrama_r_106_finish_B","0","0","",""
"1","1010640006","1064","","3","0","travel_exdrama_r_106_rare_A","0","0","",""
"2","1010640007","1064","","3","0","travel_exdrama_r_000_none","0","0","",""
"10700","1010710001","1071","1","31","","10700","1","-350","5",""
"10701","1010710002","1071","1","31","","10701","1","-350","5",""
"10702","1010710003","1071","1","31","","10702","0","-350","5",""
"10703","1010710004","1071","1","31","","10703","0","-350","5",""
"10001","1010710005","1071","1","31","","10001","0","-525","50",""
"1","1010710006","1071","-170","1","0","1000001","1.46","32","-470","travel_exdrama_r_107_dig_A"
"1","1010710007","1071","-170","1","1","1000002","1.46","30","-215","travel_exdrama_r_107_dig_B"
"1","1010710008","1071","-170","5","0","1","1.46","33","-470","travel_exdrama_r_107_dig_A"
"1","1010710009","1071","-170","5","1","10","1.46","31","-215","travel_exdrama_r_107_dig_B"
"se_travel","1010720001","1072","","23","","se_travel_finish_raredrop","","0","",""
"1000001","1010720002","1072","1","3","0.2","travel_exdrama_r_107_joy","0.2","0","travel_exdrama_r_107_dig_A",""
"1000002","1010720003","1072","1","3","0.2","travel_exdrama_r_107_joy","0.2","0","travel_exdrama_r_107_dig_B",""
"1","1010720004","1072","1","3","0.2","travel_exdrama_r_107_joy","0.2","0","travel_exdrama_r_107_dig_A",""
"10","1010720005","1072","1","3","0.2","travel_exdrama_r_107_joy","0.2","0","travel_exdrama_r_107_dig_B",""
"10701","1010720006","1072","","32","","0","","","",""
"10702","1010720007","1072","","32","","1","","","",""
"1.4","1010720008","1072","","93","","0","","","",""
"10701","1010720009","1072","","32","","1","","","",""
"10702","1010720010","1072","","32","","0","","","",""
"se_travel","1010730001","1073","","23","","se_travel_finish_memory_event","","0","",""
"1000001","1010730002","1073","1","3","0","travel_exdrama_r_107_surprise_A","0.2","0","travel_exdrama_r_107_dig_A",""
"1000002","1010730003","1073","1","3","0","travel_exdrama_r_107_surprise_B","0.2","0","travel_exdrama_r_107_dig_B",""
"1","1010730004","1073","1","3","0","travel_exdrama_r_107_surprise_A","0.2","0","travel_exdrama_r_107_dig_A",""
"10","1010730005","1073","1","3","0","travel_exdrama_r_107_surprise_B","0.2","0","travel_exdrama_r_107_dig_B",""
"10703","1010730006","1073","","32","","1","","","",""
"10001","1010730007","1073","","32","","1","","","",""
"10701","1010730008","1073","","32","","0","","","",""
"3","1010730009","1073","","93","","0","","","",""
"10703","1010730010","1073","","32","","0","","","",""
"10001","1010730011","1073","","32","","0","","","",""
"10701","1010730012","1073","","32","","1","","","",""
"1000002","1010740001","1074","","4","","1","","","",""
"10","1010740002","1074","","4","","1","","","",""
"1000001","1010740003","1074","0","3","0","travel_exdrama_r_finish_B_hand","0","0","",""
"1000002","1010740004","1074","0","3","0","travel_exdrama_r_finish_B_hand","0","0","",""
"1","1010740005","1074","0","3","0","travel_exdrama_r_107_finish_A","0","0","",""
"10","1010740006","1074","0","3","0","travel_exdrama_r_107_finish_A","0","0","",""
"10701","1010740007","1074","","32","","0","","","",""
"10800","1010810001","1081","1","31","","10800","1","-350","5",""
"10401","1010810002","1081","1","31","","10401","1","-350","5",""
"10402","1010810003","1081","1","31","","10402","0","-350","5",""
"10403","1010810004","1081","1","31","","10403","0","-350","5",""
"10001","1010810005","1081","1","31","","10001","0","-525","50",""
"1","1010810006","1081","-150","1","0","1000001","1.46","12","-450","travel_exdrama_r_104_fishingIdle"
"1","1010810007","1081","-125","1","0","1000002","1.46","10","-200","travel_exdrama_r_104_idle_B"
"2","1010810008","1081","-150","5","0","1","1.46","11","-450","travel_exdrama_r_104_fishingIdle"
"4","1010810009","1081","-150","5","0","10","1","20","-350","none"
"se_travel","1010820001","1082","","23","","se_travel_finish_bridge_rare","","0","",""
"1000001","1010820002","1082","1","3","0.2","travel_exdrama_r_104_fishingCatch","0.2","0","travel_exdrama_r_104_fishingIdle",""
"1000002","1010820003","1082","1","3","0.2","travel_exdrama_r_104_glad_B","0.2","0","travel_exdrama_r_104_idle_B",""
"1","1010820004","1082","1","3","0.2","travel_exdrama_r_104_fishingCatch","0.2","0","travel_exdrama_r_104_fishingIdle",""
"10","1010820005","1082","1","3","0","fish","0","0","none",""
"10402","1010820006","1082","","32","","1","","","",""
"1.25","1010820007","1082","","93","","0","","","",""
"10402","1010820008","1082","","32","","0","","","",""
"se_travel","1010830001","1083","","23","","se_travel_finish_bridge_event","","0","",""
"1000001","1010830002","1083","1","3","0","travel_exdrama_r_104_fishingBig","0","0","travel_exdrama_r_104_fishingIdle",""
"1000002","1010830003","1083","1","3","0","travel_exdrama_r_104_surprise_B","0","0","travel_exdrama_r_104_idle_B",""
