c06bc23d4a36b617333a49a752ca4dca79c89201d202a5fcb376333d788827d1,af10d9e78655e20eb74d65b5ed36972b1f6a0b42c471314b2b80290747bb4714,4f5ef95eb9be191d19d0783c8586d5fb2b7347378a5db90b4486fd2dda49c7d1,abb293fc7bb273b9aa7b6cafb570a346dbf9f7506816c2e3272c2fb404d772d2,7cf0e75ef51b8b850c92ab9e370e235c73192f461a08933b29f9c958cfbc1ad8,4ea074ec1a26ed0e2e66205ea5db9afdd5877cd3a9336af3ff7a7bccb5aee40d,267183e9d5842e648f3ec7dbd5a65a6b45e8e33a99924e44bc362f24998e85b7,2bd50936001a2e3411432d88b9f6cc3e52ff8596adeecca5b6a03409cc66dafe,bdb2abce4e17512f08c4b784724c41eb836e2cea44d28766244b94153d4dc26e,98ebcc4b3c2a25ade8ac05a4c8330ca4ba112b2e0830a01d60a86f871aabe0d1,d87ee697d17739a4c49be330bd2461a7efd01e2a0bf03217963e03fb43a4a0c6,cdb5cd928e0c36d171f7220a469aa6a490b079c61d319ef8a0d25f081c61a831,c0c041bdb66b10280d7b460dd415edacdc481ebe066a70a9fde5d55e1a11020e,9fb6bad95032f77d1faee78d0c23b6cc5883912e21a78e03073b5fc1add3b55f,392bb1389fc113f142d2bda8043e6eda0f6cbf0c21d73f88f2c78f8945ef76e4,231c4d8248329dba13dbf1d9cb711ec101b36a12f497e661fe6b33cdd78dc4e2,babe50140003e2b2887ae9bf727025cdea8c63538069a55115bf5aaa3c2d76b0,285a5d366a1e75d4c03738063c051bfd00a6c3e179edb3d9441105368d7e55dd,bd4ac87a2b63c11a02ca5488214aadd85c69abb5c115dca62e1c446183946be1
"100322","5","2","90","1003","180201","106901","4","100701","110301","4","-100","100003","4","4","2","0","106901","117301"
"100323","4","3","90","1003","124501","124501","4","103401","105101","4","-100","100003","5","4","2","0","113401","117501"
"100331","1","1","90","1003","123001","108101","1","103401","117301","2","-100","100003","3","8","3","0","102601","108101"
"100332","2","2","90","1003","108201","108201","1","100701","112701","2","-100","100003","8","1","3","0","123501","103401"
"100333","1","3","90","1003","108301","108301","1","101401","101001","1","-100","100003","8","3","3","0","100801","123001"
"100411","6","1","90","1004","110301","106601","6","114701","103401","6","-100","100003","6","6","1","0","100901","106601"
"100412","6","2","90","1004","106901","180401","6","180401","105401","6","-100","100003","6","6","1","0","103401","100501"
"100413","6","3","90","1004","100801","100801","6","103401","101401","6","-100","100003","6","6","1","0","123001","105501"
"100421","4","1","90","1004","118001","105401","4","105401","180301","4","-100","100003","4","4","2","0","110301","106601"
"100422","5","2","90","1004","101801","101801","4","105301","110301","4","-100","100003","4","4","2","0","124501","113401"
"100423","4","3","90","1004","123001","123301","4","105201","103401","4","-100","100003","5","4","2","0","105501","123301"
"100431","2","1","90","1004","108301","126101","3","126001","126101","3","-100","100003","8","3","3","0","110301","125801"
"100432","3","2","90","1004","108301","103301","7","103301","121101","2","-100","100003","8","1","3","0","123001","103401"
"100433","3","3","90","1004","106001","105801","7","105801","180501","2","-100","100003","7","2","3","0","123001","117301"
"100511","6","1","90","1005","123001","105501","6","100701","105501","6","-100","100003","6","6","1","0","112201","103401"
"100512","6","2","90","1005","123001","100901","6","106601","100901","6","-100","100003","6","6","1","0","105101","103401"
"100513","6","3","90","1005","101801","112701","6","112701","110301","6","-100","100003","6","6","1","0","106901","113401"
"100521","4","1","90","1005","110301","100101","4","114701","100101","4","-100","100003","4","4","2","0","123801","106601"
"100522","4","2","90","1005","112201","102601","4","105201","105501","4","-100","100003","4","4","2","0","102601","103401"
"100523","4","3","90","1005","121401","119201","4","105401","105501","4","-100","100003","4","4","2","0","110301","119201"
"100531","8","1","90","1005","108301","106601","1","105201","103401","1","-100","100003","8","1","3","0","107701","106601"
"100532","3","2","90","1005","108301","127901","3","127901","126101","3","-100","100003","8","1","3","0","123001","103401"
"100533","3","3","90","1005","108401","108401","7","105801","102601","1","-100","100003","8","2","3","0","123001","123301"
"100611","6","1","90","1006","111401","111401","6","106601","117301","6","-100","100003","6","6","1","0","105001","103401"
"100612","6","2","90","1006","100801","113401","6","105201","113401","6","-100","100003","6","6","1","0","123001","105401"
"100613","6","3","90","1006","107701","107701","6","100501","105501","6","-100","100003","6","6","1","0","123001","103401"
"100621","4","1","90","1006","111401","112201","4","106601","112201","4","-100","100003","4","4","2","0","105001","103401"
"100622","4","2","90","1006","123001","123001","4","102901","105301","4","-100","100003","5","4","2","0","105501","105401"
"100623","4","3","90","1006","123001","117301","4","100701","101401","4","-100","100003","5","4","2","0","112201","117301"
"100631","7","1","90","1006","108301","128301","3","128301","105501","1","-100","100003","8","1","3","0","106001","103401"
"100632","3","2","90","1006","108301","106501","1","106501","123301","2","-100","100003","8","1","3","0","123001","106601"
"100633","3","3","90","1006","107701","109001","8","109001","110301","2","-100","100003","8","1","3","0","123001","102601"
"100711","6","1","90","1007","125101","125101","6","102901","103401","6","-100","100003","6","6","1","1001","123001","122801"
"100712","6","2","90","1007","111001","111001","6","105401","180301","6","-100","100003","6","6","1","1001","110301","106601"
"100713","6","3","90","1007","118501","118001","6","101401","123001","6","-100","100003","6","6","1","1001","118001","121401"
"100721","5","1","90","1007","100201","100201","4","102901","117301","4","-100","100003","4","4","2","1001","123001","103401"
"100722","4","2","90","1007","104001","105101","4","104801","105101","4","-100","100003","4","4","2","1001","110301","117301"
"100723","4","3","90","1007","111001","100801","4","101401","118501","4","-100","100003","4","4","2","1001","100801","118001"
"100731","3","1","90","1007","118501","128801","3","128801","102601","1","-100","100003","3","2","3","1001","123001","123301"
"100732","3","2","90","1007","108301","128901","1","104501","105501","1","-100","100003","8","1","3","1001","128901","103401"
"100733","3","3","90","1007","108301","128701","3","128301","117301","2","-100","100003","8","3","3","1001","123001","128701"
"100811","6","1","90","1008","123001","100701","6","100701","105501","6","-100","100003","6","6","1","1002","112201","103401"
"100812","6","2","90","1008","111401","111401","6","106601","117301","6","-100","100003","6","6","1","1002","105001","103401"
"100813","6","3","90","1008","125101","102901","6","102901","103401","6","-100","100003","6","6","1","1002","123001","122801"
"100821","4","1","90","1008","111401","110301","4","104601","110301","4","-100","100003","4","4","2","1002","101201","103401"
"100822","5","2","90","1008","123001","106601","4","105201","113401","4","-100","100003","5","4","2","1002","106901","106601"
"100823","5","3","90","1008","100801","123001","4","103401","101401","4","-100","100003","4","4","2","1002","123001","105501"
"100831","1","1","90","1008","108301","108801","1","108901","112201","2","-100","100003","8","1","3","1002","108801","103401"
"100832","8","2","90","1008","129001","129001","1","100701","126101","3","-100","100003","3","1","3","1002","107701","108901"
"100833","3","3","90","1008","100201","100201","1","103401","101401","1","-100","100003","1","3","3","1002","123001","126101"
"100911","6","1","90","1009","110301","100901","6","114701","103401","6","-100","100003","6","6","1","1003","100901","106601"
"100912","6","2","90","1009","106901","106901","6","180401","105401","6","-100","100003","6","6","1","1003","103401","100501"
"100913","6","3","90","1009","100801","101401","6","103401","101401","6","-100","100003","6","6","1","1003","123001","105501"
"100921","4","1","90","1009","119001","122801","4","122801","124101","4","-100","100003","4","4","2","1003","100901","103401"
"100922","4","2","90","1009","123001","100501","4","105201","103401","4","-100","100003","5","4","2","1003","121101","100501"
"100923","5","3","90","1009","118501","103401","4","100701","105501","4","-100","100003","5","4","2","1003","123001","103401"
"100931","7","1","90","1009","108301","120001","2","120001","103401","1","-100","100003","8","7","3","1003","101601","104901"
"100932","2","2","90","1009","129001","112201","1","108901","101801","1","-100","100003","3","1","3","1003","112201","100501"
"100933","3","3","90","1009","129001","123001","1","100701","126101","3","-100","100003","3","3","3","1003","123001","128801"
