e78335ed0641901b89e78dd5fd81c159507448490311e4c4834612187cf526ae,85338c5a0f3fc6668f53d9fe80357d7bd484dcf9c54456f02cc2436aca5ba695,74c823c013304f3d532f1ae6faff1e9dcba5eddc1c56a3ea32fe4d53ae38b85e,3f3c1c0661bfe0715a5349298bda7af0e039539d8dccd2b7a5d0f8a3fbc6aeb4,3bc52a59f3a750f85329ce29deab24089230047f52d866140ea17410dc77b25b,31fbf7504fe2a0bc7a7879092afa0468bbfe93d60573aeff12544ee78e4c9eb2,5d0dafc227d264c631d8a90d0994fe21a97653a5a407c3207dea937b47af0d92,7a7d2a6938e41d1bd5630ad04533a784cd8429c3d66a783409012a39eeeafc6e,2d21496944bf7f55f69cfd644b16139251f5a4cf49444bbbd5bd8fd074f868b4,2b249f3abf16f074a65860450e2ce9b4964b8ecfac1f68ca08d1daea2b25b3f4,4a9f7dca33ed58f097bebbfcf686da4fd217168315aa02673f9a2c7c9b7b76c8
"1","やはり、兄様ゆかりの場所ですから……\n兄様とご相談して、一緒に選ばせて\nいただくのが一番、でしょうか……","0","1","0","0","10","1","12","11","12024"
"0","","","0","","","0","","12","91","12025"
"1","sad_talk_riri_in","0","sad_idle_red_riri","0.4","","0","1","12","3","12026"
"vo_asb","vo_asb_0125","","0","","","0","","12","21","12027"
"1","……一緒に……手土産を……\n……ぽっ。","0","1","0","0","10","1","12","11","12028"
"0","","","0","","","0","","12","91","12029"
"12031","","","","","","","","12","101","12030"
"1","1","0","1","0.3","","1","0","12","6","12031"
"0","1","0","1","0.3","","1","0","12","6","12032"
"1","-120","","0.3","","","-250","1","12","2","12033"
"0","-100","","0.3","","","0","1","12","2","12034"
"0","0","","","","","","","12","22","12035"
"0.4","0","","","","","","","12","93","12036"
"1","1","0","20","2.2","riri_idle_look_shy","17","-230","13","5","13001"
"2","2","0","-140","2.2","clear_idle_look_shy","19","-255","13","5","13002"
"3","3","1","270","2.2","idle_look_precia","18","-245","13","5","13003"
"1","1","0","1","0","","1","0","13","6","13004"
"2","1","0","1","0","","1","0","13","6","13005"
"3","1","0","1","0","","1","0","13","6","13006"
"1","100","","0","0","","0","1","13","31","13007"
"100","0","","","","","","","13","35","13008"
"0","0","0","50","1","black","16","0","13","5","13009"
"0","1","0","1","0","","1","0","13","6","13010"
"0","","","","","","","","13","91","13011"
"0.1","0","","","","","","","13","93","13012"
"1","1","0","1","0.2","","1","1","13","6","13013"
"2","1","0","1","0.2","","1","1","13","6","13014"
"3","1","0","1","0.2","","1","1","13","6","13015"
"0","1","0","1","0.2","","1","1","13","6","13016"
"1","-30","","0.3","","","-230","2","13","2","13017"
"2","-190","","0.3","","","-255","2","13","2","13018"
"3","220","","0.3","","","-245","2","13","2","13019"
"0","0","","0.3","","","0","2","13","2","13020"
"100","1","","","","","","","13","32","13021"
"0.6","0","","","","","","","13","93","13022"
"1","sad_talk_look_shy_riri","","","0.2","","1","","13","3","13023"
"vo_asb","vo_asb_1521","","0","","","0","","13","21","13024"
"1","実はわたくしたち……\nこの、学びのスクラップブックを\n兄様にご覧いただくのが、\n少し、恥ずかしかったのです。","0","1","0","0","10","1","13","11","13025"
"0","","","0","","","0","","13","91","13026"
"1","sad_idle_normal_look_shy_riri","","","0.2","","1","","13","3","13027"
"2","clear_talk_look_shy","","","0.2","","1","","13","3","13028"
"vo_asb","vo_asb_1522","","0","","","0","","13","21","13029"
"2","だって、楽しい思い出と同じくらい、\nヘマしたり、力及ばずなこともあって。\nそれを改めてお兄さんに見てもらうのは\n勇気がいるっていうか……","0","1","0","0","10","1","13","11","13030"
"0","","","0","","","0","","13","91","13031"
"2","clear_idle_look_shy","","","0.3","","1","","13","3","13032"
"3","sad_talk_look_precia","","","0.2","","1","","13","3","13033"
"vo_asb","vo_asb_1523","","0","","","0","","13","21","13034"
"3","せきらら\nぼうけんき。","0","1","0","0","10","1","13","11","13035"
"0","","","0","","","0","","13","91","13036"
"3","idle_look_precia","","","0.2","","1","","13","3","13037"
"1","talk_look_shy_riri","","","0.3","","1","","13","3","13038"
"vo_asb","vo_asb_1524","","0","","","0","","13","21","13039"
"1","でも……これも学びです。\n兄様。ぜひご覧になった感想を、\nお聞かせ願えませんでしょうか？","0","1","0","0","10","1","13","11","13040"
"0","","","0","","","0","","13","91","13041"
"1","wish_talk_look_shy_riri","","","0.2","","1","","13","3","13042"
"vo_asb","vo_asb_1525","","0","","","0","","13","21","13043"
"1","どんなに厳しい叱咤もご指導も、\n謹んでお受けいたしますので──\nって、…………え？","0","1","0","0","10","1","13","11","13044"
"0","","","0","","","0","","13","91","13045"
"2","idle_look_shy","","","0.2","","1","","13","3","13046"
"3","joy_idle_look_shy_precia","","","0.3","","1","","13","3","13047"
"1","wish_talk_Ex4","","","0.2","","1","","13","3","13048"
"vo_asb","vo_asb_1526","","0","","","0","","13","21","13049"
"1","…………\nま、まさか……\nそのようにお褒めいただけるなんて……","0","1","0","0","10","1","13","11","13050"
"0","","","0","","","0","","13","91","13051"
"1","idle_look_shy_riri","","","0.2","","1","","13","3","13052"
"3","surprise_idle_lookR_precia","","","0.4","","1","","13","3","13053"
"vo_asb","vo_asb_1527","","0","","","0","","13","21","13054"
"3","お兄……","0","1","0","0","10","1","13","11","13055"
"0","","","0","","","0","","13","91","13056"
"3","joy_idle_look_shy_precia2","","","0.4","","1","","13","3","13057"
"2","clear_talk2_look","","","0.2","","1","","13","3","13058"
"vo_asb","vo_asb_1528","","0","","","0","","13","21","13059"
"2","お兄さんは、\n結果云々ではなく、\nわたしたちががんばったこと、\nそれ自体を褒めてくれるんですね……","0","1","0","0","10","1","13","11","13060"
"0","","","0","","","0","","13","91","13061"
"1","wish_talk_Ex3","","","0.2","","1","","13","3","13062"
"3","joy_idle_look_shy_precia","","","0.3","","1","","13","3","13063"
"2","talk2ToWish_look","0","clear_wish_talk_joy_look","0.2","","0","1","13","3","13064"
"vo_asb","vo_asb_1529","","0","","","0","","13","21","13065"
"1","……ありがとうございます！","0","1","0","0","10","1","13","11","13066"
"0","","","0","","","0","","13","91","13067"
"1","idle_look_shy_riri","","","0.2","","1","","13","3","13068"
"2","idle_look_shy","","","0.2","","1","","13","3","13069"
"3","doya_in_precia","0","doya_talk_precia","0.2","","0","1","13","3","13070"
"vo_asb","vo_asb_1530","","0","","","0","","13","21","13071"
"3","むねはり。\nぼうけんき。","0","1","0","0","10","1","13","11","13072"
"0","","","0","","","0","","13","91","13073"
"3","idle_look_normal_precia","","","0.4","","1","","13","3","13074"
"1","riri_talk_look_shy","","","0.2","","1","","13","3","13075"
"vo_asb","vo_asb_1531","","0","","","0","","13","21","13076"
"1","ご覧の通り何事も拙く、\n未熟なわたくしたちですが……","0","1","0","0","10","1","13","11","13077"
"0","","","0","","","0","","13","91","13078"
"1","riri_idle_look_normal_shy","","","0.2","","1","","13","3","13079"
"2","clear_talk3_look","","","0.2","","1","","13","3","13080"
"vo_asb","vo_asb_1532","","0","","","0","","13","21","13081"
"2","こうしてお兄さんが\n温かく見守ってくれるおかげで、\n立派な冒険者になるという夢を、\n追い続けることができています。","0","1","0","0","10","1","13","11","13082"
"0","","","0","","","0","","13","91","13083"
"2","clear_wish_talk_joy_look","","","0.2","","1","","13","3","13084"
"vo_asb","vo_asb_1533","","0","","","0","","13","21","13085"
"2","お兄さん。\nこれからも、【アルターメイデン】の\n側にいてくださいね。","0","1","0","0","10","1","13","11","13086"
"0","","","0","","","0","","13","91","13087"
"2","clear_wish_idle_look","","","0.2","","1","","13","3","13088"
"3","agree","0.2","joy_idle_look_shy_precia2","0.1","","0","1","13","3","13089"
"vo_asb","vo_asb_1534","","0","","","0","","13","21","13090"
"3","よろしく。","0","1","0","0","10","1","13","11","13091"
"0","","","0","","","0","","13","91","13092"
"1","bow_riri","0.2","idle_look_shy_riri","0.2","","0","1","13","3","13093"
"vo_asb","vo_asb_1535","","0","","","0","","13","21","13094"
"1","お願いいたします……！","0","1","0","0","10","1","13","11","13095"
"0","","","0","","","0","","13","91","13096"
"13098","","","","","","","","13","101","13097"
"1","1","0","1","0.3","","1","0","13","6","13098"
"2","1","0","1","0.3","","1","0","13","6","13099"
"3","1","0","1","0.3","","1","0","13","6","13100"
"0","1","0","1","0.3","","1","0","13","6","13101"
"1","-130","","0.3","","","-230","1","13","2","13102"
"2","-290","","0.3","","","-255","1","13","2","13103"
"3","120","","0.3","","","-245","1","13","2","13104"
"0","-100","","0.3","","","0","1","13","2","13105"
"0","0","","","","","","","13","22","13106"
"100","1","","","","","","","13","35","13107"
"100","-100","","0.3","","","0","1","13","33","13108"
"0.4","0","","","","","","","13","93","13109"
"100","0","","","","","","","13","32","13110"
"3","1","0","30","2.2","surprise_idle_normal2_precia","52","-250","22","5","22001"
"1","1","0","1","0","","1","0","22","6","22002"
"0","0","0","50","1","black","29","0","22","5","22003"
"0","1","0","1","0","","1","0","22","6","22004"
"0","","","","","","","","22","91","22005"
"1","1","0","1","0.2","","1","1","22","6","22006"
"0","1","0","1","0.2","","1","1","22","6","22007"
"1","-20","","0.3","","","-250","2","22","2","22008"
"0","0","","0.3","","","0","2","22","2","22009"
"0.6","0","","","","","","","22","93","22010"
"vo_asb","vo_asb_0221","","0","","","0","","22","21","22011"
"1","ざぶとん。\nくっきー。\nいっぱいたべた。","0","1","0","0","10","1","22","11","22012"
"0","","","0","","","0","","22","91","22013"
"1","talk_surprise_precia","","","0.3","","1","","22","3","22014"
"vo_asb","vo_asb_0222","","0","","","0","","22","21","22015"
"1","スズメ。\nいろいろつくってる。\nらしい。","0","1","0","0","10","1","22","11","22016"
"0","","","0","","","0","","22","91","22017"
"1","think_idle_precia","","","0.3","","1","","22","3","22018"
"vo_asb","vo_asb_0223","","0","","","0","","22","21","22019"
"1","ざぶとん、ほっとけーき。\nとか？","0","1","0","0","10","1","22","11","22020"
"0","","","0","","","0","","22","91","22021"
"1","think_idle_dere_precia","","","0.3","","1","","22","3","22022"
"vo_asb","vo_asb_0224","","0","","","0","","22","21","22023"
"1","ざぶとん、まふぃん。\nとか？","0","1","0","0","10","1","22","11","22024"
"0","","","0","","","0","","22","91","22025"
"1","think_idle_angerR","","","0.3","","1","","22","3","22026"
"vo_asb","vo_asb_0225","","0","","","0","","22","21","22027"
"1","ざぶとん、にくまん……\nとか……（ごくり）","0","1","0","0","10","1","22","11","22028"
"0","","","0","","","0","","22","91","22029"
"1","thinkToSpeak_precia","0","speak1_light_precia","0.1","","0","1","22","3","22030"
"vo_asb","vo_asb_0226","","0","","","0","","22","21","22031"
"1","スズメ。\nすかうとする。\n【あるたーめいでん】に。","0","1","0","0","10","1","22","11","22032"
"0","","","0","","","0","","22","91","22033"
"22035","","","","","","","","22","101","22034"
"1","1","0","1","0.3","","1","0","22","6","22035"
"0","1","0","1","0.3","","1","0","22","6","22036"
"1","-120","","0.3","","","-250","1","22","2","22037"
"0","-100","","0.3","","","0","1","22","2","22038"
"0","0","","","","","","","22","22","22039"
"0.4","0","","","","","","","22","93","22040"
"1","1","0","20","2.2","riri_idle_look","52","-230","32","5","32001"
"2","2","0","-140","2.2","clear_book_read","58","-255","32","5","32002"
"3","3","1","270","2.2","joy_idle_precia","55","-245","32","5","32003"
"1","1","0","1","0","","1","0","32","6","32004"
"2","1","0","1","0","","1","0","32","6","32005"
"3","1","0","1","0","","1","0","32","6","32006"
"0","0","0","50","1","black","29","0","32","5","32007"
"0","1","0","1","0","","1","0","32","6","32008"
"0","","","","","","","","32","91","32009"
"1","1","0","1","0.2","","1","1","32","6","32010"
"2","1","0","1","0.2","","1","1","32","6","32011"
"3","1","0","1","0.2","","1","1","32","6","32012"
"0","1","0","1","0.2","","1","1","32","6","32013"
"1","-30","","0.3","","","-230","2","32","2","32014"
"2","-190","","0.3","","","-255","2","32","2","32015"
"3","220","","0.3","","","-245","2","32","2","32016"
"0","0","","0.3","","","0","2","32","2","32017"
"0.6","0","","","","","","","32","93","32018"
"2","clear_book_talk","","","0.2","","1","","32","3","32019"
"vo_asb","vo_asb_0321","","0","","","0","","32","21","32020"
"2","この牛さんの絵、\n上手すぎませんか！？","0","1","0","0","10","1","32","11","32021"
"0","","","0","","","0","","32","91","32022"
"2","clear_book_idle","","","0.4","","1","","32","3","32023"
"1","riri_talk_look","","","0.2","","1","","32","3","32024"
"vo_asb","vo_asb_0322","","0","","","0","","32","21","32025"
"1","プレシアさん作です。\n彼女は天才タイプなので。","0","1","0","0","10","1","32","11","32026"
"0","","","0","","","0","","32","91","32027"
"1","riri_idle_look","","","0.2","","1","","32","3","32028"
"2","clear_bookToTalk2","0","clear_talk2_noShy","0.1","","0","1","32","3","32029"
"vo_asb","vo_asb_0323","","0","","","0","","32","21","32030"
"2","そういえば、わたしとリリちゃんが、\n『腰に手』が上手くできなくて、\nマヒルさんに教わりながら、\n悪戦苦闘してた時も……","0","1","0","0","10","1","32","11","32031"
"0","","","0","","","0","","32","91","32032"
"2","talk2ToIdle_talkjoy2","0","idle_talkjoy2","0.1","","0","1","32","3","32033"
"1","sad_talk_joy2R","","","0.2","","1","","32","3","32034"
"vo_asb","vo_asb_0324","","0","","","0","","32","21","32035"
"1","はい。プレシアさんだけが、\n一発合格でしたね。\n素人のわたくしたちの目から見ても、\n実に完璧な『腰に手』でございました。","0","1","0","0","10","1","32","11","32036"
"0","","","0","","","0","","32","91","32037"
"1","sad_idle_normal_riri","","","0.2","","1","","32","3","32038"
"2","idle","","","0.2","","1","","32","3","32039"
"3","talk_precia","","","0.3","","1","","32","3","32040"
"vo_asb","vo_asb_0325","","0","","","0","","32","21","32041"
"3","みたい？","0","1","0","0","10","1","32","11","32042"
"0","","","0","","","0","","32","91","32043"
"3","joy_idle_precia","","","0.3","","1","","32","3","32044"
"1","guts2_talk_riri","","","0.2","","1","","32","3","32045"
"2","clear_hope_talk","","","0.2","","1","","32","3","32046"
"vo_asb","vo_asb_0326","","0","","","0","","32","21","32047"
"1","ぜひっ。","0","1","0","0","10","1","32","11","32048"
"0","","","0","","","0","","32","91","32049"
"1","guts2_idle_riri","","","0.2","","1","","32","3","32050"
"2","clear_hope_idle","","","0.2","","1","","32","3","32051"
"3","cool_in","0","cool_idle","0.2","","0","1","32","3","32052"
"vo_asb","vo_asb_0327","","0","","","0","","32","21","32053"
"3","びしっ。","0","1","0","0","10","1","32","11","32054"
"0","","","0","","","0","","32","91","32055"
"3","cool_idle_doya_in","0.1","cool_idle_doya","0.2","","0","1","32","3","32056"
"1","guts2_idle_joy_riri","","","0.2","","1","","32","3","32057"
"2","clear_hope_joy","","","0.2","","1","","32","3","32058"
"vo_asb","vo_asb_0328","","0","","","0","","32","21","32059"
"1","わぁ～♪","-22","1","-85","0","10","1","32","11","32060"
"0","","","0","","","0","","32","91","32061"
"32063","","","","","","","","32","101","32062"
"1","1","0","1","0.3","","1","0","32","6","32063"
"2","1","0","1","0.3","","1","0","32","6","32064"
"3","1","0","1","0.3","","1","0","32","6","32065"
"0","1","0","1","0.3","","1","0","32","6","32066"
"1","-130","","0.3","","","-230","1","32","2","32067"
"2","-290","","0.3","","","-255","1","32","2","32068"
"3","120","","0.3","","","-245","1","32","2","32069"
"0","-100","","0.3","","","0","1","32","2","32070"
"0","0","","","","","","","32","22","32071"
"0.4","0","","","","","","","32","93","32072"
"2","1","0","30","2.2","clear_wish_talk_joy_noShy","52","-250","42","5","42001"
"1","1","0","1","0","","1","0","42","6","42002"
"0","0","0","50","1","black","29","0","42","5","42003"
"0","1","0","1","0","","1","0","42","6","42004"
"0","","","","","","","","42","91","42005"
"1","1","0","1","0.2","","1","1","42","6","42006"
"0","1","0","1","0.2","","1","1","42","6","42007"
"1","-20","","0.3","","","-250","2","42","2","42008"
"0","0","","0.3","","","0","2","42","2","42009"
"0.6","0","","","","","","","42","93","42010"
"vo_asb","vo_asb_0421","","0","","","0","","42","21","42011"
"1","リンさんによるマヒルさんのモノマネ、\nとっても上手でした。","0","1","0","0","10","1","42","11","42012"
"0","","","0","","","0","","42","91","42013"
"1","clear_talk_normal","","","0.1","","1","","42","3","42014"
"vo_asb","vo_asb_0422","","0","","","0","","42","21","42015"
"1","ギルドも長くなると、\n絆を深めたメンバー同士、\nああして互いのモノマネも、\n難なくできるようになるんですね……","0","1","0","0","10","1","42","11","42016"
"0","","","0","","","0","","42","91","42017"
"1","clear_kohon_in","0","clear_kohon_loop","0.2","","0","1","42","3","42018"
"vo_asb","vo_asb_0423","","0","","","0","","42","21","42019"
"1","…………\n……こほん。","0","1","0","0","10","1","42","11","42020"
"0","","","0","","","0","","42","91","42021"
"1","clear_imitation_in","0","clear_speak2_talk","0.2","","0","1","42","3","42022"
"vo_asb","vo_asb_0424","","0","","","0","","42","21","42023"
"1","に、兄様。兄様……？　\nお、おに、お兄……お兄。\n…………","0","1","0","0","10","1","42","11","42024"
"0","","","0","","","0","","42","91","42025"
"1","clear_surprise_in_red","0","clear_surprise_talk_red","0.3","","0","1","42","3","42026"
"vo_asb","vo_asb_0425","","0","","","0","","42","21","42027"
"1","……はっ！\nギルドメンバーのモノマネを\nしていただけなのに、\nわたしってば、どうして赤く……！","0","1","0","0","10","1","42","11","42028"
"0","","","0","","","0","","42","91","42029"
"1","clear_wish_talk_pain_red","","","0.2","","1","","42","3","42030"
"vo_asb","vo_asb_0426","","0","","","0","","42","21","42031"
"1","色んな意味で、まだまだです……っ！","0","1","0","0","10","1","42","11","42032"
"0","","","0","","","0","","42","91","42033"
"42035","","","","","","","","42","101","42034"
"1","1","0","1","0.3","","1","0","42","6","42035"
"0","1","0","1","0.3","","1","0","42","6","42036"
"1","-120","","0.3","","","-250","1","42","2","42037"
"0","-100","","0.3","","","0","1","42","2","42038"
"0","0","","","","","","","42","22","42039"
"0.4","0","","","","","","","42","93","42040"
"1","1","0","70","2.2","dance_riri","55","-243","52","5","52001"
"2","2","1","320","2.2","dance_clear","52","-245","52","5","52002"
"3","3","0","-90","2.2","dance_precia","58","-255","52","5","52003"
"1","1","0","1","0","","1","0","52","6","52004"
"2","1","0","1","0","","1","0","52","6","52005"
"3","1","0","1","0","","1","0","52","6","52006"
"0","0","0","50","1","black","29","0","52","5","52007"
"0","1","0","1","0","","1","0","52","6","52008"
"0","","","","","","","","52","91","52009"
"1","dance_riri","","","0.1","","0","","52","3","52010"
"2","dance_clear","0","idle","0.1","","0","1","52","3","52011"
"3","dance_precia","0","idle_precia","0.1","","0","1","52","3","52012"
"1","1","0","1","0.2","","1","1","52","6","52013"
"2","1","0","1","0.2","","1","1","52","6","52014"
"3","1","0","1","0.2","","1","1","52","6","52015"
"0","1","0","1","0.2","","1","1","52","6","52016"
"1","-30","","0.3","","","-243","2","52","2","52017"
"2","220","","0.3","","","-245","2","52","2","52018"
"3","-190","","0.3","","","-255","2","52","2","52019"
"0","0","","0.3","","","0","2","52","2","52020"
"0.6","0","","","","","","","52","93","52021"
"vo_asb","vo_asb_0521","","0","","","0","","52","21","52022"
"3","くいっく、くいっく、すろー。","0","0","0","0.15","26","0","52","11","52023"
"0","","","0","","","0","","52","91","52024"
"vo_asb","vo_asb_0522","","0","","","0","","52","21","52025"
"1","ターンエン、ターンエン、\nクイッククイックスロー！","0","0","0","0.75","10","0","52","11","52026"
"52010","","","","","","","","52","91","52027"
"1","idle","","","0.1","","1","","52","3","52028"
"0.2","0","","","","","","","52","93","52029"
"1","smile_riri","0.2","talk_joy","0.1","","0","1","52","3","52030"
"vo_asb","vo_asb_0523","","0","","","0","","52","21","52031"
"1","……ふふふ。この掛け声があると、\n不思議と３人の息が、\nぴったり合うのですよね。","0","1","0","0","10","1","52","11","52032"
"0","","","","","","","","52","91","52033"
"1","riri_idle","","","0.2","","1","","52","3","52034"
"2","clear_talk2_noShy","","","0.2","","1","","52","3","52035"
"vo_asb","vo_asb_0524","","0","","","0","","52","21","52036"
"2","はい。だからその後も、\nけっこう使ってますよね。\n重い物を持ち上げる時とか。\n３人で体操をする時とか。","0","1","0","0","10","1","52","11","52037"
"0","","","0","","","0","","52","91","52038"
"2","talk2ToIdle","0","idle","0.2","","0","1","52","3","52039"
"1","riri_talk","","","0.2","","1","","52","3","52040"
"vo_asb","vo_asb_0525","","0","","","0","","52","21","52041"
"1","他にも、戦闘訓練で息を合わせる際や、\nあとは夜道を歩く時の、魔物避けにも！","0","1","0","0","10","1","52","11","52042"
"0","","","0","","","0","","52","91","52043"
"1","riri_idle_look","","","0.2","","1","","52","3","52044"
"2","idle_talkjoy2","","","0.2","","1","","52","3","52045"
"3","talk_precia","","","0.3","","1","","52","3","52046"
"vo_asb","vo_asb_0526","","0","","","0","","52","21","52047"
"3","はんようせい。\nありすぎ。","0","1","0","0","10","1","52","11","52048"
"0","","","0","","","0","","52","91","52049"
"52051","","","","","","","","52","101","52050"
"1","1","0","1","0.3","","1","0","52","6","52051"
"2","1","0","1","0.3","","1","0","52","6","52052"
"3","1","0","1","0.3","","1","0","52","6","52053"
"0","1","0","1","0.3","","1","0","52","6","52054"
"1","-130","","0.3","","","-230","1","52","2","52055"
"2","120","","0.3","","","-245","1","52","2","52056"
"3","-290","","0.3","","","-255","1","52","2","52057"
"0","-100","","0.3","","","0","1","52","2","52058"
"0","0","","","","","","","52","22","52059"
"0.4","0","","","","","","","52","93","52060"
"1","1","0","30","2.2","talk_joy","52","-250","62","5","62001"
"1","1","0","1","0","","1","0","62","6","62002"
"0","0","0","50","1","black","29","0","62","5","62003"
"0","1","0","1","0","","1","0","62","6","62004"
"0","","","","","","","","62","91","62005"
"1","1","0","1","0.2","","1","1","62","6","62006"
"0","1","0","1","0.2","","1","1","62","6","62007"
"1","-20","","0.3","","","-250","2","62","2","62008"
"0","0","","0.3","","","0","2","62","2","62009"
"0.6","0","","","","","","","62","93","62010"
"vo_asb","vo_asb_0621","","0","","","0","","62","21","62011"
"1","ライブ後、【カルミナ】の皆様が\n来てくださったのです。","0","1","0","0","10","1","62","11","62012"
"0","","","0","","","0","","62","91","62013"
"1","wish_talk_joyR_riri","","","0.2","","1","","62","3","62014"
"vo_asb","vo_asb_0622","","0","","","0","","62","21","62015"
"1","「また絶対一緒に踊ろうね」って、\n手まで、重ねさせていただいて……","0","1","0","0","10","1","62","11","62016"
"0","","","0","","","0","","62","91","62017"
"1","memoly_talk_joy","","","0.3","","1","","62","3","62018"
"vo_asb","vo_asb_0623","","0","","","0","","62","21","62019"
"1","お三方のあまりの可憐さと華やかさに、\nわたくし、もう、\nクラクラしてしまって……","0","1","0","0","10","1","62","11","62020"
"0","","","0","","","0","","62","91","62021"
"1","sad_talk2_dere","","","0.2","","1","","62","3","62022"
"vo_asb","vo_asb_0624","","0","","","0","","62","21","62023"
"1","実は、重ねさせていただいたこの手、\nあれ以来まだ一度も洗っておりません。","0","1","0","0","10","1","62","11","62024"
"0","","","0","","","0","","62","91","62025"
"1","wish_talk_nervous_riri","","","0.3","","1","","62","3","62026"
"vo_asb","vo_asb_0625","","0","","","0","","62","21","62027"
"1","リアさんには、やや呆れた目で\n見られている気が、\nしないでもありませんが……\nせめて、あと半日は……！","0","1","0","0","10","1","62","11","62028"
"0","","","0","","","0","","62","91","62029"
"62031","","","","","","","","62","101","62030"
"1","1","0","1","0.3","","1","0","62","6","62031"
"0","1","0","1","0.3","","1","0","62","6","62032"
"1","-120","","0.3","","","-250","1","62","2","62033"
"0","-100","","0.3","","","0","1","62","2","62034"
"0","0","","","","","","","62","22","62035"
"0.4","0","","","","","","","62","93","62036"
"2","1","0","30","2.2","idle","52","-250","72","5","72001"
"1","1","0","1","0","","1","0","72","6","72002"
"0","0","0","50","1","black","29","0","72","5","72003"
"0","1","0","1","0","","1","0","72","6","72004"
"0","","","","","","","","72","91","72005"
"1","1","0","1","0.2","","1","1","72","6","72006"
"0","1","0","1","0.2","","1","1","72","6","72007"
"1","-20","","0.3","","","-250","2","72","2","72008"
"0","0","","0.3","","","0","2","72","2","72009"
"0.6","0","","","","","","","72","93","72010"
"1","clear_talk_normal","","","0.2","","1","","72","3","72011"
"vo_asb","vo_asb_0721","","0","","","0","","72","21","72012"
"1","アオイさんて、すごくシャイみたいで。\nだけど、言うじゃないですか。\n共通の話題がある相手とは、\n打ち解けやすい、って。","0","1","0","0","10","1","72","11","72013"
"0","","","0","","","0","","72","91","72014"
"1","clear_kohon_talk_surprise","","","0.2","","1","","72","3","72015"
"vo_asb","vo_asb_0722","","0","","","0","","72","21","72016"
"1","直感、あったんですよね。\nアオイさんほど詳しくはないですが、\nわたしも草花が好きなので。\nこの人とは仲良くなれそう、みたいな。","0","1","0","0","10","1","72","11","72017"
"0","","","0","","","0","","72","91","72018"
"1","clear_talk2_noShy","","","0.2","","1","","72","3","72019"
"vo_asb","vo_asb_0723","","0","","","0","","72","21","72020"
"1","だからわたし、\n勇気を出して言ってみたんです！\nお友だちになりませんか、って。","0","1","0","0","10","1","72","11","72021"
"0","","","0","","","0","","72","91","72022"
"1","talk2ToWish","0","clear_wish_talk_joy","0.2","","0","1","72","3","72023"
"vo_asb","vo_asb_0724","","0","","","0","","72","21","72024"
"1","そしたらアオイさん、\n顔を真っ赤にして、ブンブン！　って、\n首を縦に振ってくれて。\nやった！　って思ったんですよね。","0","1","0","0","10","1","72","11","72025"
"0","","","0","","","0","","72","91","72026"
"1","clear_talk2_nervous","","","0.2","","1","","72","3","72027"
"vo_asb","vo_asb_0725","","0","","","0","","72","21","72028"
"1","……でもその後、\n心の準備が欲しいって言われちゃって。\n心の準備、300年くらいかかるかも\nしれないんだそうです……","0","1","0","0","10","1","72","11","72029"
