6286e44ca5c15e35caecfbf1baead38302d2b6aab5562f15c680a534da4d9ec6,9919acbf69cc5eab73b7489d37368933dfcee09876662c496bf4ae397a46198b,8089ca75f7fd7dc23ae0d17223fef7560aaef83341e291e02334a7af2d14d08c,494044e94d34d70fc13c1039b2d559963197947fc741bdb6ec8bc90776a9e31d,633e2f058d419139d8a0f3f8546c4b802dbc345517b1e0e307fc5fd7900c267f,880fd074522d30607dda1a1ced3b25776f3b8a800fc7483b7f99b5522de75ef6
"20024","2002402","2002403","2002401","0","0"
"20024","2002403","0","2002402","0","0"
"20025","2002501","2002502","0","20025201","20025115"
"20025","2002502","2002503","2002501","0","0"
"20025","2002503","0","2002502","0","0"
"20026","2002601","2002602","0","20026201","20026115"
"20026","2002602","2002603","2002601","0","0"
"20026","2002603","0","2002602","0","0"
"20027","2002701","2002702","0","20027201","20027115"
"20027","2002702","2002703","2002701","0","0"
"20027","2002703","0","2002702","0","0"
"20028","2002801","2002802","0","20028201","20028115"
"20028","2002802","2002803","2002801","0","0"
"20028","2002803","0","2002802","0","0"
"20029","2002901","2002902","0","20029201","20029115"
"20029","2002902","2002903","2002901","0","0"
"20029","2002903","0","2002902","0","0"
"20030","2003001","2003002","0","20030201","20030115"
"20030","2003002","2003003","2003001","0","0"
"20030","2003003","0","2003002","0","0"
"20031","2003101","2003102","0","20031201","20031115"
"20031","2003102","2003103","2003101","0","0"
"20031","2003103","0","2003102","0","0"
"20032","2003201","2003202","0","20032201","20032115"
"20032","2003202","2003203","2003201","0","0"
"20032","2003203","0","2003202","0","0"
"20033","2003301","2003302","0","20033201","20033115"
"20033","2003302","2003303","2003301","0","0"
"20033","2003303","0","2003302","0","0"
"20034","2003401","2003402","0","20034201","20034115"
"20034","2003402","2003403","2003401","0","0"
"20034","2003403","0","2003402","0","0"
"20035","2003501","2003502","0","20035201","20035115"
"20035","2003502","2003503","2003501","0","0"
"20035","2003503","0","2003502","0","0"
"20036","2003601","2003602","0","20036201","20036115"
"20036","2003602","2003603","2003601","0","0"
"20036","2003603","0","2003602","0","0"
"20037","2003701","2003702","0","20037201","20037115"
"20037","2003702","2003703","2003701","0","0"
"20037","2003703","0","2003702","0","0"
"20038","2003801","2003802","0","20038201","20038115"
"20038","2003802","2003803","2003801","0","0"
"20038","2003803","0","2003802","0","0"
"20039","2003901","2003902","0","20039201","20039115"
"20039","2003902","2003903","2003901","0","0"
"20039","2003903","0","2003902","0","0"
"20040","2004001","2004002","0","20040201","20040115"
"20040","2004002","2004003","2004001","0","0"
"20040","2004003","0","2004002","0","0"
"20041","2004101","2004102","0","20041201","20041115"
"20041","2004102","2004103","2004101","0","0"
"20041","2004103","0","2004102","0","0"
"20042","2004201","2004202","0","20042201","20042115"
"20042","2004202","2004203","2004201","0","0"
"20042","2004203","0","2004202","0","0"
"20043","2004301","2004302","0","20043201","20043115"
"20043","2004302","2004303","2004301","0","0"
"20043","2004303","0","2004302","0","0"
"20044","2004401","2004402","0","20044201","20044115"
"20044","2004402","2004403","2004401","0","0"
"20044","2004403","0","2004402","0","0"
"20045","2004501","2004502","0","20045201","20045115"
"20045","2004502","2004503","2004501","0","0"
"20045","2004503","0","2004502","0","0"
"20046","2004601","2004602","0","20046201","20046115"
"20046","2004602","2004603","2004601","0","0"
"20046","2004603","0","2004602","0","0"
"20047","2004701","2004702","0","20047201","20047115"
"20047","2004702","2004703","2004701","0","0"
"20047","2004703","0","2004702","0","0"
"20048","2004801","2004802","0","20048201","20048115"
"20048","2004802","2004803","2004801","0","0"
"20048","2004803","0","2004802","0","0"
"20049","2004901","2004902","0","20049201","20049115"
"20049","2004902","2004903","2004901","0","0"
"20049","2004903","2004904","2004902","0","0"
"20050","2005001","2005002","0","20050201","20050115"
"20050","2005002","2005003","2005001","0","0"
"20050","2005003","0","2005002","0","0"
"20051","2005101","2005102","0","20051201","20051115"
"20051","2005102","2005103","2005101","0","0"
"20051","2005103","0","2005102","0","0"
"20052","2005201","2005202","0","20052201","20052115"
"20052","2005202","2005203","2005201","0","0"
"20052","2005203","0","2005202","0","0"
"20053","2005301","2005302","0","20053201","20053115"
"20053","2005302","2005303","2005301","0","0"
"20053","2005303","0","2005302","0","0"
"20054","2005401","2005402","0","20054201","20054115"
"20054","2005402","2005403","2005401","0","0"
"20054","2005403","0","2005402","0","0"
"20055","2005501","2005502","0","20055201","20055115"
"20055","2005502","2005503","2005501","0","0"
"20055","2005503","0","2005502","0","0"
"20056","2005601","2005602","0","20056201","20056115"
"20056","2005602","2005603","2005601","0","0"
"20056","2005603","0","2005602","0","0"
"20057","2005701","2005702","0","20057201","20057115"
"20057","2005702","2005703","2005701","0","0"
"20057","2005703","0","2005702","0","0"
"20058","2005801","2005802","0","20058201","20058115"
"20058","2005802","2005803","2005801","0","0"
"20058","2005803","0","2005802","0","0"
"20059","2005901","2005902","0","20059201","20059115"
"20059","2005902","2005903","2005901","0","0"
"20059","2005903","0","2005902","0","0"
"20060","2006001","2006002","0","20060201","20060115"
"20060","2006002","2006003","2006001","0","0"
"20060","2006003","0","2006002","0","0"
"20061","2006101","2006102","0","20061201","20061115"
"20061","2006102","2006103","2006101","0","0"
"20061","2006103","0","2006102","0","0"
"20062","2006201","2006202","0","20062201","20062115"
"20062","2006202","2006203","2006201","0","0"
"20062","2006203","0","2006202","0","0"
"20063","2006301","2006302","0","20063201","20063115"
"20063","2006302","2006303","2006301","0","0"
"20063","2006303","0","2006302","0","0"
"20064","2006401","2006402","0","20064201","20064115"
"20064","2006402","2006403","2006401","0","0"
"20064","2006403","0","2006402","0","0"
"20065","2006501","2006502","0","20065201","20065115"
"20065","2006502","2006503","2006501","0","0"
"20065","2006503","0","2006502","0","0"
"20066","2006601","2006602","0","20066201","20066115"
"20066","2006602","2006603","2006601","0","0"
"20066","2006603","0","2006602","0","0"
"20067","2006701","2006702","0","20067201","20067110"
"20067","2006702","2006703","2006701","0","0"
"20067","2006703","0","2006702","0","0"
"20068","2006801","2006802","0","20068201","20068110"
"20068","2006802","2006803","2006801","0","0"
"20068","2006803","0","2006802","0","0"
"20069","2006901","2006902","0","20069201","20069115"
"20069","2006902","2006903","2006901","0","0"
"20069","2006903","0","2006902","0","0"
"20070","2007001","2007002","0","20070201","20070115"
"20070","2007002","2007003","2007001","0","0"
"20070","2007003","0","2007002","0","0"
"20071","2007101","2007102","0","20071201","20071115"
"20071","2007102","2007103","2007101","0","0"
"20071","2007103","0","2007102","0","0"
"20072","2007201","2007202","0","20072201","20072110"
"20072","2007202","2007203","2007201","0","0"
"20072","2007203","0","2007202","0","0"
"20073","2007301","2007302","0","20073201","20073110"
"20073","2007302","2007303","2007301","0","0"
"20073","2007303","0","2007302","0","0"
"20074","2007401","2007402","0","20074201","20074110"
"20074","2007402","2007403","2007401","0","0"
"20074","2007403","0","2007402","0","0"
"20075","2007501","2007502","0","20075201","20075110"
"20075","2007502","2007503","2007501","0","0"
"20075","2007503","0","2007502","0","0"
