15ce2495eede04fcc3f334c0980e4c132282b9b7231b08947a3d7b3a0bdcd3f2,9b5346b3855ae0148b3991ff7de36f0ca23641b71757fc39d550525aa06de083,531b6ae2836fe20a198ba5eef649409233b6b32e6d95b9c01480bc51f04cc545,b561cd1d81a39f45755af6d98c1c63371f0119accd86371ade29a3d082b857cc,da3e51e7020206e557e6e256618fd774df2994a8cc010fc8bb75439a551fd73a,5338f4013236844acc969310a16a3bf7c876a1f8d52a9476571b907023acc54b,28776a35d62eb00e7323a24576f0281125b6fa4f84018900026bc5802e980094,bf99ddebac3372bfde5c4cdd4146385742dd675cbafd1ac3241f60c792c5c06b,543354348e807bf69b356f832c220ef7d9977b2e8679a9969b8a54753a0273fd,15b3c4db452c9e25e8357bfa729f597c5eda491d4312098afc0231cfb610ad41,ac00e31e1f41bf4c70c2afece951d5744e7768af6416ee218e9293d37a0ab01f,c29fc53646c1cb48ce224b60704202235628c4821b5bb2330ed8022f4339f3cf
"0","2","2","0","31","0","0","0","vo_minigame_1005_nikki02_005","vo_minigame_1005","1020031","0"
"0","1","2","0","32","0","0.93","9","0","0","1020032","114"
"1","4","2","1.24","33","0","0","0","0","0","1020033","0"
"0","1","2","0","34","114","0.879","9","0","0","1020034","257"
"1","4","2","1.877","35","0","0","0","0","0","1020035","0"
"0","2","2","0","36","0","0","0","vo_minigame_1005_nikki02_006","vo_minigame_1005","1020036","0"
"0","1","2","0","37","0","1.148","10","0","0","1020037","144"
"1","4","2","1.541","38","0","0","0","0","0","1020038","0"
"0","1","2","0","39","144","1.145","10","0","0","1020039","307"
"1","4","2","2.645","40","0","0","0","0","0","1020040","0"
"3","4","3","1","1","0","0","0","0","0","1030001","0"
"0","2","3","0","2","0","0","0","vo_minigame_1005_nikki03_000","vo_minigame_1005","1030002","0"
"0","1","3","0","3","0","2.61","1","0","0","1030003","332"
"1","4","3","3.007","4","0","0","0","0","0","1030004","0"
"0","1","3","0","5","0","1.47","2","0","0","1030005","233"
"1","4","3","2.171","6","0","0","0","0","0","1030006","0"
"0","2","3","0","7","0","0","0","vo_minigame_1005_nikki03_001","vo_minigame_1005","1030007","0"
"0","1","3","0","8","0","2.1","3","0","0","1030008","322"
"1","4","3","2.579","9","0","0","0","0","0","1030009","0"
"0","1","3","0","10","0","2.298","4","0","0","1030010","349"
"1","4","3","3.18","11","0","0","0","0","0","1030011","0"
"0","2","3","0","12","0","0","0","vo_minigame_1005_nikki03_002","vo_minigame_1005","1030012","0"
"0","1","3","0","13","0","1.262","5","0","0","1030013","173"
"1","4","3","1.993","14","0","0","0","0","0","1030014","0"
"0","2","3","0","15","0","0","0","vo_minigame_1005_nikki03_003","vo_minigame_1005","1030015","0"
"0","1","3","0","16","173","0.373","5","0","0","1030016","243"
"1","4","3","0.69","17","0","0","0","0","0","1030017","0"
"0","1","3","0","18","243","1.045","5","0","0","1030018","362"
"1","4","3","2.131","19","0","0","0","0","0","1030019","0"
"0","2","3","0","20","0","0","0","vo_minigame_1005_nikki03_004","vo_minigame_1005","1030020","0"
"0","1","3","0","21","0","2.147","6","0","0","1030021","289"
"1","4","3","2.618","22","0","0","0","0","0","1030022","0"
"0","1","3","0","23","0","1.445","7","0","0","1030023","202"
"1","4","3","2.552","24","0","0","0","0","0","1030024","0"
"0","2","3","0","25","0","0","0","vo_minigame_1005_nikki03_005","vo_minigame_1005","1030025","0"
"0","1","3","0","26","0","0.876","8","0","0","1030026","123"
"1","4","3","1.252","27","0","0","0","0","0","1030027","0"
"0","1","3","0","28","123","1.306","8","0","0","1030028","324"
"1","4","3","1.507","29","0","0","0","0","0","1030029","0"
"0","1","3","0","30","0","1.319","9","0","0","1030030","186"
"1","4","3","2.549","31","0","0","0","0","0","1030031","0"
"0","2","3","0","32","0","0","0","vo_minigame_1005_nikki03_006","vo_minigame_1005","1030032","0"
"0","1","3","0","33","0","2.728","10","0","0","1030033","383"
"1","4","3","3.023","34","0","0","0","0","0","1030034","0"
"0","1","3","0","35","0","0.91","11","0","0","1030035","123"
"1","4","3","1.977","36","0","0","0","0","0","1030036","0"
"0","2","3","0","37","0","0","0","vo_minigame_1005_nikki03_007","vo_minigame_1005","1030037","0"
"0","1","3","0","38","123","0.558","11","0","0","1030038","208"
"1","4","3","0.973","39","0","0","0","0","0","1030039","0"
"0","1","3","0","40","208","1.35","11","0","0","1030040","392"
"1","4","3","2.103","41","0","0","0","0","0","1030041","0"
"0","2","3","0","42","0","0","0","vo_minigame_1005_nikki03_008","vo_minigame_1005","1030042","0"
"0","1","3","0","43","0","0.935","12","0","0","1030043","150"
"1","4","3","2.435","44","0","0","0","0","0","1030044","0"
"3","4","4","1","1","0","0","0","0","0","1040001","0"
"0","2","4","0","2","0","0","0","vo_minigame_1005_nikki04_000","vo_minigame_1005","1040002","0"
"0","1","4","0","3","0","1.597","1","0","0","1040003","222"
"1","4","4","1.881","4","0","0","0","0","0","1040004","0"
"0","1","4","0","5","0","1.46","2","0","0","1040005","239"
"1","4","4","2.457","6","0","0","0","0","0","1040006","0"
"0","2","4","0","7","0","0","0","vo_minigame_1005_nikki04_001","vo_minigame_1005","1040007","0"
"0","1","4","0","8","0","1.208","3","0","0","1040008","171"
"1","4","4","1.578","9","0","0","0","0","0","1040009","0"
"0","1","4","0","10","171","0.673","3","0","0","1040010","270"
"1","4","4","1.009","11","0","0","0","0","0","1040011","0"
"0","1","4","0","12","270","0.65","3","0","0","1040012","352"
"1","4","4","0.729","13","0","0","0","0","0","1040013","0"
"0","1","4","0","14","0","0.976","4","0","0","1040014","166"
"1","4","4","1.993","15","0","0","0","0","0","1040015","0"
"0","2","4","0","16","0","0","0","vo_minigame_1005_nikki04_002","vo_minigame_1005","1040016","0"
"0","1","4","0","17","166","0.396","4","0","0","1040017","220"
"1","4","4","0.864","18","0","0","0","0","0","1040018","0"
"0","1","4","0","19","220","0.74","4","0","0","1040019","352"
"1","4","4","1.855","20","0","0","0","0","0","1040020","0"
"0","2","4","0","21","0","0","0","vo_minigame_1005_nikki04_003","vo_minigame_1005","1040021","0"
"0","1","4","0","22","0","0.437","5","0","0","1040022","52"
"1","4","4","0.497","23","0","0","0","0","0","1040023","0"
"0","1","4","0","24","52","1.776","5","0","0","1040024","289"
"1","4","4","2.233","25","0","0","0","0","0","1040025","0"
"0","1","4","0","26","0","1.29","6","0","0","1040026","153"
"1","4","4","1.638","27","0","0","0","0","0","1040027","0"
"0","1","4","0","28","153","1.137","6","0","0","1040028","329"
"1","4","4","2.3","29","0","0","0","0","0","1040029","0"
"0","2","4","0","30","0","0","0","vo_minigame_1005_nikki04_004","vo_minigame_1005","1040030","0"
"0","1","4","0","31","0","0.336","7","0","0","1040031","55"
"1","4","4","0.826","32","0","0","0","0","0","1040032","0"
"0","1","4","0","33","55","1.223","7","0","0","1040033","252"
"1","4","4","1.223","34","0","0","0","0","0","1040034","0"
"0","1","4","0","35","0","0.994","8","0","0","1040035","179"
"1","4","4","1.487","36","0","0","0","0","0","1040036","0"
"0","1","4","0","37","179","0.89","8","0","0","1040037","312"
"1","4","4","1.567","38","0","0","0","0","0","1040038","0"
"0","2","4","0","39","0","0","0","vo_minigame_1005_nikki04_005","vo_minigame_1005","1040039","0"
"0","1","4","0","40","0","0.74","9","0","0","1040040","151"
"1","4","4","1.731","41","0","0","0","0","0","1040041","0"
"0","2","4","0","42","0","0","0","vo_minigame_1005_nikki04_006","vo_minigame_1005","1040042","0"
"0","1","4","0","43","0","1.937","10","0","0","1040043","278"
"1","4","4","2.435","44","0","0","0","0","0","1040044","0"
"0","1","4","0","45","0","0.822","11","0","0","1040045","126"
"1","4","4","1.376","46","0","0","0","0","0","1040046","0"
"0","1","4","0","47","126","0.576","11","0","0","1040047","199"
"1","4","4","0.923","48","0","0","0","0","0","1040048","0"
"0","1","4","0","49","199","0.785","11","0","0","1040049","353"
"1","4","4","2.285","50","0","0","0","0","0","1040050","0"
"3","4","5","1","1","0","0","0","0","0","1050001","0"
"0","2","5","0","2","0","0","0","vo_minigame_1005_nikki05_000","vo_minigame_1005","1050002","0"
"0","1","5","0","3","0","1.419","1","0","0","1050003","183"
"1","4","5","1.662","4","0","0","0","0","0","1050004","0"
"0","1","5","0","5","0","1.614","2","0","0","1050005","265"
"1","4","5","2.394","6","0","0","0","0","0","1050006","0"
"0","2","5","0","7","0","0","0","vo_minigame_1005_nikki05_001","vo_minigame_1005","1050007","0"
"0","1","5","0","8","0","2.658","3","0","0","1050008","394"
"1","4","5","3.202","9","0","0","0","0","0","1050009","0"
"0","2","5","0","10","0","0","0","vo_minigame_1005_nikki05_002","vo_minigame_1005","1050010","0"
"0","1","5","0","11","0","1.745","4","0","0","1050011","298"
"1","4","5","2.545","12","0","0","0","0","0","1050012","0"
"0","2","5","0","13","0","0","0","vo_minigame_1005_nikki05_003","vo_minigame_1005","1050013","0"
"0","1","5","0","14","0","0.964","5","0","0","1050014","115"
"1","4","5","1.34","15","0","0","0","0","0","1050015","0"
"0","1","5","0","16","115","1.919","5","0","0","1050016","394"
"1","4","5","2.719","17","0","0","0","0","0","1050017","0"
"0","2","5","0","18","0","0","0","vo_minigame_1005_nikki05_004","vo_minigame_1005","1050018","0"
"0","1","5","0","19","0","0.434","6","0","0","1050019","60"
"1","4","5","0.903","20","0","0","0","0","0","1050020","0"
"0","1","5","0","21","60","1.262","6","0","0","1050021","250"
"1","4","5","1.758","22","0","0","0","0","0","1050022","0"
"0","1","5","0","23","0","2.473","7","0","0","1050023","309"
"1","4","5","3.315","24","0","0","0","0","0","1050024","0"
"0","2","5","0","25","0","0","0","vo_minigame_1005_nikki05_005","vo_minigame_1005","1050025","0"
"0","1","5","0","26","0","0.509","8","0","0","1050026","82"
"1","4","5","0.988","27","0","0","0","0","0","1050027","0"
"0","1","5","0","28","82","1.775","8","0","0","1050028","364"
"1","4","5","2.507","29","0","0","0","0","0","1050029","0"
"0","2","5","0","30","0","0","0","vo_minigame_1005_nikki05_006","vo_minigame_1005","1050030","0"
"0","1","5","0","31","0","1.139","9","0","0","1050031","201"
"1","4","5","2.066","32","0","0","0","0","0","1050032","0"
"0","2","5","0","33","0","0","0","vo_minigame_1005_nikki05_007","vo_minigame_1005","1050033","0"
"0","1","5","0","34","0","0.665","10","0","0","1050034","94"
"1","4","5","1.144","35","0","0","0","0","0","1050035","0"
"0","1","5","0","36","94","1.389","10","0","0","1050036","271"
"1","4","5","1.789","37","0","0","0","0","0","1050037","0"
"0","1","5","0","38","271","0.823","10","0","0","1050038","376"
"1","4","5","2.023","39","0","0","0","0","0","1050039","0"
