5748547e0d43ca1b4d325ee0e9b7f0d44132a7d140623ebba57557b5b0825b5f,a7f530fae1ab984de40eca44259fa187b12a5efe07ec8208ccf3ecde8b6419ea,85bcaa7ec86866f271df770c8d200874e7070dea0767a7eecec970e1870abd06,ed13cd69c69b72f7ad79bd1287dc6db8337672e8aa79e8ac4eb0918a903623ea,7b94f528e26c7732fe35280a1594092548b9a36231402d8a052f1931cf3538b4,3648689aa5618e35df60a9873921260c4e33f31128124edf5e835e572f996a15,130c058e9e69e517e739b4cdca4e6f48279e165ca077cd9924c694f99ddb6a31
"[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","72029021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","114101","32","20029"
"[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","72031021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","114601","33","20031"
"[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","72032021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","114701","34","20032"
"[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","72033021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","115601","35","20033"
"[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","72035021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","115801","36","20035"
"[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","72038021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","116801","37","20038"
"[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","72040021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","117401","38","20040"
"[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","72042021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","117801","39","20042"
"[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","72044021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","119201","40","20044"
"[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","72045021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","120801","41","20045"
"[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","72047021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","121201","42","20047"
"[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","72051021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","122101","43","20051"
"[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","72052021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","122401","44","20052"
"[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","72053021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","122801","45","20053"
"[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","72055021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","123501","46","20055"
"[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","72057021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","124101","47","20057"
"[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","72058021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","124701","48","20058"
"[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","72059021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","124901","49","20059"
