ceae231c3e33064361ed9c837dc625c18a11820a54db393f438bccabd510d3eb,b25726217f224b49d0418b39a34fd8492f32c83b1592466a73e49638c294511d,0af057f4ffb832edff8d6054148e16c088fadcc2c239102f369fdd40ff7a47b8,13b215a0cc17285183554c138206bfbaa68d12d9ebaf5fc2a5abb8744f2dab3b,fbd223f1bbf9db40b8098a35f5921c7f703c4ed4056791f60a932b8fe2a05066,6e3629e14f4333923d331fb6bc1c587a77b4791da2c4fb507f3f52fc0fe9e731,e357509c3e733740858a22b888717a277e1724e978caa62eac8a8d333ebbcb4b,eaebd1f16c0b2aef2bb4f27f9845eb9c226134a3c2b7b7d392beb415d7b0dd96,1a36f8fba4e37ea70d0933c426f53d03d69a3df91c22f64c68de1e40e701a2de
"5006","4","1003","20022","5","129","2006","光属性の属性レベルを300まで上げよう","300"
"5007","4","1003","20022","5","129","2007","光属性の属性レベルを350まで上げよう","350"
"5008","4","1003","20022","5","129","2008","光属性の属性レベルを400まで上げよう","400"
"5009","4","1003","20022","5","129","2009","光属性の属性レベルを450まで上げよう","450"
"5010","4","1003","20022","5","129","2010","光属性の属性レベルを500まで上げよう","500"
"6001","5","1003","20022","6","129","2001","闇属性の属性レベルを50まで上げよう","50"
"6002","5","1003","20022","6","129","2002","闇属性の属性レベルを100まで上げよう","100"
"6003","5","1003","20022","6","129","2003","闇属性の属性レベルを150まで上げよう","150"
"6004","5","1003","20022","6","129","2004","闇属性の属性レベルを200まで上げよう","200"
"6005","5","1003","20022","6","129","2005","闇属性の属性レベルを250まで上げよう","250"
"6006","5","1003","20022","6","129","2006","闇属性の属性レベルを300まで上げよう","300"
"6007","5","1003","20022","6","129","2007","闇属性の属性レベルを350まで上げよう","350"
"6008","5","1003","20022","6","129","2008","闇属性の属性レベルを400まで上げよう","400"
"6009","5","1003","20022","6","129","2009","闇属性の属性レベルを450まで上げよう","450"
"6010","5","1003","20022","6","129","2010","闇属性の属性レベルを500まで上げよう","500"
"7001","0","1004","20023","7","129","7001","ノードを10個強化完了しよう","10"
"7002","0","1004","20023","7","129","7002","ノードを20個強化完了しよう","20"
"7003","0","1004","20023","7","129","7003","ノードを30個強化完了しよう","30"
"7004","0","1004","20023","7","129","7004","ノードを40個強化完了しよう","40"
"7005","0","1004","20023","7","129","7005","ノードを50個強化完了しよう","50"
"7006","0","1004","20023","7","129","7006","ノードを60個強化完了しよう","60"
"7007","0","1004","20023","7","129","7007","ノードを70個強化完了しよう","70"
"7008","0","1004","20023","7","129","7008","ノードを80個強化完了しよう","80"
"7009","0","1004","20023","7","129","7009","ノードを90個強化完了しよう","90"
"7010","0","1004","20023","7","129","7010","ノードを100個強化完了しよう","100"
"7011","0","1004","20023","7","129","7011","ノードを110個強化完了しよう","110"
"7012","0","1004","20023","7","129","7012","ノードを120個強化完了しよう","120"
"7013","0","1004","20023","7","129","7013","ノードを130個強化完了しよう","130"
"7014","0","1004","20023","7","129","7014","ノードを140個強化完了しよう","140"
"7015","0","1004","20023","7","129","7015","ノードを150個強化完了しよう","150"
"7016","0","1004","20023","7","129","7016","ノードを160個強化完了しよう","160"
"7017","0","1004","20023","7","129","7017","ノードを170個強化完了しよう","170"
"7018","0","1004","20023","7","129","7018","ノードを180個強化完了しよう","180"
"7019","0","1004","20023","7","129","7019","ノードを190個強化完了しよう","190"
"7020","0","1004","20023","7","129","7020","ノードを200個強化完了しよう","200"
"7021","0","1004","20023","7","129","7021","ノードを210個強化完了しよう","210"
"7022","0","1004","20023","7","129","7022","ノードを222個強化完了しよう","222"
"8001","0","1005","20024","8","129","8001","ノードを5個強化完了しよう","5"
"8002","0","1005","20024","8","129","8002","ノードを10個強化完了しよう","10"
"8003","0","1005","20024","8","129","8003","ノードを15個強化完了しよう","15"
"8004","0","1005","20024","8","129","8004","ノードを20個強化完了しよう","20"
"8005","0","1005","20024","8","129","8005","ノードを25個強化完了しよう","25"
"8006","0","1005","20024","8","129","8006","ノードを33個強化完了しよう","33"
"8007","0","1005","20024","8","129","8007","ノードを40個強化完了しよう","40"
"8008","0","1005","20024","8","129","8007","ノードを50個強化完了しよう","50"
"8009","0","1005","20024","8","129","8007","ノードを60個強化完了しよう","60"
"8010","0","1005","20024","8","129","8007","ノードを66個強化完了しよう","66"
