12223a7df113d2759a916342fb691dcc1227da487205fe55e4a55f03803ab9d9,57ce847d8c04917d344bb268503db18bbf2c9652348c803a8344abd7069e4972,99d8714f9c93cbda9cd7184bb3e1999b1855dd913d5fecdf27a1731ccd401392,4614486a0c88877fae91d35f386fe25df7588a4d6adb6a029116ad98f0bf6984,1af079d537ad77e11b6aefdf0db4fccd4414c694ad68672670e9fa815bcef879,e1626c42912c7c216ac7227a097cf47398f8f8fc030e68a26f2f950192171e96,f628b736eeb7cbdf49d9678c46b8000452d0f9c9a73afcb3ef67f926bfc12e53,b7516214c0cbdce14aac27ad749ead3c0e9cfedebd74a1f76038482eeed84f68,4131cc9f5b9fc77bbc514967fe15d4122617a91dc38212b3573c92e90bd4ad66
"18","-1","1","2020/11/16 4:59:59","2018/01/01 5:00:00","94002","12","11005001","30000"
"19","-1","1","2020/11/16 4:59:59","2018/01/01 5:00:00","90007","2","11005001","500"
"20","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","0","5","11006001","30"
"21","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","20003","2","11006001","2"
"22","-1","1","2022/12/16 4:59:59","2018/01/01 5:00:00","0","5","15004001","30"
"23","-1","1","2022/12/16 4:59:59","2018/01/01 5:00:00","90007","2","15004001","100"
"24","-1","1","2020/11/16 4:59:59","2018/01/01 5:00:00","0","5","14001001","40"
"25","-1","1","2020/11/16 4:59:59","2018/01/01 5:00:00","94002","12","14001001","80000"
"26","-1","1","2020/11/16 4:59:59","2018/01/01 5:00:00","20003","2","14001001","2"
"27","-1","1","2020/11/16 4:59:59","2018/01/01 5:00:00","0","5","14003001","50"
"28","-1","1","2020/11/16 4:59:59","2018/01/01 5:00:00","94002","12","14003001","140000"
"29","-1","1","2020/11/16 4:59:59","2018/01/01 5:00:00","22002","2","14003001","4"
"30","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","21001001","30"
"31","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","94002","12","21001001","2000"
"33","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","21001002","30"
"34","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","22001","2","21001002","2"
"36","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","21001003","30"
"37","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","22002","2","21001003","1"
"39","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","21001004","30"
"40","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","22003","2","21001004","1"
"42","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","21001005","90"
"43","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","22003","2","21001005","2"
"45","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","21002001","60"
"46","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","94002","12","21002001","4000"
"48","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","21002002","60"
"49","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","22001","2","21002002","4"
"51","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","21002003","60"
"52","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","22002","2","21002003","2"
"54","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","21002004","60"
"55","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","22003","2","21002004","2"
"57","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","21003001","50"
"58","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","28002001","100"
"59","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","90007","2","28002001","1000"
"60","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","28002002","100"
"61","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","90007","2","28002002","1500"
"62","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","28002003","100"
"63","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","90007","2","28002003","1500"
"64","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","28002004","100"
"65","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","90007","2","28002004","1500"
"66","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","28002005","100"
"67","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","90007","2","28002005","1500"
"68","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","28002006","100"
"69","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","90007","2","28002006","1500"
"70","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","28002007","100"
"71","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","90007","2","28002007","1500"
"72","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","28002008","100"
"73","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","90007","2","28002008","1500"
"74","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","28002009","100"
"75","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","90007","2","28002009","1500"
"76","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","28002010","100"
"77","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","90007","2","28002010","1500"
"78","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","28002011","100"
"79","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","90007","2","28002011","1500"
"80","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","28002012","100"
"81","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","90007","2","28002012","1500"
"82","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","28002013","100"
"83","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","90007","2","28002013","1500"
"84","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","28002014","100"
"85","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","90007","2","28002014","1500"
"86","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26001001","30"
"87","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26003001","50"
"88","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26008001","50"
"89","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","24002001","50"
"90","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","24004001","50"
"91","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","21005001","100"
"92","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","21005002","100"
"93","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","21005003","100"
"94","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","21005004","100"
"95","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","21005005","100"
"96","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","21005006","100"
"97","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","21005007","100"
"98","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","21005018","30"
"99","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","21005028","30"
"100","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","21005038","40"
"101","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26002001","50"
"102","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26002002","50"
"103","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26002003","50"
"104","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26002004","50"
"105","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26002005","50"
"106","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26002006","50"
"107","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26002007","50"
"108","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26002008","50"
"109","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26002009","50"
"110","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26002010","50"
"111","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26005001","100"
"112","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26005002","100"
"113","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","21007001","50"
"115","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","28006001","1000"
"116","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","0","5","28005001","20"
"117","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","20001","2","28005001","10"
"118","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","94002","12","15005001","1500"
"119","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","93001","6","18001003","200"
"120","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","93001","6","18001004","200"
"121","-1","1","2020/11/16 4:59:59","2018/01/01 5:00:00","0","5","11101001","20"
"122","-1","1","2020/11/16 4:59:59","2018/01/01 5:00:00","20003","2","11101001","2"
"123","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","21102001","50"
"124","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","21103001","100"
"128","-1","1","2020/11/16 4:59:59","2018/01/01 5:00:00","0","5","11001002","30"
"129","-1","1","2020/11/16 4:59:59","2018/01/01 5:00:00","94002","12","11001002","30000"
"130","-1","1","2020/11/16 4:59:59","2018/01/01 5:00:00","23001","2","11001002","6"
"131","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","93001","6","28007001","100"
"132","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","93001","6","28007002","100"
"133","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","93001","6","28007003","100"
"134","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26013001","30"
"135","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26014001","50"
"136","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","21011001","80"
"137","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","22003","2","21011001","2"
"138","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26015001","50"
"139","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26015002","10"
"140","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","21102002","100"
"141","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","28002015","400"
"142","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","94002","12","28002015","500000"
"143","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","90007","2","28002015","1500"
"144","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","28002016","400"
"145","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","94002","12","28002016","500000"
"146","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","90007","2","28002016","1500"
"147","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","28002017","400"
"148","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","94002","12","28002017","3000000"
"149","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","90007","2","28002017","1500"
"150","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","28002018","600"
"151","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","94002","12","28002018","3000000"
"152","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","90007","2","28002018","1500"
"153","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","28002019","600"
"154","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","94002","12","28002019","3000000"
"155","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","90007","2","28002019","1500"
"156","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","28002020","600"
"157","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","94002","12","28002020","5000000"
"158","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","90007","2","28002020","1500"
"159","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","28002021","600"
"160","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","94002","12","28002021","5000000"
"161","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","90007","2","28002021","1500"
"162","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","28002022","600"
"163","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","94002","12","28002022","5000000"
"164","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","90007","2","28002022","1500"
"165","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","28002023","600"
"166","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","94002","12","28002023","5000000"
"167","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","90007","2","28002023","1500"
"168","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","28002024","600"
"169","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","94002","12","28002024","5000000"
"170","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","90007","2","28002024","1500"
"171","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","28002025","1100"
"172","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","94002","12","28002025","7500000"
"173","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","90007","2","28002025","1500"
"174","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","28002026","1100"
"175","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","94002","12","28002026","7500000"
"176","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","90007","2","28002026","1500"
"177","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","28002027","1100"
"178","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","94002","12","28002027","7500000"
"179","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","90007","2","28002027","1500"
"180","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","28002028","1100"
"181","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","94002","12","28002028","10000000"
"182","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","90007","2","28002028","1500"
"183","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","28002029","1100"
"184","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","94002","12","28002029","10000000"
"185","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","90007","2","28002029","1500"
"186","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","28002030","1100"
"187","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","94002","12","28002030","10000000"
"188","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","90007","2","28002030","1500"
"189","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","28002031","1100"
"190","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","94002","12","28002031","10000000"
"191","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","90007","2","28002031","1500"
"192","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","28002032","1100"
"193","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","94002","12","28002032","10000000"
"194","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","90007","2","28002032","1500"
"195","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","28002033","1100"
"196","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","94002","12","28002033","15000000"
"197","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","90007","2","28002033","1500"
"198","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","28002034","1100"
"199","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","94002","12","28002034","15000000"
"200","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","90007","2","28002034","1500"
"201","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","28002035","1100"
"202","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","94002","12","28002035","15000000"
"203","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","90007","2","28002035","1500"
"204","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","28002036","1100"
"205","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","94002","12","28002036","15000000"
"206","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","90007","2","28002036","1500"
"207","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","28002037","1100"
"208","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","94002","12","28002037","15000000"
"209","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","90007","2","28002037","1500"
"210","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","28002038","1100"
"211","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","94002","12","28002038","15000000"
"212","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","90007","2","28002038","1500"
"213","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26003002","50"
"214","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","94002","12","26003002","10000"
"215","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26003003","50"
"216","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","94002","12","26003003","10000"
"217","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26003004","50"
"218","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","94002","12","26003004","10000"
"219","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26003005","50"
"220","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","94002","12","26003005","50000"
"221","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26003006","50"
"222","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","94002","12","26003006","50000"
"223","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26003007","50"
"224","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","94002","12","26003007","100000"
"225","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26003008","50"
"226","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","94002","12","26003008","100000"
"227","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26003009","50"
"228","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","94002","12","26003009","100000"
"229","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26003010","50"
"230","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","94002","12","26003010","100000"
"231","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26003011","50"
"232","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","94002","12","26003011","200000"
"233","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26003012","50"
"234","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","94002","12","26003012","200000"
"235","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26003013","50"
"236","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","94002","12","26003013","200000"
"237","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26003014","50"
"238","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","94002","12","26003014","500000"
"239","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26003015","50"
"240","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","94002","12","26003015","500000"
"241","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26003016","50"
"242","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","94002","12","26003016","500000"
"243","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26003017","50"
"244","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","94002","12","26003017","500000"
"245","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26003018","50"
"246","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","94002","12","26003018","500000"
"247","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26003019","50"
"248","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","94002","12","26003019","500000"
"249","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26003020","50"
"250","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","94002","12","26003020","500000"
"251","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26003021","50"
"252","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","94002","12","26003021","750000"
"253","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26003022","50"
"254","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","94002","12","26003022","750000"
"255","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26003023","50"
"256","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","94002","12","26003023","750000"
"257","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26003024","50"
"258","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","94002","12","26003024","750000"
"259","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26003025","50"
"260","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","94002","12","26003025","750000"
"261","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26003026","50"
"262","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","94002","12","26003026","750000"
"263","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26003027","50"
"264","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","94002","12","26003027","750000"
"265","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26002011","350"
"266","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26002012","350"
"267","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26002013","350"
"268","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26002014","350"
"269","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26002015","550"
"270","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26002016","550"
"271","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26002017","550"
"272","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26002018","550"
"273","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26002019","550"
"274","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26002020","800"
"275","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26002021","800"
"276","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26002022","800"
"277","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26002023","800"
"278","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26002024","800"
"279","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26002025","800"
"280","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26002026","800"
"281","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26002027","800"
"282","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26002028","800"
"283","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26002029","800"
"284","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26002030","1000"
"285","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","26002031","1000"
"286","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","0","5","28012001","100"
"287","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","94002","12","28012001","100000"
"288","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","0","5","27004001","100"
"289","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","94002","12","27004001","100000"
"290","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","0","5","27004002","100"
"291","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","94002","12","27004002","100000"
"292","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","11402001","10"
"293","199","1","2030/12/31 23:59:59","2022/12/16 5:00:00","0","5","15004001","60"
"294","199","1","2030/12/31 23:59:59","2022/12/16 5:00:00","90007","2","15004001","100"
"295","-1","200","2030/12/31 23:59:59","2022/12/16 5:00:00","0","5","15004001","30"
"296","-1","200","2030/12/31 23:59:59","2022/12/16 5:00:00","90007","2","15004001","100"
"297","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","21005039","100"
"298","-1","1","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","8","28002039","1100"
