aaeb975f91a08ce121d3e72d1d26096be7986833db693c418182a8bebe7e9eef,f535d12f8bad3c900e1ad1faee4aff163c9a2b474b7845d151ce2a25a4a05e76,e1c7f12a23107f6de259ceee86fcb55cac54a9fd0366263549d12e9c3039a055,20a3bf9939941af0adc7a50ca10b9af257bb0cf1973cc07a57edce26ff1f4423,90c46d751068f23964bcc6b1bac8ecc951381c4e2cf85f26bb77ca7de93c64ed
"57","9","92407220","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン"
"58","boss_tp_down_cut","92407220","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","ＴＰダウンカット"
"59","12","92407230","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","火属性ボーナス特大アップ"
"60","18","92407230","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰"
"61","boss_def_lower_limit","92407230","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ"
"62","boss_magic_def_lower_limit","92407230","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ"
"63","17","92407230","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与"
"64","9","92407230","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン"
"65","boss_tp_down_cut","92407230","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","ＴＰダウンカット"
"66","12","92407240","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","火属性ボーナス特大アップ"
"67","18","92407240","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰"
"68","boss_def_lower_limit","92407240","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ"
"69","boss_magic_def_lower_limit","92407240","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ"
"70","17","92407240","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与"
"71","9","92407240","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン"
"72","boss_tp_down_cut","92407240","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","ＴＰダウンカット"
"73","12","92407310","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","火属性ボーナス特大アップ"
"74","18","92407310","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰"
"75","boss_def_lower_limit","92407310","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ"
"76","boss_magic_def_lower_limit","92407310","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ"
"77","17","92407310","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与"
"78","9","92407310","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン"
"79","boss_tp_down_cut","92407310","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","ＴＰダウンカット"
"80","12","92407320","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","火属性ボーナス特大アップ"
"81","18","92407320","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰"
"82","boss_def_lower_limit","92407320","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ"
"83","boss_magic_def_lower_limit","92407320","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ"
"84","17","92407320","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与"
"85","9","92407320","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン"
"86","boss_tp_down_cut","92407320","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","ＴＰダウンカット"
"87","12","92407330","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","火属性ボーナス特大アップ"
"88","18","92407330","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰"
"89","boss_def_lower_limit","92407330","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ"
"90","boss_magic_def_lower_limit","92407330","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ"
"91","17","92407330","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与"
"92","9","92407330","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン"
"93","boss_tp_down_cut","92407330","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","ＴＰダウンカット"
"94","12","92407340","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","火属性ボーナス特大アップ"
"95","18","92407340","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰"
"96","boss_def_lower_limit","92407340","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ"
"97","boss_magic_def_lower_limit","92407340","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ"
"98","17","92407340","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与"
"99","9","92407340","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン"
"100","boss_tp_down_cut","92407340","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","ＴＰダウンカット"
"101","13","92408010","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","水属性ボーナス特大アップ"
"102","boss_def_lower_limit","92408010","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ"
"103","boss_magic_def_lower_limit","92408010","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ"
"104","17","92408010","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与"
"105","9","92408010","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン"
"106","13","92408020","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","水属性ボーナス特大アップ"
"107","boss_def_lower_limit","92408020","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ"
"108","boss_magic_def_lower_limit","92408020","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ"
"109","17","92408020","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与"
"110","9","92408020","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン"
"111","13","92408030","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","水属性ボーナス特大アップ"
"112","boss_def_lower_limit","92408030","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ"
"113","boss_magic_def_lower_limit","92408030","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ"
"114","17","92408030","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与"
"115","9","92408030","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン"
"116","13","92408110","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","水属性ボーナス特大アップ"
"117","boss_def_lower_limit","92408110","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ"
"118","boss_magic_def_lower_limit","92408110","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ"
"119","boss_tp_down_cut","92408110","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","ＴＰダウンカット"
"120","18","92408110","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰"
"121","17","92408110","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与"
"122","9","92408110","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン"
"123","13","92408120","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","水属性ボーナス特大アップ"
"124","boss_def_lower_limit","92408120","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ"
"125","boss_magic_def_lower_limit","92408120","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ"
"126","boss_tp_down_cut","92408120","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","ＴＰダウンカット"
"127","18","92408120","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰"
"128","17","92408120","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与"
"129","9","92408120","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン"
"130","13","92408130","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","水属性ボーナス特大アップ"
"131","boss_def_lower_limit","92408130","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ"
"132","boss_magic_def_lower_limit","92408130","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ"
"133","boss_tp_down_cut","92408130","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","ＴＰダウンカット"
"134","18","92408130","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰"
"135","17","92408130","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与"
"136","9","92408130","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン"
"137","13","92408140","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","水属性ボーナス特大アップ"
"138","boss_def_lower_limit","92408140","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ"
"139","boss_magic_def_lower_limit","92408140","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ"
"140","boss_tp_down_cut","92408140","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","ＴＰダウンカット"
"141","18","92408140","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰"
"142","17","92408140","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与"
"143","9","92408140","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン"
"144","13","92408210","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","水属性ボーナス特大アップ"
"145","boss_def_lower_limit","92408210","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ"
"146","boss_magic_def_lower_limit","92408210","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ"
"147","boss_tp_down_cut","92408210","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","ＴＰダウンカット"
"148","18","92408210","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰"
"149","17","92408210","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与"
"150","9","92408210","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン"
"151","13","92408220","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","水属性ボーナス特大アップ"
"152","boss_def_lower_limit","92408220","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ"
"153","boss_magic_def_lower_limit","92408220","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ"
"154","boss_tp_down_cut","92408220","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","ＴＰダウンカット"
"155","18","92408220","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰"
"156","17","92408220","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与"
"157","9","92408220","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン"
"158","13","92408230","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","水属性ボーナス特大アップ"
"159","boss_def_lower_limit","92408230","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ"
"160","boss_magic_def_lower_limit","92408230","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ"
"161","boss_tp_down_cut","92408230","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","ＴＰダウンカット"
"162","18","92408230","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰"
"163","17","92408230","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与"
"164","9","92408230","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン"
"165","13","92408240","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","水属性ボーナス特大アップ"
"166","boss_def_lower_limit","92408240","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ"
"167","boss_magic_def_lower_limit","92408240","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ"
"168","boss_tp_down_cut","92408240","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","ＴＰダウンカット"
"169","18","92408240","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰"
"170","17","92408240","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与"
"171","9","92408240","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン"
"172","13","92408310","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","水属性ボーナス特大アップ"
"173","boss_def_lower_limit","92408310","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ"
"174","boss_magic_def_lower_limit","92408310","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ"
"175","boss_tp_down_cut","92408310","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","ＴＰダウンカット"
"176","18","92408310","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰"
"177","17","92408310","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与"
"178","9","92408310","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン"
"179","13","92408320","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","水属性ボーナス特大アップ"
"180","boss_def_lower_limit","92408320","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ"
"181","boss_magic_def_lower_limit","92408320","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ"
"182","boss_tp_down_cut","92408320","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","ＴＰダウンカット"
"183","18","92408320","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰"
"184","17","92408320","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与"
"185","9","92408320","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン"
