60091305ad48c1c357fa039d40410a47e7929e4c32ca218676d76a0ffcb8cf2a,e6fb2367d8350da907b59351ed7c9177fd951b7a899825e216b5be7bcf5c4bde,d7e8fb974b27c8e18273a1251fb0bee325f28da3b571311f625b7d29c4784108,359023b27020de44ee99e42072d6cce0aa072c8617a9b743d1acda70562f09c4,f493f13ec3b4c1d0fb1dcb3a06b33d0208704b59363233f0385d5aea1e74888f,1f64d03673f98a97b14e5e2fb03325dbd27e5f5645934764012aa4657958d2e1,4be4cb512c93a426a2d12556cfa0ac5d047c77e1411b3169810b67ae4977cb3d,c8541ae3c7f0a525a77636ffc7e52d0a80d281cd0913514274a332a430e05e1c,5063508984675380184753ff384a35edefdaf278bfb65789721b128326f04cd1,e2556306f81c4f9a61f90e6e2ec2a7de6a2a6108ce73b84b75e3d2b8e65f4def,96f7f64f2529b3372513a0eaab651f1d3ab7ba6deb97a21174e1ca2dd9fee3d7
"0.2","","nyx_101_chieru_02","110931","11010047","3","101","1","","0","nyx_101_chieru_loop"
"0.2","","nyx_idle_sad","104831","11010048","3","101","","","1",""
"0.2","","nyx_talk_sad","104631","11010049","3","101","","","1",""
"","","なんかちぇるちぇる\n聞こえるにゃ…\nこわいにゃ…","104631","11010050","11","101","","","10",""
"","","","0","11010051","91","101","","","",""
"0.2","","nyx_idle_sad","104631","11010052","3","101","","","1",""
"0.2","","nyx_talk_sad","103431","11010053","3","101","","","1",""
"","","学校の七不思議的な\nやつかしら…\nか、帰りたい…","103431","11010054","11","101","","","10",""
"","","","0","11010055","91","101","","","",""
"0.2","","nyx_idle_sad","103431","11010056","3","101","","","1",""
"0.2","","nyx_talk_joy2","103231","11010057","3","101","","","1",""
"","","面白いですわね！\n何が出てくるか\nワクワクしますわ！","103231","11010058","11","101","","","10",""
"","","","0","11010059","91","101","","","",""
"","","","0.4","11010060","93","101","","","",""
"","","0","110931","11010061","4","101","","","",""
"","","0","2","11010062","4","101","","","",""
"0.2","","nyx_101_chieru_01","110931","11010063","3","101","1","","0","nyx_101_chieru_loop"
"0.2","","nyx_101_chieru_01","2","11010064","3","101","1","","0","nyx_101_chieru_loop"
"","","1","104831","11010065","12","101","","","1",""
"0.2","0.2","nyx_talk_sad","104831","11010066","3","101","1","","0","nyx_idle_sad"
"","","","0.4","11010067","93","101","","","",""
"","","0","3","11010068","32","101","","","",""
"","","1","3","11010069","32","101","","","",""
"","","","1.6","11010070","93","101","","","",""
"","","15","104631","11010071","12","101","","","1",""
"0.2","0.2","nyx_talk_sad","104631","11010072","3","101","1","","0","nyx_idle_sad"
"","","","3","11010073","93","101","","","",""
"","","1","110931","11010074","4","101","","","",""
"","","1","2","11010075","4","101","","","",""
"0.2","","nyx_101_chieru_02","110931","11010076","3","101","1","","0","nyx_101_chieru_loop"
"0.2","","nyx_101_chieru_02","2","11010077","3","101","1","","0","nyx_101_chieru_loop"
"","","10","103231","11010078","12","101","","","1",""
"0.2","0.2","nyx_talk_joy1","103231","11010079","3","101","1","","0","nyx_idle_joy1"
"","","","2","11010080","93","101","","","",""
"","","2","103431","11010081","12","101","","","1",""
"0.2","0.2","nyx_talk_sad","103431","11010082","3","101","1","","0","nyx_idle_sad"
"","","","2.5","11010083","93","101","","","",""
"","","","11010060","11010084","101","101","","","",""
"1.35","1","110831","1","11020001","1","102","-209.3","nyx_102_chloe_01","110","-362"
"1.35","0","104831","1","11020002","1","102","-182.5","nyx_102_mifuyu_01","110","90"
"1.35","0","104631","1","11020003","1","102","-182.5","nyx_idle_normal","110","220"
"1.35","1","103231","1","11020004","1","102","-182.5","nyx_talk_normal","110","336"
"1.35","1","103431","1","11020005","1","102","-182.5","nyx_idle_normal","110","457"
"1","","1","1","11020006","31","102","1","","0","0"
"1.35","0","2","2","11020007","5","102","-209.3","NoItem","120","-362"
"","","bgm_M347","bgm_M347","11020008","25","102","","","",""
"","","","2","11020009","93","102","","","",""
"0.2","","nyx_102_chloe_02","110831","11020010","3","102","","","1",""
"","","次、うちの番か…\nえ、チエルの後って\n何気に不利くない？","110831","11020011","11","102","","","10",""
"","","1","0","11020012","91","102","","","",""
"0.2","","nyx_idle_sad","110831","11020013","3","102","","","1",""
"","","あいつ絶対初見で\nちぇるちぇる言って\n現場冷やしてるし…","110831","11020014","11","102","","","10",""
"","","1","0","11020015","91","102","","","",""
"0.2","0.2","cmn_pose02_def_N","110831","11020016","3","102","1","","0","nyx_102_chloe_02"
"","","ま、いいけど何でも\n…てゆか中の人ら\nダイジョブか？","110831","11020017","11","102","","","10",""
"","","","3","11020018","93","102","","","",""
"0.2","","nyx_idle_normal","103231","11020019","3","102","","","1",""
"0.2","","nyx_talk_sad","104631","11020020","3","102","","","1",""
"","","0","110831","11020021","4","102","","","",""
"","","","11020016","11020022","91","102","","","",""
"","","","1","11020023","93","102","","","",""
"0.2","","nyx_102_chloe_01","110831","11020024","3","102","","","1",""
"","","ちぇる気にやられて\nおかしなことにとか\n…いや、まさかね","110831","11020025","11","102","","","10",""
"","","","2.5","11020026","93","102","","","",""
"0.2","","nyx_102_chloe_03","110831","11020027","3","102","1","","0","nyx_102_chloe_03_loop"
"0.2","","nyx_102_chloe_03","2","11020028","3","102","1","","0","nyx_102_chloe_03_loop"
"","","","11020025","11020029","91","102","","","",""
"","","","1","11020030","93","102","","","",""
"","","ちぇる…ちぇる…","104831","11020031","11","102","","","10",""
"","","","1.5","11020032","93","102","","","",""
"","","1","104631","11020033","4","102","","","0",""
"0.2","0.2","cmn_shock_def_N","104631","11020034","3","102","1","","0","nyx_idle_surprise2"
"0.2","0.2","cmn_shock_def_N","103431","11020035","3","102","1","","0","nyx_idle_surprise2"
"0.2","0.2","nyx_surprise","103231","11020036","3","102","1","","0","nyx_idle_surprise1"
"","","","1.5","11020037","93","102","","","",""
"0.2","0.2","nyx_talk_surprise2","104631","11020038","3","102","1","","1",""
"0.2","","nyx_102_yukari_01","103431","11020039","3","102","","","1",""
"","","ミフユさん！\nしっかりちぇる！\n傷は浅いちぇる！","103431","11020040","11","102","","","10",""
"","","1","0","11020041","91","102","","","",""
"0.2","0.2","cmn_shock_def_N","103431","11020042","3","102","1","","0","nyx_102_tamaki_01_loop"
"","","0","103231","11020043","4","102","","","0",""
"","","0","104631","11020044","4","102","","","0",""
"","","","0","11020045","91","102","","","",""
"","","ダメにゃ…\nミフユもユカリも\n手遅れちぇ…にゃ！","104631","11020046","11","102","","","10",""
"","","","2.6","11020047","93","102","","","",""
"0.2","0.2","nyx_102_tamaki_01","104631","11020048","3","102","1","","0","nyx_102_tamaki_01_loop"
"","","","0.1","11020049","93","102","","","",""
"","","1","103231","11020050","4","102","","","0",""
"","","","1.5","11020051","93","102","","","",""
"","","被害甚大ですわね…\n次の方が普通である\nことを祈りますわ…","103231","11020052","11","102","","","10",""
"","","","0","11020053","91","102","","","",""
"","","","1","11020054","93","102","","","",""
"0.2","","nyx_102_chloe_04","110831","11020055","3","102","1","","0","nyx_102_chloe_03_loop"
"0.2","","nyx_102_chloe_04","2","11020056","3","102","1","","0","nyx_102_chloe_03_loop"
"","","","1.5","11020057","93","102","","","",""
"","","12","110831","11020058","12","102","","","1",""
"","","","1","11020059","93","102","","","",""
"","","1","103431","11020060","12","102","","","1",""
"0.2","0.2","nyx_cmn_01","103431","11020061","3","102","1","","0","nyx_cmn_03"
"0.2","0.2","nyx_idle_worry","104631","11020062","3","102","1","","1",""
"","","","2","11020063","93","102","","","",""
"","","12","104831","11020064","12","102","","","1",""
"","","","2","11020065","93","102","","","",""
"","","10","103231","11020066","12","102","","","1",""
"0.2","0.2","nyx_talk_normal","103231","11020067","3","102","1","","0","nyx_idle_normal"
"","","","2","11020068","93","102","","","",""
"","","2","104631","11020069","12","102","","","1",""
"0.2","0.2","nyx_talk_sad","104631","11020070","3","102","1","","0","nyx_idle_worry"
"","","","4","11020071","93","102","","","",""
"","","1","11020055","11020072","101","102","","","",""
"1.35","0","111031","1","11030001","1","103","-209.3","nyx_103_yuni_01","110","-421"
"1.35","0","104831","1","11030002","1","103","-182.5","nyx_idle_normal","110","121.8"
"1.35","0","2","2","11030003","5","103","-182.5","NoItem","120","121.8"
"1.35","0","104631","1","11030004","1","103","-182.5","nyx_idle_normal","110","227.7"
"1.35","0","2","2","11030005","5","103","-182.5","NoItem","120","227.7"
"1.35","1","103231","1","11030006","1","103","-182.5","nyx_idle_normal","110","340.3"
"1.35","1","103431","1","11030007","1","103","-182.5","nyx_cmn_03","110","449.6"
"1.35","1","2","2","11030008","5","103","-182.5","NoItem","120","449.6"
"1","","1","1","11030009","31","103","1","","0","0"
"","","bgm_M347","bgm_M347","11030010","25","103","","","",""
"","","","2","11030011","93","103","","","",""
"0.2","","nyx_talk_sad","103431","11030012","3","103","","","1",""
"","","プレゼンって\nこんなに\n疲れるものなの…？","103431","11030013","11","103","","","10",""
"","","","0","11030014","91","103","","","",""
"0.2","","nyx_cmn_03","103431","11030015","3","103","","","1",""
"0.2","","nyx_cmn_05","104831","11030016","3","103","","","1",""
"","","きっと次は大丈夫よ\nまともな生徒のはず\n…そうよね？","104831","11030017","11","103","","","10",""
"","","","0","11030018","91","103","","","",""
"0.2","","nyx_cmn_04","104831","11030019","3","103","","","1",""
"0.2","","nyx_talk_normal","103231","11030020","3","103","","","1",""
"","","あら？\n次もなかよし部の方\nみたいですわよ？","103231","11030021","11","103","","","10",""
"","","","0","11030022","91","103","","","",""
"0.2","","nyx_idle_normal","103231","11030023","3","103","","","1",""
"0.2","","nyx_talk_sad","104631","11030024","3","103","","","1",""
"","","…気を抜いたら\nやられるにゃ\n覚悟を決めるにゃ","104631","11030025","11","103","","","10",""
"","","","2.6","11030026","93","103","","","",""
"0.2","","nyx_102_chloe_01","111031","11030027","3","103","","","1",""
"","","","11030025","11030028","91","103","","","",""
"0.2","0.3","nyx_cmn_02","104631","11030029","3","103","1","","0","nyx_idle_sad"
"0.2","","nyx_cmn_02","2","11030030","3","103","","","0",""
"0.2","0.3","nyx_cmn_02","103431","11030031","3","103","1","","0","nyx_cmn_03"
"0.2","","nyx_cmn_02","2","11030032","3","103","","","0",""
"0.2","0.2","nyx_cmn_02","104831","11030033","3","103","1","","0","nyx_idle_normal"
"0.2","","nyx_cmn_02","2","11030034","3","103","","","0",""
"","","","1.5","11030035","93","103","","","",""
"0.2","","nyx_303_yuni_01","111031","11030036","3","103","","","1",""
"","","ふむ、次はぼくだな\nまさに真打登場と\n言ったところか","111031","11030037","11","103","","","10",""
"","","","2.8","11030038","93","103","","","",""
"","","13","104831","11030039","12","103","","","1",""
"0.2","","nyx_talk_normal","104831","11030040","3","103","","","1",""
"","","","11030037","11030041","91","103","","","",""
"","","チエル君、クロエ君\n君らの無念はぼくが\n晴らして見せよう","111031","11030042","11","103","","","10",""
"","","","0","11030043","91","103","","","",""
"0.2","","nyx_103_yuni_02","111031","11030044","3","103","","","1",""
"","","いざ上級生としての\n責務を果たす時だ","111031","11030045","11","103","","","10",""
"","","","1.5","11030046","93","103","","","",""
"","","17","103231","11030047","12","103","","","1",""
"0.2","","nyx_idle_normal","104831","11030048","3","103","","","1",""
"0.2","","nyx_cmn_05","103231","11030049","3","103","","","1",""
"","","","11030045","11030050","91","103","","","",""
"0.3","0.6","nyx_103_yuni_03","111031","11030051","3","103","0","","0","nyx_103_yuni_04"
"","","ユニちゃんズの\n名に懸けて…！","111031","11030052","11","103","","","10",""
"","","","0","11030053","91","103","","","",""
"0.2","","nyx_idle_normal","103231","11030054","3","103","","","1",""
"","","","0.6","11030055","93","103","","","",""
"0.2","","12","111031","11030056","12","103","","","1",""
"0.2","0.2","cmn_pose02_def_N","111031","11030057","3","103","1","","0","nyx_idle_normal"
"","","","1.5","11030058","93","103","","","",""
"","","15","104631","11030059","12","103","","","1",""
"0.2","0.2","nyx_talk_sad","104631","11030060","3","103","1","","0","nyx_idle_worry"
"","","","2","11030061","93","103","","","",""
"","","10","103231","11030062","12","103","","","1",""
"0.2","0.2","nyx_talk_joy1","103231","11030063","3","103","1","","0","nyx_idle_normal"
"0.2","0.2","nyx_103_yuni_01","111031","11030064","3","103","1","","0","nyx_idle_normal"
"","","","2.5","11030065","93","103","","","",""
"","","1","103431","11030066","12","103","","","1",""
"0.2","0.3","nyx_cmn_01","103431","11030067","3","103","1","","0","nyx_cmn_03"
"","","","2","11030068","93","103","","","",""
"","","12","104831","11030069","12","103","","","1",""
"0.2","","nyx_talk_bitter","104831","11030070","3","103","","","1",""
"","","","2","11030071","93","103","","","",""
"0.2","","nyx_idle_bitter","104831","11030072","3","103","","","1",""
"","","","1","11030073","93","103","","","",""
"","","","11030056","11030074","101","103","","","",""
"1.2","1","103231","1","12010001","1","201","-294.7","nyx_201_akino_01","110","-235.4"
"1.2","1","2","2","12010002","5","201","-294.7","nyx_201_akino_01","120","-235.4"
"1.2","0","104631","1","12010003","1","201","-281.6","nyx_idle_normal","110","-357"
"1.2","1","103431","1","12010004","1","201","-281.6","nyx_idle_normal","110","310.5"
"1.2","0","104831","1","12010005","1","201","-281.6","nyx_idle_normal","110","-453.3"
"1","","1","2","12010006","31","201","1","","0","0"
"1","","2","11","12010007","31","201","1","","0","0"
"","","bgm_M347","bgm_M347","12010008","25","201","","","",""
"","","","2","12010009","93","201","","","",""
"","","タマキさん、この\n部品の組み立てを\nお願いしますわ！","103231","12010010","11","201","","","10",""
"","","","0","12010011","91","201","","","",""
"0.3","0.3","nyx_surprise","104631","12010012","3","201","1","","0","nyx_idle_surprise1"
"","","わ、わかったにゃ！\n…こんなの設計図に\nあったかにゃ…？","104631","12010013","11","201","","","10",""
"","","","0","12010014","91","201","","","",""
"","","0","103231","12010015","4","201","","","0",""
"","","0","2","12010016","4","201","","","",""
"0.3","0.3","nyx_idle_bitter2","104631","12010017","3","201","","","1",""
"0.3","0.3","nyx_201_akino_02","103231","12010018","3","201","","","1",""
"0.3","0.3","nyx_201_akino_02","2","12010019","3","201","","","1",""
"","","199","103231","12010020","2","201","","","-294.7","2.2"
"","","199","2","12010021","2","201","","","-294.7","2.2"
"","","","2.2","12010022","93","201","","","",""
"0.3","0.3","nyx_201_akino_01","103231","12010023","3","201","","","1",""
"0.3","0.3","nyx_201_akino_01","2","12010024","3","201","","","1",""
"","","ユカリさん！\nこの回路の発注を\n至急お願いします！","103231","12010025","11","201","","","10",""
"","","","0","12010026","91","201","","","",""
"0.3","0.3","nyx_cmn_01","103431","12010027","3","201","","","1",""
"","","えっ？　えっ？\nちょっとアキノさん\nこれ何に使うの！？","103431","12010028","11","201","","","10",""
"","","","0","12010029","91","201","","","",""
"0.3","0.3","nyx_idle_bitter2","103431","12010030","3","201","","","1",""
"","","1","103231","12010031","4","201","","","",""
"","","1","2","12010032","4","201","","","",""
"0.3","0.3","nyx_201_akino_02","103231","12010033","3","201","","","1",""
"0.3","0.3","nyx_201_akino_02","2","12010034","3","201","","","1",""
"","","-235.4","103231","12010035","2","201","","","-294.7","2.2"
"","","-235.4","2","12010036","2","201","","","-294.7","2.2"
"","","","2.2","12010037","93","201","","","",""
"0.3","0.3","nyx_201_akino_01","103231","12010038","3","201","","","1",""
"0.3","0.3","nyx_201_akino_01","2","12010039","3","201","","","1",""
"","","ミフユさんは動作\nチェックを念入りに\nお願いします！","103231","12010040","11","201","","","10",""
"","","","0","12010041","91","201","","","",""
"0.3","0.3","nyx_surprise","104831","12010042","3","201","1","","0","nyx_idle_surprise1"
"0","","は、はいっ！\n…アキノさんが\n燃えてるわ…","104831","12010043","11","201","","","10",""
"","","","0","12010044","91","201","","","",""
"0.3","0.3","nyx_talk_sad","104831","12010045","3","201","","","1",""
"0","","でもなぜかしら\n不安だわ…\n不安しかない…","104831","12010046","11","201","","","10",""
"","","","0","12010047","91","201","","","",""
"0.3","0.3","nyx_idle_bitter2","104831","12010048","3","201","","","1",""
"","","","0","12010049","91","201","","","",""
"","","","0.4","12010050","93","201","","","",""
"","","0","103231","12010051","4","201","","","0",""
"","","0","2","12010052","4","201","","","",""
"0.2","0.2","nyx_201_akino_02","103231","12010053","3","201","","","1",""
"0.2","0.2","nyx_201_akino_02","2","12010054","3","201","","","1",""
"","","199","103231","12010055","2","201","","","-294.7","2.2"
"","","199","2","12010056","2","201","","","-294.7","2.2"
"0.2","0.2","nyx_cmn_03","103431","12010057","3","201","","","1",""
"","","","2.2","12010058","93","201","","","",""
"","","10","103231","12010059","12","201","","","1",""
"0.2","0.2","nyx_201_akino_01","103231","12010060","3","201","","","1",""
"0.2","0.2","nyx_201_akino_01","2","12010061","3","201","","","1",""
"","","","0","12010062","91","201","","","",""
"0.2","0.2","nyx_idle_surprise1","103431","12010063","3","201","","","1",""
"","","","0","12010064","91","201","","","",""
"0.2","0.2","nyx_102_chloe_02","103431","12010065","3","201","","","1",""
"","","1","103231","12010066","4","201","","","",""
"","","1","2","12010067","4","201","","","",""
"0.2","0.2","nyx_201_akino_02","103231","12010068","3","201","","","1",""
"0.2","0.2","nyx_201_akino_02","2","12010069","3","201","","","1",""
"","","-235.4","103231","12010070","2","201","","","-294.7","2.2"
"","","-235.4","2","12010071","2","201","","","-294.7","2.2"
"","","","2.2","12010072","93","201","","","",""
"","","10","103231","12010073","12","201","","","1",""
"0.2","0.2","nyx_201_akino_01","103231","12010074","3","201","","","1",""
"","0.2","nyx_201_akino_01","2","12010075","3","201","","","1",""
"","","","3","12010076","93","201","","","",""
"0.2","0.2","cmn_nod_def_N","104631","12010077","3","201","1","","0","nyx_idle_normal"
"","","","0.8","12010078","93","201","","","",""
"","","3","104831","12010079","12","201","","","1",""
"0.2","0.2","nyx_talk_worry","104831","12010080","3","201","1","","0","nyx_idle_sad"
"","","","1","12010081","93","201","","","",""
"","","","12010051","12010082","101","201","","","",""
"1.2","0","3","1","12020001","5","202","-255","nyx_202_tamaki_03_loop","100","-136"
"1.2","1","103231","1","12020002","1","202","-286.1","nyx_idle_joy1","110","183.7"
"1.2","1","5","2","12020003","5","202","-286.1","nyx_202_yukari_01","120","312.6"
"1.2","1","103431","1","12020004","1","202","-286.1","nyx_202_yukari_01","110","312.6"
"1.2","0","104831","1","12020005","1","202","-286.1","nyx_idle_normal","120","-269.8"
"1","","1","2","12020006","31","202","1","","0","0"
"1","","2","12","12020007","31","202","1","","0","34"
"0","","7","16","12020008","31","202","1","","-74","130"
"1","0","4","3","12020009","5","202","-255","nyx_yagura_idle","110","-208"
"1.2","0","6","2","12020010","5","202","-286.1","NoItem","120","-269.8"
"","","bgm_M347","bgm_M347","12020011","25","202","","","",""
"","","","2","12020012","93","202","","","",""
"","","開発もなんだか\n楽しくなってきた\nにゃ～！","3","12020013","11","202","","","10",""
"","","","0","12020014","91","202","","","",""
"","","ここまで来たら\n世界一のたい焼き\nメカにするにゃ！","3","12020015","11","202","","","10",""
"","","","0","12020016","91","202","","","",""
"","","あたしの全てを\n注ぎ込んでやる\nにゃあ～～！","3","12020017","11","202","","","10",""
"","","","0.4","12020018","93","202","","","",""
"0.2","","nyx_202_tamaki_03_puton","3","12020019","3","202","1","","0","nyx_202_tamaki_loop"
"","","","12020017","12020020","91","202","","","",""
"0.2","","nyx_202_tamaki_up","3","12020021","3","202","1","","0","nyx_202_tamaki_01"
"","","nyx_yagura_up","4","12020022","3","202","1","","0","nyx_yagura_up_idle"
"","","","2.4","12020023","93","202","","","",""
"","","1","7","12020024","32","202","","","",""
"0.2","","nyx_202_akino_01_loop","103231","12020025","3","202","","","1",""
"","","おーほっほっほ！\n素晴らしい意気込み\nですわ、タマキさん","103231","12020026","11","202","","","10",""
"","","","0","12020027","91","202","","","",""
"0.2","","nyx_talk_anger2","104831","12020028","3","202","","","1",""
"","","設計図のどこにも\nたい焼きなんて\n書いてないわよ！？","104831","12020029","11","202","","","10",""
"","","","0","12020030","91","202","","","",""
"0.2","","nyx_idle_anger2","103431","12020031","3","202","","","1",""
"0.2","","nyx_202_yukari_01","103431","12020032","3","202","","","1",""
"","","ミフユさん…\nタマキさんなら\n大丈夫よ…ひっく","103431","12020033","11","202","","","10",""
"","","","0","12020034","91","202","","","",""
"0.2","0.2","nyx_cmn_05","104831","12020035","3","202","","","0","nyx_cmn_04"
"0","","ユカリさん？\n何を飲んでるの？\n…買収されたわね？","104831","12020036","11","202","","","10",""
"","","","0","12020037","91","202","","","",""
"0.2","","nyx_202_yukari_01","103431","12020038","3","202","","","1",""
"","","え～？\nにゃんのことぉ～？\n…うっふふ～♪","103431","12020039","11","202","","","10",""
"","","","0","12020040","91","202","","","",""
"","","","2","12020041","93","202","","","",""
"","","13","103231","12020042","12","202","","","1",""
"0.2","0.2","nyx_talk_joy2","103231","12020043","3","202","1","","0","nyx_202_akino_01_loop"
"","","","2.5","12020044","93","202","","","",""
"","","3","104831","12020045","12","202","","","1",""
"0.2","","nyx_talk_anger2","104831","12020046","3","202","","","1",""
"","","","2","12020047","93","202","","","",""
"0.2","","nyx_cmn_02","104831","12020048","3","202","","","0",""
"0.2","","nyx_cmn_02","6","12020049","3","202","1","","0","NoItem"
"","","","1","12020050","93","202","","","",""
"0.2","0.2","nyx_cmn_05","104831","12020051","3","202","1","","0","nyx_cmn_04"
"","","","2","12020052","93","202","","","",""
"","","5","103431","12020053","12","202","","","1",""
"0.2","0.2","nyx_203_yukari_01","5","12020054","3","202","1","","0","nyx_202_yukari_01"
"0.2","0.2","nyx_203_yukari_01","103431","12020055","3","202","1","","0","nyx_202_yukari_01"
"","","","1.2","12020056","93","202","","","",""
"","","11","3","12020057","12","202","","","1",""
"","","","0.8","12020058","93","202","","","",""
"","","","12020041","12020059","101","202","","","",""
"1.2","0","104831","1","12030001","1","203","-286","nyx_idle_normal","130","-300"
"1.2","1","104631","1","12030002","1","203","-286","nyx_idle_normal","100","316"
"1.2","1","103231","1","12030003","1","203","-286","nyx_idle_normal","100","110"
"1.2","0","103431","1","12030004","1","203","-10","nyx_203_yukari_01","100","-200"
"1","","1","2","12030005","31","203","1","","0","0"
"1","","2","13","12030006","31","203","1","","-80","34"
"1.2","0","3","2","12030007","5","203","-10","nyx_203_yukari_01","110","-200"
"1","0","4","3","12030008","5","203","-255","nyx_yagura_up_harf","120","-250"
"","","bgm_M347","bgm_M347","12030009","25","203","","","",""
"","","","2","12030010","93","203","","","",""
"","","あっれぇ～？\nここはどこぉ～？\n私はだれ～？","103431","12030011","11","203","","","10",""
"","","","0.6","12030012","93","203","","","",""
"0.2","0.2","nyx_lookup","103231","12030013","3","203","1","","0","nyx_lookup_loop2"
"","","","12030011","12030014","91","203","","","",""
"","","ん～？\nにゃ～にこの\nでっかいのぉ～","103431","12030015","11","203","","","10",""
"","","","0.6","12030016","93","203","","","",""
"0.2","0.2","nyx_lookup","104631","12030017","3","203","1","","0","nyx_lookup_loop2"
"","","","12030015","12030018","91","203","","","",""
"0.2","","nyx_203_yukari_02","3","12030019","3","203","1","","0","nyx_203_yukari_05"
"0.2","","nyx_203_yukari_02","103431","12030020","3","203","1","","0","nyx_203_yukari_05"
"","","あんたも麦しゅわ\n飲む～？\nお～いしいわよ～？","103431","12030021","11","203","","","10",""
"","","","0.4","12030022","93","203","","","",""
"0.2","0.2","nyx_lookup","104831","12030023","3","203","1","","0","nyx_lookup_loop2"
"","","","12030021","12030024","91","203","","","",""
"","","","0.2","12030025","93","203","","","",""
"0.2","0.2","nyx_cmn_02","104831","12030026","3","203","1","","0","nyx_idle_sad"
"0","","何してるのよ\nユカリさん…","104831","12030027","11","203","","","10",""
"","","","0.1","12030028","93","203","","","",""
"0.2","0.2","nyx_cmn_02","103231","12030029","3","203","1","","0","nyx_cmn_04"
"","","何してますの…\nユカリさん…","103231","12030030","11","203","","","10",""
"","","","0.1","12030031","93","203","","","",""
"0.2","0.2","nyx_cmn_02","104631","12030032","3","203","1","","0","nyx_idle_sad"
"","","何してるのにゃ\nユカリ…","104631","12030033","11","203","","","10",""
"","","","0","12030034","91","203","","","",""
"0.5","","nyx_203_yukari_03","3","12030035","3","203","","","1",""
