afc94e9bfbc807d9307da02c1785b52599b8a3638ad735822e92d3a0223fed8d,1b46ab22283becf1137e9de69d82794499f04f0a47c43355faf99de63652b4ad,288e81f3a9b81de364db545c2b1263465feadead1363dd25dd174f73438eeb7c,8dd3195c75eaea3447eb416ea7b159ef3c3da4e21a63896c81eac2500591bd99,810b4073975cdf00b7a978f1daf1b6b98c876fd6fa508f231e08687d72fc6a61,d09d0d8f47312481b93ffad4372515b29aaf7fc655c93208cce7967496246fc7,8c186afe9578dc7391735c01a6d9cfa8f8ab9aa1dd2afffa60ec3835878a6220
"ツムギのハロウィン衣装のブロマイドセット。ハロウィンの時しか\n見られない貴重なショットの数々。甘いお菓子と悪戯、どっちも\n魅力的。ハッピーハロウィン！","2","0.675","ツムギのハロウィンブロマイド","7","1.0875","10403"
"ノゾミのブロマイド。厳選セレクトされた愛らしい表情を眺めれ\nば、ノゾミへの熱い思いがいっそう高まること間違いなし。","2","0.675","ノゾミのブロマイド","7","1.0875","10404"
"ノゾミのサマー衣装のブロマイド。熱い夏を感じさせる、まぶしく\nて魅力的な姿を収めた素晴らしい姿を眺めて、彼女と共に最高の夏\nを。","2","0.675","ノゾミのサマーブロマイド","7","1.0875","10405"
"ノゾミのクリスマス衣装のブロマイド。クリスマスシーズンしか\n見られない貴重な姿は、カルミナファンへの最高のプレゼント。","2","0.675","ノゾミのクリスマスブロマイド","7","1.0875","10406"
"チカのブロマイド。厳選セレクトされた愛らしい表情を眺めれ\nば、チカへの熱い思いがいっそう高まること間違いなし。","2","0.675","チカのブロマイド","7","1.0875","10407"
"チカのサマー衣装のブロマイド。熱い夏を感じさせる、まぶしく\nて魅力的な姿を収めた素晴らしい姿を眺めて、彼女と共に最高の夏\nを。","2","0.675","チカのサマーブロマイド","7","1.0875","10408"
"チカのクリスマス衣装のブロマイド。クリスマスシーズンしか\n見られない貴重な姿は、カルミナファンへの最高のプレゼント。","2","0.675","チカのクリスマスブロマイド","7","1.0875","10409"
"ツムギのネーム入りリストバンド。入退場券の代わりとして肌身\n離さず身につけよう！","3","1.0125","ツムギのリストバンド","8","0.665625","10501"
"ノゾミのネーム入りリストバンド。入退場券の代わりとして肌身\n離さず身につけよう！","3","1.0125","ノゾミのリストバンド","8","0.665625","10502"
"チカのネーム入りリストバンド。入退場券の代わりとして肌身\n離さず身につけよう！","3","1.0125","チカのリストバンド","8","0.665625","10503"
"ツムギの華麗な姿を収めた大型ポスター。部屋に貼っておけば、\nいつでもあなただけに向けた彼女の笑顔をひとり占め。今日も明日\nも頑張ろう！","3","0.470703125","ツムギのポスター","10","0.365234375","10601"
"ノゾミの華麗な姿を収めた大型ポスター。部屋に貼っておけば、\nいつでもあなただけに向けた彼女の笑顔をひとり占め。今日も明日\nも頑張ろう！","3","0.470703125","ノゾミのポスター","10","0.365234375","10602"
"チカの華麗な姿を収めた大型ポスター。部屋に貼っておけば、\nいつでもあなただけに向けた彼女の笑顔をひとり占め。今日も明日\nも頑張ろう！","3","0.470703125","チカのポスター","11","0.365234375","10603"
"メンバー３人が写った大迫力の大型ポスター。部屋に貼っておけば\nおはようからおやすみまで、いつでも彼女たちの笑顔に会える。\n今日も明日も頑張ろう！","3","0.470703125","カルミナのポスター","11","0.365234375","10604"
"イベント会場でのみ入手できるサマーライブ限定デザインの会員\nカード。会場でしか手に入らないためプレミア度高め。真のファン\nならぜひともゲットしたい。","3","0.53125","会場限定会員カード","8","0.953125","10701"
"ツムギのパーソナルカラーで彩られたサマーライブデザインの\nマフラータオル。ライブの汗で濡れた肌を拭くことはもちろん、\n応援グッズとして使うことも可能。","2","0.4609375","ツムギのマフラータオル","12","0.443359375","10801"
"ノゾミのパーソナルカラーで彩られたサマーライブデザインの\nマフラータオル。ライブの汗で濡れた肌を拭くことはもちろん、\n応援グッズとして使うことも可能。","2","0.4609375","ノゾミのマフラータオル","12","0.443359375","10802"
"チカのパーソナルカラーで彩られたサマーライブデザインの\nマフラータオル。ライブの汗で濡れた肌を拭くことはもちろん、\n応援グッズとして使うことも可能。","2","0.4609375","チカのマフラータオル","13","0.443359375","10803"
"カルミナのサマーライブデザインのマフラータオル。汎用性の高い\n定番アイテム。ライブの汗で濡れた肌を拭くことはもちろん、応援\nグッズとして使うことも可能。","2","0.4609375","カルミナのマフラータオル","13","0.443359375","10804"
"ツムギの公式応援うちわ。推しへの全力アピールに最適な一品。\nライブ会場での熱狂のお供に！","1","0.459375","ツムギの応援うちわ","9","0.33046875","10901"
"ノゾミの公式応援うちわ。推しへの全力アピールに最適な一品。\nライブ会場での熱狂のお供に！","1","0.459375","ノゾミの応援うちわ","9","0.33046875","10902"
"チカの公式応援うちわ。推しへの全力アピールに最適な一品。\nライブ会場での熱狂のお供に！","1","0.459375","チカの応援うちわ","9","0.33046875","10903"
"カルミナの公式応援うちわ。シンプルなデザインのため、普段使い\nにも最適な一品。いつでもどこでも彼女たちを応援できるぞ。","1","0.459375","カルミナの応援うちわ","9","0.33046875","10904"
"飾ってよし、貼ってよしのかわいいステッカー。目立つところに\nぺたっと貼れば、目に入るたび笑顔になれること間違いなし！","1","0.8671875","ツムギのステッカー","5","0.671875","11001"
"飾ってよし、貼ってよしのかわいいステッカー。目立つところに\nぺたっと貼れば、目に入るたび笑顔になれること間違いなし！","1","0.8671875","ノゾミのステッカー","5","0.671875","11002"
"飾ってよし、貼ってよしのかわいいステッカー。目立つところに\nぺたっと貼れば、目に入るたび笑顔になれること間違いなし！","1","0.8671875","チカのステッカー","5","0.671875","11003"
"定番グッズの１つ。全種類をコンプリートするのも、同じ種類をた\nくさん集めるのもあなた次第！自分だけのコレクションを作ろう。","1","0.975","ツムギの缶バッジ","5","0.975","11101"
"定番グッズの１つ。全種類をコンプリートするのも、同じ種類をた\nくさん集めるのもあなた次第！自分だけのコレクションを作ろう。","1","0.975","ノゾミの缶バッジ","5","0.975","11102"
"定番グッズの１つ。全種類をコンプリートするのも、同じ種類をた\nくさん集めるのもあなた次第！自分だけのコレクションを作ろう。","1","0.975","チカの缶バッジ","5","0.975","11103"
"ライブで一緒に盛り上がるための必携アイテム。いろんな色に切り\n替えができ、場面や曲で使い分けることが可能。カラフルにライブ\nを盛り上げよう。","2","0.49609375","カルミナライブのペンライト","9","0.39453125","11201"
"ツムギがデザインされたマグカップ。毎日の休憩やティータイムが\nもっと楽しくなるアイテム。彼女との素敵な時間をあなたに。","2","0.671875","ツムギのマグカップ","8","0.65625","11301"
"ノゾミがデザインされたマグカップ。毎日の休憩やティータイムが\nもっと楽しくなるアイテム。彼女との素敵な時間をあなたに。","2","0.671875","ノゾミのマグカップ","8","0.65625","11302"
"チカがデザインされたマグカップ。毎日の休憩やティータイムが\nもっと楽しくなるアイテム。彼女との素敵な時間をあなたに。","2","0.671875","チカのマグカップ","8","0.65625","11303"
"思い出を振り返るアイテムと言えばこれ。サマー衣装のツムギが\n眩しいペナントは、いつでもライブの興奮とアイドルの輝きを思い\n出させてくれる。","1","0.6328125","ツムギのペナント","4","0.984375","11401"
"思い出を振り返るアイテムと言えばこれ。サマー衣装のノゾミが\n眩しいペナントは、いつでもライブの興奮とアイドルの輝きを思い\n出させてくれる。","1","0.640625","ノゾミのペナント","4","0.984375","11402"
"思い出を振り返るアイテムと言えばこれ。サマー衣装のチカが\n眩しいペナントは、いつでもライブの興奮とアイドルの輝きを思い\n出させてくれる。","1","0.6328125","チカのペナント","4","0.984375","11403"
"ポップでキュートに描かれたツムギのピンバッジ。つやつやキラキ\nラのコインのような質感が、コレクター心を刺激するアイテム。","1","1.21875","ツムギのピンバッジ","3","1.21875","11501"
"サマー衣装のツムギがかわいく描かれたピンバッジ。限定バージョ\nンのデザインはサマーライブ参加の証。夏を満喫中のツムギの表情\nが魅力的な一品。","1","1.21875","ツムギのサマーピンバッジ","3","1.21875","11502"
"ポップでキュートに描かれたノゾミのピンバッジ。つやつやキラキ\nラのコインのような質感が、コレクター心を刺激するアイテム。","1","1.21875","ノゾミのピンバッジ","3","1.21875","11503"
"サマー衣装のノゾミがかわいく描かれたピンバッジ。限定バージョ\nンのデザインはサマーライブ参加の証。夏を満喫中のノゾミの表情\nが魅力的な一品。","1","1.21875","ノゾミのサマーピンバッジ","3","1.21875","11504"
"ポップでキュートに描かれたチカのピンバッジ。つやつやキラキ\nラのコインのような質感が、コレクター心を刺激するアイテム。","1","1.21875","チカのピンバッジ","3","1.21875","11505"
"サマー衣装のチカがかわいく描かれたピンバッジ。限定バージョ\nンのデザインはサマーライブ参加の証。夏を満喫中のチカの表情\nが魅力的な一品。","1","1.21875","チカのサマーピンバッジ","3","1.21875","11506"
"ツムギ・オンステージ！ツムギがキャップのステージでかわいく\nポーズを決めている。どこでも好きな場所に気軽に飾ることが可\n能。","1","0.75","ツムギのボトルキャップ","6","0.625","11601"
"サマー衣装のツムギが、キャップでオンステージ！涼しげな衣装を\nまとい、熱いステージを繰り広げた彼女の勇姿を思い出すことがで\nきる。","1","0.75","ツムギのサマーボトルキャップ","6","0.625","11602"
"ノゾミ・オンステージ！ノゾミがキャップのステージでかわいく\nポーズを決めている。どこでも好きな場所に気軽に飾ることが可\n能。","1","0.75","ノゾミのボトルキャップ","6","0.625","11603"
"サマー衣装のノゾミが、キャップでオンステージ！涼しげな衣装を\nまとい、熱いステージを繰り広げた彼女の勇姿を思い出すことがで\nきる。","1","0.75","ノゾミのサマーボトルキャップ","6","0.625","11604"
"チカ・オンステージ！チカがキャップのステージでかわいく\nポーズを決めている。どこでも好きな場所に気軽に飾ることが可\n能。","1","0.75","チカのボトルキャップ","6","0.625","11605"
"サマー衣装のチカが、キャップでオンステージ！涼しげな衣装を\nまとい、熱いステージを繰り広げた彼女の勇姿を思い出すことがで\nきる。","1","0.75","チカのサマーボトルキャップ","6","0.625","11606"
"ツムギのキーホルダーサイズのタペストリー。どこにでも飾れる\nうえに、身につけてお出掛けもできてしまう万能な一品。","1","0.8828125","ツムギのミニタペストリー","4","0.890625","11701"
"ノゾミのキーホルダーサイズのタペストリー。どこにでも飾れる\nうえに、身につけてお出掛けもできてしまう万能な一品。","1","0.8828125","ノゾミのミニタペストリー","4","0.890625","11702"
"チカのキーホルダーサイズのタペストリー。どこにでも飾れる\nうえに、身につけてお出掛けもできてしまう万能な一品。","1","0.8828125","チカのミニタペストリー","4","0.890625","11703"
