9cabf66bcd9de8a4b9867849fd3b6bdbb4f88efa9b02706d5cbd889ddce88ef9,ccc6f4d177edcb89d1169b3dd85e9d8191bfe2b39f7104d531b2a54ec64da7e4,2538d9d503a7827f50139f1a2b6219a81f43d570c7578e1f0b010fe65861099f,68d35669511f49aced9f91851db15d6ac6543e05e8ccc7016581778696e28244,f2d510dddc76eeeedb6276196e153a9c19177a03931949b82bbb2104cda1b315,6cc85ccfe73c9d9735ee50409665bfa41a6092deac3c3ab764f53c7dc7227afd
"20012531","2001204","3","211","20012","0"
"20014531","2001404","3","211","20014","0"
"20016001","20016112","501","101921","20016","101931"
"20016002","20016112","501","101922","20016","101932"
"20016003","20016112","501","101923","20016","101933"
"20016004","20016112","501","100011","20016","100351"
"20016005","20016112","501","100012","20016","100352"
"20016006","20016112","501","100013","20016","100353"
"20016007","20016112","501","100014","20016","100354"
"20016008","20016112","501","100015","20016","100355"
"20016009","20016112","501","100016","20016","100356"
"20016010","20016112","501","100017","20016","100357"
"20016011","20016112","501","100018","20016","100358"
"20016012","20016112","501","100019","20016","100359"
"20046001","20046102","1","1","20046","0"
"20046002","20046112","1","2","20046","0"
"20046003","20046115","1","3","20046","0"
"20047001","20047102","1","1","20047","0"
"20047002","20047108","1","2","20047","0"
"20047003","20047115","1","3","20047","0"
