7b755e3d62b3e8f5975d6a90000f931ab1b1bc22275ea2733a4c35a33fac9252,b084aef737a1e913c265fcbcde57759160870c2c7429c01a91ac95e874e1e6d9,f71743e78b6e98f1c2e46ae22ee0d8c2055822b18cfe2bb42d978fe9ff500130,03e8007f23c6fce29523758c4bf1600307068339c99a27844f23d81ac2304329
"202","303","105","128301"
"204","304","109","128401"
"204","305","109","128501"
"201","303","107","128701"
"201","301","101","128801"
"204","304","109","128901"
"203","305","109","129001"
"201","302","105","129301"
"201","301","103","129401"
"201","303","107","129501"
"201","301","103","129601"
"201","303","104","129701"
"202","301","102","129801"
"201","301","105","129901"
"201","303","101","130001"
"201","302","105","130101"
"201","301","102","130201"
"204","304","109","130701"
"203","305","110","130801"
"203","305","109","130901"
"203","305","110","131001"
"201","301","103","131101"
"204","304","109","131201"
"202","301","102","131601"
"203","305","110","131701"
"204","305","109","131801"
"203","304","109","131901"
"204","305","109","132001"
"201","303","105","132101"
"204","304","109","132201"
"203","305","109","132301"
"202","301","102","132401"
"204","305","110","132501"
"204","305","109","132801"
"203","305","109","132901"
"201","303","104","133001"
"201","302","108","133101"
"201","303","101","133201"
"204","304","109","133501"
"201","303","107","133601"
"204","305","109","133701"
"204","305","109","133801"
"201","303","104","133901"
"203","305","110","134001"
"204","305","109","134301"
"203","305","109","134401"
"203","305","109","134501"
"201","303","107","134601"
"201","303","103","134701"
"201","303","107","134801"
"201","303","101","134901"
"203","304","109","135001"
"201","302","101","135101"
"203","304","109","135201"
"201","301","106","135301"
"203","305","109","135401"
"201","301","107","135501"
"202","301","101","135601"
"201","303","107","135701"
"204","305","110","135801"
"201","302","105","135901"
"202","302","107","136001"
"201","301","103","136101"
"201","303","105","136201"
"203","305","109","136301"
"203","302","108","136401"
"202","303","102","136501"
"204","305","109","137101"
"204","305","109","137401"
"204","305","109","137601"
"204","305","109","137901"
"201","302","108","138001"
"204","304","109","138101"
"201","303","104","138201"
"202","302","102","138301"
"201","302","105","138701"
"201","301","107","180101"
"204","304","109","180201"
"202","301","101","180301"
"202","302","102","180401"
"201","303","104","180501"
"204","304","109","180601"
"201","301","106","180701"
"201","303","102","180801"
"202","301","102","180901"
"204","305","109","181001"
"202","301","102","181101"
"201","301","101","181201"
