aba67bbdada51d23a9f65b1c2daf5b96867eb855d5fa8c9f7bcdf6da5f28321f,99cb648941bdd6540de193d9e0e118ece976d7042280d8b07d38b576ca5e8974,a12fd13c9ea9acc5fafbd1f22f8f09e12cf27fccdf117836c9f57ee6937f4008,1c7762deeb57a0e9f666b30af02d1dad68d0433212ba74ee08a0b78576c866ad,af03237e4efd3fd4e7fbe1f2aab364608b9cc599e64aafe46b3c89b95636b2a4
"71","70","150","8500","1013"
"72","15","200","1500","1013"
"73","60","150","8500","1014"
"74","15","200","1500","1014"
"75","60","150","8500","1015"
"76","15","200","1500","1015"
"77","60","150","8500","1016"
"78","15","200","1500","1016"
"79","60","150","8500","1017"
"80","15","200","1500","1017"
"81","50","120","8500","1018"
"82","60","200","1500","1018"
"83","67","102","8500","1019"
"84","60","200","1500","1019"
"85","35","120","8500","1020"
"86","60","250","1500","1020"
"87","30","200","7000","10001"
"88","30","5","3000","10001"
"89","60","220","7000","10002"
"90","60","5","3000","10002"
"91","60","200","7000","10003"
"92","15","200","3000","10003"
"93","60","200","7000","10004"
"94","10","200","3000","10004"
"95","40","150","7000","10005"
"96","40","5","3000","10005"
"97","60","150","7000","10006"
"98","10","200","3000","10006"
"99","40","150","7000","10007"
"100","40","5","3000","10007"
"101","50","150","7000","10008"
"102","15","200","3000","10008"
"103","45","150","7000","10009"
"104","10","200","3000","10009"
"105","40","145","7000","10010"
"106","10","5","3000","10010"
"107","40","300","7000","10011"
"108","10","5","3000","10011"
"109","65","200","7000","10012"
"110","10","200","3000","10012"
"111","40","150","7000","10013"
"112","10","5","3000","10013"
"113","40","100","7000","10014"
"114","10","5","3000","10014"
"115","50","200","7000","10015"
"116","10","5","3000","10015"
"117","60","250","7000","10016"
"118","30","200","3000","10016"
"119","45","120","7000","10017"
"120","90","300","3000","10017"
"121","90","120","7000","10018"
"122","30","200","3000","10018"
"123","50","190","7000","10019"
"124","60","350","3000","10019"
"125","90","95","7000","10020"
"126","90","95","3000","10020"
"127","60","200","7000","10021"
"128","60","200","3000","10021"
"129","60","200","7000","10022"
"130","60","200","3000","10022"
"131","60","200","7000","10023"
"132","60","200","3000","10023"
"133","30","130","7000","11001"
"134","5","5","3000","11001"
"135","30","140","7000","11002"
"136","5","5","3000","11002"
"137","40","150","7000","11003"
"138","5","5","3000","11003"
"139","45","155","7000","11004"
"140","5","200","3000","11004"
"141","60","155","7000","11005"
"142","10","200","3000","11005"
"143","60","150","7000","11006"
"144","15","200","3000","11006"
"145","60","150","7000","11007"
"146","15","200","3000","11007"
"147","50","160","7000","11008"
"148","15","200","3000","11008"
"149","70","140","7000","11009"
"150","30","200","3000","11009"
"151","35","180","7000","11010"
"152","120","200","3000","11010"
"153","65","140","7000","11011"
"154","30","200","3000","11011"
"155","35","200","7000","11012"
"156","5","5","3000","11012"
"157","70","150","7000","11013"
"158","15","200","3000","11013"
"159","60","150","7000","11014"
"160","15","200","3000","11014"
"161","60","150","7000","11015"
"162","15","200","3000","11015"
"163","60","150","7000","11016"
"164","15","200","3000","11016"
"165","60","150","7000","11017"
"166","15","200","3000","11017"
"167","50","120","7000","11018"
"168","60","200","3000","11018"
"169","67","102","7000","11019"
"170","60","200","3000","11019"
"171","35","120","7000","11020"
"172","60","250","3000","11020"
"173","30","200","5000","20001"
"174","30","5","5000","20001"
"175","60","220","5000","20002"
"176","60","5","5000","20002"
"177","60","200","5000","20003"
"178","15","200","5000","20003"
"179","60","200","5000","20004"
"180","10","200","5000","20004"
"181","40","150","5000","20005"
"182","40","5","5000","20005"
"183","60","150","5000","20006"
"184","10","200","5000","20006"
"185","40","150","5000","20007"
"186","40","5","5000","20007"
"187","50","150","5000","20008"
"188","15","200","5000","20008"
"189","45","150","5000","20009"
"190","10","200","5000","20009"
"191","40","145","5000","20010"
"192","10","5","5000","20010"
"193","40","300","5000","20011"
"194","10","5","5000","20011"
"195","65","200","5000","20012"
"196","10","200","5000","20012"
"197","40","150","5000","20013"
"198","10","5","5000","20013"
"199","40","100","5000","20014"
"200","10","5","5000","20014"
"201","50","200","5000","20015"
"202","10","5","5000","20015"
"203","60","250","5000","20016"
"204","30","200","5000","20016"
"205","45","120","5000","20017"
"206","90","300","5000","20017"
"207","90","120","5000","20018"
"208","30","200","5000","20018"
"209","50","190","5000","20019"
"210","60","350","5000","20019"
"211","90","95","5000","20020"
"212","90","95","5000","20020"
"213","60","200","5000","20021"
"214","60","200","5000","20021"
"215","60","200","5000","20022"
"216","60","200","5000","20022"
"217","60","200","5000","20023"
"218","60","200","5000","20023"
"219","30","130","5000","21001"
"220","5","5","5000","21001"
"221","30","140","5000","21002"
"222","5","5","5000","21002"
"223","40","150","5000","21003"
"224","5","5","5000","21003"
"225","45","155","5000","21004"
"226","5","200","5000","21004"
"227","60","155","5000","21005"
"228","10","200","5000","21005"
"229","60","150","5000","21006"
"230","15","200","5000","21006"
"231","60","150","5000","21007"
"232","15","200","5000","21007"
"233","50","160","5000","21008"
"234","15","200","5000","21008"
"235","70","140","5000","21009"
"236","30","200","5000","21009"
"237","35","180","5000","21010"
"238","120","200","5000","21010"
"239","65","140","5000","21011"
"240","30","200","5000","21011"
"241","35","200","5000","21012"
"242","5","5","5000","21012"
"243","70","150","5000","21013"
"244","15","200","5000","21013"
"245","60","150","5000","21014"
"246","15","200","5000","21014"
"247","60","150","5000","21015"
"248","15","200","5000","21015"
"249","60","150","5000","21016"
"250","15","200","5000","21016"
"251","60","150","5000","21017"
"252","15","200","5000","21017"
"253","50","120","5000","21018"
"254","60","200","5000","21018"
"255","67","102","5000","21019"
"256","60","200","5000","21019"
"257","35","120","5000","21020"
"258","60","250","5000","21020"
