bb0e587c94c7bf4e331826a1c99608cc539720fe71f005f7b13dee6e6d4c7b27,9e2d9284ce4a22dfac31288009c2b7d71217e5645968ce518868b0f1067bbf01,e24952af329404b541976d77e13cf330bada3ddf33e71798f5a208f3b019d5ef,37a38c5ffa3d8a3e0794c50378f3f71649ee8fc1789bf7f5bc15f6ca7e220394,153de535c39ab63c5d2cb2f21ddf5639bfc091ec03fded1cfe0fec200a97940d,c8faeb8d8483b423597f88bd7a8adb5100c19439e76cccc96e8b5053f4df6c38,fa12636efbe06cc489bef962d3b9418b1d61bd5fcd1816d28962b8940d5eb9ca
"10","12","0","1","12","2","15"
"11","11","0","3","0","1","15"
"12","12","0","3","11","1","15"
"13","1","0","2","9","1","15"
"14","1","0","1","12","1","15"
"15","12","0","1","0","1","15"
"16","12","0","1","9","1","15"
"17","11","0","2","4","1","15"
"18","11","0","1","4","3","15"
"19","5","0","2","12","1","15"
"20","12","0","2","0","1","15"
"21","12","0","2","7","1","15"
"22","12","0","1","12","3","15"
"23","1","0","1","7","3","15"
"24","4","0","3","0","1","15"
"25","4","0","1","10","3","15"
"26","8","0","2","0","1","15"
"27","11","0","1","0","1","15"
"28","11","0","2","0","1","15"
"1","6","0","1","0","1","16"
"2","11","0","2","10","1","16"
"3","12","0","3","0","1","16"
"4","4","0","2","0","1","16"
"5","6","0","1","12","1","16"
"6","6","0","1","0","1","16"
"7","4","0","2","4","1","16"
"8","5","0","3","4","1","16"
"9","1","0","3","0","1","16"
"10","12","0","1","17","1","16"
"11","11","0","2","0","1","16"
"12","1","0","3","10","1","16"
"13","11","0","2","11","1","16"
"14","11","0","3","0","1","16"
"15","12","0","1","12","1","16"
"16","11","0","1","10","1","16"
"17","11","0","1","10","1","16"
"18","6","0","1","6","1","16"
"19","11","0","2","6","1","16"
"20","1","0","3","8","1","16"
"21","5","0","3","8","1","16"
"22","4","0","1","9","1","16"
"23","11","0","1","10","1","16"
"1","11","0","1","4","1","17"
"2","4","0","1","10","3","17"
"3","11","0","1","4","1","17"
"4","1","0","1","0","1","17"
"5","1","0","1","10","2","17"
"6","11","0","2","4","1","17"
"7","1","0","1","10","2","17"
"8","11","0","2","4","1","17"
"9","1","0","3","0","1","17"
"10","8","0","1","10","2","17"
"11","12","0","1","12","1","17"
"12","11","0","3","4","1","17"
"13","1","0","1","4","3","17"
"14","11","0","1","10","1","17"
"15","1","0","1","0","2","17"
"16","11","0","1","4","2","17"
"17","8","0","1","7","2","17"
"18","11","0","1","0","1","17"
"19","2","0","1","6","3","17"
"20","10","0","1","10","1","17"
"21","11","0","2","10","1","17"
"22","8","0","3","7","1","17"
"1","11","0","1","4","1","18"
"2","5","0","1","13","2","18"
"3","4","0","1","10","1","18"
"4","4","0","2","10","1","18"
"5","11","0","3","10","1","18"
"6","5","0","1","7","3","18"
"7","11","0","1","10","1","18"
"8","4","0","3","10","1","18"
"9","11","0","2","10","1","18"
"10","5","0","1","6","3","18"
"11","11","0","1","10","1","18"
"12","11","0","2","10","1","18"
"13","4","0","3","10","1","18"
"14","5","0","1","8","2","18"
"15","6","0","1","6","2","18"
"16","10","0","3","0","1","18"
"17","10","0","2","0","1","18"
"18","10","0","1","0","1","18"
"19","10","0","1","7","2","18"
"20","8","0","1","10","1","18"
"21","11","0","1","10","1","18"
"22","2","0","1","9","2","18"
"1","13","0","1","0","2","19"
"2","4","0","1","8","2","19"
"3","8","0","1","0","2","19"
"1","14","0","1","10","2","20"
"2","8","0","1","0","2","20"
"1","15","0","1","13","2","21"
"1","15","0","1","0","2","22"
"2","13","0","1","0","2","22"
"1","42","0","1","0","2","23"
"2","72","0","1","0","2","23"
"1","43","0","1","0","2","24"
"1","44","0","1","0","2","25"
"1","45","0","1","0","2","26"
"1","46","0","1","0","2","27"
"1","47","0","1","0","2","28"
"1","14","0","1","0","2","29"
"1","15","0","1","0","1","30"
"2","8","0","2","0","1","30"
"3","10","0","1","13","1","30"
"4","10","0","2","13","1","30"
"5","12","0","2","9","1","30"
"6","72","0","1","6","1","30"
"7","2","0","1","8","2","30"
"8","13","0","1","0","2","30"
"1","4","0","1","8","1","31"
"2","1","0","2","0","1","31"
"3","10","0","1","6","1","31"
"4","4","0","2","0","1","31"
"5","9","0","1","7","1","31"
"6","1","0","2","0","1","31"
"1","10","0","1","6","1","32"
"2","10","0","2","13","1","32"
"3","1","0","3","0","1","32"
"4","2","0","2","11","1","32"
"5","2","0","1","8","1","32"
"6","1","0","3","0","1","32"
"7","72","0","3","7","1","32"
"1","6","0","3","0","1","33"
"2","10","0","1","13","3","33"
"3","3","0","3","3","1","33"
"4","72","0","1","0","3","33"
"5","12","0","3","2","1","33"
"1","4","0","1","6","2","34"
"2","5","0","1","7","1","34"
"3","1","0","2","0","1","34"
"4","12","0","2","8","1","34"
"5","1","0","1","0","1","34"
"6","15","0","1","0","2","34"
"1","8","0","1","0","2","35"
"2","72","0","1","10","2","35"
"3","13","0","1","0","2","35"
"1","4","0","1","0","2","36"
"2","6","0","1","6","1","36"
"3","1","0","1","0","1","36"
"4","72","0","2","10","1","36"
"5","9","0","2","0","1","36"
"6","2","0","2","7","2","36"
"1","8","0","1","7","2","37"
"2","4","0","1","0","1","37"
"3","5","0","2","0","1","37"
"4","13","0","1","6","2","37"
"1","13","0","1","10","2","38"
"2","5","0","1","8","1","38"
"3","6","0","2","7","1","38"
"4","1","0","1","0","1","38"
"5","9","0","2","7","1","38"
"6","15","0","2","13","1","38"
"7","8","0","1","0","2","38"
"1","4","0","1","6","2","39"
"2","6","0","1","13","1","39"
"3","72","0","2","10","1","39"
"4","13","0","1","6","2","39"
