57b15fffcd57a02a852a3b734b8a07933950d65985d6b55328082f71291ce792,40629a09cab514014f713f2883e8bddfb1250be9e1ecaf70fdd0ca8426807c18,8491b1ef27175800a11a87cafb3e89f5ed5ec3cf923d495c484324a5f601f375,bc3f935827c42f0b4defd9007bb8db6be84c44e66e4cc31c7b07b9277b5754ff,e6192542f806b18dfccb179eb600fde82448afdc140d0a6da308534096e702bb,eb0c59564a76a25ec85327394caa27f44dde30a342eb69cecc8007d16effde87,256e0a69cbc3a9083ed9db9fe5c3de3ddff9abbfdd289cbb17821571bddc0451,96af8d42c7faa3afcf75ea447b06c07a1d6bf687a72026bc3f4940cf42ba268e,cc35bf8ec8a904357efc38a58abd7b9503940fede44a68d13c25024dd45c53ad,519861ad2fed571ef1721fced45168572c2993c0a29a80843202eafde48a781b,6402d3ccaa95c38d0f882318e576d003ca1d52de8653fb5e5db3c30e1de659c0,411fe0051f5f5c8f19c7a2d7104d19b42bab555f5eb4c95e93cea7185828ae15
"1010044","345","0","0","44","397","1","10","1","0","0","0.378"
"1010045","0","0","0.378","45","0","1","0","4","1","0","0"
"1010046","0","0","0","46","377","1","11","1","0","0","2.438"
"1010047","0","0","3.395","47","0","1","0","4","1","0","0"
"1010048","0","vo_minigame_1005","0","48","0","1","0","2","0","vo_minigame_1005_nikki01_004","0"
"1010049","0","0","0","49","83","1","12","1","0","0","0.642"
"1010050","0","0","1.061","50","0","1","0","4","1","0","0"
"1010051","83","0","0","51","159","1","12","1","0","0","0.539"
"1010052","0","0","0.877","52","0","1","0","4","1","0","0"
"1010053","159","0","0","53","316","1","12","1","0","0","1.135"
"1010054","0","0","2.635","54","0","1","0","4","1","0","0"
"1020001","0","0","1","1","0","2","0","4","3","0","0"
"1020002","0","vo_minigame_1005","0","2","0","2","0","2","0","vo_minigame_1005_nikki02_000","0"
"1020003","0","0","0","3","345","2","1","1","0","0","2.91"
"1020004","0","0","3.814","4","0","2","0","4","1","0","0"
"1020005","0","vo_minigame_1005","0","5","0","2","0","2","0","vo_minigame_1005_nikki02_001","0"
"1020006","0","0","0","6","239","2","2","1","0","0","1.67"
"1020007","0","0","2.19","7","0","2","0","4","1","0","0"
"1020008","0","0","0","8","314","2","3","1","0","0","2.455"
"1020009","0","0","3.527","9","0","2","0","4","1","0","0"
"1020010","0","vo_minigame_1005","0","10","0","2","0","2","0","vo_minigame_1005_nikki02_002","0"
"1020011","0","0","0","11","70","2","4","1","0","0","0.454"
"1020012","0","0","0.874","12","0","2","0","4","1","0","0"
"1020013","70","0","0","13","392","2","4","1","0","0","2.154"
"1020014","0","0","3.373","14","0","2","0","4","1","0","0"
"1020015","0","vo_minigame_1005","0","15","0","2","0","2","0","vo_minigame_1005_nikki02_003","0"
"1020016","0","0","0","16","125","2","5","1","0","0","0.895"
"1020017","0","0","1.311","17","0","2","0","4","1","0","0"
"1020018","125","0","0","18","265","2","5","1","0","0","1.114"
"1020019","0","0","1.181","19","0","2","0","4","1","0","0"
"1020020","265","0","0","20","340","2","5","1","0","0","0.497"
"1020021","0","0","0.497","21","0","2","0","4","1","0","0"
"1020022","0","0","0","22","189","2","6","1","0","0","1.37"
"1020023","0","0","2.407","23","0","2","0","4","1","0","0"
"1020024","0","vo_minigame_1005","0","24","0","2","0","2","0","vo_minigame_1005_nikki02_004","0"
"1020025","0","0","0","25","195","2","7","1","0","0","1.616"
"1020026","0","0","2.035","26","0","2","0","4","1","0","0"
"1020027","195","0","0","27","295","2","7","1","0","0","0.951"
"1020028","0","0","1.322","28","0","2","0","4","1","0","0"
"1020029","0","0","0","29","258","2","8","1","0","0","1.924"
"1020030","0","0","2.98","30","0","2","0","4","1","0","0"
"1020031","0","vo_minigame_1005","0","31","0","2","0","2","0","vo_minigame_1005_nikki02_005","0"
"1020032","0","0","0","32","114","2","9","1","0","0","0.93"
"1020033","0","0","1.24","33","0","2","0","4","1","0","0"
"1020034","114","0","0","34","257","2","9","1","0","0","0.879"
"1020035","0","0","1.877","35","0","2","0","4","1","0","0"
"1020036","0","vo_minigame_1005","0","36","0","2","0","2","0","vo_minigame_1005_nikki02_006","0"
"1020037","0","0","0","37","144","2","10","1","0","0","1.148"
"1020038","0","0","1.541","38","0","2","0","4","1","0","0"
"1020039","144","0","0","39","307","2","10","1","0","0","1.145"
"1020040","0","0","2.645","40","0","2","0","4","1","0","0"
"1030001","0","0","1","1","0","3","0","4","3","0","0"
"1030002","0","vo_minigame_1005","0","2","0","3","0","2","0","vo_minigame_1005_nikki03_000","0"
"1030003","0","0","0","3","332","3","1","1","0","0","2.61"
"1030004","0","0","3.007","4","0","3","0","4","1","0","0"
"1030005","0","0","0","5","233","3","2","1","0","0","1.47"
"1030006","0","0","2.171","6","0","3","0","4","1","0","0"
"1030007","0","vo_minigame_1005","0","7","0","3","0","2","0","vo_minigame_1005_nikki03_001","0"
"1030008","0","0","0","8","322","3","3","1","0","0","2.1"
"1030009","0","0","2.579","9","0","3","0","4","1","0","0"
"1030010","0","0","0","10","349","3","4","1","0","0","2.298"
"1030011","0","0","3.18","11","0","3","0","4","1","0","0"
"1030012","0","vo_minigame_1005","0","12","0","3","0","2","0","vo_minigame_1005_nikki03_002","0"
"1030013","0","0","0","13","173","3","5","1","0","0","1.262"
"1030014","0","0","1.993","14","0","3","0","4","1","0","0"
"1030015","0","vo_minigame_1005","0","15","0","3","0","2","0","vo_minigame_1005_nikki03_003","0"
"1030016","173","0","0","16","243","3","5","1","0","0","0.373"
"1030017","0","0","0.69","17","0","3","0","4","1","0","0"
"1030018","243","0","0","18","362","3","5","1","0","0","1.045"
"1030019","0","0","2.131","19","0","3","0","4","1","0","0"
"1030020","0","vo_minigame_1005","0","20","0","3","0","2","0","vo_minigame_1005_nikki03_004","0"
"1030021","0","0","0","21","289","3","6","1","0","0","2.147"
"1030022","0","0","2.618","22","0","3","0","4","1","0","0"
"1030023","0","0","0","23","202","3","7","1","0","0","1.445"
"1030024","0","0","2.552","24","0","3","0","4","1","0","0"
"1030025","0","vo_minigame_1005","0","25","0","3","0","2","0","vo_minigame_1005_nikki03_005","0"
"1030026","0","0","0","26","123","3","8","1","0","0","0.876"
"1030027","0","0","1.252","27","0","3","0","4","1","0","0"
"1030028","123","0","0","28","324","3","8","1","0","0","1.306"
"1030029","0","0","1.507","29","0","3","0","4","1","0","0"
"1030030","0","0","0","30","186","3","9","1","0","0","1.319"
"1030031","0","0","2.549","31","0","3","0","4","1","0","0"
"1030032","0","vo_minigame_1005","0","32","0","3","0","2","0","vo_minigame_1005_nikki03_006","0"
"1030033","0","0","0","33","383","3","10","1","0","0","2.728"
"1030034","0","0","3.023","34","0","3","0","4","1","0","0"
"1030035","0","0","0","35","123","3","11","1","0","0","0.91"
"1030036","0","0","1.977","36","0","3","0","4","1","0","0"
"1030037","0","vo_minigame_1005","0","37","0","3","0","2","0","vo_minigame_1005_nikki03_007","0"
"1030038","123","0","0","38","208","3","11","1","0","0","0.558"
"1030039","0","0","0.973","39","0","3","0","4","1","0","0"
"1030040","208","0","0","40","392","3","11","1","0","0","1.35"
"1030041","0","0","2.103","41","0","3","0","4","1","0","0"
"1030042","0","vo_minigame_1005","0","42","0","3","0","2","0","vo_minigame_1005_nikki03_008","0"
"1030043","0","0","0","43","150","3","12","1","0","0","0.935"
"1030044","0","0","2.435","44","0","3","0","4","1","0","0"
"1040001","0","0","1","1","0","4","0","4","3","0","0"
"1040002","0","vo_minigame_1005","0","2","0","4","0","2","0","vo_minigame_1005_nikki04_000","0"
"1040003","0","0","0","3","222","4","1","1","0","0","1.597"
"1040004","0","0","1.881","4","0","4","0","4","1","0","0"
"1040005","0","0","0","5","239","4","2","1","0","0","1.46"
"1040006","0","0","2.457","6","0","4","0","4","1","0","0"
"1040007","0","vo_minigame_1005","0","7","0","4","0","2","0","vo_minigame_1005_nikki04_001","0"
"1040008","0","0","0","8","171","4","3","1","0","0","1.208"
"1040009","0","0","1.578","9","0","4","0","4","1","0","0"
"1040010","171","0","0","10","270","4","3","1","0","0","0.673"
"1040011","0","0","1.009","11","0","4","0","4","1","0","0"
"1040012","270","0","0","12","352","4","3","1","0","0","0.65"
"1040013","0","0","0.729","13","0","4","0","4","1","0","0"
"1040014","0","0","0","14","166","4","4","1","0","0","0.976"
"1040015","0","0","1.993","15","0","4","0","4","1","0","0"
"1040016","0","vo_minigame_1005","0","16","0","4","0","2","0","vo_minigame_1005_nikki04_002","0"
"1040017","166","0","0","17","220","4","4","1","0","0","0.396"
"1040018","0","0","0.864","18","0","4","0","4","1","0","0"
"1040019","220","0","0","19","352","4","4","1","0","0","0.74"
"1040020","0","0","1.855","20","0","4","0","4","1","0","0"
"1040021","0","vo_minigame_1005","0","21","0","4","0","2","0","vo_minigame_1005_nikki04_003","0"
"1040022","0","0","0","22","52","4","5","1","0","0","0.437"
"1040023","0","0","0.497","23","0","4","0","4","1","0","0"
"1040024","52","0","0","24","289","4","5","1","0","0","1.776"
"1040025","0","0","2.233","25","0","4","0","4","1","0","0"
"1040026","0","0","0","26","153","4","6","1","0","0","1.29"
"1040027","0","0","1.638","27","0","4","0","4","1","0","0"
"1040028","153","0","0","28","329","4","6","1","0","0","1.137"
"1040029","0","0","2.3","29","0","4","0","4","1","0","0"
"1040030","0","vo_minigame_1005","0","30","0","4","0","2","0","vo_minigame_1005_nikki04_004","0"
"1040031","0","0","0","31","55","4","7","1","0","0","0.336"
"1040032","0","0","0.826","32","0","4","0","4","1","0","0"
"1040033","55","0","0","33","252","4","7","1","0","0","1.223"
"1040034","0","0","1.223","34","0","4","0","4","1","0","0"
"1040035","0","0","0","35","179","4","8","1","0","0","0.994"
"1040036","0","0","1.487","36","0","4","0","4","1","0","0"
"1040037","179","0","0","37","312","4","8","1","0","0","0.89"
"1040038","0","0","1.567","38","0","4","0","4","1","0","0"
"1040039","0","vo_minigame_1005","0","39","0","4","0","2","0","vo_minigame_1005_nikki04_005","0"
"1040040","0","0","0","40","151","4","9","1","0","0","0.74"
"1040041","0","0","1.731","41","0","4","0","4","1","0","0"
"1040042","0","vo_minigame_1005","0","42","0","4","0","2","0","vo_minigame_1005_nikki04_006","0"
"1040043","0","0","0","43","278","4","10","1","0","0","1.937"
"1040044","0","0","2.435","44","0","4","0","4","1","0","0"
"1040045","0","0","0","45","126","4","11","1","0","0","0.822"
"1040046","0","0","1.376","46","0","4","0","4","1","0","0"
"1040047","126","0","0","47","199","4","11","1","0","0","0.576"
"1040048","0","0","0.923","48","0","4","0","4","1","0","0"
"1040049","199","0","0","49","353","4","11","1","0","0","0.785"
"1040050","0","0","2.285","50","0","4","0","4","1","0","0"
"1050001","0","0","1","1","0","5","0","4","3","0","0"
"1050002","0","vo_minigame_1005","0","2","0","5","0","2","0","vo_minigame_1005_nikki05_000","0"
"1050003","0","0","0","3","183","5","1","1","0","0","1.419"
"1050004","0","0","1.662","4","0","5","0","4","1","0","0"
"1050005","0","0","0","5","265","5","2","1","0","0","1.614"
"1050006","0","0","2.394","6","0","5","0","4","1","0","0"
"1050007","0","vo_minigame_1005","0","7","0","5","0","2","0","vo_minigame_1005_nikki05_001","0"
"1050008","0","0","0","8","394","5","3","1","0","0","2.658"
"1050009","0","0","3.202","9","0","5","0","4","1","0","0"
"1050010","0","vo_minigame_1005","0","10","0","5","0","2","0","vo_minigame_1005_nikki05_002","0"
"1050011","0","0","0","11","298","5","4","1","0","0","1.745"
"1050012","0","0","2.545","12","0","5","0","4","1","0","0"
"1050013","0","vo_minigame_1005","0","13","0","5","0","2","0","vo_minigame_1005_nikki05_003","0"
"1050014","0","0","0","14","115","5","5","1","0","0","0.964"
"1050015","0","0","1.34","15","0","5","0","4","1","0","0"
"1050016","115","0","0","16","394","5","5","1","0","0","1.919"
"1050017","0","0","2.719","17","0","5","0","4","1","0","0"
"1050018","0","vo_minigame_1005","0","18","0","5","0","2","0","vo_minigame_1005_nikki05_004","0"
"1050019","0","0","0","19","60","5","6","1","0","0","0.434"
"1050020","0","0","0.903","20","0","5","0","4","1","0","0"
"1050021","60","0","0","21","250","5","6","1","0","0","1.262"
"1050022","0","0","1.758","22","0","5","0","4","1","0","0"
"1050023","0","0","0","23","309","5","7","1","0","0","2.473"
"1050024","0","0","3.315","24","0","5","0","4","1","0","0"
"1050025","0","vo_minigame_1005","0","25","0","5","0","2","0","vo_minigame_1005_nikki05_005","0"
"1050026","0","0","0","26","82","5","8","1","0","0","0.509"
"1050027","0","0","0.988","27","0","5","0","4","1","0","0"
"1050028","82","0","0","28","364","5","8","1","0","0","1.775"
"1050029","0","0","2.507","29","0","5","0","4","1","0","0"
"1050030","0","vo_minigame_1005","0","30","0","5","0","2","0","vo_minigame_1005_nikki05_006","0"
"1050031","0","0","0","31","201","5","9","1","0","0","1.139"
"1050032","0","0","2.066","32","0","5","0","4","1","0","0"
"1050033","0","vo_minigame_1005","0","33","0","5","0","2","0","vo_minigame_1005_nikki05_007","0"
"1050034","0","0","0","34","94","5","10","1","0","0","0.665"
"1050035","0","0","1.144","35","0","5","0","4","1","0","0"
"1050036","94","0","0","36","271","5","10","1","0","0","1.389"
"1050037","0","0","1.789","37","0","5","0","4","1","0","0"
"1050038","271","0","0","38","376","5","10","1","0","0","0.823"
"1050039","0","0","2.023","39","0","5","0","4","1","0","0"
