681e6d4f870b0ec392e4d1ce5cd03720d05585e680b8a6294432b269985f5fb7,a1187e99b56698ba864905edb29e8ea639f87db24421a03dd877cdd26b8202ca,caba4c5aa0a3d989b3647b2b85c73b802b2435e706c714be0848ffa386c6664c,47959d462d1cb4c0b26dccc5efab9002b4f8cc59601b829ee89f9853e5770554,c9698598302a5b486d41ee95a4e1386b827eeb52e3ac896dbd46298fc7f2005a,4fa1ba804bb9eab894508f0a20a1b513c1ff3ecece13cab1a98423bf38ee334f,3cb7dc769faec96bbdfa29e4315bddb8c46bf3f64ec427641a0e71a82c574a0c,63fb96da6615c11b2f3657923dcbba6736cc7e228484ce01e1fc3c15d134a046,fd9aa37a8e295465e4c6819a454157af2145986111832edc31340d176c08feca,f54027eb577895c6c3c6559ba7bed699366e0a945516105904db0a47789103ac,4f98ecc23685989064b6e38f74966cc90434195a074cea08cbbd969cc020c96e
"1","0","3","4","40013","2024年バレンタイン記念プレゼント","2024/03/01 4:59:59","2024/02/14 5:00:00","0","0","40013"
"2","0","2","4","40014","銀だこハイボール酒場コラボログインキャンペーン","2024/09/11 4:59:59","2024/08/14 5:00:00","0","0","40014"
"5","0","3","4","40015","カムバックログインボーナス","2099/01/01 23:59:00","2024/08/10 5:00:00","0","0","40015"
"7","0","0","6","500553","謹賀新年 お正月ログインボーナス","2019/01/11 4:59:59","2019/01/01 5:00:00","0","1","60000"
"7","0","0","6","500553","謹賀新年 お正月ログインボーナス","2020/01/11 4:59:59","2020/01/01 5:00:00","0","1","60001"
"7","0","0","6","500553","謹賀新年 お正月ログインボーナス","2021/01/11 4:59:59","2021/01/01 5:00:00","0","1","60002"
"7","0","0","6","500553","謹賀新年 お正月ログインボーナス","2022/01/11 4:59:59","2022/01/01 5:00:00","0","1","60003"
"7","0","0","6","500553","謹賀新年 お正月ログインボーナス","2023/01/11 4:59:59","2023/01/01 5:00:00","0","1","60004"
"7","0","0","6","500553","謹賀新年 お正月ログインボーナス","2024/01/11 4:59:59","2024/01/01 5:00:00","0","1","60005"
"2","0","0","7","500160","クリスマスログインボーナス","2018/12/26 4:59:59","2018/12/24 5:00:00","1","0","70000"
"3","0","0","7","500160","あけおめログインボーナス","2019/01/04 4:59:59","2019/01/01 5:00:00","2","0","70001"
"2","0","0","7","500160","クリスマスログインボーナス","2019/12/26 4:59:59","2019/12/24 5:00:00","1","0","70002"
"3","0","0","7","500160","三が日特別ログインボーナス","2020/01/04 4:59:59","2020/01/01 5:00:00","2","0","70003"
"2","0","0","7","500160","クリスマスログインボーナス","2020/12/26 4:59:59","2020/12/24 5:00:00","1","0","70004"
"3","0","0","7","500160","三が日特別ログインボーナス","2021/01/04 4:59:59","2021/01/01 5:00:00","2","0","70005"
"2","0","0","7","500160","クリスマスログインボーナス","2021/12/26 4:59:59","2021/12/24 5:00:00","1","0","70006"
"3","0","0","7","500160","三が日特別ログインボーナス","2022/01/04 4:59:59","2022/01/01 5:00:00","2","0","70007"
"2","0","0","7","500160","クリスマスログインボーナス","2022/12/26 4:59:59","2022/12/24 5:00:00","1","0","70008"
"1","0","0","7","500160","元日特別ログインボーナス","2023/01/04 4:59:59","2023/01/01 5:00:00","2","0","70009"
"1","0","0","7","500160","クリスマスログインボーナス","2023/12/25 4:59:59","2023/12/24 5:00:00","1","0","70010"
"1","0","0","7","500160","元日特別ログインボーナス","2024/01/04 4:59:59","2024/01/01 5:00:00","2","0","70011"
"1","0","0","7","500160","クリスマスログインボーナス","2023/12/26 4:59:59","2023/12/25 5:00:00","1","0","70012"
"15","1","0","8","0","1st Anniversary カウントダウンログインボーナス","2019/02/15 4:59:59","2019/01/31 5:00:00","0","0","80001"
"15","0","4","4","80002","2nd Anniversary カウントダウンログインボーナス","2020/02/15 4:59:59","2020/01/31 5:00:00","0","0","80002"
"15","1","0","8","0","2.5 Year Anniversary カウントダウンログインボーナス","2020/08/16 4:59:59","2020/08/01 5:00:00","0","0","80003"
"17","1","0","10","0","3rd Anniversary カウントダウンログインボーナス","2021/02/16 4:59:59","2021/01/30 5:00:00","1","0","80004"
"15","1","0","8","0","3.5 Year Anniversary カウントダウンログインボーナス","2021/08/16 4:59:59","2021/08/01 5:00:00","0","0","80005"
"17","1","0","10","0","4th Anniversary カウントダウンログインボーナス","2022/02/16 4:59:59","2022/01/30 5:00:00","1","0","80006"
"15","1","0","10","0","4.5 Year Anniversary カウントダウンログインボーナス","2022/08/16 4:59:59","2022/08/01 5:00:00","1","0","80007"
"16","1","0","10","0","5th Anniversary カウントダウンログインボーナス","2023/02/16 4:59:59","2023/01/31 5:00:00","1","0","80008"
"15","1","0","10","0","5.5 Year Anniversary カウントダウンログインボーナス","2023/08/16 4:59:59","2023/08/01 5:00:00","1","0","80009"
"16","1","0","10","0","6th Anniversary カウントダウンログインボーナス","2024/02/16 4:59:59","2024/01/31 5:00:00","1","0","80010"
"15","1","0","10","0","6.5 Year Anniversary カウントダウンログインボーナス","2024/08/16 4:59:59","2024/08/01 5:00:00","1","0","80011"
