d848dce8e4116b0f229afaf5bb6c46c19f4c800ff0b744b42395e66392ec69f9,111a10a6bb44049f7d82533abd9f4e6927f90ddb7572045c6ca0f6b408ebf1cf,349bb65f5df908953e84ccd3923486939882b96f2ef9a697c357e25f10f09a56,ba319b7ed27e44359b8b3b2bc07312d5f2bde4b6f0612fba5c50e313ff13cd16
"25014","10000","2","8600000"
"25015","10000","2","8700000"
"25021","5000","2","8800000"
"140001","20","11","8900000"
"26203","1","2","9000000"
"90005","50","2","9100000"
"23003","500","2","9200000"
"25011","10000","2","9300000"
"25012","10000","2","9400000"
"25013","10000","2","9500000"
"25014","10000","2","9600000"
"25015","10000","2","9700000"
"25021","5000","2","9800000"
"26202","100000","2","9900000"
"41000","1","2","10000000"
"90005","50","2","10100000"
"23003","500","2","10200000"
"25011","10000","2","10300000"
"25012","10000","2","10400000"
"25013","10000","2","10500000"
"25014","10000","2","10600000"
"25015","10000","2","10700000"
"25021","5000","2","10800000"
"140001","20","11","10900000"
"26203","1","2","11000000"
"90005","50","2","11100000"
"23003","500","2","11200000"
"25011","10000","2","11300000"
"25012","10000","2","11400000"
"25013","10000","2","11500000"
"25014","10000","2","11600000"
"25015","10000","2","11700000"
"25021","5000","2","11800000"
"26202","100000","2","11900000"
"21953","1","2","12000000"
"90005","50","2","12100000"
"23003","500","2","12200000"
"25011","10000","2","12300000"
"25012","10000","2","12400000"
"25013","10000","2","12500000"
"25014","10000","2","12600000"
"25015","10000","2","12700000"
"25021","5000","2","12800000"
"140001","20","11","12900000"
"26203","1","2","13000000"
"90005","50","2","13100000"
"23003","500","2","13200000"
"25011","10000","2","13300000"
"25012","10000","2","13400000"
"25013","10000","2","13500000"
"25014","10000","2","13600000"
"25015","10000","2","13700000"
"25021","5000","2","13800000"
"26202","100000","2","13900000"
"41000","1","2","14000000"
"90005","50","2","14100000"
"23003","500","2","14200000"
"25011","10000","2","14300000"
"25012","10000","2","14400000"
"25013","10000","2","14500000"
"25014","10000","2","14600000"
"25015","10000","2","14700000"
"25021","5000","2","14800000"
"91002","150","8","14900000"
"25101","1","2","15000000"
"90005","50","2","15150000"
"23003","500","2","15300000"
"25011","10000","2","15450000"
"25012","10000","2","15600000"
"25013","10000","2","15750000"
"25014","10000","2","15900000"
"25015","10000","2","16050000"
"25021","5000","2","16200000"
"26202","100000","2","16350000"
"41000","1","2","16500000"
"90005","50","2","16650000"
"23003","500","2","16800000"
"25011","10000","2","16950000"
"25012","10000","2","17100000"
"25013","10000","2","17250000"
"25014","10000","2","17400000"
"25015","10000","2","17550000"
"25021","5000","2","17700000"
"140001","20","11","17850000"
"26203","1","2","18000000"
"90005","50","2","18150000"
"23003","500","2","18300000"
"25011","10000","2","18450000"
"25012","10000","2","18600000"
"25013","10000","2","18750000"
"25014","10000","2","18900000"
"25015","10000","2","19050000"
"25021","5000","2","19200000"
"26202","100000","2","19350000"
"21953","1","2","19500000"
"90005","50","2","19650000"
"23003","500","2","19800000"
"25011","10000","2","19950000"
"25012","10000","2","20100000"
"25013","10000","2","20250000"
"25014","10000","2","20400000"
"25015","10000","2","20550000"
"25021","5000","2","20700000"
"140001","20","11","20850000"
"26203","1","2","21000000"
"90005","50","2","21150000"
"23003","500","2","21300000"
"25011","10000","2","21450000"
"25012","10000","2","21600000"
"25013","10000","2","21750000"
"25014","10000","2","21900000"
"25015","10000","2","22050000"
"25021","5000","2","22200000"
"26202","100000","2","22350000"
"41000","1","2","22500000"
"90005","50","2","22650000"
"23003","500","2","22800000"
"25011","10000","2","22950000"
"25012","10000","2","23100000"
"25013","10000","2","23250000"
"25014","10000","2","23400000"
"25015","10000","2","23550000"
"25021","5000","2","23700000"
"140001","20","11","23850000"
"26203","1","2","24000000"
"90005","50","2","24150000"
"23003","500","2","24300000"
"25011","10000","2","24450000"
"25012","10000","2","24600000"
"25013","10000","2","24750000"
"25014","10000","2","24900000"
"25015","10000","2","25050000"
"25021","5000","2","25200000"
"26202","100000","2","25350000"
"21953","1","2","25500000"
"90005","50","2","25650000"
"23003","500","2","25800000"
"25011","10000","2","25950000"
"25012","10000","2","26100000"
"25013","10000","2","26250000"
"25014","10000","2","26400000"
"25015","10000","2","26550000"
"25021","5000","2","26700000"
"140001","20","11","26850000"
"26203","1","2","27000000"
"90005","50","2","27150000"
"23003","500","2","27300000"
"25011","10000","2","27450000"
"25012","10000","2","27600000"
"25013","10000","2","27750000"
"25014","10000","2","27900000"
"25015","10000","2","28050000"
"25021","5000","2","28200000"
"26202","100000","2","28350000"
"41000","1","2","28500000"
"90005","50","2","28650000"
"23003","500","2","28800000"
"25011","10000","2","28950000"
"25012","10000","2","29100000"
"25013","10000","2","29250000"
"25014","10000","2","29400000"
"25015","10000","2","29550000"
"25021","5000","2","29700000"
"91002","150","8","29850000"
"25101","1","2","30000000"
