37d1c781aad28ac76ecd7572c0078dbc5b9602b9179091d966a7a4cec76e4754,7de2abe44820dc81c91bcb0cf551a5cb383da10caec1af81cfa02fead3aa5ccf,7c215eca80a57fa55e9df2527955787acfa4fcfbe23ff668f67c6564336bd604,09cf18b5ad297934e98735770de405af2b55f69057cfa9536792b11bd5e6de86,426ffede45e50178b0eacec88724746aac3398cb25f1a005036bc0e3310383c3,1c84f058c8fa3fc0e533e313fe03b20132bf54f4ad6517b03946db6185d2cb90,eb0e6a06a366badd2fb6e652ab8b5950db151b4fedbd30eaa73d7ee217032acc,5f160f637a58459d249cc35f6cb44dd3d4ae9bdbc79987f78cba343ee5b3ca34,f8ba0a51e6a9d29cb8d0b30a709df451050327d1f156db28dc657de1d984b9ea,70eeca24347f18ae11dce0ddd45118d07da898fcf6b218e4bbafac8f3d9b4f14,466483bc25731ddf1e26787dbf7ac92e393a48054c3075691fbdb0c666a29ee2
"0.68","211","31","1002001","-240","0","-500","10012","","1","102110020"
"0.68","211","31","1002002","-165","0","-570","10012","","1","102110021"
"0.68","211","31","1002003","-255","0","-640","10012","","1","102110022"
"0.68","211","31","1002004","-165","0","-710","10012","","1","102110023"
"0.68","211","31","1002005","-240","0","-780","10012","","1","102110024"
"1","211","31","10030","0","","0","10030","","0","102110025"
"1","211","31","10031","0","","0","10031","","0","102110026"
"","211","91","0","","","","","","","102110027"
"","211","32","1","","","","10030","","","102110028"
"","211","91","0","","","","0","","","102110029"
"0","211","3","<weapon>_run","","","1","1001001","","0","102110030"
"0","211","3","<weapon>_run","","","1","1001002","","0","102110031"
"0","211","3","<weapon>_run","","","1","1001003","","0","102110032"
"0","211","3","<weapon>_run","","","1","1001004","","0","102110033"
"0","211","3","<weapon>_run","","","1","1001005","","0","102110034"
"0","211","2","850","3","","-90","1001001","","","102110035"
"0","211","2","780","3","","-15","1001002","","","102110036"
"0","211","2","710","3","","-105","1001003","","","102110037"
"0","211","2","640","3","","-15","1001004","","","102110038"
"0","211","2","570","3","","-90","1001005","","","102110039"
"0","211","33","850","3","","-90","1001001","","","102110040"
"0","211","33","780","3","","-15","1001002","","","102110041"
"0","211","33","710","3","","-105","1001003","","","102110042"
"0","211","33","640","3","","-15","1001004","","","102110043"
"0","211","33","570","3","","-90","1001005","","","102110044"
"0","211","3","<weapon>_run","","","1","1002001","","0","102110045"
"0","211","3","<weapon>_run","","","1","1002002","","0","102110046"
"0","211","3","<weapon>_run","","","1","1002003","","0","102110047"
"0","211","3","<weapon>_run","","","1","1002004","","0","102110048"
"0","211","3","<weapon>_run","","","1","1002005","","0","102110049"
"0","211","2","450","3","","-240","1002001","","","102110050"
"0","211","2","380","3","","-165","1002002","","","102110051"
"0","211","2","310","3","","-255","1002003","","","102110052"
"0","211","2","240","3","","-165","1002004","","","102110053"
"0","211","2","170","3","","-240","1002005","","","102110054"
"0","211","33","450","3","","-240","1002001","","","102110055"
"0","211","33","380","3","","-165","1002002","","","102110056"
"0","211","33","310","3","","-255","1002003","","","102110057"
"0","211","33","240","3","","-165","1002004","","","102110058"
"0","211","33","170","3","","-240","1002005","","","102110059"
"","211","32","1","","","","10020","","","102110060"
"","211","93","0","","","","2.5","","","102110061"
"","211","32","1","","","","10031","","","102110062"
"","211","93","0","","","","0.4","","","102110063"
"","211","91","0","","","","0","","","102110064"
"","311","23","se_travel_start_3pt","","","0","se_travel","","","103110001"
"1","311","31","10010","0","","0","10010","","1","103110002"
"1","311","31","10011","0","","0","10011","","1","103110003"
"1","311","31","10020","0","","0","10020","","0","103110004"
"-240","311","1","1001001","0","0","62","2","<weapon>_idle","0.68","103110005"
"-165","311","1","1001002","-70","0","61","2","<weapon>_idle","0.68","103110006"
"-255","311","1","1001003","-140","0","63","2","<weapon>_idle","0.68","103110007"
"-165","311","1","1001004","-210","0","61","2","<weapon>_idle","0.68","103110008"
"-240","311","1","1001005","-280","0","62","2","<weapon>_idle","0.68","103110009"
"0.68","311","31","1001001","-240","0","0","10012","","1","103110010"
"0.68","311","31","1001002","-165","0","-70","10012","","1","103110011"
"0.68","311","31","1001003","-255","0","-140","10012","","1","103110012"
"0.68","311","31","1001004","-165","0","-210","10012","","1","103110013"
"0.68","311","31","1001005","-240","0","-280","10012","","1","103110014"
"-60","311","1","1002001","-250","0","52","2","<weapon>_idle","0.68","103110015"
"15","311","1","1002002","-320","0","51","2","<weapon>_idle","0.68","103110016"
"-75","311","1","1002003","-390","0","53","2","<weapon>_idle","0.68","103110017"
"15","311","1","1002004","-460","0","51","2","<weapon>_idle","0.68","103110018"
"-60","311","1","1002005","-530","0","52","2","<weapon>_idle","0.68","103110019"
"0.68","311","31","1002001","-60","0","-250","10012","","1","103110020"
"0.68","311","31","1002002","15","0","-320","10012","","1","103110021"
"0.68","311","31","1002003","-75","0","-390","10012","","1","103110022"
"0.68","311","31","1002004","15","0","-460","10012","","1","103110023"
"0.68","311","31","1002005","-60","0","-530","10012","","1","103110024"
"-250","311","1","1003001","-500","0","62","2","<weapon>_idle","0.68","103110025"
"-175","311","1","1003002","-570","0","61","2","<weapon>_idle","0.68","103110026"
"-265","311","1","1003003","-640","0","63","2","<weapon>_idle","0.68","103110027"
"-175","311","1","1003004","-710","0","61","2","<weapon>_idle","0.68","103110028"
"-250","311","1","1003005","-780","0","62","2","<weapon>_idle","0.68","103110029"
"0.68","311","31","1003001","-250","0","-500","10012","","1","103110030"
"0.68","311","31","1003002","-175","0","-570","10012","","1","103110031"
"0.68","311","31","1003003","-265","0","-640","10012","","1","103110032"
"0.68","311","31","1003004","-175","0","-710","10012","","1","103110033"
"0.68","311","31","1003005","-250","0","-780","10012","","1","103110034"
"1","311","31","10030","0","","0","10030","","0","103110035"
"1","311","31","10031","0","","0","10031","","0","103110036"
"","311","91","0","","","","","","","103110037"
"","311","32","1","","","","10030","","","103110038"
"","311","91","0","","","","0","","","103110039"
"0","311","3","<weapon>_run","","","1","1001001","","0","103110040"
"0","311","3","<weapon>_run","","","1","1001002","","0","103110041"
"0","311","3","<weapon>_run","","","1","1001003","","0","103110042"
"0","311","3","<weapon>_run","","","1","1001004","","0","103110043"
"0","311","3","<weapon>_run","","","1","1001005","","0","103110044"
"0","311","2","950","3","","-240","1001001","","","103110045"
"0","311","2","880","3","","-165","1001002","","","103110046"
"0","311","2","810","3","","-255","1001003","","","103110047"
"0","311","2","740","3","","-165","1001004","","","103110048"
"0","311","2","670","3","","-240","1001005","","","103110049"
"0","311","33","950","3","","-240","1001001","","","103110050"
"0","311","33","880","3","","-165","1001002","","","103110051"
"0","311","33","810","3","","-255","1001003","","","103110052"
"0","311","33","740","3","","-165","1001004","","","103110053"
"0","311","33","670","3","","-240","1001005","","","103110054"
"0","311","3","<weapon>_run","","","1","1002001","","0","103110055"
"0","311","3","<weapon>_run","","","1","1002002","","0","103110056"
"0","311","3","<weapon>_run","","","1","1002003","","0","103110057"
"0","311","3","<weapon>_run","","","1","1002004","","0","103110058"
"0","311","3","<weapon>_run","","","1","1002005","","0","103110059"
"0","311","2","700","3","","-60","1002001","","","103110060"
"0","311","2","630","3","","15","1002002","","","103110061"
"0","311","2","560","3","","-75","1002003","","","103110062"
"0","311","2","490","3","","15","1002004","","","103110063"
"0","311","2","420","3","","-60","1002005","","","103110064"
"0","311","33","700","3","","-60","1002001","","","103110065"
"0","311","33","630","3","","15","1002002","","","103110066"
"0","311","33","560","3","","-75","1002003","","","103110067"
"0","311","33","490","3","","15","1002004","","","103110068"
"0","311","33","420","3","","-60","1002005","","","103110069"
"0","311","3","<weapon>_run","","","1","1003001","","0","103110070"
"0","311","3","<weapon>_run","","","1","1003002","","0","103110071"
"0","311","3","<weapon>_run","","","1","1003003","","0","103110072"
"0","311","3","<weapon>_run","","","1","1003004","","0","103110073"
"0","311","3","<weapon>_run","","","1","1003005","","0","103110074"
"0","311","2","450","3","","-250","1003001","","","103110075"
"0","311","2","380","3","","-175","1003002","","","103110076"
"0","311","2","310","3","","-265","1003003","","","103110077"
"0","311","2","240","3","","-175","1003004","","","103110078"
"0","311","2","170","3","","-250","1003005","","","103110079"
"0","311","33","450","3","","-250","1003001","","","103110080"
"0","311","33","380","3","","-175","1003002","","","103110081"
"0","311","33","310","3","","-265","1003003","","","103110082"
"0","311","33","240","3","","-175","1003004","","","103110083"
"0","311","33","170","3","","-250","1003005","","","103110084"
"","311","32","1","","","","10020","","","103110085"
"","311","93","0","","","","2.5","","","103110086"
"","311","32","1","","","","10031","","","103110087"
"","311","93","0","","","","0.4","","","103110088"
"","311","91","0","","","","0","","","103110089"
