0df39c46dc5ec345a8cf190930cfab23845ea3aa4030ff14443caf5a62af2132,547ca4e4c0bd0d6c9526a79ed6ec72305e97475b7f5cdf4a49045c346b5b724a,ff198178e28c5748559e99d219de78d6606dde8dcad1af1f190bad310f0a052d,c48d86d5b872e9e6848f57ec204c9feacb5a605c50f413092d08e2797a24c06a,043b51909a08c030fc29f59442b2128a1f69fa42f31a91c8bef055a68c63b844,07eeb4e16e93bd853228dd55d10cdb4bc9948074d2bfb9492a1125b23b68cea6,cadcf0a1c00661739bb7447ac18163c835f1b9e8f3f9a70e8a422401a9ce7d5f,bd016b2f8fbef9cb4871a65b4468ef08f579eb59feb6a0756ba21c50c4330bdb,816cfd00d716c95988c9ca9250cecdb42d94a3ad3385bfa969f7b5414c2739ef,7129950c53e865531edb965f15c9f47b5bebe6399f98003276db1fb6cf0e2937
"2","1004","2021/02/28 11:59:59","2015009","1003","2","2021/02/15 15:00:00","1002","1003","10013"
"1","0","2021/08/15 14:59:59","0","0","1","2021/02/28 12:00:00","1001","0","10014"
"2","0","2021/08/15 14:59:59","2015009","0","2","2021/02/28 12:00:00","1002","0","10015"
"1","1005","2021/08/31 11:59:59","0","0","1","2021/08/15 15:00:00","1001","0","10016"
"2","1005","2021/08/31 11:59:59","2015009","0","2","2021/08/15 15:00:00","1002","0","10017"
"1","0","2030/02/15 14:59:59","0","0","1","2021/08/31 12:00:00","1001","0","10018"
"2","0","2030/02/15 14:59:59","2015009","0","2","2021/08/31 12:00:00","1002","0","10019"
"1","1006","2022/02/28 11:59:59","0","1004","1","2022/02/15 15:00:00","1001","1004","10020"
"2","1006","2022/02/28 11:59:59","2015009","1004","2","2022/02/15 15:00:00","1002","1004","10021"
"1","0","2022/08/15 14:59:59","0","0","1","2022/02/28 12:00:00","1001","0","10022"
"2","0","2022/08/15 14:59:59","2015009","0","2","2022/02/28 12:00:00","1002","0","10023"
"1","1007","2022/08/31 11:59:59","0","0","1","2022/08/15 15:00:00","1001","0","10024"
"2","1007","2022/08/31 11:59:59","2015009","0","2","2022/08/15 15:00:00","1002","0","10025"
"1","0","2023/02/15 14:59:59","0","0","1","2022/08/31 12:00:00","1001","0","10026"
"2","0","2023/02/15 14:59:59","2015009","0","2","2022/08/31 12:00:00","1002","0","10027"
"1","1008","2023/02/28 11:59:59","0","1005","1","2023/02/15 15:00:00","1001","1005","10028"
"2","1008","2023/02/28 11:59:59","2015009","1005","2","2023/02/15 15:00:00","1002","1005","10029"
"1","0","2023/08/15 14:59:59","0","0","1","2023/02/28 12:00:00","1001","0","10030"
"2","0","2023/08/15 14:59:59","2015009","0","2","2023/02/28 12:00:00","1002","0","10031"
"2","0","2023/08/15 14:59:59","2201005","0","3","2023/03/15 12:00:00","1003","0","10032"
"1","1009","2023/08/31 11:59:59","0","0","1","2023/08/15 15:00:00","1001","0","10033"
"2","1009","2023/08/31 11:59:59","2015009","0","2","2023/08/15 15:00:00","1002","0","10034"
"1","0","2024/02/14 23:59:59","0","0","1","2023/08/31 12:00:00","1001","0","10035"
"2","0","2024/02/14 23:59:59","2015009","0","2","2023/08/31 12:00:00","1002","0","10036"
"2","1009","2023/08/31 11:59:59","2201005","0","3","2023/08/15 15:00:00","1003","0","10037"
"3","0","2024/02/14 23:59:59","2201005","0","3","2023/08/31 12:00:00","1003","0","10038"
"1","1010","2024/02/29 11:59:59","0","1006","1","2024/02/15","1001","1006","10039"
"2","1010","2024/02/29 11:59:59","2015009","1006","2","2024/02/15","1002","1006","10040"
"1","0","2024/08/15 14:59:59","0","0","1","2024/02/29 12:00:00","1001","0","10041"
"2","0","2024/08/15 14:59:59","2015009","0","2","2024/02/29 12:00:00","1002","0","10042"
"3","1010","2024/02/29 11:59:59","2201005","1006","3","2024/02/15","1003","1006","10043"
"3","0","2024/08/15 14:59:59","2201005","0","3","2024/02/29 12:00:00","1003","0","10044"
"1","1011","2024/08/16 11:59:59","0","0","1","2024/08/15 15:00:00","1001","0","10045"
"2","1011","2024/08/16 11:59:59","2015009","0","2","2024/08/15 15:00:00","1002","0","10046"
"3","1011","2024/08/16 11:59:59","2201005","0","3","2024/08/15 15:00:00","1003","0","10047"
"1","1011","2024/08/21 11:59:59","0","0","1","2024/08/16 12:00:00","1004","0","10048"
"2","1011","2024/08/21 11:59:59","2015009","0","2","2024/08/16 12:00:00","1004","0","10049"
"3","1011","2024/08/21 11:59:59","2201005","0","3","2024/08/16 12:00:00","1004","0","10050"
"1","1011","2024/08/31 11:59:59","0","0","1","2024/08/21 12:00:00","1001","0","10051"
"2","1011","2024/08/31 11:59:59","2015009","0","2","2024/08/21 12:00:00","1002","0","10052"
"1","0","2025/02/14 23:59:59","0","0","1","2024/08/31 12:00:00","1001","0","10053"
"2","0","2025/02/14 23:59:59","2015009","0","2","2024/08/31 12:00:00","1002","0","10054"
"3","1011","2024/08/31 11:59:59","2201005","0","3","2024/08/21 12:00:00","1003","0","10055"
"3","0","2025/02/14 23:59:59","2201005","0","3","2024/08/31 12:00:00","1003","0","10056"
"1","0","2025/02/15 14:59:59","0","0","1","2025/01/31 12:00:00","1005","0","10057"
"2","0","2025/02/15 14:59:59","2015009","0","2","2025/01/31 12:00:00","1005","0","10058"
"3","0","2025/02/15 14:59:59","2201005","0","3","2025/01/31 12:00:00","1005","0","10059"
"1","1012","2025/02/23 4:59:59","0","1007","1","2025/02/15 15:00:00","1005","1007","10060"
"2","1012","2025/02/23 4:59:59","2015009","1007","2","2025/02/15 15:00:00","1005","1007","10061"
"3","1012","2025/02/23 4:59:59","2201005","1007","3","2025/02/15 15:00:00","1005","1007","10062"
"1","1012","2025/02/28 11:59:59","0","1007","1","2025/02/23 5:00:00","1001","1007","10063"
"2","1012","2025/02/28 11:59:59","2015009","1007","2","2025/02/23 5:00:00","1002","1007","10064"
"3","1012","2025/02/28 11:59:59","2201005","1007","3","2025/02/23 5:00:00","1003","1007","10065"
"1","0","2025/08/15 14:59:59","0","0","1","2025/02/28 12:00:00","1001","0","10066"
"2","0","2025/08/15 14:59:59","2015009","0","2","2025/02/28 12:00:00","1002","0","10067"
"3","0","2025/08/15 14:59:59","2201005","0","3","2025/02/28 12:00:00","1003","0","10068"
