04076d0cc61da97315dffdee9d0428b30a2f34cbb45dc273c9bf85a1066449f8,5f470699314bbf9311f8f0d23f4922c23f1b56af23513f651b1960e36f1bc1d0,e19d9c2c2801b890f60d6ee4846c3a6a21bfb0e3153c9376a2abc9217628e8e3,7eba49ec61a697e671147a49fc546c6b0375bb6e023ce8e5e33a40af2c6ae59c,ca72cb5d07bb29eeca0b9551b79f1bca61274e72eae2d70bdf302da503bd3de3,8907b8207cfe73ffe2cadb8ee6e865b6109b3764da39bac332b225a8df161fd5,0ee89d40b2a56e5320843b72c0f481ef58f622b7f683b427c34b80aad35848ee,e87ba2e8ad8ab2e116328146168052df14d7b8dbdb6291e3ce7d8858f90d42a4,8b128d1fdd9c8cb61e1a36319d3c5d3bafc0a360b7e6bf49452d43288abb311c,7f1f9fc79798b55d64c2851fb740c95d9ea0babb64cbbbaf582d28526ddff7b3,d3ee9db1672e18b928aafa5a94b6f554950c0a8f83c501987d3f4b8c5c0baca8,37c81b0fe75b5db5e08d7ebd2a5667aeb85119c27ae499fbc2192d9d7dba16ec,9fa15c701b110c8c8e4e8a9b6becce0363ab963168edf10257a41ae0990682e2,3c87d18a41056d3a95e79545f4e78483c05b8ff596ccd0a73bb4e958e66c48e9,589dc61e498c18f80f86d42e8a5340d9edcab7b1e962de0a949653fccfe74998,acc39d84c95b41d029a9ba0b1ca2dddf728f09358dd6a3af19393d3ae172f489,2302757ffa4bcc7b950daf0de7866204fe7a97ebe6635bc9545a774a6821165d,f45be70ceeeba5bd9cc80c4b1d9f15920bf299c5eb6f8db41cbf2d4d0f98d2ab,bab694064ad5b34a0771247e36d3df533cea03803fe0a47dedc663459060d1ce
"250","8","4","25001","2","30","140001","12","1","94002","2","91002","3000","90008","5","32007","3","1","750000"
"3500","2","2","94002","12","35","90005","0","1000000","0","4","90008","15","140001","5","32007","3","1","0"
"4000","2","2","94002","12","40","25001","0","1000000","0","4","90008","5","140001","1","32007","4","1","0"
"4500","2","2","94002","12","45","90005","0","2000000","0","4","90008","15","140001","5","32007","4","1","0"
"5000","2","2","94002","12","50","25001","0","2000000","0","4","90008","5","140001","1","32007","4","1","0"
"500","2","2","94002","12","5","90005","0","500000","0","4","90008","15","140001","10","32008","1","1","0"
"100","8","4","25001","2","10","140001","12","1","94002","2","91002","1","21951","5","32008","1","1","500000"
"1000","2","2","94002","12","15","90005","0","750000","0","4","90008","15","140001","5","32008","2","1","0"
"150","8","2","94002","12","20","25001","0","750000","0","4","91002","5","140001","1","32008","2","1","0"
"1500","2","2","94002","12","25","90005","0","750000","0","4","90008","15","140001","5","32008","2","1","0"
"250","8","4","25001","2","30","140001","12","1","94002","2","91002","3000","90008","5","32008","3","1","750000"
"3500","2","2","94002","12","35","90005","0","1000000","0","4","90008","15","140001","5","32008","3","1","0"
"4000","2","2","94002","12","40","25001","0","1000000","0","4","90008","5","140001","1","32008","4","1","0"
"4500","2","2","94002","12","45","90005","0","2000000","0","4","90008","15","140001","5","32008","4","1","0"
"5000","2","2","94002","12","50","25001","0","2000000","0","4","90008","5","140001","1","32008","4","1","0"
"500","2","2","94002","12","5","90005","0","500000","0","4","90008","15","140001","10","32009","1","1","0"
"100","8","4","25001","2","10","140001","12","1","94002","2","91002","1","21951","5","32009","1","1","500000"
"1000","2","2","94002","12","15","90005","0","750000","0","4","90008","15","140001","5","32009","2","1","0"
"150","8","2","94002","12","20","25001","0","750000","0","4","91002","5","140001","1","32009","2","1","0"
"1500","2","2","94002","12","25","90005","0","750000","0","4","90008","15","140001","5","32009","2","1","0"
"250","8","4","25001","2","30","140001","12","1","94002","2","91002","3000","90008","5","32009","3","1","750000"
"3500","2","2","94002","12","35","90005","0","1000000","0","4","90008","15","140001","5","32009","3","1","0"
"4000","2","2","94002","12","40","25001","0","1000000","0","4","90008","5","140001","1","32009","4","1","0"
"4500","2","2","94002","12","45","90005","0","2000000","0","4","90008","15","140001","5","32009","4","1","0"
"5000","2","2","94002","12","50","25001","0","2000000","0","4","90008","5","140001","1","32009","4","1","0"
"500","2","2","94002","12","5","90005","0","500000","0","4","90008","15","140001","10","32010","1","1","0"
"100","8","4","25001","2","10","140001","12","1","94002","2","91002","1","21951","5","32010","1","1","500000"
"1000","2","2","94002","12","15","90005","0","750000","0","4","90008","15","140001","5","32010","2","1","0"
"150","8","2","94002","12","20","25001","0","750000","0","4","91002","5","140001","1","32010","2","1","0"
"1500","2","2","94002","12","25","90005","0","750000","0","4","90008","15","140001","5","32010","2","1","0"
"250","8","4","25001","2","30","140001","12","1","94002","2","91002","3000","90008","5","32010","3","1","750000"
"1","18","4","90005","2","35","140001","12","5","94002","2","4101401","3500","90008","15","32010","3","1","1000000"
"4000","2","2","94002","12","40","25001","0","1000000","0","4","90008","5","140001","1","32010","4","1","0"
"1","18","4","90005","2","45","140001","12","5","94002","2","4109401","4500","90008","15","32010","4","1","2000000"
"5000","2","2","94002","12","50","25001","0","2000000","0","4","90008","5","140001","1","32010","4","1","0"
