e209a10d3bd843113ffaabdd389beb1f337fbf2920a5d5252cf9e5afe71ca0a7,4a30afb5f54d3e8a5c33043a55edbf5b12bc34265360d448d7f7ddc2e5e80da9,5df0eed02b81c6052519ba13fee1eef2303e4027c455b6da6a3e3aec712e6279,5df0fd1e64ea367227e964791c2d4d812ef3c1a3ec25c4c6a68c37bd4d3eefd7,fe843597b215c79b0104b72c4b4aa9dab6e7fd4845df3f5e32e84c708506643a,bf5a55dec761328583c437bc7ce28b2db48e57ae1f9bdd052dc86e53a001b042,66a4afca0efcb4e4102a9844fa22d5e86b873a2e8da5d90437276d44a7bcb7fb,263046820464ac81b7cef25d8411edac4d5ce4dad1350f8f92c64aa59cf55836,0e8c024f3323b5aef520882ffa102c3c2e46c1d86161d9b86c3fe95c26f5dc02,e7f537bef1169fff820aa862c0f2089559dd316aceee42a2d7e55195730ae70b,ca0f309c3097591cb218fb2e899172d99c8c339968a87a63058e25542053c07f,31ca23fc3ca9964d2e66f4f1f6cd387468bd564c7c130cb648b5f911639b83ed,8b2502abda53aed4f36ebe6eb05a7cb6f9be372fc7f88cca097cf3ad914c33eb,93047e16a00c80bd33d1c324b49ff38bf080ed66fce87dcb006cdc5a5b65e641,a1971dcb562f85c582f472b1094b8b341fa167dab47ccec3e8cf181551ebf439,ed7fd79ded091c3497dd826dbcce47e5bf794760e8a1029cbe1919e68c33e0e9,caa96aa754d1e0389d26df3a2f9557036adb1efd8eb904e1e348b250fdc21c0a,135c5616c891401cbc901253659f646d4f8a03db741c72ef35e3e7eafc05b7ab,ad33867486f3ad2da44110b0148ab058db710e39bf8f15a5f9e605bd8573e97a,cfdbb049e18a3cdc156052d086567d67110be25836be458ca88e16582184f10e,bc6f02618534acc49cf7717785783fea6449bc852ba81e34848ba0d6db6b945b
"SpeedTerritoryB","TrapA","1049","NONE","500","3500","TrapA","1000","0","WholeCake","3000","2500","NONE","JumpOverTrap","NONE","0","0","NONE","AccelBoardA","0","2000"
"JumpOverTrap","JumpOverTrap","1050","NONE","600","3600","JumpOverTrap","1200","0","JumpOverTrap","3000","2400","NONE","JumpOverTrap","NONE","0","0","NONE","JumpOverTrap","0","1800"
"JumpBoard","NONE","1051","NONE","500","0","NONE","1300","0","JumpBoard","0","3000","NONE","JumpBoard","NONE","0","0","NONE","JumpBoard","0","2200"
"JumpBoard","NONE","1052","NONE","300","0","NONE","1200","0","JumpBoard","0","3500","NONE","SpeedTerritoryA","NONE","0","0","NONE","JumpBoard","0","2100"
"JumpOverTrap","TrapA","1053","NONE","600","3600","TrapA","1200","0","JumpOverTrap","3000","2400","NONE","TrapA","NONE","0","0","NONE","JumpOverTrap","0","1800"
"JumpBoard","NONE","1054","NONE","500","0","NONE","0","0","NONE","0","0","NONE","NONE","NONE","0","0","NONE","NONE","0","0"
"JumpBoard","NONE","1055","NONE","300","0","NONE","1200","0","JumpBoard","0","3500","NONE","EnemyB","NONE","0","0","NONE","JumpBoard","0","2100"
"JumpOverTrap","TrapA","1056","NONE","600","3600","JumpOverTrap","1200","0","JumpOverTrap","3000","2400","NONE","JumpOverTrap","NONE","0","0","NONE","JumpOverTrap","0","1800"
"JumpBoard","NONE","1057","NONE","500","0","NONE","1500","0","JumpBoard","0","0","NONE","NONE","NONE","0","0","NONE","JumpBoard","0","2500"
"JumpBoard","NONE","1058","NONE","300","0","NONE","1200","0","JumpBoard","0","3500","NONE","EnemyD","NONE","0","0","NONE","JumpBoard","0","2100"
"JumpOverTrap","TrapA","1059","NONE","600","3600","TrapA","1200","0","JumpOverTrap","3000","2400","NONE","JumpOverTrap","NONE","0","0","NONE","JumpOverTrap","0","1800"
"JumpBoard","NONE","1060","NONE","1300","0","NONE","2500","0","JumpBoard","0","0","NONE","NONE","NONE","0","0","NONE","NONE","0","0"
"JumpBoard","NONE","1061","NONE","300","0","NONE","1200","0","JumpBoard","0","3500","NONE","JumpOverEnemyB","NONE","0","0","NONE","JumpBoard","0","2100"
"EnemyH","NONE","1062","NONE","500","0","JumpOverTrap","1200","0","TrapA","3300","2600","NONE","JumpOverTrap","NONE","0","0","NONE","AccelBoardA","0","1800"
"JumpBoard","NONE","1063","NONE","700","0","NONE","2300","0","SpeedTerritoryB","0","0","NONE","NONE","NONE","0","0","NONE","AccelBoardA","0","3300"
"SpeedTerritoryB","EnemyI","1064","NONE","600","2800","StoneFlyingItem","1200","0","Onigiri","2400","2000","StoneFlyingItem","EnemyB","NONE","0","3200","NONE","StoneFlyingItem","0","1600"
"EnemyH","EnemyA","1065","EnemyI","400","2400","StoneFlyingItem","800","0","TrapA","2000","1600","StoneFlyingItem","EnemyB","EnemyI","3600","2800","NONE","Onigiri","3200","1200"
"JumpBoard","EnemyD","1066","NONE","400","2800","EnemyB","800","0","EnemyA_NoColl","2400","2000","EnemyI","Onigiri","EnemyI","0","3200","NONE","EnemyI","3600","1600"
"AccelBoardA","EnemyB","1067","NONE","400","3200","Onigiri","1100","0","AccelBoardA","2800","2400","EnemyA","SpeedTerritoryA","NONE","0","3600","NONE","AccelBoardA","0","1800"
"WholeCake","NONE","1068","NONE","300","0","NONE","1300","0","WholeCake","0","2700","NONE","Onigiri","NONE","0","0","NONE","WholeCake","0","2000"
"WholeCake","NONE","1069","NONE","300","0","NONE","1200","0","WholeCake","0","3200","NONE","WholeCake","NONE","0","0","NONE","WholeCake","0","2200"
"WholeCake","NONE","1070","NONE","300","0","NONE","1150","0","WholeCake","0","2550","NONE","Onigiri","NONE","0","0","NONE","WholeCake","0","1850"
"WholeCake","NONE","1071","NONE","300","0","NONE","1000","0","WholeCake","0","2400","NONE","Onigiri","NONE","0","0","NONE","WholeCake","0","1700"
"TrapA","NONE","1072","NONE","400","0","NONE","800","0","SpeedTerritoryB","0","1600","NONE","WholeCake","NONE","0","0","NONE","EnemyA","0","1200"
"TrapA","NONE","1073","NONE","400","0","NONE","800","0","SpeedTerritoryB","0","1600","NONE","Balloon","NONE","0","0","NONE","EnemyC","0","1200"
"TrapA","NONE","1074","NONE","400","0","NONE","800","0","SpeedTerritoryB","0","1600","NONE","JumpBoard","NONE","0","0","NONE","EnemyD","0","1200"
"TrapA","NONE","1075","NONE","400","0","NONE","800","0","SpeedTerritoryB","0","1600","NONE","Onigiri","NONE","0","0","NONE","EnemyH","0","1200"
"EnemyH","StoneFlyingItem","1076","NONE","400","3000","EnemyB","800","0","JumpOverEnemyC","2400","1800","EnemyI","Onigiri","NONE","0","3600","NONE","EnemyB","0","1200"
"SpeedTerritoryA","EnemyB","1077","NONE","400","3200","EnemyD","800","0","WholeCake","2600","2000","EnemyI","Onigiri","NONE","0","3600","NONE","SpeedTerritoryA","0","1600"
"Surf","EnemyI","1078","NONE","400","3600","JumpOverTrap","800","0","StoneFlyingItem","2800","2000","NONE","EnemyI","NONE","0","3600","NONE","EnemyC","0","1600"
"TrapA","StoneFlyingItem","1079","NONE","400","2400","StoneFlyingItem","800","0","JumpOverTrap","2000","1600","EnemyC","Surf","NONE","0","2800","NONE","TrapA","0","1200"
"JumpBoard","Surf","1080","EnemyC","400","2000","EnemyD","700","0","EnemyA_NoColl","1600","1300","EnemyC","EnemyC","StoneFlyingItem","3200","2400","NONE","TrapA_NoCall","2800","1000"
"EnemyA","TrapA","1081","NONE","400","2800","EnemyC","800","0","Surf","2000","1600","JumpOverTrap","EnemyC","NONE","0","3600","NONE","StoneFlyingItem","0","1200"
"SurfB","EnemyC","1082","NONE","400","3200","EnemyC","800","0","StoneFlyingItem","2400","2000","JumpOverTrap","SurfB","NONE","0","3600","NONE","TrapA","0","1600"
"SpeedTerritoryA","EnemyD","1083","NONE","400","2600","Surf","800","0","SurfB","2000","1800","StoneFlyingItem","EnemyC","EnemyI","0","3000","NONE","StoneFlyingItem","3400","1100"
"Surf","EnemyI","1084","NONE","300","2800","SurfB","800","0","EnemyB","2500","1800","EnemyD","EnemyD","NONE","0","3600","NONE","StoneFlyingItem","0","1500"
"SurfB","EnemyI","1085","NONE","300","2800","SurfB","800","0","EnemyB","2500","1800","EnemyD","EnemyD","NONE","0","3600","NONE","JumpOverTrap","0","1500"
"Surf","EnemyI","1086","NONE","300","2800","SurfB","800","0","EnemyB","2500","1800","JumpOverTrap","EnemyD","NONE","0","3600","NONE","StoneFlyingItem","0","1500"
"Surf","EnemyI","1087","NONE","300","2800","SurfB","800","0","EnemyB","2500","1800","TrapA","EnemyD","NONE","0","3600","NONE","StoneFlyingItem","0","1500"
"Carpet500","NONE","1088","NONE","400","0","NONE","0","0","NONE","0","0","NONE","NONE","NONE","0","0","NONE","NONE","0","0"
"EnemyA","JumpOverTrap","1089","NONE","500","3000","AccelBoardA","1000","0","EnemyC","2600","2100","JumpOverEnemyA","JumpOverTrap","NONE","0","3500","NONE","TrapA","0","1500"
"TrapA","EnemyD","1090","NONE","400","2800","EnemyC","900","0","SpeedTerritoryA","2300","1900","TrapA","AccelBoardA","NONE","0","3300","NONE","JumpOverEnemyA","0","1500"
"WholeCake","NONE","1091","NONE","500","0","EnemyA","1500","0","TrapA","3200","2700","NONE","EnemyC","NONE","0","0","NONE","EnemyA","0","2200"
"JumpOverTrap","TrapA","1092","NONE","600","3300","SpeedTerritoryA","1100","0","EnemyA","2600","2200","NONE","JumpOverEnemyA","NONE","0","0","NONE","TrapA","0","1700"
"Surf","EnemyD","1093","NONE","500","3400","EnemyI","900","0","EnemyB","3000","2600","NONE","Onigiri","NONE","0","0","NONE","StoneFlyingItem","0","1500"
"EnemyD","EnemyD","1094","NONE","400","3400","EnemyI","800","0","JumpOverTrap","2700","2000","NONE","EnemyB","NONE","0","0","NONE","Onigiri","0","1300"
"TrapA","StoneFlyingItem","1095","NONE","500","3300","EnemyD","1000","0","WholeCake","2800","2300","NONE","Onigiri","NONE","0","0","NONE","SpeedTerritoryA","0","1900"
"JumpOverEnemyA","EnemyD","1096","NONE","400","3500","StoneFlyingItem","900","0","JumpBoard","3000","2500","NONE","Onigiri","NONE","0","0","NONE","EnemyC","0","1800"
"EnemyA","EnemyC","1097","NONE","400","3000","AccelBoardA","800","0","SpeedTerritoryA","2200","1900","EnemyA","EnemyD","NONE","0","3400","NONE","AccelBoardA","0","1400"
"TrapA","EnemyC","1098","NONE","500","3000","EnemyD","900","0","AccelBoardA","2400","1900","TrapA","TrapA","NONE","0","3300","NONE","EnemyC","0","1500"
"EnemyC","EnemyC","1099","NONE","400","3000","EnemyA","800","0","TrapA","2500","1900","NONE","AccelBoardA","NONE","0","0","NONE","EnemyD","0","1400"
"EnemyA","TrapA","1100","NONE","500","3000","EnemyH","900","0","TrapA","2300","1900","EnemyC","SpeedTerritoryA","NONE","0","3400","NONE","AccelBoardA","0","1300"
"EnemyA","TrapA","1101","NONE","600","3300","EnemyC","1000","0","TrapA","2700","2100","NONE","EnemyC","NONE","0","0","NONE","SpeedTerritoryA","0","1600"
"TrapA","TrapA","1102","NONE","500","2700","EnemyD","900","0","EnemyA","2300","1900","EnemyA","EnemyC","EnemyC","0","3000","NONE","AccelBoardA","3400","1500"
"EnemyC","SpeedTerritoryA","1103","NONE","600","3300","EnemyC","1100","0","EnemyD","2800","1900","EnemyD","SpeedTerritoryA","NONE","0","3600","NONE","TrapA","0","1500"
"TrapA","EnemyA","1104","NONE","600","2600","AccelBoardA","1000","0","EnemyH","2200","1800","SpeedTerritoryA","EnemyA","EnemyD","0","2900","NONE","TrapA","3300","1400"
"JumpOverEnemyA","JumpOverEnemyC","1105","NONE","500","2800","EnemyH","1000","0","JumpOverEnemyD","2400","1900","EnemyH","EnemyA","EnemyA","0","3100","NONE","EnemyD","3500","1500"
"JumpOverEnemyC","EnemyH","1106","NONE","500","3100","JumpOverEnemyB","900","0","EnemyA","2500","2000","EnemyD","EnemyH","NONE","0","3500","NONE","JumpOverEnemyB","0","1500"
"EnemyA","JumpOverEnemyB","1107","NONE","600","3400","EnemyA","1200","0","JumpOverEnemyC","2800","2300","NONE","JumpOverEnemyA","NONE","0","0","NONE","JumpOverEnemyC","0","1800"
"JumpOverEnemyB","EnemyC","1108","NONE","500","3500","EnemyA","1000","0","EnemyH","2900","2400","NONE","JumpOverEnemyC","NONE","0","0","NONE","JumpOverEnemyA","0","1700"
"SurfC","NONE","8001","NONE","700","0","EnemyI","1000","0","StoneFlyingItem","3000","2000","NONE","EnemyI","NONE","0","0","NONE","EnemyC","0","1300"
"SurfC","NONE","8002","NONE","700","0","EnemyI","1000","0","EnemyA","3000","2000","NONE","EnemyA","NONE","0","0","NONE","EnemyB","0","1300"
"SurfB","SpeedTerritoryA","8003","NONE","300","2500","JumpOverTrap","1300","0","EnemyA","2200","1900","SpeedTerritoryB","TrapA","AccelBoardA","0","2800","NONE","JumpOverEnemyA","3100","1600"
"SurfB","WholeCake","8004","NONE","300","3200","WarpGateA","1300","0","JumpBoard","2200","1800","NONE","SpeedTerritoryA_NoColl","NONE","0","0","NONE","EnemyA_NoColl","0","1600"
"SurfB","NONE","8005","NONE","300","0","NONE","1300","0","Balloon","0","2400","NONE","SpeedTerritoryA_NoColl","NONE","0","0","NONE","EnemyA_NoColl","0","2000"
"NONE","SpeedTerritoryA","8006","SurfB","0","1500","JumpOverTrap","300","0","EnemyA","1200","900","SpeedTerritoryB","TrapA","AccelBoardA","3000","1800","NONE","JumpOverEnemyA","2100","600"
"NONE","WholeCake","8007","NONE","0","2200","WarpGateA","300","0","JumpBoard","1200","800","SurfB","SpeedTerritoryA_NoColl","NONE","0","3000","NONE","EnemyA_NoColl","0","600"
"NONE","NONE","8008","NONE","0","0","SurfB","300","0","Balloon","3000","1300","NONE","SpeedTerritoryA_NoColl","NONE","0","0","NONE","EnemyA_NoColl","0","1000"
"NONE","NONE","8009","NONE","0","0","NONE","300","0","NONE","3000","1300","NONE","NONE","NONE","0","0","NONE","NONE","0","1000"
"AccelBoardA","NONE","9990","NONE","500","0","NONE","1000","0","AccelBoardA","0","3100","NONE","JumpBoard","NONE","0","0","NONE","WarpGateA","0","2000"
"AccelBoardA","NONE","9991","NONE","500","3000","EnemyB","800","0","TrapA","2500","2000","NONE","JumpOverEnemyB","NONE","0","0","NONE","TrapA","0","1300"
"AccelBoardA","TrapA","9992","NONE","500","3300","AccelBoardA","1100","0","EnemyD","2800","2100","NONE","EnemyB","NONE","0","0","NONE","JumpOverEnemyB","0","1400"
"AccelBoardA","EnemyA","9993","NONE","500","3300","EnemyC","1200","0","JumpOverEnemyA","3000","2500","EnemyA","AccelBoardA","NONE","0","3600","NONE","EnemyA","0","2000"
"WholeCake","AccelBoardA","9994","NONE","300","3000","AccelBoardA","1000","0","AccelBoardA","2500","2000","NONE","AccelBoardA","NONE","0","0","NONE","AccelBoardA","0","1500"
"JumpOverEnemyA","JumpOverEnemyA","9995","NONE","500","3000","JumpOverTrap","900","0","EnemyB","2600","1700","NONE","SpeedTerritoryA","NONE","0","0","NONE","JumpOverTrap","0","1400"
"JumpOverEnemyB","NONE","9996","NONE","400","0","NONE","700","0","WarpGateA","0","2700","NONE","AccelBoardA","NONE","0","0","NONE","AccelBoardA","0","1900"
"Onigiri","NONE","9997","NONE","400","0","StoneFlyingItem","700","0","StoneFlyingItem","3600","2700","NONE","StoneFlyingItem","NONE","0","0","NONE","EnemyA","0","1900"
