ababf45a32f314ff2630510e91d7e2b520291d281714dc93ca7024132b4b5839,f272dbd4260613d9a1821ff999d6f404112644d96f2219dd0d4c8a72e9019761,47bd596422f28692d2ef3fa6fcdc71613979f0cbec9adf65eae3b121d226371f,17c3f74aa228d197afc5b7ba4ebf627659b2a236be00379af2c1c2db7b937b6a,c165c49bc3e6960a4d43ed9dfd7478689815278743f555239bb8f47db0c08866,d85a59b54fcd72a501eb872c1c5a94c92417ceb030105cfb718e48e9d7c2a763,89d217e4134c2e6a3f12ca625cf5c17b00b628c2f17319f96b50649c21a32d16,7f16e974c284692e2e7fb8fdc9caf3c8e0aea8ad6ce37b92e8c76cb505f0d6df,e07b5ca06562e1a8192253e5c688c36f7064c44c764460bf6083a3779b41f22c,8c2e420605f9af3834bfb2aaa398a908b6e107dcdceb462561977fa97d60cdf6,0234666dd4e82b350f696f099b587ff90976134ca9c0e43883c57ab6527feca1
"61031","sad_idle_dere_shy","","","","0.5","3","","1","106011","5146061"
"61032","sad_idle_dere_shy","","","","0.5","3","","1","1060","5146061"
"61033","vo_apg_0102","0","","","","21","","0","vo_apg","5146061"
"61034","0102_in","","","","0","3","","0","201","5146061"
"61035","1","","","","","93","","","4.6","5146061"
"61036","0102_mid","","","","0","3","","0","201","5146061"
"61037","","","","","","92","","","","5146061"
"61038","0102_out","","","","0","3","","0","201","5146061"
"61039","0","","","","","93","","","0.2","5146061"
"61040","kyaru_smile_in","kyaru_smile_idle","1","","0.2","3","0","0","106011","5146061"
"61041","kyaru_smile_in","kyaru_smile_idle","1","","0.2","3","0","0","1060","5146061"
"61042","vo_apg_0103","0","","","","21","","0","vo_apg","5146061"
"61043","0103_in","","","","0","3","","0","201","5146061"
"61044","1","","","","","93","","","5.4","5146061"
"61045","0103_mid","","","","0","3","","0","201","5146061"
"61046","","","","","","92","","","","5146061"
"61047","0103_out","","","","0","3","","0","201","5146061"
"61048","0","","","","","93","","","0.2","5146061"
"61049","fade105_out","","","","","37","","","2","5146061"
"61050","1","","","","","4","","","105811","5146061"
"61051","1","","","","","4","","","1058","5146061"
"61052","surprise_talk","","","","0.2","3","","1","105811","5146061"
"61053","surprise_talk","","","","0.2","3","","1","1058","5146061"
"61054","vo_apg_0104","0","","","","21","","0","vo_apg","5146061"
"61055","……キャルちゃん、\n写真写りたくないんですかね…？","1","1","0","0","11","0","10","105811","5146061"
"61056","","","","","","91","","","0","5146061"
"61057","surprise_idle_talk1R","","","","0.2","3","","1","105811","5146061"
"61058","surprise_idle_talk1R","","","","0.2","3","","1","1058","5146061"
"61059","kokkoro_surprise_talk","","","","0.2","3","","1","105911","5146061"
"61060","kokkoro_surprise_talk","","","","0.2","3","","1","1059","5146061"
"61061","vo_apg_0105","0","","","","21","","0","vo_apg","5146061"
"61062","はい。\nどうやらそのようでございます","1","1","0","0","11","0","10","105911","5146061"
"61063","","","","","","91","","","0","5146061"
"61064","kokkoro_idle_normal","","","","0.2","3","","1","105911","5146061"
"61065","kokkoro_idle_normal","","","","0.2","3","","1","1059","5146061"
"61066","idle_normal_talk1R","","","","0.2","3","","1","105811","5146061"
"61067","idle_normal_talk1R","","","","0.2","3","","1","1058","5146061"
"61068","0","","","","","4","","","105811","5146061"
"61069","0","","","","","4","","","1058","5146061"
"61070","1","","","","","4","","","106011","5146061"
"61071","1","","","","","4","","","1060","5146061"
"61072","cool_in_sing_shy","cool_talk_sing_shy","1","","0.2","3","0","0","106011","5146061"
"61073","cool_in_sing_shy","cool_talk_sing_shy","1","","0.2","3","0","0","1060","5146061"
"61074","vo_apg_0106","0","","","","21","","0","vo_apg","5146061"
"61075","ほら、さっさと乗るわよー\nはーやだやだ…ふふふ","1","1","0","0","11","0","10","106011","5146061"
"61076","","","","","","91","","","0","5146061"
"61077","0","","","","","22","","","0","5146061"
"61078","walk_kyapi_shy","","","","0.2","3","","1","106011","5146061"
"61079","walk_kyapi_shy","","","","0.2","3","","1","1060","5146061"
"61080","walk_furimuki","","","","0.2","3","","1","105811","5146061"
"61081","walk_furimuki","","","","0.2","3","","1","1058","5146061"
"61082","kokkoro_walk_surprise","","","","0.2","3","","1","105911","5146061"
"61083","kokkoro_walk_surprise","","","","0.2","3","","1","1059","5146061"
"61084","149","2","0","","","2","","-278","106011","5146061"
"61085","149","2","0","","","2","","-278","1060","5146061"
"61086","-54","2","0","","","2","","-278","105811","5146061"
"61087","-54","2","0","","","2","","-278","1058","5146061"
"61088","-214","2","0","","","2","","-288","105911","5146061"
"61089","-214","2","0","","","2","","-288","1059","5146061"
"61090","0","","","","","93","","","1","5146061"
"61091","iris_in","","","","","37","","","2","5146061"
"61092","0","","","","","93","","","2","5146061"
"61093","se_10055900_coaster_02","","","","","23","","1","se_10055900","5146061"
"61094","1","","","","","32","","","10","5146061"
"61095","30","","","","","122","","0.5","30","5146061"
"61096","vo_apg_0107","0","","","","21","","0","vo_apg","5146061"
"61097","0107_in","","","","0","3","","0","202","5146061"
"61098","1","","","","","93","","","0.7","5146061"
"61099","0107_mid","","","","0","3","","0","202","5146061"
"61100","","","","","","92","","","","5146061"
"61101","0107_out","","","","0","3","","0","202","5146061"
"61102","0","","","","","93","","","0.2","5146061"
"61103","0","0","0","","","2","","-211","202","5146061"
"61104","30","","","","","122","","0.5","30","5146061"
"61105","vo_apg_0108","0","","","","21","","0","vo_apg","5146061"
"61106","0108_in","","","","0","3","","0","203","5146061"
"61107","1","","","","","93","","","0.8","5146061"
"61108","0108_mid","","","","0","3","","0","203","5146061"
"61109","","","","","","92","","","","5146061"
"61110","0108_out","","","","0","3","","0","203","5146061"
"61111","0","","","","","93","","","0.2","5146061"
"61112","315","0","0","","","2","","16","201","5146061"
"61113","30","","","","","122","","0.5","30","5146061"
"61114","vo_apg_0109","0","","","","21","","0","vo_apg","5146061"
"61115","0109_in","","","","0","3","","0","201","5146061"
"61116","1","","","","","93","","","1.1","5146061"
"61117","0109_mid","","","","0","3","","0","201","5146061"
"61118","","","","","","92","","","","5146061"
"61119","0109_out","","","","0","3","","0","201","5146061"
"61120","0","","","","","93","","","0.2","5146061"
"61121","30","","","","","122","","0.5","30","5146061"
"61122","vo_apg_0110","0","","","","21","","0","vo_apg","5146061"
"61123","0107_in","","","","0","3","","0","202","5146061"
"61124","0108_in","","","","0","3","","0","203","5146061"
"61125","0109_in","","","","0","3","","0","201","5146061"
"61126","1","","","","","93","","","1.1","5146061"
"61127","0107_mid","","","","0","3","","0","202","5146061"
"61128","0108_mid","","","","0","3","","0","203","5146061"
"61129","0109_mid","","","","0","3","","0","201","5146061"
"61130","","","","","","92","","","","5146061"
"61131","0107_out","","","","0","3","","0","202","5146061"
"61132","0108_out","","","","0","3","","0","203","5146061"
"61133","0109_out","","","","0","3","","0","201","5146061"
"61134","0","","","","","93","","","0.2","5146061"
"61135","216","0","0","","","2","","0","201","5146061"
"61136","vo_apg_0111","0","","","","21","","0","vo_apg","5146061"
"61137","0111_in","","","","0","3","","0","201","5146061"
"61138","1","","","","","93","","","1.8","5146061"
"61139","0111_mid","","","","0","3","","0","201","5146061"
"61140","","","","","","92","","","","5146061"
"61141","0111_out","","","","0","3","","0","201","5146061"
"61142","0","","","","","93","","","0.2","5146061"
"61143","0","","","","","22","","","0","5146061"
"61144","","","","","","93","","","0.5","5146061"
"61145","1","","","","","32","","","11","5146061"
"61146","se_10055900_camera","","","","","23","","0","se_10055900","5146061"
"61147","0","","","","","93","","","0.2","5146061"
"61148","0","","","","","32","","","10","5146061"
"61149","0","","","","","93","","","1.8","5146061"
"61150","0.5","","","","","24","","","se_10055900_coaster_02","5146061"
"61151","iris_out","","","","","37","","","2","5146061"
"61152","129","0","0","","","2","","-278","106011","5146061"
"61153","129","0","0","","","2","","-278","1060","5146061"
"61154","-34","0","0","","","2","","-278","105811","5146061"
"61155","-34","0","0","","","2","","-278","1058","5146061"
"61156","-194","0","0","","","2","","-288","105911","5146061"
"61157","-194","0","0","","","2","","-288","1059","5146061"
"61158","walk_normal_dere2","","","","0.2","3","","1","106011","5146061"
"61159","walk_normal_dere2","","","","0.2","3","","1","1060","5146061"
"61160","walk_normal_joy","","","","0.2","3","","1","105811","5146061"
"61161","walk_normal_joy","","","","0.2","3","","1","1058","5146061"
"61162","kokkoro_walk_normal_dere","","","","0.2","3","","1","105911","5146061"
"61163","kokkoro_walk_normal_dere","","","","0.2","3","","1","1059","5146061"
"61164","290","2","0","","","2","","-278","106011","5146061"
"61165","290","2","0","","","2","","-278","1060","5146061"
"61166","-225","2","0","","","2","","-278","105811","5146061"
"61167","-225","2","0","","","2","","-278","1058","5146061"
"61168","-385","2","0","","","2","","-288","105911","5146061"
"61169","-385","2","0","","","2","","-288","1059","5146061"
"61170","0","","","","","4","","","106011","5146061"
"61171","0","","","","","4","","","1060","5146061"
"61172","1","","","","","4","","","105811","5146061"
"61173","1","","","","","4","","","1058","5146061"
"61174","1","","","","","4","","","105911","5146061"
"61175","1","","","","","4","","","1059","5146061"
"61176","0","","","","","93","","","2","5146061"
"61177","1","","","","","4","","","106011","5146061"
"61178","1","","","","","4","","","1060","5146061"
"61179","0","","","","","4","","","105811","5146061"
"61180","0","","","","","4","","","1058","5146061"
"61181","0","","","","","4","","","105911","5146061"
"61182","0","","","","","4","","","1059","5146061"
"61183","joy_idle_doya_shy","","","","0.2","3","","1","106011","5146061"
"61184","joy_idle_doya_shy","","","","0.2","3","","1","1060","5146061"
"61185","idle_normal","","","","0.2","3","","1","105811","5146061"
"61186","idle_normal","","","","0.2","3","","1","1058","5146061"
"61187","kokkoro_idle_normal_joy","","","","0.2","3","","1","105911","5146061"
"61188","kokkoro_idle_normal_joy","","","","0.2","3","","1","1059","5146061"
"61189","0","","","","","93","","","0.3","5146061"
"61190","jump_short","guts2_talk_joy","1","","0.2","3","0.2","0","105811","5146061"
"61191","jump_short","guts2_talk_joy","1","","0.2","3","0.2","0","1058","5146061"
"61192","vo_apg_0112","0","","","","21","","0","vo_apg","5146061"
"61193","はぁ～♪\n楽しかったですねー☆","1","1","0","0","11","0","10","105811","5146061"
"61194","","","","","","91","","","0","5146061"
"61195","idle_normal","","","","0.2","3","","1","105811","5146061"
"61196","idle_normal","","","","0.2","3","","1","1058","5146061"
"61197","kokkoro_talk_normal","","","","0.2","3","","1","105911","5146061"
"61198","kokkoro_talk_normal","","","","0.2","3","","1","1059","5146061"
"61199","vo_apg_0113","0","","","","21","","0","vo_apg","5146061"
"61200","みなさま。\nお写真が\n仕上がったみたいです","1","1","0","0","11","0","10","105911","5146061"
"61201","","","","","","91","","","0","5146061"
"61202","kokkoro_idle_normal_joy","","","","0.2","3","","1","105911","5146061"
"61203","kokkoro_idle_normal_joy","","","","0.2","3","","1","1059","5146061"
"61204","armcrossed_in_dere_shy","armcrossed_talk_dere_shy","1","","0.2","3","0","0","106011","5146061"
"61205","armcrossed_in_dere_shy","armcrossed_talk_dere_shy","1","","0.2","3","0","0","1060","5146061"
"61206","vo_apg_0114","0","","","","21","","0","vo_apg","5146061"
"61207","は～最悪。\n…ま、どんなもんか\n一応見てやるけど♪","1","1","0","0","11","0","10","106011","5146061"
"61208","","","","","","91","","","0","5146061"
"61209","0","","","","","22","","","0","5146061"
"61210","armcrossed_idle_anger_lookup","","","","0.2","3","","0","106011","5146061"
"61211","armcrossed_idle_anger_lookup","","","","0.2","3","","0","1060","5146061"
"61212","idle_normal_lookup","","","","0.2","3","","1","105811","5146061"
"61213","idle_normal_lookup","","","","0.2","3","","1","1058","5146061"
"61214","kokkoro_wish_idle_joy_lookup","","","","0.2","3","","1","105911","5146061"
"61215","kokkoro_wish_idle_joy_lookup","","","","0.2","3","","1","1059","5146061"
"61216","coaster_1_in","","","","0","3","","0","21","5146061"
"61217","se_10055900_photo","","","","","23","","0","se_10055900","5146061"
"61218","0","","","","","93","","","2.3","5146061"
"61219","idle_normal_surprise","","","","0.2","3","","1","105811","5146061"
"61220","idle_normal_surprise","","","","0.2","3","","1","1058","5146061"
"61221","kokkoro_idle_normal_surprise","","","","0.2","3","","1","105911","5146061"
"61222","kokkoro_idle_normal_surprise","","","","0.2","3","","1","1059","5146061"
"61223","pointing_in_noface","pointing_loop_noface","1","","0.2","3","0","0","106011","5146061"
"61224","pointing_in_kyaru","pointing_loop_kyaru","1","","0.2","3","0","0","1060","5146061"
"61225","vo_apg_0115","0","","","","21","","0","vo_apg","5146061"
"61226","ってなによこれーっ！！！\nあたし写ってないじゃない！！？","1","1","0","0","11","0","10","106011","5146061"
"61227","1","","","","","93","","","0.5","5146061"
"61228","30","","","","","122","","0.5","30","5146061"
"61229","","","","","","91","","","61226","5146061"
"61230","surprise_talk","","","","0.2","3","","1","105811","5146061"
"61231","surprise_talk","","","","0.2","3","","1","1058","5146061"
"61232","vo_apg_0116","0","","","","21","","0","vo_apg","5146061"
"61233","……へ？\nキャルちゃんほんとは\n写りたかったんですか？","1","1","0","0","11","0","10","105811","5146061"
"61234","","","","","","91","","","0","5146061"
"61235","idle_normal_talk1R","","","","0.2","3","","1","105811","5146061"
"61236","idle_normal_talk1R","","","","0.2","3","","1","1058","5146061"
"61237","kokkoro_sad_talk","","","","0.2","3","","1","105911","5146061"
"61238","kokkoro_sad_talk","","","","0.2","3","","1","1059","5146061"
"61239","vo_apg_0117","0","","","","21","","0","vo_apg","5146061"
"61240","写りたくないのではと思って\nキャルさまを隠しましたが。\n余計なお世話だったみたいです","1","1","0","0","11","0","10","105911","5146061"
"61241","","","","","","91","","","0","5146061"
"61242","kokkoro_idle_normal","","","","0.2","3","","1","105911","5146061"
"61243","kokkoro_idle_normal","","","","0.2","3","","1","1059","5146061"
"61244","shock_in_shy_red","shock_loop_shy_red","1","","0.2","3","0","0","106011","5146061"
"61245","shock_in_shy_red","shock_loop_shy_red","1","","0.2","3","0","0","1060","5146061"
"61246","vo_apg_0118","0","","","","21","","0","vo_apg","5146061"
"61247","い…いやそういう訳じゃ\nないけどっ！！？","1","1","0","0","11","0","10","106011","5146061"
"61248","","","","","","91","","","0","5146061"
"61249","coaster_1_out","","","","0","3","","0","21","5146061"
"61250","kokkoro_idle_normal_joy","","","","0.2","3","0.2","1","105911","5146061"
"61251","kokkoro_idle_normal_joy","","","","0.2","3","0.2","1","1059","5146061"
"61252","joy_talk","","","","0.2","3","0.2","1","105811","5146061"
"61253","joy_talk","","","","0.2","3","0.2","1","1058","5146061"
"61254","vo_apg_0119","0","","","","21","","0","vo_apg","5146061"
"61255","なんだ♪\nじゃあもう一回乗りましょー♪","1","1","0","0","11","0","10","105811","5146061"
"61256","","","","","","91","","","0","5146061"
"61257","joy_idle","","","","0.2","3","","1","105811","5146061"
"61258","joy_idle","","","","0.2","3","","1","1058","5146061"
"61259","kokkoro_wish_talk_normal2","","","","0.2","3","","1","105911","5146061"
"61260","kokkoro_wish_talk_normal2","","","","0.2","3","","1","1059","5146061"
"61261","vo_apg_0120","0","","","","21","","0","vo_apg","5146061"
"61262","はい、そういたしましょう♪","1","1","0","0","11","0","10","105911","5146061"
"61263","","","","","","91","","","0","5146061"
"61264","0","","","","","22","","","0","5146061"
"61265","kokkoro_wish_idle_joy","","","","0.2","3","","1","105911","5146061"
"61266","kokkoro_wish_idle_joy","","","","0.2","3","","1","1059","5146061"
"61267","anger_talk_anger2_red","","","","0.2","3","","1","106011","5146061"
"61268","anger_talk_anger2_red","","","","0.2","3","","1","1060","5146061"
"61269","2","0","0","0","0","12","0","2","106011","5146061"
"61270","10","0","0","0","0","12","0","2","105811","5146061"
"61271","10","0","0","0","0","12","0","2","105911","5146061"
"61272","0","","","","","93","","","2","5146061"
"61273","","","","","","101","","","61274","5146061"
"61274","0.2","","","","","22","","","0","5146061"
"62001","100911","-290","-278","idle_normal","1.8","1","0","103","1","5146062"
"62002","1009","-290","-278","idle_normal","1.8","5","0","104","3","5146062"
"62003","131011","290","-278","idle_normal","1.8","1","1","100","1","5146062"
"62004","203","","","","","13","","","100911","5146062"
"62005","200","","","","","13","","","131011","5146062"
"62006","7","0","-174","idle","0.85","5","0","15","7","5146062"
"62007","20","-132","71","empty","1","5","0","210","20","5146062"
"62008","22","0","-42","empty","1","5","0","210","22","5146062"
"62009","21","0","153","empty","1","5","0","60","21","5146062"
"62010","1","0","1","","1","31","","0","1","5146062"
"62011","2","-57.7","1","","0","31","","0","2","5146062"
"62012","10","0","1","","0","31","","0","10","5146062"
"62013","11","0","1","","0","31","","0","11","5146062"
"62014","14","-278","1","","0","31","","-290","14","5146062"
"62015","20","0","1","","1","31","","0","20","5146062"
"62016","100911","","","","","36","","","20","5146062"
"62017","20","","","","","36","","","20","5146062"
"62018","22","","","","","36","","","20","5146062"
"62019","0","","","","","91","","","0","5146062"
"62020","0","","","","","102","","0","0","5146062"
"62021","0","","","","","93","","","1","5146062"
"62022","cool_in_dere","cool_talk_dere","1","","0.2","3","0","0","100911","5146062"
"62023","cool_in_dere","cool_talk_dere","1","","0.2","3","0","0","1009","5146062"
"62024","vo_apg_0201","0","","","","21","","0","vo_apg","5146062"
"62025","いざ征かん、極滅禁断秘儀へ！\nさあ、案内を頼むぞ！","1","1","0","0","11","0","10","100911","5146062"
"62026","","","","","","91","","","0","5146062"
"62027","cool_idle","","","","0.2","3","","1","100911","5146062"
"62028","cool_idle","","","","0.2","3","","1","1009","5146062"
"62029","wish_talk_joy","","","","0.2","3","","1","131011","5146062"
"62030","vo_apg_0202","0","","","","21","","0","vo_apg","5146062"
"62031","アンナはんが興味持って\nくれるなんてうれしいわ～\nしっかり案内させてもらいます","1","1","0","0","11","0","10","131011","5146062"
"62032","","","","","","91","","","0","5146062"
"62033","wish_idle","","","","0.2","3","","1","131011","5146062"
"62034","anna_armcrossed","sad_talk","1","","0.2","3","0.2","0","100911","5146062"
"62035","anna_armcrossed","sad_talk","1","","0.2","3","0.2","0","1009","5146062"
"62036","vo_apg_0203","0","","","","21","","0","vo_apg","5146062"
"62037","うむ！　シグルドたちも\n挑んだというその試練、この冥姫も…\nって、え？　\nこれ、もしかして絶叫系…？","1","1","0","0","11","0","10","100911","5146062"
"62038","","","","","","91","","","0","5146062"
"62039","sad_idle","","","","0.2","3","","1","100911","5146062"
"62040","sad_idle","","","","0.2","3","","1","1009","5146062"
"62041","maho_talk_normal","surprise_talk","1","","0.2","3","0.2","0","131011","5146062"
"62042","vo_apg_0204","0","","","","21","","0","vo_apg","5146062"
"62043","このパークの大人気\nアトラクションなんよ～\nあら？　どないしはりました？\n顔色が良くないような…","1","1","0","0","11","0","10","131011","5146062"
"62044","","","","","","91","","","0","5146062"
"62045","surprise_idle","","","","0.2","3","","1","131011","5146062"
"62046","anger_talk_shy","","","","0.2","3","","1","100911","5146062"
"62047","anger_talk_shy","","","","0.2","3","","1","1009","5146062"
"62048","vo_apg_0205","0","","","","21","","0","vo_apg","5146062"
"62049","べべべ、別に　お、怯えてなぞ…\nまったくもって、一向に構わぬが？","1","1","0","0","11","0","10","100911","5146062"
"62050","","","","","","91","","","0","5146062"
"62051","anger_idle_shy","","","","0.2","3","","1","100911","5146062"
"62052","anger_idle_shy","","","","0.2","3","","1","1009","5146062"
"62053","worry_talk","","","","0.2","3","","1","131011","5146062"
"62054","vo_apg_0206","0","","","","21","","0","vo_apg","5146062"
"62055","せやけど、無理はせん方が\nええんとちゃいます？","1","1","0","0","11","0","10","131011","5146062"
"62056","","","","","","91","","","0","5146062"
"62057","wish_idle_shy","","","","0.2","3","","1","131011","5146062"
"62058","anger_talk_pain","","","","0.2","3","","1","100911","5146062"
"62059","anger_talk_pain","","","","0.2","3","","1","1009","5146062"
"62060","vo_apg_0207","0","","","","21","","0","vo_apg","5146062"
"62061","ええい！　か、構わんと言っている！\nここまで案内させて引くわけには…\nいくぞ！　突撃だーーーー！","1","1","0","0","11","0","10","100911","5146062"
"62062","","","","","","91","","","0","5146062"
"62063","0","","","","","22","","","0","5146062"
"62064","run_dash_anger2","","","","0.2","3","","1","100911","5146062"
"62065","run_dash_anger2","","","","0.2","3","","1","1009","5146062"
"62066","walk_surprise","","","","0.2","3","","1","131011","5146062"
"62067","-129","2","0","","","2","","-278","100911","5146062"
"62068","-129","2","0","","","2","","-278","1009","5146062"
"62069","129","2","0","","","2","","-278","131011","5146062"
"62070","1","","","","","32","","","14","5146062"
"62071","left","","","","","37","","","14","5146062"
"62072","-129","2","0","","","33","","-278","14","5146062"
"62073","0","","","","","93","","","1","5146062"
"62074","1","","","","","32","","","2","5146062"
"62075","0","","","","","93","","","1.5","5146062"
"62076","0","","","","","32","","","14","5146062"
"62077","0","0","0","","","2","","-331","100911","5146062"
"62078","scale15","","","","","37","","","20","5146062"
"62079","se_10055900_coaster_01","","","","","23","","1","se_10055900","5146062"
"62080","vo_apg_0208","0","","","","21","","0","vo_apg","5146062"
"62081","0208_in","","","","0","3","","0","22","5146062"
"62082","1","","","","","93","","","3.3","5146062"
"62083","0208_mid","","","","0","3","","0","22","5146062"
"62084","","","","","","92","","","","5146062"
"62085","0208_out","","","","0","3","","0","22","5146062"
"62086","0","","","","","93","","","0.2","5146062"
"62087","0","","","","","93","","","0.3","5146062"
"62088","scale1","","","","","37","","","20","5146062"
"62089","1","","","","","32","","","10","5146062"
"62090","0.5","","","","","24","","","se_10055900_coaster_01","5146062"
"62091","se_10055900_coaster_02","","","","","23","","1","se_10055900","5146062"
"62092","0","0","0","","","2","","0","20","5146062"
"62093","30","","","","","122","","0.5","30","5146062"
"62094","vo_apg_0209","0","","","","21","","0","vo_apg","5146062"
"62095","0209_in","","","","0","3","","0","20","5146062"
"62096","1","","","","","93","","","2.6","5146062"
"62097","0209_mid","","","","0","3","","0","20","5146062"
"62098","","","","","","92","","","","5146062"
"62099","0209_out","","","","0","3","","0","20","5146062"
"62100","0","","","","","93","","","0.2","5146062"
"62101","30","","","","","122","","1","30","5146062"
"62102","vo_apg_0210","0","","","","21","","0","vo_apg","5146062"
"62103","0210_in","","","","0","3","","0","20","5146062"
"62104","1","","","","","93","","","2.7","5146062"
"62105","0210_mid","","","","0","3","","0","20","5146062"
"62106","","","","","","92","","","","5146062"
"62107","0210_out","","","","0","3","","0","20","5146062"
"62108","0","","","","","93","","","0.2","5146062"
"62109","0","","","","","22","","","0","5146062"
"62110","empty","","","","0","3","","1","20","5146062"
"62111","","","","","","93","","","1","5146062"
"62112","1","","","","","32","","","11","5146062"
"62113","se_10055900_camera","","","","","23","","0","se_10055900","5146062"
"62114","0","","","","","93","","","0.2","5146062"
"62115","0","","","","","32","","","10","5146062"
"62116","0","","","","","93","","","1.8","5146062"
"62117","0.5","","","","","24","","","se_10055900_coaster_02","5146062"
"62118","iris_out","","","","","37","","","2","5146062"
"62119","-129","0","0","","","2","","-278","100911","5146062"
"62120","-129","0","0","","","2","","-278","1009","5146062"
"62121","129","0","0","","","2","","-278","131011","5146062"
"62122","anna_walk","","","","0.2","3","","1","100911","5146062"
"62123","anna_walk","","","","0.2","3","","1","1009","5146062"
"62124","walk_normal_joy","","","","0.2","3","","1","131011","5146062"
"62125","-290","2","0","","","2","","-278","100911","5146062"
"62126","-290","2","0","","","2","","-278","1009","5146062"
"62127","290","2","0","","","2","","-278","131011","5146062"
"62128","1","","","","","4","","","100911","5146062"
"62129","1","","","","","4","","","1009","5146062"
"62130","0","","","","","4","","","131011","5146062"
"62131","0","","","","","93","","","2","5146062"
"62132","0","","","","","4","","","100911","5146062"
"62133","0","","","","","4","","","1009","5146062"
"62134","1","","","","","4","","","131011","5146062"
"62135","anna_idle","","","","0.2","3","","1","100911","5146062"
"62136","anna_idle","","0","","0.2","3","","1","1009","5146062"
"62137","idle_normal","","","","0.2","3","","1","131011","5146062"
"62138","0","","","","","93","","","0.5","5146062"
"62139","talk_normal_surprise","","","","0.2","3","","1","131011","5146062"
"62140","vo_apg_0211","0","","","","21","","0","vo_apg","5146062"
"62141","どないでした？\nえらい声出してはったけど","1","1","0","0","11","0","10","131011","5146062"
"62142","","","","","","91","","","0","5146062"
"62143","idle_normal_surprise","","","","0.2","3","","1","131011","5146062"
"62144","anna_kukuku_in","anna_kukuku_loop","1","","0.2","3","0","0","100911","5146062"
"62145","anna_kukuku_in","anna_kukuku_loop","1","","0.2","3","0","0","1009","5146062"
"62146","vo_apg_0212","0","","","","21","","0","vo_apg","5146062"
"62147","ふ、ふふふ…シグルドよ…\n私にも、刻が…見える！","1","1","0","20","11","0","10","100911","5146062"
"62148","","","","","","91","","","0","5146062"
"62149","coaster_2_in","","","","0","3","","0","21","5146062"
"62150","se_10055900_photo","","","","","23","","0","se_10055900","5146062"
"62151","0","","","","","93","","","0.1","5146062"
"62152","anna_ahaha_in","anna_ahaha_loop","1","","0.2","3","0","0","100911","5146062"
"62153","anna_ahaha_in","anna_ahaha_loop","1","","0.2","3","0","0","1009","5146062"
"62154","vo_apg_0213","0","","","","21","","0","vo_apg","5146062"
"62155","今、冥姫は\n疾風を追い越した！","1","1","0","-30","11","0","10","100911","5146062"
"62156","","","","","","91","","","0","5146062"
"62157","wish_talk_joy","","","","0.2","3","","1","131011","5146062"
