cc8386b3a386fce07dbc2c51acb98dbd60664351d98bb15d86a842dde3ba244e,e5e098dd54d749c9b4bfb6347225359aab7d7b3361e2c17974a88b1e19e78406,66735f8b2170b8ad4f38a9b88e64994c096c1d6ff52240b2a4818422aa0aeae4,ec6f766bb1744a4809841284de35aad1c340615ee0c32719b51906df20cf2cf2,78fd9cf43d1c4bde96cb8a5afe300c8bee938202e74bc9a492f68fd208f5d21a,11fd7a17ed933b63a55f5d9c0e7c82a72a0a575b3d2dc03f28f88a234645e6c0
"上喜 しのぶ","古城","4","103101","0","500260"
"藤堂 秋乃","メルクリウス財団 拠点","4","103201","0","500070"
"野戸まひる","牧場 拠点","9","103301","0","500150"
"綾瀬 ゆかり","メルクリウス財団 拠点","4","103401","0","500070"
"氷川 鏡華","プラノ平原","1","103601","0","500140"
"御久間 智","ランドソル 王城入口","2","103701","0","500090"
"柏崎 栞","牧場 拠点","2","103801","0","500150"
"双葉 碧","エルフの森","2","104001","0","500180"
"三角 千歌","ランドソル 市街地","4","104201","0","500010"
"安芸 真琴","自警団 拠点","2","104301","0","500060"
"イリヤ・オーンスタイン","古城","4","104401","0","500260"
"遠見 空花","プラノ平原","4","104501","0","500140"
"宮坂たまき","メルクリウス財団 拠点","3","104601","0","500070"
"白銀 純","ランドソル 王城入口","1","104701","0","500090"
"大神 美冬","メルクリウス財団 拠点","2","104801","0","500070"
"星野静流","ランドソル 繁華街","4","104901","0","500030"
"玉泉美咲","ルーセント学院","2","105001","0","500080"
"宵ヶ浜 深月","ランドソル 飲食店内","6","105101","0","500050"
"リマ","牧場 拠点","9","105201","0","500150"
"モニカ・ヴァイスヴィント","プラノ平原","2","105301","0","500140"
"繭宮つむぎ","ランドソル 市街地","9","105401","0","500010"
"石橋あゆみ","プラノ平原","15","105501","0","500140"
"太刀洗流夏","ランドソル 飲食店内","3","105601","0","500050"
"ジータ","ブリザ渓谷","4","105701","0","500200"
"ペコリーヌ","エステレラ街道","3","105801","0","500130"
"コッコロ","エステレラ街道","2","105901","0","500130"
"キャル","エステレラ街道","3","106001","0","500130"
"ムイミ","ラビリンスギルド拠点","20","106101","0","500341"
"アリサ","ミステリオン森林","3","106301","0","500170"
"シェフィ","美食殿 ギルドハウス","2","106401","0","500361"
"カヤ","密林_テント","4","106501","0","500833"
"イノリ","密林_テント","4","106601","0","500833"
"ホマレ","ホマレの部屋","2","106701","0","501320"
"模索路晶","ランドソル 繁華街","18","106801","0","500030"
"カイザーインサイト","ランドソル王城_玉座の間","2","106901","0","500100"
"ネネカ","ラビリンスギルド拠点","2","107001","0","500341"
"クリスティーナ・モーガン","ランドソル 王城入口","2","107101","0","500090"
"ペコリーヌ（サマー）","マルジェン海岸_昼","4","107501","0","500164"
"コッコロ（サマー）","マルジェン海岸_昼","4","107601","0","500164"
"スズメ（サマー）","マルジェン海岸_昼","4","107701","0","500164"
"キャル（サマー）","マルジェン海岸_昼","6","107801","0","500164"
"タマキ（サマー）","無人島","2","107901","0","500284"
"ミフユ（サマー）","無人島","2","108001","0","500284"
"シノブ（ハロウィン）","古城 ハロウィン","4","108101","0","500264"
"ミヤコ（ハロウィン）","古城 ハロウィン","4","108201","0","500264"
"ミサキ（ハロウィン）","ランドソル 繁華街 ハロウィン","2","108301","0","505030"
"チカ（クリスマス）","サレンディア救護院_広間_クリスマス","2","108401","0","500114"
"クルミ（クリスマス）","サレンディア救護院_広間_クリスマス","4","108501","0","500114"
"アヤネ（クリスマス）","サレンディア救護院_広間_クリスマス","4","108601","0","500114"
"ヒヨリ（ニューイヤー）","お正月神殿","4","108701","0","500553"
"ユイ（ニューイヤー）","お正月神殿","4","108801","0","500553"
"レイ（ニューイヤー）","お正月神殿","2","108901","0","500553"
"エリコ（バレンタイン）","キッチンスタジアム","4","109001","0","500600"
"シズル（バレンタイン）","キッチンスタジアム","4","109101","0","500600"
"アン","エステレラ街道","2","109201","0","500133"
"ルゥ","エステレラ街道","4","109301","0","500133"
"グレア","エステレラ街道","4","109401","0","500133"
"クウカ（オーエド）","オーエド横丁","4","109501","0","500650"
"ニノン（オーエド）","オーエド横丁","2","109601","0","500650"
"レム","ミステリオン森林","2","109701","0","500175"
"ラム","ミステリオン森林","12","109801","0","500175"
"エミリア","ミステリオン森林","2","109901","0","500175"
"スズナ（サマー）","海_ステージ","4","110001","0","500683"
"イオ（サマー）","海_ステージ","2","110101","0","500683"
"サレン（サマー）","マルジェン海岸_昼","2","110301","0","500164"
"マコト（サマー）","琉球風の海岸","6","110401","0","500710"
"カオリ（サマー）","琉球風の海岸","4","110501","0","500710"
"マホ（サマー）","琉球風の海岸","4","110601","0","500710"
"アオイ（編入生）","聖テレサ女学院_正門","2","110701","0","500730"
"クロエ","聖テレサ女学院_正門","2","110801","0","500730"
"チエル","聖テレサ女学院_正門","2","110901","0","500730"
"ユニ","聖テレサ女学院_正門","4","111001","0","500730"
"キョウカ（ハロウィン）","屋敷_メインホール","2","111101","0","500811"
"ミソギ（ハロウィン）","屋敷_メインホール","4","111201","0","500811"
"ミミ（ハロウィン）","屋敷_メインホール","4","111301","0","500811"
"ルナ","ミステリオン森林","4","111401","0","500175"
"クリスティーナ（クリスマス）","ランドソル_繁華街_クリスマス_夜","4","111501","0","500038"
"ノゾミ（クリスマス）","ランドソル_繁華街_クリスマス_夜","4","111601","0","500038"
"イリヤ（クリスマス）","ランドソル_繁華街_クリスマス_夜","4","111701","0","500038"
"ぺコリーヌ（ニューイヤー）","ランドソル_繁華街_駅伝","2","111801","0","500910"
"コッコロ（ニューイヤー）","ランドソル_繁華街_駅伝","2","111901","0","500910"
"キャル（ニューイヤー）","ランドソル_繁華街_駅伝","6","112001","0","500910"
"スズメ（ニューイヤー）","ランドソル_繁華街_駅伝","2","112101","0","500910"
"カスミ（マジカル）","ランドソル_市街地_昼","2","112201","0","500010"
"シオリ（マジカル）","ランドソル_市街地_昼","2","112301","0","500010"
"ウヅキ（デレマス）","ムーサの町_昼","4","112401","0","500920"
"リン（デレマス）","ムーサの町_昼","2","112501","0","500920"
"ミオ（デレマス）","ムーサの町_昼","4","112601","0","500920"
"リン（レンジャー）","牧場 昼","2","112701","0","500995"
"マヒル（レンジャー）","牧場 昼","2","112801","0","500995"
"リノ（ワンダー）","本の世界_平原","4","112901","0","501000"
"アユミ（ワンダー）","本の世界_平原","2","113001","0","501000"
"ルカ（サマー）","ウィッシュビーチ","6","113101","0","501030"
"アンナ（サマー）","ウィッシュビーチ","4","113201","0","501030"
"ナナカ（サマー）","ウィッシュビーチ","4","113301","0","501030"
"ハツネ（サマー）","ビーチグラウンド","4","113401","0","501100"
"ミサト（サマー）","ビーチグラウンド","4","113501","0","501100"
"ジュン（サマー）","マルジェン海岸_昼","2","113601","0","500164"
"アカリ（エンジェル）","ランドソル_市街地_昼","4","113701","0","500010"
"ヨリ（エンジェル）","ランドソル_市街地_昼","2","113801","0","500010"
"ツムギ（ハロウィン）","ハロウィンパーク_昼","4","113901","0","501130"
"レイ（ハロウィン）","ハロウィンパーク_昼","3","114001","0","501130"
"マツリ（ハロウィン）","ハロウィンパーク_昼","4","114101","0","501130"
"モニカ（マジカル）","ランドソル_市街地_昼","4","114201","0","500010"
"トモ（マジカル）","ランドソル_市街地_昼","2","114301","0","500010"
"アキノ（クリスマス）","舞台_クリスマス_昼","4","114401","0","500874"
"サレン（クリスマス）","舞台_クリスマス_昼","2","114501","0","500874"
"ユカリ（クリスマス）","舞台_クリスマス_昼","2","114601","0","500874"
"ムイミ（ニューイヤー）","オーマの町_昼","4","114701","0","501162"
"ネネカ（ニューイヤー）","オーマの町_昼","2","115001","0","501162"
"コッコロ（儀装束）","プラノ平原","4","115501","0","500140"
"ユイ（儀装束）","プラノ平原","17","115601","0","500140"
"カスミ（サマー）","マルジェン海岸_昼","4","115701","0","500160"
"リマ（シンデレラ）","エステレラ街道","4","115801","0","500130"
"マコト（シンデレラ）","エステレラ街道","4","115901","0","500130"
"マホ（シンデレラ）","自警団 拠点","4","116001","0","500060"
"クロエ（聖学祭）","聖テレサ女学院_正門_聖学祭","2","116201","0","500732"
"チエル（聖学祭）","聖テレサ女学院_正門_聖学祭","2","116301","0","500732"
"ユニ（聖学祭）","聖テレサ女学院_正門_聖学祭","4","116401","0","500732"
"イノリ（タイムトラベル）","ランドソル_市街地_昼","18","116501","0","500010"
"カヤ（タイムトラベル）","ランドソル_市街地_昼","4","116601","0","500010"
"アオイ（作業服）","おもちゃ工場","4","116701","0","501340"
"タマキ（作業服）","おもちゃ工場","4","116801","0","501340"
"ミフユ（作業服）","おもちゃ工場","2","116901","0","501340"
"エリコ（サマー）","マルジェン海岸_昼","4","117001","0","500160"
"シズル（サマー）","マルジェン海岸_昼","4","117101","0","500160"
"ノゾミ（サマー）","サマーフェス会場","4","117201","0","501363"
"チカ（サマー）","サマーフェス会場","2","117301","0","501363"
"ツムギ（サマー）","サマーフェス会場","4","117401","0","501363"
"ミツキ（オーエド）","オーエド_診察室_昼","6","117501","0","501380"
"ユキ（オーエド）","オーエド_診察室_昼","4","117601","0","501380"
"カオリ（ハロウィン）","ランドソル_繁華街_ハロウィン_夜","4","117701","0","505035"
"ニノン（ハロウィン）","ランドソル_繁華街_ハロウィン_夜","4","117801","0","505035"
"スズナ（ハロウィン）","ランドソル_繁華街_ハロウィン_夜","4","117901","0","505035"
"クレジッタ","ランドソル_王城周辺_執務室","4","118001","0","501070"
"ランファ","レイジ・レギオン拠点","4","118101","0","501040"
"ミソラ","レイジ・レギオン拠点","4","118201","0","501040"
"カリン","ランドソル_お役所","4","118501","0","500371"
"ネビア","美食殿_ギルドハウス","4","118601","0","500360"
"イオ（ノワール）","ノワールのアジト","4","119001","0","501450"
"クウカ（ノワール）","ノワールのアジト","4","119101","0","501450"
"マヒル（クリスマス）","牧場_雪_昼","4","119201","0","500863"
"リノ（クリスマス）","ランドソル_繁華街_クリスマス_昼","4","119301","0","500036"
"ミヤコ（クリスマス）","ランドソル_繁華街_クリスマス_夜","4","119901","0","500038"
"シズル（ノワール）","ノワールのアジト","2","120001","0","501450"
"シェフィ（ニューイヤー）","美食殿_ギルドハウス_外観_お正月","2","120701","0","501480"
"ルカ（ニューイヤー）","参道_昼","3","120801","0","500560"
"イリヤ（ニューイヤー）","古城","4","120901","0","500260"
"ぺコリーヌ（オーバーロード）","美食殿 ギルドハウス","3","121001","0","500361"
"キャル（オーバーロード）","美食殿 ギルドハウス","2","121101","0","500361"
"ラビリスタ（オーバーロード）","ラビリンスギルド拠点","3","121201","0","500341"
"クルミ（ステージ）","牧場_温泉施設_舞台","2","121301","0","501510"
"ミサキ（ステージ）","サレンディア救護院_物産展","2","121401","0","500354"
"アユミ（怪盗）","ランドソル_市街地_夜","18","121501","0","500012"
"イノリ（怪盗）","路地裏_夜","20","121601","0","500892"
"アンナ（パイレーツ）","船の甲板","2","121901","0","500843"
"シノブ（パイレーツ）","船の甲板","20","122001","0","500843"
"アオイ（キャンプ）","キャンプ場_昼","20","122101","0","501590"
"ユカリ（キャンプ）","キャンプ場_昼","2","122201","0","501590"
"ヴァンピィ","プラノ平原","4","122301","0","500140"
"ヒヨリ（サマー）","リゾートビーチ_昼","4","122401","0","501610"
"レイ（サマー）","リゾートビーチ_昼","2","122501","0","501610"
"ユイ（サマー）","リゾートビーチ_昼","6","122601","0","501610"
"キョウカ（サマー）","無人島","2","122701","0","500285"
"ミソギ（サマー）","マルジェン海岸_昼","4","122801","0","500160"
"ミミ（サマー）","マルジェン海岸_昼","4","122901","0","500160"
"アメス","ソルの塔_庭園","4","123001","0","500270"
"マホ（エクスプローラー）","密林_テント","4","123101","0","500833"
"アヤネ（エクスプローラー）","密林","4","123201","0","501850"
"ネア","レイジ・レギオン拠点","4","123301","0","501040"
"リン（ハロウィン）","舞台_コンテンツフェス_昼","2","123501","0","501870"
"トモ（ハロウィン）","ランドソル_繁華街_ハロウィン_フェス","2","123601","0","501860"
"ナナカ（ハロウィン）","舞台_コンテンツフェス_昼","4","123701","0","501870"
"クリスティーナ（ワイルド）","ミステリオン森林","2","123801","0","500170"
"マツリ（ワイルド）","ランドソル 王城入口","2","123901","0","500090"
"アカリ（クリスマス）","ランドソル_繁華街_クリスマス_昼","2","124001","0","500036"
"ヨリ（クリスマス）","ランドソル_繁華街_クリスマス_昼","2","124101","0","500036"
"ジュン（クリスマス）","ランドソル_繁華街_クリスマス_昼","2","124201","0","500036"
"ホマレ（ニューイヤー）","オーエド_温泉旅館_客室_昼","2","124501","0","501890"
"ミサト（ニューイヤー）","お正月神殿","4","124601","0","500553"
"ミツキ（ニューイヤー）","オーエド_温泉旅館_客室_昼","2","124701","0","501890"
"ノゾミ（リベレイター）","ランドソル_繁華街_祭_昼","2","124801","0","500033"
"カヤ（リベレイター）","ランドソル_繁華街_祭_昼","4","124901","0","500033"
"ムイミ（リベレイター）","ランドソル_繁華街_祭_昼","2","125001","0","500033"
"タマキ（カフェ）","ランドソル_飲食店内_猫カフェ_昼","4","125101","0","501950"
"モニカ（カフェ）","ランドソル_飲食店内_猫カフェ_昼","2","125201","0","501950"
"コッコロ（レンジャー）","平原_競技場_昼","2","125301","0","501690"
"シオリ（レンジャー）","平原_競技場_昼","20","125401","0","501690"
"ジータ（ウォーロック）","ランドソル_繁華街_祭_昼","4","125501","0","500033"
"ビカラ","ランドソル_繁華街_祭_昼","4","125601","0","500033"
"カリン（アルケミスト）","ランドソル_お役所","2","125701","0","500371"
"リリ（フォールン）","ジオ・テオゴニア_街道_昼","2","125801","0","501670"
"クリア（フォールン）","ジオ・テオゴニア_街道_昼","2","126001","0","501670"
"プレシア（フォールン）","ジオ・テオゴニア_街道_昼","2","126101","0","501670"
"イリヤ（儀装束）","滝壺_夜","20","126201","0","501372"
"ユキ（儀装束）","ランドソル ギルドハウス","4","126301","0","500040"
"クローチェ","ジオ・テオゴニア_平原_昼","4","126401","0","501660"
"ライラエル","ジオ・テオゴニア_キャッスル・オブ・パルフェ_玉座の間_昼","4","126501","0","501720"
"ネネカ（サマー）","海辺の店_夜","2","126601","0","500692"
"アキノ（サマー）","ウィッシュビーチ","4","126701","0","501030"
"ユカリ（サマー）","無人島","4","126801","0","500280"
"ランファ（サマー）","ウィッシュビーチ","2","126901","0","501030"
"クウカ（サマー）","マルジェン海岸_昼","4","127001","0","500160"
"シノブ（サマー）","マルジェン海岸_夜","4","127101","0","500162"
"キャル（編入生）","アンブローズ魔法学園_屋上_昼","2","127201","0","502030"
"スズナ（編入生）","アンブローズ魔法学園_屋上_昼","4","127301","0","502030"
"サレン（サラサリア）","砂漠の国の大通り_昼","2","127501","0","502060"
"ルカ（サラサリア）","滝壺_昼","3","127601","0","501370"
"ペコリーヌ（クリスマス）","ランドソル_繁華街_クリスマス_昼","2","127901","0","500036"
"クレジッタ（クリスマス）","ランドソル_繁華街_クリスマス_昼","2","128001","0","500036"
"イノリ（ニューイヤー）","路地裏_雪_昼","4","128301","0","500893"
"ハツネ（ニューイヤー）","ランドソル_繁華街_お正月_昼","4","128401","0","501470"
"カスミ（ニューイヤー）","ランドソル_繁華街_お正月_昼","18","128501","0","501470"
"ヒヨリ（アストラル）","プラノ平原","2","128701","0","500140"
"レイ（アストラル）","プラノ平原","3","128801","0","500140"
"ユイ（アストラル）","プラノ平原","2","128901","0","500140"
"エリス","花畑","2","129001","0","500510"
"ユニ（ウィンター）","メルクリゾート_プールエリア_昼","2","129301","0","502220"
"クロエ（ウィンター）","メルクリゾート_プールエリア_昼","2","129401","0","502220"
"アネモネ","ジオ・ゲヘナ_ジャングル_夜","2","129601","0","502071"
"ネフィ＝ネラ","ジオ・ゲヘナ_鬼岩城塞_王座の間_昼","2","129701","0","502170"
"マコト（コマンダー）","平原_昼","2","129801","0","501680"
"エリコ（コマンダー）","ランドソル 繁華街","4","129901","0","500030"
"キョウカ（スプリング）","ランドソル_郊外","20","130701","0","500020"
"スズメ（スプリング）","サレンディア救護院_庭","2","130801","0","500351"
"クルル","グランドリームパーク_エントランス_昼","4","130901","0","502270"
"マホ（ドリームパーク）","グランドリームパーク_園内_昼","2","131001","0","502280"
"ネア（サマー）","ウィッシュビーチ","3","131101","0","501030"
"ミソラ（サマー）","海辺の店_昼","4","131201","0","500690"
"リリ（サマー）","海_パラソル_昼","2","131601","0","500163"
"アメス（サマー）","マルジェン海岸_昼","4","131701","0","500160"
"ホマレ（サマー）","無人島","2","131801","0","500285"
"エミリア（サマー）","ウィッシュビーチ","2","131901","0","501030"
"レム（サマー）","マルジェン海岸_昼","2","132101","0","500160"
"ヒヨリ（プリンセス）","エステレラ街道","2","180101","0","500130"
"ユイ（プリンセス）","エステレラ街道","4","180201","0","500130"
"レイ（プリンセス）","エステレラ街道","3","180301","0","500130"
"ぺコリーヌ（プリンセス）","エステレラ街道","4","180401","0","500130"
"コッコロ（プリンセス）","エステレラ街道","2","180501","0","500130"
"キャル（プリンセス）","エステレラ街道","18","180601","0","500130"
"ハツネ＆シオリ","滝壺_昼","2","180701","0","501370"
"ミソギ＆ミミ＆キョウカ","エルフの森_秘密基地","2","180801","0","500194"
"アキノ＆サレン","プラノ平原","2","180901","0","500140"
"アン＆グレア","中腹_昼","2","181001","0","500213"
"シズル＆リノ","ランドソル_市街地_昼","2","181101","0","500010"
"シェフィ（プリンセス）","エステレラ街道","2","181201","0","500130"
