a6b1f8e22bc429071e4d369086ef0074dca16be2839fd277271e6a786954fdd8,5d16ba1afe7c04cded1dd119ffa3b8f0cddbf43e61d6bfc5fadf4d4cc3c0e9cc,8378e747eddcee0f2fbae0943953b040dffd3de0fc755c0c53d1b3ed3455c94a,c11a6bf281d69d0e3070f2130c263eeb5384446ff44c42f5662072d8e808ff5d,9ec649a8f1595ef92ecdd60318e88e708ee0c191cbc07573154a050215a4aa4d,e6dc29382ffdd0b26eb7cc838cc6f0693b43e4bbe23dc3e10dd70fde907f4765,6e7ea8be35d3f2b206fe67b4618aa35f1670ac0c8e7db6d11b255508635c7eeb,eae1ebfbfec90dc6ebd64aa237406fc8fa889601509d7540075956353f570c8e
"16","28502","2025/11/14 15:00:00","2030/08/01 14:59:59","18","1","4302516","28502"
"17","28502","2025/11/14 15:00:00","2030/08/01 14:59:59","18","1","4302517","28502"
"18","28502","2025/11/14 15:00:00","2030/08/01 14:59:59","18","1","4302518","28502"
"19","28502","2025/11/14 15:00:00","2030/08/01 14:59:59","18","1","4302519","28502"
"20","28502","2025/11/14 15:00:00","2030/08/01 14:59:59","18","1","4302520","28502"
"21","28502","2025/11/14 15:00:00","2030/08/01 14:59:59","18","1","4303511","28502"
"22","28502","2025/11/14 15:00:00","2030/08/01 14:59:59","18","1","4303512","28502"
"23","28502","2025/11/14 15:00:00","2030/08/01 14:59:59","18","1","4303513","28502"
"24","28502","2025/11/14 15:00:00","2030/08/01 14:59:59","18","1","4303514","28502"
"25","28502","2025/11/14 15:00:00","2030/08/01 14:59:59","18","1","4303515","28502"
"26","28502","2025/11/14 15:00:00","2030/08/01 14:59:59","18","1","4303516","28502"
"27","28502","2025/11/14 15:00:00","2030/08/01 14:59:59","18","1","4303517","28502"
"28","28502","2025/11/14 15:00:00","2030/08/01 14:59:59","18","1","4303518","28502"
"29","28502","2025/11/14 15:00:00","2030/08/01 14:59:59","18","1","4303519","28502"
"30","28502","2025/11/14 15:00:00","2030/08/01 14:59:59","18","1","4303520","28502"
"31","28502","2025/11/14 15:00:00","2030/08/01 14:59:59","18","1","4304511","28502"
"32","28502","2025/11/14 15:00:00","2030/08/01 14:59:59","18","1","4304512","28502"
"33","28502","2025/11/14 15:00:00","2030/08/01 14:59:59","18","1","4304513","28502"
"34","28502","2025/11/14 15:00:00","2030/08/01 14:59:59","18","1","4304514","28502"
"35","28502","2025/11/14 15:00:00","2030/08/01 14:59:59","18","1","4304515","28502"
"36","28502","2025/11/14 15:00:00","2030/08/01 14:59:59","18","1","4304516","28502"
"37","28502","2025/11/14 15:00:00","2030/08/01 14:59:59","18","1","4304517","28502"
"38","28502","2025/11/14 15:00:00","2030/08/01 14:59:59","18","1","4304518","28502"
"39","28502","2025/11/14 15:00:00","2030/08/01 14:59:59","18","1","4304519","28502"
"40","28502","2025/11/14 15:00:00","2030/08/01 14:59:59","18","1","4304520","28502"
"41","28502","2025/11/14 15:00:00","2030/08/01 14:59:59","18","1","4305511","28502"
"42","28502","2025/11/14 15:00:00","2030/08/01 14:59:59","18","1","4305512","28502"
"43","28502","2025/11/14 15:00:00","2030/08/01 14:59:59","18","1","4305513","28502"
"44","28502","2025/11/14 15:00:00","2030/08/01 14:59:59","18","1","4305514","28502"
"45","28502","2025/11/14 15:00:00","2030/08/01 14:59:59","18","1","4305515","28502"
"46","28502","2025/11/14 15:00:00","2030/08/01 14:59:59","18","1","4305516","28502"
"47","28502","2025/11/14 15:00:00","2030/08/01 14:59:59","18","1","4305517","28502"
"48","28502","2025/11/14 15:00:00","2030/08/01 14:59:59","18","1","4305518","28502"
"49","28502","2025/11/14 15:00:00","2030/08/01 14:59:59","18","1","4305519","28502"
"50","28502","2025/11/14 15:00:00","2030/08/01 14:59:59","18","1","4305520","28502"
"1","28503","2025/08/15 15:00:00","2030/08/01 14:59:59","18","1","4201501","28503"
"2","28503","2025/08/15 15:00:00","2030/08/01 14:59:59","18","1","4202501","28503"
"3","28503","2025/08/15 15:00:00","2030/08/01 14:59:59","18","1","4203501","28503"
"4","28503","2025/08/15 15:00:00","2030/08/01 14:59:59","18","1","4204501","28503"
