fcb5f087687e889fa2424a5caaf4533626663d895432fa094e0b5751b2d246f5,8505509e971e54d08dfb3234d3e18ac86893811a5ec8350104f699780ebf64ea,f939f7b2ec03e7f2c7bcb3c4e4b2f5722b0d6d6535763603376bec6c62bb37f8,a86bb5ffd69a8c066099e42e615a4376fc8a0994e704030d3eb96e114f53efdb,afd3a08b204cb6d6b93304140c69a9a60430ad3bf6775733a694a711ad76866c,77381cf7ba3fef8439d629cb61c06dee801d65731db6c9a91d7e09e99652e78f,3aa6a8f69cf72c780357e750dbd595f351fa19e5210d06ec5adeac1dca8c90d9,e1e8679d04cc2f850936cd8c02675ca80b3946c865fb63f69712533d45a4c60c,a2a9473ce3b97d9a24e1116d7779a7d7633fb54ac5aea731e6a1dd89657491f1,d9df1c707343fec8b7d8fe76a76f1e0bb4c984568cabb0076ddc7f31f0c198f3,45bb20aabfe74a4b1448b222bc6d283cd745ae3331d0caf7ffc9811c004f7c66
"","","","11010055","91","","101","","","","0"
"nyx_idle_sad","0.2","1","11010056","3","","101","","","","103431"
"nyx_talk_joy2","0.2","1","11010057","3","","101","","","","103231"
"面白いですわね！\n何が出てくるか\nワクワクしますわ！","","10","11010058","11","","101","","","","103231"
"","","","11010059","91","","101","","","","0"
"","","","11010060","93","","101","","","","0.4"
"0","","","11010061","4","","101","","","","110931"
"0","","","11010062","4","","101","","","","2"
"nyx_101_chieru_01","0.2","0","11010063","3","","101","","1","nyx_101_chieru_loop","110931"
"nyx_101_chieru_01","0.2","0","11010064","3","","101","","1","nyx_101_chieru_loop","2"
"1","","1","11010065","12","","101","","","","104831"
"nyx_talk_sad","0.2","0","11010066","3","0.2","101","","1","nyx_idle_sad","104831"
"","","","11010067","93","","101","","","","0.4"
"0","","","11010068","32","","101","","","","3"
"1","","","11010069","32","","101","","","","3"
"","","","11010070","93","","101","","","","1.6"
"15","","1","11010071","12","","101","","","","104631"
"nyx_talk_sad","0.2","0","11010072","3","0.2","101","","1","nyx_idle_sad","104631"
"","","","11010073","93","","101","","","","3"
"1","","","11010074","4","","101","","","","110931"
"1","","","11010075","4","","101","","","","2"
"nyx_101_chieru_02","0.2","0","11010076","3","","101","","1","nyx_101_chieru_loop","110931"
"nyx_101_chieru_02","0.2","0","11010077","3","","101","","1","nyx_101_chieru_loop","2"
"10","","1","11010078","12","","101","","","","103231"
"nyx_talk_joy1","0.2","0","11010079","3","0.2","101","","1","nyx_idle_joy1","103231"
"","","","11010080","93","","101","","","","2"
"2","","1","11010081","12","","101","","","","103431"
"nyx_talk_sad","0.2","0","11010082","3","0.2","101","","1","nyx_idle_sad","103431"
"","","","11010083","93","","101","","","","2.5"
"","","","11010084","101","","101","","","","11010060"
"110831","1.35","110","11020001","1","1","102","nyx_102_chloe_01","-209.3","-362","1"
"104831","1.35","110","11020002","1","0","102","nyx_102_mifuyu_01","-182.5","90","1"
"104631","1.35","110","11020003","1","0","102","nyx_idle_normal","-182.5","220","1"
"103231","1.35","110","11020004","1","1","102","nyx_talk_normal","-182.5","336","1"
"103431","1.35","110","11020005","1","1","102","nyx_idle_normal","-182.5","457","1"
"1","1","0","11020006","31","","102","","1","0","1"
"2","1.35","120","11020007","5","0","102","NoItem","-209.3","-362","2"
"bgm_M347","","","11020008","25","","102","","","","bgm_M347"
"","","","11020009","93","","102","","","","2"
"nyx_102_chloe_02","0.2","1","11020010","3","","102","","","","110831"
"次、うちの番か…\nえ、チエルの後って\n何気に不利くない？","","10","11020011","11","","102","","","","110831"
"1","","","11020012","91","","102","","","","0"
"nyx_idle_sad","0.2","1","11020013","3","","102","","","","110831"
"あいつ絶対初見で\nちぇるちぇる言って\n現場冷やしてるし…","","10","11020014","11","","102","","","","110831"
"1","","","11020015","91","","102","","","","0"
"cmn_pose02_def_N","0.2","0","11020016","3","0.2","102","","1","nyx_102_chloe_02","110831"
"ま、いいけど何でも\n…てゆか中の人ら\nダイジョブか？","","10","11020017","11","","102","","","","110831"
"","","","11020018","93","","102","","","","3"
"nyx_idle_normal","0.2","1","11020019","3","","102","","","","103231"
"nyx_talk_sad","0.2","1","11020020","3","","102","","","","104631"
"0","","","11020021","4","","102","","","","110831"
"","","","11020022","91","","102","","","","11020016"
"","","","11020023","93","","102","","","","1"
"nyx_102_chloe_01","0.2","1","11020024","3","","102","","","","110831"
"ちぇる気にやられて\nおかしなことにとか\n…いや、まさかね","","10","11020025","11","","102","","","","110831"
"","","","11020026","93","","102","","","","2.5"
"nyx_102_chloe_03","0.2","0","11020027","3","","102","","1","nyx_102_chloe_03_loop","110831"
"nyx_102_chloe_03","0.2","0","11020028","3","","102","","1","nyx_102_chloe_03_loop","2"
"","","","11020029","91","","102","","","","11020025"
"","","","11020030","93","","102","","","","1"
"ちぇる…ちぇる…","","10","11020031","11","","102","","","","104831"
"","","","11020032","93","","102","","","","1.5"
"1","","0","11020033","4","","102","","","","104631"
"cmn_shock_def_N","0.2","0","11020034","3","0.2","102","","1","nyx_idle_surprise2","104631"
"cmn_shock_def_N","0.2","0","11020035","3","0.2","102","","1","nyx_idle_surprise2","103431"
"nyx_surprise","0.2","0","11020036","3","0.2","102","","1","nyx_idle_surprise1","103231"
"","","","11020037","93","","102","","","","1.5"
"nyx_talk_surprise2","0.2","1","11020038","3","0.2","102","","1","","104631"
"nyx_102_yukari_01","0.2","1","11020039","3","","102","","","","103431"
"ミフユさん！\nしっかりちぇる！\n傷は浅いちぇる！","","10","11020040","11","","102","","","","103431"
"1","","","11020041","91","","102","","","","0"
"cmn_shock_def_N","0.2","0","11020042","3","0.2","102","","1","nyx_102_tamaki_01_loop","103431"
"0","","0","11020043","4","","102","","","","103231"
"0","","0","11020044","4","","102","","","","104631"
"","","","11020045","91","","102","","","","0"
"ダメにゃ…\nミフユもユカリも\n手遅れちぇ…にゃ！","","10","11020046","11","","102","","","","104631"
"","","","11020047","93","","102","","","","2.6"
"nyx_102_tamaki_01","0.2","0","11020048","3","0.2","102","","1","nyx_102_tamaki_01_loop","104631"
"","","","11020049","93","","102","","","","0.1"
"1","","0","11020050","4","","102","","","","103231"
"","","","11020051","93","","102","","","","1.5"
"被害甚大ですわね…\n次の方が普通である\nことを祈りますわ…","","10","11020052","11","","102","","","","103231"
"","","","11020053","91","","102","","","","0"
"","","","11020054","93","","102","","","","1"
"nyx_102_chloe_04","0.2","0","11020055","3","","102","","1","nyx_102_chloe_03_loop","110831"
"nyx_102_chloe_04","0.2","0","11020056","3","","102","","1","nyx_102_chloe_03_loop","2"
"","","","11020057","93","","102","","","","1.5"
"12","","1","11020058","12","","102","","","","110831"
"","","","11020059","93","","102","","","","1"
"1","","1","11020060","12","","102","","","","103431"
"nyx_cmn_01","0.2","0","11020061","3","0.2","102","","1","nyx_cmn_03","103431"
"nyx_idle_worry","0.2","1","11020062","3","0.2","102","","1","","104631"
"","","","11020063","93","","102","","","","2"
"12","","1","11020064","12","","102","","","","104831"
"","","","11020065","93","","102","","","","2"
"10","","1","11020066","12","","102","","","","103231"
"nyx_talk_normal","0.2","0","11020067","3","0.2","102","","1","nyx_idle_normal","103231"
"","","","11020068","93","","102","","","","2"
"2","","1","11020069","12","","102","","","","104631"
"nyx_talk_sad","0.2","0","11020070","3","0.2","102","","1","nyx_idle_worry","104631"
"","","","11020071","93","","102","","","","4"
"1","","","11020072","101","","102","","","","11020055"
"111031","1.35","110","11030001","1","0","103","nyx_103_yuni_01","-209.3","-421","1"
"104831","1.35","110","11030002","1","0","103","nyx_idle_normal","-182.5","121.8","1"
"2","1.35","120","11030003","5","0","103","NoItem","-182.5","121.8","2"
"104631","1.35","110","11030004","1","0","103","nyx_idle_normal","-182.5","227.7","1"
"2","1.35","120","11030005","5","0","103","NoItem","-182.5","227.7","2"
"103231","1.35","110","11030006","1","1","103","nyx_idle_normal","-182.5","340.3","1"
"103431","1.35","110","11030007","1","1","103","nyx_cmn_03","-182.5","449.6","1"
"2","1.35","120","11030008","5","1","103","NoItem","-182.5","449.6","2"
"1","1","0","11030009","31","","103","","1","0","1"
"bgm_M347","","","11030010","25","","103","","","","bgm_M347"
"","","","11030011","93","","103","","","","2"
"nyx_talk_sad","0.2","1","11030012","3","","103","","","","103431"
"プレゼンって\nこんなに\n疲れるものなの…？","","10","11030013","11","","103","","","","103431"
"","","","11030014","91","","103","","","","0"
"nyx_cmn_03","0.2","1","11030015","3","","103","","","","103431"
"nyx_cmn_05","0.2","1","11030016","3","","103","","","","104831"
"きっと次は大丈夫よ\nまともな生徒のはず\n…そうよね？","","10","11030017","11","","103","","","","104831"
"","","","11030018","91","","103","","","","0"
"nyx_cmn_04","0.2","1","11030019","3","","103","","","","104831"
"nyx_talk_normal","0.2","1","11030020","3","","103","","","","103231"
"あら？\n次もなかよし部の方\nみたいですわよ？","","10","11030021","11","","103","","","","103231"
"","","","11030022","91","","103","","","","0"
"nyx_idle_normal","0.2","1","11030023","3","","103","","","","103231"
"nyx_talk_sad","0.2","1","11030024","3","","103","","","","104631"
"…気を抜いたら\nやられるにゃ\n覚悟を決めるにゃ","","10","11030025","11","","103","","","","104631"
"","","","11030026","93","","103","","","","2.6"
"nyx_102_chloe_01","0.2","1","11030027","3","","103","","","","111031"
"","","","11030028","91","","103","","","","11030025"
"nyx_cmn_02","0.2","0","11030029","3","0.3","103","","1","nyx_idle_sad","104631"
"nyx_cmn_02","0.2","0","11030030","3","","103","","","","2"
"nyx_cmn_02","0.2","0","11030031","3","0.3","103","","1","nyx_cmn_03","103431"
"nyx_cmn_02","0.2","0","11030032","3","","103","","","","2"
"nyx_cmn_02","0.2","0","11030033","3","0.2","103","","1","nyx_idle_normal","104831"
"nyx_cmn_02","0.2","0","11030034","3","","103","","","","2"
"","","","11030035","93","","103","","","","1.5"
"nyx_303_yuni_01","0.2","1","11030036","3","","103","","","","111031"
"ふむ、次はぼくだな\nまさに真打登場と\n言ったところか","","10","11030037","11","","103","","","","111031"
"","","","11030038","93","","103","","","","2.8"
"13","","1","11030039","12","","103","","","","104831"
"nyx_talk_normal","0.2","1","11030040","3","","103","","","","104831"
"","","","11030041","91","","103","","","","11030037"
"チエル君、クロエ君\n君らの無念はぼくが\n晴らして見せよう","","10","11030042","11","","103","","","","111031"
"","","","11030043","91","","103","","","","0"
"nyx_103_yuni_02","0.2","1","11030044","3","","103","","","","111031"
"いざ上級生としての\n責務を果たす時だ","","10","11030045","11","","103","","","","111031"
"","","","11030046","93","","103","","","","1.5"
"17","","1","11030047","12","","103","","","","103231"
"nyx_idle_normal","0.2","1","11030048","3","","103","","","","104831"
"nyx_cmn_05","0.2","1","11030049","3","","103","","","","103231"
"","","","11030050","91","","103","","","","11030045"
"nyx_103_yuni_03","0.3","0","11030051","3","0.6","103","","0","nyx_103_yuni_04","111031"
"ユニちゃんズの\n名に懸けて…！","","10","11030052","11","","103","","","","111031"
"","","","11030053","91","","103","","","","0"
"nyx_idle_normal","0.2","1","11030054","3","","103","","","","103231"
"","","","11030055","93","","103","","","","0.6"
"12","0.2","1","11030056","12","","103","","","","111031"
"cmn_pose02_def_N","0.2","0","11030057","3","0.2","103","","1","nyx_idle_normal","111031"
"","","","11030058","93","","103","","","","1.5"
"15","","1","11030059","12","","103","","","","104631"
"nyx_talk_sad","0.2","0","11030060","3","0.2","103","","1","nyx_idle_worry","104631"
"","","","11030061","93","","103","","","","2"
"10","","1","11030062","12","","103","","","","103231"
"nyx_talk_joy1","0.2","0","11030063","3","0.2","103","","1","nyx_idle_normal","103231"
"nyx_103_yuni_01","0.2","0","11030064","3","0.2","103","","1","nyx_idle_normal","111031"
"","","","11030065","93","","103","","","","2.5"
"1","","1","11030066","12","","103","","","","103431"
"nyx_cmn_01","0.2","0","11030067","3","0.3","103","","1","nyx_cmn_03","103431"
"","","","11030068","93","","103","","","","2"
"12","","1","11030069","12","","103","","","","104831"
"nyx_talk_bitter","0.2","1","11030070","3","","103","","","","104831"
"","","","11030071","93","","103","","","","2"
"nyx_idle_bitter","0.2","1","11030072","3","","103","","","","104831"
"","","","11030073","93","","103","","","","1"
"","","","11030074","101","","103","","","","11030056"
"103231","1.2","110","12010001","1","1","201","nyx_201_akino_01","-294.7","-235.4","1"
"2","1.2","120","12010002","5","1","201","nyx_201_akino_01","-294.7","-235.4","2"
"104631","1.2","110","12010003","1","0","201","nyx_idle_normal","-281.6","-357","1"
"103431","1.2","110","12010004","1","1","201","nyx_idle_normal","-281.6","310.5","1"
"104831","1.2","110","12010005","1","0","201","nyx_idle_normal","-281.6","-453.3","1"
"1","1","0","12010006","31","","201","","1","0","2"
"2","1","0","12010007","31","","201","","1","0","11"
"bgm_M347","","","12010008","25","","201","","","","bgm_M347"
"","","","12010009","93","","201","","","","2"
"タマキさん、この\n部品の組み立てを\nお願いしますわ！","","10","12010010","11","","201","","","","103231"
"","","","12010011","91","","201","","","","0"
"nyx_surprise","0.3","0","12010012","3","0.3","201","","1","nyx_idle_surprise1","104631"
"わ、わかったにゃ！\n…こんなの設計図に\nあったかにゃ…？","","10","12010013","11","","201","","","","104631"
"","","","12010014","91","","201","","","","0"
"0","","0","12010015","4","","201","","","","103231"
"0","","","12010016","4","","201","","","","2"
"nyx_idle_bitter2","0.3","1","12010017","3","0.3","201","","","","104631"
"nyx_201_akino_02","0.3","1","12010018","3","0.3","201","","","","103231"
"nyx_201_akino_02","0.3","1","12010019","3","0.3","201","","","","2"
"199","","-294.7","12010020","2","","201","","","2.2","103231"
"199","","-294.7","12010021","2","","201","","","2.2","2"
"","","","12010022","93","","201","","","","2.2"
"nyx_201_akino_01","0.3","1","12010023","3","0.3","201","","","","103231"
"nyx_201_akino_01","0.3","1","12010024","3","0.3","201","","","","2"
"ユカリさん！\nこの回路の発注を\n至急お願いします！","","10","12010025","11","","201","","","","103231"
"","","","12010026","91","","201","","","","0"
"nyx_cmn_01","0.3","1","12010027","3","0.3","201","","","","103431"
"えっ？　えっ？\nちょっとアキノさん\nこれ何に使うの！？","","10","12010028","11","","201","","","","103431"
"","","","12010029","91","","201","","","","0"
"nyx_idle_bitter2","0.3","1","12010030","3","0.3","201","","","","103431"
"1","","","12010031","4","","201","","","","103231"
"1","","","12010032","4","","201","","","","2"
"nyx_201_akino_02","0.3","1","12010033","3","0.3","201","","","","103231"
"nyx_201_akino_02","0.3","1","12010034","3","0.3","201","","","","2"
"-235.4","","-294.7","12010035","2","","201","","","2.2","103231"
"-235.4","","-294.7","12010036","2","","201","","","2.2","2"
"","","","12010037","93","","201","","","","2.2"
"nyx_201_akino_01","0.3","1","12010038","3","0.3","201","","","","103231"
"nyx_201_akino_01","0.3","1","12010039","3","0.3","201","","","","2"
"ミフユさんは動作\nチェックを念入りに\nお願いします！","","10","12010040","11","","201","","","","103231"
"","","","12010041","91","","201","","","","0"
"nyx_surprise","0.3","0","12010042","3","0.3","201","","1","nyx_idle_surprise1","104831"
"は、はいっ！\n…アキノさんが\n燃えてるわ…","0","10","12010043","11","","201","","","","104831"
"","","","12010044","91","","201","","","","0"
"nyx_talk_sad","0.3","1","12010045","3","0.3","201","","","","104831"
"でもなぜかしら\n不安だわ…\n不安しかない…","0","10","12010046","11","","201","","","","104831"
"","","","12010047","91","","201","","","","0"
"nyx_idle_bitter2","0.3","1","12010048","3","0.3","201","","","","104831"
"","","","12010049","91","","201","","","","0"
"","","","12010050","93","","201","","","","0.4"
"0","","0","12010051","4","","201","","","","103231"
"0","","","12010052","4","","201","","","","2"
"nyx_201_akino_02","0.2","1","12010053","3","0.2","201","","","","103231"
"nyx_201_akino_02","0.2","1","12010054","3","0.2","201","","","","2"
"199","","-294.7","12010055","2","","201","","","2.2","103231"
"199","","-294.7","12010056","2","","201","","","2.2","2"
"nyx_cmn_03","0.2","1","12010057","3","0.2","201","","","","103431"
"","","","12010058","93","","201","","","","2.2"
"10","","1","12010059","12","","201","","","","103231"
"nyx_201_akino_01","0.2","1","12010060","3","0.2","201","","","","103231"
"nyx_201_akino_01","0.2","1","12010061","3","0.2","201","","","","2"
"","","","12010062","91","","201","","","","0"
"nyx_idle_surprise1","0.2","1","12010063","3","0.2","201","","","","103431"
"","","","12010064","91","","201","","","","0"
"nyx_102_chloe_02","0.2","1","12010065","3","0.2","201","","","","103431"
"1","","","12010066","4","","201","","","","103231"
"1","","","12010067","4","","201","","","","2"
"nyx_201_akino_02","0.2","1","12010068","3","0.2","201","","","","103231"
"nyx_201_akino_02","0.2","1","12010069","3","0.2","201","","","","2"
"-235.4","","-294.7","12010070","2","","201","","","2.2","103231"
"-235.4","","-294.7","12010071","2","","201","","","2.2","2"
"","","","12010072","93","","201","","","","2.2"
"10","","1","12010073","12","","201","","","","103231"
"nyx_201_akino_01","0.2","1","12010074","3","0.2","201","","","","103231"
"nyx_201_akino_01","","1","12010075","3","0.2","201","","","","2"
"","","","12010076","93","","201","","","","3"
"cmn_nod_def_N","0.2","0","12010077","3","0.2","201","","1","nyx_idle_normal","104631"
"","","","12010078","93","","201","","","","0.8"
"3","","1","12010079","12","","201","","","","104831"
"nyx_talk_worry","0.2","0","12010080","3","0.2","201","","1","nyx_idle_sad","104831"
"","","","12010081","93","","201","","","","1"
"","","","12010082","101","","201","","","","12010051"
"3","1.2","100","12020001","5","0","202","nyx_202_tamaki_03_loop","-255","-136","1"
"103231","1.2","110","12020002","1","1","202","nyx_idle_joy1","-286.1","183.7","1"
"5","1.2","120","12020003","5","1","202","nyx_202_yukari_01","-286.1","312.6","2"
"103431","1.2","110","12020004","1","1","202","nyx_202_yukari_01","-286.1","312.6","1"
"104831","1.2","120","12020005","1","0","202","nyx_idle_normal","-286.1","-269.8","1"
"1","1","0","12020006","31","","202","","1","0","2"
"2","1","0","12020007","31","","202","","1","34","12"
"7","0","-74","12020008","31","","202","","1","130","16"
"4","1","110","12020009","5","0","202","nyx_yagura_idle","-255","-208","3"
"6","1.2","120","12020010","5","0","202","NoItem","-286.1","-269.8","2"
"bgm_M347","","","12020011","25","","202","","","","bgm_M347"
"","","","12020012","93","","202","","","","2"
"開発もなんだか\n楽しくなってきた\nにゃ～！","","10","12020013","11","","202","","","","3"
"","","","12020014","91","","202","","","","0"
"ここまで来たら\n世界一のたい焼き\nメカにするにゃ！","","10","12020015","11","","202","","","","3"
"","","","12020016","91","","202","","","","0"
"あたしの全てを\n注ぎ込んでやる\nにゃあ～～！","","10","12020017","11","","202","","","","3"
"","","","12020018","93","","202","","","","0.4"
"nyx_202_tamaki_03_puton","0.2","0","12020019","3","","202","","1","nyx_202_tamaki_loop","3"
"","","","12020020","91","","202","","","","12020017"
"nyx_202_tamaki_up","0.2","0","12020021","3","","202","","1","nyx_202_tamaki_01","3"
"nyx_yagura_up","","0","12020022","3","","202","","1","nyx_yagura_up_idle","4"
"","","","12020023","93","","202","","","","2.4"
"1","","","12020024","32","","202","","","","7"
"nyx_202_akino_01_loop","0.2","1","12020025","3","","202","","","","103231"
"おーほっほっほ！\n素晴らしい意気込み\nですわ、タマキさん","","10","12020026","11","","202","","","","103231"
"","","","12020027","91","","202","","","","0"
"nyx_talk_anger2","0.2","1","12020028","3","","202","","","","104831"
"設計図のどこにも\nたい焼きなんて\n書いてないわよ！？","","10","12020029","11","","202","","","","104831"
"","","","12020030","91","","202","","","","0"
"nyx_idle_anger2","0.2","1","12020031","3","","202","","","","103431"
"nyx_202_yukari_01","0.2","1","12020032","3","","202","","","","103431"
"ミフユさん…\nタマキさんなら\n大丈夫よ…ひっく","","10","12020033","11","","202","","","","103431"
"","","","12020034","91","","202","","","","0"
"nyx_cmn_05","0.2","0","12020035","3","0.2","202","","","nyx_cmn_04","104831"
"ユカリさん？\n何を飲んでるの？\n…買収されたわね？","0","10","12020036","11","","202","","","","104831"
"","","","12020037","91","","202","","","","0"
"nyx_202_yukari_01","0.2","1","12020038","3","","202","","","","103431"
"え～？\nにゃんのことぉ～？\n…うっふふ～♪","","10","12020039","11","","202","","","","103431"
"","","","12020040","91","","202","","","","0"
"","","","12020041","93","","202","","","","2"
"13","","1","12020042","12","","202","","","","103231"
"nyx_talk_joy2","0.2","0","12020043","3","0.2","202","","1","nyx_202_akino_01_loop","103231"
"","","","12020044","93","","202","","","","2.5"
"3","","1","12020045","12","","202","","","","104831"
"nyx_talk_anger2","0.2","1","12020046","3","","202","","","","104831"
"","","","12020047","93","","202","","","","2"
"nyx_cmn_02","0.2","0","12020048","3","","202","","","","104831"
"nyx_cmn_02","0.2","0","12020049","3","","202","","1","NoItem","6"
"","","","12020050","93","","202","","","","1"
"nyx_cmn_05","0.2","0","12020051","3","0.2","202","","1","nyx_cmn_04","104831"
"","","","12020052","93","","202","","","","2"
"5","","1","12020053","12","","202","","","","103431"
"nyx_203_yukari_01","0.2","0","12020054","3","0.2","202","","1","nyx_202_yukari_01","5"
"nyx_203_yukari_01","0.2","0","12020055","3","0.2","202","","1","nyx_202_yukari_01","103431"
"","","","12020056","93","","202","","","","1.2"
"11","","1","12020057","12","","202","","","","3"
"","","","12020058","93","","202","","","","0.8"
"","","","12020059","101","","202","","","","12020041"
"104831","1.2","130","12030001","1","0","203","nyx_idle_normal","-286","-300","1"
"104631","1.2","100","12030002","1","1","203","nyx_idle_normal","-286","316","1"
"103231","1.2","100","12030003","1","1","203","nyx_idle_normal","-286","110","1"
"103431","1.2","100","12030004","1","0","203","nyx_203_yukari_01","-10","-200","1"
"1","1","0","12030005","31","","203","","1","0","2"
"2","1","-80","12030006","31","","203","","1","34","13"
"3","1.2","110","12030007","5","0","203","nyx_203_yukari_01","-10","-200","2"
"4","1","120","12030008","5","0","203","nyx_yagura_up_harf","-255","-250","3"
"bgm_M347","","","12030009","25","","203","","","","bgm_M347"
"","","","12030010","93","","203","","","","2"
"あっれぇ～？\nここはどこぉ～？\n私はだれ～？","","10","12030011","11","","203","","","","103431"
"","","","12030012","93","","203","","","","0.6"
"nyx_lookup","0.2","0","12030013","3","0.2","203","","1","nyx_lookup_loop2","103231"
"","","","12030014","91","","203","","","","12030011"
"ん～？\nにゃ～にこの\nでっかいのぉ～","","10","12030015","11","","203","","","","103431"
"","","","12030016","93","","203","","","","0.6"
"nyx_lookup","0.2","0","12030017","3","0.2","203","","1","nyx_lookup_loop2","104631"
"","","","12030018","91","","203","","","","12030015"
"nyx_203_yukari_02","0.2","0","12030019","3","","203","","1","nyx_203_yukari_05","3"
"nyx_203_yukari_02","0.2","0","12030020","3","","203","","1","nyx_203_yukari_05","103431"
"あんたも麦しゅわ\n飲む～？\nお～いしいわよ～？","","10","12030021","11","","203","","","","103431"
"","","","12030022","93","","203","","","","0.4"
"nyx_lookup","0.2","0","12030023","3","0.2","203","","1","nyx_lookup_loop2","104831"
"","","","12030024","91","","203","","","","12030021"
"","","","12030025","93","","203","","","","0.2"
"nyx_cmn_02","0.2","0","12030026","3","0.2","203","","1","nyx_idle_sad","104831"
"何してるのよ\nユカリさん…","0","10","12030027","11","","203","","","","104831"
"","","","12030028","93","","203","","","","0.1"
"nyx_cmn_02","0.2","0","12030029","3","0.2","203","","1","nyx_cmn_04","103231"
"何してますの…\nユカリさん…","","10","12030030","11","","203","","","","103231"
"","","","12030031","93","","203","","","","0.1"
"nyx_cmn_02","0.2","0","12030032","3","0.2","203","","1","nyx_idle_sad","104631"
"何してるのにゃ\nユカリ…","","10","12030033","11","","203","","","","104631"
"","","","12030034","91","","203","","","","0"
