389b7063c8d1f1992d2dcc794586db4cf41869f5fa68d031337f8f987a9d5b33,af5d47237f754e08a14e5cd36a1f69eab190899ea8d01b4557f490003faf419c,0c92a4da2fccb4186bcb72b31e7f99740ce0a6a2e314179302f95ccfb4214b86,1735dfcfbaed6bb4afe904a3e130c88349208b250ae889666fe9d8654dc35b08,442ea8d451490188302011987bf1ed023a98c70f648fbeddc30e4bff83ebfaca,a0bce7be888d814206e0f971fbdf7958799bf989e377fa51b64e6e32c05b907c,bd2c9565040d22ad2aa0663da64ada910078c9418e104a308a6f79899c28cbee,b56a3cb2292bbef4f2227bde4e9c57837501b2740dac094e09f9c3414a941d5d,36426c3fa9d221dbcff4825a87efe3db395f12d56d9820a4baf3036a3463dabd,c429d0b14e6ecc2e5497ff77c0835758d5c6393ab9287836f2dd5863cfee221f,8dba5bbeacd199c99df25c85c47fb78960a95e962ab82b645f4d356e955fb64d
"nyx_idle_normal","","0.2","11030054","","3","","103231","1","103",""
"","","","11030055","","93","","0.6","","103",""
"12","","0.2","11030056","","12","","111031","1","103",""
"cmn_pose02_def_N","","0.2","11030057","nyx_idle_normal","3","0.2","111031","0","103","1"
"","","","11030058","","93","","1.5","","103",""
"15","","","11030059","","12","","104631","1","103",""
"nyx_talk_sad","","0.2","11030060","nyx_idle_worry","3","0.2","104631","0","103","1"
"","","","11030061","","93","","2","","103",""
"10","","","11030062","","12","","103231","1","103",""
"nyx_talk_joy1","","0.2","11030063","nyx_idle_normal","3","0.2","103231","0","103","1"
"nyx_103_yuni_01","","0.2","11030064","nyx_idle_normal","3","0.2","111031","0","103","1"
"","","","11030065","","93","","2.5","","103",""
"1","","","11030066","","12","","103431","1","103",""
"nyx_cmn_01","","0.2","11030067","nyx_cmn_03","3","0.3","103431","0","103","1"
"","","","11030068","","93","","2","","103",""
"12","","","11030069","","12","","104831","1","103",""
"nyx_talk_bitter","","0.2","11030070","","3","","104831","1","103",""
"","","","11030071","","93","","2","","103",""
"nyx_idle_bitter","","0.2","11030072","","3","","104831","1","103",""
"","","","11030073","","93","","1","","103",""
"","","","11030074","","101","","11030056","","103",""
"103231","nyx_201_akino_01","1.2","12010001","-235.4","1","1","1","110","201","-294.7"
"2","nyx_201_akino_01","1.2","12010002","-235.4","5","1","2","120","201","-294.7"
"104631","nyx_idle_normal","1.2","12010003","-357","1","0","1","110","201","-281.6"
"103431","nyx_idle_normal","1.2","12010004","310.5","1","1","1","110","201","-281.6"
"104831","nyx_idle_normal","1.2","12010005","-453.3","1","0","1","110","201","-281.6"
"1","","1","12010006","0","31","","2","0","201","1"
"2","","1","12010007","0","31","","11","0","201","1"
"bgm_M347","","","12010008","","25","","bgm_M347","","201",""
"","","","12010009","","93","","2","","201",""
"タマキさん、この\n部品の組み立てを\nお願いしますわ！","","","12010010","","11","","103231","10","201",""
"","","","12010011","","91","","0","","201",""
"nyx_surprise","","0.3","12010012","nyx_idle_surprise1","3","0.3","104631","0","201","1"
"わ、わかったにゃ！\n…こんなの設計図に\nあったかにゃ…？","","","12010013","","11","","104631","10","201",""
"","","","12010014","","91","","0","","201",""
"0","","","12010015","","4","","103231","0","201",""
"0","","","12010016","","4","","2","","201",""
"nyx_idle_bitter2","","0.3","12010017","","3","0.3","104631","1","201",""
"nyx_201_akino_02","","0.3","12010018","","3","0.3","103231","1","201",""
"nyx_201_akino_02","","0.3","12010019","","3","0.3","2","1","201",""
"199","","","12010020","2.2","2","","103231","-294.7","201",""
"199","","","12010021","2.2","2","","2","-294.7","201",""
"","","","12010022","","93","","2.2","","201",""
"nyx_201_akino_01","","0.3","12010023","","3","0.3","103231","1","201",""
"nyx_201_akino_01","","0.3","12010024","","3","0.3","2","1","201",""
"ユカリさん！\nこの回路の発注を\n至急お願いします！","","","12010025","","11","","103231","10","201",""
"","","","12010026","","91","","0","","201",""
"nyx_cmn_01","","0.3","12010027","","3","0.3","103431","1","201",""
"えっ？　えっ？\nちょっとアキノさん\nこれ何に使うの！？","","","12010028","","11","","103431","10","201",""
"","","","12010029","","91","","0","","201",""
"nyx_idle_bitter2","","0.3","12010030","","3","0.3","103431","1","201",""
"1","","","12010031","","4","","103231","","201",""
"1","","","12010032","","4","","2","","201",""
"nyx_201_akino_02","","0.3","12010033","","3","0.3","103231","1","201",""
"nyx_201_akino_02","","0.3","12010034","","3","0.3","2","1","201",""
"-235.4","","","12010035","2.2","2","","103231","-294.7","201",""
"-235.4","","","12010036","2.2","2","","2","-294.7","201",""
"","","","12010037","","93","","2.2","","201",""
"nyx_201_akino_01","","0.3","12010038","","3","0.3","103231","1","201",""
"nyx_201_akino_01","","0.3","12010039","","3","0.3","2","1","201",""
"ミフユさんは動作\nチェックを念入りに\nお願いします！","","","12010040","","11","","103231","10","201",""
"","","","12010041","","91","","0","","201",""
"nyx_surprise","","0.3","12010042","nyx_idle_surprise1","3","0.3","104831","0","201","1"
"は、はいっ！\n…アキノさんが\n燃えてるわ…","","0","12010043","","11","","104831","10","201",""
"","","","12010044","","91","","0","","201",""
"nyx_talk_sad","","0.3","12010045","","3","0.3","104831","1","201",""
"でもなぜかしら\n不安だわ…\n不安しかない…","","0","12010046","","11","","104831","10","201",""
"","","","12010047","","91","","0","","201",""
"nyx_idle_bitter2","","0.3","12010048","","3","0.3","104831","1","201",""
"","","","12010049","","91","","0","","201",""
"","","","12010050","","93","","0.4","","201",""
"0","","","12010051","","4","","103231","0","201",""
"0","","","12010052","","4","","2","","201",""
"nyx_201_akino_02","","0.2","12010053","","3","0.2","103231","1","201",""
"nyx_201_akino_02","","0.2","12010054","","3","0.2","2","1","201",""
"199","","","12010055","2.2","2","","103231","-294.7","201",""
"199","","","12010056","2.2","2","","2","-294.7","201",""
"nyx_cmn_03","","0.2","12010057","","3","0.2","103431","1","201",""
"","","","12010058","","93","","2.2","","201",""
"10","","","12010059","","12","","103231","1","201",""
"nyx_201_akino_01","","0.2","12010060","","3","0.2","103231","1","201",""
"nyx_201_akino_01","","0.2","12010061","","3","0.2","2","1","201",""
"","","","12010062","","91","","0","","201",""
"nyx_idle_surprise1","","0.2","12010063","","3","0.2","103431","1","201",""
"","","","12010064","","91","","0","","201",""
"nyx_102_chloe_02","","0.2","12010065","","3","0.2","103431","1","201",""
"1","","","12010066","","4","","103231","","201",""
"1","","","12010067","","4","","2","","201",""
"nyx_201_akino_02","","0.2","12010068","","3","0.2","103231","1","201",""
"nyx_201_akino_02","","0.2","12010069","","3","0.2","2","1","201",""
"-235.4","","","12010070","2.2","2","","103231","-294.7","201",""
"-235.4","","","12010071","2.2","2","","2","-294.7","201",""
"","","","12010072","","93","","2.2","","201",""
"10","","","12010073","","12","","103231","1","201",""
"nyx_201_akino_01","","0.2","12010074","","3","0.2","103231","1","201",""
"nyx_201_akino_01","","","12010075","","3","0.2","2","1","201",""
"","","","12010076","","93","","3","","201",""
"cmn_nod_def_N","","0.2","12010077","nyx_idle_normal","3","0.2","104631","0","201","1"
"","","","12010078","","93","","0.8","","201",""
"3","","","12010079","","12","","104831","1","201",""
"nyx_talk_worry","","0.2","12010080","nyx_idle_sad","3","0.2","104831","0","201","1"
"","","","12010081","","93","","1","","201",""
"","","","12010082","","101","","12010051","","201",""
"3","nyx_202_tamaki_03_loop","1.2","12020001","-136","5","0","1","100","202","-255"
"103231","nyx_idle_joy1","1.2","12020002","183.7","1","1","1","110","202","-286.1"
"5","nyx_202_yukari_01","1.2","12020003","312.6","5","1","2","120","202","-286.1"
"103431","nyx_202_yukari_01","1.2","12020004","312.6","1","1","1","110","202","-286.1"
"104831","nyx_idle_normal","1.2","12020005","-269.8","1","0","1","120","202","-286.1"
"1","","1","12020006","0","31","","2","0","202","1"
"2","","1","12020007","34","31","","12","0","202","1"
"7","","0","12020008","130","31","","16","-74","202","1"
"4","nyx_yagura_idle","1","12020009","-208","5","0","3","110","202","-255"
"6","NoItem","1.2","12020010","-269.8","5","0","2","120","202","-286.1"
"bgm_M347","","","12020011","","25","","bgm_M347","","202",""
"","","","12020012","","93","","2","","202",""
"開発もなんだか\n楽しくなってきた\nにゃ～！","","","12020013","","11","","3","10","202",""
"","","","12020014","","91","","0","","202",""
"ここまで来たら\n世界一のたい焼き\nメカにするにゃ！","","","12020015","","11","","3","10","202",""
"","","","12020016","","91","","0","","202",""
"あたしの全てを\n注ぎ込んでやる\nにゃあ～～！","","","12020017","","11","","3","10","202",""
"","","","12020018","","93","","0.4","","202",""
"nyx_202_tamaki_03_puton","","0.2","12020019","nyx_202_tamaki_loop","3","","3","0","202","1"
"","","","12020020","","91","","12020017","","202",""
"nyx_202_tamaki_up","","0.2","12020021","nyx_202_tamaki_01","3","","3","0","202","1"
"nyx_yagura_up","","","12020022","nyx_yagura_up_idle","3","","4","0","202","1"
"","","","12020023","","93","","2.4","","202",""
"1","","","12020024","","32","","7","","202",""
"nyx_202_akino_01_loop","","0.2","12020025","","3","","103231","1","202",""
"おーほっほっほ！\n素晴らしい意気込み\nですわ、タマキさん","","","12020026","","11","","103231","10","202",""
"","","","12020027","","91","","0","","202",""
"nyx_talk_anger2","","0.2","12020028","","3","","104831","1","202",""
"設計図のどこにも\nたい焼きなんて\n書いてないわよ！？","","","12020029","","11","","104831","10","202",""
"","","","12020030","","91","","0","","202",""
"nyx_idle_anger2","","0.2","12020031","","3","","103431","1","202",""
"nyx_202_yukari_01","","0.2","12020032","","3","","103431","1","202",""
"ミフユさん…\nタマキさんなら\n大丈夫よ…ひっく","","","12020033","","11","","103431","10","202",""
"","","","12020034","","91","","0","","202",""
"nyx_cmn_05","","0.2","12020035","nyx_cmn_04","3","0.2","104831","0","202",""
"ユカリさん？\n何を飲んでるの？\n…買収されたわね？","","0","12020036","","11","","104831","10","202",""
"","","","12020037","","91","","0","","202",""
"nyx_202_yukari_01","","0.2","12020038","","3","","103431","1","202",""
"え～？\nにゃんのことぉ～？\n…うっふふ～♪","","","12020039","","11","","103431","10","202",""
"","","","12020040","","91","","0","","202",""
"","","","12020041","","93","","2","","202",""
"13","","","12020042","","12","","103231","1","202",""
"nyx_talk_joy2","","0.2","12020043","nyx_202_akino_01_loop","3","0.2","103231","0","202","1"
"","","","12020044","","93","","2.5","","202",""
"3","","","12020045","","12","","104831","1","202",""
"nyx_talk_anger2","","0.2","12020046","","3","","104831","1","202",""
"","","","12020047","","93","","2","","202",""
"nyx_cmn_02","","0.2","12020048","","3","","104831","0","202",""
"nyx_cmn_02","","0.2","12020049","NoItem","3","","6","0","202","1"
"","","","12020050","","93","","1","","202",""
"nyx_cmn_05","","0.2","12020051","nyx_cmn_04","3","0.2","104831","0","202","1"
"","","","12020052","","93","","2","","202",""
"5","","","12020053","","12","","103431","1","202",""
"nyx_203_yukari_01","","0.2","12020054","nyx_202_yukari_01","3","0.2","5","0","202","1"
"nyx_203_yukari_01","","0.2","12020055","nyx_202_yukari_01","3","0.2","103431","0","202","1"
"","","","12020056","","93","","1.2","","202",""
"11","","","12020057","","12","","3","1","202",""
"","","","12020058","","93","","0.8","","202",""
"","","","12020059","","101","","12020041","","202",""
"104831","nyx_idle_normal","1.2","12030001","-300","1","0","1","130","203","-286"
"104631","nyx_idle_normal","1.2","12030002","316","1","1","1","100","203","-286"
"103231","nyx_idle_normal","1.2","12030003","110","1","1","1","100","203","-286"
"103431","nyx_203_yukari_01","1.2","12030004","-200","1","0","1","100","203","-10"
"1","","1","12030005","0","31","","2","0","203","1"
"2","","1","12030006","34","31","","13","-80","203","1"
"3","nyx_203_yukari_01","1.2","12030007","-200","5","0","2","110","203","-10"
"4","nyx_yagura_up_harf","1","12030008","-250","5","0","3","120","203","-255"
"bgm_M347","","","12030009","","25","","bgm_M347","","203",""
"","","","12030010","","93","","2","","203",""
"あっれぇ～？\nここはどこぉ～？\n私はだれ～？","","","12030011","","11","","103431","10","203",""
"","","","12030012","","93","","0.6","","203",""
"nyx_lookup","","0.2","12030013","nyx_lookup_loop2","3","0.2","103231","0","203","1"
"","","","12030014","","91","","12030011","","203",""
"ん～？\nにゃ～にこの\nでっかいのぉ～","","","12030015","","11","","103431","10","203",""
"","","","12030016","","93","","0.6","","203",""
"nyx_lookup","","0.2","12030017","nyx_lookup_loop2","3","0.2","104631","0","203","1"
"","","","12030018","","91","","12030015","","203",""
"nyx_203_yukari_02","","0.2","12030019","nyx_203_yukari_05","3","","3","0","203","1"
"nyx_203_yukari_02","","0.2","12030020","nyx_203_yukari_05","3","","103431","0","203","1"
"あんたも麦しゅわ\n飲む～？\nお～いしいわよ～？","","","12030021","","11","","103431","10","203",""
"","","","12030022","","93","","0.4","","203",""
"nyx_lookup","","0.2","12030023","nyx_lookup_loop2","3","0.2","104831","0","203","1"
"","","","12030024","","91","","12030021","","203",""
"","","","12030025","","93","","0.2","","203",""
"nyx_cmn_02","","0.2","12030026","nyx_idle_sad","3","0.2","104831","0","203","1"
"何してるのよ\nユカリさん…","","0","12030027","","11","","104831","10","203",""
"","","","12030028","","93","","0.1","","203",""
"nyx_cmn_02","","0.2","12030029","nyx_cmn_04","3","0.2","103231","0","203","1"
"何してますの…\nユカリさん…","","","12030030","","11","","103231","10","203",""
"","","","12030031","","93","","0.1","","203",""
"nyx_cmn_02","","0.2","12030032","nyx_idle_sad","3","0.2","104631","0","203","1"
"何してるのにゃ\nユカリ…","","","12030033","","11","","104631","10","203",""
"","","","12030034","","91","","0","","203",""
"nyx_203_yukari_03","","0.5","12030035","","3","","3","1","203",""
