439f5e74f2959c05c79c1c53d30539bcd81892458419f50fa13db7fc6649ae9d,d04d0301336353625804fba92eea3cb0f47974aab46d2861608630070360dd0b,e6c81665c03ad37060faf17a0ed4cfd0335a17b55cf7271b8525618cee9119c1,89a4cdfaaa8b28cb304d7b8d9d412dadb23d568ce807c9c4488605ae3b057774,4915b19cf6a36a9219ecb51461e4044516b31a065c53d47b76b8e4a58e550a52,9fff0688b05015654296fa142ca27f9413c04161b0d1d054dc2c4fa035b36d76,057a2873751e54609e474e676e92a01d96f8191fb29d0d685f2bbe3d17a6e11b,f30daf93d72c7ca6881da6953a8bf592e66fac92ff3aa324f58e7a396f1b2763,b3a03d618be8f5eeff2fd57b2cec2ce8810de1d71ee82b6067b1542bb505d90d,0b4b3c614f8473dc98f53ad444e406320ebb7f7e46dc8ace6e3001cc02d9e035,1c35d68ea452ed08fae725f11200ebe29b1668406423343e1e69acdfd710a835,3486bb3185cb46b44aafe1bf957d9d676937f97b857d55f015249eab41fd61f3,02d455e88d7f7e9c1eaa9856b5d2a6889f48e439f8b550d197ab72cfacfaa0af,3fa7782270f8c3832f448cd9ec01a73d74022c1ee34dedc00e6b716154048184,6c88ae496f6e73f1fa7d9d950d7890b87bbb3af914f6e6d4fe0f4c18b41818ea,b294d656d81f947d18fed42b1dd7e4ba12f2775d287dba78e7d4d91f47f78ff1,d9ee9be5640f243dc676a79e45fdd27058c038ae5424fc95b173336e192098cb,fe7dfce41f07b726c99ced56c06728c09e8dfcbd1d161f7ccb29b2aebc4725e3,aa0337d6cd3ba388e6a963fb0d2872b372e8125eb0542aa74e2294938723bb35
"5","2","4","140001","32007","10","1","500000","0","90005","1","90008","94002","15","0","500","12","2","0"
"10","8","2","21951","32007","5","1","1","94002","140001","1","91002","25001","1","500000","100","2","4","12"
"15","2","4","140001","32007","5","2","750000","0","90005","1","90008","94002","15","0","1000","12","2","0"
"20","8","4","140001","32007","1","2","750000","0","25001","1","91002","94002","5","0","150","12","2","0"
"25","2","4","140001","32007","5","2","750000","0","90005","1","90008","94002","15","0","1500","12","2","0"
"30","8","2","90008","32007","5","3","1","94002","140001","1","91002","25001","3000","750000","250","2","4","12"
"35","2","4","140001","32007","5","3","1000000","0","90005","1","90008","94002","15","0","3500","12","2","0"
"40","2","4","140001","32007","1","4","1000000","0","25001","1","90008","94002","5","0","4000","12","2","0"
"45","2","4","140001","32007","5","4","2000000","0","90005","1","90008","94002","15","0","4500","12","2","0"
"50","2","4","140001","32007","1","4","2000000","0","25001","1","90008","94002","5","0","5000","12","2","0"
"5","2","4","140001","32008","10","1","500000","0","90005","1","90008","94002","15","0","500","12","2","0"
"10","8","2","21951","32008","5","1","1","94002","140001","1","91002","25001","1","500000","100","2","4","12"
"15","2","4","140001","32008","5","2","750000","0","90005","1","90008","94002","15","0","1000","12","2","0"
"20","8","4","140001","32008","1","2","750000","0","25001","1","91002","94002","5","0","150","12","2","0"
"25","2","4","140001","32008","5","2","750000","0","90005","1","90008","94002","15","0","1500","12","2","0"
"30","8","2","90008","32008","5","3","1","94002","140001","1","91002","25001","3000","750000","250","2","4","12"
"35","2","4","140001","32008","5","3","1000000","0","90005","1","90008","94002","15","0","3500","12","2","0"
"40","2","4","140001","32008","1","4","1000000","0","25001","1","90008","94002","5","0","4000","12","2","0"
"45","2","4","140001","32008","5","4","2000000","0","90005","1","90008","94002","15","0","4500","12","2","0"
"50","2","4","140001","32008","1","4","2000000","0","25001","1","90008","94002","5","0","5000","12","2","0"
"5","2","4","140001","32009","10","1","500000","0","90005","1","90008","94002","15","0","500","12","2","0"
"10","8","2","21951","32009","5","1","1","94002","140001","1","91002","25001","1","500000","100","2","4","12"
"15","2","4","140001","32009","5","2","750000","0","90005","1","90008","94002","15","0","1000","12","2","0"
"20","8","4","140001","32009","1","2","750000","0","25001","1","91002","94002","5","0","150","12","2","0"
"25","2","4","140001","32009","5","2","750000","0","90005","1","90008","94002","15","0","1500","12","2","0"
"30","8","2","90008","32009","5","3","1","94002","140001","1","91002","25001","3000","750000","250","2","4","12"
"35","2","4","140001","32009","5","3","1000000","0","90005","1","90008","94002","15","0","3500","12","2","0"
"40","2","4","140001","32009","1","4","1000000","0","25001","1","90008","94002","5","0","4000","12","2","0"
"45","2","4","140001","32009","5","4","2000000","0","90005","1","90008","94002","15","0","4500","12","2","0"
"50","2","4","140001","32009","1","4","2000000","0","25001","1","90008","94002","5","0","5000","12","2","0"
"5","2","4","140001","32010","10","1","500000","0","90005","1","90008","94002","15","0","500","12","2","0"
"10","8","2","21951","32010","5","1","1","94002","140001","1","91002","25001","1","500000","100","2","4","12"
"15","2","4","140001","32010","5","2","750000","0","90005","1","90008","94002","15","0","1000","12","2","0"
"20","8","4","140001","32010","1","2","750000","0","25001","1","91002","94002","5","0","150","12","2","0"
"25","2","4","140001","32010","5","2","750000","0","90005","1","90008","94002","15","0","1500","12","2","0"
"30","8","2","90008","32010","5","3","1","94002","140001","1","91002","25001","3000","750000","250","2","4","12"
"35","18","2","90008","32010","15","3","5","94002","140001","1","4101401","90005","3500","1000000","1","2","4","12"
"40","2","4","140001","32010","1","4","1000000","0","25001","1","90008","94002","5","0","4000","12","2","0"
"45","18","2","90008","32010","15","4","5","94002","140001","1","4109401","90005","4500","2000000","1","2","4","12"
"50","2","4","140001","32010","1","4","2000000","0","25001","1","90008","94002","5","0","5000","12","2","0"
"5","2","4","140001","32011","10","1","500000","0","90005","1","90008","94002","15","0","500","12","2","0"
"10","8","2","21951","32011","5","1","1","94002","140001","1","91002","25001","1","500000","100","2","4","12"
"15","2","4","140001","32011","5","2","750000","0","90005","1","90008","94002","15","0","1000","12","2","0"
"20","8","4","140001","32011","1","2","750000","0","25001","1","91002","94002","5","0","150","12","2","0"
"25","2","4","140001","32011","5","2","750000","0","90005","1","90008","94002","15","0","1500","12","2","0"
"30","8","2","90008","32011","5","3","1","94002","140001","1","91002","25001","3000","750000","250","2","4","12"
"35","18","2","90008","32011","15","3","5","94002","140001","1","4301401","90005","3500","1000000","1","2","4","12"
"40","2","4","140001","32011","1","4","1000000","0","25001","1","90008","94002","5","0","4000","12","2","0"
"45","18","2","90008","32011","15","4","5","94002","140001","1","4303401","90005","4500","2000000","1","2","4","12"
"50","2","4","140001","32011","1","4","2000000","0","25001","1","90008","94002","5","0","5000","12","2","0"
"5","2","4","140001","32012","10","1","500000","0","90005","1","90008","94002","15","0","500","12","2","0"
"10","8","2","21951","32012","5","1","1","94002","140001","1","91002","25001","1","500000","100","2","4","12"
"15","2","4","140001","32012","5","2","750000","0","90005","1","90008","94002","15","0","1000","12","2","0"
"20","8","4","140001","32012","1","2","750000","0","25001","1","91002","94002","5","0","150","12","2","0"
"25","2","4","140001","32012","5","2","750000","0","90005","1","90008","94002","15","0","1500","12","2","0"
"30","8","2","90008","32012","5","3","1","94002","140001","1","91002","25001","3000","750000","250","2","4","12"
"35","18","2","90008","32012","15","3","5","94002","140001","1","4201401","90005","3500","1000000","1","2","4","12"
"40","2","4","140001","32012","1","4","1000000","0","25001","1","90008","94002","5","0","4000","12","2","0"
"45","18","2","90008","32012","15","4","5","94002","140001","1","4204401","90005","4500","2000000","1","2","4","12"
"50","2","4","140001","32012","1","4","2000000","0","25001","1","90008","94002","5","0","5000","12","2","0"
"5","2","4","140001","32013","10","1","500000","0","90005","1","90008","94002","15","0","500","12","2","0"
"10","8","2","21951","32013","5","1","1","94002","140001","1","91002","25001","1","500000","100","2","4","12"
"15","2","4","140001","32013","5","2","750000","0","90005","1","90008","94002","15","0","1000","12","2","0"
"20","8","4","140001","32013","1","2","750000","0","25001","1","91002","94002","5","0","150","12","2","0"
"25","2","4","140001","32013","5","2","750000","0","90005","1","90008","94002","15","0","1500","12","2","0"
"30","8","2","90008","32013","5","3","1","94002","140001","1","91002","25001","3000","750000","250","2","4","12"
"35","18","2","90008","32013","15","3","5","94002","140001","1","4110401","90005","3500","1000000","1","2","4","12"
"40","2","4","140001","32013","1","4","1000000","0","25001","1","90008","94002","5","0","4000","12","2","0"
"45","18","2","90008","32013","15","4","5","94002","140001","1","4102401","90005","4500","2000000","1","2","4","12"
"50","2","4","140001","32013","1","4","2000000","0","25001","1","90008","94002","5","0","5000","12","2","0"
"5","2","4","140001","32014","10","1","500000","0","90005","1","90008","94002","15","0","500","12","2","0"
"10","8","2","21951","32014","5","1","1","94002","140001","1","91002","25001","1","500000","100","2","4","12"
"15","2","4","140001","32014","5","2","750000","0","90005","1","90008","94002","15","0","1000","12","2","0"
"20","8","4","140001","32014","1","2","750000","0","25001","1","91002","94002","5","0","150","12","2","0"
"25","2","4","140001","32014","5","2","750000","0","90005","1","90008","94002","15","0","1500","12","2","0"
"30","8","2","90008","32014","5","3","1","94002","140001","1","91002","25001","3000","750000","250","2","4","12"
"35","18","2","90008","32014","15","3","5","94002","140001","1","4203401","90005","3500","1000000","1","2","4","12"
"40","2","4","140001","32014","1","4","1000000","0","25001","1","90008","94002","5","0","4000","12","2","0"
"45","18","2","90008","32014","15","4","5","94002","140001","1","4202401","90005","4500","2000000","1","2","4","12"
"50","2","4","140001","32014","1","4","2000000","0","25001","1","90008","94002","5","0","5000","12","2","0"
"5","2","4","140001","32015","10","1","500000","0","90005","1","90008","94002","15","0","500","12","2","0"
"10","8","2","21951","32015","5","1","1","94002","140001","1","91002","25001","1","500000","100","2","4","12"
"15","2","4","140001","32015","5","2","750000","0","90005","1","90008","94002","15","0","1000","12","2","0"
"20","8","4","140001","32015","1","2","750000","0","25001","1","91002","94002","5","0","150","12","2","0"
"25","2","4","140001","32015","5","2","750000","0","90005","1","90008","94002","15","0","1500","12","2","0"
"30","18","2","90008","32015","5","3","1","94002","140001","1","4107401","25001","3000","750000","1","2","4","12"
"35","8","2","90008","32015","15","3","5","94002","140001","1","91002","90005","3500","1000000","250","2","4","12"
"40","18","2","90008","32015","5","4","1","94002","140001","1","4105401","25001","4000","1000000","1","2","4","12"
"45","2","4","140001","32015","5","4","2000000","0","90005","1","90008","94002","15","0","4500","12","2","0"
"50","18","2","90008","32015","5","4","1","94002","140001","1","4106401","25001","5000","2000000","1","2","4","12"
