ee8bf8322b5f8d4da5dd691d1daf4c860e800b08321041d7b48884846deaa99d,0f5558338b9b95c4b038c3ba0f06e90b58d718ee9a24692c21e7d1da9270e0f1,e9a18f7d45fe792a44e1e1c8f6e88986b1c6770a67f5ea075741a2e041782f54,e59e0803e69923d5e2a6775e3008710fd9f0f305be3c70acc29fdb95a46d402a,ae21887dfdfb7b2b45ce338663b626546738df80473bef6a5b45e65142197b99,bde50896f43ecf88fb83031bf3f7361947c5bf2795643db8852e67177dfc7351,5828834fd89bfd22f13b943113a732373df2dc6b9f32e94d7ae08844a9f845bc,bbe83ca60a5a7f5be8e5196f787a76467908fe064cd2d3160ff4e333bccbf87f,f3c251bb771239b370a37f6717d6bd823630046ba03fcfa0b4e74449f6d86719,56ccd95f8880ab6c2c7884ec99dc81b63aaa6fc2c93b37d381d897d927aec56a,f5cd5685bf82a3ad3d194f6b2d60497891c7e8f3494c1093a3f47eb69cded870
"3","102911","","0.2","","travel_topdrama_r_2000_idle_smile","1","","20072","1200720017",""
"112","","","","","","","","20072","1200720018",""
"91","0","","","","","","","20072","1200720019",""
"1","1","1","0.8","42","104711","101","-68","20081","1200810001","travel_topdrama_r_2000_idle_sad"
"1","1","0","0.8","-42","107111","102","-68","20081","1200810002","travel_topdrama_r_2000_idle_doya"
"5","0","0","1","0","0","110","-75","20081","1200810003","mana"
"91","0","","","","","","","20081","1200810004",""
"93","10","","","","0","","","20081","1200810005",""
"101","1200810005","","","","","","","20081","1200810006",""
"3","0","","0","","none","0","","20081","1200810007",""
"91","0","","","","","","","20081","1200810008",""
"13","104711","","","","103","","","20082","1200820001",""
"13","107111","","","","104","","","20082","1200820002",""
"3","104711","","0.2","travel_topdrama_r_2000_talk_sad_loop","travel_topdrama_r_2000_talk_sad_in","0","1","20082","1200820003",""
"21","vo_travel_talk","","","0","vo_travel_talk_20008_00","0","","20082","1200820004",""
"11","104711","0","0","1","王宮を離れる機会は何度かあったけど、\nやっぱり落ち着かないな……\n何かあった時に対応が難しいし。","10","1","20082","1200820005","0"
"91","0","","","","","","","20082","1200820006",""
"3","104711","","0.2","","travel_topdrama_r_2000_idle_sad","1","","20082","1200820007",""
"3","107111","","0.2","travel_topdrama_r_2000_talk_doya_loop","travel_topdrama_r_2000_talk_doya_in","0","1","20082","1200820008",""
"21","vo_travel_talk","","","0","vo_travel_talk_20008_01","0","","20082","1200820009",""
"11","107111","0","0","1","今さら不安がっても仕方ないだろう？\nもっと気楽にこの旅を愉しむべきだ。\nまだまだ先は長いのだからな☆","10","1","20082","1200820010","0"
"91","0","","","","","","","20082","1200820011",""
"3","107111","","0.2","","travel_topdrama_r_2000_idle_doya","1","","20082","1200820012",""
"3","104711","","0.2","travel_topdrama_r_2000_talk_guts_loop","travel_topdrama_r_2000_talk_guts_in","0","1","20082","1200820013",""
"21","vo_travel_talk","","","0","vo_travel_talk_20008_02","0","","20082","1200820014",""
"11","104711","0","0","1","ありがとう、クリスちゃん。\n王宮には優秀な部下たちもいるし、\n目の前の仕事に集中するよ。","10","1","20082","1200820015","0"
"91","0","","","","","","","20082","1200820016",""
"3","104711","","0.2","","travel_topdrama_r_2000_idle_guts","1","","20082","1200820017",""
"112","","","","","","","","20082","1200820018",""
"91","0","","","","","","","20082","1200820019",""
"1","1","1","0.8","42","104011","101","-68","20091","1200910001","travel_topdrama_r_2000_idle_guts2"
"1","1","0","0.8","-42","101511","102","-68","20091","1200910002","travel_topdrama_r_2000_idle_smile"
"5","0","0","1","0","0","110","-75","20091","1200910003","mana"
"91","0","","","","","","","20091","1200910004",""
"93","10","","","","0","","","20091","1200910005",""
"101","1200910005","","","","","","","20091","1200910006",""
"3","0","","0","","none","0","","20091","1200910007",""
"91","0","","","","","","","20091","1200910008",""
"13","104011","","","","103","","","20092","1200920001",""
"13","101511","","","","104","","","20092","1200920002",""
"3","104011","","0.2","travel_topdrama_r_2000_talk_guts2_loop","travel_topdrama_r_2000_talk_guts2_in","0","1","20092","1200920003",""
"21","vo_travel_talk","","","0","vo_travel_talk_20009_00","0","","20092","1200920004",""
"11","104011","0","0","1","今回の冒険には、たくさんのギルドが\n参加してるんですよね……？\nもしかして、友達を作るチャンス……？","10","1","20092","1200920005","0"
"91","0","","","","","","","20092","1200920006",""
"3","104011","","0.2","","travel_topdrama_r_2000_idle_guts2","1","","20092","1200920007",""
"3","101511","","0.2","travel_topdrama_r_2000_talk_wish_loop_joy","travel_topdrama_r_2000_talk_wish_in_joy","0","1","20092","1200920008",""
"21","vo_travel_talk","","","0","vo_travel_talk_20009_01","0","","20092","1200920009",""
"11","101511","0","0","1","ふふっ、そうね～\nきっといろんな出会いがあるから、\nいっぱいお話してみるといいわよ～？","10","1","20092","1200920010","0"
"91","0","","","","","","","20092","1200920011",""
"3","101511","","0.2","","travel_topdrama_r_2000_idle_wish_joy","1","","20092","1200920012",""
"3","104011","","0.2","travel_topdrama_r_2000_talk_surprise_loop_sad","travel_topdrama_r_2000_talk_surprise_in_sad","0","1","20092","1200920013",""
"21","vo_travel_talk","","","0","vo_travel_talk_20009_02","0","","20092","1200920014",""
"11","104011","0","0","1","いっぱい……お話……！？\n一気に自信がなくなってきました……\nやっぱり、隅っこを歩きましょう……","10","1","20092","1200920015","0"
"91","0","","","","","","","20092","1200920016",""
"3","104011","","0.2","","travel_topdrama_r_2000_idle_surprise_sad","1","","20092","1200920017",""
"112","","","","","","","","20092","1200920018",""
"91","0","","","","","","","20092","1200920019",""
"1","1","1","0.8","42","102611","101","-68","20101","1201010001","travel_topdrama_r_2000_idle_sad"
"1","1","0","0.8","-42","103311","102","-68","20101","1201010002","travel_topdrama_r_2000_idle_doya_sad"
"5","0","0","1","0","0","110","-75","20101","1201010003","mana"
"91","0","","","","","","","20101","1201010004",""
"93","10","","","","0","","","20101","1201010005",""
"101","1201010005","","","","","","","20101","1201010006",""
"3","0","","0","","none","0","","20101","1201010007",""
"91","0","","","","","","","20101","1201010008",""
"13","102611","","","","103","","","20102","1201020001",""
"13","103311","","","","104","","","20102","1201020002",""
"3","102611","","0.2","travel_topdrama_r_2000_talk_sad_loop","travel_topdrama_r_2000_talk_sad_in","0","1","20102","1201020003",""
"21","vo_travel_talk","","","0","vo_travel_talk_20010_00","0","","20102","1201020004",""
"11","102611","0","0","1","ふぇ～……ふぇ～……！\nもうだいぶ歩かされてるよ～！\n帰りたい～、ごろごろしてたい～！","10","1","20102","1201020005","0"
"91","0","","","","","","","20102","1201020006",""
"3","102611","","0.2","","travel_topdrama_r_2000_idle_sad","1","","20102","1201020007",""
"3","103311","","0.2","travel_topdrama_r_2000_talk_doya_loop_sad","travel_topdrama_r_2000_talk_doya_in_sad","0","1","20102","1201020008",""
"21","vo_travel_talk","","","0","vo_travel_talk_20010_01","0","","20102","1201020009",""
"11","103311","0","0","1","なに言ってるべさ～！\nリンリンこそしっかり歩いて、\n体を鍛え直さねぇと！","10","1","20102","1201020010","0"
"91","0","","","","","","","20102","1201020011",""
"3","103311","","0.2","","travel_topdrama_r_2000_idle_doya_sad","1","","20102","1201020012",""
"3","102611","","0.2","","travel_topdrama_r_2000_talk_dead","1","1","20102","1201020013",""
"21","vo_travel_talk","","","0","vo_travel_talk_20010_02","0","","20102","1201020014",""
"11","102611","0","0","1","そういうの、間に合ってるから……！\nとにかく休憩！　休憩しよ～！\nドングリ食べないと、足が棒になる～！","10","1","20102","1201020015","0"
"91","0","","","","","","","20102","1201020016",""
"3","102611","","0.2","","travel_topdrama_r_2000_idle_dead","1","","20102","1201020017",""
"112","","","","","","","","20102","1201020018",""
"91","0","","","","","","","20102","1201020019",""
"1","1","1","0.8","42","104911","101","-68","20111","1201110001","travel_topdrama_r_2000_idle_smile"
"1","1","0","0.8","-42","101111","102","-68","20111","1201110002","travel_topdrama_r_2000_idle_normal"
"5","0","0","1","0","0","110","-75","20111","1201110003","mana"
"91","0","","","","","","","20111","1201110004",""
"93","10","","","","0","","","20111","1201110005",""
"101","1201110005","","","","","","","20111","1201110006",""
"3","0","","0","","none","0","","20111","1201110007",""
"91","0","","","","","","","20111","1201110008",""
"13","104911","","","","103","","","20112","1201120001",""
"13","101111","","","","104","","","20112","1201120002",""
"3","104911","","0.2","travel_topdrama_r_2000_talk_smile_loop","travel_topdrama_r_2000_talk_smile_in","0","1","20112","1201120003",""
"21","vo_travel_talk","","","0","vo_travel_talk_20011_00","0","","20112","1201120004",""
"11","104911","0","0","1","なにかいい物、落ちてないかな～？\n弟くんが喜びのあまり、お姉ちゃん\n大好き以外の感情を失う宝物とか。","10","1","20112","1201120005","0"
"91","0","","","","","","","20112","1201120006",""
"3","104911","","0.2","","travel_topdrama_r_2000_idle_smile","1","","20112","1201120007",""
"3","101111","","0.2","travel_topdrama_r_2000_talk_shock","travel_topdrama_r_2000_shock_in","0","1","20112","1201120008",""
"21","vo_travel_talk","","","0","vo_travel_talk_20011_01","0","","20112","1201120009",""
"11","101111","0","0","1","いやいやいや、お姉ちゃん？\nそれはもう呪いの装備の類です、\n見つけても持って帰らないでください。","10","1","20112","1201120010","0"
"91","0","","","","","","","20112","1201120011",""
"3","101111","","0.2","","travel_topdrama_r_2000_idle_normal","1","","20112","1201120012",""
"3","104911","","0.2","travel_topdrama_r_2000_talk_wish_loop_joy","travel_topdrama_r_2000_talk_wish_in_joy","0","1","20112","1201120013",""
"21","vo_travel_talk","","","0","vo_travel_talk_20011_02","0","","20112","1201120014",""
"11","104911","0","0","1","え～……まぁ、いいか。\nそんなものに頼らなくても、弟くんは\nお姉ちゃんのこと大好きだしね♪","10","1","20112","1201120015","0"
"91","0","","","","","","","20112","1201120016",""
"3","104911","","0.2","","travel_topdrama_r_2000_idle_wish_joy","1","","20112","1201120017",""
"112","","","","","","","","20112","1201120018",""
"91","0","","","","","","","20112","1201120019",""
"1","1","1","0.8","42","101011","101","-68","20121","1201210001","travel_topdrama_r_2000_idle_sad"
"1","1","0","0.8","-42","101711","102","-68","20121","1201210002","travel_topdrama_r_2000_idle_guts2_joy"
"5","3","0","0.8","-42","3","103","-68","20121","1201210003","travel_topdrama_r_2012_empty"
"5","0","0","1","0","0","110","-75","20121","1201210004","mana"
"91","0","","","","","","","20121","1201210005",""
"93","10","","","","0","","","20121","1201210006",""
"101","1201210006","","","","","","","20121","1201210007",""
"3","0","","0","","none","0","","20121","1201210008",""
"91","0","","","","","","","20121","1201210009",""
"13","101011","","","","104","","","20122","1201220001",""
"13","101711","","","","105","","","20122","1201220002",""
"3","101011","","0.2","travel_topdrama_r_2000_talk_sad_loop","travel_topdrama_r_2000_talk_sad_in","0","1","20122","1201220003",""
"21","vo_travel_talk","","","0","vo_travel_talk_20012_00","0","","20122","1201220004",""
"11","101011","0","0","1","冒険って大変やなぁ～\nうちはちょっと疲れてきたんやけど、\nカオリはんはまだまだ元気そうやね～？","10","1","20122","1201220005","0"
"91","0","","","","","","","20122","1201220006",""
"3","101011","","0.2","","travel_topdrama_r_2000_idle_sad","1","","20122","1201220007",""
"3","101711","","0.2","travel_topdrama_r_2012_raise_loop_talk","travel_topdrama_r_2012_raise_in","0","1","20122","1201220008",""
"3","3","","0.2","travel_topdrama_r_2012_raise_loop_talk","travel_topdrama_r_2012_raise_in","0","1","20122","1201220009",""
"21","vo_travel_talk","","","0","vo_travel_talk_20012_01","0","","20122","1201220010",""
"11","101711","0","0","1","サーターアンダギーのおかげさ～♪\n甘くてお腹もいっぱいなるから、\nマホにもお裾分けしてあげるね～？","10","1","20122","1201220011","0"
"91","0","","","","","","","20122","1201220012",""
"3","101711","","0.2","","travel_topdrama_r_2012_raise_loop_idle","1","","20122","1201220013",""
"3","3","","0.2","","travel_topdrama_r_2012_raise_loop_talk","1","","20122","1201220014",""
"3","101011","","0.2","travel_topdrama_r_2000_talk_smile_loop","travel_topdrama_r_2000_talk_smile_in","0","1","20122","1201220015",""
"21","vo_travel_talk","","","0","vo_travel_talk_20012_02","0","","20122","1201220016",""
"11","101011","0","0","1","おおきに～♪\nこれを食べて、うちもカオリはん\nみたいに元気に冒険せなな～♪","10","1","20122","1201220017","0"
