33ad2cf4682231092ca31e50c51247e4d72923a75626214f7bda633890c38478,d562d6000af83913d7f5ea070f7a61f4256ca455e0849aa7192ade05ea115459,d486871a5e3b557ad6da70a6e7accd4bb409d46b87004fb29ca58dbfcb0555f8,d7cfd64f8a6ff86d6456788da67de6919f51fe6278cbd3d36f3838146822ce97,f719ea942d83f11ae58165f9491d85001fbe202aac3768b351d6b55cb6b60a25,98bcc01cd4c6b15c3250fc3e68163751e878caf157c28f54d9b3a7fdfd3e04d6,3c435dcedaa718093a048f7d517274eabe7d8b6d083532d966478ebce1b4871c
"114601","[3C404E]ボスNORMAL討伐で解放！","20031","72031021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","33","ボスNORMAL討伐で解放！"
"114701","[3C404E]ボスNORMAL討伐で解放！","20032","72032021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","34","ボスNORMAL討伐で解放！"
"115601","[3C404E]ボスNORMAL討伐で解放！","20033","72033021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","35","ボスNORMAL討伐で解放！"
"115801","[3C404E]ボスNORMAL討伐で解放！","20035","72035021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","36","ボスNORMAL討伐で解放！"
"116801","[3C404E]ボスNORMAL討伐で解放！","20038","72038021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","37","ボスNORMAL討伐で解放！"
"117401","[3C404E]ボスNORMAL討伐で解放！","20040","72040021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","38","ボスNORMAL討伐で解放！"
"117801","[3C404E]ボスNORMAL討伐で解放！","20042","72042021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","39","ボスNORMAL討伐で解放！"
"119201","[3C404E]ボスNORMAL討伐で解放！","20044","72044021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","40","ボスNORMAL討伐で解放！"
"120801","[3C404E]ボスNORMAL討伐で解放！","20045","72045021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","41","ボスNORMAL討伐で解放！"
"121201","[3C404E]ボスNORMAL討伐で解放！","20047","72047021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","42","ボスNORMAL討伐で解放！"
"122101","[3C404E]ボスNORMAL討伐で解放！","20051","72051021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","43","ボスNORMAL討伐で解放！"
"122401","[3C404E]ボスNORMAL討伐で解放！","20052","72052021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","44","ボスNORMAL討伐で解放！"
"122801","[3C404E]ボスNORMAL討伐で解放！","20053","72053021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","45","ボスNORMAL討伐で解放！"
"123501","[3C404E]ボスNORMAL討伐で解放！","20055","72055021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","46","ボスNORMAL討伐で解放！"
"124101","[3C404E]ボスNORMAL討伐で解放！","20057","72057021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","47","ボスNORMAL討伐で解放！"
"124701","[3C404E]ボスNORMAL討伐で解放！","20058","72058021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","48","ボスNORMAL討伐で解放！"
"124901","[3C404E]ボスNORMAL討伐で解放！","20059","72059021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","49","ボスNORMAL討伐で解放！"
"125701","[3C404E]ボスNORMAL討伐で解放！","20063","72063021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","50","ボスNORMAL討伐で解放！"
"126701","[3C404E]ボスNORMAL討伐で解放！","20065","72065021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","51","ボスNORMAL討伐で解放！"
"127001","[3C404E]ボスNORMAL討伐で解放！","20066","72066021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","52","ボスNORMAL討伐で解放！"
