dfd73aefca8fe1aea3311e6c2aa5c0c414885fa9d0419ffdaae5f07d64981b75,f2e0ee702996b09afca84c73f8b7ca96703ba7bf1bb07f2a2f711e3e2f9e47e8,926ff99c309ccb83eed8a6a908d855f322d7d979df237b3bb14c6f48dd7ccf61,0ff7a06cf15aca72199089804eed973637c2504368e6e1df03cca42818e929fa,8fd9c283d3f55f297a26e75b5d93ef65f94d309c061a245ec8564cd85d3f32e0,c1b73ea87826a9b32dff627d0c0a9dcf85e4b539df04dfca181a0be2cc85bbe7,6a2947adaf1564100683fc90f8d2899119d1ceaed5e940626bbf87d1ac14db9b,0cde9000233a6084273c992d8fcf7a61ea16d4cae8caf08b2a3be5d79a20c1fe,31ca8e5e35d960763163d484ae552ca84ac69c928c5da9c733619d0effc55fbb,9cafd9b6e01d951858e96fffb66514fa82a994b97128b3a93f59cb8534feb6d1,32004fefce35b5aa5866494c3c57d7ca500e8845c895471f32e4e965b8447cd8,ee76839654580daebbe90b6fa9c4bc310c75a8dee513a30ad71e694d5af28674,a84d4a29853341b3998bd60491ed0d995fd54d0f77a0041f2066002796c34eee,80ea16f3f69526c987ed0f9662998e6b02b7631cd3fd7339bc762faea43f8b47
"-17","-50","1","-30","0","100000","0","10","1","0.7","0.92","1008805","0.03","10088"
"30","-50","2","-30","0","100000","0","0","0","0.6","0.8","1008805","0","10088"
"30","0","2","-30","0","100000","0","10","0","1.7","1.5","2002901","0","20029"
"-17","-40","1","25","20029101","100000","0","0","1","1.7","1.5","2002901","0.03","20029"
"-32","-23","3","-47","0","100000","0","10","0","1.7","1.5","2002901","0","20029"
"30","0","2","-30","0","100000","0","10","0","1.7","1.5","2002902","0","20029"
"-17","-40","1","25","0","100000","0","0","1","1.7","1.5","2002902","0.03","20029"
"-32","-23","3","-47","0","100000","0","10","0","1.7","1.5","2002902","0","20029"
"30","0","2","-30","0","100000","0","10","0","1.7","1.5","2002903","0","20029"
"-17","-40","1","25","0","100000","0","0","1","1.7","1.5","2002903","0.03","20029"
"-32","-23","3","-47","0","100000","0","10","0","1.7","1.5","2002903","0","20029"
"30","0","2","-30","0","100000","0","10","0","1.7","1.5","2002904","0","20029"
"-17","-40","1","25","0","100000","0","0","1","1.7","1.5","2002904","0.03","20029"
"-32","-23","3","-47","0","100000","0","10","0","1.7","1.5","2002904","0","20029"
"30","0","2","-30","0","100000","0","10","0","1.7","1.5","2002905","0","20029"
"-17","-40","1","25","0","100000","0","0","1","1.7","1.5","2002905","0.03","20029"
"-32","-23","3","-47","0","100000","0","10","0","1.7","1.5","2002905","0","20029"
"-13","-50","1","-25","10115101","100000","0","10","1","0.84","0.92","1011501","0.03","10115"
"13","-50","2","-25","0","100000","0","0","0","0.7","0.8","1011501","0","10115"
"-13","-50","1","-25","10115201","100000","0","10","1","0.84","0.92","1011502","0.03","10115"
"13","-50","2","-25","0","100000","0","0","0","0.7","0.8","1011502","0","10115"
"-13","-50","1","-25","10115301","100000","0","10","1","0.84","0.92","1011503","0.03","10115"
"13","-50","2","-25","0","100000","0","0","0","0.7","0.8","1011503","0","10115"
"-17","-50","1","-30","10115401","100000","0","10","1","0.7","0.92","1011504","0.03","10115"
"30","-50","2","-30","0","100000","0","0","0","0.6","0.8","1011504","0","10115"
"-17","-50","1","-30","0","100000","0","10","1","0.7","0.92","1011505","0.03","10115"
"30","-50","2","-30","0","100000","0","0","0","0.6","0.8","1011505","0","10115"
"-13","-50","1","-25","0","100000","0","10","1","0.84","0.92","2004801","0.03","20048"
"13","-50","2","-25","0","100000","0","0","0","0.7","0.8","2004801","0","20048"
"-13","-50","1","-25","0","100000","0","10","1","0.84","0.92","2004802","0.03","20048"
"13","-50","2","-25","0","100000","0","0","0","0.7","0.8","2004802","0","20048"
"-13","-50","1","-25","0","100000","0","10","1","0.84","0.92","2004803","0.03","20048"
"13","-50","2","-25","0","100000","0","0","0","0.7","0.8","2004803","0","20048"
