6ebbf469e1931292b0c11552e55061a58d3ff5ddd89a09877464534f224eb162,e41e30ee55887ae92adfce8135d6c0fac0b4a05796bf6a23b9ce64250e9ad924,0a34e32c05757de7a4d7a57dc22fb3e410d25f151064df1490c61399ce654367,34377befb80a20e229384f01bdee5ab4c6ca37a86bb63920c5ba82904cae0789,f351a7694dccaebefcbee56993c838547641fa3acf003c6a2559cf85a1987cfe,6f006244f1857f87343f7fbbcb7305bd350cc034814a65fb28bee934a1e53c66
"300413","1","2146023","803100261","114","203"
"300414","0","2146024","803100261","102","105"
"300415","1","2146025","803100261","113","202"
"300416","1","2146026","803100261","114","203"
"300417","0","2146027","803100261","102","105"
"300418","0","2146028","803100261","102","105"
"300419","1","2146029","803100261","113","202"
"300420","1","2146030","803100261","113","202"
"300421","1","2146031","803100262","113","202"
"300422","1","2146032","803100262","114","203"
"300423","0","2146033","803100262","102","105"
"300424","1","2146034","803100262","112","208"
"300425","1","2146035","803100262","110","212"
"300426","1","2146036","803100262","113","202"
"300427","1","2146037","803100262","113","202"
"300428","0","2146038","803100262","102","105"
"300501","0","2146051","803100264","100","104"
"300502","0","2146052","803100264","100","104"
"300503","0","2146053","803100264","100","104"
"300504","0","2146054","803100264","100","104"
"300505","0","2146055","803100264","102","105"
"300506","0","2146056","803100264","103","106"
"300507","0","2146057","803100264","100","104"
"300508","0","2146058","803100264","100","104"
"300509","0","2146059","803100264","102","105"
"300510","0","2146060","803100264","103","106"
"300511","0","2146061","803100265","100","104"
"300512","0","2146062","803100265","100","104"
"300513","0","2146063","803100265","100","104"
"300514","0","2146064","803100265","100","104"
"300515","0","2146065","803100265","102","105"
"300516","0","2146066","803100265","103","106"
"300517","0","2146067","803100265","100","104"
"300518","0","2146068","803100265","100","104"
"300519","0","2146069","803100265","102","105"
"300520","0","2146070","803100265","103","106"
"300521","0","2146071","803100266","100","104"
"300522","0","2146072","803100266","100","104"
"300523","1","2146073","803100266","113","202"
"300524","1","2146074","803100266","114","203"
"300525","0","2146075","803100266","100","104"
"300526","1","2146076","803100266","112","208"
"300527","1","2146077","803100266","110","212"
"300528","1","2146078","803100266","113","202"
"300529","1","2146079","803100266","114","203"
"300530","0","2146080","803100266","100","104"
"300601","1","2146091","803100268","114","203"
"300602","1","2146092","803100268","113","202"
"300603","0","2146093","803100268","102","105"
"300604","1","2146094","803100268","114","203"
"300605","0","2146095","803100268","103","106"
"300606","1","2146096","803100268","114","203"
"300607","1","2146097","803100268","111","204"
"300608","1","2146098","803100268","114","203"
"300609","1","2146099","803100268","113","202"
"300610","0","2146100","803100268","102","105"
"300611","1","2147011","803100269","114","203"
"300612","0","2147012","803100269","103","106"
"300613","1","2147013","803100269","114","203"
"300614","1","2147014","803100269","111","204"
"300615","1","2147015","803100269","110","212"
"300616","1","2147016","803100269","114","203"
"300617","0","2147017","803100269","102","105"
"300618","0","2147018","803100269","103","106"
"300701","1","2147021","803100270","111","204"
"300702","0","2147022","803100270","100","104"
"300703","0","2147023","803100270","101","107"
"300704","1","2147024","803100270","113","202"
"300705","1","2147025","803100270","114","203"
"300706","0","2147026","803100270","102","105"
"300707","1","2147027","803100270","112","205"
"300708","1","2147028","803100270","111","204"
"300709","0","2147029","803100270","100","104"
"300710","0","2147030","803100270","101","107"
"300711","1","2147031","803100271","113","202"
"300712","1","2147032","803100271","114","203"
"300713","0","2147033","803100271","102","105"
"300714","1","2147034","803100271","112","205"
"300715","0","2147035","803100271","107","110"
"300716","1","2147036","803100271","111","204"
"300717","0","2147037","803100271","100","104"
"300718","0","2147038","803100271","101","107"
