2235c56da14e8b95e060c3acda67bacb86244626611e2e4fde12cd5dcddb1325,c4788c117a1a66f2fe4b372064d818e84d91a7ec8d0a50fd644ce04ce01c4204,36a68bbaf1efdfcf99548b936c8a9b70e9a59f40760f380a681c6d5058b5a42c,8d7068cbf523a0014bd8cf14f46598bb0e4a21a833d08586f223f3491cea6c02,84924a53531b06740be2307f7e57c12496ca3f80f91aa0d96f5a5fc8482722c3,e3a59c8d0a47a9f9602a63bfbf32abdd3f0259c2d676cef2fa1aa3f52bf8df41,5d1a4e1c571037b12a9ba9819b297bfaecfb4749d2d350348eeb00dedff48a12,6a87864b23d886441a407e0f8b0fcd3c571b68560e3132e2f31343f6ff651631,8a3b34cf33b2c38d86e1e9b592c94e320a1ab43cf36b6f313001cff02df45e16,fc792293c77801c9406ee5ddd2e9b1ef85ad9dc8d6a20afb0b577fa76c2a8966,82fc871bf0d067b7ad8e41e5c5d5512819299f9a6d73dc21dd4e781d5a8df701,d511019355ab3a393f9b73c3426d6a3caf78dcc57f548ef4ef5fa22621d9b745,93d9c8ddbbac8aec701bb8609179aae24c050b19b47b59141e6ea3bbe88e1b73,dbe51c190e3e8352c8b2c53c3da38f942772e076851999ea2a5cf6c874714b42,421d492f603229af024ac68a51da3b83ecd14bd71aff138b75a8ed1a13dfe658,d51e0b47ce1fc20205436ef9885437569f1e52008cb19296901fa568dee5be82,238105ae84a2d14f7837fda06921fdc1d8315a0c678bb2beb4029b848f82b530,404d208e6f5610a12aab9e6951bcaf9d9d6b22ef346250993cc0143d8b006369,007a749718921849da03869d26d132b5da2bceb1489dcfc2e3a1b7ade5791898
"-33","3","0","0","5","0","0","0","10142","1.45","301","1.5","1","0","0","0","1","","610142009"
"-33","1","0","0","5","3","0","0","10144","1","304","5.5","1","0","65","0","1","","610144007"
"-40","2","610144502","0","5","3","0","0","10144","0.85","304","1.5","1","600","0","0","2","","610144008"
"-33","3","0","0","5","0","0","0","10144","1","304","1.5","1","0","0","0","1","","610144009"
"-45","1","610146501","0","5","3","0","0","10146","0.87","307","5.5","1","600","0","0","2","","610146007"
"-45","2","0","0","5","0","0","0","10146","1.18","307","1.5","1","0","58","0","1","","610146008"
"-45","3","0","0","5","0","0","0","10146","1.18","307","1.5","1","0","0","0","1","","610146009"
"-50","1","610148501","0","5","3","0","0","10148","1.4","310","5.5","1","600","0","0","2","","610148007"
"-50","2","0","0","5","0","0","0","10148","1.7","310","1.5","1","0","68","0","1","","610148008"
"-50","3","0","0","5","0","0","0","10148","1.7","310","1.5","1","0","0","0","1","","610148009"
"-33","1","0","0","5","3","0","0","10150","1.35","313","5.5","1","0","71","0","1","","610150007"
"-33","2","0","0","5","3","0","0","10150","1.35","313","1.5","1","0","50","0","1","","610150008"
"-33","3","0","0","5","0","0","0","10150","1.35","313","1.5","1","0","0","0","1","","610150009"
"20","1","610152501","0","5","4.8","0","0","10152","0.7","316","5.5","1","600","0","0","2","","610152007"
"30","2","0","0","5","0","0","0","10152","0.96","316","1.5","1","0","81","0","1","","610152008"
"30","3","0","0","5","0","0","0","10152","0.96","316","1.5","1","0","0","0","1","","610152009"
"-33","1","0","0","5","3","0","0","10154","1.25","319","5.5","1","0","68","0","1","","610154007"
"-10","2","610154502","0","5","3","0","0","10154","1","319","1.5","1","600","0","0","2","","610154008"
"-33","3","0","0","5","0","0","0","10154","1.25","319","1.5","1","0","0","0","1","","610154009"
"5","1","610156501","0","5","3","0","0","10156","0.85","322","5.5","1","600","0","0","2","","610156007"
"-10","2","0","0","5","3","0","0","10156","1.11","322","1.5","1","600","75","0","1","","610156008"
"-10","3","0","0","5","0","0","0","10156","1.11","322","1.5","1","0","0","0","1","","610156009"
"-40","1","610158501","0","5","3","0","0","10158","1.5","325","5.5","1","600","0","0","2","","610158007"
"-33","2","0","0","5","0","0","0","10158","1.75","325","1.5","1","0","65","0","1","","610158008"
"-33","3","0","0","5","0","0","0","10158","1.75","325","1.5","1","0","0","0","1","","610158009"
"-35","1","610160501","0","5","4.8","0","20","10160","1.4","328","5.5","1","600","0","0","3","","610160007"
"-35","2","0","0","5","0","0","0","10160","1.4","328","1.5","1","0","70","0","1","","610160008"
"-35","3","0","0","5","0","0","0","10160","1.4","328","1.5","1","0","0","0","1","","610160009"
