051d158d9b19ce7e74eca6d25ba56da7448c59815808220d53f2eb26b3ec7602,1dbea46304994e7a7fb03a68fcbb21a50172fad5f4e3677e5275082ed33b93f7,ee485cbda794bd38e8553558be4689281d84c0d525c7fe5702b390e4c7f85853,0cc0cc5f6ed567f852ce2c6f14e1515e1cbcdc53b769323c70f426f80525bba6,c42209ca45148f1c1e3451caacd61eb0ae5b61654aa0601d9d76e07d6e5e397e,bd75de3fa96048f42f77fbe148be334c8dd428f4658dcf9e17272985ed43bd73,303322328e0c5ab906a18cdac070a6bb22dcebbe624018afb5919767b3f7a726
"3","8","1","1","5","0","12"
"4","8","1","1","12","0","5"
"5","8","1","2","10","0","1"
"6","8","1","1","12","0","5"
"7","8","1","1","12","0","5"
"8","8","1","2","10","0","1"
"9","8","1","2","9","0","8"
"10","8","2","1","9","0","4"
"1","9","1","1","8","0","4"
"2","9","1","1","10","0","5"
"3","9","1","2","7","0","4"
"4","9","1","2","8","0","6"
"5","9","1","1","10","0","1"
"6","9","1","1","11","0","11"
"7","9","1","1","6","0","1"
"8","9","1","2","8","0","5"
"9","9","1","2","7","0","8"
"10","9","1","1","6","0","4"
"1","10","1","2","10","0","11"
"2","10","1","1","7","0","1"
"3","10","2","1","8","0","8"
"4","10","1","2","9","0","5"
"5","10","1","1","8","0","10"
"6","10","2","1","7","0","1"
"7","10","2","1","6","0","2"
"8","10","1","1","10","0","11"
"9","10","1","2","10","0","8"
"1","11","1","1","8","0","9"
"2","11","1","2","0","0","5"
"3","11","1","2","12","0","6"
"4","11","1","1","5","0","1"
"5","11","1","2","10","0","5"
"6","11","1","2","12","0","6"
"7","11","1","1","4","0","1"
"8","11","1","1","0","0","11"
"9","11","1","1","0","0","6"
"10","11","1","2","10","0","1"
"11","11","1","1","11","0","6"
"12","11","1","2","12","0","1"
"13","11","1","2","6","0","5"
"14","11","1","1","7","0","10"
"15","11","1","2","7","0","4"
"1","12","1","2","4","0","11"
"2","12","1","1","5","0","1"
"3","12","1","2","10","0","6"
"4","12","1","2","10","0","5"
"5","12","1","1","0","0","11"
"6","12","1","2","0","0","6"
"7","12","1","2","17","0","12"
"8","12","1","1","1","0","5"
"9","12","1","1","2","0","1"
"10","12","1","2","10","0","6"
"11","12","1","2","10","0","4"
"12","12","1","1","0","0","1"
"13","12","1","1","13","0","5"
"14","12","1","2","8","0","11"
"15","12","1","1","10","0","8"
"1","13","1","1","10","0","11"
"2","13","1","3","8","0","11"
"3","13","1","2","0","0","6"
"4","13","1","1","10","0","11"
"5","13","1","2","7","0","11"
"6","13","1","3","6","0","2"
"7","13","1","3","0","1500","1"
"8","13","3","1","5","0","11"
"9","13","1","3","10","0","5"
"10","13","1","2","4","0","1"
"11","13","1","1","4","0","1"
"12","13","1","3","6","0","6"
"13","13","1","1","6","0","4"
"14","13","3","1","10","0","9"
"15","13","1","3","10","0","8"
"16","13","1","1","6","0","4"
"17","13","1","3","0","0","1"
"18","13","1","2","8","0","8"
"1","14","1","1","0","0","11"
"2","14","2","1","13","0","2"
"3","14","1","3","10","0","11"
"4","14","1","1","10","0","1"
"5","14","2","1","10","0","4"
"6","14","1","2","0","0","11"
"7","14","1","2","0","0","1"
"8","14","1","1","10","0","1"
"9","14","1","3","12","0","12"
"10","14","1","3","12","0","12"
"11","14","1","3","0","0","5"
"12","14","1","1","12","0","5"
"13","14","2","1","6","0","10"
"14","14","1","1","10","0","11"
"15","14","3","1","6","0","10"
"16","14","1","1","10","0","11"
"17","14","3","1","6","0","2"
"18","14","2","1","6","0","10"
"19","14","1","1","4","0","11"
"20","14","1","2","10","0","8"
"21","14","3","1","4","0","8"
"1","15","1","2","10","0","12"
"2","15","1","1","12","0","12"
"3","15","1","3","12","0","11"
"4","15","1","1","6","0","11"
"5","15","1","2","12","0","12"
"6","15","1","2","0","0","5"
"7","15","1","1","12","0","11"
"8","15","1","1","0","0","1"
"9","15","1","1","0","0","5"
"10","15","2","1","12","0","12"
"11","15","1","3","0","0","11"
"12","15","1","3","11","0","12"
"13","15","1","2","9","0","1"
"14","15","1","1","12","0","1"
"15","15","1","1","0","0","12"
"16","15","1","1","9","0","12"
"17","15","1","2","4","0","11"
"18","15","3","1","4","0","11"
"19","15","1","2","12","0","5"
"20","15","1","2","0","0","12"
"21","15","1","2","7","0","12"
"22","15","3","1","12","0","12"
"23","15","3","1","7","0","1"
"24","15","1","3","0","0","4"
"25","15","3","1","10","0","4"
"26","15","1","2","0","0","8"
"27","15","1","1","0","0","11"
"28","15","1","2","0","0","11"
"1","16","1","1","0","0","6"
"2","16","1","2","10","0","11"
"3","16","1","3","0","0","12"
"4","16","1","2","0","0","4"
"5","16","1","1","12","0","6"
"6","16","1","1","0","0","6"
"7","16","1","2","4","0","4"
"8","16","1","3","4","0","5"
"9","16","1","3","0","0","1"
"10","16","1","1","17","0","12"
"11","16","1","2","0","0","11"
"12","16","1","3","10","0","1"
"13","16","1","2","11","0","11"
"14","16","1","3","0","0","11"
"15","16","1","1","12","0","12"
"16","16","1","1","10","0","11"
"17","16","1","1","10","0","11"
"18","16","1","1","6","0","6"
"19","16","1","2","6","0","11"
"20","16","1","3","8","0","1"
"21","16","1","3","8","0","5"
"22","16","1","1","9","0","4"
"23","16","1","1","10","0","11"
"1","17","1","1","4","0","11"
"2","17","3","1","10","0","4"
"3","17","1","1","4","0","11"
"4","17","1","1","0","0","1"
"5","17","2","1","10","0","1"
"6","17","1","2","4","0","11"
"7","17","2","1","10","0","1"
"8","17","1","2","4","0","11"
"9","17","1","3","0","0","1"
"10","17","2","1","10","0","8"
"11","17","1","1","12","0","12"
"12","17","1","3","4","0","11"
"13","17","3","1","4","0","1"
"14","17","1","1","10","0","11"
"15","17","2","1","0","0","1"
"16","17","2","1","4","0","11"
"17","17","2","1","7","0","8"
"18","17","1","1","0","0","11"
"19","17","3","1","6","0","2"
"20","17","1","1","10","0","10"
"21","17","1","2","10","0","11"
"22","17","1","3","7","0","8"
"1","18","1","1","4","0","11"
"2","18","2","1","13","0","5"
"3","18","1","1","10","0","4"
"4","18","1","2","10","0","4"
"5","18","1","3","10","0","11"
"6","18","3","1","7","0","5"
"7","18","1","1","10","0","11"
"8","18","1","3","10","0","4"
"9","18","1","2","10","0","11"
"10","18","3","1","6","0","5"
"11","18","1","1","10","0","11"
"12","18","1","2","10","0","11"
"13","18","1","3","10","0","4"
"14","18","2","1","8","0","5"
"15","18","2","1","6","0","6"
"16","18","1","3","0","0","10"
"17","18","1","2","0","0","10"
"18","18","1","1","0","0","10"
"19","18","2","1","7","0","10"
"20","18","1","1","10","0","8"
"21","18","1","1","10","0","11"
"22","18","2","1","9","0","2"
"1","19","2","1","0","0","13"
"2","19","2","1","8","0","4"
"3","19","2","1","0","0","8"
"1","20","2","1","10","0","14"
"2","20","2","1","0","0","8"
"1","21","2","1","13","0","15"
"1","22","2","1","0","0","15"
"2","22","2","1","0","0","13"
"1","23","2","1","0","0","42"
"2","23","2","1","0","0","72"
"1","24","2","1","0","0","43"
"1","25","2","1","0","0","44"
"1","26","2","1","0","0","45"
"1","27","2","1","0","0","46"
"1","28","2","1","0","0","47"
"1","29","2","1","0","0","14"
"1","30","1","1","0","0","15"
"2","30","1","2","0","0","8"
"3","30","1","1","13","0","10"
"4","30","1","2","13","0","10"
"5","30","1","2","9","0","12"
"6","30","1","1","6","0","72"
"7","30","2","1","8","0","2"
"8","30","2","1","0","0","13"
"1","31","1","1","8","0","4"
"2","31","1","2","0","0","1"
"3","31","1","1","6","0","10"
"4","31","1","2","0","0","4"
"5","31","1","1","7","0","9"
"6","31","1","2","0","0","1"
"1","32","1","1","6","0","10"
"2","32","1","2","13","0","10"
"3","32","1","3","0","0","1"
"4","32","1","2","11","0","2"
"5","32","1","1","8","0","2"
"6","32","1","3","0","0","1"
"7","32","1","3","7","0","72"
"1","33","1","3","0","0","6"
"2","33","3","1","13","0","10"
"3","33","1","3","3","0","3"
"4","33","3","1","0","0","72"
"5","33","1","3","2","0","12"
"1","34","2","1","6","0","4"
"2","34","1","1","7","0","5"
"3","34","1","2","0","0","1"
"4","34","1","2","8","0","12"
"5","34","1","1","0","0","1"
"6","34","2","1","0","0","15"
"1","35","2","1","0","0","8"
"2","35","2","1","10","0","72"
"3","35","2","1","0","0","13"
"1","36","2","1","0","0","4"
"2","36","1","1","6","0","6"
"3","36","1","1","0","0","1"
"4","36","1","2","10","0","72"
"5","36","1","2","0","0","9"
"6","36","2","2","7","0","2"
"1","37","2","1","7","0","8"
"2","37","1","1","0","0","4"
"3","37","1","2","0","0","5"
"4","37","2","1","6","0","13"
"1","38","2","1","10","0","13"
"2","38","1","1","8","0","5"
"3","38","1","2","7","0","6"
"4","38","1","1","0","0","1"
"5","38","1","2","7","0","9"
"6","38","1","2","13","0","15"
"7","38","2","1","0","0","8"
"1","39","2","1","6","0","4"
"2","39","1","1","13","0","6"
"3","39","1","2","10","0","72"
"4","39","2","1","6","0","13"
