b0b0f5242438a21774f022f6c36375b90bc33b18d72a42d87da108a122f10f3f,67238ab88302f84a289afc4f7ccd499a7ccedb453a9826d5f48d870ac7501759,9e414c8d01ec812661c134c5e4789a2be34a7c3162cf5a6e6a552e54dcd0c56e,14e84bdfe10a6edda667b5eb3fd3557fc79b6fa56d52273bfa7a3486925f661b,695f6a4e68a35c24e1c289f1ac1aeea12affe13fae04ea75d3d6e76538c0a149,158c7c212cf47f9fd75e46126611946fdeaa313eff27179ea3dccd1372f9c6fb,ab066b0b395aca486971cac6c572484af12b59d2944ef6ea85012023dc50bfcd,b59b754771be5c9a6eb1b443332ec76d6f94728f102b116e812648342e04659a,2b245088e3b42edd1aaac508139fb587bb696d6d6292ec480cd265d516b3b962,5d4f43481fc82c2e8ad9be681ce3fb05510ef20d4f3cacf00a4ff49c9a8ad3e7,e822454302e7ea648c4730e04e08461f2cedcd041884bdfc205c303575f512fe,891a61d05ca2b659a09690f5fbfcf66ac6a7f65fd5e2d21b30e561903a69dac9
"1150028","2","vo_10011600","0","0","28","0","0","0","vo_10011600_1510","0","15"
"1150029","1","0","0","320","29","770","6","0","0","1.87012987012987","15"
"1150030","4","0","2.87012987012987","0","30","0","6","1","0","0","15"
"1150031","2","vo_10011600","0","0","31","0","0","0","vo_10011600_1511","0","15"
"1150032","1","0","0","0","32","375","7","0","0","1.55844155844156","15"
"1150033","4","0","1.75844155844156","0","33","0","7","1","0","0","15"
"1150034","2","vo_10011600","0","0","34","0","0","0","vo_10011600_1512","0","15"
"1150035","1","0","0","375","35","680","7","0","0","1.26753246753247","15"
"1150036","4","0","2.51753246753247","0","36","0","7","1","0","0","15"
"1150037","2","vo_10011600","0","0","37","0","0","0","vo_10011600_1513","0","15"
"1150038","1","0","0","0","38","480","8","0","0","1.99480519480519","15"
"1150039","4","0","2.49480519480519","0","39","0","8","1","0","0","15"
"1150040","2","vo_10011600","0","0","40","0","0","0","vo_10011600_1514","0","15"
"1150041","1","0","0","480","41","730","8","0","0","1.03896103896104","15"
"1150042","4","0","2.53896103896104","0","42","0","8","1","0","0","15"
"1150043","1","0","0","0","43","400","9","0","0","0.01","15"
"1150044","4","0","0","0","44","0","9","1","0","0","15"
"1150045","2","vo_10011600","0","0","45","0","0","0","vo_10011600_1515","0","15"
"1150046","1","0","0","400","46","720","9","0","0","1.32987012987013","15"
"1160001","2","vo_10011600","0","0","1","0","0","0","vo_10011600_1601","0","16"
"1160002","1","0","0","0","2","150","1","0","0","0.623376623376623","16"
"1160003","4","0","2.12337662337662","0","3","0","1","1","0","0","16"
"1160004","2","vo_10011600","0","0","4","0","0","0","vo_10011600_1602","0","16"
"1160005","1","0","0","0","5","700","2","0","0","3.63636363636364","16"
"1160006","4","0","5.13636363636364","0","6","0","2","1","0","0","16"
"1160007","2","vo_10011600","0","0","7","0","0","0","vo_10011600_1603","0","16"
"1160008","1","0","0","0","8","285","3","0","0","1.18441558441558","16"
"1160009","4","0","2.18441558441558","0","9","0","3","1","0","0","16"
"1160010","2","vo_10011600","0","0","10","0","0","0","vo_10011600_1604","0","16"
"1160011","1","0","0","285","11","370","3","0","0","0.353246753246753","16"
"1160012","4","0","0.553246753246753","0","12","0","3","1","0","0","16"
"1160013","2","vo_10011600","0","0","13","0","0","0","vo_10011600_1605","0","16"
"1160014","1","0","0","370","14","635","3","0","0","1.1012987012987","16"
"1160015","4","0","1.1012987012987","0","15","0","3","1","0","0","16"
"1160016","1","0","0","0","16","470","4","0","0","1.95324675324675","16"
"1160017","4","0","2.45324675324675","0","17","0","4","1","0","0","16"
"1160018","2","vo_10011600","0","0","18","0","0","0","vo_10011600_1606","0","16"
"1160019","1","0","0","470","19","660","4","0","0","0.78961038961039","16"
"1160020","4","0","1.78961038961039","0","20","0","4","1","0","0","16"
"1160021","2","vo_10011600","0","0","21","0","0","0","vo_10011600_1607","0","16"
"1160022","1","0","0","0","22","480","5","0","0","1.99480519480519","16"
"1160023","4","0","2.99480519480519","0","23","0","5","1","0","0","16"
"1160024","2","vo_10011600","0","0","24","0","0","0","vo_10011600_1608","0","16"
"1160025","1","0","0","480","25","660","5","0","0","0.748051948051948","16"
"1160026","4","0","1.99805194805195","0","26","0","5","1","0","0","16"
"1160027","2","vo_10011600","0","0","27","0","0","0","vo_10011600_1609","0","16"
"1160028","1","0","0","0","28","370","6","0","0","1.53766233766234","16"
"1160029","4","0","2.13766233766234","0","29","0","6","1","0","0","16"
"1160030","2","vo_10011600","0","0","30","0","0","0","vo_10011600_1610","0","16"
"1160031","1","0","0","370","31","710","6","0","0","1.41298701298701","16"
"1160032","4","0","1.41298701298701","0","32","0","6","1","0","0","16"
"1160033","1","0","0","0","33","190","7","0","0","0.78961038961039","16"
"1160034","4","0","2.33961038961039","0","34","0","7","1","0","0","16"
"1160035","2","vo_10011600","0","0","35","0","0","0","vo_10011600_1611","0","16"
"1160036","1","0","0","190","36","360","7","0","0","0.706493506493507","16"
"1160037","4","0","1.00649350649351","0","37","0","7","1","0","0","16"
"1160038","2","vo_10011600","0","0","38","0","0","0","vo_10011600_1612","0","16"
"1160039","1","0","0","360","39","710","7","0","0","1.45454545454545","16"
"1160040","4","0","2.95454545454545","0","40","0","7","1","0","0","16"
"1160041","2","vo_10011600","0","0","41","0","0","0","vo_10011600_1613","0","16"
"1160042","1","0","0","710","42","770","7","0","0","0.249350649350649","16"
"1160043","4","0","0.749350649350649","0","43","0","7","1","0","0","16"
"1160044","2","vo_10011600","0","0","44","0","0","0","vo_10011600_1614","0","16"
"1160045","1","0","0","0","45","558","8","0","0","2.31896103896104","16"
"1160046","4","0","3.71896103896104","0","46","0","8","1","0","0","16"
"1160047","2","vo_10011600","0","0","47","0","0","0","vo_10011600_1615","0","16"
"1160048","1","0","0","558","48","730","8","0","0","0.714805194805195","16"
"1160049","4","0","2.71480519480519","0","49","0","8","1","0","0","16"
"1160050","1","0","0","0","50","560","9","0","0","0.01","16"
"1160051","4","0","0","0","51","0","9","1","0","0","16"
"1160052","2","vo_10011600","0","0","52","0","0","0","vo_10011600_1616","0","16"
"1160053","1","0","0","560","53","710","9","0","0","0.623376623376623","16"
"1170001","2","vo_10011600","0","0","1","0","0","0","vo_10011600_1701","0","17"
"1170002","1","0","0","0","2","160","1","0","0","0.664935064935065","17"
"1170003","4","0","2.16493506493507","0","3","0","1","1","0","0","17"
"1170004","2","vo_10011600","0","0","4","0","0","0","vo_10011600_1702","0","17"
"1170005","1","0","0","0","5","125","2","0","0","0.730519480519481","17"
"1170006","4","0","1.53051948051948","0","6","0","2","1","0","0","17"
"1170007","2","vo_10011600","0","0","7","0","0","0","vo_10011600_1703","0","17"
"1170008","1","0","0","125","8","770","2","0","0","3.35064935064935","17"
"1170009","4","0","4.85064935064935","0","9","0","2","1","0","0","17"
"1170010","2","vo_10011600","0","0","10","0","0","0","vo_10011600_1704","0","17"
"1170011","1","0","0","0","11","205","3","0","0","0.851948051948052","17"
"1170012","4","0","2.10194805194805","0","12","0","3","1","0","0","17"
"1170013","2","vo_10011600","0","0","13","0","0","0","vo_10011600_1705","0","17"
"1170014","1","0","0","205","14","730","3","0","0","2.72727272727273","17"
"1170015","4","0","4.47727272727273","0","15","0","3","1","0","0","17"
"1170016","2","vo_10011600","0","0","16","0","0","0","vo_10011600_1706","0","17"
"1170017","1","0","0","0","17","400","4","0","0","1.66233766233766","17"
"1170018","4","0","2.86233766233766","0","18","0","4","1","0","0","17"
"1170019","2","vo_10011600","0","0","19","0","0","0","vo_10011600_1707","0","17"
"1170020","1","0","0","400","20","710","4","0","0","1.28831168831169","17"
"1170021","4","0","3.03831168831169","0","21","0","4","1","0","0","17"
"1170022","2","vo_10011600","0","0","22","0","0","0","vo_10011600_1708","0","17"
"1170023","1","0","0","0","23","570","5","0","0","2.36883116883117","17"
"1170024","4","0","3.76883116883117","0","24","0","5","1","0","0","17"
"1170025","2","vo_10011600","0","0","25","0","0","0","vo_10011600_1709","0","17"
"1170026","1","0","0","0","26","360","6","0","0","1.4961038961039","17"
"1170027","4","0","2.2461038961039","0","27","0","6","1","0","0","17"
"1170028","2","vo_10011600","0","0","28","0","0","0","vo_10011600_1710","0","17"
"1170029","1","0","0","360","29","595","6","0","0","0.976623376623377","17"
"1170030","4","0","1.97662337662338","0","30","0","6","1","0","0","17"
"1170031","2","vo_10011600","0","0","31","0","0","0","vo_10011600_1711","0","17"
"1170032","1","0","0","0","32","333","7","0","0","1.3838961038961","17"
"1170033","4","0","2.7838961038961","0","33","0","7","1","0","0","17"
"1170034","2","vo_10011600","0","0","34","0","0","0","vo_10011600_1712","0","17"
"1170035","1","0","0","333","35","530","7","0","0","0.818701298701299","17"
"1170036","4","0","1.8187012987013","0","36","0","7","1","0","0","17"
"1170037","2","vo_10011600","0","0","37","0","0","0","vo_10011600_1713","0","17"
"1170038","1","0","0","530","38","740","7","0","0","0.872727272727273","17"
"1170039","4","0","2.67272727272727","0","39","0","7","1","0","0","17"
"1170040","2","vo_10011600","0","0","40","0","0","0","vo_10011600_1714","0","17"
"1170041","1","0","0","0","41","140","8","0","0","0.581818181818182","17"
"1170042","4","0","1.38181818181818","0","42","0","8","1","0","0","17"
"1170043","2","vo_10011600","0","0","43","0","0","0","vo_10011600_1715","0","17"
"1170044","1","0","0","140","44","465","8","0","0","1.35064935064935","17"
"1170045","4","0","2.60064935064935","0","45","0","8","1","0","0","17"
"1170046","2","vo_10011600","0","0","46","0","0","0","vo_10011600_1716","0","17"
"1170047","1","0","0","465","47","700","8","0","0","0.976623376623377","17"
"1170048","4","0","2.97662337662338","0","48","0","8","1","0","0","17"
"1170049","1","0","0","0","49","470","9","0","0","0.01","17"
"1170050","4","0","0","0","50","0","9","1","0","0","17"
"1170051","2","vo_10011600","0","0","51","0","0","0","vo_10011600_1717","0","17"
"1170052","1","0","0","470","52","700","9","0","0","1.19480519480519","17"
