5e8ca875342e8aeecc1d03d7f027421bb4e44df0971fb0fc326bed8179810e2c,6b734e6f3337bd36bb774a2f185d901b0324060248b0ce7aaddb108cf880d74f,bde81d79a4a6c29dc7326d9fab17e11ecee76f5ba705e3791c88c357e9d6b1d6,ac32a9a29dd47ec70bc0944db21e80b66977dfc9e8a93ab55b43be73e8e9fe86,1f444120f2cdccd5f568e446096d6fc319459a0a328c5029007015b6654253ce,dbac1245338d84826972ff85972f3a06307a2db6e6449bd5f1f167cbda9e78c6,42be14b9798159ac43c4338a837a438d54aeec2d520d7473f71c9998d44c92dc,2898deecb631339befe1e3aa31bdf5a3eecc913a3fcf7563170bec864e2c99e5,43df1d24d8f0da43fb00eec857ab6075a6ed957065a09eee813248fef57b7029
"9600","2","20001","","3","1","2","","5"
"7200","2","20001","","3","1","3","","7"
"5400","2","20001","","3","1","4","","10"
"3600","2","20001","","3","1","5","","15"
"9600","2","20002","","3","1","6","","6"
"7200","2","20002","","3","1","7","","8"
"4800","2","20002","","3","1","8","","12"
"3600","2","20002","","3","1","9","","16"
"2700","2","20002","","3","1","10","","20"
"10800","2","20003","","3","1","11","","6"
"9000","2","20003","","3","1","12","","8"
"7200","2","20003","","3","1","13","","12"
"5400","2","20003","","3","1","14","","16"
"3600","2","20003","","3","1","15","","20"
"2880","2","20003","","3","1","16","","30"
"12600","2","20004","","3","1","17","","7"
"11400","2","20004","","3","1","18","","8"
"10200","2","20004","","3","1","19","","9"
"9300","2","20004","","3","1","20","","10"
"8700","2","20004","","3","1","21","","10"
"6600","2","20004","","3","1","22","","13"
"6300","2","20004","","3","1","23","","14"
"6000","2","20004","","3","1","24","","15"
"5700","2","20004","","3","1","25","","15"
"5400","2","20004","","3","1","26","","16"
"5100","2","20004","","3","1","27","","17"
"4860","2","20004","","3","1","28","","18"
"4620","2","20004","","3","1","29","","19"
"4440","2","20004","","3","1","30","","20"
"4260","2","20004","","3","1","31","","21"
"4080","2","20004","","3","1","32","","22"
"3960","2","20004","","3","1","33","","22"
"21600","12","94002","","4","3000","1","","12000"
"21600","12","94002","","4","4500","2","","18000"
"21600","12","94002","","4","6000","3","","24000"
"21600","12","94002","","4","7500","4","","30000"
"21600","12","94002","","4","10500","5","","42000"
"21600","12","94002","","4","13500","6","","54000"
"21600","12","94002","","4","16500","7","","66000"
"21600","12","94002","","4","21000","8","","84000"
"21600","12","94002","","4","25500","9","","102000"
"21600","12","94002","","4","30000","10","","120000"
"21600","12","94002","","4","36000","11","","144000"
"21600","12","94002","","4","42000","12","","168000"
"21600","12","94002","","4","48000","13","","192000"
"21600","12","94002","","4","55500","14","","222000"
"21600","12","94002","","4","63000","15","","252000"
"21600","12","94002","","4","70500","16","","282000"
"21600","12","94002","","4","79500","17","","318000"
"21600","12","94002","","4","88500","18","","354000"
"21600","12","94002","","4","97500","19","","390000"
"21600","12","94002","","4","108000","20","","432000"
"21600","12","94002","","4","118500","21","","474000"
"21600","12","94002","","4","129000","22","","516000"
"21600","12","94002","","4","140500","23","","562000"
"21600","12","94002","","4","150000","24","","600000"
"21600","12","94002","","4","160500","25","","642000"
"21600","12","94002","","4","171000","26","","684000"
"21600","12","94002","","4","181500","27","","726000"
"21600","12","94002","","4","192000","28","","768000"
"21600","12","94002","","4","202500","29","","810000"
"21600","12","94002","","4","213000","30","","852000"
"21600","12","94002","","4","223500","31","","894000"
"21600","12","94002","","4","230000","32","","920000"
"21600","12","94002","","4","235000","33","","940000"
"21600","6","93001","","5","12","1","","48"
"21600","6","93001","","6","12","1","","48"
"21600","6","93001","","7","12","1","","48"
"21600","6","93001","","8","12","1","","48"
"21600","6","93001","","11","12","1","","48"
"21600","6","93001","","12","12","1","","48"
"21600","6","93001","","19","12","1","","48"
"0","0","0","4999999999","23","1","0","14999999999","0"
"21600","6","93001","","25","12","1","","48"
"21600","6","93001","","28","12","1","","48"
"21600","6","93001","","30","12","1","","48"
