1abf51929352844a3687da2945f3e98ec98fce3d5ad5c59561ce34f8b56a9a9c,9eb96929e1450a2c531aacdba768840344330c48f98e4b2432140ba18e52fc8d,210b402981817afdffbca90f188185cd65ebf460eb432611cca345f40f2ed0bd,26a47d71d87eb5a84ab6170557139aee183064ac7a17277de990a9fa2fec676f,36934989163b8cdb415e495d84dfa6ec0c2a43deb74a58efd0cc1655a0ec0968,de25bce0ea2bd6b7df86b8fd6edd5aa8429ccd95883c42648c3126ac63e643de,9428e94189f65c2cc48b7a29b5229d516b2b0449ae9365f161f9bbe136efe4b5,914437206bf3ee8ffb288dd97f59f9e72ad4c1e23672d33421be3309321502af,92aa63d95f98f3ef2cf66ef2b20bb4e952257b486ba880511f49d985998c0553,03eab214d368abc80d2566ae38b78b7825f4180745251a4eacbccd86d279ac6e,2c4214b277542e375d120ad37d7d9fac361e8220c64c530b37266073c7539115
"15","20","25021","284001020","25014","62","91002","30","2","8","2"
"16","21","25021","284001021","25014","68","91002","10","2","8","2"
"16","22","25021","284001022","25014","70","91002","10","2","8","2"
"16","23","25021","284001023","25014","72","91002","10","2","8","2"
"17","24","25021","284001024","25014","75","91002","10","2","8","2"
"18","25","25021","284001025","25014","77","91002","10","2","8","2"
"18","26","25021","284001026","25014","79","91002","10","2","8","2"
"19","27","25021","284001027","25014","82","91002","10","2","8","2"
"19","28","25021","284001028","25014","84","91002","10","2","8","2"
"19","29","25021","284001029","25014","86","91002","10","2","8","2"
"20","30","25021","284001030","25014","89","91002","30","2","8","2"
"20","31","25021","284001031","25014","94","91002","10","2","8","2"
"21","32","25021","284001032","25014","96","91002","10","2","8","2"
"21","33","25021","284001033","25014","99","91002","10","2","8","2"
"22","34","25021","284001034","25014","101","91002","10","2","8","2"
"22","35","25021","284001035","25014","103","91002","10","2","8","2"
"23","36","25021","284001036","25014","106","91002","10","2","8","2"
"23","37","25021","284001037","25014","108","91002","10","2","8","2"
"24","38","25021","284001038","25014","111","91002","10","2","8","2"
"25","39","25021","284001039","25014","113","91002","10","2","8","2"
"25","40","25021","284001040","25014","115","91002","30","2","8","2"
"26","41","25021","284001041","25014","121","91002","10","2","8","2"
"27","42","25021","284001042","25014","123","91002","10","2","8","2"
"28","43","25021","284001043","25014","125","91002","10","2","8","2"
"28","44","25021","284001044","25014","128","91002","10","2","8","2"
"29","45","25021","284001045","25014","130","91002","10","2","8","2"
"30","46","25021","284001046","25014","132","91002","10","2","8","2"
"30","47","25021","284001047","25014","135","91002","10","2","8","2"
"31","48","25021","284001048","25014","137","91002","10","2","8","2"
"31","49","25021","284001049","25014","139","91002","10","2","8","2"
"31","50","25021","284001050","25014","142","91002","30","2","8","2"
"32","51","25021","284001051","25014","144","91002","10","2","8","2"
"32","52","25021","284001052","25014","146","91002","10","2","8","2"
"32","53","25021","284001053","25014","149","91002","10","2","8","2"
"33","54","25021","284001054","25014","152","91002","10","2","8","2"
"33","55","25021","284001055","25014","155","91002","10","2","8","2"
"33","56","25021","284001056","25014","157","91002","10","2","8","2"
"34","57","25021","284001057","25014","160","91002","10","2","8","2"
"34","58","25021","284001058","25014","163","91002","10","2","8","2"
"34","59","25021","284001059","25014","166","91002","10","2","8","2"
"35","60","25021","284001060","25014","169","91002","30","2","8","2"
"35","61","25021","284001061","25014","171","91002","10","2","8","2"
"35","62","25021","284001062","25014","174","91002","10","2","8","2"
"36","63","25021","284001063","25014","177","91002","10","2","8","2"
"36","64","25021","284001064","25014","180","91002","10","2","8","2"
"36","65","25021","284001065","25014","182","91002","10","2","8","2"
"37","66","25021","284001066","25014","185","91002","10","2","8","2"
"37","67","25021","284001067","25014","187","91002","10","2","8","2"
"37","68","25021","284001068","25014","190","91002","10","2","8","2"
"38","69","25021","284001069","25014","193","91002","10","2","8","2"
"38","70","25021","284001070","25014","196","91002","30","2","8","2"
"39","71","25021","284001071","25014","200","91002","10","2","8","2"
"39","72","25021","284001072","25014","204","91002","10","2","8","2"
"40","73","25021","284001073","25014","208","91002","10","2","8","2"
"40","74","25021","284001074","25014","212","91002","10","2","8","2"
"41","75","25021","284001075","25014","216","91002","10","2","8","2"
"41","76","25021","284001076","25014","220","91002","10","2","8","2"
"42","77","25021","284001077","25014","224","91002","10","2","8","2"
"42","78","25021","284001078","25014","228","91002","10","2","8","2"
"43","79","25021","284001079","25014","232","91002","10","2","8","2"
"43","80","25021","284001080","25014","236","91002","30","2","8","2"
"44","81","25021","284001081","25014","240","91002","10","2","8","2"
"44","82","25021","284001082","25014","244","91002","10","2","8","2"
"45","83","25021","284001083","25014","248","91002","10","2","8","2"
"45","84","25021","284001084","25014","252","91002","10","2","8","2"
"46","85","25021","284001085","25014","256","91002","10","2","8","2"
"46","86","25021","284001086","25014","260","91002","10","2","8","2"
"47","87","25021","284001087","25014","264","91002","10","2","8","2"
"47","88","25021","284001088","25014","268","91002","10","2","8","2"
"48","89","25021","284001089","25014","272","91002","10","2","8","2"
"48","90","25021","284001090","25014","276","91002","30","2","8","2"
