f1515e749d6b33cd5c0af2aee07f393ec8b1dcc64084da03a9f1b5b892a89bc4,9971300812ce8196c61006190c0cfd9662e4e9d577f552fbca5cb10202a7f4dc,f52b5e6708da9d712e8d3dbb6575c497f5feda8bfc20db678343dd0822bb35e0,3595286f91efa253778ab9c839c89a9bdb184a6d9c7db521c09d5281431b8733,14d1124472c70186eb5ff613001627db07337627d24422a01007e6164148a6eb,8196d36dc8c54acccc61d31edc49fe579fc711ceb070cf39b77636c03e3e3451,374c26d104949fdfa59f6815a6aa581198ad77ba8d555cd7f0214e04c6ae9e2a,09631946deca96eab2fca5035033d211a37ca5d82b409a3678351812ad25d1d3,756cc9963ec000447f0c65fb6c9965491edd210ffe6142a6d6fd308226558c52,be637abe2acd9b81ac3310f7b1789cb8f86a26a35cfe2a80516bcc434e8d8ff4
"1","料理を{0}つ入手する","3","","1032","1","0","","100201","ユイ"
"3","出たダイスの目が{0}だった場合、\n+{1}進める","13","出たダイスの目が{0}だった場合、\n+{1}進める","1033","1","1","","101201","ハツネ"
"3","ダイスの目を{0}回振りなおせる","4","ダイスの目を{0}回振りなおせる\n（あと{1}回）","1034","1","0","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","118201","ミソラ"
"1","出目の合計が{0}以上になるまで\nダイスを追加で振れる","6","出目の合計が{0}以上になるまで\nダイスを追加で振れる","1035","7","0","","106101","ムイミ"
"2","出目が{0}のダイスを同時に振って\nどちらか選択できる","5","出目が{0}のダイスを同時に振って\nどちらか選択できる","1036","4","0","","103101","シノブ"
"1","最大50％割引確定のショップを開く（1品100％割引あり）","1","","1037","10001","0","","103301","マヒル"
"1","最大2000マイルを入手する","2","","1038","10002","0","","103601","キョウカ"
"1","福引券を{0}枚入手する","12","","1039","1","0","","133001","グレイス"
"1","料理を{0}つ入手する","3","","1040","1","0","","133101","ヴァイオレット"
"2","ダイスの表と裏\nどちらを適用するか選択できる","8","ダイスの表と裏\nどちらを適用するか選択できる","1041","0","0","","106801","ラビリスタ"
"3","ダイスの目を{0}回振りなおせる","4","ダイスの目を{0}回振りなおせる\n（あと{1}回）","1042","1","0","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","107101","クリスティーナ"
"1","出目の合計が{0}以上になるまで\nダイスを追加で振れる","6","出目の合計が{0}以上になるまで\nダイスを追加で振れる","1043","7","0","","107001","ネネカ"
"2","出目が{0}のダイスを同時に振って\nどちらか選択できる","5","出目が{0}のダイスを同時に振って\nどちらか選択できる","1044","4","0","","106501","カヤ"
"1","最大50％割引確定のショップを開く（1品100％割引あり）","1","","1045","10001","0","","111001","ユニ"
"1","最大2000マイルを入手する","2","","1046","10002","0","","134901","カノン"
"1","福引券を{0}枚入手する","12","","1047","1","0","","105401","ツムギ"
"1","料理を{0}つ入手する","3","","1048","1","0","","134701","ホウオウ"
"2","ダイスの表と裏\nどちらを適用するか選択できる","8","ダイスの表と裏\nどちらを適用するか選択できる","1049","0","0","","100101","ヒヨリ"
"3","ダイスの目を{0}回振りなおせる","4","ダイスの目を{0}回振りなおせる\n（あと{1}回）","1050","1","0","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","100701","ミヤコ"
"1","出目の合計が{0}以上になるまで\nダイスを追加で振れる","6","出目の合計が{0}以上になるまで\nダイスを追加で振れる","1051","7","0","","103001","ニノン"
"3","出たダイスの目が{0}だった場合、\n+{1}進める","13","出たダイスの目が{0}だった場合、\n+{1}進める","1052","2","1","","101401","カスミ"
"1","最大50％割引確定のショップを開く（1品100％割引あり）","1","","1053","10001","0","","135901","サツキ"
"1","最大2000マイルを入手する","2","","1054","10002","0","","102601","リン"
"1","福引券を{0}枚入手する","12","","1055","1","0","","132401","イロハ"
"1","料理を{0}つ入手する","3","","1056","1","0","","135801","ユキノ"
"2","ダイスの表と裏\nどちらを適用するか選択できる","8","ダイスの表と裏\nどちらを適用するか選択できる","1057","0","0","","100301","レイ"
"3","ダイスの目を{0}回振りなおせる","4","ダイスの目を{0}回振りなおせる\n（あと{1}回）","1058","1","0","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","106701","ホマレ"
"1","出目の合計が{0}以上になるまで\nダイスを追加で振れる","6","出目の合計が{0}以上になるまで\nダイスを追加で振れる","1059","7","0","","132301","ルイズマリー"
"3","出たダイスの目が{0}だった場合、\n+{1}進める","13","出たダイスの目が{0}だった場合、\n+{1}進める","1060","1","1","","105201","リマ"
"1","最大50％割引確定のショップを開く（1品100％割引あり）","1","","1061","10001","0","","102201","ヨリ"
"1","最大2000マイルを入手する","2","","1062","10002","0","","100601","アカリ"
"1","福引券を{0}枚入手する","12","","1063","1","0","","136201","ナーナ"
"1","料理を{0}つ入手する","3","","1064","1","0","","110901","チエル"
