0662a582dc50d9e8fda5f28f6dc0cc51271e85e595eb17eb9615a1f6b861b3a7,2f255e0139ad8c5945827c6ec86d0cf939c549f9fcb862de7a5269240702d742,1e9fa946e969e2b1ab68f5b1fd086a772da985379313f0941f21771d6d5d964b,71164610632079e7a6727b3b4324fcd77d2710b033c236a8a43e74839935f00a,a614914a5f0c2eda7304575369350ed9cbe5563c452c7cdafbf738c04733bea6,c3b5f63ce94459660a9ce551102485ca28d75e42197a94de911b49ae22bb0543,b11f99489845247d74169319775d65d973c32405d5ceb1de6141097d54279229,e9466875c63628382e8d191936bc39441081579e17320a308d44c066fa0bbb11,abe52b1302e9d4cd8a2e8026f34246c71160855919debe99a567ca2054c0f9b2,c56a89e6205e161408a8e2a4ce4462abdcdf91ae3ef3df168da083e66aad3661,5c4ed447ff9f3c60bb5b7b25c4bfabbf9d946cfa17591c757c652a18a91fb2fa
"1","","10","","ま、興味はあるし\n付き合ってあげるわ","","11","","106031","","1010028"
"1","","","","","","91","","0","","1010029"
"1","","10","","はい♪みなさんで\n頂上を目指して\n頑張りましょう！","","11","","112431","","1010030"
"1","","","","","","91","","0","","1010031"
"2","02_uek_cmn_idol_def_N","100","0","104431","0","1","1.3","1","0","1020001"
"2","","0","02_uek_02_ilya_loop","02_uek_02_ilya","0","3","","104431","","1020002"
"2","","10","0","はーっはっはっは！\n世界征服への\n第一歩を始めるぞ！","","11","","104431","","1020003"
"2","","","","","0","91","","0","","1020004"
"3","01_uek_cmn_idol_def_N","100","-140","105831","-10","1","1.3","1","0","1030001"
"3","01_uek_cmn_idol_def_N","100","120","105931","10","1","1.3","1","1","1030002"
"3","01_uek_cmn_idol_def_N","100","0","106031","0","1","1.3","1","1","1030003"
"3","","0","01_uek_03_peko_loop","01_uek_03_peko","0","3","","105831","","1030004"
"3","","0","01_uek_03_kyaru_loop","01_uek_03_kyaru","0","3","","106031","","1030005"
"3","","10","0","キャルちゃん！\n見てください\nいい景色ですよ☆","","11","","105831","","1030006"
"3","","","","","","91","","0","","1030007"
"3","","10","0","ちょ、あんた！\n引っぱんないでよ！\n落ちるでしょうが！","","11","","106031","","1030008"
"3","","","","","","91","","0","","1030009"
"3","","0","01_uek_cmn_idol_def_N","01_uek_03_kokkoro","1","3","","105931","","1030010"
"3","","10","0","ふふ、この先も\nきっと素敵な景色が\n待っているはずです","","11","","105931","","1030011"
"4","02_uek_cmn_idol_def_N","100","-120","101131","-30","1","1.3","1","0","1040001"
"4","02_uek_cmn_idol_def_N","100","20","104931","-5","1","1.3","1","1","1040002"
"4","","1","","02_uek_talk_joy2","","3","","101131","","1040003"
"4","","10","0","マスターセンリも\n一発からです！\n頑張りますよ！","","11","","101131","","1040004"
"4","","","","","","91","","0","","1040005"
"4","","1","","02_uek_cmn_idol_def_N","","3","0.2","101131","","1040006"
"4","","1","","02_uek_04_shizuru","","3","0.2","104931","","1040007"
"4","","10","0","それを言うなら\n千里の道も一歩から\nだよ、リノちゃん","","11","","104931","","1040008"
"4","","","","","","91","","0","","1040009"
"4","","1","","02_uek_cmn_idol_def_N","","3","0.2","104931","","1040010"
"5","02_uek_cmn_idol_def_N","100","-70","105031","0","1","1.3","1","0","1050001"
"5","02_uek_cmn_idol_def_N","100","70","101631","1","1","1.3","1","1","1050002"
"5","","0","02_uek_05_misaki_loop","02_uek_05_misaki","-15","3","","105031","","1050003"
"5","","0","02_uek_05_suzuna_loop","02_uek_05_suzuna","0","3","","101631","","1050004"
"5","","10","0","大人の階段を\n登るわよー！","","11","","105031","","1050005"
"5","","","","","0","91","","0","","1050006"
"5","","10","0","うちもモデルの\nてっぺん目指すし！","","11","","101631","","1050007"
"6","02_uek_cmn_idol_def_N","100","120","100531","25","1","1.3","1","1","1060001"
"6","02_uek_cmn_idol_def_N","100","-20","103731","5","1","1.3","1","0","1060002"
"6","","1","","02_uek_cmn_pose04","","3","","100531","","1060003"
"6","","10","0","これくらいの高さで\nへこたれてたら\nヒーロー失格ッス！","","11","","100531","","1060004"
"6","","","","","","91","","0","","1060005"
"6","","1","","02_uek_talk_normal","","3","0.2","103731","","1060006"
"6","","10","0","うん、いい鍛錬に\nなりそうだね\n楽しくなってきたよ","","11","","103731","","1060007"
"6","","","","","","91","","0","","1060008"
"6","","1","","02_uek_cmn_idol_def_N","","3","0.2","103731","","1060009"
"7","02_uek_cmn_idol_def_N","100","-60","103831","-20","1","1.3","1","0","1070001"
"7","","1","","02_uek_07_shiori","","3","0.2","103831","","1070002"
"7","","10","","あれ…お姉ちゃん\nどこに行ったのかな\n…お姉ちゃーん？","","11","","103831","","1070003"
"8","02_uek_08_kuka_loop","100","90","104531","40","1","1.3","1","0","1080001"
"8","","90","60","2","1","31","1","2","","1080002"
"8","","10","0","あ、足に絡みつく\nツタの感触が\nたまりません～～！","0","11","","104531","","1080003"
"8","","","","","","91","","0","","1080004"
"9","05_idle","100","-195","105831","-35","1","0.9","2","0","1090001"
"9","302102_idle","1000","150","302102","-30","1","1.2","2","0","1090002"
"9","","150","50","15","1","31","1","102","","1090003"
"9","","150","400","16","1","31","1","103","","1090004"
"10","01_uek_cmn_idol_def_N","100","-160","112531","-25","1","1.3","1","0","1100001"
"10","01_uek_cmn_idol_def_N","100","-40","112431","-5","1","1.3","1","1","1100002"
"10","01_uek_cmn_idol_def_N","100","125","112631","20","1","1.3","1","1","1100003"
"10","","1","","01_uek_talk_surprise2","0","3","","112631","","1100004"
"10","","10","0","うっひゃ～…！\n足場が雲になるって\nどういうこと！？","0","11","","112631","","1100005"
"10","","","","","","91","","0","","1100006"
"10","","1","","01_uek_cmn_idol_def_N","0","3","0.2","112631","","1100007"
"10","","1","","01_uek_talk_joy1","","3","","112431","","1100008"
"10","","10","0","なんだか不思議な\n感触してますね～\nふわふわですよ♪","0","11","","112431","","1100009"
"10","","","","","","91","","0","","1100010"
"10","","1","","01_uek_cmn_idol_def_N","","3","0.2","112431","","1100011"
"10","","1","","01_uek_talk_normal","","3","","112531","","1100012"
"10","","10","0","落ちたりはしなそう\nだけど…足元には\n気をつけて進もう","0","11","","112531","","1100013"
"10","","","","","","91","","0","","1100014"
"10","","1","","01_uek_cmn_idol_def_N","","3","0.2","112531","","1100015"
"10","","","","","","91","","0","","1100016"
"11","03_uek_cmn_idol_def_N","100","-135","104731","-20","1","1.3","1","0","1110001"
"11","03_uek_cmn_idol_def_N","100","100","107131","5","1","1.3","1","1","1110002"
"11","","0","03_uek_11_jun_loop","03_uek_11_jun","1","3","0","104731","","1110003"
"11","","0","03_uek_cmn_idol_def_N","03_uek_11_chris","1","3","0","107131","0.2","1110004"
"11","","10","","むむ、視界が白く…\nクリスちゃん、\n気を付けるんだ！","0","11","","104731","","1110005"
"11","","","","","","91","","0","","1110006"
"11","","10","0","ははは、鎧の重さで\n沈んでいるぞ団長☆\nそぉれ一本釣りだ！","0","11","","107131","","1110007"
"11","","","","","","93","","1.5","","1110008"
"11","","0","1.5","-135","1","2","","104731","","1110009"
"11","","","","","","91","","1110007","","1110010"
"12","03_uek_cmn_idol_def_N","100","-120","101031","-20","1","1.3","1","0","1120001"
"12","03_uek_cmn_idol_def_N","100","10","101431","-5","1","1.3","1","1","1120002"
"12","","1","","03_uek_talk_joy1","0","3","","101031","","1120003"
"12","","10","0","かわいい雲さんやね\n一緒に連れて\n帰りたいわぁ♪","0","11","","101031","","1120004"
"12","","","","","","91","","0","","1120005"
"12","","1","","03_uek_cmn_idol_def_N","0","3","0.2","101031","","1120006"
"12","","1","","03_uek_talk_normal","0","3","","101431","","1120007"
"12","","10","0","いくらなんでも\nそれは難しいんじゃ\nないかな…？","0","11","","101431","","1120008"
"12","","","","","","91","","0","","1120009"
"12","","1","","03_uek_cmn_idol_def_N","0","3","0.2","101431","","1120010"
"13","01_uek_cmn_idol_def_N","100","-165","105831","-45","1","1.3","1","0","1130001"
"13","01_uek_cmn_idol_def_N","100","-45","105931","-20","1","1.3","1","0","1130002"
"13","01_uek_cmn_idol_def_N","100","120","106031","-5","1","1.3","1","1","1130003"
"13","","1","","01_uek_talk_normal","1","3","","105931","","1130004"
"13","","10","0","かなり高くまで\n登ってまいりました\nですが…","0","11","","105931","","1130005"
"13","","","","","","91","","0","","1130006"
"13","","0","01_uek_cmn_idol_def_N","01_uek_13_kokkoro","1","3","0.2","105931","","1130007"
"13","","0","01_uek_13_kyaru_loop","01_uek_13_kyaru","1","3","","106031","","1130008"
"13","","10","0","全然頂上が\n見えないじゃない！\nどんだけ高いのよ！","0","11","","106031","","1130009"
"13","","","","","","91","","0","","1130010"
"13","","1","","01_uek_13_peco_loop","0","3","","105831","","1130011"
"13","","10","0","いいじゃないですか\n運動のあとの食事は\nまた格別ですよ☆","0","11","","105831","","1130012"
"13","","","","","","91","","0","","1130013"
"14","03_uek_cmn_idol_def_N","100","-86","104031","-25","1","1.3","1","0","1140001"
"14","","0","250","1","1","31","1","1","","1140002"
"14","","0","03_uek_14_aoi_loop","03_uek_14_aoi","1","3","","104031","","1140003"
"14","","10","0","うう、ぼっちへの\n風当たりが\n強すぎませんか！？","0","11","","104031","","1140004"
"15","03_uek_cmn_idol_def_N","100","-75","100731","-20","1","1.3","1","0","1150001"
"15","03_uek_15_father","100","65","103131","10","1","1.3","1","1","1150002"
"15","","1","","03_uek_15_miyako","0","3","","100731","","1150003"
"15","","10","0","空は気持ちいいの～\nこれが天にも昇る\n気持ちってやつなの","0","11","","100731","","1150004"
"15","","","","","","91","","0","","1150005"
"15","","1","","03_uek_15_father","0","3","","103131","","1150006"
"15","","10","0","ガキんちょもか？\nオレも身体が\n軽くなってきたぞ！","0","11","","103131","","1150007"
"15","","","","","","91","","0","","1150008"
"15","","1","","03_uek_talk_normal","0","3","","103131","","1150009"
"15","","10","0","ミヤコさんは\n本当に昇天しちゃ\nだめですよ…？","0","11","","103131","","1150010"
"15","","","","","","91","","0","","1150011"
"15","","1","","03_uek_cmn_idol_def_N","0","3","0.2","103131","","1150012"
"16","01_uek_cmn_idol_def_N","100","-110","112431","-45","1","1.3","1","0","1160001"
"16","01_uek_cmn_idol_def_N","100","40","105831","-15","1","1.3","1","1","1160002"
"16","01_uek_cmn_idol_def_N","100","140","105931","10","1","1.3","1","1","1160003"
"16","","0","01_uek_cmn_idol_def_N","01_uek_01_kokkoro","0","3","","105931","","1160004"
"16","","0","01_uek_cmn_idol_def_N","01_uek_01_uduki","1","3","","112431","","1160005"
"16","","0","01_uek_cmn_idol_def_N","01_uek_01_peko","1","3","","105831","","1160006"
"16","","","","","","91","","0","","1160007"
"16","","1","","01_uek_talk_normal","1","3","","105931","","1160008"
"16","","10","0","ウヅキさま。先は長\nそうですが、休まな\nくて大丈夫ですか？","0","11","","105931","","1160009"
"16","","","","","","91","","0","","1160010"
"16","","1","","01_uek_cmn_idol_def_N","1","3","","105931","","1160011"
"16","","1","","01_uek_talk_joy1","","3","","112431","","1160012"
"16","","10","0","はい、平気です！\nとっても楽しくって\nやばいです☆","0","11","","112431","","1160013"
"16","","","","","","93","","1.5","","1160014"
"16","","0","01_uek_16_uduki_loop","01_uek_16_uduki","1","3","0.2","112431","","1160015"
"16","","","","","","91","","1160013","","1160016"
"16","","1","","01_uek_talk_joy1","","3","","105831","","1160017"
"16","","10","0","元気いっぱいですね\nウヅキさん、一緒に\n頑張りましょう～☆","0","11","","105831","","1160018"
"16","","","","","","93","","2.2","","1160019"
"16","","0","01_uek_16_uduki_loop","01_uek_16_peco","1","3","0.2","105831","","1160020"
"16","","","","","","91","","1160018","","1160021"
"17","03_uek_cmn_idol_def_N","300","150","102331","10","1","1.3","1","1","1170001"
"17","03_uek_cmn_idol_def_N","100","-100","102131","-15","1","1.3","1","0","1170002"
"17","","20","10","3","1.3","31","0","3","","1170003"
"17","","0","03_uek_17_ayane_loop","03_uek_17_ayane","1","3","0.2","102331","0.2","1170004"
"17","","0","03_uek_cmn_idol_def_N","03_uek_cmn_pose05","1","3","0.2","102131","","1170005"
"17","","","","1","","32","","3","","1170006"
"17","","10","0","見て見て！\n雲でぷうきちを\n作ったよー！","0","11","","102331","","1170007"
"17","","","","","","91","","0","","1170008"
"17","","1","","03_uek_talk_joy1","","3","0.2","102131","","1170009"
"17","","10","0","わぁ、すご～い…！\n私も何か\n作りたいなぁ…♪","0","11","","102131","","1170010"
"17","","","","","","91","","0","","1170011"
"17","","1","","03_uek_cmn_idol_def_N","","3","0.2","102131","","1170012"
"18","01_uek_cmn_idol_def_N","100","229","112631","45","1","1.3","1","0","1180001"
"18","01_uek_cmn_idol_def_N","110","170","105831","20","1","1.3","1","0","1180002"
"18","01_uek_cmn_idol_def_N","100","-85","105931","-10","1","1.3","1","0","1180003"
"18","","0","01_uek_18_mio_loop","01_uek_18_mio","1","3","","112631","","1180004"
"18","","10","0","だいぶ登ったね～\nちょっと下のほう\n見てみようよ！","0","11","","112631","","1180005"
"18","","","","","","91","","0","","1180006"
"18","","0","01_uek_18_mio_loop","01_uek_18_mio","1","3","","105831","","1180007"
"18","","10","0","そうですね！\nえーと、どれどれ…\nって、わわわわ！","0","11","","105831","","1180008"
"18","","","","","","93","","3","","1180009"
"18","","5","2","170","1","2","","105831","","1180010"
"18","","","","","","91","","1180008","","1180011"
"18","","0","01_uek_cmn_idol_def_N","01_uek_18_kokkoro","1","3","","105931","","1180012"
"18","","10","0","ふふ、お二人とも\nはしゃがれて、楽し\nそうでございますね","0","11","","105931","","1180013"
"19","02_uek_19_hatsune","100","402","101231","110","1","1.3","1","0","1190001"
"19","02_uek_talk_surprise2","100","166","103831","30","1","1.3","1","0","1190002"
"19","","1","","02_uek_talk_surprise2","0","3","0.2","103831","","1190003"
"19","","10","0","あ！　お姉ちゃん！\nこんなところで\n寝ちゃ危ないよー！","0","11","","103831","","1190004"
"19","","","","","","91","","0","","1190005"
"19","","10","0","しおりんの声が\n聞こえたような…\nすやぁ…☆","0","11","","101231","","1190006"
"20","05_idle","100","-195","105831","-35","1","0.9","2","0","1200001"
"20","304602_idle","1000","150","304602","30","1","1.4","2","0","1200002"
"20","","150","50","17","1","31","1","102","","1200003"
"20","","150","400","18","1","31","1","103","","1200004"
"21","01_uek_21_kokkoro_loop","110","185","105931","25","1","1.3","1","0","1210001"
"21","01_uek_21_rin_loop","120","65","112531","-5","1","1.3","1","0","1210002"
"21","01_uek_cmn_idol_def_N","100","-140","106031","-35","1","1.3","1","0","1210003"
"21","","10","0","風が心地よいですね\n優しく、囁きかけて\nいるように感じます","0","11","","105931","","1210004"
"21","","","","","","91","","0","","1210005"
"21","","10","0","上に向かう私たちに\n蒼い風が語りかけて\nきてるのかもね…","0","11","","112531","","1210006"
"21","","","","","","91","","0","","1210007"
"21","","0","01_uek_cmn_idol_def_N","01_uek_21_kyaru","1","3","","106031","","1210008"
"21","","10","0","…あんたたち\nなんか妙なところで\nシンクロしてるわね","0","11","","106031","","1210009"
"21","","","","","","91","","0","","1210010"
"22","01_uek_cmn_idol_def_N","100","180","105831","40","1","1.3","1","0","1220001"
"22","","420","250","4","1.3","31","1","4","","1220002"
"22","","1","","01_uek_cmn_pose03","","3","0.2","105831","","1220003"
"22","","10","0","おにぎり型の雲って\nどんな味がするんで\nしょう…じゅるり☆","0","11","","105831","","1220004"
"22","","","","","","91","","0","","1220005"
"23","03_uek_cmn_idol_def_N","100","33","105231","5","1","1.3","1","0","1230001"
"23","03_uek_23_rin","1010","200","102631","40","1","1.3","1","0","1230002"
"23","03_uek_cmn_idol_def_N","100","-110","103331","-25","1","1.3","1","0","1230003"
"23","","220","32","5","1","31","1","5","","1230004"
"23","","1","","03_uek_23_rin","","3","0.2","102631","","1230005"
"23","","10","0","この雲、ふかふかで\n気持ちいい～\nぐっすり眠れそう～","0","11","","102631","","1230006"
"23","","","","","","91","","0","","1230007"
"23","","40","45","1100","0","2","","102631","","1230008"
"23","","32","45","1120","0","33","","5","","1230009"
"23","","1","","03_uek_cmn_pose04","","3","0.2","105231","","1230010"
"23","","1","","03_uek_talk_surprise2","","3","0.2","103331","","1230011"
"23","","10","0","リンちゃんの寝てる\n雲が流されてるわ！\nど、どうしよう！","0","11","","105231","","1230012"
"23","","","","","","91","","0","","1230013"
"23","","10","0","干し草のほうが\nふかふかだべー！\n戻ってくるべさー！","0","11","","103331","","1230014"
"23","","","","","","91","","0","","1230015"
"24","03_uek_24_ayumi","10","-240","105531","-45","1","1.3","1","0","1240001"
"24","","1","","03_uek_24_ayumi","0","3","","105531","","1240002"
"24","","10","0","あっ、あそこに\n先輩がいる\nじーーーー…","0","11","","105531","","1240003"
"25","03_uek_cmn_idol_def_N","100","175","103631","15","1","1.3","1","1","1250001"
"25","03_uek_cmn_idol_def_N","100","-36","100431","-10","1","1.3","1","0","1250002"
"25","03_uek_cmn_idol_def_N","100","-158","102031","-45","1","1.3","1","0","1250003"
"25","","1","","03_uek_cmn_pose06","0","3","","102031","","1250004"
"25","","10","0","お空で遊ぶのって\nすごく気持ちいいね\nるんたった～♪","0","11","","102031","","1250005"
"25","","","","","","91","","0","","1250006"
"25","","0","03_uek_25_misogi_loop","03_uek_25_misogi","1","3","","100431","","1250007"
"25","","10","0","うん！　キョウカも\nそう思うでしょー？\n…わぁっ！","0","11","","100431","","1250008"
"25","","1","03_uek_25_kyouka_loop","03_uek_25_kyouka","0","3","","103631","","1250009"
"25","","","","","","91","","0","","1250010"
"25","","10","0","ちょっとミソギ！\n落ちたら危ないから\nおどかさないでよ！","0","11","","103631","","1250011"
"25","","","","","","91","","0","","1250012"
"27","01_uek_cmn_idol_def_N","100","-179","104831","-43","1","1.3","1","0","1270001"
"27","01_uek_27_tamaki_loop","100","0","104631","-14","1","1.3","1","0","1270002"
"27","01_uek_cmn_idol_def_N","100","200","103231","24","1","1.3","1","1","1270003"
"27","","10","0","はぁはぁ…\nも、もう限界にゃ…\n帰りたいにゃ…","0","11","","104631","","1270004"
"27","","","","","","91","","0","","1270005"
"27","","0","01_uek_talk_normal","01_uek_cmn_pose02","1","3","","104831","","1270006"
"27","","10","0","効率的な体力配分で\n登れば、これくらい\n楽勝のはずよ","0","11","","104831","","1270007"
"27","","","","","","91","","0","","1270008"
"27","","1","","01_uek_cmn_idol_def_N","0","3","0.3","104831","","1270009"
"27","","1","","01_uek_27_akino_loop","0","3","","103231","","1270010"
"27","","10","0","おーっほっほっほ！\nいい眺めですわ！\n先が楽しみですわね","0","11","","103231","","1270011"
"28","04_uek_cmn_idol_def_N","110","0","102931","-10","1","1.3","1","0","1280001"
"28","04_uek_cmn_idol_def_N","120","-120","104231","-30","1","1.3","1","0","1280002"
"28","04_uek_cmn_idol_def_N","100","120","105431","10","1","1.3","1","0","1280003"
"28","","35","10","6","1.3","31","0","6","","1280004"
"28","","-85","-10","9","1.3","31","0","6","","1280005"
"28","","155","30","10","1.3","31","0","6","","1280006"
"28","","1","","04_uek_28_nozomi","","3","0.2","102931","","1280007"
"28","","1","","04_uek_28_chika","","3","0.2","104231","","1280008"
"28","","1","","04_uek_28_tsumugi","","3","0.2","105431","","1280009"
"28","","","","1","","32","","6","","1280010"
"28","","","","1","","32","","9","","1280011"
"28","","","","1","","32","","10","","1280012"
"28","","10","0","空の上でも\nカルミナ…\nオンステージ！","0","11","","102931","","1280013"
"28","","","","","","91","","0","","1280014"
"28","","10","0","風が気持ちいい…！\n精霊たちも\n楽しそうです！","0","11","","104231","","1280015"
"28","","","","","","91","","0","","1280016"
"28","","10","0","最っ高ですね！\nアンコールまで\n駆け抜けましょう！","0","11","","105431","","1280017"
"28","","","","","","91","","0","","1280018"
"29","03_uek_cmn_idol_def_N","100","-40","101531","-10","1","1.3","1","0","1290001"
"29","03_uek_cmn_idol_def_N","100","95","101831","10","1","1.3","1","1","1290002"
"29","","1","","03_uek_talk_joy1","0","3","","101831","","1290003"
"29","","10","0","気持ちいいところね\n遠足で生徒たちも\n連れてこようかしら","0","11","","101831","","1290004"
"29","","","","","","91","","0","","1290005"
"29","","1","","03_uek_cmn_idol_def_N","0","3","0.3","101831","","1290006"
"29","","1","","03_uek_talk_joy1","0","3","0.3","101531","","1290007"
"29","","10","0","あらあら～、じゃあ\n里の子どもたちも\nご一緒したいです～","0","11","","101531","","1290008"
"29","","","","","","91","","0","","1290009"
"29","","1","","03_uek_cmn_idol_def_N","0","3","0.3","101531","","1290010"
"30","05_idle","100","-195","105831","-35","1","0.9","2","0","1300001"
"30","307505_idle","1000","150","307505","-50","1","1.5","2","0","1300002"
"30","","150","50","19","1","31","1","102","","1300003"
"30","","150","400","20","1","31","1","103","","1300004"
"30","","0","307505_idle","307505_awake","1","3","0","307505","","1300005"
"31","01_uek_cmn_idol_def_N","110","140","105831","10","1","1.3","1","0","1310001"
"31","01_uek_cmn_idol_def_N","110","20","105931","0","1","1.3","1","0","1310002"
"31","01_uek_26_kyaru_loop","110","-200","106031","-55","1","1.3","1","0","1310003"
"31","","","","","","93","","1","","1310004"
"31","","","","1","","4","","105831","","1310005"
"31","","1","","01_uek_cmn_pose04","","3","0","105831","","1310006"
"31","","10","","見てください！\nお星様の世界です！\nすごい景色ですね☆","","11","","105831","","1310007"
"31","","","","","","93","","2.3","","1310008"
"31","","0","","01_uek_cmn_idol_def_N","0","3","0.2","105831","","1310009"
"31","","","","","","91","","1310007","","1310010"
"31","","1","","01_uek_cmn_idol_def_N","0","3","0.2","105831","","1310011"
"31","","1","","01_uek_talk_normal","","3","","105931","","1310012"
"31","","10","","本当に素晴らしい\n場所でございます\n堪能いたしましょう","","11","","105931","","1310013"
"31","","","","","","91","","0","","1310014"
"31","","1","","01_uek_cmn_idol_def_N","","3","0.2","105931","","1310015"
"31","","10","","何落ち着いてるのよ\nおかしいでしょ\nなんか色々と…！","","11","","106031","","1310016"
"32","02_uek_32_kuka_loop","100","255","104531","91","1","1.3","1","1","1320001"
"32","02_uek_cmn_idol_def_N","100","-97","105331","-29","1","1.3","1","0","1320002"
"32","02_uek_cmn_idol_def_N","100","50","103031","0","1","1.3","1","0","1320003"
"32","","0","","02_uek_32_kuka","0","3","0.5","104531","","1320004"
"32","","0","02_uek_talk_surprise2","02_uek_cmn_shock_def_N","1","3","0.5","105331","","1320005"
"32","","0","02_uek_talk_surprise2","02_uek_cmn_shock_def_N","1","3","0.5","103031","","1320006"
"32","","","","","","91","","0","","1320007"
"32","","1","","02_uek_talk_surprise2","0","3","0.5","103031","","1320008"
"32","","10","0","せっかく見つけた\nクウカがまた\n飛んでマス！","0","11","","103031","","1320009"
"32","","","","","","91","","0","","1320010"
"32","","1","","02_uek_talk_surprise2","0","3","0.5","105331","","1320011"
"32","","10","0","やっぱりよろこんで\nなかったか！？","0","11","","105331","","1320012"
"33","02_uek_cmn_idol_def_N","100","0","100831","0","1","1.3","1","1","1330001"
"33","","-120","130","7","1.3","31","1","7","","1330002"
"33","","0","02_uek_33_yuki_loop","02_uek_33_yuki","1","3","0.2","100831","","1330003"
"33","","10","0","星の輝きを浴びた\nボクはまた一段と\n美しいね…","0","11","","100831","","1330004"
"33","","","","","","91","","0","","1330005"
"34","02_uek_cmn_idol_def_N","110","10","100931","0","1","1.3","1","1","1340001"
"34","02_uek_cmn_idol_def_N","110","180","101331","10","1","1.3","1","1","1340002"
"34","","","","","","93","","1","","1340003"
"34","","1","02_uek_cmn_idol_def_N","02_uek_cmn_pose01","1","3","0.2","101331","0.2","1340004"
"34","","10","0","ウチュウキター！\nテンション爆上がり\nですしおすし！","0","11","","101331","","1340005"
"34","","","","","","91","","0","","1340006"
"34","","0","02_uek_34_anna_loop","02_uek_34_anna","1","3","0.2","100931","0","1340007"
"34","","10","0","くくく…星の力を\n強く感じるぞ！\n覚醒の時は近い…！","0","11","","100931","","1340008"
"35","01_uek_cmn_idol_def_N","100","-200","100231","-60","1","1.3","1","1","1350001"
"35","01_uek_cmn_idol_def_N","100","0","100331","10","1","1.3","1","1","1350002"
"35","01_uek_cmn_idol_def_N","100","200","100131","20","1","1.3","1","1","1350003"
"35","","0","270","8","1","31","1","8","","1350004"
"35","","0","01_uek_35_yui_loop","01_uek_35_yui","1","3","0.2","100231","0.2","1350005"
"35","","0","01_uek_35_rei_loop","01_uek_35_rei","1","3","0.2","100331","0.2","1350006"
"35","","1","","01_uek_cmn_pose03","","3","0.2","100131","","1350007"
"35","","10","0","見て、流れ星…！\nみんなで願い事を\nしようよ","0","11","","100231","","1350008"
"35","","","","","","91","","0","","1350009"
"35","","10","0","ああ、そうだね\n私たちにぴったりな\nシチュエーションだ","0","11","","100331","","1350010"
"35","","","","","","91","","0","","1350011"
"35","","10","0","さんせーい！\nじゃあ、あたしは…\nうーん、うーん…！","0","11","","100131","","1350012"
"35","","","","","","91","","0","","1350013"
