354ae2ec64675872f88f2deb9631096f881c01d7d9ff154161b13f2f85c8876e,149de9037c203a7c2902b2de2867c7bd4d044f8c5561096cd3ec4795bb5f1f64,eea0096a6f4b312548f81cd72da91f67d68cc1517215af0355b8a3ccbc883631,429f3fcdf82c271c101e00f737c7a17c4f1cff55a70acf1571967412ed4a7c55,00fa8e83b691c48672d314cb04c09ece3f03e6830ee609cfd8a64d5f1cd2fe4b,119b3f2d9d14114a9f92a1bae712540c6520c3ca9264375928072cc470839b9b,7af984732e0ae4aa04f6424a45c6ed1d046164c53af19a8376878a8f0efb0c28
"いやあ、あんときは悪かったなはっはっは","1001801","2","1","10018","vo_minigame_1004","vo_minigame_1004_top_2_031"
"ぐももも……（かやピィ コワカッタ）","1001802","3","2","10018","vo_minigame_1004","vo_minigame_1004_top_2_032"
"お前ってさ……ほんとマヌケな顔してるよな","1001901","2","1","10019","vo_minigame_1004","vo_minigame_1004_top_2_033"
"ぐも……（オマエガ イウカ）","1001902","3","2","10019","vo_minigame_1004","vo_minigame_1004_top_2_034"
"ぐも……（ハラヘッタ チョコホシイ）","1002001","3","2","10020","vo_minigame_1004","vo_minigame_1004_top_2_044"
"なんだ？眠いのか？","1002002","2","1","10020","vo_minigame_1004","vo_minigame_1004_top_2_045"
"ぐもも（コイツ……キケン）","1002101","3","2","10021","vo_minigame_1004","vo_minigame_1004_top_2_046"
"うん？　なんだ？オレの舎弟にでもなりたいのか？","1002102","2","1","10021","vo_minigame_1004","vo_minigame_1004_top_2_047"
"ぐも…（かやピィノウキン）","1002201","3","2","10022","vo_minigame_1004","vo_minigame_1004_top_2_048"
"おい、今失礼なこと考えてるだろ？","1002202","2","1","10022","vo_minigame_1004","vo_minigame_1004_top_2_049"
"なあ、これいつまで続けるんだ？","1002301","2","1","10023","vo_minigame_1004","vo_minigame_1004_top_3_058"
"カヤぴぃが降参するまでです！","1002302","1","2","10023","vo_minigame_1004","vo_minigame_1004_top_3_059"
"ぐもも！（コウサンシロ！）","1002303","3","2","10023","vo_minigame_1004","vo_minigame_1004_top_3_060"
"ぐも！（イノリ チョコホシイ）","1002401","3","2","10024","vo_minigame_1004","vo_minigame_1004_top_3_065"
"しょうがないですね、食べ過ぎはダメですよ","1002402","1","1","10024","vo_minigame_1004","vo_minigame_1004_top_3_066"
"土産のチョコ、そうとう気に入ったみたいだな","1002403","2","1","10024","vo_minigame_1004","vo_minigame_1004_top_3_067"
"ぐも！（かやピィニハ マケナイ！）","1002501","3","2","10025","vo_minigame_1004","vo_minigame_1004_top_3_068"
"お？なんだ？腹でも減ってるのか？","1002502","2","1","10025","vo_minigame_1004","vo_minigame_1004_top_3_069"
"……全然話が通じてないです","1002503","1","2","10025","vo_minigame_1004","vo_minigame_1004_top_3_070"
