550e06ee2fa152b473ef32ca5e9bcc5af69ef82a664989a3ee5d99020a761a96,10931db044eb26de18ce370212902670f03264fa86ce8f6b06ddaca9aa56cd57,a987c740e4831c8ff70df2e19cb736b202f0d35b94f011612a7c4a278a43953d,345e6365f11fd84f6ad0614ee86ed66e55174612858f4c3ea08d43e49f0719cf,37acf183a29282942fc0b0e71f7153b6ed24720bf44febe472da923987b5ab9a,7ae9d78e270496aeaeb373f3d1354b81712e0904622c1e02cdf23485dfdae161,d97f707acaab4116e53b6b2b2cebae8547fc57bb005b52ead7f60515f13b7c1c,ddbf25b5bee3cba9ade5632b184269faa36403cf34872f20e1a57c8efc76132a,bed3e21b4ee624de8f8b20d27fdc6f68f16527f7ed902eb2df21c935867ae6b5,df7c055fbd9e279b70213c46cf3a080cb4af74ee50638b916b39dc9576fdfd0f,b395bf3ca6c6c9558a3c19645b7a569155058a85aff58df6336beafdd9def28c
"93","","","","0","","3","","102","","102032"
"3","0.2","","","cgg_idle_def","","105911","","102","1","102033"
"3","0.2","","","cgg_talk_joy1","","106411","","102","1","102034"
"12","0.2","","","11","","106411","","102","1.4","102035"
"93","","","","0","","3","","102","","102036"
"3","0.2","","","cgg_idle_def","","106411","","102","1","102037"
"3","0.2","","","cgg_idle_surprise3","","1","","102","1","102038"
"12","0.2","","","6","","1","","102","1.4","102039"
"93","","","","0","","3","","102","","102040"
"101","","","","0","","102029","","102","","102041"
"22","","","","0.5","","0","","102","","102042"
"6","0.1","","0","1","0","1","1","102","1","102043"
"6","0.1","","0","1","0","105911","1","102","1","102044"
"6","0.1","","0","1","0","106411","1","102","1","102045"
"93","","","","0","","0.1","","102","","102046"
"3","0","","","cgg_idle_normal","","1","","102","1","102047"
"3","0","","","cgg_idle_def","","105911","","102","1","102048"
"3","0","","","cgg_idle_def","","106411","","102","1","102049"
"5","160","cgg_idle_normal","-230","1","0","1","-420","103","100","103001"
"1","1.6","cgg_idle_def","-230","100211","1","1","375","103","100","103002"
"1","1.6","cgg_idle_def","-230","100111","1","1","490","103","101","103003"
"6","0.1","","1","1","0","1","1","103","1","103004"
"6","0.1","","1","1","0","100211","1","103","1","103005"
"6","0.1","","1","1","0","100111","1","103","1","103006"
"93","","","","0","","0.2","","103","","103007"
"21","","","","vo_minigame_1007_top_talk_3_005","","vo_minigame_1007","0","103","0","103008"
"11","0","0","0","次は何が出るのかな？\n楽しみだね、\nヒヨリちゃん","0","100211","0","103","6","103009"
"3","0.2","","","cgg_idle_surprise1","","1","","103","1","103010"
"3","0.2","","","cgg_talk_wish","","100211","","103","1","103011"
"93","","","","0","","2.4","","103","","103012"
"3","0.2","","","cgg_talk_joy3","","100211","","103","1","103013"
"91","","","","","","103009","","103","","103014"
"3","0.2","","","cgg_idle_def","","100211","","103","1","103015"
"21","","","","vo_minigame_1007_top_talk_3_006","","vo_minigame_1007","0","103","0","103016"
"11","0","0","0","そうだねユイちゃん！\nよーっし、どんどん\n回しまくるよー！\nぐるぐるぐるー♪","0","100111","0","103","5","103017"
"3","0.2","","","cgg_idle_reaction5","","1","","103","1","103018"
"3","0.2","","","cgg_talk_joy1","","100111","","103","1","103019"
"93","","","","0","","2.5","","103","","103020"
"3","0.2","","1","cgg_talk_guts_NoBlink","0","100111","cgg_idle_guts","103","0","103021"
"93","","","","0","","4","","103","","103022"
"3","0.2","","1","cgg_joy","0.2","1","cgg_idle_reaction3","103","0","103023"
"3","0.2","","","cgg_talk_joy2","","100111","","103","1","103024"
"91","","","","","","103017","","103","","103025"
"93","","","","0","","0.7","","103","","103026"
"3","0.2","","","cgg_idle_normal","","1","","103","1","103027"
"3","0.2","","","cgg_idle_def","","100111","","103","1","103028"
"3","0.2","","","cgg_idle_bitter3","","100211","","103","1","103029"
"12","0.2","","","1","","100211","","103","1.4","103030"
"93","","","","0","","3","","103","","103031"
"3","0.2","","","cgg_idle_def","","100211","","103","1","103032"
"3","0.2","","1","cgg_talk_handsup","0.2","1","cgg_idle_reaction1","103","0","103033"
"12","0.2","","","10","","1","","103","1.4","103034"
"93","","","","0","","3","","103","","103035"
"3","0.2","","","cgg_idle_normal","","1","","103","1","103036"
"3","0.2","","","cgg_idle_joy3","","100111","","103","1","103037"
"12","0.2","","","6","","100111","","103","1.4","103038"
"93","","","","0","","3","","103","","103039"
"101","","","","0","","103028","","103","","103040"
"22","","","","0.5","","0","","103","","103041"
"6","0.1","","0","1","0","1","1","103","1","103042"
"6","0.1","","0","1","0","100211","1","103","1","103043"
"6","0.1","","0","1","0","100111","1","103","1","103044"
"93","","","","0","","0.1","","103","","103045"
"3","0","","","cgg_idle_normal","","1","","103","1","103046"
"3","0","","","cgg_idle_def","","100211","","103","1","103047"
"3","0","","","cgg_idle_def","","100111","","103","1","103048"
"5","160","cgg_idle_normal","-230","1","0","1","-420","104","100","104001"
"1","1.6","cgg_idle_def","-230","100111","1","1","375","104","100","104002"
"1","1.6","cgg_idle_def","-230","100311","1","1","490","104","101","104003"
"6","0.1","","1","1","0","1","1","104","1","104004"
"6","0.1","","1","1","0","100111","1","104","1","104005"
"6","0.1","","1","1","0","100311","1","104","1","104006"
"93","","","","0","","0.2","","104","","104007"
"21","","","","vo_minigame_1007_top_talk_4_007","","vo_minigame_1007","0","104","0","104008"
"11","0","0","0","ねーねーレイさん、\nもっかい引いていい？","0","100111","0","104","5","104009"
"3","0.2","","","cgg_idle_reaction2","","1","","104","1","104010"
"3","0.2","","","cgg_talk_joy3_dere","","100111","","104","1","104011"
"93","","","","0","","2.7","","104","","104012"
"3","0.2","","1","cgg_talk_guts2","0","1","cgg_idle_guts2","104","0","104013"
"3","0.2","","","cgg_talk_normal_dere2","","100111","","104","1","104014"
"91","","","","","","104009","","104","","104015"
"21","","","","vo_minigame_1007_top_talk_4_008","","vo_minigame_1007","0","104","0","104016"
"11","0","0","0","ダメだよヒヨリ。\n次は私の番なんだから\n…ふふ、意外に夢中に\nなってしまうね","0","100311","0","104","5","104017"
"3","0.2","","","cgg_idle_reaction2","","1","","104","1","104018"
"3","0.2","","1","cgg_No","0","100311","cgg_idle_def","104","0","104019"
"93","","","","0","","0.8","","104","","104020"
"3","0.2","","","cgg_idle_surprise2","","100111","","104","1","104021"
"93","","","","0","","0.9","","104","","104022"
"3","0.2","","1","cgg_surprise2","0","1","cgg_idle_surprise2","104","0","104023"
"3","0.2","","1","cgg_talk_arm_crossed2","0","100311","cgg_idle_arm_crossed2","104","0","104024"
"93","","","","0","","2.5","","104","","104025"
"3","0.2","","","cgg_idle_bitter","","100311","","104","1","104026"
"93","","","","0","","2","","104","","104027"
"3","0.2","","1","cgg_talk_nod","0","1","cgg_idle_nod","104","0","104028"
"91","","","","","","104017","","104","","104029"
"93","","","","0","","0.5","","104","","104030"
"3","0.2","","","cgg_idle_def","","100311","","104","1","104031"
"3","0.2","","","cgg_idle_normal","","1","","104","1","104032"
"3","0.2","","","cgg_idle_anger","","100111","","104","1","104033"
"12","0.2","","","17","","100111","","104","1.4","104034"
"93","","","","0","","3","","104","","104035"
"3","0.2","","","cgg_idle_def","","100111","","104","1","104036"
"3","0.2","","","cgg_idle_bitter4","","100311","","104","1","104037"
"12","0.2","","","2","","100311","","104","1.4","104038"
"93","","","","0","","3","","104","","104039"
"3","0.2","","","cgg_idle_def","","100311","","104","1","104040"
"3","0.2","","","cgg_idle_surprise2","","1","","104","1","104041"
"12","0.2","","","1","","1","","104","1.4","104042"
"93","","","","0","","3","","104","","104043"
"101","","","","0","","104032","","104","","104044"
"22","","","","0.5","","0","","104","","104045"
"6","0.1","","0","1","0","1","1","104","1","104046"
"6","0.1","","0","1","0","100111","1","104","1","104047"
"6","0.1","","0","1","0","100311","1","104","1","104048"
"93","","","","0","","0.1","","104","","104049"
"3","0","","","cgg_idle_normal","","1","","104","1","104050"
"3","0","","","cgg_idle_def","","100111","","104","1","104051"
"3","0","","","cgg_idle_def","","100311","","104","1","104052"
"5","160","cgg_idle_normal","-230","1","0","1","-420","105","100","105001"
"1","1.6","cgg_idle_def","-230","100211","1","1","375","105","100","105002"
"1","1.6","cgg_idle_def","-230","105811","1","1","490","105","101","105003"
"6","0.1","","1","1","0","1","1","105","1","105004"
"6","0.1","","1","1","0","100211","1","105","1","105005"
"6","0.1","","1","1","0","105811","1","105","1","105006"
"93","","","","0","","0.2","","105","","105007"
"21","","","","vo_minigame_1007_top_talk_5_009","","vo_minigame_1007","0","105","0","105008"
"11","0","0","0","グッズは種類が\nいっぱいあるから\n全種類揃えるまで\n頑張ろうね！","0","100211","0","105","7","105009"
"3","0.2","","","cgg_idle_reaction1","","1","","105","1","105010"
"3","0.2","","","cgg_talk_normal","","100211","","105","1","105011"
"93","","","","0","","2.4","","105","","105012"
"3","0.2","","","cgg_talk_joy3","","100211","","105","1","105013"
"93","","","","0","","1.1","","105","","105014"
"3","0.2","","1","cgg_talk_handsup","0.2","1","cgg_idle_reaction1","105","0","105015"
"91","","","","","","105009","","105","","105016"
"3","0.2","","","cgg_idle_def","","100211","","105","1","105017"
"21","","","","vo_minigame_1007_top_talk_5_010","","vo_minigame_1007","0","105","0","105018"
"11","0","0","0","集めたグッズは\n棚に飾って、あとで\nじっくり鑑賞です♪\nやばいですね☆","0","105811","0","105","6","105019"
"3","0.2","","0","cgg_talk_arm_crossed","0","1","cgg_idle_arm_crossed","105","0","105020"
"3","0.2","","","cgg_talk_joy1","","105811","","105","1","105021"
"93","","","","0","","5","","105","","105022"
"3","0.2","","1","cgg_talk_guts2","0","1","cgg_idle_guts2","105","0","105023"
"3","0.2","","1","cgg_jump_def_N","0.2","105811","cgg_idle_def","105","0","105024"
"91","","","","","","105019","","105","","105025"
"93","","","","0","","0.5","","105","","105026"
"3","0.2","","","cgg_idle_normal","","1","","105","1","105027"
"3","0.2","","","cgg_talk_joy3","","100211","","105","1","105028"
"12","0.2","","","10","","100211","","105","1.4","105029"
"93","","","","0","","3","","105","","105030"
"3","0.2","","","cgg_idle_def","","100211","","105","1","105031"
"3","0.2","","1","cgg_talk_guts_anger","0","105811","cgg_idle_guts_anger","105","0","105032"
"12","0.2","","","4","","105811","","105","1.4","105033"
"93","","","","0","","3","","105","","105034"
"3","0.2","","","cgg_idle_def","","105811","","105","1","105035"
"3","0.2","","1","cgg_talk_guts2","0","1","cgg_idle_guts2","105","0","105036"
"12","0.2","","","7","","1","","105","1.4","105037"
"93","","","","0","","3","","105","","105038"
"101","","","","0","","105027","","105","","105039"
"22","","","","0.5","","0","","105","","105040"
"6","0.1","","0","1","0","1","1","105","1","105041"
"6","0.1","","0","1","0","100211","1","105","1","105042"
"6","0.1","","0","1","0","105811","1","105","1","105043"
"93","","","","0","","0.1","","105","","105044"
"3","0","","","cgg_idle_normal","","1","","105","1","105045"
"3","0","","","cgg_idle_def","","100211","","105","1","105046"
"3","0","","","cgg_idle_def","","105811","","105","1","105047"
"5","160","cgg_idle_normal","-230","1","0","1","-420","106","100","106001"
"1","1.6","cgg_idle_def","-230","110911","1","1","420","106","100","106002"
"6","0.1","","1","1","0","1","1","106","1","106003"
"6","0.1","","1","1","0","110911","1","106","1","106004"
"93","","","","0","","0.2","","106","","106005"
"21","","","","vo_minigame_1007_top_talk_6_011","","vo_minigame_1007","0","106","0","106006"
"11","0","0","0","え…うそでしょ先輩…\nカルミナグッズまだ\nフルコンしてないとか\nありえないんですけど","0","110911","0","106","6","106007"
"3","0.2","","","cgg_idle_reaction2","","1","","106","1","106008"
"3","0.2","","","cgg_shock","","110911","","106","0","106009"
"93","","","","0","","1","","106","","106010"
"3","0.2","","","cgg_idle_bitter2","","110911","","106","1","106011"
"93","","","","0","","4.2","","106","","106012"
"3","0.2","","1","cgg_shock","0","1","cgg_idle_shock","106","0","106013"
"91","","","","","","106007","","106","","106014"
"21","","","","vo_minigame_1007_top_talk_6_012","","vo_minigame_1007","0","106","0","106015"
"11","0","0","0","いい加減にして下さい\n呑気に一般美少女と\n話してる暇があったら\nほら、早く回す！","0","110911","0","106","6","106016"
"3","0.2","","1","cgg_talk_tsun_pain","0","110911","","106","1","106017"
"93","","","","0","","0.7","","106","","106018"
"3","0.2","","1","cgg_surprise2","0","1","cgg_idle_surprise2","106","0","106019"
"93","","","","0","","1.3","","106","","106020"
"3","0.2","","1","cgg_talk_joy1_sad","0","110911","","106","1","106021"
"93","","","","0","","3","","106","","106022"
"3","0.2","","1","cgg_talk_guts_anger","","110911","cgg_idle_guts_anger","106","0","106023"
"93","","","","0","","0.7","","106","","106024"
"3","0.2","","1","cgg_talk_guts2","0","1","cgg_idle_guts2","106","0","106025"
"91","","","","","","106016","","106","","106026"
"93","","","","0","","0.5","","106","","106027"
"3","0.2","","","cgg_idle_def","","110911","","106","1","106028"
"3","0.2","","1","cgg_talk_doya","0","1","cgg_idle_doya","106","0","106029"
"12","0.2","","","6","","1","","106","1.4","106030"
"93","","","","0","","3","","106","","106031"
"3","0.2","","","cgg_idle_normal","","1","","106","1","106032"
"3","0.2","","1","cgg_talk_guts_anger","0","110911","cgg_idle_guts_anger","106","0","106033"
"12","0.2","","","11","","110911","","106","1.4","106034"
"93","","","","0","","3","","106","","106035"
"3","0.2","","","cgg_idle_def","","110911","","106","1","106036"
"3","0.2","","1","cgg_surprise1","0","1","cgg_idle_surprise1","106","0","106037"
"12","0.2","","","4","","1","","106","1.4","106038"
"93","","","","0","","3","","106","","106039"
"3","0.2","","","cgg_idle_normal","","1","","106","1","106040"
"3","0.2","","","cgg_talk_joy3_blink","","110911","","106","1","106041"
"12","0.2","","","10","","110911","","106","1.4","106042"
"93","","","","0","","3","","106","","106043"
"101","","","","0","","106028","","106","","106044"
"22","","","","0.5","","0","","106","","106045"
"6","0.1","","0","1","0","1","1","106","1","106046"
"6","0.1","","0","1","0","110911","1","106","1","106047"
"93","","","","0","","0.1","","106","","106048"
"3","0","","","cgg_idle_normal","","1","","106","1","106049"
"3","0","","","cgg_idle_def","","110911","","106","1","106050"
"5","160","cgg_idle_normal","-230","1","0","1","-420","201","100","201001"
"1","1.6","cgg_idle_def","-230","100411","1","1","420","201","100","201002"
"6","0.1","","1","1","0","1","1","201","1","201003"
"6","0.1","","1","1","0","100411","1","201","1","201004"
"93","","","","0","","0.2","","201","","201005"
"21","","","","vo_minigame_1007_top_talk_7_013","","vo_minigame_1007","0","201","0","201006"
"11","0","0","0","ねぇねぇにいちゃん！\nグッズが半分くらい\n集まってるよ！\nあとちょっとだね！","0","100411","0","201","7","201007"
"3","0.2","","","cgg_idle_reaction2","","1","","201","1","201008"
"3","0.2","","","cgg_talk_joy1_normal","","100411","","201","1","201009"
"93","","","","0","","1.3","","201","","201010"
"3","0.2","","1","cgg_talk_doya","0","1","cgg_idle_doya","201","0","201011"
"3","0.2","","","cgg_talk_surprise_kira","","100411","","201","1","201012"
"93","","","","0","","2.7","","201","","201013"
"3","0.2","","1","cgg_talk_handsup","0.2","1","cgg_idle_reaction1","201","0","201014"
"3","0.2","","1","cgg_talk_guts","0","100411","cgg_idle_guts","201","0","201015"
"91","","","","","","201007","","201","","201016"
"93","","","","0","","0.5","","201","","201017"
"3","0.2","","","cgg_idle_def","","100411","","201","1","201018"
"3","0.2","","","cgg_idle_surprise3","","1","","201","1","201019"
"12","0.2","","","6","","1","","201","1.4","201020"
"93","","","","0","","3","","201","","201021"
"3","0.2","","","cgg_idle_normal","","1","","201","1","201022"
"3","0.2","","","cgg_talk_surprise_kira","","100411","","201","1","201023"
"12","0.2","","","7","","100411","","201","1.4","201024"
"93","","","","0","","3","","201","","201025"
"3","0.2","","","cgg_idle_def","","100411","","201","1","201026"
"3","0.2","","1","cgg_talk_handsup","0","1","cgg_idle_reaction1","201","0","201027"
"12","0.2","","","11","","1","","201","1.4","201028"
"93","","","","0","","3","","201","","201029"
"3","0.2","","","cgg_idle_normal","","1","","201","1","201030"
"3","0.2","","","cgg_talk_joy1","","100411","","201","1","201031"
"12","0.2","","","10","","100411","","201","1.4","201032"
"93","","","","0","","3","","201","","201033"
"101","","","","0","","201018","","201","","201034"
"22","","","","0.5","","0","","201","","201035"
"6","0.1","","0","1","0","1","1","201","1","201036"
"6","0.1","","0","1","0","100411","1","201","1","201037"
"93","","","","0","","0.1","","201","","201038"
"3","0","","","cgg_idle_normal","","1","","201","1","201039"
"3","0","","","cgg_idle_def","","100411","","201","1","201040"
"5","160","cgg_idle_normal","-230","1","0","1","-420","202","100","202001"
"1","1.6","cgg_idle_def","-230","102011","1","1","420","202","100","202002"
"6","0.1","","1","1","0","1","1","202","1","202003"
"6","0.1","","1","1","0","102011","1","202","1","202004"
"93","","","","0","","0.2","","202","","202005"
"21","","","","vo_minigame_1007_top_talk_8_014","","vo_minigame_1007","0","202","0","202006"
"11","0","0","0","すごいね～♪\n全部そろったところが\n見てみたいな～♪","0","102011","0","202","5","202007"
"3","0.2","","","cgg_idle_reaction1","","1","","202","1","202008"
"3","0.2","","","cgg_talk_joy3","","102011","","202","1","202009"
"93","","","","0","","2","","202","","202010"
"3","0.2","","","cgg_idle_nod","","1","","202","1","202011"
"3","0.2","","","cgg_talk_wish","","102011","","202","1","202012"
"91","","","","","","202007","","202","","202013"
"93","","","","0","","0.5","","202","","202014"
"3","0.2","","","cgg_idle_def","","102011","","202","1","202015"
"3","0.2","","","cgg_idle_reaction3","","1","","202","1","202016"
"12","0.2","","","6","","1","","202","1.4","202017"
"93","","","","0","","3","","202","","202018"
"3","0.2","","","cgg_idle_normal","","1","","202","1","202019"
"3","0.2","","","cgg_talk_joy1_normal","","102011","","202","1","202020"
"12","0.2","","","11","","102011","","202","1.4","202021"
"93","","","","0","","3","","202","","202022"
"3","0.2","","","cgg_idle_def","","102011","","202","1","202023"
"3","0.2","","1","cgg_talk_guts2","0","1","cgg_idle_guts2","202","0","202024"
"12","0.2","","","11","","1","","202","1.4","202025"
"93","","","","0","","3","","202","","202026"
"3","0.2","","","cgg_idle_normal","","1","","202","1","202027"
"3","0.2","","","cgg_talk_joy3","","102011","","202","1","202028"
"12","0.2","","","7","","102011","","202","1.4","202029"
"93","","","","0","","3","","202","","202030"
"101","","","","0","","202015","","202","","202031"
"22","","","","0.5","","0","","202","","202032"
"6","0.1","","0","1","0","1","1","202","1","202033"
"6","0.1","","0","1","0","102011","1","202","1","202034"
"93","","","","0","","0.1","","202","","202035"
"3","0","","","cgg_idle_normal","","1","","202","1","202036"
"3","0","","","cgg_idle_def","","102011","","202","1","202037"
"5","160","cgg_idle_normal","-230","1","0","1","-420","203","100","203001"
"1","1.6","cgg_idle_def","-230","103611","1","1","420","203","100","203002"
"6","0.1","","1","1","0","1","1","203","1","203003"
"6","0.1","","1","1","0","103611","1","203","1","203004"
"93","","","","0","","0.2","","203","","203005"
"21","","","","vo_minigame_1007_top_talk_9_015","","vo_minigame_1007","0","203","0","203006"
"11","0","0","0","あと少しですね\n全部揃えられたら\n褒めてあげます\n…頑張ってください","0","103611","0","203","6","203007"
"3","0.2","","1","cgg_talk_arm_crossed","0","1","cgg_idle_arm_crossed","203","0","203008"
"3","0.2","","","cgg_talk_normal","","103611","","203","1","203009"
"93","","","","0","","1.9","","203","","203010"
"3","0.2","","","cgg_idle_surprise1","","1","","203","1","203011"
"3","0.2","","","cgg_talk_joy3_blink","","103611","","203","1","203012"
"93","","","","0","","3.1","","203","","203013"
"3","0.2","","1","cgg_talk_guts2","0","1","cgg_idle_guts2","203","0","203014"
"3","0.2","","","cgg_talk_surprise_dere","","103611","","203","1","203015"
"91","","","","","","203007","","203","","203016"
"93","","","","0","","0.5","","203","","203017"
"3","0.2","","","cgg_idle_def","","103611","","203","1","203018"
"3","0.2","","1","cgg_talk_nod","0","1","cgg_idle_nod","203","0","203019"
"12","0.2","","","6","","1","","203","1.4","203020"
"93","","","","0","","3","","203","","203021"
"3","0.2","","","cgg_idle_normal","","1","","203","1","203022"
"3","0.2","","","cgg_talk_joy1","","103611","","203","1","203023"
"12","0.2","","","10","","103611","","203","1.4","203024"
"93","","","","0","","3","","203","","203025"
"3","0.2","","","cgg_idle_def","","103611","","203","1","203026"
"3","0.2","","1","cgg_talk_guts1","0","1","cgg_idle_guts1","203","0","203027"
"12","0.2","","","4","","1","","203","1.4","203028"
"93","","","","0","","3","","203","","203029"
"3","0.2","","","cgg_idle_normal","","1","","203","1","203030"
"3","0.2","","","cgg_talk_joy3_dere","","103611","","203","1","203031"
"12","0.2","","","7","","103611","","203","1.4","203032"
"93","","","","0","","3","","203","","203033"
"101","","","","0","","203018","","203","","203034"
"22","","","","0.5","","0","","203","","203035"
"6","0.1","","0","1","0","1","1","203","1","203036"
"6","0.1","","0","1","0","103611","1","203","1","203037"
"93","","","","0","","0.1","","203","","203038"
"3","0","","","cgg_idle_normal","","1","","203","1","203039"
"3","0","","","cgg_idle_def","","103611","","203","1","203040"
"5","160","cgg_idle_normal","-230","1","0","1","-420","204","100","204001"
"1","1.6","cgg_idle_def","-230","102811","1","1","420","204","100","204002"
"6","0.1","","1","1","0","1","1","204","1","204003"
"6","0.1","","1","1","0","102811","1","204","1","204004"
"93","","","","0","","0.2","","204","","204005"
"21","","","","vo_minigame_1007_top_talk_10_016","","vo_minigame_1007","0","204","0","204006"
"11","0","0","0","こんなに\nグッズ集めたの？\nやるわね…あたしも\n集めようかしら","0","102811","0","204","6","204007"
"3","0.2","","1","cgg_talk_doya","0","1","cgg_idle_doya","204","0","204008"
"3","0.2","","1","cgg_surprise","0","102811","cgg_talk_surprise1","204","0","204009"
"93","","","","0","","2.5","","204","","204010"
"3","0.2","","","cgg_idle_reaction5","","1","","204","1","204011"
"3","0.2","","","cgg_talk_bitter","","102811","","204","1","204012"
"91","","","","","","204007","","204","","204013"
"93","","","","0","","0.5","","204","","204014"
"3","0.2","","","cgg_idle_def","","102811","","204","1","204015"
"3","0.2","","1","cgg_talk_doya","0","1","cgg_idle_doya","204","0","204016"
"12","0.2","","","6","","1","","204","1.4","204017"
"93","","","","0","","3","","204","","204018"
"3","0.2","","","cgg_idle_normal","","1","","204","1","204019"
