c4f11169c503c583dbb7f3287afdf28005fc536973d4e0ebad572f3379e576da,bf3b3e5f8ca2d274dde316171fd6f378657a7a37fb06a8a2c4f993b2b261a4b8,6ecb7f53def7c3ee436523eb790629f23b4869aa4c2c4873110020b138ec39f9,fd3d765a571bc27b482463b017883fdeb3e6f14dc4f0591e8a7862fb71f0e6b6,f140bf29a88b701c39c41e1bd559b14ec2387e2d2e6b3a7629f05f2ac590e6c3,02c05234c6005badff0e889e77aa2cbac493ac61bc6ca65390f86ea02371ad12,f2a7cd5cc732bc8176d55e7f4228af4b46855b95eba2ed41301d87dfc348a32a,054706ab94dfbeffc691ffa780a125a1f5145e6fef53a73bc930dac51b0eb2be,e89f647ac83350f31d8a9cf722d3dfc18ac789b4e555857e6d9b3349e633f912,e41b3cf9f8846d0bfdce1eaef521a6d6bb5410243a7d9e97f6ef749e93c9098a
"1300014","500","38","3040","1","3042","3041","3","1","11820"
"1300015","500","38","3043","1","3045","3044","3","1","11820"
"1300016","500","38","3046","1","3048","3047","3","1","11820"
"1300017","500","38","3049","1","3051","3050","3","2","11820"
"1300018","500","38","3052","1","3054","3053","3","4","11820"
"1300019","500","38","3055","1","3057","3056","3","4","11820"
"1300020","500","38","3058","1","3060","3059","3","6","11820"
"1300021","375","40","3061","1","3063","3062","3","1","13050"
"1300022","375","40","3064","1","3066","3065","3","1","13050"
"1300023","375","40","3067","1","3069","3068","3","1","13050"
"1300024","375","40","3070","1","3072","3071","3","1","13050"
"1300025","375","40","3073","1","3075","3074","3","1","13050"
"1300026","375","40","3076","1","3078","3077","3","1","13050"
"1300027","375","40","3079","1","3081","3080","3","2","13050"
"1300028","375","40","3082","1","3084","3083","3","4","13050"
"1300029","375","40","3085","1","3087","3086","3","6","13050"
"1300030","375","40","3088","1","3090","3089","3","6","13050"
"2100001","700","29","4001","2","4003","4002","1","3","9360"
"2100002","700","29","4004","2","4006","4005","1","5","9360"
"2100003","700","29","4007","2","4009","4008","1","7","9360"
"2100004","700","29","4010","2","4012","4011","1","3","9360"
"2100005","700","29","4013","2","4015","4014","1","5","9360"
"2100006","700","29","4016","2","4018","4017","1","7","9360"
"2100007","575","30","4019","2","4021","4020","1","3","10590"
"2100008","575","30","4022","2","4024","4023","1","5","10590"
"2100009","575","30","4025","2","4027","4026","1","7","10590"
"2100010","575","30","4028","2","4030","4029","1","3","10590"
"2200001","700","33","5001","2","5003","5002","2","3","9360"
"2200002","700","33","5004","2","5006","5005","2","5","9360"
"2200003","700","33","5007","2","5009","5008","2","7","9360"
"2200004","700","33","5010","2","5012","5011","2","3","9360"
"2200005","700","33","5013","2","5015","5014","2","5","9360"
"2200006","700","33","5016","2","5018","5017","2","7","9360"
"2200007","700","33","5019","2","5021","5020","2","3","9360"
"2200008","700","33","5022","2","5024","5023","2","5","9360"
"2200009","700","33","5025","2","5027","5026","2","7","9360"
"2200010","700","33","5028","2","5030","5029","2","3","9360"
"2200011","700","33","5031","2","5033","5032","2","5","9360"
"2200012","700","33","5034","2","5036","5035","2","7","9360"
"2200013","575","34","5037","2","5039","5038","2","3","10590"
"2200014","575","34","5040","2","5042","5041","2","5","10590"
"2200015","575","34","5043","2","5045","5044","2","7","10590"
"2200016","575","34","5046","2","5048","5047","2","3","10590"
"2200017","575","34","5049","2","5051","5050","2","5","10590"
"2200018","575","34","5052","2","5054","5053","2","7","10590"
"2200019","575","34","5055","2","5057","5056","2","5","10590"
"2200020","575","34","5058","2","5060","5059","2","7","10590"
"2300001","700","33","6001","2","6003","6002","3","3","9360"
"2300002","700","33","6004","2","6006","6005","3","5","9360"
"2300003","700","33","6007","2","6009","6008","3","7","9360"
"2300004","700","33","6010","2","6012","6011","3","3","9360"
"2300005","700","33","6013","2","6015","6014","3","5","9360"
"2300006","700","33","6016","2","6018","6017","3","7","9360"
"2300007","700","33","6019","2","6021","6020","3","3","9360"
"2300008","700","33","6022","2","6024","6023","3","5","9360"
"2300009","700","33","6025","2","6027","6026","3","7","9360"
"2300010","700","33","6028","2","6030","6029","3","3","9360"
"2300011","700","33","6031","2","6033","6032","3","5","9360"
"2300012","700","33","6034","2","6036","6035","3","7","9360"
"2300013","700","33","6037","2","6039","6038","3","3","9360"
"2300014","700","33","6040","2","6042","6041","3","5","9360"
"2300015","700","33","6043","2","6045","6044","3","7","9360"
"2300016","700","33","6046","2","6048","6047","3","3","9360"
"2300017","700","33","6049","2","6051","6050","3","5","9360"
"2300018","700","33","6052","2","6054","6053","3","7","9360"
"2300019","575","34","6055","2","6057","6056","3","3","10590"
"2300020","575","34","6058","2","6060","6059","3","5","10590"
"2300021","575","34","6061","2","6063","6062","3","7","10590"
"2300022","575","34","6064","2","6066","6065","3","3","10590"
"2300023","575","34","6067","2","6069","6068","3","5","10590"
"2300024","575","34","6070","2","6072","6071","3","7","10590"
"2300025","575","34","6073","2","6075","6074","3","3","10590"
"2300026","575","34","6076","2","6078","6077","3","5","10590"
"2300027","575","34","6079","2","6081","6080","3","7","10590"
"2300028","575","34","6082","2","6084","6083","3","3","10590"
"2300029","575","34","6085","2","6087","6086","3","5","10590"
"2300030","575","34","6088","2","6090","6089","3","7","10590"
"3100001","340","39","7001","3","7003","7002","1","1","14280"
"3100002","340","39","7004","3","7006","7005","1","1","14280"
"3100003","340","39","7007","3","7009","7008","1","1","14280"
"3100004","340","39","7010","3","7012","7011","1","1","14280"
"3100005","340","39","7013","3","7015","7014","1","1","14280"
"3100006","340","39","7016","3","7018","7017","1","1","14280"
"3100007","375","36","7019","3","7021","7020","1","1","13050"
"3100008","375","36","7022","3","7024","7023","1","1","13050"
"3100009","375","36","7025","3","7027","7026","1","1","13050"
"3100010","375","36","7028","3","7030","7029","1","1","13050"
"3200001","340","41","8001","3","8003","8002","2","1","14280"
"3200002","340","41","8004","3","8006","8005","2","1","14280"
"3200003","340","41","8007","3","8009","8008","2","1","14280"
"3200004","340","41","8010","3","8012","8011","2","1","14280"
"3200005","340","41","8013","3","8015","8014","2","1","14280"
"3200006","340","41","8016","3","8018","8017","2","1","14280"
"3200007","340","41","8019","3","8021","8020","2","1","14280"
"3200008","340","41","8022","3","8024","8023","2","1","14280"
"3200009","340","41","8025","3","8027","8026","2","1","14280"
"3200010","340","41","8028","3","8030","8029","2","1","14280"
"3200011","340","41","8031","3","8033","8032","2","1","14280"
"3200012","340","41","8034","3","8036","8035","2","1","14280"
"3200013","375","38","8037","3","8039","8038","2","1","13050"
"3200014","375","38","8040","3","8042","8041","2","1","13050"
"3200015","375","38","8043","3","8045","8044","2","1","13050"
"3200016","375","38","8046","3","8048","8047","2","1","13050"
"3200017","375","38","8049","3","8051","8050","2","1","13050"
"3200018","375","38","8052","3","8054","8053","2","1","13050"
"3200019","375","38","8055","3","8057","8056","2","1","13050"
"3200020","375","38","8058","3","8060","8059","2","1","13050"
"3300001","340","40","9001","3","9003","9002","3","1","14280"
"3300002","340","40","9004","3","9006","9005","3","1","14280"
"3300003","340","40","9007","3","9009","9008","3","1","14280"
"3300004","340","40","9010","3","9012","9011","3","1","14280"
"3300005","340","40","9013","3","9015","9014","3","1","14280"
"3300006","340","40","9016","3","9018","9017","3","1","14280"
"3300007","340","40","9019","3","9021","9020","3","1","14280"
"3300008","340","40","9022","3","9024","9023","3","1","14280"
"3300009","340","40","9025","3","9027","9026","3","1","14280"
"3300010","340","40","9028","3","9030","9029","3","1","14280"
"3300011","340","40","9031","3","9033","9032","3","1","14280"
"3300012","340","40","9034","3","9036","9035","3","1","14280"
"3300013","340","40","9037","3","9039","9038","3","1","14280"
"3300014","340","40","9040","3","9042","9041","3","1","14280"
"3300015","340","40","9043","3","9045","9044","3","1","14280"
"3300016","340","40","9046","3","9048","9047","3","1","14280"
"3300017","340","40","9049","3","9051","9050","3","1","14280"
"3300018","340","40","9052","3","9054","9053","3","1","14280"
"3300019","375","39","9055","3","9057","9056","3","1","13050"
"3300020","375","39","9058","3","9060","9059","3","1","13050"
"3300021","375","39","9061","3","9063","9062","3","1","13050"
"3300022","375","39","9064","3","9066","9065","3","1","13050"
"3300023","375","39","9067","3","9069","9068","3","1","13050"
"3300024","375","39","9070","3","9072","9071","3","1","13050"
"3300025","375","39","9073","3","9075","9074","3","1","13050"
"3300026","375","39","9076","3","9078","9077","3","1","13050"
"3300027","375","39","9079","3","9081","9080","3","1","13050"
"3300028","375","39","9082","3","9084","9083","3","1","13050"
"3300029","375","39","9085","3","9087","9086","3","1","13050"
"3300030","375","39","9088","3","9090","9089","3","1","13050"
