45b0780f6d8f317d4a7daebc9affe98bd15456950149badbb3c557423be84bb2,cda6c6ed98c4505e922e74310f9af1a23a6644c5711509cf84bbdcda441db530,74c68a18bf4fc559532cb89228a14d30ebe2e2e8147bbd0816ff08acc9d131fd,f0f09117031617fe55d2511a8c2905b8084231597f4c3900eecf5f5d9a7005bd,84d013bacecf08ee69891857ac901aef28641da4e7294721e2e9f60a681239aa,69f86a2d19ddff2fb8a52cbe1897e9016603fa090fff62033b1737468fcb88db,00557913b64228a9656adb98f6f902383e4d95baf8d4e2e01f28ccd780d716d7,ab50ee961a5d96c929d06e4e41832f246a5d42a16557d5439b7d6a69424dca63,a69fe1185dc6e2b763ea899e046a55aff89339f56257d3df159862a5be17cbe4,11e33546fe8b1ab9eea364d63aa78a54303e00d8118e2b2382b4580f594136b1,f63712d85a55969af897fc6bbd12d2512361daa78cb55c504a3aebd9cd034fd8,e546647093b2a2384665e5da735e2587087dffdda40a53804218526aba19f56f
"104","0","0","3","77","0","76","0","7701","4","11041","77"
"101","0","0","2","78","0","77","0","7801","2","11011","78"
"100","0","0","3","79","0","78","0","7901","3","11001","79"
"104","0","0","2","80","0","79","0","8001","4","11041","80"
"52","0","0","1","81","0","80","0","8101","3","10521","81"
"101","0","0","2","82","0","81","0","8201","1","11011","82"
"50","0","0","4","83","0","82","0","8301","3","10501","83"
"103","0","0","3","84","0","83","0","8401","1","11031","84"
"104","0","0","2","85","0","84","0","8501","4","11041","85"
"100","0","0","3","86","0","85","0","8601","2","11001","86"
"102","0","0","2","87","0","86","0","8701","2","11021","87"
"103","0","0","1","88","0","87","0","8801","2","11031","88"
"104","0","0","3","89","0","88","0","8901","4","11041","89"
"102","0","0","2","90","0","89","0","9001","1","11021","90"
"104","0","0","3","91","0","90","0","9101","4","11041","91"
"50","0","0","4","92","0","91","0","9201","3","10501","92"
"104","0","0","3","93","0","92","0","9301","4","11041","93"
"102","0","0","2","94","0","93","0","9401","1","11021","94"
"103","0","0","2","95","0","94","0","9501","2","11031","95"
"104","0","0","3","96","0","95","0","9601","4","11041","96"
"104","0","0","2","97","0","96","0","9701","4","11041","97"
"101","0","0","2","98","0","97","0","9801","2","11011","98"
"104","0","0","3","99","0","98","0","9901","4","11041","99"
"102","0","0","1","100","0","99","0","10001","1","11021","100"
"103","0","0","3","101","0","100","0","10101","3","11031","101"
"104","0","0","4","102","0","101","0","10201","4","11041","102"
"50","0","0","2","103","0","102","0","10301","3","10501","103"
"100","0","0","3","104","0","103","0","10401","1","11001","104"
"104","0","0","4","105","0","104","0","10501","4","11041","105"
"103","0","0","2","106","0","105","0","10601","2","11031","106"
"104","0","0","1","107","0","106","0","10701","4","11041","107"
"103","0","0","3","108","0","107","0","10801","2","11031","108"
"100","0","0","3","109","0","108","0","10901","3","11001","109"
"104","0","0","1","110","0","109","0","11001","4","11041","110"
"101","0","0","2","111","0","110","0","11101","3","11011","111"
"104","0","0","4","112","0","111","0","11201","4","11041","112"
"102","0","0","3","113","0","112","0","11301","1","11021","113"
"104","0","0","2","114","0","113","0","11401","4","11041","114"
"103","0","0","4","115","0","114","0","11501","2","11031","115"
"104","0","0","3","116","0","115","0","11601","4","11041","116"
"102","0","0","2","117","0","116","0","11701","2","11021","117"
"104","0","0","2","118","0","117","0","11801","4","11041","118"
"52","0","0","1","119","0","118","0","11901","3","10521","119"
"104","0","0","3","120","0","119","0","12001","4","11041","120"
"102","0","0","3","121","0","120","0","12101","1","11021","121"
"103","0","0","4","122","0","121","0","12201","3","11031","122"
"100","0","0","2","123","0","122","0","12301","2","11001","123"
"102","0","0","1","124","0","123","0","12401","1","11021","124"
"104","0","0","3","125","0","124","0","12501","4","11041","125"
"101","0","0","2","126","0","125","0","12601","2","11011","126"
