bda828fc80718fb36c19b44684ee50e0b9259da6089781a040bdbfd7e67c6d28,290a966a908d1d8a826c20251f05e2216f109d1824c459486c8c791f98d2d8c8,b0881b96a8c5ca0b130d43174e2a41f7ddc9f9d300544a5553162d88ed4665d5,2ce7a9c23e3eb0f39f42cf965affbe4db0f4a29f309860c8ca8a93cd1ae9878c,a64bf03441246c09c5e85f1488e08ca3a9d6252d2b9b80c2b3b9af25b7d9a5d8,b2ba1a645f38e0aee03e42cc67d12efc5758e93fc2a82a160f7324f4e2754b6c,b2760714d8ffbf4a005b86e6077793625ce7c1d1ae415f2256c9e340ba5e2ecd,a67fb15a8be9e0c2afd10a8ff76349d72d38b2cc0b9cffdea79205988995048b,2911fa84961ededcf43582a278a114c05df596f7ef4e4db7b580dc3dd455b740,29808e2c9802d2ad5631b614522a900eb521e2890a9b5c7402bbfebf0aa4fa38,f9aa62038233dacf8d961dcc1d03ed20b8e89d6f188540c19cc43dfa702a4ca0,dbc67a27264ded62d8fb5f8ccf0c3d00218b5ab762870735abe38cec318b7968,71707cd4b5439efbd24a8ff4b91c4c1dd963c7d3ce08b5c339484d8f818dd1cd,8dc79abd42bea6a176dbbc2a559e01bd47d583a5880fb26c832a02c0d143058e
"10088","0.03","10088101","1","0.84","0.92","0","-25","1","-13","100000","10","-50","1008801"
"10088","0","0","0","0.7","0.8","0","-25","2","13","100000","0","-50","1008801"
"10088","0.03","10088201","1","0.84","0.92","0","-25","1","-13","100000","10","-50","1008802"
"10088","0","0","0","0.7","0.8","0","-25","2","13","100000","0","-50","1008802"
"10088","0.03","10088301","1","0.84","0.92","0","-25","1","-13","100000","10","-50","1008803"
"10088","0","0","0","0.7","0.8","0","-25","2","13","100000","0","-50","1008803"
"10088","0.03","10088401","1","0.7","0.92","0","-30","1","-17","100000","10","-50","1008804"
"10088","0","0","0","0.6","0.8","0","-30","2","30","100000","0","-50","1008804"
"10088","0.03","0","1","0.7","0.92","0","-30","1","-17","100000","10","-50","1008805"
"10088","0","0","0","0.6","0.8","0","-30","2","30","100000","0","-50","1008805"
"20029","0","0","0","1.7","1.5","0","-30","2","30","100000","10","0","2002901"
"20029","0.03","20029101","1","1.7","1.5","0","25","1","-17","100000","0","-40","2002901"
"20029","0","0","0","1.7","1.5","0","-47","3","-32","100000","10","-23","2002901"
"20029","0","0","0","1.7","1.5","0","-30","2","30","100000","10","0","2002902"
"20029","0.03","0","1","1.7","1.5","0","25","1","-17","100000","0","-40","2002902"
"20029","0","0","0","1.7","1.5","0","-47","3","-32","100000","10","-23","2002902"
"20029","0","0","0","1.7","1.5","0","-30","2","30","100000","10","0","2002903"
"20029","0.03","0","1","1.7","1.5","0","25","1","-17","100000","0","-40","2002903"
"20029","0","0","0","1.7","1.5","0","-47","3","-32","100000","10","-23","2002903"
"20029","0","0","0","1.7","1.5","0","-30","2","30","100000","10","0","2002904"
"20029","0.03","0","1","1.7","1.5","0","25","1","-17","100000","0","-40","2002904"
"20029","0","0","0","1.7","1.5","0","-47","3","-32","100000","10","-23","2002904"
"20029","0","0","0","1.7","1.5","0","-30","2","30","100000","10","0","2002905"
"20029","0.03","0","1","1.7","1.5","0","25","1","-17","100000","0","-40","2002905"
"20029","0","0","0","1.7","1.5","0","-47","3","-32","100000","10","-23","2002905"
"10115","0.03","10115101","1","0.84","0.92","0","-25","1","-13","100000","10","-50","1011501"
"10115","0","0","0","0.7","0.8","0","-25","2","13","100000","0","-50","1011501"
"10115","0.03","10115201","1","0.84","0.92","0","-25","1","-13","100000","10","-50","1011502"
"10115","0","0","0","0.7","0.8","0","-25","2","13","100000","0","-50","1011502"
"10115","0.03","10115301","1","0.84","0.92","0","-25","1","-13","100000","10","-50","1011503"
"10115","0","0","0","0.7","0.8","0","-25","2","13","100000","0","-50","1011503"
"10115","0.03","10115401","1","0.7","0.92","0","-30","1","-17","100000","10","-50","1011504"
"10115","0","0","0","0.6","0.8","0","-30","2","30","100000","0","-50","1011504"
"10115","0.03","0","1","0.7","0.92","0","-30","1","-17","100000","10","-50","1011505"
"10115","0","0","0","0.6","0.8","0","-30","2","30","100000","0","-50","1011505"
"20048","0.03","0","1","0.84","0.92","0","-25","1","-13","100000","10","-50","2004801"
"20048","0","0","0","0.7","0.8","0","-25","2","13","100000","0","-50","2004801"
"20048","0.03","0","1","0.84","0.92","0","-25","1","-13","100000","10","-50","2004802"
"20048","0","0","0","0.7","0.8","0","-25","2","13","100000","0","-50","2004802"
"20048","0.03","0","1","0.84","0.92","0","-25","1","-13","100000","10","-50","2004803"
"20048","0","0","0","0.7","0.8","0","-25","2","13","100000","0","-50","2004803"
