8ed53f6144409b43575e457c201c0847ea3aca5f1e18b6a6071fa9f30b530786,786812c40ecd6c8ab9cfafc426007d69e1dc1e9358d668d748610c4f08c033ad,64bb521bdf32ed99871ff0e6bc98b13ddadc4f3b4a5ad1e22bc4124cfbc9a6fa,07b9d8b988f3e9a02f0271b2703f5aaf6d7a61234324d9c4da053f6f831281d6,3bffccd9e9b3a5f9b39c661d9f1d94ee37404ae31bc5acdb2d6917225f887a2d,108340d4bd2e2f5ee3aee8c57f31a633cd17af81afa248b48c4c7df03e6a73c9,ebb82dd9ec29a359d868f96b6ce8d48014eca6c0817f1e7e4b5a682c5ec44f6c,e87873b64ab7e55c9e2143580949930367df3fada86dc130765d946c8e073d53,1da43c1fd19bf765f9541b3a492f674ed14f5306629d6e2384e87aea481d6f34,1c084cd880e402def4176ad542f400f6fbb4eeead36df735bc38aaf9764072dd,e81bada7f281d3d6e97877d554fa2b67c34204ee27cf42aa2863d91ded61782e
"1030003","","","21","vo_minigame_1006_top_103","","","3","vo_minigame_1006","0","0"
"1030004","0","0","11","ケガには気を付けてね\n無理は禁物ですよ～♪","0","0","3","113511","0","6"
"1030005","","","93","","","","3","2","",""
"1030006","0.2","","3","pkb_talk_wish","","","3","113511","","1"
"1030007","","","91","","","","3","1030004","",""
"1030008","0.2","","3","pkb_idle_normal","","","3","113511","","1"
"1040001","57","-155","5","3","pkb_idle_normal_l","1","4","3","64","100"
"1040002","0.2","1","3","pkb_talk_arm_crossed_l","","0.2","4","3","pkb_idle_arm_crossed_l","0"
"1040003","","","21","vo_minigame_1006_top_601","","","4","vo_minigame_1006","0","0"
"1040004","0","0","11","今日の練習も\n手加減しねえ！\nしっかりついてこい！","0","","4","3","0","8"
"1040005","","","91","","","","4","0","",""
"1040006","0.2","","3","pkb_idle_normal_l","","","4","3","","1"
"1050001","57","-155","5","3","pkb_idle_normal_l","1","5","3","64","100"
"1050002","0.2","1","3","pkb_talk_arm_crossed_l","","0.2","5","3","pkb_idle_arm_crossed_l","0"
"1050003","","","21","vo_minigame_1006_top_602","","","5","vo_minigame_1006","0","0"
"1050004","0","0","11","おーし！\n気合いいれて\n練習すんぞー！","0","","5","3","0","8"
"1050005","","","93","","","","5","2","",""
"1050006","0.2","1","3","pkb_talk_handsup_l","","0.2","5","3","pkb_idle_normal_l","0"
"1050007","","","91","","","","5","1050004","",""
"1050008","0.2","","3","pkb_idle_normal_l","","","5","3","","1"
"1060001","57","-155","5","3","pkb_idle_normal_l","1","6","3","64","100"
"1060002","0.2","1","3","pkb_talk_arm_crossed_l","","0.2","6","3","pkb_idle_arm_crossed_l","0"
"1060003","","","21","vo_minigame_1006_top_603","","","6","vo_minigame_1006","0","0"
"1060004","0","0","11","練習だからって\nだらしねえとこ\n見せるんじゃねえぞ？","0","","6","3","0","8"
"1060005","","","93","","","","6","3","",""
"1060006","0.2","1","3","pkb_talk_guts_l","","","6","3","pkb_idle_guts_l","0"
"1060007","","","91","","","","6","1060004","",""
"1060008","0.2","","3","pkb_idle_normal_l","","","6","3","","1"
"1070001","1.65","-175","1","113411","pkb_idle_normal","1","7","1","64","100"
"1070002","0.2","1","3","pkb_talk_fun","","0.2","7","113411","pkb_talk_joy1","0"
"1070003","","","21","vo_minigame_1006_top_201","","","7","vo_minigame_1006","0","0"
"1070004","0","0","11","フレーフレー！\n今日もファイトだよ！\n張り切っていこー！","0","0","7","113411","0","8"
"1070005","","","93","","","","7","3.4","",""
"1070006","0.2","1","3","pkb_talk_handsup","","0.2","7","113411","pkb_idle_normal","0"
"1070007","","","91","","","","7","1070004","",""
"1070008","0.2","","3","pkb_idle_normal","","","7","113411","","1"
"1080001","1.65","-175","1","113411","pkb_idle_normal","1","8","1","64","100"
"1080002","0.2","","3","pkb_talk_joy2","","","8","113411","","1"
"1080003","","","21","vo_minigame_1006_top_202","","","8","vo_minigame_1006","0","0"
"1080004","0","0","11","ハツネちゃんも\n練習のお手伝いを\nしちゃうのだ～！\nきらーん☆","-1","0","8","113411","0","8"
"1080005","","","93","","","","8","3.6","",""
"1080006","0.2","","3","pkb_hatsune_kiran","","","8","113411","","0"
"1080007","","","91","","","","8","1080004","",""
"1080008","0.2","","3","pkb_idle_normal","","","8","113411","","1"
"1090001","1.65","-175","1","113411","pkb_idle_normal","1","9","1","64","100"
"1090002","0.2","","3","pkb_talk_joy2","","","9","113411","","1"
"1090003","","","21","vo_minigame_1006_top_203","","","9","vo_minigame_1006","0","0"
"1090004","0","0","11","私も投げてみたいな！\n超能りょ…じゃなくて\n魔法で、すごい球を\n投げちゃうよ！","0","0","9","113411","0","6"
"1090005","","","93","","","","9","3","",""
"1090006","0.2","1","3","pkb_surprise","","0.2","9","113411","pkb_idle_surprise1","0"
"1090007","","","93","","","","9","1","",""
"1090008","0.2","","3","pkb_talk_joy3","","","9","113411","","1"
"1090009","","","91","","","","9","1090004","",""
"1090010","0.2","","3","pkb_idle_normal","","","9","113411","","1"
"1100001","1.65","-175","1","106531","pkb_idle_normal","1","10","1","64","100"
"1100002","0.2","1","3","pkb_talk_arm_crossed","","","10","106531","pkb_idle_arm_crossed","0"
"1100003","","","21","vo_minigame_1006_top_301","","","10","vo_minigame_1006","0","0"
"1100004","0","0","11","なあ、練習始めようぜ\n早く投げたくて\nウズウズしてるんだ！","0","0","10","106531","0","8"
"1100005","","","93","","","","10","2.8","",""
"1100006","0.2","","3","pkb_talk_joy1","","","10","106531","","1"
"1100007","","","91","","","","10","1100004","",""
"1100008","0.2","","3","pkb_idle_normal","","","10","106531","","1"
"1110001","1.65","-175","1","106531","pkb_idle_normal","1","11","1","64","100"
"1110002","0.2","","3","pkb_talk_normal","","","11","106531","","1"
"1110003","","","21","vo_minigame_1006_top_302","","","11","vo_minigame_1006","0","0"
"1110004","0","0","11","オレ様の特訓は\n半端じゃねえぜ\n覚悟しとけよ？","0","0","11","106531","0","8"
"1110005","","","93","","","","11","3.2","",""
"1110006","0.2","1","3","pkb_talk_arm_crossed","","0.2","11","106531","pkb_idle_arm_crossed","0"
"1110007","","","91","","","","11","1110004","",""
"1110008","0.2","","3","pkb_idle_normal","","","11","106531","","1"
"1120001","1.65","-175","1","106531","pkb_idle_normal","1","12","1","64","100"
"1120002","0.2","1","3","pkb_talk_arm_crossed","","0.2","12","106531","pkb_idle_arm_crossed","0"
"1120003","","","21","vo_minigame_1006_top_303","","","12","vo_minigame_1006","0","0"
"1120004","0","0","11","威勢がいいのは口だけ\nじゃねえってとこ\n見せてくれよな？","0.5","0","12","106531","0","8"
"1120005","","","93","","","","12","3.2","",""
"1120006","0.2","1","3","pkb_talk_doya","","","12","106531","pkb_idle_doya","0"
"1120007","","","91","","","","12","1120004","",""
"1120008","0.2","","3","pkb_idle_normal","","","12","106531","","1"
"1130001","1.65","-175","1","102311","pkb_idle_normal","1","13","1","64","100"
"1130002","0.2","1","3","pkb_talk_fun","","0.4","13","102311","pkb_talk_joy1","0"
"1130003","","","21","vo_minigame_1006_top_401","","","13","vo_minigame_1006","0","0"
"1130004","0","0","11","今日も打っちゃうよ！\n一緒にがんばろうね\nぷうきち！","0","0","13","102311","0","8"
"1130005","","","91","","","","13","1130004","",""
"1130006","0.2","","3","pkb_idle_normal","","","13","102311","","1"
"1140001","1.65","-175","1","102311","pkb_idle_normal","1","14","1","64","100"
"1140002","0.2","","3","pkb_talk_joy1","","","14","102311","","1"
"1140003","","","21","vo_minigame_1006_top_402","","","14","vo_minigame_1006","0","0"
"1140004","0","0","11","全部ホームラン\n打てばいいんだよね？\nそれくらい簡単だよ！","0","0","14","102311","0","8"
"1140005","","","93","","","","14","3","",""
"1140006","0.2","1","3","pkb_talk_doya","","","14","102311","pkb_idle_doya","0"
"1140007","","","91","","","","14","1140004","",""
"1140008","0.2","","3","pkb_idle_normal","","","14","102311","","1"
"1150001","1.65","-175","1","102311","pkb_idle_normal","1","15","1","64","100"
"1150002","0.2","","3","pkb_talk_wish","","","15","102311","","1"
"1150003","","","21","vo_minigame_1006_top_403","","","15","vo_minigame_1006","0","0"
"1150004","0","0","11","お兄ちゃんたちの\nお手本になれる\nように、いっぱい\n打つからね！","-0.5","0","15","102311","0","8"
"1150005","","","93","","","","15","2.4","",""
"1150006","0.2","1","3","pkb_talk_fun","","0.4","15","102311","pkb_talk_joy1","0"
"1150007","","","91","","","","15","1150004","",""
"1150008","0.2","","3","pkb_idle_normal","","","15","102311","","1"
"1160001","57","-155","5","1","pkb_idle_normal_l","1","16","1","64","100"
"1160002","0.2","1","3","pkb_talk_arm_crossed_l","","0.2","16","1","pkb_idle_arm_crossed_l","0"
"1160003","","","21","vo_minigame_1006_top_701","","","16","vo_minigame_1006","0","0"
"1160004","0","0","11","全国大会を目指して\n今日も練習頑張ろう！","0","0","16","1","0","8"
"1160005","","","93","","","","16","2.6","",""
"1160006","0.2","1","3","pkb_talk_doya_l","","0.2","16","1","pkb_idle_doya_l","0"
"1160007","","","91","","","","16","1160004","",""
"1160008","0.2","","3","pkb_idle_normal_l","","","16","1","","1"
"1170001","57","-155","5","1","pkb_idle_normal_l","1","17","1","64","100"
"1170002","0.2","1","3","pkb_talk_guts_l","","","17","1","pkb_idle_guts_l","0"
"1170003","","","21","vo_minigame_1006_top_702","","","17","vo_minigame_1006","0","0"
"1170004","0","0","11","夢を叶えるために\n全力で練習に\n取り組もう！","0","0","17","1","0","8"
"1170005","","","91","","","","17","0","",""
"1170006","0.2","","3","pkb_idle_normal_l","","","17","1","","1"
"1180001","57","-155","5","1","pkb_idle_normal_l","1","18","1","64","100"
"1180002","0.2","1","3","pkb_talk_arm_crossed_l","","0.2","18","1","pkb_idle_arm_crossed_l","0"
"1180003","","","21","vo_minigame_1006_top_703","","","18","vo_minigame_1006","0","0"
"1180004","0","0","11","部員のみんなも\nすごく上達してる…\n俺も負けてられない！","0","0","18","1","0","8"
"1180005","","","93","","","","18","2.9","",""
"1180006","0.2","1","3","pkb_talk_guts_l","","","18","1","pkb_idle_guts_l","0"
"1180007","","","91","","","","18","1180004","",""
"1180008","0.2","","3","pkb_idle_normal_l","","","18","1","","1"
"1190001","57","-155","5","2","pkb_idle_normal_l","1","19","2","64","100"
"1190002","0.2","1","3","pkb_talk_arm_crossed_l","","0.2","19","2","pkb_idle_arm_crossed_l","0"
"1190003","","","21","vo_minigame_1006_top_801","","","19","vo_minigame_1006","0","0"
"1190004","0","0","11","上達してるってとこ\n見せてやる\nオレだって選手なんだ","0","0","19","2","0","8"
"1190005","","","93","","","","19","3.8","",""
"1190006","0.2","1","3","pkb_talk_guts_l","","","19","2","pkb_idle_guts_l","0"
"1190007","","","91","","","","19","1190004","",""
"1190008","0.2","","3","pkb_idle_normal_l","","","19","2","","1"
"1200001","57","-155","5","2","pkb_idle_normal_l","1","20","2","64","100"
"1200002","0.2","1","3","pkb_talk_guts_l","","","20","2","pkb_idle_guts_l","0"
"1200003","","","21","vo_minigame_1006_top_802","","","20","vo_minigame_1006","0","0"
"1200004","0","0","11","今日もかっとばす\n遠慮せず全力で\nかかってこい","0","0","20","2","0","8"
"1200005","","","93","","","","20","3.2","",""
"1200006","0.2","1","3","pkb_talk_doya_l","","","20","2","pkb_idle_doya_l","0"
"1200007","","","91","","","","20","1200004","",""
"1200008","0.2","","3","pkb_idle_normal_l","","","20","2","","1"
"1210001","57","-155","5","2","pkb_idle_normal_l","1","21","2","64","100"
"1210002","0.2","1","3","pkb_talk_arm_crossed_l","","0.2","21","2","pkb_idle_arm_crossed_l","0"
"1210003","","","21","vo_minigame_1006_top_803","","","21","vo_minigame_1006","0","0"
"1210004","0","0","11","全国を目指してんだ\nもっと練習しなきゃ\nいけねえよな","0","0","21","2","0","8"
"1210005","","","91","","","","21","0","",""
"1210006","0.2","","3","pkb_idle_normal_l","","","21","2","","1"
"1220001","1.6","-150","1","113511","pkb_idle_normal","0","22","1","-20","100"
"1220002","1.6","-150","1","113411","pkb_idle_normal","1","22","1","170","100"
"1220003","0.2","","3","pkb_talk_joy1","","","22","113511","","1"
"1220004","","","21","vo_minigame_1006_top_talk_1_101","","","22","vo_minigame_1006","0","0"
"1220005","0","0","11","ふふ、みんなすごく\n張り切ってるわね\nハツネちゃんの応援の\nおかげかしら♪","-0.5","0","22","113511","0","6"
"1220006","","","91","","","","22","0","",""
"1220007","0.2","","3","pkb_idle_normal","","","22","113511","","1"
"1220008","0.2","","3","pkb_talk_joy1","","","22","113411","","1"
"1220009","","","21","vo_minigame_1006_top_talk_1_202","","","22","vo_minigame_1006","0","0"
"1220010","0","0","11","そうかなー？\nじゃあもっと応援\nがんばっちゃうぞ～！","-0.5","0","22","113411","0","6"
"1220011","","","93","","","","22","4","",""
"1220012","0.2","1","3","pkb_talk_handsup","","0","22","113411","pkb_idle_normal","0"
"1220013","","","91","","","","22","1220010","",""
"1220014","0.2","","3","pkb_idle_normal","","","22","113411","","1"
"1230001","1.6","-150","1","113411","pkb_idle_normal","1","23","1","170","100"
"1230002","1.6","-150","1","113511","pkb_idle_normal","0","23","1","-20","100"
"1230003","0.2","","3","pkb_talk_normal","","","23","113411","","1"
"1230004","","","21","vo_minigame_1006_top_talk_2_201","","","23","vo_minigame_1006","0","0"
"1230005","0","0","11","ミサト先生も一緒に\n応援しようよ！","-1.5","0","23","113411","0","8"
"1230006","","","91","","","","23","0","",""
"1230007","0.2","","3","pkb_idle_normal","","","23","113411","","1"
"1230008","0.2","","3","pkb_talk_normal","","","23","113511","","1"
"1230009","","","21","vo_minigame_1006_top_talk_2_102","","","23","vo_minigame_1006","0","0"
"1230010","0","0","11","あらあら\n楽しそうね～♪\nフレーフレー！","3","0","23","113511","0","5"
"1230011","","","93","","","","23","4","",""
"1230012","0.2","0","3","pkb_talk_fun","","0.2","23","113511","pkb_talk_fun","0"
"1230013","","","93","","","","23","2.7","",""
"1230014","0.2","1","3","pkb_idle_normal","","0.2","23","113511","pkb_talk_joy1","0"
"1230015","","","91","","","","23","1230010","",""
"1230016","0.2","","3","pkb_idle_normal","","","23","113511","","1"
"1240001","1.6","-150","1","113511","pkb_idle_normal","1","24","1","170","100"
"1240002","55","-130","5","3","pkb_idle_normal","0","24","3","-20","100"
"1240003","0.2","","3","pkb_talk_joy3","","","24","113511","","1"
"1240004","","","21","vo_minigame_1006_top_talk_3_101","","","24","vo_minigame_1006","0","0"
"1240005","0","0","11","ダイチくんったら\nすごい気合いね～！\nでも、無理しちゃ\n駄目ですよ～？","-1","0","24","113511","0","6"
"1240006","","","93","","","","24","4","",""
"1240007","0.2","","3","pkb_talk_wish","","","24","113511","","1"
"1240008","","","91","","","","24","1240005","",""
"1240009","0.2","","3","pkb_idle_normal","","","24","113511","","1"
"1240010","0.2","","3","pkb_talk_normal","","","24","3","","1"
"1240011","","","21","vo_minigame_1006_top_talk_3_602","","","24","vo_minigame_1006","0","0"
"1240012","0","0","11","わかってるっつーの\nけどよ、ビーチベース\nボールが楽しくて\n仕方ねえんだよ！","-1","0","24","3","0","6"
"1240013","","","93","","","","24","2","",""
"1240014","0.2","1","3","pkb_talk_doya","","","24","3","pkb_idle_doya","0"
"1240015","","","91","","","","24","1240012","",""
"1240016","0.2","","3","pkb_idle_normal","","","24","3","","1"
"1250001","55","-130","5","3","pkb_idle_normal","0","25","3","-20","100"
"1250002","1.6","-150","1","113511","pkb_idle_normal","1","25","1","170","100"
"1250003","0.2","1","3","pkb_talk_arm_crossed","","0.2","25","3","pkb_idle_arm_crossed","0"
"1250004","","","21","vo_minigame_1006_top_talk_4_601","","","25","vo_minigame_1006","0","0"
"1250005","0","0","11","今の俺たちなら\n全国行けるぜ！\n絶対に夢を\n叶えようぜ！","-0.5","0","25","3","0","8"
"1250006","","","93","","","","25","3","",""
"1250007","0.2","1","3","pkb_talk_guts","","","25","3","pkb_idle_guts","0"
"1250008","","","91","","","","25","1250005","",""
"1250009","0.2","","3","pkb_idle_normal","","","25","3","","1"
"1250010","0.2","","3","pkb_talk_wish","","","25","113511","","1"
"1250011","","","21","vo_minigame_1006_top_talk_4_102","","","25","vo_minigame_1006","0","0"
"1250012","0","0","11","ええ、あなたたちなら\n行けるって信じてるわ\n頑張りましょう～♪","1","0","25","113511","0","6"
"1250013","","","93","","","","25","5.6","",""
"1250014","0.2","1","3","pkb_talk_handsup","","0.2","25","113511","pkb_idle_normal","0"
"1250015","","","91","","","","25","0","",""
"1250016","0.2","","3","pkb_idle_normal","","","25","113511","","1"
"1260001","1.6","-150","1","113511","pkb_idle_normal","1","26","1","170","100"
"1260002","55","-130","5","1","pkb_idle_normal","0","26","1","-20","100"
"1260003","0.2","","3","pkb_talk_joy3","","","26","113511","","1"
"1260004","","","21","vo_minigame_1006_top_talk_5_101","","","26","vo_minigame_1006","0","0"
"1260005","0","0","11","ふふ、先生も\n練習のお手伝いを\nしますからね～","0","0","26","113511","0","6"
"1260006","","","91","","","","26","0","",""
"1260007","0.2","","3","pkb_idle_normal","","","26","113511","","1"
"1260008","0.2","1","3","pkb_talk_guts","","0.2","26","1","pkb_idle_guts","0"
"1260009","","","21","vo_minigame_1006_top_talk_5_702","","","26","vo_minigame_1006","0","0"
"1260010","0","0","11","先生、ありがとう\nございます！\n俺も気合い入れて\n頑張ります！","-1","0","26","1","0","8"
"1260011","","","91","","","","26","0","",""
"1260012","0.2","","3","pkb_idle_normal","","","26","1","","1"
"1270001","55","-130","5","1","pkb_idle_normal","0","27","1","-20","100"
"1270002","1.6","-150","1","113511","pkb_idle_normal","1","27","1","170","100"
"1270003","0.2","1","3","pkb_talk_arm_crossed","","0.2","27","1","pkb_idle_arm_crossed","0"
"1270004","","","21","vo_minigame_1006_top_talk_6_701","","","27","vo_minigame_1006","0","0"
"1270005","0","0","11","今日もボールが\nピカピカだ…\nきっと先生が\n磨いてくれたんだ…！","-0.5","0","27","1","0","8"
"1270006","","","93","","","","27","2.6","",""
"1270007","0.2","1","3","pkb_talk_guts","","0.2","27","1","pkb_idle_guts","0"
"1270008","","","91","","","","27","1270005","",""
"1270009","0.2","","3","pkb_idle_normal","","","27","1","","1"
"1270010","0.2","","3","pkb_talk_joy3","","","27","113511","","1"
"1270011","","","21","vo_minigame_1006_top_talk_6_102","","","27","vo_minigame_1006","0","0"
"1270012","0","0","11","私にできることを\nしただけですよ～\nみんなが気持ちよく\n練習できたらなって♪","0.5","0","27","113511","0","6"
"1270013","","","93","","","","27","4","",""
"1270014","0.2","","3","pkb_talk_wish","","","27","113511","","1"
"1270015","","","91","","","","27","1270012","",""
"1270016","0.2","","3","pkb_idle_normal","","","27","113511","","1"
"1280001","1.6","-150","1","113411","pkb_idle_normal","1","28","1","170","100"
"1280002","55","-130","5","3","pkb_idle_normal","0","28","3","-20","100"
"1280003","0.2","1","3","pkb_talk_yell","","0.2","28","113411","pkb_talk_joy1","0"
"1280004","","","21","vo_minigame_1006_top_talk_7_201","","","28","vo_minigame_1006","0","0"
"1280005","0","0","11","みんな、頑張れ～♪\nかっこいいところ\n期待してるよー！\nファイトファイト～！","-0.5","0","28","113411","0","8"
"1280006","","","93","","","","28","4.6","",""
"1280007","0.2","1","3","pkb_talk_fun","","0.2","28","113411","pkb_idle_normal","0"
"1280008","","","91","","","","28","1280005","",""
"1280009","0.2","","3","pkb_idle_normal","","","28","113411","","1"
"1280010","0.2","1","3","pkb_talk_guts","","","28","3","pkb_idle_guts","0"
"1280011","","","21","vo_minigame_1006_top_talk_7_602","","","28","vo_minigame_1006","0","0"
"1280012","0","0","11","応援が沁みるぜ…\nハツネちゃんに\nいいとこ見せるぞ！\nうおおぉぉ！！","0","0","28","3","0","8"
"1280013","","","93","","","","28","5","",""
"1280014","0.2","1","3","pkb_talk_handsup","","","28","3","pkb_idle_normal","0"
"1280015","","","91","","","","28","1280012","",""
"1280016","0.2","","3","pkb_idle_normal","","","28","3","","1"
"1290001","55","-130","5","3","pkb_idle_normal","0","29","3","-20","100"
"1290002","1.6","-150","1","113411","pkb_idle_normal","1","29","1","170","100"
"1290003","0.2","1","3","pkb_talk_arm_crossed","","0.2","29","3","pkb_idle_arm_crossed","0"
"1290004","","","21","vo_minigame_1006_top_talk_8_601","","","29","vo_minigame_1006","0","0"
"1290005","0","0","11","かなりハードな練習に\nなりそうなんだ\nビシッと気合いが入る\n応援を頼むぜ！","-1","0","29","3","0","8"
"1290006","","","93","","","","29","2.8","",""
"1290007","0.2","1","3","pkb_talk_guts","","","29","3","pkb_idle_guts","0"
"1290008","","","91","","","","29","1290005","",""
"1290009","0.2","","3","pkb_idle_normal","","","29","3","","1"
"1290010","0.2","","3","pkb_talk_joy1","","","29","113411","","1"
"1290011","","","21","vo_minigame_1006_top_talk_8_202","","","29","vo_minigame_1006","0","0"
"1290012","0","0","11","任せてよ！\nいつもよりいっぱい\n応援しちゃうよ～！","-0.5","0","29","113411","0","8"
"1290013","","","93","","","","29","2.2","",""
"1290014","0.2","0","3","pkb_talk_fun","","0.4","29","113411","pkb_smile","0"
"1290015","","","93","","","","29","2.2","",""
"1290016","0.2","","3","pkb_idle_normal","","","29","113411","","1"
"1290017","","","91","","","","29","1290012","",""
"1290018","0.2","","3","pkb_idle_normal","","","29","113411","","1"
"1300001","1.6","-150","1","113411","pkb_idle_normal","1","30","1","170","100"
"1300002","55","-130","5","1","pkb_idle_normal","0","30","1","-20","100"
"1300003","0.2","","3","pkb_talk_joy1","","","30","113411","","1"
"1300004","","","21","vo_minigame_1006_top_talk_9_201","","","30","vo_minigame_1006","0","0"
"1300005","0","0","11","いっぱい応援するから\n今日も練習頑張ってね\n目指せ、全国大会～！","1","0","30","113411","0","8"
"1300006","","","93","","","","30","5","",""
"1300007","0.2","1","3","pkb_talk_handsup","","","30","113411","pkb_idle_normal","0"
"1300008","","","91","","","","30","1300005","",""
"1300009","0.2","","3","pkb_idle_normal","","","30","113411","","1"
"1300010","0.2","","3","pkb_talk_normal","","","30","1","","1"
"1300011","","","21","vo_minigame_1006_top_talk_9_702","","","30","vo_minigame_1006","0","0"
"1300012","0","0","11","ハツネちゃんの応援は\n俺たちの力に\nなってるよ\nいつもありがとう！","-1","0","30","1","0","8"
"1300013","","","93","","","","30","3.3","",""
"1300014","0.2","1","3","pkb_talk_guts","","","30","1","pkb_idle_guts","0"
"1300015","","","91","","","","30","1300012","",""
"1300016","0.2","","3","pkb_idle_normal","","","30","1","","1"
"1310001","55","-130","5","1","pkb_idle_normal","0","31","1","-20","100"
"1310002","1.6","-150","1","113411","pkb_idle_normal","1","31","1","170","100"
"1310003","0.2","1","3","pkb_talk_arm_crossed","","0.2","31","1","pkb_idle_arm_crossed","0"
"1310004","","","21","vo_minigame_1006_top_talk_10_701","","","31","vo_minigame_1006","0","0"
"1310005","0","0","11","キャプテンとして\nもっと上手くなって\nみんなを引っ張って\nいかないと！","-1.5","0","31","1","0","8"
"1310006","","","93","","","","31","3.6","",""
"1310007","0.2","1","3","pkb_talk_doya","","","31","1","pkb_idle_doya","0"
"1310008","","","91","","","","31","1310005","",""
"1310009","0.2","","3","pkb_idle_normal","","","31","1","","1"
"1310010","0.2","","3","pkb_talk_joy1","","","31","113411","","1"
"1310011","","","21","vo_minigame_1006_top_talk_10_202","","","31","vo_minigame_1006","0","0"
"1310012","0","0","11","おっ、アサヒくん！\n気合い入ってるね！\nその意気なのだ～！\n頑張れ頑張れ～☆","-0.5","0","31","113411","0","8"
"1310013","","","93","","","","31","3.6","",""
"1310014","0.2","0","3","pkb_talk_fun","","","31","113411","pkb_talk_fun","0"
"1310015","","","93","","","","31","3","",""
"1310016","0.2","","3","pkb_idle_normal","","","31","113411","","1"
"1310017","","","91","","","","31","1310012","",""
"1320001","55","-130","5","2","pkb_idle_normal","0","32","2","-20","100"
"1320002","1.6","-150","1","113411","pkb_idle_normal","1","32","1","170","100"
"1320003","0.2","1","3","pkb_talk_guts","","","32","2","pkb_idle_guts","0"
"1320004","","","21","vo_minigame_1006_top_talk_11_801","","","32","vo_minigame_1006","0","0"
"1320005","0","0","11","ハツネちゃん…\nホームラン打つって\n約束するから\nしっかり見ててくれよ","0","0","32","2","0","8"
"1320006","","","93","","","","32","5","",""
"1320007","0.2","1","3","pkb_talk_doya","","","32","2","pkb_idle_doya","0"
"1320008","","","91","","","","32","1320005","",""
"1320009","0.2","","3","pkb_idle_normal","","","32","2","","1"
"1320010","0.2","","3","pkb_talk_joy2","","","32","113411","","1"
"1320011","","","21","vo_minigame_1006_top_talk_11_202","","","32","vo_minigame_1006","0","0"
"1320012","0","0","11","うん、わかった！\n特大ホームランを\nよろしくねー！\n期待してるよ～！","0","0","32","113411","0","8"
"1320013","","","93","","","","32","4.6","",""
"1320014","0.2","1","3","pkb_hatsune_kiran","","0.2","32","113411","pkb_idle_normal","0"
"1320015","","","91","","","","32","1320012","",""
"1320016","0.2","","3","pkb_idle_normal","","","32","113411","","1"
"1330001","1.6","-150","1","102311","pkb_idle_normal","1","33","1","170","100"
"1330002","55","-130","5","2","pkb_idle_normal","0","33","2","-20","100"
"1330003","0.2","","3","pkb_talk_normal","","","33","102311","","1"
"1330004","","","21","vo_minigame_1006_top_talk_12_401","","","33","vo_minigame_1006","0","0"
"1330005","0","0","11","声出し練習やろうよ！\n「ぷうきち\nフルスイング」って\n大声で百回～！","-0.5","0","33","102311","0","8"
"1330006","","","93","","","","33","1.6","",""
"1330007","0.2","1","3","pkb_talk_yell","","0.2","33","102311","pkb_talk_joy1","0"
"1330008","","","91","","","","33","1330005","",""
"1330009","0.2","","3","pkb_idle_normal","","","33","102311","","1"
"1330010","","","21","vo_minigame_1006_top_talk_12_802","","","33","vo_minigame_1006","0","0"
"1330011","0","0","11","ぷ、ぷうきち\nフルスイーング！\n…これはこれで\nキツい練習だな","0","0","33","2","0","8"
