d0e3a413a3c73871445e2e1729de98053b5aa9f4fb50c9bb397da4c40d05d0dd,29dde2f8d2b867d3a8854ec8702306ef33d45a58cdf97d69afa795ac35048f37,4f5e76633363cadc9946897fb77c53f59aa3010015460762019bc38624e9b202,f1fa80b4d13451a229d065ecb54ad1ad8fc0a6cd76cce06e9f49af240b3ae55e,ade47d030c32b99f3bd19c738722a99066e85222d35af476a894c04e0544fe04,5c3fae414754d90f465be7366f37ba6f43a70f6c071cbbcd29c43ebf4a5b6c4a,182b61561090514f526e8622f75da41ad6b20f2cda0d00c47f4c3ba5d6f5ec89,264e9e95f7638a6804816690e06cb19fe53ae24ca564db80499b31c46e66f4b3,f0de87803736f084ea36683a23db01d908b5a8678c55eba50c3b428985647a48,04f0fd46facaf0267aac56fdda20c90d8cd2aae5e98fc9fb6e12fe302a782776,a6cc2855b7f42d36f9032d966a5cd0cb0e5e73c2a4d03f2aa3b6143a9af43901
"cgg_talk_nod","0","3","cgg_idle_nod","","0.2","102","1","0","102021","1"
"cgg_talk_joy3_blink","","3","","","0.2","102","106411","1","102022",""
"0","","93","","","","102","3.2","","102023",""
"cgg_idle_reaction5","","3","","","0.2","102","1","1","102024",""
"cgg_talk_normal","","3","","","0.2","102","106411","1","102025",""
"","","91","","","","102","102017","","102026",""
"0","","93","","","","102","0.5","","102027",""
"cgg_idle_def","","3","","","0.2","102","106411","1","102028",""
"cgg_idle_normal","","3","","","0.2","102","1","1","102029",""
"cgg_talk_joy3_blink","","3","","","0.2","102","105911","1","102030",""
"10","","12","","","0.2","102","105911","1.4","102031",""
"0","","93","","","","102","3","","102032",""
"cgg_idle_def","","3","","","0.2","102","105911","1","102033",""
"cgg_talk_joy1","","3","","","0.2","102","106411","1","102034",""
"11","","12","","","0.2","102","106411","1.4","102035",""
"0","","93","","","","102","3","","102036",""
"cgg_idle_def","","3","","","0.2","102","106411","1","102037",""
"cgg_idle_surprise3","","3","","","0.2","102","1","1","102038",""
"6","","12","","","0.2","102","1","1.4","102039",""
"0","","93","","","","102","3","","102040",""
"0","","101","","","","102","102029","","102041",""
"0.5","","22","","","","102","0","","102042",""
"1","0","6","1","","0.1","102","1","1","102043","0"
"1","0","6","1","","0.1","102","105911","1","102044","0"
"1","0","6","1","","0.1","102","106411","1","102045","0"
"0","","93","","","","102","0.1","","102046",""
"cgg_idle_normal","","3","","","0","102","1","1","102047",""
"cgg_idle_def","","3","","","0","102","105911","1","102048",""
"cgg_idle_def","","3","","","0","102","106411","1","102049",""
"1","0","5","-420","cgg_idle_normal","160","103","1","100","103001","-230"
"100211","1","1","375","cgg_idle_def","1.6","103","1","100","103002","-230"
"100111","1","1","490","cgg_idle_def","1.6","103","1","101","103003","-230"
"1","0","6","1","","0.1","103","1","1","103004","1"
"1","0","6","1","","0.1","103","100211","1","103005","1"
"1","0","6","1","","0.1","103","100111","1","103006","1"
"0","","93","","","","103","0.2","","103007",""
"vo_minigame_1007_top_talk_3_005","","21","0","","","103","vo_minigame_1007","0","103008",""
"次は何が出るのかな？\n楽しみだね、\nヒヨリちゃん","0","11","0","0","0","103","100211","6","103009","0"
"cgg_idle_surprise1","","3","","","0.2","103","1","1","103010",""
"cgg_talk_wish","","3","","","0.2","103","100211","1","103011",""
"0","","93","","","","103","2.4","","103012",""
"cgg_talk_joy3","","3","","","0.2","103","100211","1","103013",""
"","","91","","","","103","103009","","103014",""
"cgg_idle_def","","3","","","0.2","103","100211","1","103015",""
"vo_minigame_1007_top_talk_3_006","","21","0","","","103","vo_minigame_1007","0","103016",""
"そうだねユイちゃん！\nよーっし、どんどん\n回しまくるよー！\nぐるぐるぐるー♪","0","11","0","0","0","103","100111","5","103017","0"
"cgg_idle_reaction5","","3","","","0.2","103","1","1","103018",""
"cgg_talk_joy1","","3","","","0.2","103","100111","1","103019",""
"0","","93","","","","103","2.5","","103020",""
"cgg_talk_guts_NoBlink","0","3","cgg_idle_guts","","0.2","103","100111","0","103021","1"
"0","","93","","","","103","4","","103022",""
"cgg_joy","0.2","3","cgg_idle_reaction3","","0.2","103","1","0","103023","1"
"cgg_talk_joy2","","3","","","0.2","103","100111","1","103024",""
"","","91","","","","103","103017","","103025",""
"0","","93","","","","103","0.7","","103026",""
"cgg_idle_normal","","3","","","0.2","103","1","1","103027",""
"cgg_idle_def","","3","","","0.2","103","100111","1","103028",""
"cgg_idle_bitter3","","3","","","0.2","103","100211","1","103029",""
"1","","12","","","0.2","103","100211","1.4","103030",""
"0","","93","","","","103","3","","103031",""
"cgg_idle_def","","3","","","0.2","103","100211","1","103032",""
"cgg_talk_handsup","0.2","3","cgg_idle_reaction1","","0.2","103","1","0","103033","1"
"10","","12","","","0.2","103","1","1.4","103034",""
"0","","93","","","","103","3","","103035",""
"cgg_idle_normal","","3","","","0.2","103","1","1","103036",""
"cgg_idle_joy3","","3","","","0.2","103","100111","1","103037",""
"6","","12","","","0.2","103","100111","1.4","103038",""
"0","","93","","","","103","3","","103039",""
"0","","101","","","","103","103028","","103040",""
"0.5","","22","","","","103","0","","103041",""
"1","0","6","1","","0.1","103","1","1","103042","0"
"1","0","6","1","","0.1","103","100211","1","103043","0"
"1","0","6","1","","0.1","103","100111","1","103044","0"
"0","","93","","","","103","0.1","","103045",""
"cgg_idle_normal","","3","","","0","103","1","1","103046",""
"cgg_idle_def","","3","","","0","103","100211","1","103047",""
"cgg_idle_def","","3","","","0","103","100111","1","103048",""
"1","0","5","-420","cgg_idle_normal","160","104","1","100","104001","-230"
"100111","1","1","375","cgg_idle_def","1.6","104","1","100","104002","-230"
"100311","1","1","490","cgg_idle_def","1.6","104","1","101","104003","-230"
"1","0","6","1","","0.1","104","1","1","104004","1"
"1","0","6","1","","0.1","104","100111","1","104005","1"
"1","0","6","1","","0.1","104","100311","1","104006","1"
"0","","93","","","","104","0.2","","104007",""
"vo_minigame_1007_top_talk_4_007","","21","0","","","104","vo_minigame_1007","0","104008",""
"ねーねーレイさん、\nもっかい引いていい？","0","11","0","0","0","104","100111","5","104009","0"
"cgg_idle_reaction2","","3","","","0.2","104","1","1","104010",""
"cgg_talk_joy3_dere","","3","","","0.2","104","100111","1","104011",""
"0","","93","","","","104","2.7","","104012",""
"cgg_talk_guts2","0","3","cgg_idle_guts2","","0.2","104","1","0","104013","1"
"cgg_talk_normal_dere2","","3","","","0.2","104","100111","1","104014",""
"","","91","","","","104","104009","","104015",""
"vo_minigame_1007_top_talk_4_008","","21","0","","","104","vo_minigame_1007","0","104016",""
"ダメだよヒヨリ。\n次は私の番なんだから\n…ふふ、意外に夢中に\nなってしまうね","0","11","0","0","0","104","100311","5","104017","0"
"cgg_idle_reaction2","","3","","","0.2","104","1","1","104018",""
"cgg_No","0","3","cgg_idle_def","","0.2","104","100311","0","104019","1"
"0","","93","","","","104","0.8","","104020",""
"cgg_idle_surprise2","","3","","","0.2","104","100111","1","104021",""
"0","","93","","","","104","0.9","","104022",""
"cgg_surprise2","0","3","cgg_idle_surprise2","","0.2","104","1","0","104023","1"
"cgg_talk_arm_crossed2","0","3","cgg_idle_arm_crossed2","","0.2","104","100311","0","104024","1"
"0","","93","","","","104","2.5","","104025",""
"cgg_idle_bitter","","3","","","0.2","104","100311","1","104026",""
"0","","93","","","","104","2","","104027",""
"cgg_talk_nod","0","3","cgg_idle_nod","","0.2","104","1","0","104028","1"
"","","91","","","","104","104017","","104029",""
"0","","93","","","","104","0.5","","104030",""
"cgg_idle_def","","3","","","0.2","104","100311","1","104031",""
"cgg_idle_normal","","3","","","0.2","104","1","1","104032",""
"cgg_idle_anger","","3","","","0.2","104","100111","1","104033",""
"17","","12","","","0.2","104","100111","1.4","104034",""
"0","","93","","","","104","3","","104035",""
"cgg_idle_def","","3","","","0.2","104","100111","1","104036",""
"cgg_idle_bitter4","","3","","","0.2","104","100311","1","104037",""
"2","","12","","","0.2","104","100311","1.4","104038",""
"0","","93","","","","104","3","","104039",""
"cgg_idle_def","","3","","","0.2","104","100311","1","104040",""
"cgg_idle_surprise2","","3","","","0.2","104","1","1","104041",""
"1","","12","","","0.2","104","1","1.4","104042",""
"0","","93","","","","104","3","","104043",""
"0","","101","","","","104","104032","","104044",""
"0.5","","22","","","","104","0","","104045",""
"1","0","6","1","","0.1","104","1","1","104046","0"
"1","0","6","1","","0.1","104","100111","1","104047","0"
"1","0","6","1","","0.1","104","100311","1","104048","0"
"0","","93","","","","104","0.1","","104049",""
"cgg_idle_normal","","3","","","0","104","1","1","104050",""
"cgg_idle_def","","3","","","0","104","100111","1","104051",""
"cgg_idle_def","","3","","","0","104","100311","1","104052",""
"1","0","5","-420","cgg_idle_normal","160","105","1","100","105001","-230"
"100211","1","1","375","cgg_idle_def","1.6","105","1","100","105002","-230"
"105811","1","1","490","cgg_idle_def","1.6","105","1","101","105003","-230"
"1","0","6","1","","0.1","105","1","1","105004","1"
"1","0","6","1","","0.1","105","100211","1","105005","1"
"1","0","6","1","","0.1","105","105811","1","105006","1"
"0","","93","","","","105","0.2","","105007",""
"vo_minigame_1007_top_talk_5_009","","21","0","","","105","vo_minigame_1007","0","105008",""
"グッズは種類が\nいっぱいあるから\n全種類揃えるまで\n頑張ろうね！","0","11","0","0","0","105","100211","7","105009","0"
"cgg_idle_reaction1","","3","","","0.2","105","1","1","105010",""
"cgg_talk_normal","","3","","","0.2","105","100211","1","105011",""
"0","","93","","","","105","2.4","","105012",""
"cgg_talk_joy3","","3","","","0.2","105","100211","1","105013",""
"0","","93","","","","105","1.1","","105014",""
"cgg_talk_handsup","0.2","3","cgg_idle_reaction1","","0.2","105","1","0","105015","1"
"","","91","","","","105","105009","","105016",""
"cgg_idle_def","","3","","","0.2","105","100211","1","105017",""
"vo_minigame_1007_top_talk_5_010","","21","0","","","105","vo_minigame_1007","0","105018",""
"集めたグッズは\n棚に飾って、あとで\nじっくり鑑賞です♪\nやばいですね☆","0","11","0","0","0","105","105811","6","105019","0"
"cgg_talk_arm_crossed","0","3","cgg_idle_arm_crossed","","0.2","105","1","0","105020","0"
"cgg_talk_joy1","","3","","","0.2","105","105811","1","105021",""
"0","","93","","","","105","5","","105022",""
"cgg_talk_guts2","0","3","cgg_idle_guts2","","0.2","105","1","0","105023","1"
"cgg_jump_def_N","0.2","3","cgg_idle_def","","0.2","105","105811","0","105024","1"
"","","91","","","","105","105019","","105025",""
"0","","93","","","","105","0.5","","105026",""
"cgg_idle_normal","","3","","","0.2","105","1","1","105027",""
"cgg_talk_joy3","","3","","","0.2","105","100211","1","105028",""
"10","","12","","","0.2","105","100211","1.4","105029",""
"0","","93","","","","105","3","","105030",""
"cgg_idle_def","","3","","","0.2","105","100211","1","105031",""
"cgg_talk_guts_anger","0","3","cgg_idle_guts_anger","","0.2","105","105811","0","105032","1"
"4","","12","","","0.2","105","105811","1.4","105033",""
"0","","93","","","","105","3","","105034",""
"cgg_idle_def","","3","","","0.2","105","105811","1","105035",""
"cgg_talk_guts2","0","3","cgg_idle_guts2","","0.2","105","1","0","105036","1"
"7","","12","","","0.2","105","1","1.4","105037",""
"0","","93","","","","105","3","","105038",""
"0","","101","","","","105","105027","","105039",""
"0.5","","22","","","","105","0","","105040",""
"1","0","6","1","","0.1","105","1","1","105041","0"
"1","0","6","1","","0.1","105","100211","1","105042","0"
"1","0","6","1","","0.1","105","105811","1","105043","0"
"0","","93","","","","105","0.1","","105044",""
"cgg_idle_normal","","3","","","0","105","1","1","105045",""
"cgg_idle_def","","3","","","0","105","100211","1","105046",""
"cgg_idle_def","","3","","","0","105","105811","1","105047",""
"1","0","5","-420","cgg_idle_normal","160","106","1","100","106001","-230"
"110911","1","1","420","cgg_idle_def","1.6","106","1","100","106002","-230"
"1","0","6","1","","0.1","106","1","1","106003","1"
"1","0","6","1","","0.1","106","110911","1","106004","1"
"0","","93","","","","106","0.2","","106005",""
"vo_minigame_1007_top_talk_6_011","","21","0","","","106","vo_minigame_1007","0","106006",""
"え…うそでしょ先輩…\nカルミナグッズまだ\nフルコンしてないとか\nありえないんですけど","0","11","0","0","0","106","110911","6","106007","0"
"cgg_idle_reaction2","","3","","","0.2","106","1","1","106008",""
"cgg_shock","","3","","","0.2","106","110911","0","106009",""
"0","","93","","","","106","1","","106010",""
"cgg_idle_bitter2","","3","","","0.2","106","110911","1","106011",""
"0","","93","","","","106","4.2","","106012",""
"cgg_shock","0","3","cgg_idle_shock","","0.2","106","1","0","106013","1"
"","","91","","","","106","106007","","106014",""
"vo_minigame_1007_top_talk_6_012","","21","0","","","106","vo_minigame_1007","0","106015",""
"いい加減にして下さい\n呑気に一般美少女と\n話してる暇があったら\nほら、早く回す！","0","11","0","0","0","106","110911","6","106016","0"
"cgg_talk_tsun_pain","0","3","","","0.2","106","110911","1","106017","1"
"0","","93","","","","106","0.7","","106018",""
"cgg_surprise2","0","3","cgg_idle_surprise2","","0.2","106","1","0","106019","1"
"0","","93","","","","106","1.3","","106020",""
"cgg_talk_joy1_sad","0","3","","","0.2","106","110911","1","106021","1"
"0","","93","","","","106","3","","106022",""
"cgg_talk_guts_anger","","3","cgg_idle_guts_anger","","0.2","106","110911","0","106023","1"
"0","","93","","","","106","0.7","","106024",""
"cgg_talk_guts2","0","3","cgg_idle_guts2","","0.2","106","1","0","106025","1"
"","","91","","","","106","106016","","106026",""
"0","","93","","","","106","0.5","","106027",""
"cgg_idle_def","","3","","","0.2","106","110911","1","106028",""
"cgg_talk_doya","0","3","cgg_idle_doya","","0.2","106","1","0","106029","1"
"6","","12","","","0.2","106","1","1.4","106030",""
"0","","93","","","","106","3","","106031",""
"cgg_idle_normal","","3","","","0.2","106","1","1","106032",""
"cgg_talk_guts_anger","0","3","cgg_idle_guts_anger","","0.2","106","110911","0","106033","1"
"11","","12","","","0.2","106","110911","1.4","106034",""
"0","","93","","","","106","3","","106035",""
"cgg_idle_def","","3","","","0.2","106","110911","1","106036",""
"cgg_surprise1","0","3","cgg_idle_surprise1","","0.2","106","1","0","106037","1"
"4","","12","","","0.2","106","1","1.4","106038",""
"0","","93","","","","106","3","","106039",""
"cgg_idle_normal","","3","","","0.2","106","1","1","106040",""
"cgg_talk_joy3_blink","","3","","","0.2","106","110911","1","106041",""
"10","","12","","","0.2","106","110911","1.4","106042",""
"0","","93","","","","106","3","","106043",""
"0","","101","","","","106","106028","","106044",""
"0.5","","22","","","","106","0","","106045",""
"1","0","6","1","","0.1","106","1","1","106046","0"
"1","0","6","1","","0.1","106","110911","1","106047","0"
"0","","93","","","","106","0.1","","106048",""
"cgg_idle_normal","","3","","","0","106","1","1","106049",""
"cgg_idle_def","","3","","","0","106","110911","1","106050",""
"1","0","5","-420","cgg_idle_normal","160","201","1","100","201001","-230"
"100411","1","1","420","cgg_idle_def","1.6","201","1","100","201002","-230"
"1","0","6","1","","0.1","201","1","1","201003","1"
"1","0","6","1","","0.1","201","100411","1","201004","1"
"0","","93","","","","201","0.2","","201005",""
"vo_minigame_1007_top_talk_7_013","","21","0","","","201","vo_minigame_1007","0","201006",""
"ねぇねぇにいちゃん！\nグッズが半分くらい\n集まってるよ！\nあとちょっとだね！","0","11","0","0","0","201","100411","7","201007","0"
"cgg_idle_reaction2","","3","","","0.2","201","1","1","201008",""
"cgg_talk_joy1_normal","","3","","","0.2","201","100411","1","201009",""
"0","","93","","","","201","1.3","","201010",""
"cgg_talk_doya","0","3","cgg_idle_doya","","0.2","201","1","0","201011","1"
"cgg_talk_surprise_kira","","3","","","0.2","201","100411","1","201012",""
"0","","93","","","","201","2.7","","201013",""
"cgg_talk_handsup","0.2","3","cgg_idle_reaction1","","0.2","201","1","0","201014","1"
"cgg_talk_guts","0","3","cgg_idle_guts","","0.2","201","100411","0","201015","1"
"","","91","","","","201","201007","","201016",""
"0","","93","","","","201","0.5","","201017",""
"cgg_idle_def","","3","","","0.2","201","100411","1","201018",""
"cgg_idle_surprise3","","3","","","0.2","201","1","1","201019",""
"6","","12","","","0.2","201","1","1.4","201020",""
"0","","93","","","","201","3","","201021",""
"cgg_idle_normal","","3","","","0.2","201","1","1","201022",""
"cgg_talk_surprise_kira","","3","","","0.2","201","100411","1","201023",""
"7","","12","","","0.2","201","100411","1.4","201024",""
"0","","93","","","","201","3","","201025",""
"cgg_idle_def","","3","","","0.2","201","100411","1","201026",""
"cgg_talk_handsup","0","3","cgg_idle_reaction1","","0.2","201","1","0","201027","1"
"11","","12","","","0.2","201","1","1.4","201028",""
"0","","93","","","","201","3","","201029",""
"cgg_idle_normal","","3","","","0.2","201","1","1","201030",""
"cgg_talk_joy1","","3","","","0.2","201","100411","1","201031",""
"10","","12","","","0.2","201","100411","1.4","201032",""
"0","","93","","","","201","3","","201033",""
"0","","101","","","","201","201018","","201034",""
"0.5","","22","","","","201","0","","201035",""
"1","0","6","1","","0.1","201","1","1","201036","0"
"1","0","6","1","","0.1","201","100411","1","201037","0"
"0","","93","","","","201","0.1","","201038",""
"cgg_idle_normal","","3","","","0","201","1","1","201039",""
"cgg_idle_def","","3","","","0","201","100411","1","201040",""
"1","0","5","-420","cgg_idle_normal","160","202","1","100","202001","-230"
"102011","1","1","420","cgg_idle_def","1.6","202","1","100","202002","-230"
"1","0","6","1","","0.1","202","1","1","202003","1"
"1","0","6","1","","0.1","202","102011","1","202004","1"
"0","","93","","","","202","0.2","","202005",""
"vo_minigame_1007_top_talk_8_014","","21","0","","","202","vo_minigame_1007","0","202006",""
"すごいね～♪\n全部そろったところが\n見てみたいな～♪","0","11","0","0","0","202","102011","5","202007","0"
"cgg_idle_reaction1","","3","","","0.2","202","1","1","202008",""
"cgg_talk_joy3","","3","","","0.2","202","102011","1","202009",""
"0","","93","","","","202","2","","202010",""
"cgg_idle_nod","","3","","","0.2","202","1","1","202011",""
"cgg_talk_wish","","3","","","0.2","202","102011","1","202012",""
"","","91","","","","202","202007","","202013",""
"0","","93","","","","202","0.5","","202014",""
"cgg_idle_def","","3","","","0.2","202","102011","1","202015",""
"cgg_idle_reaction3","","3","","","0.2","202","1","1","202016",""
"6","","12","","","0.2","202","1","1.4","202017",""
"0","","93","","","","202","3","","202018",""
"cgg_idle_normal","","3","","","0.2","202","1","1","202019",""
"cgg_talk_joy1_normal","","3","","","0.2","202","102011","1","202020",""
"11","","12","","","0.2","202","102011","1.4","202021",""
"0","","93","","","","202","3","","202022",""
"cgg_idle_def","","3","","","0.2","202","102011","1","202023",""
"cgg_talk_guts2","0","3","cgg_idle_guts2","","0.2","202","1","0","202024","1"
"11","","12","","","0.2","202","1","1.4","202025",""
"0","","93","","","","202","3","","202026",""
"cgg_idle_normal","","3","","","0.2","202","1","1","202027",""
"cgg_talk_joy3","","3","","","0.2","202","102011","1","202028",""
"7","","12","","","0.2","202","102011","1.4","202029",""
"0","","93","","","","202","3","","202030",""
"0","","101","","","","202","202015","","202031",""
"0.5","","22","","","","202","0","","202032",""
"1","0","6","1","","0.1","202","1","1","202033","0"
"1","0","6","1","","0.1","202","102011","1","202034","0"
"0","","93","","","","202","0.1","","202035",""
"cgg_idle_normal","","3","","","0","202","1","1","202036",""
"cgg_idle_def","","3","","","0","202","102011","1","202037",""
"1","0","5","-420","cgg_idle_normal","160","203","1","100","203001","-230"
"103611","1","1","420","cgg_idle_def","1.6","203","1","100","203002","-230"
"1","0","6","1","","0.1","203","1","1","203003","1"
"1","0","6","1","","0.1","203","103611","1","203004","1"
"0","","93","","","","203","0.2","","203005",""
"vo_minigame_1007_top_talk_9_015","","21","0","","","203","vo_minigame_1007","0","203006",""
"あと少しですね\n全部揃えられたら\n褒めてあげます\n…頑張ってください","0","11","0","0","0","203","103611","6","203007","0"
"cgg_talk_arm_crossed","0","3","cgg_idle_arm_crossed","","0.2","203","1","0","203008","1"
"cgg_talk_normal","","3","","","0.2","203","103611","1","203009",""
"0","","93","","","","203","1.9","","203010",""
"cgg_idle_surprise1","","3","","","0.2","203","1","1","203011",""
"cgg_talk_joy3_blink","","3","","","0.2","203","103611","1","203012",""
"0","","93","","","","203","3.1","","203013",""
"cgg_talk_guts2","0","3","cgg_idle_guts2","","0.2","203","1","0","203014","1"
"cgg_talk_surprise_dere","","3","","","0.2","203","103611","1","203015",""
"","","91","","","","203","203007","","203016",""
"0","","93","","","","203","0.5","","203017",""
"cgg_idle_def","","3","","","0.2","203","103611","1","203018",""
"cgg_talk_nod","0","3","cgg_idle_nod","","0.2","203","1","0","203019","1"
"6","","12","","","0.2","203","1","1.4","203020",""
"0","","93","","","","203","3","","203021",""
"cgg_idle_normal","","3","","","0.2","203","1","1","203022",""
"cgg_talk_joy1","","3","","","0.2","203","103611","1","203023",""
"10","","12","","","0.2","203","103611","1.4","203024",""
"0","","93","","","","203","3","","203025",""
"cgg_idle_def","","3","","","0.2","203","103611","1","203026",""
"cgg_talk_guts1","0","3","cgg_idle_guts1","","0.2","203","1","0","203027","1"
"4","","12","","","0.2","203","1","1.4","203028",""
"0","","93","","","","203","3","","203029",""
"cgg_idle_normal","","3","","","0.2","203","1","1","203030",""
"cgg_talk_joy3_dere","","3","","","0.2","203","103611","1","203031",""
"7","","12","","","0.2","203","103611","1.4","203032",""
"0","","93","","","","203","3","","203033",""
"0","","101","","","","203","203018","","203034",""
"0.5","","22","","","","203","0","","203035",""
"1","0","6","1","","0.1","203","1","1","203036","0"
"1","0","6","1","","0.1","203","103611","1","203037","0"
"0","","93","","","","203","0.1","","203038",""
"cgg_idle_normal","","3","","","0","203","1","1","203039",""
"cgg_idle_def","","3","","","0","203","103611","1","203040",""
"1","0","5","-420","cgg_idle_normal","160","204","1","100","204001","-230"
"102811","1","1","420","cgg_idle_def","1.6","204","1","100","204002","-230"
"1","0","6","1","","0.1","204","1","1","204003","1"
"1","0","6","1","","0.1","204","102811","1","204004","1"
"0","","93","","","","204","0.2","","204005",""
"vo_minigame_1007_top_talk_10_016","","21","0","","","204","vo_minigame_1007","0","204006",""
"こんなに\nグッズ集めたの？\nやるわね…あたしも\n集めようかしら","0","11","0","0","0","204","102811","6","204007","0"
"cgg_talk_doya","0","3","cgg_idle_doya","","0.2","204","1","0","204008","1"
"cgg_surprise","0","3","cgg_talk_surprise1","","0.2","204","102811","0","204009","1"
"0","","93","","","","204","2.5","","204010",""
"cgg_idle_reaction5","","3","","","0.2","204","1","1","204011",""
"cgg_talk_bitter","","3","","","0.2","204","102811","1","204012",""
"","","91","","","","204","204007","","204013",""
"0","","93","","","","204","0.5","","204014",""
"cgg_idle_def","","3","","","0.2","204","102811","1","204015",""
"cgg_talk_doya","0","3","cgg_idle_doya","","0.2","204","1","0","204016","1"
"6","","12","","","0.2","204","1","1.4","204017",""
"0","","93","","","","204","3","","204018",""
"cgg_idle_normal","","3","","","0.2","204","1","1","204019",""
