b21f65d9d04ecdc2ab38b4d94022ffc5377c072ae9290d620365b3ebe371d132,a84a16f13888cf584fbc72bab12c68a484846fe948c8914f84c91f10186bca9b,2a3b3e563bfe9de354912160ad2231f774f01f6178d35d81926f65bf8cae9f10,89f4c61150ce09659eb5f7c545509dc7123980ace047736bbc12274571f7f5b5,004e42467e1b215884567e305346cabf86c0354bb02f144d14a81c1d25894a6b,aff969f003eeb8fa3290f96c73c985f6ac6bb6e9d84a3ce2578e72eba544a2c8,732e3017f9aca61cd7eb2c3fd2f7979196a1f9f6ba13dc4ff579f2f76cb8833d,eb0ce2ce9bb18ebb22169546730abbca9fc91767d044b26d0c40cf18b0094a77,e53857e3e61a1e09f54a15815def7e008f49f332042cfc5cc85b85d06f52e401,fa5d74a7b48f508fe8006dd91f5a84e5e9b890bfde20d71a7d33532bb1ec47ae,72c57667ebcc240410e810591d608bf753f5ca7fbde0ebbd8ca2d50e2375c2e7
"","1","32","guts2_idle_riri","","1","3","0.2","","","32050"
"","1","32","clear_hope_idle","","2","3","0.2","","","32051"
"cool_idle","0","32","cool_in","","3","3","0.2","0","1","32052"
"0","0","32","vo_asb_0327","","vo_asb","21","","","","32053"
"1","10","32","びしっ。","0","3","11","0","0","1","32054"
"0","0","32","","","0","91","","","","32055"
"cool_idle_doya","0","32","cool_idle_doya_in","","3","3","0.2","0.1","1","32056"
"","1","32","guts2_idle_joy_riri","","1","3","0.2","","","32057"
"","1","32","clear_hope_joy","","2","3","0.2","","","32058"
"0","0","32","vo_asb_0328","","vo_asb","21","","","","32059"
"1","10","32","わぁ～♪","0","1","11","-85","-22","1","32060"
"0","0","32","","","0","91","","","","32061"
"","","32","","","32063","101","","","","32062"
"1","1","32","1","","1","6","0.3","0","0","32063"
"1","1","32","1","","2","6","0.3","0","0","32064"
"1","1","32","1","","3","6","0.3","0","0","32065"
"1","1","32","1","","0","6","0.3","0","0","32066"
"0.3","-230","32","-130","","1","2","","","1","32067"
"0.3","-255","32","-290","","2","2","","","1","32068"
"0.3","-245","32","120","","3","2","","","1","32069"
"0.3","0","32","-100","","0","2","","","1","32070"
"","","32","0","","0","22","","","","32071"
"","","32","0","","0.4","93","","","","32072"
"30","52","42","1","clear_wish_talk_joy_noShy","2","5","2.2","0","-250","42001"
"1","1","42","1","","1","6","0","0","0","42002"
"50","29","42","0","black","0","5","1","0","0","42003"
"1","1","42","1","","0","6","0","0","0","42004"
"","","42","","","0","91","","","","42005"
"1","1","42","1","","1","6","0.2","0","1","42006"
"1","1","42","1","","0","6","0.2","0","1","42007"
"0.3","-250","42","-20","","1","2","","","2","42008"
"0.3","0","42","0","","0","2","","","2","42009"
"","","42","0","","0.6","93","","","","42010"
"0","0","42","vo_asb_0421","","vo_asb","21","","","","42011"
"1","10","42","リンさんによるマヒルさんのモノマネ、\nとっても上手でした。","0","1","11","0","0","1","42012"
"0","0","42","","","0","91","","","","42013"
"","1","42","clear_talk_normal","","1","3","0.1","","","42014"
"0","0","42","vo_asb_0422","","vo_asb","21","","","","42015"
"1","10","42","ギルドも長くなると、\n絆を深めたメンバー同士、\nああして互いのモノマネも、\n難なくできるようになるんですね……","0","1","11","0","0","1","42016"
"0","0","42","","","0","91","","","","42017"
"clear_kohon_loop","0","42","clear_kohon_in","","1","3","0.2","0","1","42018"
"0","0","42","vo_asb_0423","","vo_asb","21","","","","42019"
"1","10","42","…………\n……こほん。","0","1","11","0","0","1","42020"
"0","0","42","","","0","91","","","","42021"
"clear_speak2_talk","0","42","clear_imitation_in","","1","3","0.2","0","1","42022"
"0","0","42","vo_asb_0424","","vo_asb","21","","","","42023"
"1","10","42","に、兄様。兄様……？　\nお、おに、お兄……お兄。\n…………","0","1","11","0","0","1","42024"
"0","0","42","","","0","91","","","","42025"
"clear_surprise_talk_red","0","42","clear_surprise_in_red","","1","3","0.3","0","1","42026"
"0","0","42","vo_asb_0425","","vo_asb","21","","","","42027"
"1","10","42","……はっ！\nギルドメンバーのモノマネを\nしていただけなのに、\nわたしってば、どうして赤く……！","0","1","11","0","0","1","42028"
"0","0","42","","","0","91","","","","42029"
"","1","42","clear_wish_talk_pain_red","","1","3","0.2","","","42030"
"0","0","42","vo_asb_0426","","vo_asb","21","","","","42031"
"1","10","42","色んな意味で、まだまだです……っ！","0","1","11","0","0","1","42032"
"0","0","42","","","0","91","","","","42033"
"","","42","","","42035","101","","","","42034"
"1","1","42","1","","1","6","0.3","0","0","42035"
"1","1","42","1","","0","6","0.3","0","0","42036"
"0.3","-250","42","-120","","1","2","","","1","42037"
"0.3","0","42","-100","","0","2","","","1","42038"
"","","42","0","","0","22","","","","42039"
"","","42","0","","0.4","93","","","","42040"
"70","55","52","1","dance_riri","1","5","2.2","0","-243","52001"
"320","52","52","2","dance_clear","2","5","2.2","1","-245","52002"
"-90","58","52","3","dance_precia","3","5","2.2","0","-255","52003"
"1","1","52","1","","1","6","0","0","0","52004"
"1","1","52","1","","2","6","0","0","0","52005"
"1","1","52","1","","3","6","0","0","0","52006"
"50","29","52","0","black","0","5","1","0","0","52007"
"1","1","52","1","","0","6","0","0","0","52008"
"","","52","","","0","91","","","","52009"
"","0","52","dance_riri","","1","3","0.1","","","52010"
"idle","0","52","dance_clear","","2","3","0.1","0","1","52011"
"idle_precia","0","52","dance_precia","","3","3","0.1","0","1","52012"
"1","1","52","1","","1","6","0.2","0","1","52013"
"1","1","52","1","","2","6","0.2","0","1","52014"
"1","1","52","1","","3","6","0.2","0","1","52015"
"1","1","52","1","","0","6","0.2","0","1","52016"
"0.3","-243","52","-30","","1","2","","","2","52017"
"0.3","-245","52","220","","2","2","","","2","52018"
"0.3","-255","52","-190","","3","2","","","2","52019"
"0.3","0","52","0","","0","2","","","2","52020"
"","","52","0","","0.6","93","","","","52021"
"0","0","52","vo_asb_0521","","vo_asb","21","","","","52022"
"0","26","52","くいっく、くいっく、すろー。","0.15","3","11","0","0","0","52023"
"0","0","52","","","0","91","","","","52024"
"0","0","52","vo_asb_0522","","vo_asb","21","","","","52025"
"0","10","52","ターンエン、ターンエン、\nクイッククイックスロー！","0.75","1","11","0","0","0","52026"
"","","52","","","52010","91","","","","52027"
"","1","52","idle","","1","3","0.1","","","52028"
"","","52","0","","0.2","93","","","","52029"
"talk_joy","0","52","smile_riri","","1","3","0.1","0.2","1","52030"
"0","0","52","vo_asb_0523","","vo_asb","21","","","","52031"
"1","10","52","……ふふふ。この掛け声があると、\n不思議と３人の息が、\nぴったり合うのですよね。","0","1","11","0","0","1","52032"
"","","52","","","0","91","","","","52033"
"","1","52","riri_idle","","1","3","0.2","","","52034"
"","1","52","clear_talk2_noShy","","2","3","0.2","","","52035"
"0","0","52","vo_asb_0524","","vo_asb","21","","","","52036"
"1","10","52","はい。だからその後も、\nけっこう使ってますよね。\n重い物を持ち上げる時とか。\n３人で体操をする時とか。","0","2","11","0","0","1","52037"
"0","0","52","","","0","91","","","","52038"
"idle","0","52","talk2ToIdle","","2","3","0.2","0","1","52039"
"","1","52","riri_talk","","1","3","0.2","","","52040"
"0","0","52","vo_asb_0525","","vo_asb","21","","","","52041"
"1","10","52","他にも、戦闘訓練で息を合わせる際や、\nあとは夜道を歩く時の、魔物避けにも！","0","1","11","0","0","1","52042"
"0","0","52","","","0","91","","","","52043"
"","1","52","riri_idle_look","","1","3","0.2","","","52044"
"","1","52","idle_talkjoy2","","2","3","0.2","","","52045"
"","1","52","talk_precia","","3","3","0.3","","","52046"
"0","0","52","vo_asb_0526","","vo_asb","21","","","","52047"
"1","10","52","はんようせい。\nありすぎ。","0","3","11","0","0","1","52048"
"0","0","52","","","0","91","","","","52049"
"","","52","","","52051","101","","","","52050"
"1","1","52","1","","1","6","0.3","0","0","52051"
"1","1","52","1","","2","6","0.3","0","0","52052"
"1","1","52","1","","3","6","0.3","0","0","52053"
"1","1","52","1","","0","6","0.3","0","0","52054"
"0.3","-230","52","-130","","1","2","","","1","52055"
"0.3","-245","52","120","","2","2","","","1","52056"
"0.3","-255","52","-290","","3","2","","","1","52057"
"0.3","0","52","-100","","0","2","","","1","52058"
"","","52","0","","0","22","","","","52059"
"","","52","0","","0.4","93","","","","52060"
"30","52","62","1","talk_joy","1","5","2.2","0","-250","62001"
"1","1","62","1","","1","6","0","0","0","62002"
"50","29","62","0","black","0","5","1","0","0","62003"
"1","1","62","1","","0","6","0","0","0","62004"
"","","62","","","0","91","","","","62005"
"1","1","62","1","","1","6","0.2","0","1","62006"
"1","1","62","1","","0","6","0.2","0","1","62007"
"0.3","-250","62","-20","","1","2","","","2","62008"
"0.3","0","62","0","","0","2","","","2","62009"
"","","62","0","","0.6","93","","","","62010"
"0","0","62","vo_asb_0621","","vo_asb","21","","","","62011"
"1","10","62","ライブ後、【カルミナ】の皆様が\n来てくださったのです。","0","1","11","0","0","1","62012"
"0","0","62","","","0","91","","","","62013"
"","1","62","wish_talk_joyR_riri","","1","3","0.2","","","62014"
"0","0","62","vo_asb_0622","","vo_asb","21","","","","62015"
"1","10","62","「また絶対一緒に踊ろうね」って、\n手まで、重ねさせていただいて……","0","1","11","0","0","1","62016"
"0","0","62","","","0","91","","","","62017"
"","1","62","memoly_talk_joy","","1","3","0.3","","","62018"
"0","0","62","vo_asb_0623","","vo_asb","21","","","","62019"
"1","10","62","お三方のあまりの可憐さと華やかさに、\nわたくし、もう、\nクラクラしてしまって……","0","1","11","0","0","1","62020"
"0","0","62","","","0","91","","","","62021"
"","1","62","sad_talk2_dere","","1","3","0.2","","","62022"
"0","0","62","vo_asb_0624","","vo_asb","21","","","","62023"
"1","10","62","実は、重ねさせていただいたこの手、\nあれ以来まだ一度も洗っておりません。","0","1","11","0","0","1","62024"
"0","0","62","","","0","91","","","","62025"
"","1","62","wish_talk_nervous_riri","","1","3","0.3","","","62026"
"0","0","62","vo_asb_0625","","vo_asb","21","","","","62027"
"1","10","62","リアさんには、やや呆れた目で\n見られている気が、\nしないでもありませんが……\nせめて、あと半日は……！","0","1","11","0","0","1","62028"
"0","0","62","","","0","91","","","","62029"
"","","62","","","62031","101","","","","62030"
"1","1","62","1","","1","6","0.3","0","0","62031"
"1","1","62","1","","0","6","0.3","0","0","62032"
"0.3","-250","62","-120","","1","2","","","1","62033"
"0.3","0","62","-100","","0","2","","","1","62034"
"","","62","0","","0","22","","","","62035"
"","","62","0","","0.4","93","","","","62036"
"30","52","72","1","idle","2","5","2.2","0","-250","72001"
"1","1","72","1","","1","6","0","0","0","72002"
"50","29","72","0","black","0","5","1","0","0","72003"
"1","1","72","1","","0","6","0","0","0","72004"
"","","72","","","0","91","","","","72005"
"1","1","72","1","","1","6","0.2","0","1","72006"
"1","1","72","1","","0","6","0.2","0","1","72007"
"0.3","-250","72","-20","","1","2","","","2","72008"
"0.3","0","72","0","","0","2","","","2","72009"
"","","72","0","","0.6","93","","","","72010"
"","1","72","clear_talk_normal","","1","3","0.2","","","72011"
"0","0","72","vo_asb_0721","","vo_asb","21","","","","72012"
"1","10","72","アオイさんて、すごくシャイみたいで。\nだけど、言うじゃないですか。\n共通の話題がある相手とは、\n打ち解けやすい、って。","0","1","11","0","0","1","72013"
"0","0","72","","","0","91","","","","72014"
"","1","72","clear_kohon_talk_surprise","","1","3","0.2","","","72015"
"0","0","72","vo_asb_0722","","vo_asb","21","","","","72016"
"1","10","72","直感、あったんですよね。\nアオイさんほど詳しくはないですが、\nわたしも草花が好きなので。\nこの人とは仲良くなれそう、みたいな。","0","1","11","0","0","1","72017"
"0","0","72","","","0","91","","","","72018"
"","1","72","clear_talk2_noShy","","1","3","0.2","","","72019"
"0","0","72","vo_asb_0723","","vo_asb","21","","","","72020"
"1","10","72","だからわたし、\n勇気を出して言ってみたんです！\nお友だちになりませんか、って。","0","1","11","0","0","1","72021"
"0","0","72","","","0","91","","","","72022"
"clear_wish_talk_joy","0","72","talk2ToWish","","1","3","0.2","0","1","72023"
"0","0","72","vo_asb_0724","","vo_asb","21","","","","72024"
"1","10","72","そしたらアオイさん、\n顔を真っ赤にして、ブンブン！　って、\n首を縦に振ってくれて。\nやった！　って思ったんですよね。","0","1","11","0","0","1","72025"
"0","0","72","","","0","91","","","","72026"
"","1","72","clear_talk2_nervous","","1","3","0.2","","","72027"
"0","0","72","vo_asb_0725","","vo_asb","21","","","","72028"
"1","10","72","……でもその後、\n心の準備が欲しいって言われちゃって。\n心の準備、300年くらいかかるかも\nしれないんだそうです……","0","1","11","0","0","1","72029"
