7d595dce959322f919f161a7549b24a4eae1faeae8b9388f3e36a6f89cf4ac0b,49427108459fbf4e93c819a53165ab3bc04c401973b7b2427d8ecb26fbb8614e,dd44c94658f190641beee157bde784c63de59680f0df02eadc8395baea5f7abf,3178bc3b11a3b343a96a4399b86ca3989eb98186b555bb75dc1d99e86f95acbb,0af7c76b314f59ca81bad30ac53c0ccd9af90dd57f78d6ee09f5cbfa50040588,019d7c94a3b03b50eaf7785dee358bc0bba413d11a4a0a9ceae9320f1fc8ca21,a0e54f46c69559eeca6f90e3f5cdbf197fc871e67ec35b05280ac6dc87a13027,3db415316960dee0294373fe88a0cd6bf53c20ebd6102d4d8d9edc42d85f06b1,fb86e311690bd2d5e5dacf7c8fe022bbc8a8536af40069df1c719da149f50888,0f047937273b04194ced14f86897141d427b0653ea573aae67a7b03bbcc1ae48,23b4c39688bf55dd1e12431a9a6b8aefcf6fd122e1e03e7f6ddc2feb4213c25e,70b7a9d49016d32fea7386c3bc31c91a50127b4dc66b247dcfc5829f5176e946,957ac804f513b1bd6f85071f4ef18ff00a4c5dcc3d867e28bb780d5d4ab7a956,29bc1f1ed9c19cc6c1ca1860285b776a60f0edec9dc3d7a8a8ce5b53733136d0,0d133c51bfe7bf08396908391ec0fd4cbcfbfeb2996d8a89f18df01e4f0802f8,2b575133ccf7dcbd7c2e03432ef6c03acbc828b3e34455377f7341eb60ad46d6,10782acb9b87ed8ae38aff929ee5cb11e6e72549eaa86ed73bb24569f437b8be,fc92f38e5a5bebcf8c3d75228182fb74251a5739568a01b828e3835fe3260f82,c61f66a366bd309faf5d9548c61fceb360d06d5889392ef1799a2535a4a67759
"0.96","1","","2","10152","0","316","81","610152008","0","0","0","0","1","0","30","1.5","5","0"
"0.96","1","","3","10152","0","316","0","610152009","0","0","0","0","1","0","30","1.5","5","0"
"1.25","1","","1","10154","3","319","68","610154007","0","0","0","0","1","0","-33","5.5","5","0"
"1","1","","2","10154","3","319","0","610154008","600","0","0","610154502","2","0","-10","1.5","5","0"
"1.25","1","","3","10154","0","319","0","610154009","0","0","0","0","1","0","-33","1.5","5","0"
"0.85","1","","1","10156","3","322","0","610156007","600","0","0","610156501","2","0","5","5.5","5","0"
"1.11","1","","2","10156","3","322","75","610156008","600","0","0","0","1","0","-10","1.5","5","0"
"1.11","1","","3","10156","0","322","0","610156009","0","0","0","0","1","0","-10","1.5","5","0"
"1.5","1","","1","10158","3","325","0","610158007","600","0","0","610158501","2","0","-40","5.5","5","0"
"1.75","1","","2","10158","0","325","65","610158008","0","0","0","0","1","0","-33","1.5","5","0"
"1.75","1","","3","10158","0","325","0","610158009","0","0","0","0","1","0","-33","1.5","5","0"
"1.4","1","","1","10160","4.8","328","0","610160007","600","0","0","610160501","3","0","-35","5.5","5","20"
"1.4","1","","2","10160","0","328","70","610160008","0","0","0","0","1","0","-35","1.5","5","0"
"1.4","1","","3","10160","0","328","0","610160009","0","0","0","0","1","0","-35","1.5","5","0"
