c28a8ce708df704478eac8d14ad20662f5fe683ffcc8e191e500998418502e7a,951287e5d2891eee36a913837d76846fc60e806163c053d66a9499b70ed7f877,66fe8a2c74f214878f727b95b91a8bd005cf7adc5d390a8320334cb5fd3cd7e0,fc8c4bd1e64fa9bb88460c2724af28abb6393e679e43e0ade787e380b8a8beb0,f6b66fb8d6f035f8543595189c220d443d53de3559fbf5442f657f6632a0e690,48323c20db08b417b445c9be63ed75eaa9613c08c620d5b10ef1e1bece51edbe,7a15941161f6f09a5b4de6807cab37a4d984fde3ada41512c47b364eb398fd7f,ea7d012d6e2e8742d3adef25df5f8f654cc950441e30d7700e243e2387674a7d,fa7de80a99b902aaab2e04e5ccf1c54e313fdfd20739823c46eb9b2b0b816ec7,fda7514eb88cf2c1b35fce168a5f2b220b3fa0c977e01fec973934bb7b8dfd61,dfa3f3ac62412bd02dde01c56b323b057d86d11702d4e31506889dbf3caaaef1,17dccac0a117e9310dcf03cd8f766bf96197543bfb6ba4a499e0aceaf0f459e8,4a2359204b4a9b7775c017bc0e38dedcba8e0d97ecaa7f191d696f65faf121e1,3fa2e6ea05d914e068b6ff173ef37bd4f6d36eb24cd472f6c5b38ae1598253f8,be2f0939b8507450e543932157851929a23f5b82b2d9626e8b8f965568155c77,2f56d1cba4093016fa58b8fc7bf087c278f1745c691d9c5089d071b8139c83cf,2ed91732f05ac5edcc3d2aeb81a7c12b94db4beb063fc187e23b0d1a639e1570,f9c4de6569833b7d383d4a709466ccfed4673bc5160c66d18987097b702113e9,1a520a6aa03ef6817f4f4acec5e43fbd42a511399a5d30310a8d7880e6106561,833eefee234fccf20d02ac3d2268a48076870b6630751652a9f72f01a3a62d6c,b1e728d1ff09df40d2b0ca38e699c48ad916fe353d0793d22707938919b1d63e,06aa451efc15a1f38b16b27281e43bd7424d50717b2b26b899bbcb0e6b4b5d71
"-50","101042","5","0","1","450","0","-55","bgm_M55","101042","-30","210","0","5","1.8","1","1003","1.35","1.1","1","10030105","150"
"0","101161","1","10","1","-480","0","-120","bgm_M64","101161","-30","210","-30","1","0.8","1","1004","0.7","0.6","1","10040101","250"
"0","101161","2","10","1","-260","0","-120","bgm_M64","101161","-30","200","0","2","1.2","1","1004","1","0.75","1","10040102","0"
"-30","101161","3","0","1","-20","-15","55","bgm_M64","101161","-30","200","-10","3","1.4","1","1004","1","0.9","1","10040103","100"
"-30","101161","4","0","1","180","0","-30","bgm_M64","101161","-30","200","0","4","1.3","1","1004","1","0.9","1","10040104","0"
"-50","101162","5","0","1","470","-40","-60","bgm_M55","101162","-30","250","-30","5","1.2","1","1004","0.9","0.9","1","10040105","200"
"0","101161","1","10","1","-480","0","-120","bgm_M64","101171","-30","210","-30","1","0.8","1","1005","0.7","0.6","1","10050101","250"
"0","101161","2","10","1","-260","0","-120","bgm_M64","101171","-30","200","0","2","1.2","1","1005","1","0.75","1","10050102","0"
"-30","101161","3","0","1","-20","-15","45","bgm_M64","101171","-30","200","-10","3","1.4","1","1005","1","0.9","1","10050103","100"
"0","101161","4","0","1","190","0","-70","bgm_M64","101171","-30","200","0","4","1","1","1005","1","0.7","1","10050104","0"
"-30","101162","5","0","1","445","-40","-25","bgm_M55","101172","-30","240","0","5","1.3","1","1005","1","1","1","10050105","200"
"0","101161","1","10","1","-480","0","-120","bgm_M64","101191","-30","210","-30","1","0.8","1","1006","0.7","0.6","1","10060101","250"
"0","101161","2","10","1","-260","0","-100","bgm_M64","101191","-30","200","0","2","1.2","1","1006","1","0.75","1","10060102","0"
"0","101161","3","0","1","-10","-15","65","bgm_M64","101191","-30","200","-10","3","1.1","1","1006","1","0.8","1","10060103","100"
"0","101161","4","0","1","190","0","-110","bgm_M64","101191","-30","200","0","4","1.2","1","1006","1","0.8","1","10060104","0"
"-50","101162","5","-10","1","485","0","-70","bgm_M55","101192","-30","280","-45","5","1.15","1","1006","1","0.9","1","10060105","270"
"0","101161","1","10","1","-480","0","-120","bgm_M64","101201","-30","210","-30","1","0.8","1","1007","0.7","0.6","1","10070101","250"
"0","101161","2","10","1","-260","0","-120","bgm_M64","101201","-30","240","0","2","1.2","1","1007","1","0.9","1","10070102","120"
"0","101161","3","0","1","-10","-15","65","bgm_M64","101201","-30","200","-10","3","1.1","1","1007","1","0.8","1","10070103","100"
"0","101161","4","0","1","190","0","-110","bgm_M64","101201","-30","200","0","4","1.2","1","1007","1","0.9","1","10070104","100"
"-50","101162","5","10","1","475","-20","-30","bgm_M55","101202","-30","250","-45","5","1.45","1","1007","1","1","1","10070105","270"
"0","101161","1","10","1","-480","0","-120","bgm_M64","101291","-30","210","-30","1","0.8","1","1008","0.7","0.6","1","10080101","250"
"0","101161","2","10","1","-260","0","-120","bgm_M64","101291","-30","240","0","2","1.2","1","1008","1","0.9","1","10080102","120"
"0","101161","3","0","1","-40","-15","65","bgm_M64","101291","-30","200","-10","3","1.1","1","1008","1","0.8","1","10080103","100"
"0","101161","4","0","1","150","0","-110","bgm_M64","101291","-30","200","0","4","1.3","1","1008","1.3","0.9","1","10080104","100"
"15","101162","5","30","1","490","-20","-15","bgm_M55","101292","-30","230","30","5","1.45","1","1008","1.3","1.1","1","10080105","45"
"0","101161","1","10","1","-480","0","-120","bgm_M64","101301","-30","210","-30","1","0.8","1","1009","0.7","0.6","1","10090101","250"
"0","101161","2","10","1","-260","0","-120","bgm_M64","101301","-30","200","0","2","1.2","1","1009","1","0.75","1","10090102","120"
"0","101161","3","0","1","-50","-15","100","bgm_M64","101301","-30","200","-10","3","2.3","1","1009","2.2","1.55","1","10090103","100"
"15","101161","4","0","1","180","0","-100","bgm_M64","101301","-30","200","0","4","1.3","1","1009","1.3","1","1","10090104","100"
"-15","101162","5","10","1","470","-20","-55","bgm_M55","101302","-30","270","-30","5","1.2","1","1009","1.1","1","1","10090105","200"
"-25","101161","1","10","1","-450","0","-130","bgm_M64","101441","-30","210","-30","1","1","1","1010","0.9","0.575","1","10100101","170"
"0","101161","2","10","1","-250","0","-120","bgm_M64","101441","-30","200","0","2","1.2","1","1010","1","0.75","1","10100102","120"
"0","101161","3","0","1","-10","-15","50","bgm_M64","101441","-30","200","-10","3","1.1","1","1010","1","0.8","1","10100103","100"
"-30","101161","4","0","1","180","0","-100","bgm_M64","101441","-30","200","0","4","1.3","1","1010","1","0.9","1","10100104","0"
"-35","101162","5","10","1","470","-20","-70","bgm_M55","101442","-30","270","-30","5","1.2","1","1010","1.1","0.95","1","10100105","200"
"-25","101451","1","10","1","-450","0","-130","bgm_M64","101451","-30","210","-30","1","1","1","1011","0.9","0.575","1","10110101","170"
"0","101451","2","10","1","-250","0","-120","bgm_M64","101451","-30","200","0","2","1.2","1","1011","1","0.75","1","10110102","120"
"-30","101451","3","0","1","-20","-15","50","bgm_M64","101451","-30","200","-10","3","1.4","1","1011","1","0.9","1","10110103","100"
"20","101451","4","0","1","200","0","-100","bgm_M64","101451","-30","220","0","4","0.9","1","1011","0.8","0.65","1","10110104","100"
"-35","101452","5","0","1","510","0","-70","bgm_M55","101452","-30","290","-50","5","1.55","1","1011","1.4","1.25","1","10110105","200"
"-25","101451","1","10","1","-450","0","-130","bgm_M64","101561","-30","210","-30","1","1","1","1012","0.9","0.575","1","10120101","170"
"0","101451","2","0","1","-240","0","-120","bgm_M64","101561","-30","240","0","2","1.2","1","1012","1","0.9","1","10120102","120"
"0","101451","3","5","1","-30","-5","60","bgm_M64","101561","-30","200","-10","3","0.9","1","1012","0.8","0.6","1","10120103","100"
"-30","101451","4","0","1","180","0","-100","bgm_M64","101561","-30","200","0","4","1.5","1","1012","1.2","0.9","1","10120104","100"
"-60","101452","5","0","1","460","0","-70","bgm_M55","101562","-30","290","-50","5","1.55","1","1012","1.35","1.25","1","10120105","400"
"0","101001","1","10","1","-480","0","-120","bgm_M64","101001","-30","210","-30","1","0.8","1","1013","0.7","0.6","1","10130101","250"
"0","101001","2","10","1","-260","0","-120","bgm_M64","101001","-30","200","0","2","1.2","1","1013","1","0.75","1","10130102","0"
"0","101001","3","0","1","-40","-13","0","bgm_M64","101001","-30","200","-10","3","1.1","1","1013","1","0.7","1","10130103","100"
"0","101001","4","0","1","240","0","-50","bgm_M64","101001","-30","200","0","4","1.2","1","1013","1","0.7","1","10130104","0"
"0","101011","5","0","1","480","0","-40","bgm_M55","101011","-30","250","0","5","1.3","1","1013","1","1.2","1","10130105","200"
"-25","101041","1","10","1","-450","0","-130","bgm_M64","101041","-30","210","-30","1","1","1","1014","0.9","0.575","1","10140101","170"
"0","101041","2","10","1","-250","0","-120","bgm_M64","101041","-30","200","0","2","1.2","1","1014","1","0.75","1","10140102","120"
"0","101041","3","0","1","-50","-15","100","bgm_M64","101041","-30","200","-10","3","2.3","1","1014","2.2","1.55","1","10140103","100"
"0","101041","4","0","1","190","0","-70","bgm_M64","101041","-30","200","0","4","1","1","1014","1","0.7","1","10140104","0"
"0","101042","5","0","1","440","0","0","bgm_M55","101042","-30","250","0","5","1.8","1","1014","1.6","1.4","1","10140105","200"
"0","101161","1","10","1","-470","0","-125","bgm_M64","101041","-30","210","-30","1","0.8","1","1015","0.7","0.6","1","10150101","250"
"0","101161","2","10","1","-210","0","-95","bgm_M64","101041","-30","200","0","2","1.2","1","1015","1","0.75","1","10150102","120"
"-30","101161","3","0","1","50","-15","-120","bgm_M64","101041","-30","200","-10","3","1.4","1","1015","1","0.9","1","10150103","100"
"43","101162","4","0","1","195","0","35","bgm_M64","101041","-30","200","0","4","1","1","1015","1","0.7","1","10150104","150"
"-50","101161","5","0","1","450","0","-55","bgm_M55","101042","-30","210","0","5","1.8","1","1015","1.35","1.1","1","10150105","150"
"0","101451","1","10","1","-480","0","-120","bgm_M64","101161","-30","210","0","1","0.8","1","1016","0.85","0.6","1","10160101","250"
"0","101451","2","10","1","-260","0","-100","bgm_M64","101161","-30","200","0","2","1.2","1","1016","1.1","0.75","1","10160102","0"
"0","101451","3","0","1","-10","-15","65","bgm_M64","101161","-30","200","-10","3","1.1","1","1016","1","0.8","1","10160103","100"
"0","101451","4","0","1","190","0","-110","bgm_M64","101161","-30","200","0","4","1","1","1016","0.85","0.8","1","10160104","0"
"-50","101452","5","-10","1","485","0","-70","bgm_M55","101162","-30","280","-45","5","1.15","1","1016","1","0.9","1","10160105","270"
"0","101171","1","10","1","-480","0","-120","bgm_M64","101171","-30","210","-30","1","0.8","1","1017","0.7","0.6","1","10170101","250"
"0","101171","2","10","1","-260","0","-120","bgm_M64","101171","-30","240","0","2","1","1","1017","0.7","0.6","1","10170102","0"
"-30","101171","3","0","1","-10","-15","65","bgm_M64","101171","-30","200","-10","3","1.4","1","1017","1","0.9","1","10170103","0"
"-30","101171","4","0","1","190","0","-110","bgm_M64","101171","-30","200","0","4","1.3","1","1017","1","0.9","1","10170104","100"
"-50","101172","5","10","1","475","-20","-30","bgm_M55","101172","-30","250","0","5","1.45","1","1017","1","1","1","10170105","270"
"0","101171","1","10","1","-480","0","-120","bgm_M64","101191","-30","210","-30","1","0.8","1","1018","0.7","0.6","1","10180101","100"
"0","101171","2","10","1","-260","0","-100","bgm_M64","101191","-30","200","0","2","1.2","1","1018","1","0.75","1","10180102","100"
"0","101171","3","5","1","-10","-5","65","bgm_M64","101191","-30","200","-10","3","0.9","1","1018","0.8","0.6","1","10180103","100"
"0","101171","4","0","1","190","-30","-110","bgm_M64","101191","-30","200","0","4","1.2","1","1018","1","0.9","1","10180104","100"
"-50","101172","5","-10","1","485","0","-70","bgm_M55","101192","-30","280","-45","5","1.3","1","1018","1","1.1","1","10180105","100"
"0","101161","1","10","1","-480","0","-120","bgm_M64","101201","-30","210","0","1","0.8","1","1019","0.85","0.6","1","10190101","100"
"0","101161","2","10","1","-260","0","-120","bgm_M64","101201","-30","240","0","2","1.2","1","1019","1.1","0.75","1","10190102","100"
"0","101161","3","0","1","-10","-15","65","bgm_M64","101201","-30","200","-10","3","1.1","1","1019","1","0.8","1","10190103","100"
"43","101161","4","0","1","190","0","-110","bgm_M64","101201","-30","200","0","4","1","1","1019","1","0.7","1","10190104","100"
"-50","101162","5","10","1","475","-20","-30","bgm_M55","101202","-30","250","-45","5","1.45","1","1019","1","1","1","10190105","100"
"0","101161","1","10","1","-480","0","-120","bgm_M64","101291","-30","210","0","1","0.8","1","1020","0.85","0.6","1","10200101","100"
"0","101161","2","10","1","-260","0","-120","bgm_M64","101291","-30","240","0","2","1.2","1","1020","1.1","0.75","1","10200102","100"
"0","101161","3","0","1","-40","-15","65","bgm_M64","101291","-30","200","-10","3","1.1","1","1020","1","0.8","1","10200103","100"
"-30","101161","4","0","1","150","0","-110","bgm_M64","101291","-30","200","0","4","1.5","1","1020","1","0.8","1","10200104","100"
"15","101162","5","30","1","490","-20","-15","bgm_M55","101292","-30","230","30","5","1.45","1","1020","1","1.1","1","10200105","100"
"0","101161","1","10","1","-480","0","-120","bgm_M64","101301","-30","210","-30","1","0.8","1","1021","0.7","0.58","1","10210101","100"
"0","101161","2","10","1","-260","0","-120","bgm_M64","101301","-30","200","0","2","1.2","1","1021","1","0.9","1","10210102","100"
"-30","101161","3","-10","1","-50","0","100","bgm_M64","101301","-30","200","-10","3","1.4","1","1021","1","0.93","1","10210103","100"
"15","101161","4","0","1","180","0","-100","bgm_M64","101301","-30","200","0","4","1.3","1","1021","1.3","0.9","1","10210104","100"
"-15","101162","5","10","1","470","-20","-55","bgm_M55","101302","-30","270","-30","5","1.2","1","1021","1.1","1","1","10210105","100"
"0","101161","1","10","1","-450","0","-130","bgm_M64","101441","-30","210","0","1","0.8","1","1022","0.85","0.575","1","10220101","100"
"0","101161","2","10","1","-250","0","-120","bgm_M64","101441","-30","200","0","2","1.2","1","1022","1.1","0.75","1","10220102","100"
"0","101161","3","0","1","-10","-15","50","bgm_M64","101441","-30","200","-10","3","1.2","1","1022","1.1","0.8","1","10220103","100"
"15","101161","4","0","1","180","0","-100","bgm_M64","101441","-30","200","0","4","1.3","1","1022","1.3","0.9","1","10220104","100"
"-35","101162","5","10","1","470","-20","-70","bgm_M55","101442","-30","230","-30","5","1.2","1","1022","1.1","0.95","1","10220105","100"
"0","101451","1","10","1","-450","0","-130","bgm_M64","101451","-30","210","-30","1","0.8","1","1023","0.7","0.58","1","10230101","100"
"0","101451","2","10","1","-250","0","-120","bgm_M64","101451","-30","200","0","2","1.2","1","1023","1","0.9","1","10230102","100"
"-30","101451","3","0","1","-20","-15","50","bgm_M64","101451","-30","200","-10","3","1.4","1","1023","1","0.9","1","10230103","100"
"0","101451","4","0","1","200","0","-100","bgm_M64","101451","-30","200","0","4","1","1","1023","0.85","0.8","1","10230104","100"
"-35","101452","5","0","1","510","0","-70","bgm_M55","101452","-30","290","-50","5","1.55","1","1023","1.4","1.25","1","10230105","100"
"0","101451","1","10","1","-450","0","-130","bgm_M64","101561","-30","210","-30","1","0.8","1","1024","0.7","0.58","1","10240101","100"
"0","101451","2","0","1","-240","0","-120","bgm_M64","101561","-30","240","0","2","1.2","1","1024","1.1","0.75","1","10240102","100"
"0","101451","3","5","1","-30","-5","60","bgm_M64","101561","-30","200","-10","3","1.1","1","1024","1","0.65","1","10240103","100"
"0","101451","4","0","1","180","0","-100","bgm_M64","101561","-30","200","0","4","1.2","1","1024","1","0.7","1","10240104","100"
"-60","101452","5","0","1","460","0","-70","bgm_M55","101562","-30","290","-50","5","1.55","1","1024","1.35","1.25","1","10240105","400"
"0","101451","1","10","1","-480","0","-120","bgm_M64","101001","-30","210","-30","1","0.8","1","1025","0.7","0.58","1","10250101","100"
"0","101451","2","10","1","-260","0","-120","bgm_M64","101001","-30","200","0","2","1.2","1","1025","1.1","0.75","1","10250102","100"
"0","101451","3","0","1","-40","-13","0","bgm_M64","101001","-30","200","-10","3","0.9","1","1025","0.8","0.6","1","10250103","100"
"-30","101451","4","0","1","240","0","-50","bgm_M64","101001","-30","200","0","4","1.5","1","1025","1","0.8","1","10250104","100"
"0","101452","5","0","1","480","0","-40","bgm_M55","101011","-30","250","0","5","1.3","1","1025","1","1.2","1","10250105","100"
"-25","101021","1","10","1","-450","0","-130","bgm_M64","101021","-30","210","-30","1","1","1","1026","0.9","0.575","1","10260101","170"
"0","101021","2","10","1","-250","0","-120","bgm_M64","101021","-30","200","0","2","1.2","1","1026","1","0.75","1","10260102","120"
"0","101021","3","0","1","-50","-15","100","bgm_M64","101021","-30","200","-10","3","2.3","1","1026","2.2","1.55","1","10260103","100"
"43","101021","4","0","1","190","0","-70","bgm_M64","101021","-30","200","0","4","1","1","1026","1","0.7","1","10260104","150"
"0","101031","5","0","1","440","0","0","bgm_M55","101031","-30","220","0","5","1.8","1","1026","1.6","1.4","1","10260105","200"
"0","101161","1","10","1","-470","0","-125","bgm_M64","101041","-30","210","-30","1","0.8","1","1027","0.7","0.6","1","10270101","250"
"0","101161","2","10","1","-210","0","-95","bgm_M64","101041","-30","200","0","2","1.2","1","1027","1","0.75","1","10270102","120"
"-10","101161","3","10","1","50","-15","-120","bgm_M64","101041","-30","200","-10","3","1.2","1","1027","1","0.75","1","10270103","100"
"20","101162","4","0","1","195","0","35","bgm_M64","101041","-30","200","0","4","1.1","1","1027","1","0.7","1","10270104","100"
"-50","101161","5","0","1.3","450","0","-55","bgm_M55","101042","-30","210","0","5","1.8","1","1027","1.35","1.1","1","10270105","150"
"0","101161","1","10","1","-480","0","-120","bgm_M64","101161","-30","210","0","1","0.8","1","1028","0.85","0.6","1","10280101","250"
"0","101161","2","10","1","-260","0","-100","bgm_M64","101161","-30","200","0","2","1.2","1","1028","1.1","0.75","1","10280102","0"
"0","101161","3","5","1","-10","-5","65","bgm_M64","101161","-30","200","-10","3","1.1","1","1028","1","0.65","1","10280103","100"
"0","101161","4","0","1","190","0","-110","bgm_M64","101161","-30","200","0","4","1.35","1","1028","1.3","0.9","1","10280104","100"
"-50","101162","5","-10","1.3","485","-40","-70","bgm_M55","101162","-30","280","-45","5","1.15","1","1028","1","0.9","1","10280105","270"
"0","101171","1","10","1","-480","0","-120","bgm_M64","101171","-30","210","-30","1","0.8","1","1029","0.7","0.6","1","10290101","250"
"0","101171","2","10","1","-260","0","-120","bgm_M64","101171","-30","240","0","2","1","1","1029","0.7","0.6","1","10290102","0"
"-30","101171","3","0","1","-10","-15","65","bgm_M64","101171","-30","200","-10","3","1.4","1","1029","1","0.9","1","10290103","0"
"-30","101171","4","0","1","190","0","-110","bgm_M64","101171","-30","200","0","4","1.3","1","1029","1","0.9","1","10290104","100"
"-50","101172","5","10","1","475","-20","-30","bgm_M55","101172","-30","250","0","5","1.45","1","1029","1","1","1","10290105","270"
"0","101171","1","10","1","-480","0","-120","bgm_M64","101191","-30","210","-30","1","0.8","1","1030","0.7","0.6","1","10300101","100"
"0","101171","2","10","1","-260","0","-100","bgm_M64","101191","-30","200","0","2","1.2","1","1030","1","0.8","1","10300102","100"
"0","101171","3","5","1","-10","-5","65","bgm_M64","101191","-30","200","-10","3","0.9","1","1030","0.8","0.6","1","10300103","100"
"0","101171","4","0","1","190","0","-110","bgm_M64","101191","-30","200","0","4","1.2","1","1030","1","0.9","1","10300104","100"
"-50","101172","5","-10","1","485","0","-70","bgm_M55","101192","-30","280","-45","5","1.3","1.2","1030","1","1.1","1","10300105","200"
"0","101161","1","10","1","-480","0","-120","bgm_M64","101201","-30","210","0","1","0.8","1","1031","0.85","0.6","1","10310101","100"
"0","101161","2","10","1","-260","0","-120","bgm_M64","101201","-30","240","0","2","1.2","1","1031","1.1","0.75","1","10310102","100"
"0","101161","3","0","1","-10","-15","65","bgm_M64","101201","-30","200","-10","3","1.1","1","1031","1","0.8","1","10310103","100"
"43","101161","4","0","1","190","0","-110","bgm_M64","101201","-30","200","0","4","1","1","1031","1","0.7","1","10310104","100"
"-50","101162","5","10","1","475","-20","-30","bgm_M55","101202","-30","250","-45","5","1.45","1","1031","1","1","1","10310105","100"
"0","101291","1","10","1","-480","0","-120","bgm_M64","101291","-30","210","0","1","0.8","1","1032","0.85","0.6","1","10320101","100"
"0","101291","2","10","1","-260","0","-120","bgm_M64","101291","-30","240","0","2","1.2","1","1032","1.1","0.75","1","10320102","100"
"0","101291","3","0","1","-40","-15","65","bgm_M64","101291","-30","200","-10","3","1.3","1","1032","1","0.9","1","10320103","100"
"-30","101291","4","0","1","150","0","-110","bgm_M64","101291","-30","200","0","4","1.3","1","1032","1","0.8","1","10320104","100"
"15","101292","5","30","1","490","-20","-15","bgm_M55","101292","-30","230","30","5","1.45","1","1032","1","1.1","1","10320105","100"
"0","101301","1","10","1","-480","0","-120","bgm_M64","101301","-30","210","-30","1","0.8","1","1033","0.7","0.58","1","10330101","100"
"0","101301","2","10","1","-260","0","-120","bgm_M64","101301","-30","200","0","2","1.2","1","1033","1","0.9","1","10330102","100"
"-30","101301","3","-10","1","-50","0","100","bgm_M64","101301","-30","200","-10","3","1.4","1","1033","1","0.93","1","10330103","200"
"15","101301","4","0","1","100","0","-100","bgm_M64","101301","-30","200","0","4","1.3","1","1033","1","0.9","1","10330104","100"
"-15","101302","5","10","1","470","-20","-55","bgm_M55","101302","-30","270","-30","5","1.2","1","1033","1.1","1","1","10330105","100"
"0","101161","1","10","1","-450","0","-130","bgm_M64","101441","-30","210","0","1","0.8","1","1034","0.85","0.575","1","10340101","100"
"0","101161","2","10","1","-250","0","-120","bgm_M64","101441","-30","200","0","2","1","1","1034","0.7","0.75","1","10340102","200"
"0","101161","3","0","1","-10","-15","50","bgm_M64","101441","-30","200","-10","3","1.2","1","1034","1.1","0.8","1","10340103","100"
"43","101161","4","0","1","180","0","-100","bgm_M64","101441","-30","200","0","4","1","1","1034","1","0.9","1","10340104","150"
"-35","101162","5","10","1","470","-20","-70","bgm_M55","101442","-30","230","-30","5","1.2","1","1034","1.1","0.95","1","10340105","100"
"0","101451","1","10","1","-450","0","-130","bgm_M64","101451","-30","210","-30","1","0.8","1","1035","0.7","0.58","1","10350101","100"
"0","101451","2","10","1","-250","0","-120","bgm_M64","101451","-30","200","0","2","1.2","1","1035","1","0.9","1","10350102","100"
"-30","101451","3","0","1","-20","-15","50","bgm_M64","101451","-30","200","-10","3","1.4","1","1035","1","0.9","1","10350103","100"
"0","101451","4","0","1","200","0","-100","bgm_M64","101451","-30","200","0","4","1","1","1035","0.85","0.8","1","10350104","100"
"-35","101452","5","0","1","510","0","-70","bgm_M55","101452","-30","290","-50","5","1.55","1.2","1035","1.4","1.25","1","10350105","100"
"0","101451","1","10","1","-450","0","-130","bgm_M64","101561","-30","210","-30","1","0.8","1","1036","0.7","0.58","1","10360101","100"
"0","101451","2","0","1","-240","0","-120","bgm_M64","101561","-30","240","0","2","1.2","1","1036","1.1","0.75","1","10360102","100"
"0","101451","3","5","1","-30","-5","60","bgm_M64","101561","-30","200","-10","3","1.1","1","1036","1","0.65","1","10360103","100"
"0","101451","4","0","1","180","0","-100","bgm_M64","101561","-30","200","0","4","1.2","1","1036","1","1.1","1","10360104","100"
"-60","101452","5","0","1","460","0","-70","bgm_M55","101562","-30","290","-50","5","1.55","1.4","1036","1.35","1.25","1","10360105","400"
"0","101451","1","10","1","-480","0","-120","bgm_M64","101001","-30","210","-30","1","0.8","1","1037","0.7","0.58","1","10370101","100"
"0","101451","2","10","1","-260","0","-120","bgm_M64","101001","-30","200","0","2","1.2","1","1037","1.1","0.75","1","10370102","100"
"-50","101451","3","0","1","-40","-13","0","bgm_M64","101001","-30","200","-60","3","0.9","1.4","1037","0.55","0.6","1","10370103","150"
"-30","101451","4","0","1","240","0","-50","bgm_M64","101001","-30","200","0","4","1.3","1","1037","1","0.8","1","10370104","100"
"0","101452","5","0","1","480","0","-40","bgm_M55","101011","-30","250","0","5","1.3","1.2","1037","1","1.2","1","10370105","100"
"-25","101021","1","10","1","-450","0","-110","bgm_M64","101021","-30","210","-30","1","1","1","1038","0.9","0.575","1","10380101","170"
"0","101021","2","10","1","-250","0","-120","bgm_M64","101021","-30","200","0","2","1.2","1","1038","1","0.75","1","10380102","120"
"0","101021","3","0","1","-50","-15","100","bgm_M64","101021","-30","200","-10","3","1.2","1","1038","1.1","0.8","1","10380103","100"
