58bcdaffd907e493d990cc4edb0099d0cb890ce4eee4f26b3b14845a6f9d29cb,8d754c57e1329fd486e82893154efe249ddad2d7480028982ee9d8f2955835e4,72aa1717d2fe44582818fc8e7e4f39b0df7f563bd725cd3984ba1a6b930ecae0,be5bdf010a1ad19db3536a42e6e890666cec761099b46b31e6f5234597f57aa4,1bb37cbe82e73d60fe14b04a494f09d61879355b365b9a0e140b96bed6688bb7
"145","10010","7000","40","105"
"5","10010","3000","10","106"
"300","10011","7000","40","107"
"5","10011","3000","10","108"
"200","10012","7000","65","109"
"200","10012","3000","10","110"
"150","10013","7000","40","111"
"5","10013","3000","10","112"
"100","10014","7000","40","113"
"5","10014","3000","10","114"
"200","10015","7000","50","115"
"5","10015","3000","10","116"
"250","10016","7000","60","117"
"200","10016","3000","30","118"
"120","10017","7000","45","119"
"300","10017","3000","90","120"
"120","10018","7000","90","121"
"200","10018","3000","30","122"
"190","10019","7000","50","123"
"350","10019","3000","60","124"
"95","10020","7000","90","125"
"95","10020","3000","90","126"
"200","10021","7000","60","127"
"200","10021","3000","60","128"
"200","10022","7000","60","129"
"200","10022","3000","60","130"
"200","10023","7000","60","131"
"200","10023","3000","60","132"
"130","11001","7000","30","133"
"5","11001","3000","5","134"
"140","11002","7000","30","135"
"5","11002","3000","5","136"
"150","11003","7000","40","137"
"5","11003","3000","5","138"
"155","11004","7000","45","139"
"200","11004","3000","5","140"
"155","11005","7000","60","141"
"200","11005","3000","10","142"
"150","11006","7000","60","143"
"200","11006","3000","15","144"
"150","11007","7000","60","145"
"200","11007","3000","15","146"
"160","11008","7000","50","147"
"200","11008","3000","15","148"
"140","11009","7000","70","149"
"200","11009","3000","30","150"
"180","11010","7000","35","151"
"200","11010","3000","120","152"
"140","11011","7000","65","153"
"200","11011","3000","30","154"
"200","11012","7000","35","155"
"5","11012","3000","5","156"
"150","11013","7000","70","157"
"200","11013","3000","15","158"
"150","11014","7000","60","159"
"200","11014","3000","15","160"
"150","11015","7000","60","161"
"200","11015","3000","15","162"
"150","11016","7000","60","163"
"200","11016","3000","15","164"
"150","11017","7000","60","165"
"200","11017","3000","15","166"
"120","11018","7000","50","167"
"200","11018","3000","60","168"
"102","11019","7000","67","169"
"200","11019","3000","60","170"
"120","11020","7000","35","171"
"250","11020","3000","60","172"
"200","20001","5000","30","173"
"5","20001","5000","30","174"
"220","20002","5000","60","175"
"5","20002","5000","60","176"
"200","20003","5000","60","177"
"200","20003","5000","15","178"
"200","20004","5000","60","179"
"200","20004","5000","10","180"
"150","20005","5000","40","181"
"5","20005","5000","40","182"
"150","20006","5000","60","183"
"200","20006","5000","10","184"
"150","20007","5000","40","185"
"5","20007","5000","40","186"
"150","20008","5000","50","187"
"200","20008","5000","15","188"
"150","20009","5000","45","189"
"200","20009","5000","10","190"
"145","20010","5000","40","191"
"5","20010","5000","10","192"
"300","20011","5000","40","193"
"5","20011","5000","10","194"
"200","20012","5000","65","195"
"200","20012","5000","10","196"
"150","20013","5000","40","197"
"5","20013","5000","10","198"
"100","20014","5000","40","199"
"5","20014","5000","10","200"
"200","20015","5000","50","201"
"5","20015","5000","10","202"
"250","20016","5000","60","203"
"200","20016","5000","30","204"
"120","20017","5000","45","205"
"300","20017","5000","90","206"
"120","20018","5000","90","207"
"200","20018","5000","30","208"
"190","20019","5000","50","209"
"350","20019","5000","60","210"
"95","20020","5000","90","211"
"95","20020","5000","90","212"
"200","20021","5000","60","213"
"200","20021","5000","60","214"
"200","20022","5000","60","215"
"200","20022","5000","60","216"
"200","20023","5000","60","217"
"200","20023","5000","60","218"
"130","21001","5000","30","219"
"5","21001","5000","5","220"
"140","21002","5000","30","221"
"5","21002","5000","5","222"
"150","21003","5000","40","223"
"5","21003","5000","5","224"
"155","21004","5000","45","225"
"200","21004","5000","5","226"
"155","21005","5000","60","227"
"200","21005","5000","10","228"
"150","21006","5000","60","229"
"200","21006","5000","15","230"
"150","21007","5000","60","231"
"200","21007","5000","15","232"
"160","21008","5000","50","233"
"200","21008","5000","15","234"
"140","21009","5000","70","235"
"200","21009","5000","30","236"
"180","21010","5000","35","237"
"200","21010","5000","120","238"
"140","21011","5000","65","239"
"200","21011","5000","30","240"
"200","21012","5000","35","241"
"5","21012","5000","5","242"
"150","21013","5000","70","243"
"200","21013","5000","15","244"
"150","21014","5000","60","245"
"200","21014","5000","15","246"
"150","21015","5000","60","247"
"200","21015","5000","15","248"
"150","21016","5000","60","249"
"200","21016","5000","15","250"
"150","21017","5000","60","251"
"200","21017","5000","15","252"
"120","21018","5000","50","253"
"200","21018","5000","60","254"
"102","21019","5000","67","255"
"200","21019","5000","60","256"
"120","21020","5000","35","257"
"250","21020","5000","60","258"
