77d733cd5437682efd2ca2085b652c20fba001edf00a929030c91cbc36e9d699,dee62227be113916d8e66fe3fff3f9a3422481c317d556e2b97615f3a2ca0b3c,434f266d59f7cc3c34ab242293e4c3c88c7082169c3f0060b5acb3d14a3f21e9,e76ea56672572a0701f81df5d50e6e7140230b630f4dea33154b66c6a866a389,b563e02498d284ae51f9d6d4298dddb5b9622c64c50a7ce7128d7ce8d24d06b4,95d8ae39eeed22cb18651fed38da192abe75aa9f15846a5c849e2bfca9e8ce1e,74f45354f0700e88661ec8f432ce742a6fc8ef346608586803974f8ea47b90a3
"2","1","5","10","0","4","12"
"1","1","11","0","0","5","12"
"2","1","6","0","0","6","12"
"2","1","12","17","0","7","12"
"1","1","5","1","0","8","12"
"1","1","1","2","0","9","12"
"2","1","6","10","0","10","12"
"2","1","4","10","0","11","12"
"1","1","1","0","0","12","12"
"1","1","5","13","0","13","12"
"2","1","11","8","0","14","12"
"1","1","8","10","0","15","12"
"1","1","11","10","0","1","13"
"3","1","11","8","0","2","13"
"2","1","6","0","0","3","13"
"1","1","11","10","0","4","13"
"2","1","11","7","0","5","13"
"3","1","2","6","0","6","13"
"3","1","1","0","1500","7","13"
"1","3","11","5","0","8","13"
"3","1","5","10","0","9","13"
"2","1","1","4","0","10","13"
"1","1","1","4","0","11","13"
"3","1","6","6","0","12","13"
"1","1","4","6","0","13","13"
"1","3","9","10","0","14","13"
"3","1","8","10","0","15","13"
"1","1","4","6","0","16","13"
"3","1","1","0","0","17","13"
"2","1","8","8","0","18","13"
"1","1","11","0","0","1","14"
"1","2","2","13","0","2","14"
"3","1","11","10","0","3","14"
"1","1","1","10","0","4","14"
"1","2","4","10","0","5","14"
"2","1","11","0","0","6","14"
"2","1","1","0","0","7","14"
"1","1","1","10","0","8","14"
"3","1","12","12","0","9","14"
"3","1","12","12","0","10","14"
"3","1","5","0","0","11","14"
"1","1","5","12","0","12","14"
"1","2","10","6","0","13","14"
"1","1","11","10","0","14","14"
"1","3","10","6","0","15","14"
"1","1","11","10","0","16","14"
"1","3","2","6","0","17","14"
"1","2","10","6","0","18","14"
"1","1","11","4","0","19","14"
"2","1","8","10","0","20","14"
"1","3","8","4","0","21","14"
"2","1","12","10","0","1","15"
"1","1","12","12","0","2","15"
"3","1","11","12","0","3","15"
"1","1","11","6","0","4","15"
"2","1","12","12","0","5","15"
"2","1","5","0","0","6","15"
"1","1","11","12","0","7","15"
"1","1","1","0","0","8","15"
"1","1","5","0","0","9","15"
"1","2","12","12","0","10","15"
"3","1","11","0","0","11","15"
"3","1","12","11","0","12","15"
"2","1","1","9","0","13","15"
"1","1","1","12","0","14","15"
"1","1","12","0","0","15","15"
"1","1","12","9","0","16","15"
"2","1","11","4","0","17","15"
"1","3","11","4","0","18","15"
"2","1","5","12","0","19","15"
"2","1","12","0","0","20","15"
"2","1","12","7","0","21","15"
"1","3","12","12","0","22","15"
"1","3","1","7","0","23","15"
"3","1","4","0","0","24","15"
"1","3","4","10","0","25","15"
"2","1","8","0","0","26","15"
"1","1","11","0","0","27","15"
"2","1","11","0","0","28","15"
"1","1","6","0","0","1","16"
"2","1","11","10","0","2","16"
"3","1","12","0","0","3","16"
"2","1","4","0","0","4","16"
"1","1","6","12","0","5","16"
"1","1","6","0","0","6","16"
"2","1","4","4","0","7","16"
"3","1","5","4","0","8","16"
"3","1","1","0","0","9","16"
"1","1","12","17","0","10","16"
"2","1","11","0","0","11","16"
"3","1","1","10","0","12","16"
"2","1","11","11","0","13","16"
"3","1","11","0","0","14","16"
"1","1","12","12","0","15","16"
"1","1","11","10","0","16","16"
"1","1","11","10","0","17","16"
"1","1","6","6","0","18","16"
"2","1","11","6","0","19","16"
"3","1","1","8","0","20","16"
"3","1","5","8","0","21","16"
"1","1","4","9","0","22","16"
"1","1","11","10","0","23","16"
"1","1","11","4","0","1","17"
"1","3","4","10","0","2","17"
"1","1","11","4","0","3","17"
"1","1","1","0","0","4","17"
"1","2","1","10","0","5","17"
"2","1","11","4","0","6","17"
"1","2","1","10","0","7","17"
"2","1","11","4","0","8","17"
"3","1","1","0","0","9","17"
"1","2","8","10","0","10","17"
"1","1","12","12","0","11","17"
"3","1","11","4","0","12","17"
"1","3","1","4","0","13","17"
"1","1","11","10","0","14","17"
"1","2","1","0","0","15","17"
"1","2","11","4","0","16","17"
"1","2","8","7","0","17","17"
"1","1","11","0","0","18","17"
"1","3","2","6","0","19","17"
"1","1","10","10","0","20","17"
"2","1","11","10","0","21","17"
"3","1","8","7","0","22","17"
"1","1","11","4","0","1","18"
"1","2","5","13","0","2","18"
"1","1","4","10","0","3","18"
"2","1","4","10","0","4","18"
"3","1","11","10","0","5","18"
"1","3","5","7","0","6","18"
"1","1","11","10","0","7","18"
"3","1","4","10","0","8","18"
"2","1","11","10","0","9","18"
"1","3","5","6","0","10","18"
"1","1","11","10","0","11","18"
"2","1","11","10","0","12","18"
"3","1","4","10","0","13","18"
"1","2","5","8","0","14","18"
"1","2","6","6","0","15","18"
"3","1","10","0","0","16","18"
"2","1","10","0","0","17","18"
"1","1","10","0","0","18","18"
"1","2","10","7","0","19","18"
"1","1","8","10","0","20","18"
"1","1","11","10","0","21","18"
"1","2","2","9","0","22","18"
"1","2","13","0","0","1","19"
"1","2","4","8","0","2","19"
"1","2","8","0","0","3","19"
"1","2","14","10","0","1","20"
"1","2","8","0","0","2","20"
"1","2","15","13","0","1","21"
"1","2","15","0","0","1","22"
"1","2","13","0","0","2","22"
"1","2","42","0","0","1","23"
"1","2","72","0","0","2","23"
"1","2","43","0","0","1","24"
"1","2","44","0","0","1","25"
"1","2","45","0","0","1","26"
"1","2","46","0","0","1","27"
"1","2","47","0","0","1","28"
"1","2","14","0","0","1","29"
"1","1","15","0","0","1","30"
"2","1","8","0","0","2","30"
"1","1","10","13","0","3","30"
"2","1","10","13","0","4","30"
"2","1","12","9","0","5","30"
"1","1","72","6","0","6","30"
"1","2","2","8","0","7","30"
"1","2","13","0","0","8","30"
"1","1","4","8","0","1","31"
"2","1","1","0","0","2","31"
"1","1","10","6","0","3","31"
"2","1","4","0","0","4","31"
"1","1","9","7","0","5","31"
"2","1","1","0","0","6","31"
"1","1","10","6","0","1","32"
"2","1","10","13","0","2","32"
"3","1","1","0","0","3","32"
"2","1","2","11","0","4","32"
"1","1","2","8","0","5","32"
"3","1","1","0","0","6","32"
"3","1","72","7","0","7","32"
"3","1","6","0","0","1","33"
"1","3","10","13","0","2","33"
"3","1","3","3","0","3","33"
"1","3","72","0","0","4","33"
"3","1","12","2","0","5","33"
"1","2","4","6","0","1","34"
"1","1","5","7","0","2","34"
"2","1","1","0","0","3","34"
"2","1","12","8","0","4","34"
"1","1","1","0","0","5","34"
"1","2","15","0","0","6","34"
"1","2","8","0","0","1","35"
"1","2","72","10","0","2","35"
"1","2","13","0","0","3","35"
"1","2","4","0","0","1","36"
"1","1","6","6","0","2","36"
"1","1","1","0","0","3","36"
"2","1","72","10","0","4","36"
"2","1","9","0","0","5","36"
"2","2","2","7","0","6","36"
"1","2","8","7","0","1","37"
"1","1","4","0","0","2","37"
"2","1","5","0","0","3","37"
"1","2","13","6","0","4","37"
"1","2","13","10","0","1","38"
"1","1","5","8","0","2","38"
"2","1","6","7","0","3","38"
"1","1","1","0","0","4","38"
"2","1","9","7","0","5","38"
"2","1","15","13","0","6","38"
"1","2","8","0","0","7","38"
"1","2","4","6","0","1","39"
"1","1","6","13","0","2","39"
"2","1","72","10","0","3","39"
"1","2","13","6","0","4","39"
