66b3931ea85e4ae466a1b016519309cabb3b4642ebcbc34446fbbe7b1698a4e3,9ca42a075535e259268dd1b95932747f10791992aed4f41ebcae67fdee9f33ee,dccbd10442386b18b70496c2c9d07f016d1c742adea5d9452a16f0b6bcad7156,b3221ff74d1b64dd63dcea298f54ae712f23db6973031474d0da5b26848447a9,b5f5d17aa6571d537bdd4ffe6cad941e0842e1a2f8a6edd153d876dae30156a9,2384c2c187da207f612e748bccd373b09658e87203930213fd636464f135d2f2,abf663ba3d5d61ed916f0a0b446081a0bd7a529bbe4ed0168670e440815e209e,37568f9e44d4f1684905ec9f5685eed0255c3153941bd92b264d0055c2373ab7,4535d29587ff1d45c8ebfe11050ba306619ff644d20c65b880d42afe62f3eead,ecaad193b90b25fe257a8fd95656e9eafc009618624c07cd590f0506078d4a7a,389b57810cb9f1412cedd14290f22b0fec920921a5656f7ded0514092f0714fc
"0","1","6","1","1","0","0","113411","","1007002","1007002006"
"","","93","","","","","1","","1007002","1007002007"
"0.4","1","6","1","1","0","0.8","333","","1007002","1007002008"
"","1","3","svd_run","","","0.2","113511","","1007002","1007002009"
"0","-300","2","-250","1.2","","","113511","","1007002","1007002010"
"1","1","6","1","1","0","0.4","113511","","1007002","1007002011"
"","","93","","","","","1.2","","1007002","1007002012"
"","","91","","","","","0","","1007002","1007002013"
"","1","3","svd_idle_normal","","","0.1","113511","","1007002","1007002014"
"","","93","","","","","0.6","","1007002","1007002015"
"","1","3","svd_talk_memory","","","0.2","113511","","1007002","1007002016"
"","0","21","vo_svd_0221","0","","","vo_svd","","1007002","1007002017"
"0","6","11","あなた様の泳ぐ姿…この目に\nしかと焼き付けさせて\n頂きました。","0","0","0","113511","1","1007002","1007002018"
"","","91","","","","","0","","1007002","1007002019"
"","1","3","svd_idle_memory","","","0.2","113511","","1007002","1007002020"
"","1","3","svd_run","","","0.2","113411","","1007002","1007002021"
"0","-300","2","250","1.2","","","113411","","1007002","1007002022"
"1","1","6","1","1","0","0.4","113411","","1007002","1007002023"
"","","93","","","","","1.2","","1007002","1007002024"
"","1","3","svd_idle_joy1","","","0.1","113411","","1007002","1007002025"
"","","93","","","","","0.3","","1007002","1007002026"
"","1","3","svd_talk_memory","","","0.2","113411","","1007002","1007002027"
"","0","21","vo_svd_0222","0","","","vo_svd","","1007002","1007002028"
"0","6","11","弟くんが一生懸命動かす手足…\nかわいかったなぁ…","0","0","0","113411","1","1007002","1007002029"
"","","91","","","","","0","","1007002","1007002030"
"","1","3","svd_idle_memory","","","0.2","113411","","1007002","1007002031"
"","1","3","svd_talk_memory","","","0.2","113511","","1007002","1007002032"
"","0","21","vo_svd_0223","0","","","vo_svd","","1007002","1007002033"
"0","6","11","あなた様が上げる水しぶきは\nどんな秘薬よりも優れた霊薬\nになりそうですわ…","0","0","0","113511","1","1007002","1007002034"
"","","91","","","","","0","","1007002","1007002035"
"","1","3","svd_idle_memory","","","0.2","113511","","1007002","1007002036"
"","1","3","svd_talk_worry","","","0.2","113411","","1007002","1007002037"
"","0","21","vo_svd_0224","0","","","vo_svd","","1007002","1007002038"
"0","6","11","エリコちゃん…\nそれはさすがにちょっと…","0","0","0","113411","1","1007002","1007002039"
"","","91","","","","","0","","1007002","1007002040"
"","1","3","svd_idle_worry","","","0.2","113411","","1007002","1007002041"
"","1","3","svd_talk_thinking","","","0.2","113511","","1007002","1007002042"
"","0","21","vo_svd_0225","0","","","vo_svd","","1007002","1007002043"
"0","6","11","シズルさんには\n必要ないのですね。\nそれならば私がすべて…","0","0","0","113511","1","1007002","1007002044"
"","","91","","","","","0","","1007002","1007002045"
"","1","3","svd_idle_thinking","","","0.2","113511","","1007002","1007002046"
"","0","12","4","","0","0","113411","","1007002","1007002047"
"","0","3","svd_surprise","","","0.2","113411","","1007002","1007002048"
"","","93","","","","","1","","1007002","1007002049"
"","1","3","svd_talk_joy2","","","0.2","113411","","1007002","1007002050"
"","0","21","vo_svd_0226","0","","","vo_svd","","1007002","1007002051"
"0","8","11","ほしい！\n奇麗な小瓶に集めちゃう！","0","0","0","113411","1","1007002","1007002052"
"","","91","","","","","0","","1007002","1007002053"
"","1","3","svd_idle_joy1","","","0.2","113411","","1007002","1007002054"
"","","102","","","","","","","1007002","1007002055"
"","","93","","","","","1","","1007002","1007002056"
"","1","12","8","","0","0","113511","","1007002","1007002057"
"","1","3","svd_talk_memory","","","0.2","113511","","1007002","1007002058"
"","","93","","","","","3","","1007002","1007002059"
"","1","3","svd_idle_memory","","","0.2","113511","","1007002","1007002060"
"","1","12","1","","0","0","113411","","1007002","1007002061"
"1","1","3","svd_talk_worry","","","0.2","113411","","1007002","1007002062"
"","","93","","","","","3","","1007002","1007002063"
"1","1","3","svd_idle_worry","","","0.2","113411","","1007002","1007002064"
"","1","12","11","","0","0","113511","","1007002","1007002065"
"1","0","3","svd_talk_guts2","svd_idle_guts2","0.2","0.2","113511","","1007002","1007002066"
"","","93","","","","","3","","1007002","1007002067"
"","1","3","svd_idle_guts2","","","0.2","113511","","1007002","1007002068"
"","1","12","7","","0","0","113411","","1007002","1007002069"
"1","1","3","svd_talk_joy1","","","0.2","113411","","1007002","1007002070"
"","","93","","","","","3","","1007002","1007002071"
"1","1","3","svd_idle_joy1","","","0.2","113411","","1007002","1007002072"
"","","101","","","","","1007002057","","1007002","1007002073"
"0","1","6","1","1","0","1","333","","1007002","1007002074"
"","","4","1","","","","113511","","1007002","1007002075"
"","1","3","svd_run","","","0.2","113511","","1007002","1007002076"
"0","-300","2","-750","0.8","","","113511","","1007002","1007002077"
"","","4","0","","","","113411","","1007002","1007002078"
"","1","3","svd_run","","","0.2","113411","","1007002","1007002079"
"0","-300","2","750","0.8","","","113411","","1007002","1007002080"
"","","93","","","","","0.6","","1007002","1007002081"
"0","1","6","1","1","0","0.2","113511","","1007002","1007002082"
"0","1","6","1","1","0","0.2","113411","","1007002","1007002083"
"","","91","","","","","0","","1007002","1007002084"
"-300","100","5","113511","-750","0","2.08","1","svd_idle_normal","1007003","1007003001"
"-300","100","5","113411","650","1","2.08","2","svd_idle_normal","1007003","1007003002"
"0","0","5","333","0","0","1","3","svd_white_loop","1007003","1007003003"
"0","1","6","1","1","0","0","333","","1007003","1007003004"
"","0","7","2","0","","","113511","","1007003","1007003005"
"0","-300","2","-750","0.5","","","113511","","1007003","1007003006"
"0","1","6","1","1","0","0","113411","","1007003","1007003007"
"0.8","-140","31","16","-40","","0","6","","1007003","1007003008"
"","0","34","2","0","","","16","","1007003","1007003009"
"","","93","","","","","1","","1007003","1007003010"
"0.4","1","6","1","1","0","0.8","333","","1007003","1007003011"
"1","0","3","svd_idle_see_sad_pre","svd_idle_see_sad","0","0.2","113511","","1007003","1007003012"
"0","-300","2","-600","1.1","","","113511","","1007003","1007003013"
"","","93","","","","","1","","1007003","1007003014"
"","","32","1","","","","16","","1007003","1007003015"
"","","91","","","","","0","","1007003","1007003016"
"80","260","94","240","0","","","113511","","1007003","1007003017"
"","","32","0","","","","16","","1007003","1007003018"
"","1","12","17","","0","0","113511","","1007003","1007003019"
"","1","3","svd_walk_sad","","","0.2","113511","","1007003","1007003020"
"","2","7","0","0","","","113511","","1007003","1007003021"
"0","-300","2","-250","2.4","","","113511","","1007003","1007003022"
"","","93","","","","","2.4","","1007003","1007003023"
"","1","3","svd_idle_sad","","","0.2","113511","","1007003","1007003024"
"","","93","","","","","0.5","","1007003","1007003025"
"","","91","","","","","0","","1007003","1007003026"
"","1","3","svd_talk_sad","","","0.2","113511","","1007003","1007003027"
"","0","21","vo_svd_0321","0","","","vo_svd","","1007003","1007003028"
"0","7","11","弟くんに大きなカブトムシを\nプレゼントして\nあげたかったな…","0","0","0","113511","1","1007003","1007003029"
"","","91","","","","","0","","1007003","1007003030"
"","1","3","svd_idle_sad","","","0.2","113511","","1007003","1007003031"
"","1","3","svd_walk","","","0.2","113411","","1007003","1007003032"
"0","-300","2","250","2","","","113411","","1007003","1007003033"
"1","1","6","1","1","0","0.4","113411","","1007003","1007003034"
"","","93","","","","","2","","1007003","1007003035"
"","1","3","svd_idle_normal","","","0.2","113411","","1007003","1007003036"
"","","93","","","","","0.4","","1007003","1007003037"
"","1","3","svd_talk_thinking","","","0.2","113411","","1007003","1007003038"
"","0","21","vo_svd_0322","0","","","vo_svd","","1007003","1007003039"
"0","6","11","確かに心残りではありますが\nそれ以上によいものを\n見られましたわ。","0","0","0","113411","1","1007003","1007003040"
"","","91","","","","","0","","1007003","1007003041"
"","1","3","svd_idle_thinking","","","0.2","113411","","1007003","1007003042"
"","1","3","svd_talk_joy1","","","0.2","113511","","1007003","1007003043"
"","0","21","vo_svd_0323","0","","","vo_svd","","1007003","1007003044"
"0","6","11","優しい弟くんも素敵だったね！\nでもカブトムシ捕りは\nまた挑戦しよう！","0","0","0","113511","1","1007003","1007003045"
"","","91","","","","","0","","1007003","1007003046"
"","1","3","svd_talk_sad","","","0.2","113511","","1007003","1007003047"
"","0","21","vo_svd_0324","0","","","vo_svd","","1007003","1007003048"
"0","6","11","それでもまたダメだったら\nそのときは…","0","0","0","113511","1","1007003","1007003049"
"","","91","","","","","0","","1007003","1007003050"
"","1","3","svd_idle_sad","","","0.2","113511","","1007003","1007003051"
"","1","3","svd_talk_sad","","","0.2","113411","","1007003","1007003052"
"","0","21","vo_svd_0325","0","","","vo_svd","","1007003","1007003053"
"0","6","11","もし次があるのなら…私たちが\nカブトムシになりましょう。\nなりきってみせましょう。","0","0","0","113411","1","1007003","1007003054"
"","","93","","","","","5","","1007003","1007003055"
"","1","3","svd_talk_wish2","","","0.2","113411","","1007003","1007003056"
"","","91","","","","","1007003054","","1007003","1007003057"
"","1","3","svd_idle_wish2","","","0.2","113411","","1007003","1007003058"
"","","102","","","","","","","1007003","1007003059"
"","","93","","","","","1","","1007003","1007003060"
"","1","12","12","","0","0","113511","","1007003","1007003061"
"1","0","3","svd_cmn_think","svd_idle_normal","0.2","0.2","113511","","1007003","1007003062"
"","","93","","","","","3","","1007003","1007003063"
"","1","3","svd_idle_normal","","","0.2","113511","","1007003","1007003064"
"","1","12","10","","0","0","113411","","1007003","1007003065"
"1","1","3","svd_talk_normal","","","0.2","113411","","1007003","1007003066"
"","","93","","","","","3","","1007003","1007003067"
"1","1","3","svd_idle_normal","","","0.2","113411","","1007003","1007003068"
"","1","12","1","","0","0","113511","","1007003","1007003069"
"","1","3","svd_talk_sad","","","0.2","113511","","1007003","1007003070"
"","","93","","","","","3","","1007003","1007003071"
"","1","3","svd_idle_sad","","","0.2","113511","","1007003","1007003072"
"","1","12","7","","0","0","113411","","1007003","1007003073"
"1","1","3","svd_talk_wish","","","0.2","113411","","1007003","1007003074"
"","","93","","","","","3","","1007003","1007003075"
"1","1","3","svd_idle_wish","","","0.2","113411","","1007003","1007003076"
"","","101","","","","","1007003061","","1007003","1007003077"
"0","1","6","1","1","0","1","333","","1007003","1007003078"
"","","4","1","","","","113511","","1007003","1007003079"
"","1","3","svd_run","","","0.2","113511","","1007003","1007003080"
"0","-300","2","-750","0.8","","","113511","","1007003","1007003081"
"","","4","0","","","","113411","","1007003","1007003082"
"","1","3","svd_run","","","0.2","113411","","1007003","1007003083"
"0","-300","2","750","0.8","","","113411","","1007003","1007003084"
"","","93","","","","","0.6","","1007003","1007003085"
"0","1","6","1","1","0","0.2","113511","","1007003","1007003086"
"0","1","6","1","1","0","0.2","113411","","1007003","1007003087"
"","","91","","","","","0","","1007003","1007003088"
"-560","100","5","113511","-250","0","2.08","1","svd_idle_normal","1007004","1007004001"
"-560","100","5","113411","250","1","2.08","2","svd_idle_normal","1007004","1007004002"
"0","0","5","333","0","0","1","3","svd_white_loop","1007004","1007004003"
"0","1","6","1","1","0","0","333","","1007004","1007004004"
"0","1","6","1","1","0","0","113511","","1007004","1007004005"
"0","1","6","1","1","0","0","113411","","1007004","1007004006"
"","","93","","","","","1","","1007004","1007004007"
"0.4","1","6","1","1","0","0.8","333","","1007004","1007004008"
"1","0","3","svd_jump1","svd_idle_normal","0.2","0.2","113511","","1007004","1007004009"
"1","0","3","svd_jump1","svd_idle_normal","0.2","0.2","113411","","1007004","1007004010"
"","","93","","","","","0.3","","1007004","1007004011"
"0","-300","2","-250","0.75","","","113511","","1007004","1007004012"
"0","-300","2","250","0.75","","","113411","","1007004","1007004013"
"1","1","6","1","1","0","0.4","113511","","1007004","1007004014"
"1","1","6","1","1","0","0.4","113411","","1007004","1007004015"
"","","93","","","","","1.2","","1007004","1007004016"
"","","91","","","","","0","","1007004","1007004017"
"","1","3","svd_idle_normal","","","0.2","113411","","1007004","1007004018"
"","1","3","svd_talk_joy1","","","0.2","113511","","1007004","1007004019"
"","0","21","vo_svd_0421","0","","","vo_svd","","1007004","1007004020"
"0","6","11","ルーセント学院のみんな\nいい子だったね！\n学校生活も楽しそうだなー","0","0","0","113511","1","1007004","1007004021"
"","","91","","","","","0","","1007004","1007004022"
"","1","3","svd_idle_joy1","","","0.2","113511","","1007004","1007004023"
"","1","3","svd_talk_thinking","","","0.2","113411","","1007004","1007004024"
"","0","21","vo_svd_0422","0","","","vo_svd","","1007004","1007004025"
"0","6","11","イオちゃんという\nすばらしい先生にも恵まれて\n少しうらやましいですわ…","0","0","0","113411","1","1007004","1007004026"
"","","91","","","","","0","","1007004","1007004027"
"","1","3","svd_idle_thinking","","","0.2","113411","","1007004","1007004028"
"","1","3","svd_talk_normal","","","0.2","113511","","1007004","1007004029"
"","0","21","vo_svd_0423","0","","","vo_svd","","1007004","1007004030"
"0","7","11","ねぇねぇ、二人で入学する…\nっていうのはどうかな？","0","0","0","113511","1","1007004","1007004031"
"","","91","","","","","0","","1007004","1007004032"
"","1","3","svd_idle_joy1","","","0.2","113511","","1007004","1007004033"
"1","0","3","svd_surprise","svd_talk_joy1","0.2","0.2","113411","","1007004","1007004034"
"","0","21","vo_svd_0424","0","","","vo_svd","","1007004","1007004035"
"0","6","11","…！　よいアイデアですわ！\nさっそく入学願書を\n取り寄せましょう！","0","0","0","113411","1","1007004","1007004036"
"","","91","","","","","0","","1007004","1007004037"
"","1","3","svd_idle_joy1","","","0.2","113411","","1007004","1007004038"
"","","102","","","","","","","1007004","1007004039"
"","","93","","","","","1","","1007004","1007004040"
"","1","12","7","","0","0","113511","","1007004","1007004041"
"","1","3","svd_talk_normal","","","0.2","113511","","1007004","1007004042"
"","","93","","","","","3","","1007004","1007004043"
"","1","3","svd_idle_normal","","","0.2","113511","","1007004","1007004044"
"","1","12","6","","0","0","113411","","1007004","1007004045"
"1","1","3","svd_talk_joy1","","","0.2","113411","","1007004","1007004046"
"","","93","","","","","3","","1007004","1007004047"
"1","1","3","svd_idle_joy1","","","0.2","113411","","1007004","1007004048"
"","1","12","10","","0","0","113511","","1007004","1007004049"
"","1","3","svd_talk_joy2","","","0.2","113511","","1007004","1007004050"
"","","93","","","","","3","","1007004","1007004051"
"","1","3","svd_idle_joy2","","","0.2","113511","","1007004","1007004052"
"","1","12","10","","0","0","113411","","1007004","1007004053"
"1","0","3","svd_cmn_smile3","svd_idle_joy1","0.2","0.2","113411","","1007004","1007004054"
"","","93","","","","","3","","1007004","1007004055"
"1","1","3","svd_idle_joy1","","","0.2","113411","","1007004","1007004056"
"","","101","","","","","1007004041","","1007004","1007004057"
"0","1","6","1","1","0","1","333","","1007004","1007004058"
"","","4","1","","","","113511","","1007004","1007004059"
"","1","3","svd_run","","","0.2","113511","","1007004","1007004060"
"0","-300","2","-750","0.8","","","113511","","1007004","1007004061"
"","","4","0","","","","113411","","1007004","1007004062"
"","1","3","svd_run","","","0.2","113411","","1007004","1007004063"
"0","-300","2","750","0.8","","","113411","","1007004","1007004064"
"","","93","","","","","0.6","","1007004","1007004065"
"0","1","6","1","1","0","0.2","113511","","1007004","1007004066"
"0","1","6","1","1","0","0.2","113411","","1007004","1007004067"
"","","91","","","","","0","","1007004","1007004068"
"-300","110","5","113511","-700","0","2.08","1","svd_idle_normal","1007005","1007005001"
"-300","100","5","113411","-550","0","2.08","2","svd_idle_normal","1007005","1007005002"
"0","0","5","333","0","0","1","3","svd_white_loop","1007005","1007005003"
"0","1","6","1","1","0","0","333","","1007005","1007005004"
"1.3","-630","31","13","60","","0","3","","1007005","1007005005"
"0","1","6","1","1","0","0","113511","","1007005","1007005006"
"0","1","6","1","1","0","0","113411","","1007005","1007005007"
"","","93","","","","","1","","1007005","1007005008"
"0.4","1","6","1","1","0","0.8","333","","1007005","1007005009"
"","1","3","svd_walk_glad","","","0.2","113511","","1007005","1007005010"
"0","-300","2","-250","2","","","113511","","1007005","1007005011"
"","1","3","svd_walk_glad2","","","0.2","113411","","1007005","1007005012"
"0","-300","2","-50","2.2","","","113411","","1007005","1007005013"
"1","1","6","1","1","0","0.4","113511","","1007005","1007005014"
"1","1","6","1","1","0","0.4","113411","","1007005","1007005015"
"","","32","1","","","","13","","1007005","1007005016"
"0","60","33","-180","2","","","13","","1007005","1007005017"
"","","93","","","","","2","","1007005","1007005018"
"","","32","0","","","","13","","1007005","1007005019"
"","1","3","svd_idle_normal","","","0.2","113511","","1007005","1007005020"
"","","93","","","","","0.2","","1007005","1007005021"
"","","4","1","","","","113411","","1007005","1007005022"
"","1","3","svd_idle_normal","","","0.2","113411","","1007005","1007005023"
"","","93","","","","","0.5","","1007005","1007005024"
"","0.5","12","10","","0","0","113511","","1007005","1007005025"
"","0.5","12","10","","0","0","113411","","1007005","1007005026"
"1","0","3","svd_wink","svd_idle_normal","0.2","0.2","113511","","1007005","1007005027"
"1","0","3","svd_wink","svd_idle_normal","0.2","0.2","113411","","1007005","1007005028"
"","","93","","","","","1.5","","1007005","1007005029"
"","","4","0","","","","113411","","1007005","1007005030"
"","1","3","svd_walk","","","0.2","113411","","1007005","1007005031"
"0","-300","2","250","1","","","113411","","1007005","1007005032"
"","","93","","","","","1","","1007005","1007005033"
"1","0","3","svd_idle_normal","svd_idle_normal","0","0.4","113411","","1007005","1007005034"
"","","93","","","","","0","","1007005","1007005035"
"","","4","1","","","","113411","","1007005","1007005036"
"","","93","","","","","0.6","","1007005","1007005037"
"","1","3","svd_talk_joy1","","","0.2","113511","","1007005","1007005038"
"","0","21","vo_svd_0521","0","","","vo_svd","","1007005","1007005039"
"0","5","11","静かな島で弟くんと暮らす…\nここは本当に天国だね。","0","0","0","113511","1","1007005","1007005040"
"","","91","","","","","0","","1007005","1007005041"
"","1","3","svd_idle_memory","","","0.2","113511","","1007005","1007005042"
"","1","3","svd_talk_memory","","","0.2","113411","","1007005","1007005043"
"","0","21","vo_svd_0522","0","","","vo_svd","","1007005","1007005044"
"0","6","11","これを幸せと呼ばずして\n何を幸せと呼べば\nよいのでしょう…","0","0","0","113411","1","1007005","1007005045"
"","","91","","","","","0","","1007005","1007005046"
"","1","3","svd_idle_memory","","","0.2","113411","","1007005","1007005047"
"","1","3","svd_talk_memory","","","0.2","113511","","1007005","1007005048"
"","0","21","vo_svd_0523","0","","","vo_svd","","1007005","1007005049"
"0","6","11","おはようからおやすみまで\nずっと弟くんと一緒に\nいられる…","0","0","0","113511","1","1007005","1007005050"
"","","91","","","","","0","","1007005","1007005051"
"","1","3","svd_idle_memory","","","0.2","113511","","1007005","1007005052"
"","1","3","svd_talk_memory","","","0.2","113411","","1007005","1007005053"
"","0","21","vo_svd_0524","0","","","vo_svd","","1007005","1007005054"
"0","4","11","寝起きのかわいらしい顔も\n穏やかな寝顔も\nすべて見放題…","0","0","0","113411","1","1007005","1007005055"
"","","91","","","","","0","","1007005","1007005056"
"","1","3","svd_idle_memory","","","0.2","113411","","1007005","1007005057"
"","1","3","svd_talk_joy2","","","0.2","113511","","1007005","1007005058"
"","0","21","vo_svd_0525","0","","","vo_svd","","1007005","1007005059"
"0","8","11","この幸せをお返しできるように\n最高のおうちを作ろうね！\nエリコちゃん！","0","0","0","113511","1","1007005","1007005060"
"","","93","","","","","4","","1007005","1007005061"
"1","0","3","svd_talk_guts","svd_idle_guts","0.2","0.2","113511","","1007005","1007005062"
"","","91","","","","","1007005060","","1007005","1007005063"
"","1","3","svd_idle_guts","","","0.2","113511","","1007005","1007005064"
"1","0","3","svd_talk_guts2","svd_idle_guts2","0.2","0.2","113411","","1007005","1007005065"
"","0","21","vo_svd_0526","0","","","vo_svd","","1007005","1007005066"
"0","6","11","もちろんですわ！","0","0","0","113411","1","1007005","1007005067"
"","","91","","","","","0","","1007005","1007005068"
"","","102","","","","","","","1007005","1007005069"
"","","93","","","","","1","","1007005","1007005070"
"","1","12","9","","0","0","113511","","1007005","1007005071"
"","1","3","svd_talk_memory","","","0.2","113511","","1007005","1007005072"
"","","93","","","","","3","","1007005","1007005073"
"","1","3","svd_idle_memory","","","0.2","113511","","1007005","1007005074"
