00ff220a25a02a59ef15a6a6dc7344c6dc03e1adaed2d3fed8593808c5563ade,c61d0d00c497292d917f80d14222d1222db021ffe2435a0829bcbc3911848042,19f5733882a8d20cf7b335946bf3936fcce503c0fb041bf3154130e658300e74,552915afceccc6fd5e7573c8d3c48cb59d365be35661076213b8370b9a672379,835baa3f799f2f1b07c3cae641c4436cf6c0166220a96f5035c0240d50b4f2e2,3043fc224b328b1ec41777999cf98a268f2006ca2aeeb1d581604c59072f481b,764d8a24c7840ec18a622e27d1fd3229e69871dc95d6c8e9d6139c6f573fb934
"10","8","1","11","0","10","1"
"10","9","2","8","0","10","1"
"8","1","1","9","0","11","1"
"0","2","2","5","0","11","1"
"12","3","2","6","0","11","1"
"5","4","1","1","0","11","1"
"10","5","2","5","0","11","1"
"12","6","2","6","0","11","1"
"4","7","1","1","0","11","1"
"0","8","1","11","0","11","1"
"0","9","1","6","0","11","1"
"10","10","2","1","0","11","1"
"11","11","1","6","0","11","1"
"12","12","2","1","0","11","1"
"6","13","2","5","0","11","1"
"7","14","1","10","0","11","1"
"7","15","2","4","0","11","1"
"4","1","2","11","0","12","1"
"5","2","1","1","0","12","1"
"10","3","2","6","0","12","1"
"10","4","2","5","0","12","1"
"0","5","1","11","0","12","1"
"0","6","2","6","0","12","1"
"17","7","2","12","0","12","1"
"1","8","1","5","0","12","1"
"2","9","1","1","0","12","1"
"10","10","2","6","0","12","1"
"10","11","2","4","0","12","1"
"0","12","1","1","0","12","1"
"13","13","1","5","0","12","1"
"8","14","2","11","0","12","1"
"10","15","1","8","0","12","1"
"10","1","1","11","0","13","1"
"8","2","3","11","0","13","1"
"0","3","2","6","0","13","1"
"10","4","1","11","0","13","1"
"7","5","2","11","0","13","1"
"6","6","3","2","0","13","1"
"0","7","3","1","1500","13","1"
"5","8","1","11","0","13","3"
"10","9","3","5","0","13","1"
"4","10","2","1","0","13","1"
"4","11","1","1","0","13","1"
"6","12","3","6","0","13","1"
"6","13","1","4","0","13","1"
"10","14","1","9","0","13","3"
"10","15","3","8","0","13","1"
"6","16","1","4","0","13","1"
"0","17","3","1","0","13","1"
"8","18","2","8","0","13","1"
"0","1","1","11","0","14","1"
"13","2","1","2","0","14","2"
"10","3","3","11","0","14","1"
"10","4","1","1","0","14","1"
"10","5","1","4","0","14","2"
"0","6","2","11","0","14","1"
"0","7","2","1","0","14","1"
"10","8","1","1","0","14","1"
"12","9","3","12","0","14","1"
"12","10","3","12","0","14","1"
"0","11","3","5","0","14","1"
"12","12","1","5","0","14","1"
"6","13","1","10","0","14","2"
"10","14","1","11","0","14","1"
"6","15","1","10","0","14","3"
"10","16","1","11","0","14","1"
"6","17","1","2","0","14","3"
"6","18","1","10","0","14","2"
"4","19","1","11","0","14","1"
"10","20","2","8","0","14","1"
"4","21","1","8","0","14","3"
"10","1","2","12","0","15","1"
"12","2","1","12","0","15","1"
"12","3","3","11","0","15","1"
"6","4","1","11","0","15","1"
"12","5","2","12","0","15","1"
"0","6","2","5","0","15","1"
"12","7","1","11","0","15","1"
"0","8","1","1","0","15","1"
"0","9","1","5","0","15","1"
"12","10","1","12","0","15","2"
"0","11","3","11","0","15","1"
"11","12","3","12","0","15","1"
"9","13","2","1","0","15","1"
"12","14","1","1","0","15","1"
"0","15","1","12","0","15","1"
"9","16","1","12","0","15","1"
"4","17","2","11","0","15","1"
"4","18","1","11","0","15","3"
"12","19","2","5","0","15","1"
"0","20","2","12","0","15","1"
"7","21","2","12","0","15","1"
"12","22","1","12","0","15","3"
"7","23","1","1","0","15","3"
"0","24","3","4","0","15","1"
"10","25","1","4","0","15","3"
"0","26","2","8","0","15","1"
"0","27","1","11","0","15","1"
"0","28","2","11","0","15","1"
"0","1","1","6","0","16","1"
"10","2","2","11","0","16","1"
"0","3","3","12","0","16","1"
"0","4","2","4","0","16","1"
"12","5","1","6","0","16","1"
"0","6","1","6","0","16","1"
"4","7","2","4","0","16","1"
"4","8","3","5","0","16","1"
"0","9","3","1","0","16","1"
"17","10","1","12","0","16","1"
"0","11","2","11","0","16","1"
"10","12","3","1","0","16","1"
"11","13","2","11","0","16","1"
"0","14","3","11","0","16","1"
"12","15","1","12","0","16","1"
"10","16","1","11","0","16","1"
"10","17","1","11","0","16","1"
"6","18","1","6","0","16","1"
"6","19","2","11","0","16","1"
"8","20","3","1","0","16","1"
"8","21","3","5","0","16","1"
"9","22","1","4","0","16","1"
"10","23","1","11","0","16","1"
"4","1","1","11","0","17","1"
"10","2","1","4","0","17","3"
"4","3","1","11","0","17","1"
"0","4","1","1","0","17","1"
"10","5","1","1","0","17","2"
"4","6","2","11","0","17","1"
"10","7","1","1","0","17","2"
"4","8","2","11","0","17","1"
"0","9","3","1","0","17","1"
"10","10","1","8","0","17","2"
"12","11","1","12","0","17","1"
"4","12","3","11","0","17","1"
"4","13","1","1","0","17","3"
"10","14","1","11","0","17","1"
"0","15","1","1","0","17","2"
"4","16","1","11","0","17","2"
"7","17","1","8","0","17","2"
"0","18","1","11","0","17","1"
"6","19","1","2","0","17","3"
"10","20","1","10","0","17","1"
"10","21","2","11","0","17","1"
"7","22","3","8","0","17","1"
"4","1","1","11","0","18","1"
"13","2","1","5","0","18","2"
"10","3","1","4","0","18","1"
"10","4","2","4","0","18","1"
"10","5","3","11","0","18","1"
"7","6","1","5","0","18","3"
"10","7","1","11","0","18","1"
"10","8","3","4","0","18","1"
"10","9","2","11","0","18","1"
"6","10","1","5","0","18","3"
"10","11","1","11","0","18","1"
"10","12","2","11","0","18","1"
"10","13","3","4","0","18","1"
"8","14","1","5","0","18","2"
"6","15","1","6","0","18","2"
"0","16","3","10","0","18","1"
"0","17","2","10","0","18","1"
"0","18","1","10","0","18","1"
"7","19","1","10","0","18","2"
"10","20","1","8","0","18","1"
"10","21","1","11","0","18","1"
"9","22","1","2","0","18","2"
"0","1","1","13","0","19","2"
"8","2","1","4","0","19","2"
"0","3","1","8","0","19","2"
"10","1","1","14","0","20","2"
"0","2","1","8","0","20","2"
"13","1","1","15","0","21","2"
"0","1","1","15","0","22","2"
"0","2","1","13","0","22","2"
"0","1","1","42","0","23","2"
"0","2","1","72","0","23","2"
"0","1","1","43","0","24","2"
"0","1","1","44","0","25","2"
"0","1","1","45","0","26","2"
"0","1","1","46","0","27","2"
"0","1","1","47","0","28","2"
"0","1","1","14","0","29","2"
"0","1","1","15","0","30","1"
"0","2","2","8","0","30","1"
"13","3","1","10","0","30","1"
"13","4","2","10","0","30","1"
"9","5","2","12","0","30","1"
"6","6","1","72","0","30","1"
"8","7","1","2","0","30","2"
"0","8","1","13","0","30","2"
"8","1","1","4","0","31","1"
"0","2","2","1","0","31","1"
"6","3","1","10","0","31","1"
"0","4","2","4","0","31","1"
"7","5","1","9","0","31","1"
"0","6","2","1","0","31","1"
"6","1","1","10","0","32","1"
"13","2","2","10","0","32","1"
"0","3","3","1","0","32","1"
"11","4","2","2","0","32","1"
"8","5","1","2","0","32","1"
"0","6","3","1","0","32","1"
"7","7","3","72","0","32","1"
"0","1","3","6","0","33","1"
"13","2","1","10","0","33","3"
"3","3","3","3","0","33","1"
"0","4","1","72","0","33","3"
"2","5","3","12","0","33","1"
"6","1","1","4","0","34","2"
"7","2","1","5","0","34","1"
"0","3","2","1","0","34","1"
"8","4","2","12","0","34","1"
"0","5","1","1","0","34","1"
"0","6","1","15","0","34","2"
"0","1","1","8","0","35","2"
"10","2","1","72","0","35","2"
"0","3","1","13","0","35","2"
"0","1","1","4","0","36","2"
"6","2","1","6","0","36","1"
"0","3","1","1","0","36","1"
"10","4","2","72","0","36","1"
"0","5","2","9","0","36","1"
"7","6","2","2","0","36","2"
"7","1","1","8","0","37","2"
"0","2","1","4","0","37","1"
"0","3","2","5","0","37","1"
"6","4","1","13","0","37","2"
"10","1","1","13","0","38","2"
"8","2","1","5","0","38","1"
"7","3","2","6","0","38","1"
"0","4","1","1","0","38","1"
"7","5","2","9","0","38","1"
"13","6","2","15","0","38","1"
"0","7","1","8","0","38","2"
"6","1","1","4","0","39","2"
"13","2","1","6","0","39","1"
"10","3","2","72","0","39","1"
"6","4","1","13","0","39","2"
