701a49908a44d23db6fafc4fb4cb166d14b514a299af297b82b3bccbc8454c56,4eab1af55706dfecf35b5706a6e99596542a1fdb1f1f19d1c3f9971e7275a910,cdf262d8ca4118ef105662a7528c970cd84d92fdef97c258c55534e85ab29a99,8791d7621fbcf803aa8f55fe04a8dd66d1e7d41d1d0887302b82083d15c76acf,bb371635f751bd181f3f55cc19c6bf1c1c73a5cccceb5b098074c7914682a362,9f27ed496f2146b97eb019fb37812e37528fdd7c9ac10c65845c1df467003d8e,6e2d5b289053c1a56c10e0f499d06d4d38c06663ed04bc2c107db36e6fdc6f18
"3","80004","0","37","2021/02/10 5:00:00","2021/02/11 4:59:59","9002012"
"3","80004","0","38","2021/02/11 5:00:00","2021/02/12 4:59:59","9002013"
"3","80004","0","39","2021/02/12 5:00:00","2021/02/13 4:59:59","9002014"
"3","80004","0","40","2021/02/13 5:00:00","2021/02/14 4:59:59","9002015"
"3","80004","0","41","2021/02/14 5:00:00","2021/02/15 4:59:59","9002016"
"3","80004","1","42","2021/02/15 5:00:00","2021/02/16 4:59:59","9002017"
"0","70006","0","43","2021/12/24 5:00:00","2021/12/25 4:59:59","400"
"0","70006","0","44","2021/12/25 5:00:00","2021/12/26 4:59:59","401"
"3","80006","0","45","2022/01/30 5:00:00","2022/01/31 4:59:59","9004001"
"3","80006","0","46","2022/01/31 5:00:00","2022/02/01 4:59:59","9004002"
"3","80006","0","47","2022/02/01 5:00:00","2022/02/02 4:59:59","9004003"
"3","80006","0","48","2022/02/02 5:00:00","2022/02/03 4:59:59","9004004"
"3","80006","0","49","2022/02/03 5:00:00","2022/02/04 4:59:59","9004005"
"3","80006","0","50","2022/02/04 5:00:00","2022/02/05 4:59:59","9004006"
"3","80006","0","51","2022/02/05 5:00:00","2022/02/06 4:59:59","9004007"
"3","80006","0","52","2022/02/06 5:00:00","2022/02/07 4:59:59","9004008"
"3","80006","0","53","2022/02/07 5:00:00","2022/02/08 4:59:59","9004009"
"3","80006","0","54","2022/02/08 5:00:00","2022/02/09 4:59:59","9004010"
"3","80006","0","55","2022/02/09 5:00:00","2022/02/10 4:59:59","9004011"
"3","80006","0","56","2022/02/10 5:00:00","2022/02/11 4:59:59","9004012"
"3","80006","0","57","2022/02/11 5:00:00","2022/02/12 4:59:59","9004013"
"3","80006","0","58","2022/02/12 5:00:00","2022/02/13 4:59:59","9004014"
"3","80006","0","59","2022/02/13 5:00:00","2022/02/14 4:59:59","9004015"
"3","80006","0","60","2022/02/14 5:00:00","2022/02/15 4:59:59","9004016"
"3","80006","1","61","2022/02/15 5:00:00","2022/02/16 4:59:59","9004017"
"1","70007","0","62","0","0","436"
"2","70007","0","63","0","0","437"
"3","70007","0","64","0","0","438"
"3","80007","0","65","2022/08/01 5:00:00","2022/08/02 4:59:59","9005001"
"3","80007","0","66","2022/08/02 5:00:00","2022/08/03 4:59:59","9005002"
"3","80007","0","67","2022/08/03 5:00:00","2022/08/04 4:59:59","9005003"
"3","80007","0","68","2022/08/04 5:00:00","2022/08/05 4:59:59","9005004"
"3","80007","0","69","2022/08/05 5:00:00","2022/08/06 4:59:59","9005005"
"3","80007","0","70","2022/08/06 5:00:00","2022/08/07 4:59:59","9005006"
"3","80007","0","71","2022/08/07 5:00:00","2022/08/08 4:59:59","9005007"
"3","80007","0","72","2022/08/08 5:00:00","2022/08/09 4:59:59","9005008"
"3","80007","0","73","2022/08/09 5:00:00","2022/08/10 4:59:59","9005009"
"3","80007","0","74","2022/08/10 5:00:00","2022/08/11 4:59:59","9005010"
"3","80007","0","75","2022/08/11 5:00:00","2022/08/12 4:59:59","9005011"
"3","80007","0","76","2022/08/12 5:00:00","2022/08/13 4:59:59","9005012"
"3","80007","0","77","2022/08/13 5:00:00","2022/08/14 4:59:59","9005013"
"3","80007","0","78","2022/08/14 5:00:00","2022/08/15 4:59:59","9005014"
"3","80007","1","79","2022/08/15 5:00:00","2022/08/16 4:59:59","9005015"
"0","70008","0","80","2022/12/24 5:00:00","2022/12/25 4:59:59","400"
"0","70008","0","81","2022/12/25 5:00:00","2022/12/26 4:59:59","401"
"1","70009","0","82","0","0","439"
"3","80008","0","83","2023/01/31 5:00:00","2023/02/01 4:59:59","9006001"
"3","80008","0","84","2023/02/01 5:00:00","2023/02/02 4:59:59","9006002"
"3","80008","0","85","2023/02/02 5:00:00","2023/02/03 4:59:59","9006003"
"3","80008","0","86","2023/02/03 5:00:00","2023/02/04 4:59:59","9006004"
"3","80008","0","87","2023/02/04 5:00:00","2023/02/05 4:59:59","9006005"
"3","80008","0","88","2023/02/05 5:00:00","2023/02/06 4:59:59","9006006"
"3","80008","0","89","2023/02/06 5:00:00","2023/02/07 4:59:59","9006007"
"3","80008","0","90","2023/02/07 5:00:00","2023/02/08 4:59:59","9006008"
"3","80008","0","91","2023/02/08 5:00:00","2023/02/09 4:59:59","9006009"
"3","80008","0","92","2023/02/09 5:00:00","2023/02/10 4:59:59","9006010"
"3","80008","0","93","2023/02/10 5:00:00","2023/02/11 4:59:59","9006011"
"3","80008","0","94","2023/02/11 5:00:00","2023/02/12 4:59:59","9006012"
"3","80008","0","95","2023/02/12 5:00:00","2023/02/13 4:59:59","9006013"
"3","80008","0","96","2023/02/13 5:00:00","2023/02/14 4:59:59","9006014"
"3","80008","0","97","2023/02/14 5:00:00","2023/02/15 4:59:59","9006015"
"3","80008","1","98","2023/02/15 5:00:00","2023/02/16 4:59:59","9006016"
"3","80009","0","99","2023/08/01 5:00:00","2023/08/02 4:59:59","9007001"
"3","80009","0","100","2023/08/02 5:00:00","2023/08/03 4:59:59","9007002"
"3","80009","0","101","2023/08/03 5:00:00","2023/08/04 4:59:59","9007003"
"3","80009","0","102","2023/08/04 5:00:00","2023/08/05 4:59:59","9007004"
"3","80009","0","103","2023/08/05 5:00:00","2023/08/06 4:59:59","9007005"
"3","80009","0","104","2023/08/06 5:00:00","2023/08/07 4:59:59","9007006"
"3","80009","0","105","2023/08/07 5:00:00","2023/08/08 4:59:59","9007007"
"3","80009","0","106","2023/08/08 5:00:00","2023/08/09 4:59:59","9007008"
"3","80009","0","107","2023/08/09 5:00:00","2023/08/10 4:59:59","9007009"
"3","80009","0","108","2023/08/10 5:00:00","2023/08/11 4:59:59","9007010"
"3","80009","0","109","2023/08/11 5:00:00","2023/08/12 4:59:59","9007011"
"3","80009","0","110","2023/08/12 5:00:00","2023/08/13 4:59:59","9007012"
"3","80009","0","111","2023/08/13 5:00:00","2023/08/14 4:59:59","9007013"
"3","80009","0","112","2023/08/14 5:00:00","2023/08/15 4:59:59","9007014"
"3","80009","1","113","2023/08/15 5:00:00","2023/08/16 4:59:59","9007015"
"0","70010","0","114","2023/12/24 5:00:00","2023/12/25 4:59:59","400"
"0","70012","0","115","2023/12/25 5:00:00","2023/12/26 4:59:59","401"
"1","70011","0","116","0","0","440"
"3","80010","0","117","2024/01/31 5:00:00","2024/02/01 4:59:59","9008001"
"3","80010","0","118","2024/02/01 5:00:00","2024/02/02 4:59:59","9008002"
"3","80010","0","119","2024/02/02 5:00:00","2024/02/03 4:59:59","9008003"
"3","80010","0","120","2024/02/03 5:00:00","2024/02/04 4:59:59","9008004"
"3","80010","0","121","2024/02/04 5:00:00","2024/02/05 4:59:59","9008005"
"3","80010","0","122","2024/02/05 5:00:00","2024/02/06 4:59:59","9008006"
"3","80010","0","123","2024/02/06 5:00:00","2024/02/07 4:59:59","9008007"
"3","80010","0","124","2024/02/07 5:00:00","2024/02/08 4:59:59","9008008"
"3","80010","0","125","2024/02/08 5:00:00","2024/02/09 4:59:59","9008009"
"3","80010","0","126","2024/02/09 5:00:00","2024/02/10 4:59:59","9008010"
"3","80010","0","127","2024/02/10 5:00:00","2024/02/11 4:59:59","9008011"
"3","80010","1","128","2024/02/11 5:00:00","2024/02/12 4:59:59","9008012"
"3","80010","1","129","2024/02/12 5:00:00","2024/02/13 4:59:59","9008013"
"3","80010","1","130","2024/02/13 5:00:00","2024/02/14 4:59:59","9008014"
"3","80010","1","131","2024/02/14 5:00:00","2024/02/15 4:59:59","9008015"
"3","80010","1","132","2024/02/15 5:00:00","2024/02/16 4:59:59","9008016"
"3","80011","0","133","2024/08/01 5:00:00","2024/08/02 4:59:59","9009001"
"3","80011","0","134","2024/08/02 5:00:00","2024/08/03 4:59:59","9009002"
"3","80011","0","135","2024/08/03 5:00:00","2024/08/04 4:59:59","9009003"
"3","80011","0","136","2024/08/04 5:00:00","2024/08/05 4:59:59","9009004"
"3","80011","0","137","2024/08/05 5:00:00","2024/08/06 4:59:59","9009005"
"3","80011","0","138","2024/08/06 5:00:00","2024/08/07 4:59:59","9009006"
"3","80011","0","139","2024/08/07 5:00:00","2024/08/08 4:59:59","9009007"
"3","80011","0","140","2024/08/08 5:00:00","2024/08/09 4:59:59","9009008"
"3","80011","0","141","2024/08/09 5:00:00","2024/08/10 4:59:59","9009009"
"3","80011","0","142","2024/08/10 5:00:00","2024/08/11 4:59:59","9009010"
"3","80011","0","143","2024/08/11 5:00:00","2024/08/12 4:59:59","9009011"
"3","80011","0","144","2024/08/12 5:00:00","2024/08/13 4:59:59","9009012"
"3","80011","0","145","2024/08/13 5:00:00","2024/08/14 4:59:59","9009013"
"3","80011","0","146","2024/08/14 5:00:00","2024/08/15 4:59:59","9009014"
"3","80011","1","147","2024/08/15 5:00:00","2024/08/16 4:59:59","9009015"
"0","70014","0","148","2024/12/24 5:00:00","2024/12/25 4:59:59","400"
"0","70015","0","149","2024/12/25 5:00:00","2024/12/26 4:59:59","401"
"1","70013","0","150","0","0","441"
